* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 21, 2023 12:12:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio U4S m12 L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 84.136 159.4799
0.732422 82.359 139.5459
1.098633 78.989 121.4997
1.464844 72.861 111.0233
1.831055 63.988 161.8259
2.197266 70.941 -158.2866
2.563477 74.104 -169.0847
2.929688 74.680 175.3286
3.295899 73.811 161.7127
3.662110 72.311 154.8807
4.028321 71.653 156.8163
4.394532 72.873 158.2970
4.760743 74.831 152.2710
5.126954 76.494 142.1469
5.493164 77.649 132.1775
5.859375 78.428 124.8345
6.225586 79.111 120.8415
6.591797 79.960 119.0542
6.958008 80.992 117.4376
7.324219 82.021 114.9012
7.690430 82.876 111.7051
8.056641 83.518 108.6108
8.422852 84.009 106.1453
8.789063 84.441 104.3196
9.155274 84.870 102.7598
9.521485 85.292 101.0872
9.887696 85.679 99.1839
10.253907 85.940 97.1477
10.620118 86.133 95.0942
10.986329 86.310 93.0325
11.352540 86.483 90.8931
11.718751 86.647 88.6336
12.084962 86.795 86.2960
12.451173 86.926 83.9725
12.817384 87.101 81.7335
13.183595 87.283 79.5931
13.549806 87.467 77.5330
13.916017 87.650 75.5448
14.282228 87.830 73.6438
14.648439 88.007 71.8453
15.014650 88.180 70.1402
15.380861 88.348 68.5016
15.747072 88.507 66.9144
16.113283 88.655 65.3930
16.479493 88.799 63.9632
16.845704 88.936 62.6253
17.211915 89.068 61.3355
17.578126 89.197 60.0304
17.944337 89.313 58.6760
18.310548 89.409 57.2961
18.676759 89.484 55.9538
19.042970 89.545 54.6999
19.409181 89.606 53.5295
19.775392 89.673 52.3840
20.141603 89.744 51.1994
20.507814 89.812 49.9613
20.874025 89.868 48.7195
21.240236 89.912 47.5497
21.606447 89.957 46.4928
21.972658 90.015 45.5172
22.338869 90.088 44.5382
22.705080 90.169 43.4821
23.071291 90.243 42.3437
23.437502 90.301 41.1901
23.803713 90.345 40.1087
24.169924 90.386 39.1387
24.536135 90.436 38.2378
24.902346 90.497 37.3125
25.268557 90.560 36.2917
25.634768 90.609 35.1823
26.000979 90.636 34.0654
26.367190 90.644 33.0377
26.733401 90.646 32.1446
27.099612 90.658 31.3516
27.465823 90.682 30.5757
27.832033 90.714 29.7495
28.198244 90.742 28.8666
28.564455 90.760 27.9753
28.930666 90.771 27.1349
29.296877 90.780 26.3725
29.663088 90.796 25.6705
30.029299 90.819 24.9880
30.395510 90.848 24.2931
30.761721 90.877 23.5797
31.127932 90.903 22.8614
31.494143 90.926 22.1535
31.860354 90.945 21.4619
32.226565 90.963 20.7838
32.592776 90.978 20.1162
32.958987 90.990 19.4612
33.325198 90.998 18.8240
33.691409 91.004 18.2064
34.057620 91.011 17.6016
34.423831 91.017 16.9959
34.790042 91.022 16.3771
35.156253 91.023 15.7444
35.522464 91.019 15.1133
35.888675 91.011 14.5076
36.254886 91.003 13.9434
36.621097 91.000 13.4117
36.987308 91.005 12.8765
37.353519 91.017 12.2927
37.719730 91.029 11.6369
38.085941 91.032 10.9267
38.452152 91.023 10.2146
38.818363 91.004 9.5584
39.184573 90.983 8.9877
39.550784 90.966 8.4902
39.916995 90.959 8.0264
40.283206 90.959 7.5612
40.649417 90.963 7.0835
41.015628 90.968 6.6017
41.381839 90.976 6.1220
41.748050 90.986 5.6341
42.114261 90.998 5.1177
42.480472 91.007 4.5642
42.846683 91.009 3.9920
43.212894 91.003 3.4390
43.579105 90.993 2.9374
43.945316 90.984 2.4896
44.311527 90.982 2.0662
44.677738 90.984 1.6278
45.043949 90.988 1.1532
45.410160 90.988 0.6528
45.776371 90.981 0.1568
46.142582 90.971 -0.3087
46.508793 90.961 -0.7395
46.875004 90.954 -1.1531
47.241215 90.950 -1.5731
47.607426 90.947 -2.0114
47.973637 90.941 -2.4624
48.339848 90.931 -2.9103
48.706059 90.920 -3.3422
49.072270 90.909 -3.7570
49.438481 90.900 -4.1646
49.804692 90.892 -4.5776
50.170902 90.884 -5.0023
50.537113 90.875 -5.4348
50.903324 90.863 -5.8638
51.269535 90.850 -6.2782
51.635746 90.836 -6.6740
52.001957 90.825 -7.0575
52.368168 90.816 -7.4416
52.734379 90.808 -7.8366
53.100590 90.798 -8.2419
53.466801 90.785 -8.6447
53.833012 90.770 -9.0270
54.199223 90.754 -9.3789
54.565434 90.742 -9.7064
54.931645 90.733 -10.0291
55.297856 90.728 -10.3668
55.664067 90.723 -10.7267
56.030278 90.716 -11.1006
56.396489 90.706 -11.4744
56.762700 90.695 -11.8418
57.128911 90.684 -12.2086
57.495122 90.672 -12.5840
57.861333 90.656 -12.9662
58.227544 90.637 -13.3362
58.593755 90.615 -13.6692
58.959966 90.595 -13.9555
59.326177 90.582 -14.2143
59.692388 90.579 -14.4869
60.058599 90.580 -14.8103
60.424810 90.580 -15.1917
60.791021 90.573 -15.6035
61.157232 90.557 -16.0028
61.523442 90.538 -16.3599
61.889653 90.521 -16.6756
62.255864 90.508 -16.9758
62.622075 90.499 -17.2868
62.988286 90.488 -17.6150
63.354497 90.474 -17.9449
63.720708 90.457 -18.2556
64.086919 90.441 -18.5406
64.453130 90.427 -18.8141
64.819341 90.417 -19.0981
65.185552 90.406 -19.4030
65.551763 90.391 -19.7182
65.917974 90.373 -20.0208
66.284185 90.354 -20.2964
66.650396 90.339 -20.5522
67.016607 90.327 -20.8137
67.382818 90.318 -21.1045
67.749029 90.307 -21.4271
68.115240 90.290 -21.7594
68.481451 90.269 -22.0705
68.847662 90.247 -22.3427
69.213873 90.229 -22.5838
69.580084 90.216 -22.8200
69.946295 90.207 -23.0765
70.312506 90.198 -23.3607
70.678717 90.187 -23.6611
71.044928 90.172 -23.9592
71.411139 90.155 -24.2434
71.777350 90.138 -24.5131
72.143561 90.120 -24.7722
72.509771 90.103 -25.0213
72.875982 90.085 -25.2566
73.242193 90.069 -25.4781
73.608404 90.056 -25.6968
73.974615 90.047 -25.9315
74.340826 90.037 -26.1962
74.707037 90.024 -26.4866
75.073248 90.006 -26.7794
75.439459 89.985 -27.0477
75.805670 89.964 -27.2814
76.171881 89.948 -27.4979
76.538092 89.939 -27.7326
76.904303 89.933 -28.0142
77.270514 89.923 -28.3438
77.636725 89.905 -28.6916
78.002936 89.880 -29.0149
78.369147 89.852 -29.2845
78.735358 89.827 -29.5025
79.101569 89.810 -29.7001
79.467780 89.800 -29.9156
79.833991 89.791 -30.1693
80.200202 89.778 -30.4502
80.566413 89.760 -30.7242
80.932624 89.737 -30.9572
81.298835 89.717 -31.1383
81.665046 89.703 -31.2888
82.031257 89.697 -31.4509
82.397468 89.696 -31.6611
82.763679 89.692 -31.9269
83.129890 89.679 -32.2208
83.496101 89.657 -32.4962
83.862311 89.630 -32.7154
84.228522 89.605 -32.8732
84.594733 89.587 -33.0006
84.960944 89.579 -33.1448
85.327155 89.574 -33.3397
85.693366 89.567 -33.5859
86.059577 89.553 -33.8551
86.425788 89.533 -34.1121
86.791999 89.510 -34.3389
87.158210 89.490 -34.5425
87.524421 89.472 -34.7426
87.890632 89.455 -34.9517
88.256843 89.437 -35.1644
88.623054 89.418 -35.3653
88.989265 89.401 -35.5474
89.355476 89.388 -35.7240
89.721687 89.380 -35.9208
90.087898 89.372 -36.1551
90.454109 89.359 -36.4182
90.820320 89.340 -36.6780
91.186531 89.316 -36.9005
91.552742 89.293 -37.0742
91.918953 89.276 -37.2186
92.285164 89.265 -37.3699
92.651375 89.257 -37.5550
93.017586 89.248 -37.7749
93.383797 89.234 -38.0071
93.750008 89.215 -38.2248
94.116219 89.195 -38.4154
94.482430 89.177 -38.5855
94.848641 89.162 -38.7528
95.214851 89.149 -38.9318
95.581062 89.136 -39.1259
95.947273 89.121 -39.3286
96.313484 89.104 -39.5304
96.679695 89.086 -39.7245
97.045906 89.069 -39.9092
97.412117 89.051 -40.0869
97.778328 89.036 -40.2628
98.144539 89.021 -40.4432
98.510750 89.007 -40.6322
98.876961 88.992 -40.8291
99.243172 88.975 -41.0266
99.609383 88.957 -41.2147
99.975594 88.938 -41.3868
100.341805 88.922 -41.5456
100.708016 88.908 -41.7020
101.074227 88.896 -41.8680
101.440438 88.885 -42.0487
101.806649 88.872 -42.2389
102.172860 88.858 -42.4283
102.539071 88.842 -42.6097
102.905282 88.827 -42.7836
103.271493 88.813 -42.9562
103.637704 88.798 -43.1329
104.003915 88.783 -43.3127
104.370126 88.767 -43.4896
104.736337 88.751 -43.6583
105.102548 88.735 -43.8203
105.468759 88.720 -43.9830
105.834970 88.706 -44.1531
106.201180 88.691 -44.3297
106.567391 88.674 -44.5039
106.933602 88.656 -44.6653
107.299813 88.640 -44.8119
107.666024 88.625 -44.9526
108.032235 88.613 -45.1020
108.398446 88.602 -45.2685
108.764657 88.589 -45.4476
109.130868 88.573 -45.6246
109.497079 88.556 -45.7863
109.863290 88.539 -45.9309
110.229501 88.526 -46.0697
110.595712 88.514 -46.2173
110.961923 88.503 -46.3798
111.328134 88.489 -46.5504
111.694345 88.474 -46.7155
112.060556 88.458 -46.8668
112.426767 88.444 -47.0086
112.792978 88.432 -47.1541
113.159189 88.421 -47.3146
113.525400 88.408 -47.4904
113.891611 88.392 -47.6701
114.257822 88.374 -47.8396
114.624033 88.355 -47.9908
114.990244 88.337 -48.1259
115.356455 88.322 -48.2534
115.722666 88.308 -48.3817
116.088877 88.295 -48.5154
116.455088 88.284 -48.6562
116.821299 88.272 -48.8053
117.187510 88.261 -48.9636
117.553720 88.248 -49.1295
117.919931 88.234 -49.2970
118.286142 88.219 -49.4579
118.652353 88.202 -49.6068
119.018564 88.187 -49.7451
119.384775 88.174 -49.8810
119.750986 88.162 -50.0234
120.117197 88.149 -50.1758
120.483408 88.136 -50.3332
120.849619 88.120 -50.4857
121.215830 88.104 -50.6256
121.582041 88.089 -50.7527
121.948252 88.075 -50.8753
122.314463 88.064 -51.0047
122.680674 88.053 -51.1479
123.046885 88.040 -51.3029
123.413096 88.025 -51.4591
123.779307 88.008 -51.6041
124.145518 87.991 -51.7314
124.511729 87.976 -51.8446
124.877940 87.963 -51.9555
125.244151 87.953 -52.0764
125.610362 87.944 -52.2123
125.976573 87.933 -52.3587
126.342784 87.921 -52.5057
126.708995 87.908 -52.6455
127.075206 87.894 -52.7768
127.441417 87.882 -52.9043
127.807628 87.870 -53.0327
128.173839 87.859 -53.1634
128.540049 87.847 -53.2942
128.906260 87.835 -53.4234
129.272471 87.824 -53.5529
129.638682 87.814 -53.6869
130.004893 87.803 -53.8269
130.371104 87.790 -53.9691
130.737315 87.777 -54.1055
131.103526 87.763 -54.2303
131.469737 87.750 -54.3444
131.835948 87.738 -54.4561
132.202159 87.729 -54.5751
132.568370 87.719 -54.7056
132.934581 87.709 -54.8442
133.300792 87.696 -54.9826
133.667003 87.683 -55.1129
134.033214 87.669 -55.2328
134.399425 87.657 -55.3450
134.765636 87.646 -55.4556
135.131847 87.636 -55.5702
135.498058 87.626 -55.6923
135.864269 87.616 -55.8224
136.230480 87.606 -55.9573
136.596691 87.594 -56.0910
136.962902 87.581 -56.2174
137.329113 87.568 -56.3335
137.695324 87.557 -56.4430
138.061535 87.547 -56.5547
138.427746 87.539 -56.6779
138.793957 87.530 -56.8151
139.160168 87.518 -56.9595
139.526379 87.505 -57.0980
139.892589 87.489 -57.2197
140.258800 87.475 -57.3227
140.625011 87.463 -57.4161
140.991222 87.454 -57.5128
141.357433 87.445 -57.6219
141.723644 87.437 -57.7431
142.089855 87.427 -57.8688
142.456066 87.415 -57.9917
142.822277 87.403 -58.1097
143.188488 87.392 -58.2261
143.554699 87.380 -58.3439
143.920910 87.367 -58.4610
144.287121 87.353 -58.5701
144.653332 87.339 -58.6649
145.019543 87.326 -58.7473
145.385754 87.317 -58.8287
145.751965 87.310 -58.9238
