* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 21, 2023 12:13:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio U4S m12 R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 87.834 -22.2237
0.732422 85.911 -44.6675
1.098633 82.238 -67.9045
1.464844 75.343 -94.9048
1.831055 60.202 156.9050
2.197266 71.562 68.2829
2.563477 73.140 44.6988
2.929688 69.525 29.9191
3.295899 58.073 93.5238
3.662110 70.736 144.9528
4.028321 75.371 135.5553
4.394532 76.919 125.8866
4.760743 76.912 121.6318
5.126954 76.554 125.8772
5.493164 77.179 134.3607
5.859375 78.615 137.7887
6.225586 79.835 135.2056
6.591797 80.470 130.2416
6.958008 80.646 125.8512
7.324219 80.696 123.3439
7.690430 80.950 122.0314
8.056641 81.474 120.1150
8.422852 82.089 116.7041
8.789063 82.621 112.3527
9.155274 83.034 108.1175
9.521485 83.400 104.6912
9.887696 83.811 102.0688
10.253907 84.225 99.7743
10.620118 84.641 97.4034
10.986329 85.028 94.9261
11.352540 85.354 92.5544
11.718751 85.625 90.4695
12.084962 85.863 88.6845
12.451173 86.080 87.0933
12.817384 86.327 85.5926
13.183595 86.556 84.1374
13.549806 86.762 82.7057
13.916017 86.947 81.2554
14.282228 87.111 79.7425
14.648439 87.250 78.1719
15.014650 87.364 76.6081
15.380861 87.466 75.1154
15.747072 87.575 73.6822
16.113283 87.706 72.2112
16.479493 87.858 70.5994
16.845704 88.001 68.8375
17.211915 88.121 67.0354
17.578126 88.217 65.3540
17.944337 88.308 63.8984
18.310548 88.415 62.6496
18.676759 88.548 61.4829
19.042970 88.700 60.2599
19.409181 88.849 58.9211
19.775392 88.973 57.5178
20.141603 89.065 56.1740
20.507814 89.133 55.0135
20.874025 89.195 54.0842
21.240236 89.273 53.3175
21.606447 89.375 52.5526
21.972658 89.491 51.6281
22.338869 89.597 50.4834
22.705080 89.670 49.1970
23.071291 89.704 47.9359
23.437502 89.715 46.8475
23.803713 89.730 45.9605
24.169924 89.770 45.1644
24.536135 89.835 44.2955
24.902346 89.907 43.2650
25.268557 89.964 42.1203
25.634768 90.000 40.9975
26.000979 90.025 40.0132
26.367190 90.058 39.1798
26.733401 90.110 38.4072
27.099612 90.177 37.5853
27.465823 90.243 36.6743
27.832033 90.294 35.7272
28.198244 90.327 34.8372
28.564455 90.351 34.0628
28.930666 90.379 33.3882
29.296877 90.415 32.7451
29.663088 90.455 32.0705
30.029299 90.488 31.3508
30.395510 90.510 30.6210
30.761721 90.523 29.9270
31.127932 90.532 29.2874
31.494143 90.545 28.6810
31.860354 90.562 28.0659
32.226565 90.581 27.4112
32.592776 90.598 26.7174
32.958987 90.609 26.0114
33.325198 90.616 25.3241
33.691409 90.623 24.6680
34.057620 90.635 24.0306
34.423831 90.651 23.3878
34.790042 90.669 22.7260
35.156253 90.684 22.0559
35.522464 90.696 21.4050
35.888675 90.707 20.7962
36.254886 90.722 20.2262
36.621097 90.742 19.6652
36.987308 90.766 19.0782
37.353519 90.787 18.4541
37.719730 90.800 17.8189
38.085941 90.803 17.2205
38.452152 90.802 16.6944
38.818363 90.806 16.2339
39.184573 90.820 15.7888
39.550784 90.843 15.2958
39.916995 90.865 14.7212
40.283206 90.879 14.0828
40.649417 90.878 13.4381
41.015628 90.867 12.8465
41.381839 90.852 12.3346
41.748050 90.841 11.8846
42.114261 90.838 11.4544
42.480472 90.839 11.0109
42.846683 90.841 10.5507
43.212894 90.841 10.0941
43.579105 90.840 9.6614
43.945316 90.842 9.2510
44.311527 90.850 8.8391
44.677738 90.861 8.3978
45.043949 90.872 7.9160
45.410160 90.876 7.4078
45.776371 90.874 6.9021
46.142582 90.867 6.4248
46.508793 90.857 5.9855
46.875004 90.850 5.5764
47.241215 90.845 5.1802
47.607426 90.843 4.7810
47.973637 90.842 4.3707
48.339848 90.840 3.9500
48.706059 90.836 3.5258
49.072270 90.831 3.1062
49.438481 90.826 2.6959
49.804692 90.820 2.2943
50.170902 90.815 1.8973
50.537113 90.811 1.5016
50.903324 90.807 1.1080
51.269535 90.803 0.7201
51.635746 90.799 0.3390
52.001957 90.796 -0.0390
52.368168 90.793 -0.4202
52.734379 90.790 -0.8060
53.100590 90.785 -1.1898
53.466801 90.779 -1.5613
53.833012 90.773 -1.9168
54.199223 90.768 -2.2645
54.565434 90.766 -2.6188
54.931645 90.763 -2.9873
55.297856 90.758 -3.3627
55.664067 90.749 -3.7287
56.030278 90.740 -4.0748
56.396489 90.732 -4.4057
56.762700 90.726 -4.7358
57.128911 90.720 -5.0719
57.495122 90.711 -5.4033
57.861333 90.702 -5.7112
58.227544 90.697 -5.9918
58.593755 90.698 -6.2713
58.959966 90.706 -6.5943
59.326177 90.714 -6.9901
59.692388 90.712 -7.4443
60.058599 90.695 -7.8992
60.424810 90.667 -8.2881
60.791021 90.638 -8.5777
61.157232 90.617 -8.7901
61.523442 90.609 -8.9862
61.889653 90.610 -9.2240
62.255864 90.614 -9.5243
62.622075 90.613 -9.8673
62.988286 90.606 -10.2172
63.354497 90.596 -10.5508
63.720708 90.585 -10.8678
64.086919 90.576 -11.1812
64.453130 90.566 -11.4994
64.819341 90.555 -11.8189
65.185552 90.543 -12.1294
65.551763 90.531 -12.4258
65.917974 90.519 -12.7119
66.284185 90.509 -12.9960
66.650396 90.499 -13.2818
67.016607 90.488 -13.5659
67.382818 90.476 -13.8429
67.749029 90.465 -14.1112
68.115240 90.455 -14.3754
68.481451 90.446 -14.6422
68.847662 90.437 -14.9157
69.213873 90.428 -15.1953
69.580084 90.417 -15.4780
69.946295 90.405 -15.7603
70.312506 90.392 -16.0385
70.678717 90.378 -16.3092
71.044928 90.365 -16.5713
71.411139 90.353 -16.8287
71.777350 90.342 -17.0895
72.143561 90.332 -17.3598
72.509771 90.322 -17.6373
72.875982 90.311 -17.9124
73.242193 90.300 -18.1789
73.608404 90.292 -18.4453
73.974615 90.286 -18.7325
74.340826 90.278 -19.0555
74.707037 90.263 -19.4008
75.073248 90.239 -19.7228
75.439459 90.208 -19.9689
75.805670 90.180 -20.1189
76.171881 90.166 -20.2092
76.538092 90.167 -20.3165
76.904303 90.177 -20.5072
77.270514 90.185 -20.7925
77.636725 90.180 -21.1241
78.002936 90.164 -21.4329
78.369147 90.143 -21.6800
78.735358 90.126 -21.8786
79.101569 90.115 -22.0746
79.467780 90.106 -22.3019
79.833991 90.093 -22.5539
80.200202 90.074 -22.7938
80.566413 90.053 -22.9907
80.932624 90.037 -23.1493
81.298835 90.029 -23.3075
81.665046 90.025 -23.5044
82.031257 90.021 -23.7496
82.397468 90.011 -24.0176
82.763679 89.995 -24.2707
83.129890 89.977 -24.4878
83.496101 89.964 -24.6765
83.862311 89.955 -24.8631
84.228522 89.950 -25.0712
84.594733 89.946 -25.3082
84.960944 89.940 -25.5674
85.327155 89.931 -25.8379
85.693366 89.919 -26.1109
86.059577 89.903 -26.3780
86.425788 89.884 -26.6282
86.791999 89.863 -26.8495
87.158210 89.842 -27.0361
87.524421 89.824 -27.1957
87.890632 89.810 -27.3464
88.256843 89.800 -27.5069
88.623054 89.790 -27.6844
88.989265 89.779 -27.8714
89.355476 89.767 -28.0538
89.721687 89.755 -28.2238
90.087898 89.745 -28.3875
90.454109 89.738 -28.5615
90.820320 89.732 -28.7616
91.186531 89.724 -28.9899
91.552742 89.712 -29.2321
91.918953 89.694 -29.4652
92.285164 89.674 -29.6706
92.651375 89.656 -29.8459
93.017586 89.640 -30.0054
93.383797 89.629 -30.1709
93.750008 89.620 -30.3576
94.116219 89.611 -30.5652
94.482430 89.598 -30.7804
94.848641 89.584 -30.9870
95.214851 89.569 -31.1777
95.581062 89.555 -31.3573
95.947273 89.544 -31.5377
96.313484 89.534 -31.7275
96.679695 89.523 -31.9256
97.045906 89.510 -32.1229
97.412117 89.497 -32.3103
97.778328 89.483 -32.4857
98.144539 89.472 -32.6552
98.510750 89.461 -32.8282
98.876961 89.451 -33.0102
99.243172 89.440 -33.1991
99.609383 89.428 -33.3877
99.975594 89.414 -33.5693
100.341805 89.400 -33.7419
100.708016 89.386 -33.9088
101.074227 89.374 -34.0754
101.440438 89.362 -34.2455
101.806649 89.350 -34.4194
102.172860 89.337 -34.5948
102.539071 89.324 -34.7693
102.905282 89.311 -34.9422
103.271493 89.299 -35.1144
103.637704 89.286 -35.2876
104.003915 89.274 -35.4622
104.370126 89.261 -35.6369
104.736337 89.248 -35.8096
105.102548 89.235 -35.9791
105.468759 89.222 -36.1455
105.834970 89.209 -36.3100
106.201180 89.196 -36.4729
106.567391 89.184 -36.6336
106.933602 89.172 -36.7903
107.299813 89.160 -36.9432
107.666024 89.149 -37.0951
108.032235 89.139 -37.2510
108.398446 89.128 -37.4149
108.764657 89.117 -37.5859
109.130868 89.104 -37.7578
109.497079 89.090 -37.9222
109.863290 89.075 -38.0738
110.229501 89.061 -38.2141
110.595712 89.048 -38.3509
110.961923 89.038 -38.4931
111.328134 89.027 -38.6452
111.694345 89.015 -38.8047
112.060556 89.003 -38.9639
112.426767 88.989 -39.1162
112.792978 88.976 -39.2610
113.159189 88.965 -39.4043
113.525400 88.954 -39.5539
113.891611 88.943 -39.7138
114.257822 88.932 -39.8801
114.624033 88.918 -40.0437
114.990244 88.903 -40.1962
115.356455 88.890 -40.3362
115.722666 88.878 -40.4705
116.088877 88.867 -40.6099
116.455088 88.858 -40.7615
116.821299 88.847 -40.9237
117.187510 88.834 -41.0873
117.553720 88.820 -41.2418
117.919931 88.805 -41.3824
118.286142 88.791 -41.5119
118.652353 88.779 -41.6383
119.018564 88.768 -41.7686
119.384775 88.758 -41.9049
119.750986 88.747 -42.0450
120.117197 88.736 -42.1854
120.483408 88.724 -42.3247
120.849619 88.713 -42.4642
121.215830 88.702 -42.6055
121.582041 88.690 -42.7489
121.948252 88.678 -42.8933
122.314463 88.666 -43.0369
122.680674 88.653 -43.1786
123.046885 88.640 -43.3181
123.413096 88.627 -43.4549
123.779307 88.614 -43.5883
124.145518 88.601 -43.7182
124.511729 88.589 -43.8462
124.877940 88.577 -43.9753
125.244151 88.567 -44.1081
125.610362 88.557 -44.2447
125.976573 88.547 -44.3832
126.342784 88.537 -44.5208
126.708995 88.526 -44.6565
127.075206 88.516 -44.7917
127.441417 88.506 -44.9285
127.807628 88.495 -45.0668
128.173839 88.484 -45.2039
128.540049 88.473 -45.3360
128.906260 88.462 -45.4611
129.272471 88.451 -45.5816
129.638682 88.442 -45.7028
130.004893 88.434 -45.8297
130.371104 88.424 -45.9626
130.737315 88.414 -46.0970
131.103526 88.403 -46.2265
131.469737 88.392 -46.3475
131.835948 88.382 -46.4625
132.202159 88.373 -46.5784
132.568370 88.364 -46.7014
132.934581 88.355 -46.8319
133.300792 88.344 -46.9636
133.667003 88.332 -47.0882
134.033214 88.321 -47.2018
134.399425 88.311 -47.3084
134.765636 88.302 -47.4175
135.131847 88.295 -47.5368
135.498058 88.286 -47.6669
135.864269 88.277 -47.8003
136.230480 88.265 -47.9280
136.596691 88.254 -48.0457
136.962902 88.244 -48.1569
137.329113 88.235 -48.2692
137.695324 88.227 -48.3880
138.061535 88.218 -48.5126
138.427746 88.208 -48.6380
138.793957 88.198 -48.7600
139.160168 88.188 -48.8783
139.526379 88.179 -48.9963
139.892589 88.169 -49.1163
140.258800 88.159 -49.2369
140.625011 88.148 -49.3543
140.991222 88.137 -49.4662
141.357433 88.128 -49.5751
141.723644 88.119 -49.6865
142.089855 88.110 -49.8051
142.456066 88.101 -49.9302
142.822277 88.090 -50.0560
143.188488 88.079 -50.1762
143.554699 88.067 -50.2885
143.920910 88.056 -50.3959
144.287121 88.047 -50.5033
144.653332 88.037 -50.6139
145.019543 88.027 -50.7265
145.385754 88.017 -50.8379
145.751965 88.007 -50.9454
146.118176 87.997 -51.0494
