* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 20, 2023 6:22:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio U4S Foam Tip L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.080 161.7827
0.732422 81.523 144.7878
1.098633 78.708 131.4619
1.464844 74.427 129.3013
1.831055 71.126 155.2082
2.197266 73.558 176.6155
2.563477 76.192 172.9795
2.929688 77.595 161.7963
3.295899 78.208 150.2388
3.662110 78.516 141.3186
4.028321 78.990 135.7222
4.394532 79.909 131.7657
4.760743 81.151 127.2550
5.126954 82.408 121.6610
5.493164 83.481 115.7958
5.859375 84.345 110.6262
6.225586 85.079 106.6230
6.591797 85.779 103.6007
6.958008 86.484 100.9815
7.324219 87.159 98.2992
7.690430 87.751 95.4828
8.056641 88.239 92.7426
8.422852 88.643 90.2879
8.789063 89.005 88.1309
9.155274 89.353 86.0915
9.521485 89.686 83.9640
9.887696 89.985 81.6792
10.253907 90.161 79.3243
10.620118 90.267 77.0391
10.986329 90.355 74.8981
11.352540 90.448 72.8654
11.718751 90.553 70.8452
12.084962 90.662 68.7684
12.451173 90.765 66.6415
12.817384 90.907 64.5280
13.183595 91.043 62.4970
13.549806 91.171 60.5844
13.916017 91.296 58.7870
14.282228 91.420 57.0824
14.648439 91.541 55.4491
15.014650 91.656 53.8750
15.380861 91.763 52.3551
15.747072 91.860 50.8881
16.113283 91.951 49.4742
16.479493 92.042 48.1126
16.845704 92.124 46.7974
17.211915 92.197 45.5174
17.578126 92.262 44.2613
17.944337 92.318 43.0275
18.310548 92.366 41.8253
18.676759 92.409 40.6640
19.042970 92.452 39.5371
19.409181 92.498 38.4164
19.775392 92.546 37.2694
20.141603 92.592 36.0869
20.507814 92.632 34.8969
20.874025 92.664 33.7489
21.240236 92.695 32.6753
21.606447 92.732 31.6604
21.972658 92.778 30.6495
22.338869 92.826 29.5948
22.705080 92.865 28.5038
23.071291 92.888 27.4448
23.437502 92.900 26.4985
23.803713 92.916 25.6895
24.169924 92.947 24.9514
24.536135 92.994 24.1654
24.902346 93.042 23.2492
25.268557 93.073 22.2230
25.634768 93.077 21.1995
26.000979 93.061 20.3025
26.367190 93.043 19.5747
26.733401 93.043 18.9418
27.099612 93.063 18.2691
27.465823 93.087 17.4682
27.832033 93.097 16.5651
28.198244 93.085 15.6754
28.564455 93.060 14.9131
28.930666 93.041 14.3031
29.296877 93.044 13.7630
29.663088 93.067 13.1696
30.029299 93.096 12.4538
30.395510 93.114 11.6440
30.761721 93.116 10.8317
31.127932 93.107 10.0976
31.494143 93.098 9.4585
31.860354 93.097 8.8698
32.226565 93.103 8.2730
32.592776 93.110 7.6419
32.958987 93.112 6.9916
33.325198 93.109 6.3521
33.691409 93.102 5.7386
34.057620 93.095 5.1459
34.423831 93.086 4.5635
34.790042 93.077 3.9916
35.156253 93.066 3.4379
35.522464 93.058 2.9014
35.888675 93.052 2.3627
36.254886 93.049 1.7966
36.621097 93.043 1.1960
36.987308 93.030 0.5847
37.353519 93.010 0.0041
37.719730 92.988 -0.5183
38.085941 92.970 -0.9905
38.452152 92.960 -1.4490
38.818363 92.955 -1.9287
39.184573 92.949 -2.4357
39.550784 92.940 -2.9467
39.916995 92.929 -3.4349
40.283206 92.920 -3.8974
40.649417 92.917 -4.3603
41.015628 92.917 -4.8575
41.381839 92.914 -5.3999
41.748050 92.902 -5.9647
42.114261 92.882 -6.5104
42.480472 92.857 -7.0051
42.846683 92.832 -7.4464
43.212894 92.812 -7.8583
43.579105 92.798 -8.2718
43.945316 92.786 -8.7049
44.311527 92.774 -9.1573
44.677738 92.759 -9.6188
45.043949 92.743 -10.0791
45.410160 92.724 -10.5312
45.776371 92.704 -10.9684
46.142582 92.683 -11.3829
46.508793 92.663 -11.7701
46.875004 92.647 -12.1364
47.241215 92.635 -12.4995
47.607426 92.627 -12.8797
47.973637 92.619 -13.2865
48.339848 92.608 -13.7110
48.706059 92.593 -14.1328
49.072270 92.576 -14.5342
49.438481 92.558 -14.9125
49.804692 92.542 -15.2802
50.170902 92.528 -15.6534
50.537113 92.514 -16.0387
50.903324 92.497 -16.4286
51.269535 92.478 -16.8092
51.635746 92.459 -17.1724
52.001957 92.440 -17.5223
52.368168 92.424 -17.8720
52.734379 92.408 -18.2321
53.100590 92.392 -18.6023
53.466801 92.374 -18.9727
53.833012 92.354 -19.3332
54.199223 92.336 -19.6829
54.565434 92.319 -20.0313
54.931645 92.302 -20.3889
55.297856 92.285 -20.7554
55.664067 92.264 -21.1168
56.030278 92.242 -21.4555
56.396489 92.221 -21.7666
56.762700 92.206 -22.0675
57.128911 92.195 -22.3896
57.495122 92.184 -22.7548
57.861333 92.167 -23.1555
58.227544 92.141 -23.5524
58.593755 92.108 -23.8966
58.959966 92.074 -24.1612
59.326177 92.048 -24.3618
59.692388 92.035 -24.5503
60.058599 92.032 -24.7836
60.424810 92.031 -25.0899
60.791021 92.025 -25.4557
61.157232 92.010 -25.8388
61.523442 91.987 -26.1967
61.889653 91.962 -26.5093
62.255864 91.938 -26.7844
62.622075 91.919 -27.0453
62.988286 91.903 -27.3130
63.354497 91.887 -27.5950
63.720708 91.869 -27.8865
64.086919 91.850 -28.1786
64.453130 91.830 -28.4656
64.819341 91.810 -28.7467
65.185552 91.789 -29.0231
65.551763 91.767 -29.2943
65.917974 91.746 -29.5580
66.284185 91.724 -29.8129
66.650396 91.705 -30.0623
67.016607 91.687 -30.3146
67.382818 91.671 -30.5798
67.749029 91.654 -30.8636
68.115240 91.635 -31.1622
68.481451 91.613 -31.4625
68.847662 91.589 -31.7485
69.213873 91.563 -32.0099
69.580084 91.540 -32.2500
69.946295 91.521 -32.4844
70.312506 91.505 -32.7325
70.678717 91.490 -33.0045
71.044928 91.472 -33.2944
71.411139 91.451 -33.5828
71.777350 91.427 -33.8492
72.143561 91.404 -34.0856
72.509771 91.384 -34.3021
72.875982 91.368 -34.5196
73.242193 91.354 -34.7547
73.608404 91.339 -35.0075
73.974615 91.321 -35.2613
74.340826 91.302 -35.4958
74.707037 91.284 -35.7049
75.073248 91.270 -35.9052
75.439459 91.262 -36.1281
75.805670 91.254 -36.3980
76.171881 91.241 -36.7138
76.538092 91.219 -37.0441
76.904303 91.187 -37.3438
77.270514 91.151 -37.5793
77.636725 91.117 -37.7475
78.002936 91.090 -37.8769
78.369147 91.072 -38.0086
78.735358 91.059 -38.1727
79.101569 91.047 -38.3752
79.467780 91.032 -38.6020
79.833991 91.014 -38.8341
80.200202 90.994 -39.0602
80.566413 90.974 -39.2793
80.932624 90.953 -39.4949
81.298835 90.933 -39.7080
81.665046 90.912 -39.9160
82.031257 90.892 -40.1166
82.397468 90.873 -40.3124
82.763679 90.856 -40.5101
83.129890 90.839 -40.7154
83.496101 90.822 -40.9283
83.862311 90.804 -41.1434
84.228522 90.785 -41.3543
84.594733 90.766 -41.5587
84.960944 90.747 -41.7594
85.327155 90.729 -41.9606
85.693366 90.710 -42.1645
86.059577 90.691 -42.3690
86.425788 90.672 -42.5707
86.791999 90.652 -42.7672
87.158210 90.632 -42.9594
87.524421 90.613 -43.1499
87.890632 90.594 -43.3412
88.256843 90.574 -43.5339
88.623054 90.555 -43.7272
88.989265 90.535 -43.9197
89.355476 90.516 -44.1108
89.721687 90.496 -44.3005
90.087898 90.477 -44.4903
90.454109 90.459 -44.6822
90.820320 90.440 -44.8780
91.186531 90.421 -45.0782
91.552742 90.401 -45.2804
91.918953 90.380 -45.4794
92.285164 90.359 -45.6692
92.651375 90.337 -45.8471
93.017586 90.317 -46.0154
93.383797 90.299 -46.1812
93.750008 90.282 -46.3524
94.116219 90.266 -46.5328
94.482430 90.249 -46.7198
94.848641 90.230 -46.9059
95.214851 90.210 -47.0836
95.581062 90.190 -47.2506
95.947273 90.172 -47.4103
96.313484 90.154 -47.5695
96.679695 90.137 -47.7333
97.045906 90.121 -47.9023
97.412117 90.103 -48.0732
97.778328 90.085 -48.2422
98.144539 90.068 -48.4084
98.510750 90.050 -48.5742
98.876961 90.033 -48.7429
99.243172 90.016 -48.9153
99.609383 89.998 -49.0892
99.975594 89.980 -49.2615
100.341805 89.962 -49.4311
100.708016 89.944 -49.6000
101.074227 89.927 -49.7710
101.440438 89.908 -49.9439
101.806649 89.889 -50.1142
102.172860 89.869 -50.2755
102.539071 89.850 -50.4253
102.905282 89.832 -50.5679
103.271493 89.816 -50.7130
103.637704 89.802 -50.8692
104.003915 89.787 -51.0380
104.370126 89.770 -51.2127
104.736337 89.751 -51.3826
105.102548 89.732 -51.5405
105.468759 89.713 -51.6875
105.834970 89.696 -51.8313
106.201180 89.680 -51.9801
106.567391 89.664 -52.1375
106.933602 89.647 -52.3005
107.299813 89.629 -52.4626
107.666024 89.610 -52.6188
108.032235 89.592 -52.7688
108.398446 89.574 -52.9157
108.764657 89.556 -53.0629
109.130868 89.538 -53.2110
109.497079 89.520 -53.3576
109.863290 89.501 -53.4989
110.229501 89.483 -53.6325
110.595712 89.466 -53.7602
110.961923 89.450 -53.8874
111.328134 89.437 -54.0215
111.694345 89.423 -54.1683
112.060556 89.409 -54.3286
112.426767 89.393 -54.4964
112.792978 89.375 -54.6611
113.159189 89.354 -54.8122
113.525400 89.334 -54.9453
113.891611 89.316 -55.0649
114.257822 89.300 -55.1824
114.624033 89.286 -55.3097
114.990244 89.272 -55.4519
115.356455 89.258 -55.6052
115.722666 89.241 -55.7595
116.088877 89.223 -55.9051
116.455088 89.205 -56.0388
116.821299 89.188 -56.1652
117.187510 89.173 -56.2928
117.553720 89.158 -56.4282
117.919931 89.144 -56.5723
118.286142 89.128 -56.7195
118.652353 89.110 -56.8623
119.018564 89.093 -56.9954
119.384775 89.075 -57.1193
119.750986 89.060 -57.2403
120.117197 89.046 -57.3664
120.483408 89.031 -57.5023
120.849619 89.016 -57.6458
121.215830 88.999 -57.7885
121.582041 88.980 -57.9208
121.948252 88.962 -58.0379
122.314463 88.945 -58.1445
122.680674 88.931 -58.2517
123.046885 88.918 -58.3705
123.413096 88.904 -58.5039
123.779307 88.889 -58.6451
124.145518 88.872 -58.7818
124.511729 88.854 -58.9058
124.877940 88.837 -59.0183
125.244151 88.823 -59.1288
125.610362 88.810 -59.2471
125.976573 88.798 -59.3761
126.342784 88.784 -59.5100
126.708995 88.768 -59.6396
127.075206 88.752 -59.7597
127.441417 88.737 -59.8724
127.807628 88.724 -59.9840
128.173839 88.710 -60.0993
128.540049 88.697 -60.2179
128.906260 88.684 -60.3365
129.272471 88.671 -60.4534
129.638682 88.658 -60.5716
130.004893 88.646 -60.6960
130.371104 88.634 -60.8282
130.737315 88.620 -60.9634
131.103526 88.604 -61.0931
131.469737 88.588 -61.2117
131.835948 88.573 -61.3209
132.202159 88.560 -61.4287
132.568370 88.547 -61.5425
132.934581 88.535 -61.6634
133.300792 88.521 -61.7852
133.667003 88.506 -61.9004
134.033214 88.492 -62.0064
134.399425 88.478 -62.1079
134.765636 88.467 -62.2128
135.131847 88.455 -62.3254
135.498058 88.443 -62.4428
135.864269 88.430 -62.5582
136.230480 88.416 -62.6668
136.596691 88.404 -62.7703
136.962902 88.392 -62.8760
137.329113 88.381 -62.9900
137.695324 88.370 -63.1126
138.061535 88.356 -63.2368
138.427746 88.341 -63.3536
138.793957 88.325 -63.4579
139.160168 88.311 -63.5520
139.526379 88.298 -63.6439
139.892589 88.287 -63.7415
140.258800 88.275 -63.8483
140.625011 88.263 -63.9619
140.991222 88.250 -64.0768
141.357433 88.237 -64.1880
141.723644 88.223 -64.2943
142.089855 88.210 -64.3983
142.456066 88.197 -64.5044
142.822277 88.185 -64.6157
143.188488 88.172 -64.7311
143.554699 88.158 -64.8459
143.920910 88.143 -64.9545
144.287121 88.128 -65.0539
144.653332 88.114 -65.1463
145.019543 88.102 -65.2380
145.385754 88.091 -65.3351
