* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 21, 2023 12:39:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio U4S m20 R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 89.090 -25.9690
0.732422 87.034 -53.5574
1.098633 83.240 -86.7165
1.464844 77.870 -139.6650
1.831055 76.931 144.3976
2.197266 78.826 101.9171
2.563477 78.362 83.7714
2.929688 76.227 91.5668
3.295899 77.904 120.3236
3.662110 81.980 126.1477
4.028321 84.600 119.1488
4.394532 85.835 110.0771
4.760743 86.143 103.2152
5.126954 86.081 100.5952
5.493164 86.279 101.3745
5.859375 86.971 101.7965
6.225586 87.819 99.3889
6.591797 88.460 94.8206
6.958008 88.799 89.8909
7.324219 88.952 85.9740
7.690430 89.119 83.3779
8.056641 89.430 81.3570
8.422852 89.857 78.9736
8.789063 90.283 75.9805
9.155274 90.628 72.7953
9.521485 90.894 69.9459
9.887696 91.133 67.6436
10.253907 91.314 65.7228
10.620118 91.480 63.8989
10.986329 91.636 62.0479
11.352540 91.759 60.2414
11.718751 91.853 58.5852
12.084962 91.933 57.0777
12.451173 92.005 55.6215
12.817384 92.115 54.1389
13.183595 92.208 52.6456
13.549806 92.276 51.2109
13.916017 92.334 49.8631
14.282228 92.395 48.5492
14.648439 92.457 47.1874
15.014650 92.514 45.7496
15.380861 92.559 44.2843
15.747072 92.594 42.8632
16.113283 92.634 41.5137
16.479493 92.693 40.2044
16.845704 92.758 38.8908
17.211915 92.822 37.5676
17.578126 92.880 36.2739
17.944337 92.933 35.0542
18.310548 92.985 33.9195
18.676759 93.040 32.8464
19.042970 93.094 31.8075
19.409181 93.145 30.7959
19.775392 93.190 29.8210
20.141603 93.231 28.8880
20.507814 93.269 27.9865
20.874025 93.302 27.1011
21.240236 93.329 26.2277
21.606447 93.350 25.3737
21.972658 93.366 24.5437
22.338869 93.380 23.7268
22.705080 93.394 22.9033
23.071291 93.405 22.0628
23.437502 93.412 21.2147
23.803713 93.416 20.3790
24.169924 93.419 19.5663
24.536135 93.426 18.7691
24.902346 93.435 17.9712
25.268557 93.447 17.1656
25.634768 93.457 16.3625
26.000979 93.466 15.5787
26.367190 93.474 14.8240
26.733401 93.484 14.0947
27.099612 93.494 13.3828
27.465823 93.503 12.6858
27.832033 93.511 12.0088
28.198244 93.516 11.3577
28.564455 93.520 10.7318
28.930666 93.524 10.1235
29.296877 93.527 9.5248
29.663088 93.528 8.9313
30.029299 93.528 8.3416
30.395510 93.526 7.7534
30.761721 93.522 7.1646
31.127932 93.516 6.5754
31.494143 93.508 5.9906
31.860354 93.498 5.4158
32.226565 93.488 4.8516
32.592776 93.479 4.2917
32.958987 93.472 3.7292
33.325198 93.464 3.1625
33.691409 93.456 2.5978
34.057620 93.447 2.0439
34.423831 93.438 1.5048
34.790042 93.431 0.9771
35.156253 93.424 0.4550
35.522464 93.417 -0.0632
35.888675 93.410 -0.5742
36.254886 93.401 -1.0732
36.621097 93.392 -1.5589
36.987308 93.383 -2.0342
37.353519 93.374 -2.5034
37.719730 93.365 -2.9691
38.085941 93.354 -3.4310
38.452152 93.343 -3.8882
38.818363 93.330 -4.3400
39.184573 93.317 -4.7863
39.550784 93.303 -5.2274
39.916995 93.290 -5.6644
40.283206 93.277 -6.1000
40.649417 93.265 -6.5365
41.015628 93.252 -6.9741
41.381839 93.239 -7.4093
41.748050 93.225 -7.8365
42.114261 93.210 -8.2529
42.480472 93.197 -8.6606
42.846683 93.184 -9.0647
43.212894 93.172 -9.4687
43.579105 93.160 -9.8716
43.945316 93.147 -10.2695
44.311527 93.134 -10.6605
44.677738 93.121 -11.0463
45.043949 93.108 -11.4308
45.410160 93.094 -11.8154
45.776371 93.080 -12.1974
46.142582 93.064 -12.5726
46.508793 93.049 -12.9397
46.875004 93.034 -13.3022
47.241215 93.019 -13.6652
47.607426 93.004 -14.0300
47.973637 92.988 -14.3936
48.339848 92.972 -14.7509
48.706059 92.956 -15.1008
49.072270 92.942 -15.4475
49.438481 92.927 -15.7966
49.804692 92.913 -16.1496
50.170902 92.898 -16.5012
50.537113 92.882 -16.8435
50.903324 92.866 -17.1725
51.269535 92.851 -17.4927
51.635746 92.839 -17.8138
52.001957 92.826 -18.1428
52.368168 92.811 -18.4767
52.734379 92.794 -18.8031
53.100590 92.776 -19.1095
53.466801 92.759 -19.3942
53.833012 92.746 -19.6709
54.199223 92.736 -19.9614
54.565434 92.727 -20.2802
54.931645 92.714 -20.6241
55.297856 92.697 -20.9731
55.664067 92.675 -21.3048
56.030278 92.652 -21.6083
56.396489 92.630 -21.8893
56.762700 92.610 -22.1621
57.128911 92.592 -22.4359
57.495122 92.575 -22.7091
57.861333 92.557 -22.9756
58.227544 92.542 -23.2356
58.593755 92.529 -23.5007
58.959966 92.519 -23.7858
59.326177 92.507 -24.0954
59.692388 92.491 -24.4170
60.058599 92.470 -24.7279
60.424810 92.448 -25.0112
60.791021 92.427 -25.2677
61.157232 92.410 -25.5134
61.523442 92.395 -25.7673
61.889653 92.381 -26.0372
62.255864 92.364 -26.3165
62.622075 92.346 -26.5923
62.988286 92.327 -26.8557
63.354497 92.308 -27.1079
63.720708 92.290 -27.3564
64.086919 92.273 -27.6080
64.453130 92.256 -27.8641
64.819341 92.238 -28.1212
65.185552 92.220 -28.3751
65.551763 92.202 -28.6251
65.917974 92.184 -28.8727
66.284185 92.166 -29.1205
66.650396 92.148 -29.3687
67.016607 92.130 -29.6151
67.382818 92.111 -29.8572
67.749029 92.093 -30.0941
68.115240 92.074 -30.3274
68.481451 92.057 -30.5596
68.847662 92.039 -30.7925
69.213873 92.021 -31.0251
69.580084 92.003 -31.2549
69.946295 91.984 -31.4804
70.312506 91.967 -31.7031
70.678717 91.950 -31.9269
71.044928 91.933 -32.1559
71.411139 91.916 -32.3903
71.777350 91.898 -32.6256
72.143561 91.878 -32.8562
72.509771 91.859 -33.0781
72.875982 91.839 -33.2924
73.242193 91.821 -33.5034
73.608404 91.804 -33.7159
73.974615 91.787 -33.9322
74.340826 91.769 -34.1509
74.707037 91.751 -34.3690
75.073248 91.733 -34.5840
75.439459 91.714 -34.7948
75.805670 91.696 -35.0016
76.171881 91.678 -35.2057
76.538092 91.660 -35.4091
76.904303 91.643 -35.6129
77.270514 91.625 -35.8173
77.636725 91.607 -36.0206
78.002936 91.589 -36.2208
78.369147 91.572 -36.4175
78.735358 91.554 -36.6129
79.101569 91.538 -36.8109
79.467780 91.522 -37.0136
79.833991 91.504 -37.2198
80.200202 91.487 -37.4249
80.566413 91.468 -37.6241
80.932624 91.450 -37.8167
81.298835 91.432 -38.0052
81.665046 91.415 -38.1938
82.031257 91.398 -38.3844
82.397468 91.380 -38.5754
82.763679 91.362 -38.7637
83.129890 91.345 -38.9482
83.496101 91.327 -39.1309
83.862311 91.310 -39.3151
84.228522 91.293 -39.5025
84.594733 91.276 -39.6911
84.960944 91.257 -39.8771
85.327155 91.239 -40.0580
85.693366 91.221 -40.2349
86.059577 91.203 -40.4111
86.425788 91.186 -40.5891
86.791999 91.168 -40.7681
87.158210 91.150 -40.9445
87.524421 91.132 -41.1155
87.890632 91.115 -41.2819
88.256843 91.099 -41.4485
88.623054 91.084 -41.6202
88.989265 91.068 -41.7983
89.355476 91.052 -41.9797
89.721687 91.035 -42.1592
90.087898 91.018 -42.3334
90.454109 91.000 -42.5027
90.820320 90.983 -42.6693
91.186531 90.966 -42.8346
91.552742 90.949 -42.9982
91.918953 90.932 -43.1594
92.285164 90.916 -43.3196
92.651375 90.900 -43.4819
93.017586 90.884 -43.6487
93.383797 90.867 -43.8185
93.750008 90.849 -43.9860
94.116219 90.830 -44.1460
94.482430 90.813 -44.2984
94.848641 90.796 -44.4487
95.214851 90.780 -44.6046
95.581062 90.765 -44.7694
95.947273 90.748 -44.9396
96.313484 90.730 -45.1072
96.679695 90.712 -45.2657
97.045906 90.694 -45.4155
97.412117 90.677 -45.5624
97.778328 90.661 -45.7128
98.144539 90.645 -45.8683
98.510750 90.629 -46.0253
98.876961 90.611 -46.1781
99.243172 90.594 -46.3241
99.609383 90.578 -46.4654
99.975594 90.563 -46.6072
100.341805 90.548 -46.7531
100.708016 90.533 -46.9029
101.074227 90.517 -47.0533
101.440438 90.501 -47.2010
101.806649 90.485 -47.3456
102.172860 90.469 -47.4894
102.539071 90.453 -47.6351
102.905282 90.437 -47.7836
103.271493 90.421 -47.9326
103.637704 90.404 -48.0784
104.003915 90.386 -48.2190
104.370126 90.370 -48.3549
104.736337 90.353 -48.4893
105.102548 90.338 -48.6251
105.468759 90.322 -48.7633
105.834970 90.307 -48.9027
106.201180 90.291 -49.0414
106.567391 90.275 -49.1786
106.933602 90.260 -49.3155
107.299813 90.245 -49.4535
107.666024 90.230 -49.5935
108.032235 90.215 -49.7347
108.398446 90.199 -49.8760
108.764657 90.184 -50.0164
109.130868 90.168 -50.1558
109.497079 90.152 -50.2941
109.863290 90.135 -50.4303
110.229501 90.119 -50.5626
110.595712 90.102 -50.6896
110.961923 90.086 -50.8114
111.328134 90.071 -50.9310
111.694345 90.057 -51.0524
112.060556 90.043 -51.1790
112.426767 90.029 -51.3114
112.792978 90.015 -51.4470
113.159189 89.999 -51.5817
113.525400 89.983 -51.7117
113.891611 89.968 -51.8362
114.257822 89.953 -51.9580
114.624033 89.938 -52.0820
114.990244 89.924 -52.2115
115.356455 89.909 -52.3459
115.722666 89.893 -52.4806
116.088877 89.876 -52.6093
116.455088 89.859 -52.7283
116.821299 89.843 -52.8396
117.187510 89.828 -52.9492
117.553720 89.814 -53.0641
117.919931 89.801 -53.1871
118.286142 89.787 -53.3164
118.652353 89.772 -53.4462
119.018564 89.756 -53.5714
119.384775 89.740 -53.6902
119.750986 89.725 -53.8049
120.117197 89.711 -53.9191
120.483408 89.697 -54.0353
120.849619 89.683 -54.1542
121.215830 89.669 -54.2747
121.582041 89.655 -54.3954
121.948252 89.641 -54.5156
122.314463 89.627 -54.6352
122.680674 89.612 -54.7535
123.046885 89.598 -54.8697
123.413096 89.583 -54.9832
123.779307 89.568 -55.0944
124.145518 89.554 -55.2050
124.511729 89.540 -55.3168
124.877940 89.526 -55.4307
125.244151 89.513 -55.5461
125.610362 89.499 -55.6609
125.976573 89.486 -55.7723
126.342784 89.472 -55.8796
126.708995 89.459 -55.9838
127.075206 89.446 -56.0875
127.441417 89.434 -56.1941
127.807628 89.423 -56.3055
128.173839 89.411 -56.4218
128.540049 89.398 -56.5403
128.906260 89.385 -56.6571
129.272471 89.371 -56.7684
129.638682 89.357 -56.8726
130.004893 89.344 -56.9719
130.371104 89.332 -57.0712
130.737315 89.321 -57.1759
131.103526 89.310 -57.2882
131.469737 89.298 -57.4050
131.835948 89.285 -57.5199
132.202159 89.271 -57.6268
132.568370 89.258 -57.7247
132.934581 89.246 -57.8183
133.300792 89.235 -57.9146
133.667003 89.224 -58.0181
134.033214 89.213 -58.1279
134.399425 89.201 -58.2388
134.765636 89.188 -58.3456
135.131847 89.176 -58.4476
135.498058 89.164 -58.5483
135.864269 89.152 -58.6522
136.230480 89.140 -58.7601
136.596691 89.128 -58.8682
136.962902 89.114 -58.9706
137.329113 89.101 -59.0653
137.695324 89.088 -59.1556
138.061535 89.077 -59.2482
138.427746 89.066 -59.3482
138.793957 89.055 -59.4547
139.160168 89.043 -59.5610
139.526379 89.029 -59.6603
139.892589 89.016 -59.7500
140.258800 89.004 -59.8350
140.625011 88.994 -59.9237
140.991222 88.985 -60.0223
141.357433 88.975 -60.1304
141.723644 88.963 -60.2412
142.089855 88.950 -60.3464
142.456066 88.936 -60.4418
142.822277 88.924 -60.5295
143.188488 88.913 -60.6157
143.554699 88.902 -60.7062
143.920910 88.892 -60.8026
144.287121 88.881 -60.9023
144.653332 88.869 -61.0009
145.019543 88.857 -61.0958
