* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 21, 2023 9:57:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio U4S mX Foam Tips L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 84.352 158.4847
0.732422 82.495 137.1908
1.098633 78.942 116.6044
1.464844 72.195 98.9851
1.831055 54.674 172.8841
2.197266 69.501 -141.1486
2.563477 72.421 -158.3877
2.929688 71.918 -176.9277
3.295899 68.886 167.6981
3.662110 63.095 168.1356
4.028321 60.815 -149.6860
4.394532 64.778 -145.0411
4.760743 66.829 -165.6902
5.126954 67.707 167.9995
5.493164 68.060 143.9774
5.859375 68.066 128.0120
6.225586 68.160 123.2855
6.591797 69.231 126.2603
6.958008 71.186 127.7923
7.324219 73.048 125.1677
7.690430 74.348 120.9167
8.056641 75.125 117.5142
8.422852 75.628 116.0947
8.789063 76.128 116.2305
9.155274 76.724 116.5204
9.521485 77.328 115.9790
9.887696 77.825 114.6434
10.253907 78.111 113.0375
10.620118 78.282 111.5183
10.986329 78.434 110.0538
11.352540 78.591 108.4205
11.718751 78.744 106.5103
12.084962 78.885 104.4156
12.451173 79.026 102.2791
12.817384 79.237 100.1385
13.183595 79.482 97.9340
13.549806 79.737 95.6410
13.916017 79.984 93.3543
14.282228 80.219 91.2324
14.648439 80.452 89.3713
15.014650 80.696 87.7357
15.380861 80.951 86.2126
15.747072 81.199 84.7262
16.113283 81.429 83.2949
16.479493 81.642 81.9871
16.845704 81.835 80.8355
17.211915 82.019 79.7953
17.578126 82.195 78.7777
17.944337 82.358 77.7179
18.310548 82.502 76.6090
18.676759 82.624 75.4825
19.042970 82.729 74.3656
19.409181 82.826 73.2581
19.775392 82.920 72.1401
20.141603 83.015 70.9923
20.507814 83.112 69.8064
20.874025 83.209 68.5846
21.240236 83.305 67.3381
21.606447 83.399 66.0894
21.972658 83.492 64.8702
22.338869 83.586 63.7077
22.705080 83.685 62.6062
23.071291 83.790 61.5442
23.437502 83.899 60.4938
23.803713 84.004 59.4485
24.169924 84.101 58.4333
24.536135 84.188 57.4854
24.902346 84.269 56.6218
25.268557 84.351 55.8211
25.634768 84.434 55.0366
26.000979 84.514 54.2298
26.367190 84.583 53.3966
26.733401 84.639 52.5671
27.099612 84.684 51.7806
27.465823 84.723 51.0561
27.832033 84.767 50.3773
28.198244 84.818 49.6994
28.564455 84.876 48.9723
28.930666 84.935 48.1683
29.296877 84.990 47.2956
29.663088 85.034 46.3952
30.029299 85.069 45.5183
30.395510 85.101 44.6995
30.761721 85.136 43.9401
31.127932 85.178 43.2125
31.494143 85.225 42.4845
31.860354 85.272 41.7441
32.226565 85.317 41.0050
32.592776 85.357 40.2915
32.958987 85.396 39.6160
33.325198 85.436 38.9697
33.691409 85.476 38.3323
34.057620 85.515 37.6918
34.423831 85.549 37.0530
34.790042 85.578 36.4309
35.156253 85.604 35.8350
35.522464 85.630 35.2603
35.888675 85.656 34.6926
36.254886 85.681 34.1207
36.621097 85.706 33.5429
36.987308 85.729 32.9644
37.353519 85.750 32.3886
37.719730 85.772 31.8142
38.085941 85.792 31.2395
38.452152 85.811 30.6684
38.818363 85.830 30.1096
39.184573 85.848 29.5689
39.550784 85.869 29.0421
39.916995 85.892 28.5152
40.283206 85.917 27.9751
40.649417 85.941 27.4211
41.015628 85.960 26.8683
41.381839 85.975 26.3385
41.748050 85.988 25.8459
42.114261 86.004 25.3854
42.480472 86.025 24.9347
42.846683 86.048 24.4672
43.212894 86.072 23.9690
43.579105 86.091 23.4467
43.945316 86.105 22.9230
44.311527 86.113 22.4213
44.677738 86.121 21.9512
45.043949 86.130 21.5049
45.410160 86.141 21.0647
45.776371 86.154 20.6179
46.142582 86.166 20.1644
46.508793 86.176 19.7135
46.875004 86.186 19.2732
47.241215 86.197 18.8421
47.607426 86.209 18.4110
47.973637 86.221 17.9728
48.339848 86.232 17.5298
48.706059 86.240 17.0929
49.072270 86.247 16.6718
49.438481 86.255 16.2668
49.804692 86.264 15.8688
50.170902 86.274 15.4679
50.537113 86.284 15.0613
50.903324 86.293 14.6541
51.269535 86.301 14.2529
51.635746 86.308 13.8587
52.001957 86.316 13.4664
52.368168 86.323 13.0715
52.734379 86.329 12.6774
53.100590 86.333 12.2942
53.466801 86.336 11.9296
53.833012 86.342 11.5802
54.199223 86.350 11.2310
54.565434 86.360 10.8648
54.931645 86.369 10.4766
55.297856 86.374 10.0783
55.664067 86.375 9.6908
56.030278 86.375 9.3273
56.396489 86.376 8.9819
56.762700 86.380 8.6330
57.128911 86.385 8.2619
57.495122 86.385 7.8711
57.861333 86.380 7.4879
58.227544 86.370 7.1474
58.593755 86.362 6.8654
58.959966 86.362 6.6211
59.326177 86.373 6.3654
59.692388 86.391 6.0522
60.058599 86.407 5.6697
60.424810 86.415 5.2489
60.791021 86.414 4.8413
61.157232 86.408 4.4839
61.523442 86.405 4.1764
61.889653 86.408 3.8865
62.255864 86.415 3.5793
62.622075 86.422 3.2453
62.988286 86.425 2.9045
63.354497 86.424 2.5846
63.720708 86.423 2.2938
64.086919 86.426 2.0129
64.453130 86.432 1.7129
64.819341 86.436 1.3833
65.185552 86.433 1.0447
65.551763 86.426 0.7322
65.917974 86.417 0.4649
66.284185 86.414 0.2259
66.650396 86.418 -0.0264
67.016607 86.423 -0.3236
67.382818 86.424 -0.6601
67.749029 86.418 -0.9966
68.115240 86.408 -1.2929
68.481451 86.400 -1.5438
68.847662 86.401 -1.7850
69.213873 86.408 -2.0643
69.580084 86.414 -2.3995
69.946295 86.412 -2.7619
70.312506 86.403 -3.0986
70.678717 86.392 -3.3770
71.044928 86.388 -3.6126
71.411139 86.393 -3.8568
71.777350 86.401 -4.1536
72.143561 86.405 -4.5007
72.509771 86.398 -4.8508
72.875982 86.384 -5.1488
73.242193 86.371 -5.3762
73.608404 86.366 -5.5655
73.974615 86.370 -5.7734
74.340826 86.376 -6.0346
74.707037 86.376 -6.3359
75.073248 86.367 -6.6300
75.439459 86.354 -6.8740
75.805670 86.343 -7.0632
76.171881 86.340 -7.2322
76.538092 86.344 -7.4271
76.904303 86.349 -7.6709
77.270514 86.350 -7.9508
77.636725 86.345 -8.2327
78.002936 86.336 -8.4884
78.369147 86.328 -8.7140
78.735358 86.325 -8.9285
79.101569 86.324 -9.1568
79.467780 86.325 -9.4120
79.833991 86.323 -9.6884
80.200202 86.317 -9.9674
80.566413 86.308 -10.2294
80.932624 86.298 -10.4651
81.298835 86.291 -10.6792
81.665046 86.287 -10.8884
82.031257 86.287 -11.1118
82.397468 86.287 -11.3609
82.763679 86.285 -11.6315
83.129890 86.278 -11.9046
83.496101 86.267 -12.1560
83.862311 86.256 -12.3711
84.228522 86.248 -12.5553
84.594733 86.246 -12.7327
84.960944 86.248 -12.9321
85.327155 86.252 -13.1692
85.693366 86.253 -13.4370
86.059577 86.249 -13.7114
86.425788 86.240 -13.9672
86.791999 86.230 -14.1936
87.158210 86.222 -14.3986
87.524421 86.218 -14.6004
87.890632 86.214 -14.8126
88.256843 86.210 -15.0354
88.623054 86.204 -15.2586
88.989265 86.197 -15.4718
89.355476 86.190 -15.6731
89.721687 86.185 -15.8692
90.087898 86.180 -16.0682
90.454109 86.176 -16.2718
90.820320 86.171 -16.4751
91.186531 86.166 -16.6733
91.552742 86.162 -16.8683
91.918953 86.159 -17.0698
92.285164 86.157 -17.2873
92.651375 86.154 -17.5211
93.017586 86.147 -17.7599
93.383797 86.137 -17.9867
93.750008 86.126 -18.1902
94.116219 86.117 -18.3718
94.482430 86.110 -18.5441
94.848641 86.107 -18.7215
95.214851 86.104 -18.9119
95.581062 86.102 -19.1134
95.947273 86.098 -19.3194
96.313484 86.094 -19.5254
96.679695 86.090 -19.7318
97.045906 86.086 -19.9409
97.412117 86.080 -20.1524
97.778328 86.072 -20.3603
98.144539 86.064 -20.5562
98.510750 86.056 -20.7364
98.876961 86.049 -20.9057
99.243172 86.045 -21.0756
99.609383 86.042 -21.2577
99.975594 86.039 -21.4552
100.341805 86.034 -21.6613
100.708016 86.027 -21.8641
101.074227 86.019 -22.0550
101.440438 86.011 -22.2342
101.806649 86.005 -22.4093
102.172860 85.999 -22.5891
102.539071 85.994 -22.7763
102.905282 85.988 -22.9664
103.271493 85.982 -23.1524
103.637704 85.975 -23.3315
104.003915 85.970 -23.5072
104.370126 85.965 -23.6869
104.736337 85.961 -23.8748
105.102548 85.956 -24.0684
105.468759 85.950 -24.2600
105.834970 85.943 -24.4434
106.201180 85.937 -24.6186
106.567391 85.931 -24.7917
106.933602 85.926 -24.9694
107.299813 85.921 -25.1533
107.666024 85.915 -25.3377
108.032235 85.907 -25.5147
108.398446 85.899 -25.6804
108.764657 85.893 -25.8384
109.130868 85.888 -25.9979
109.497079 85.884 -26.1671
109.863290 85.879 -26.3468
110.229501 85.872 -26.5299
110.595712 85.864 -26.7059
110.961923 85.855 -26.8682
111.328134 85.847 -27.0187
111.694345 85.841 -27.1667
112.060556 85.838 -27.3227
112.426767 85.834 -27.4923
112.792978 85.830 -27.6729
113.159189 85.825 -27.8564
113.525400 85.818 -28.0360
113.891611 85.811 -28.2099
114.257822 85.805 -28.3821
114.624033 85.799 -28.5571
114.990244 85.792 -28.7340
115.356455 85.784 -28.9063
115.722666 85.776 -29.0665
116.088877 85.769 -29.2140
116.455088 85.764 -29.3586
116.821299 85.762 -29.5146
117.187510 85.759 -29.6902
117.553720 85.754 -29.8788
117.919931 85.745 -30.0618
118.286142 85.733 -30.2205
118.652353 85.722 -30.3502
119.018564 85.716 -30.4651
119.384775 85.713 -30.5890
119.750986 85.712 -30.7387
120.117197 85.709 -30.9125
120.483408 85.703 -31.0929
120.849619 85.693 -31.2601
121.215830 85.683 -31.4063
121.582041 85.675 -31.5391
121.948252 85.669 -31.6736
122.314463 85.664 -31.8194
122.680674 85.659 -31.9749
123.046885 85.653 -32.1318
123.413096 85.646 -32.2841
123.779307 85.640 -32.4333
124.145518 85.635 -32.5855
124.511729 85.629 -32.7444
124.877940 85.623 -32.9067
125.244151 85.617 -33.0650
125.610362 85.611 -33.2147
125.976573 85.606 -33.3576
126.342784 85.602 -33.5003
126.708995 85.599 -33.6479
127.075206 85.595 -33.8002
127.441417 85.591 -33.9529
127.807628 85.586 -34.1024
128.173839 85.582 -34.2495
128.540049 85.578 -34.3977
128.906260 85.573 -34.5492
129.272471 85.568 -34.7015
129.638682 85.561 -34.8491
130.004893 85.555 -34.9883
130.371104 85.549 -35.1202
130.737315 85.544 -35.2508
131.103526 85.540 -35.3861
131.469737 85.536 -35.5279
131.835948 85.531 -35.6731
132.202159 85.526 -35.8162
132.568370 85.520 -35.9537
132.934581 85.515 -36.0863
133.300792 85.510 -36.2184
133.667003 85.506 -36.3552
134.033214 85.503 -36.4987
134.399425 85.498 -36.6469
134.765636 85.492 -36.7940
135.131847 85.486 -36.9344
135.498058 85.480 -37.0658
135.864269 85.475 -37.1918
136.230480 85.471 -37.3196
136.596691 85.469 -37.4556
136.962902 85.466 -37.6010
137.329113 85.461 -37.7507
137.695324 85.456 -37.8964
138.061535 85.450 -38.0331
138.427746 85.444 -38.1624
138.793957 85.441 -38.2910
139.160168 85.437 -38.4258
139.526379 85.434 -38.5680
139.892589 85.430 -38.7128
140.258800 85.424 -38.8533
140.625011 85.418 -38.9852
140.991222 85.412 -39.1091
141.357433 85.408 -39.2288
141.723644 85.404 -39.3485
142.089855 85.402 -39.4712
142.456066 85.400 -39.5994
142.822277 85.398 -39.7357
143.188488 85.395 -39.8809
143.554699 85.390 -40.0307
143.920910 85.383 -40.1758
144.287121 85.374 -40.3059
144.653332 85.366 -40.4176
145.019543 85.360 -40.5184
145.385754 85.357 -40.6232
145.751965 85.355 -40.7436
146.118176 85.352 -40.8794
146.484387 85.346 -41.0184
146.850598 85.339 -41.1459
