* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 21, 2023 9:59:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio U4S mX Foam Tips R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 84.347 158.3855
0.732422 82.482 136.9562
1.098633 78.909 116.1157
1.464844 72.090 97.7456
1.831055 53.192 -179.0876
2.197266 69.563 -139.0988
2.563477 72.449 -157.0408
2.929688 71.904 -175.7093
3.295899 68.790 169.0687
3.662110 62.817 170.7123
4.028321 60.849 -144.5730
4.394532 64.874 -140.9874
4.760743 66.767 -161.7742
5.126954 67.440 171.7177
5.493164 67.607 147.1897
5.859375 67.492 130.8393
6.225586 67.559 126.2478
6.591797 68.724 129.4200
6.958008 70.789 130.6707
7.324219 72.702 127.6779
7.690430 74.017 123.2476
8.056641 74.801 119.8832
8.422852 75.324 118.6472
8.789063 75.864 118.9614
9.155274 76.507 119.3048
9.521485 77.144 118.7121
9.887696 77.655 117.3155
10.253907 77.941 115.7139
10.620118 78.106 114.2909
10.986329 78.256 112.9948
11.352540 78.421 111.5513
11.718751 78.589 109.8011
12.084962 78.746 107.8085
12.451173 78.899 105.7181
12.817384 79.116 103.5959
13.183595 79.359 101.4218
13.549806 79.611 99.1959
13.916017 79.860 97.0068
14.282228 80.104 94.9801
14.648439 80.354 93.1765
15.014650 80.615 91.5496
15.380861 80.883 90.0092
15.747072 81.140 88.5156
16.113283 81.379 87.1065
16.479493 81.605 85.8402
16.845704 81.814 84.7219
17.211915 82.015 83.6892
17.578126 82.205 82.6619
17.944337 82.377 81.6024
18.310548 82.526 80.5260
18.676759 82.656 79.4633
19.042970 82.773 78.4194
19.409181 82.884 77.3693
19.775392 82.992 76.2841
20.141603 83.097 75.1554
20.507814 83.200 73.9937
20.874025 83.302 72.8122
21.240236 83.404 71.6172
21.606447 83.506 70.4172
21.972658 83.608 69.2317
22.338869 83.710 68.0868
22.705080 83.815 66.9964
23.071291 83.924 65.9517
23.437502 84.037 64.9327
23.803713 84.148 63.9314
24.169924 84.254 62.9628
24.536135 84.352 62.0526
24.902346 84.446 61.2114
25.268557 84.540 60.4217
25.634768 84.632 59.6495
26.000979 84.720 58.8692
26.367190 84.800 58.0800
26.733401 84.870 57.2999
27.099612 84.932 56.5456
27.465823 84.990 55.8171
27.832033 85.048 55.0970
28.198244 85.106 54.3632
28.564455 85.163 53.6022
28.930666 85.217 52.8154
29.296877 85.267 52.0160
29.663088 85.314 51.2228
30.029299 85.359 50.4506
30.395510 85.405 49.7039
30.761721 85.455 48.9749
31.127932 85.507 48.2495
31.494143 85.561 47.5193
31.860354 85.612 46.7900
32.226565 85.660 46.0793
32.592776 85.706 45.4043
32.958987 85.751 44.7673
33.325198 85.798 44.1532
33.691409 85.847 43.5404
34.057620 85.893 42.9172
34.423831 85.935 42.2893
34.790042 85.970 41.6737
35.156253 86.001 41.0846
35.522464 86.031 40.5233
35.888675 86.061 39.9790
36.254886 86.092 39.4369
36.621097 86.124 38.8863
36.987308 86.154 38.3242
37.353519 86.184 37.7532
37.719730 86.211 37.1784
38.085941 86.237 36.6056
38.452152 86.261 36.0403
38.818363 86.284 35.4864
39.184573 86.308 34.9454
39.550784 86.332 34.4166
39.916995 86.357 33.8973
40.283206 86.384 33.3831
40.649417 86.412 32.8679
41.015628 86.440 32.3463
41.381839 86.465 31.8188
41.748050 86.486 31.2969
42.114261 86.502 30.8014
42.480472 86.515 30.3516
42.846683 86.532 29.9496
43.212894 86.554 29.5723
43.579105 86.585 29.1793
43.945316 86.619 28.7360
44.311527 86.649 28.2356
44.677738 86.672 27.7040
45.043949 86.684 27.1844
45.410160 86.692 26.7105
45.776371 86.699 26.2883
46.142582 86.712 25.8958
46.508793 86.730 25.5007
46.875004 86.751 25.0821
47.241215 86.771 24.6401
47.607426 86.787 24.1899
47.973637 86.802 23.7479
48.339848 86.815 23.3202
48.706059 86.829 22.9026
49.072270 86.843 22.4877
49.438481 86.857 22.0724
49.804692 86.869 21.6600
50.170902 86.881 21.2556
50.537113 86.893 20.8611
50.903324 86.905 20.4743
51.269535 86.917 20.0920
51.635746 86.928 19.7125
52.001957 86.940 19.3363
52.368168 86.951 18.9629
52.734379 86.962 18.5903
53.100590 86.973 18.2170
53.466801 86.982 17.8463
53.833012 86.990 17.4849
54.199223 86.999 17.1374
54.565434 87.009 16.7989
54.931645 87.021 16.4558
55.297856 87.034 16.0962
55.664067 87.045 15.7218
56.030278 87.052 15.3495
56.396489 87.058 14.9973
56.762700 87.066 14.6660
57.128911 87.079 14.3324
57.495122 87.093 13.9660
57.861333 87.105 13.5566
58.227544 87.108 13.1308
58.593755 87.101 12.7393
58.959966 87.092 12.4221
59.326177 87.088 12.1756
59.692388 87.096 11.9510
60.058599 87.113 11.6864
60.424810 87.133 11.3509
60.791021 87.145 10.9636
61.157232 87.148 10.5771
61.523442 87.144 10.2386
61.889653 87.141 9.9593
62.255864 87.144 9.7130
62.622075 87.153 9.4601
62.988286 87.166 9.1763
63.354497 87.176 8.8628
63.720708 87.183 8.5374
64.086919 87.187 8.2163
64.453130 87.189 7.9058
64.819341 87.191 7.6044
65.185552 87.192 7.3104
65.551763 87.193 7.0234
65.917974 87.195 6.7420
66.284185 87.198 6.4605
66.650396 87.201 6.1724
67.016607 87.204 5.8772
67.382818 87.205 5.5830
67.749029 87.205 5.3009
68.115240 87.205 5.0343
68.481451 87.209 4.7741
68.847662 87.215 4.5042
69.213873 87.221 4.2138
69.580084 87.225 3.9072
69.946295 87.225 3.6004
70.312506 87.223 3.3105
70.678717 87.220 3.0437
71.044928 87.218 2.7936
71.411139 87.219 2.5482
71.777350 87.220 2.2996
72.143561 87.220 2.0486
72.509771 87.220 1.8005
72.875982 87.220 1.5584
73.242193 87.221 1.3205
73.608404 87.222 1.0818
73.974615 87.224 0.8384
74.340826 87.226 0.5895
74.707037 87.228 0.3355
75.073248 87.229 0.0764
75.439459 87.230 -0.1885
75.805670 87.229 -0.4580
76.171881 87.227 -0.7272
76.538092 87.224 -0.9893
76.904303 87.220 -1.2397
77.270514 87.218 -1.4801
77.636725 87.216 -1.7176
78.002936 87.216 -1.9599
78.369147 87.216 -2.2100
78.735358 87.215 -2.4638
79.101569 87.212 -2.7127
79.467780 87.209 -2.9495
79.833991 87.206 -3.1736
80.200202 87.205 -3.3921
80.566413 87.206 -3.6164
80.932624 87.208 -3.8549
81.298835 87.208 -4.1070
81.665046 87.206 -4.3619
82.031257 87.200 -4.6047
82.397468 87.195 -4.8258
82.763679 87.191 -5.0283
83.129890 87.190 -5.2277
83.496101 87.192 -5.4416
83.862311 87.195 -5.6786
84.228522 87.195 -5.9318
84.594733 87.192 -6.1844
84.960944 87.187 -6.4212
85.327155 87.182 -6.6388
85.693366 87.179 -6.8453
86.059577 87.178 -7.0526
86.425788 87.178 -7.2665
86.791999 87.177 -7.4845
87.158210 87.176 -7.7006
87.524421 87.175 -7.9119
87.890632 87.174 -8.1209
88.256843 87.173 -8.3309
88.623054 87.172 -8.5416
88.989265 87.170 -8.7487
89.355476 87.168 -8.9496
89.721687 87.167 -9.1481
90.087898 87.167 -9.3528
90.454109 87.167 -9.5698
90.820320 87.165 -9.7965
91.186531 87.160 -10.0218
91.552742 87.153 -10.2345
91.918953 87.147 -10.4316
92.285164 87.141 -10.6207
92.651375 87.138 -10.8125
93.017586 87.135 -11.0121
93.383797 87.131 -11.2153
93.750008 87.126 -11.4135
94.116219 87.121 -11.6027
94.482430 87.118 -11.7870
94.848641 87.116 -11.9751
95.214851 87.115 -12.1724
95.581062 87.113 -12.3760
95.947273 87.111 -12.5784
96.313484 87.107 -12.7740
96.679695 87.104 -12.9643
97.045906 87.102 -13.1559
97.412117 87.101 -13.3536
97.778328 87.098 -13.5552
98.144539 87.093 -13.7532
98.510750 87.088 -13.9417
98.876961 87.084 -14.1212
99.243172 87.080 -14.2988
99.609383 87.078 -14.4821
99.975594 87.075 -14.6732
100.341805 87.071 -14.8671
100.708016 87.066 -15.0570
101.074227 87.061 -15.2394
101.440438 87.056 -15.4162
101.806649 87.052 -15.5918
102.172860 87.048 -15.7690
102.539071 87.045 -15.9468
102.905282 87.041 -16.1235
103.271493 87.038 -16.2993
103.637704 87.036 -16.4777
104.003915 87.034 -16.6625
104.370126 87.032 -16.8541
104.736337 87.028 -17.0482
105.102548 87.022 -17.2380
105.468759 87.016 -17.4182
105.834970 87.010 -17.5879
106.201180 87.005 -17.7498
106.567391 87.001 -17.9090
106.933602 86.998 -18.0706
107.299813 86.996 -18.2384
107.666024 86.994 -18.4137
108.032235 86.991 -18.5948
108.398446 86.988 -18.7771
108.764657 86.983 -18.9554
109.130868 86.978 -19.1279
109.497079 86.974 -19.2978
109.863290 86.971 -19.4715
110.229501 86.967 -19.6526
110.595712 86.962 -19.8379
110.961923 86.955 -20.0175
111.328134 86.947 -20.1816
111.694345 86.941 -20.3286
112.060556 86.937 -20.4680
112.426767 86.936 -20.6147
112.792978 86.936 -20.7797
113.159189 86.936 -20.9626
113.525400 86.933 -21.1530
113.891611 86.928 -21.3378
114.257822 86.921 -21.5098
114.624033 86.915 -21.6702
114.990244 86.910 -21.8244
115.356455 86.905 -21.9770
115.722666 86.901 -22.1287
116.088877 86.897 -22.2784
116.455088 86.893 -22.4262
116.821299 86.890 -22.5740
117.187510 86.887 -22.7228
117.553720 86.884 -22.8714
117.919931 86.881 -23.0178
118.286142 86.879 -23.1644
118.652353 86.879 -23.3197
119.018564 86.879 -23.4932
119.384775 86.876 -23.6862
119.750986 86.869 -23.8851
120.117197 86.857 -24.0660
120.483408 86.844 -24.2092
120.849619 86.833 -24.3154
121.215830 86.829 -24.4086
121.582041 86.830 -24.5225
121.948252 86.834 -24.6787
122.314463 86.834 -24.8722
122.680674 86.829 -25.0760
123.046885 86.819 -25.2611
123.413096 86.808 -25.4156
123.779307 86.799 -25.5502
124.145518 86.793 -25.6851
124.511729 86.788 -25.8320
124.877940 86.782 -25.9847
125.244151 86.776 -26.1275
125.610362 86.770 -26.2516
125.976573 86.768 -26.3648
126.342784 86.770 -26.4872
126.708995 86.773 -26.6354
127.075206 86.776 -26.8104
127.441417 86.775 -26.9987
127.807628 86.770 -27.1837
128.173839 86.764 -27.3572
128.540049 86.757 -27.5208
128.906260 86.749 -27.6772
129.272471 86.740 -27.8231
129.638682 86.731 -27.9499
130.004893 86.723 -28.0539
130.371104 86.720 -28.1450
130.737315 86.721 -28.2444
131.103526 86.724 -28.3710
131.469737 86.727 -28.5279
131.835948 86.726 -28.7001
132.202159 86.722 -28.8665
132.568370 86.717 -29.0154
132.934581 86.712 -29.1521
133.300792 86.710 -29.2915
133.667003 86.708 -29.4440
134.033214 86.705 -29.6060
134.399425 86.699 -29.7631
134.765636 86.692 -29.9033
135.131847 86.686 -30.0272
135.498058 86.682 -30.1474
135.864269 86.681 -30.2772
136.230480 86.679 -30.4203
136.596691 86.676 -30.5678
136.962902 86.671 -30.7076
137.329113 86.666 -30.8351
137.695324 86.664 -30.9578
138.061535 86.663 -31.0885
138.427746 86.662 -31.2345
138.793957 86.659 -31.3910
139.160168 86.653 -31.5439
139.526379 86.645 -31.6805
139.892589 86.638 -31.7983
140.258800 86.634 -31.9063
140.625011 86.631 -32.0182
140.991222 86.630 -32.1425
141.357433 86.628 -32.2782
141.723644 86.624 -32.4170
142.089855 86.619 -32.5506
142.456066 86.614 -32.6757
142.822277 86.610 -32.7956
143.188488 86.607 -32.9162
143.554699 86.604 -33.0417
143.920910 86.601 -33.1728
144.287121 86.598 -33.3067
144.653332 86.594 -33.4402
145.019543 86.589 -33.5712
145.385754 86.585 -33.6994
145.751965 86.581 -33.8254
146.118176 86.577 -33.9500
146.484387 86.574 -34.0745
146.850598 86.571 -34.2001
147.216809 86.568 -34.3279
147.583020 86.565 -34.4583
