* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 15, 2023 10:29:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Legato Foam Tips R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 90.455 -27.0449
0.732422 88.568 -53.9529
1.098633 84.766 -80.2902
1.464844 76.187 -102.7098
1.831055 72.834 31.0936
2.197266 82.507 12.4702
2.563477 85.953 -11.3198
2.929688 87.393 -33.4512
3.295899 87.698 -51.6831
3.662110 87.366 -63.4922
4.028321 87.145 -67.2397
4.394532 87.887 -66.6146
4.760743 89.410 -68.5980
5.126954 90.890 -74.6163
5.493164 91.916 -82.2444
5.859375 92.484 -89.0807
6.225586 92.792 -93.7407
6.591797 93.109 -96.2419
6.958008 93.591 -97.9141
7.324219 94.173 -100.1523
7.690430 94.690 -103.2697
8.056641 95.046 -106.6923
8.422852 95.259 -109.7276
8.789063 95.412 -112.0974
9.155274 95.582 -114.0413
9.521485 95.781 -115.9985
9.887696 95.970 -118.1925
10.253907 96.046 -120.5234
10.620118 96.049 -122.7702
10.986329 96.040 -124.8238
11.352540 96.040 -126.7491
11.718751 96.054 -128.6683
12.084962 96.066 -130.6203
12.451173 96.071 -132.5406
12.817384 96.114 -134.3499
13.183595 96.168 -136.0356
13.549806 96.226 -137.6456
13.916017 96.282 -139.2188
14.282228 96.327 -140.7380
14.648439 96.361 -142.1543
15.014650 96.389 -143.4463
15.380861 96.418 -144.6467
15.747072 96.447 -145.8113
16.113283 96.474 -146.9684
16.479493 96.500 -148.1030
16.845704 96.516 -149.1867
17.211915 96.527 -150.2152
17.578126 96.536 -151.2139
17.944337 96.543 -152.2102
18.310548 96.546 -153.2087
18.676759 96.544 -154.1961
19.042970 96.542 -155.1645
19.409181 96.540 -156.1244
19.775392 96.539 -157.0906
20.141603 96.536 -158.0593
20.507814 96.532 -159.0048
20.874025 96.527 -159.9021
21.240236 96.526 -160.7513
21.606447 96.530 -161.5776
21.972658 96.537 -162.4049
22.338869 96.541 -163.2300
22.705080 96.541 -164.0250
23.071291 96.538 -164.7642
23.437502 96.537 -165.4511
23.803713 96.539 -166.1168
24.169924 96.542 -166.7935
24.536135 96.541 -167.4859
24.902346 96.531 -168.1670
25.268557 96.514 -168.8018
25.634768 96.497 -169.3766
26.000979 96.485 -169.9137
26.367190 96.479 -170.4590
26.733401 96.478 -171.0540
27.099612 96.474 -171.7105
27.465823 96.460 -172.4039
27.832033 96.436 -173.0872
28.198244 96.406 -173.7168
28.564455 96.375 -174.2776
28.930666 96.352 -174.7901
29.296877 96.337 -175.2960
29.663088 96.328 -175.8291
30.029299 96.318 -176.3925
30.395510 96.304 -176.9599
30.761721 96.286 -177.4977
31.127932 96.268 -177.9918
31.494143 96.254 -178.4563
31.860354 96.243 -178.9181
32.226565 96.234 -179.3933
32.592776 96.222 -179.8751
32.958987 96.206 179.6559
33.325198 96.189 179.2111
33.691409 96.172 178.7824
34.057620 96.157 178.3517
34.423831 96.140 177.9103
34.790042 96.118 177.4705
35.156253 96.093 177.0568
35.522464 96.068 176.6841
35.888675 96.047 176.3411
36.254886 96.034 175.9934
36.621097 96.025 175.6061
36.987308 96.015 175.1670
37.353519 95.999 174.6955
37.719730 95.973 174.2296
38.085941 95.942 173.8038
38.452152 95.910 173.4313
38.818363 95.881 173.1019
39.184573 95.856 172.7930
39.550784 95.836 172.4849
39.916995 95.819 172.1688
40.283206 95.803 171.8446
40.649417 95.789 171.5136
41.015628 95.774 171.1742
41.381839 95.759 170.8242
41.748050 95.741 170.4657
42.114261 95.721 170.1071
42.480472 95.699 169.7581
42.846683 95.676 169.4225
43.212894 95.654 169.0967
43.579105 95.631 168.7737
43.945316 95.609 168.4508
44.311527 95.586 168.1322
44.677738 95.562 167.8245
45.043949 95.540 167.5286
45.410160 95.519 167.2369
45.776371 95.500 166.9382
46.142582 95.481 166.6282
46.508793 95.460 166.3135
46.875004 95.437 166.0078
47.241215 95.412 165.7211
47.607426 95.389 165.4533
47.973637 95.367 165.1950
48.339848 95.347 164.9354
48.706059 95.328 164.6694
49.072270 95.308 164.3990
49.438481 95.288 164.1288
49.804692 95.267 163.8616
50.170902 95.245 163.5978
50.537113 95.223 163.3376
50.903324 95.201 163.0823
51.269535 95.179 162.8337
51.635746 95.157 162.5918
52.001957 95.135 162.3531
52.368168 95.115 162.1138
52.734379 95.094 161.8720
53.100590 95.073 161.6296
53.466801 95.052 161.3909
53.833012 95.030 161.1592
54.199223 95.009 160.9344
54.565434 94.989 160.7126
54.931645 94.970 160.4884
55.297856 94.950 160.2573
55.664067 94.930 160.0191
56.030278 94.908 159.7790
56.396489 94.883 159.5470
56.762700 94.857 159.3328
57.128911 94.832 159.1405
57.495122 94.809 158.9637
57.861333 94.789 158.7876
58.227544 94.772 158.5956
58.593755 94.755 158.3796
58.959966 94.736 158.1452
59.326177 94.713 157.9091
59.692388 94.686 157.6894
60.058599 94.660 157.4951
60.424810 94.635 157.3212
60.791021 94.614 157.1530
61.157232 94.595 156.9749
61.523442 94.577 156.7801
61.889653 94.558 156.5729
62.255864 94.537 156.3646
62.622075 94.515 156.1658
62.988286 94.492 155.9799
63.354497 94.470 155.8030
63.720708 94.449 155.6277
64.086919 94.429 155.4487
64.453130 94.409 155.2652
64.819341 94.387 155.0808
65.185552 94.365 154.8997
65.551763 94.343 154.7242
65.917974 94.320 154.5540
66.284185 94.298 154.3880
66.650396 94.276 154.2250
67.016607 94.255 154.0646
67.382818 94.234 153.9057
67.749029 94.213 153.7458
68.115240 94.193 153.5818
68.481451 94.172 153.4121
68.847662 94.151 153.2388
69.213873 94.128 153.0679
69.580084 94.104 152.9056
69.946295 94.080 152.7552
70.312506 94.057 152.6138
70.678717 94.036 152.4745
71.044928 94.015 152.3301
71.411139 93.995 152.1785
71.777350 93.973 152.0232
72.143561 93.951 151.8704
72.509771 93.928 151.7245
72.875982 93.905 151.5853
73.242193 93.883 151.4484
73.608404 93.862 151.3101
73.974615 93.841 151.1696
74.340826 93.819 151.0289
74.707037 93.797 150.8896
75.073248 93.776 150.7502
75.439459 93.755 150.6072
75.805670 93.734 150.4597
76.171881 93.711 150.3124
76.538092 93.687 150.1738
76.904303 93.663 150.0502
77.270514 93.641 149.9392
77.636725 93.622 149.8297
78.002936 93.605 149.7081
78.369147 93.589 149.5675
78.735358 93.570 149.4123
79.101569 93.549 149.2551
79.467780 93.526 149.1083
79.833991 93.502 148.9771
80.200202 93.479 148.8587
80.566413 93.456 148.7476
80.932624 93.434 148.6404
81.298835 93.413 148.5375
81.665046 93.393 148.4392
82.031257 93.374 148.3426
82.397468 93.356 148.2410
82.763679 93.339 148.1284
83.129890 93.321 148.0047
83.496101 93.301 147.8763
83.862311 93.280 147.7523
84.228522 93.257 147.6384
84.594733 93.235 147.5344
84.960944 93.214 147.4352
85.327155 93.193 147.3359
85.693366 93.173 147.2353
86.059577 93.153 147.1348
86.425788 93.133 147.0356
86.791999 93.114 146.9360
87.158210 93.095 146.8320
87.524421 93.076 146.7214
87.890632 93.056 146.6057
88.256843 93.034 146.4911
88.623054 93.012 146.3840
88.989265 92.989 146.2870
89.355476 92.967 146.1976
89.721687 92.947 146.1100
90.087898 92.928 146.0192
90.454109 92.909 145.9234
90.820320 92.889 145.8242
91.186531 92.870 145.7241
91.552742 92.850 145.6242
91.918953 92.831 145.5242
92.285164 92.811 145.4232
92.651375 92.792 145.3217
93.017586 92.772 145.2215
93.383797 92.751 145.1247
93.750008 92.731 145.0322
94.116219 92.711 144.9431
94.482430 92.691 144.8558
94.848641 92.672 144.7692
95.214851 92.653 144.6828
95.581062 92.634 144.5971
95.947273 92.615 144.5125
96.313484 92.596 144.4286
96.679695 92.577 144.3451
97.045906 92.558 144.2616
97.412117 92.540 144.1783
97.778328 92.521 144.0958
98.144539 92.502 144.0140
98.510750 92.484 143.9324
98.876961 92.465 143.8505
99.243172 92.446 143.7682
99.609383 92.428 143.6857
99.975594 92.409 143.6039
100.341805 92.390 143.5234
100.708016 92.372 143.4442
101.074227 92.353 143.3661
101.440438 92.334 143.2887
101.806649 92.316 143.2120
102.172860 92.297 143.1360
102.539071 92.279 143.0609
102.905282 92.260 142.9866
103.271493 92.242 142.9128
103.637704 92.223 142.8400
104.003915 92.204 142.7689
104.370126 92.185 142.6999
104.736337 92.166 142.6332
105.102548 92.148 142.5681
105.468759 92.129 142.5034
105.834970 92.111 142.4383
106.201180 92.093 142.3725
106.567391 92.075 142.3066
106.933602 92.056 142.2409
107.299813 92.038 142.1755
107.666024 92.020 142.1098
108.032235 92.002 142.0428
108.398446 91.985 141.9745
108.764657 91.967 141.9050
109.130868 91.948 141.8354
109.497079 91.930 141.7665
109.863290 91.912 141.6988
110.229501 91.894 141.6323
110.595712 91.876 141.5669
110.961923 91.858 141.5021
111.328134 91.840 141.4377
111.694345 91.823 141.3732
112.060556 91.805 141.3083
112.426767 91.788 141.2432
112.792978 91.770 141.1788
113.159189 91.752 141.1161
113.525400 91.734 141.0562
113.891611 91.716 140.9992
114.257822 91.698 140.9448
114.624033 91.680 140.8918
114.990244 91.663 140.8396
115.356455 91.645 140.7875
115.722666 91.628 140.7355
116.088877 91.611 140.6837
116.455088 91.594 140.6322
116.821299 91.577 140.5805
117.187510 91.560 140.5283
117.553720 91.543 140.4749
117.919931 91.526 140.4205
118.286142 91.509 140.3653
118.652353 91.491 140.3103
119.018564 91.473 140.2565
119.384775 91.455 140.2048
119.750986 91.438 140.1554
120.117197 91.420 140.1077
120.483408 91.403 140.0605
120.849619 91.386 140.0128
121.215830 91.370 139.9638
121.582041 91.353 139.9138
121.948252 91.337 139.8633
122.314463 91.320 139.8132
122.680674 91.303 139.7642
123.046885 91.287 139.7162
123.413096 91.270 139.6689
123.779307 91.254 139.6219
124.145518 91.238 139.5750
124.511729 91.222 139.5280
124.877940 91.206 139.4814
125.244151 91.190 139.4355
125.610362 91.175 139.3906
125.976573 91.159 139.3467
126.342784 91.144 139.3039
126.708995 91.129 139.2614
127.075206 91.115 139.2188
127.441417 91.100 139.1755
127.807628 91.085 139.1312
128.173839 91.071 139.0864
128.540049 91.056 139.0416
128.906260 91.041 138.9976
129.272471 91.026 138.9547
129.638682 91.011 138.9129
130.004893 90.996 138.8718
130.371104 90.981 138.8309
130.737315 90.966 138.7900
131.103526 90.952 138.7491
131.469737 90.937 138.7084
131.835948 90.922 138.6680
132.202159 90.908 138.6280
132.568370 90.893 138.5879
132.934581 90.878 138.5475
133.300792 90.864 138.5068
133.667003 90.849 138.4659
134.033214 90.834 138.4257
134.399425 90.819 138.3867
134.765636 90.803 138.3494
135.131847 90.788 138.3137
135.498058 90.773 138.2791
135.864269 90.759 138.2444
136.230480 90.744 138.2093
136.596691 90.730 138.1735
136.962902 90.715 138.1375
137.329113 90.701 138.1021
137.695324 90.686 138.0681
138.061535 90.672 138.0355
138.427746 90.657 138.0038
138.793957 90.644 137.9722
139.160168 90.630 137.9399
139.526379 90.616 137.9070
139.892589 90.603 137.8737
140.258800 90.590 137.8406
140.625011 90.576 137.8082
140.991222 90.563 137.7769
141.357433 90.549 137.7463
141.723644 90.536 137.7165
142.089855 90.523 137.6873
142.456066 90.509 137.6588
142.822277 90.496 137.6308
143.188488 90.483 137.6033
143.554699 90.470 137.5759
143.920910 90.457 137.5482
144.287121 90.443 137.5200
144.653332 90.430 137.4911
145.019543 90.416 137.4622
145.385754 90.403 137.4335
145.751965 90.389 137.4055
146.118176 90.375 137.3783
146.484387 90.361 137.3516
146.850598 90.347 137.3251
147.216809 90.333 137.2983
147.583020 90.320 137.2708
147.949231 90.306 137.2424
148.315442 90.292 137.2135
148.681653 90.279 137.1842
149.047864 90.265 137.1550
149.414075 90.251 137.1263
149.780286 90.237 137.0984
150.146497 90.223 137.0715
150.512708 90.210 137.0455
