* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 15, 2023 10:27:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Legato Foam Tips L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 78.106 -175.6334
0.732422 78.472 179.2044
1.098633 77.233 163.5033
1.464844 73.013 128.6449
1.831055 72.134 35.3896
2.197266 79.354 -13.3086
2.563477 83.604 -35.2867
2.929688 86.002 -50.0268
3.295899 87.351 -60.0413
3.662110 88.201 -65.7806
4.028321 89.013 -68.4049
4.394532 90.008 -70.2727
4.760743 91.078 -73.3078
5.126954 92.009 -77.7571
5.493164 92.695 -82.7952
5.859375 93.160 -87.4951
6.225586 93.510 -91.3702
6.591797 93.854 -94.5421
6.958008 94.240 -97.5147
7.324219 94.638 -100.6940
7.690430 94.996 -104.1038
8.056641 95.287 -107.4917
8.422852 95.524 -110.6020
8.789063 95.740 -113.3652
9.155274 95.957 -115.8920
9.521485 96.172 -118.3268
9.887696 96.368 -120.7139
10.253907 96.464 -122.9941
10.620118 96.506 -125.0996
10.986329 96.538 -127.0312
11.352540 96.568 -128.8562
11.718751 96.591 -130.6381
12.084962 96.598 -132.3832
12.451173 96.590 -134.0531
12.817384 96.618 -135.6171
13.183595 96.651 -137.0912
13.549806 96.683 -138.5261
13.916017 96.711 -139.9612
14.282228 96.731 -141.3961
14.648439 96.741 -142.8018
15.014650 96.746 -144.1539
15.380861 96.750 -145.4543
15.747072 96.756 -146.7231
16.113283 96.766 -147.9747
16.479493 96.784 -149.2051
16.845704 96.800 -150.4003
17.211915 96.814 -151.5497
17.578126 96.828 -152.6552
17.944337 96.842 -153.7245
18.310548 96.854 -154.7605
18.676759 96.864 -155.7606
19.042970 96.871 -156.7216
19.409181 96.876 -157.6414
19.775392 96.880 -158.5234
20.141603 96.884 -159.3730
20.507814 96.889 -160.1987
20.874025 96.894 -161.0147
21.240236 96.897 -161.8326
21.606447 96.895 -162.6542
21.972658 96.887 -163.4664
22.338869 96.873 -164.2448
22.705080 96.857 -164.9742
23.071291 96.844 -165.6629
23.437502 96.837 -166.3409
23.803713 96.834 -167.0392
24.169924 96.829 -167.7672
24.536135 96.819 -168.5051
24.902346 96.803 -169.2184
25.268557 96.785 -169.8823
25.634768 96.770 -170.4967
26.000979 96.761 -171.0850
26.367190 96.757 -171.6777
26.733401 96.755 -172.2941
27.099612 96.751 -172.9351
27.465823 96.740 -173.5834
27.832033 96.723 -174.2134
28.198244 96.701 -174.8015
28.564455 96.677 -175.3369
28.930666 96.656 -175.8284
29.296877 96.640 -176.3012
29.663088 96.629 -176.7844
30.029299 96.619 -177.2959
30.395510 96.606 -177.8315
30.761721 96.588 -178.3707
31.127932 96.566 -178.8902
31.494143 96.542 -179.3786
31.860354 96.520 -179.8405
32.226565 96.501 179.7095
32.592776 96.484 179.2581
32.958987 96.468 178.7993
33.325198 96.452 178.3362
33.691409 96.434 177.8757
34.057620 96.415 177.4254
34.423831 96.395 176.9897
34.790042 96.377 176.5678
35.156253 96.360 176.1517
35.522464 96.343 175.7281
35.888675 96.326 175.2880
36.254886 96.305 174.8360
36.621097 96.277 174.3929
36.987308 96.245 173.9877
37.353519 96.211 173.6376
37.719730 96.183 173.3342
38.085941 96.163 173.0435
38.452152 96.151 172.7242
38.818363 96.141 172.3522
39.184573 96.128 171.9331
39.550784 96.108 171.4957
39.916995 96.083 171.0727
40.283206 96.055 170.6829
40.649417 96.028 170.3255
41.015628 96.003 169.9880
41.381839 95.981 169.6600
41.748050 95.959 169.3382
42.114261 95.940 169.0253
42.480472 95.922 168.7203
42.846683 95.905 168.4171
43.212894 95.890 168.1077
43.579105 95.875 167.7899
43.945316 95.857 167.4700
44.311527 95.837 167.1583
44.677738 95.816 166.8618
45.043949 95.795 166.5788
45.410160 95.775 166.3018
45.776371 95.756 166.0232
46.142582 95.736 165.7405
46.508793 95.714 165.4569
46.875004 95.692 165.1767
47.241215 95.669 164.9016
47.607426 95.646 164.6298
47.973637 95.624 164.3580
48.339848 95.602 164.0845
48.706059 95.579 163.8098
49.072270 95.557 163.5345
49.438481 95.534 163.2599
49.804692 95.512 162.9874
50.170902 95.489 162.7192
50.537113 95.467 162.4574
50.903324 95.445 162.2023
51.269535 95.424 161.9518
51.635746 95.404 161.7026
52.001957 95.385 161.4530
52.368168 95.365 161.2049
52.734379 95.344 160.9619
53.100590 95.323 160.7263
53.466801 95.303 160.4956
53.833012 95.283 160.2651
54.199223 95.263 160.0319
54.565434 95.242 159.7984
54.931645 95.219 159.5723
55.297856 95.195 159.3602
55.664067 95.172 159.1611
56.030278 95.152 158.9647
56.396489 95.134 158.7570
56.762700 95.115 158.5294
57.128911 95.094 158.2858
57.495122 95.070 158.0416
57.861333 95.042 157.8149
58.227544 95.014 157.6150
58.593755 94.988 157.4366
58.959966 94.965 157.2634
59.326177 94.946 157.0786
59.692388 94.927 156.8770
60.058599 94.906 156.6673
60.424810 94.883 156.4645
60.791021 94.861 156.2783
61.157232 94.840 156.1049
61.523442 94.823 155.9291
61.889653 94.807 155.7363
62.255864 94.791 155.5223
62.622075 94.772 155.2968
62.988286 94.749 155.0771
63.354497 94.724 154.8764
63.720708 94.699 154.6962
64.086919 94.676 154.5275
64.453130 94.655 154.3589
64.819341 94.634 154.1847
65.185552 94.613 154.0069
65.551763 94.590 153.8319
65.917974 94.568 153.6636
66.284185 94.546 153.5006
66.650396 94.525 153.3384
67.016607 94.504 153.1730
67.382818 94.482 153.0050
67.749029 94.460 152.8382
68.115240 94.437 152.6767
68.481451 94.414 152.5214
68.847662 94.392 152.3692
69.213873 94.371 152.2156
69.580084 94.349 152.0577
69.946295 94.328 151.8959
70.312506 94.305 151.7332
70.678717 94.282 151.5727
71.044928 94.259 151.4158
71.411139 94.236 151.2625
71.777350 94.213 151.1113
72.143561 94.190 150.9618
72.509771 94.168 150.8134
72.875982 94.146 150.6643
73.242193 94.126 150.5115
73.608404 94.105 150.3515
73.974615 94.084 150.1832
74.340826 94.061 150.0104
74.707037 94.037 149.8412
75.073248 94.010 149.6856
75.439459 93.984 149.5495
75.805670 93.959 149.4323
76.171881 93.936 149.3268
76.538092 93.917 149.2219
76.904303 93.900 149.1074
77.270514 93.885 148.9777
77.636725 93.869 148.8328
78.002936 93.851 148.6782
78.369147 93.831 148.5225
78.735358 93.809 148.3752
79.101569 93.785 148.2429
79.467780 93.762 148.1272
79.833991 93.740 148.0240
80.200202 93.721 147.9244
80.566413 93.703 147.8192
80.932624 93.686 147.7034
81.298835 93.668 147.5784
81.665046 93.648 147.4507
82.031257 93.627 147.3281
82.397468 93.605 147.2147
82.763679 93.584 147.1088
83.129890 93.564 147.0042
83.496101 93.545 146.8947
83.862311 93.526 146.7780
84.228522 93.506 146.6569
84.594733 93.484 146.5378
84.960944 93.462 146.4258
85.327155 93.440 146.3220
85.693366 93.419 146.2232
86.059577 93.399 146.1238
86.425788 93.380 146.0202
86.791999 93.361 145.9121
87.158210 93.341 145.8020
87.524421 93.321 145.6929
87.890632 93.301 145.5857
88.256843 93.281 145.4796
88.623054 93.261 145.3732
88.989265 93.240 145.2664
89.355476 93.219 145.1608
89.721687 93.198 145.0590
90.087898 93.177 144.9620
90.454109 93.156 144.8692
90.820320 93.136 144.7783
91.186531 93.116 144.6871
91.552742 93.096 144.5945
91.918953 93.077 144.5009
92.285164 93.058 144.4062
92.651375 93.038 144.3109
93.017586 93.019 144.2141
93.383797 92.999 144.1162
93.750008 92.979 144.0181
94.116219 92.959 143.9213
94.482430 92.939 143.8275
94.848641 92.919 143.7367
95.214851 92.899 143.6480
95.581062 92.880 143.5602
95.947273 92.860 143.4721
96.313484 92.841 143.3835
96.679695 92.822 143.2950
97.045906 92.803 143.2076
97.412117 92.784 143.1217
97.778328 92.764 143.0374
98.144539 92.745 142.9548
98.510750 92.726 142.8736
98.876961 92.707 142.7934
99.243172 92.688 142.7137
99.609383 92.669 142.6342
99.975594 92.650 142.5552
100.341805 92.631 142.4772
100.708016 92.613 142.4004
101.074227 92.594 142.3247
101.440438 92.575 142.2491
101.806649 92.557 142.1722
102.172860 92.539 142.0936
102.539071 92.520 142.0137
102.905282 92.502 141.9340
103.271493 92.482 141.8563
103.637704 92.463 141.7809
104.003915 92.445 141.7072
104.370126 92.426 141.6335
104.736337 92.408 141.5587
105.102548 92.390 141.4826
105.468759 92.371 141.4064
105.834970 92.352 141.3312
106.201180 92.334 141.2581
106.567391 92.315 141.1869
106.933602 92.296 141.1172
107.299813 92.277 141.0485
107.666024 92.259 140.9808
108.032235 92.240 140.9143
108.398446 92.222 140.8489
108.764657 92.204 140.7841
109.130868 92.187 140.7188
109.497079 92.169 140.6519
109.863290 92.152 140.5831
110.229501 92.134 140.5130
110.595712 92.116 140.4425
110.961923 92.098 140.3727
111.328134 92.080 140.3048
111.694345 92.061 140.2394
112.060556 92.043 140.1766
112.426767 92.025 140.1163
112.792978 92.007 140.0575
113.159189 91.989 139.9992
113.525400 91.972 139.9403
113.891611 91.955 139.8804
114.257822 91.937 139.8200
114.624033 91.920 139.7603
114.990244 91.902 139.7021
115.356455 91.884 139.6462
115.722666 91.866 139.5917
116.088877 91.849 139.5374
116.455088 91.832 139.4822
116.821299 91.815 139.4257
117.187510 91.798 139.3682
117.553720 91.780 139.3105
117.919931 91.763 139.2532
118.286142 91.745 139.1969
118.652353 91.728 139.1414
119.018564 91.710 139.0866
119.384775 91.693 139.0324
119.750986 91.676 138.9787
120.117197 91.659 138.9254
120.483408 91.642 138.8723
120.849619 91.625 138.8189
121.215830 91.609 138.7652
121.582041 91.592 138.7111
121.948252 91.575 138.6571
122.314463 91.558 138.6042
122.680674 91.541 138.5530
123.046885 91.524 138.5045
123.413096 91.507 138.4584
123.779307 91.490 138.4144
124.145518 91.473 138.3715
124.511729 91.457 138.3286
124.877940 91.441 138.2852
125.244151 91.425 138.2408
125.610362 91.409 138.1956
125.976573 91.394 138.1497
126.342784 91.378 138.1034
126.708995 91.363 138.0565
127.075206 91.348 138.0090
127.441417 91.332 137.9607
127.807628 91.317 137.9119
128.173839 91.301 137.8630
128.540049 91.285 137.8145
128.906260 91.270 137.7670
129.272471 91.254 137.7206
129.638682 91.239 137.6754
130.004893 91.224 137.6310
130.371104 91.209 137.5875
130.737315 91.195 137.5447
131.103526 91.180 137.5026
131.469737 91.166 137.4611
131.835948 91.153 137.4199
132.202159 91.139 137.3785
132.568370 91.126 137.3367
132.934581 91.113 137.2943
133.300792 91.099 137.2514
133.667003 91.085 137.2086
134.033214 91.072 137.1664
134.399425 91.057 137.1254
134.765636 91.043 137.0857
135.131847 91.029 137.0474
135.498058 91.014 137.0101
135.864269 91.000 136.9734
136.230480 90.985 136.9370
136.596691 90.971 136.9000
136.962902 90.956 136.8628
137.329113 90.941 136.8253
137.695324 90.926 136.7884
138.061535 90.911 136.7527
138.427746 90.895 136.7191
138.793957 90.880 136.6875
139.160168 90.866 136.6573
139.526379 90.852 136.6274
139.892589 90.838 136.5966
140.258800 90.824 136.5638
140.625011 90.811 136.5291
140.991222 90.798 136.4924
141.357433 90.784 136.4547
141.723644 90.771 136.4167
142.089855 90.757 136.3791
142.456066 90.743 136.3425
142.822277 90.729 136.3074
143.188488 90.715 136.2739
143.554699 90.701 136.2422
143.920910 90.687 136.2120
144.287121 90.673 136.1830
144.653332 90.659 136.1547
145.019543 90.645 136.1267
145.385754 90.631 136.0984
145.751965 90.618 136.0698
146.118176 90.604 136.0404
146.484387 90.591 136.0101
146.850598 90.577 135.9788
147.216809 90.564 135.9464
147.583020 90.550 135.9133
147.949231 90.536 135.8799
148.315442 90.522 135.8467
148.681653 90.508 135.8141
149.047864 90.494 135.7828
149.414075 90.480 135.7526
149.780286 90.466 135.7232
150.146497 90.453 135.6943
150.512708 90.440 135.6657
150.878918 90.426 135.6370
