* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 24, 2023 1:53:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Legato SF W1 L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 75.119 160.4951
0.732422 73.210 140.4066
1.098633 69.578 117.9410
1.464844 63.167 83.4106
1.831055 58.918 -5.6977
2.197266 64.123 -53.3092
2.563477 66.821 -65.5543
2.929688 68.514 -66.1941
3.295899 70.391 -63.5588
3.662110 72.400 -63.6144
4.028321 74.078 -67.0658
4.394532 75.246 -72.1142
4.760743 75.972 -77.0675
5.126954 76.439 -81.0217
5.493164 76.844 -84.0041
5.859375 77.296 -86.7361
6.225586 77.783 -89.9394
6.591797 78.230 -93.7809
6.958008 78.585 -97.9254
7.324219 78.858 -101.9145
7.690430 79.094 -105.4812
8.056641 79.341 -108.6499
8.422852 79.616 -111.6161
8.789063 79.904 -114.5375
9.155274 80.179 -117.4234
9.521485 80.425 -120.1789
9.887696 80.640 -122.7116
10.253907 80.761 -124.9960
10.620118 80.836 -127.0645
10.986329 80.898 -128.9630
11.352540 80.945 -130.7240
11.718751 80.979 -132.3721
12.084962 81.001 -133.9387
12.451173 81.011 -135.4564
12.817384 81.054 -136.9433
13.183595 81.090 -138.3954
13.549806 81.114 -139.8032
13.916017 81.131 -141.1748
14.282228 81.145 -142.5384
14.648439 81.157 -143.9198
15.014650 81.163 -145.3163
15.380861 81.164 -146.6969
15.747072 81.164 -148.0324
16.113283 81.173 -149.3248
16.479493 81.197 -150.6069
16.845704 81.221 -151.9032
17.211915 81.235 -153.1884
17.578126 81.233 -154.3811
17.944337 81.222 -155.3870
18.310548 81.216 -156.1649
18.676759 81.233 -156.7687
19.042970 81.280 -157.3292
19.409181 81.349 -157.9819
19.775392 81.421 -158.7927
20.141603 81.478 -159.7328
20.507814 81.512 -160.7123
20.874025 81.524 -161.6415
21.240236 81.524 -162.4800
21.606447 81.523 -163.2493
21.972658 81.524 -164.0051
22.338869 81.526 -164.7922
22.705080 81.521 -165.6148
23.071291 81.506 -166.4390
23.437502 81.484 -167.2213
23.803713 81.461 -167.9396
24.169924 81.443 -168.6056
24.536135 81.435 -169.2527
24.902346 81.434 -169.9125
25.268557 81.437 -170.5979
25.634768 81.441 -171.3023
26.000979 81.442 -172.0103
26.367190 81.440 -172.7075
26.733401 81.435 -173.3820
27.099612 81.426 -174.0237
27.465823 81.416 -174.6240
27.832033 81.404 -175.1814
28.198244 81.394 -175.7053
28.564455 81.386 -176.2122
28.930666 81.377 -176.7163
29.296877 81.367 -177.2204
29.663088 81.353 -177.7173
30.029299 81.338 -178.1992
30.395510 81.322 -178.6677
30.761721 81.307 -179.1342
31.127932 81.293 -179.6115
31.494143 81.278 179.8969
31.860354 81.260 179.3989
32.226565 81.240 178.9077
32.592776 81.220 178.4309
32.958987 81.201 177.9666
33.325198 81.184 177.5067
33.691409 81.169 177.0443
34.057620 81.154 176.5783
34.423831 81.138 176.1133
34.790042 81.121 175.6564
35.156253 81.102 175.2151
35.522464 81.082 174.7964
35.888675 81.063 174.4039
36.254886 81.046 174.0337
36.621097 81.032 173.6713
36.987308 81.021 173.2965
37.353519 81.010 172.8943
37.719730 80.994 172.4677
38.085941 80.971 172.0397
38.452152 80.941 171.6418
38.818363 80.910 171.2938
39.184573 80.881 170.9896
39.550784 80.860 170.6993
39.916995 80.844 170.3880
40.283206 80.830 170.0388
40.649417 80.812 169.6619
41.015628 80.790 169.2847
41.381839 80.766 168.9315
41.748050 80.742 168.6072
42.114261 80.721 168.2971
42.480472 80.703 167.9814
42.846683 80.686 167.6516
43.212894 80.667 167.3159
43.579105 80.646 166.9901
43.945316 80.625 166.6830
44.311527 80.606 166.3892
44.677738 80.588 166.0938
45.043949 80.572 165.7854
45.410160 80.553 165.4663
45.776371 80.531 165.1505
46.142582 80.506 164.8531
46.508793 80.482 164.5786
46.875004 80.460 164.3185
47.241215 80.440 164.0573
47.607426 80.422 163.7843
47.973637 80.403 163.4997
48.339848 80.382 163.2130
48.706059 80.360 162.9352
49.072270 80.338 162.6708
49.438481 80.317 162.4154
49.804692 80.299 162.1592
50.170902 80.281 161.8941
50.537113 80.263 161.6186
50.903324 80.243 161.3392
51.269535 80.220 161.0665
51.635746 80.196 160.8094
52.001957 80.172 160.5699
52.368168 80.150 160.3419
52.734379 80.129 160.1148
53.100590 80.109 159.8802
53.466801 80.088 159.6370
53.833012 80.065 159.3922
54.199223 80.040 159.1560
54.565434 80.014 158.9350
54.931645 79.990 158.7274
55.297856 79.968 158.5238
55.664067 79.948 158.3138
56.030278 79.928 158.0922
56.396489 79.908 157.8613
56.762700 79.887 157.6282
57.128911 79.865 157.3979
57.495122 79.844 157.1703
57.861333 79.823 156.9411
58.227544 79.801 156.7073
58.593755 79.778 156.4721
58.959966 79.753 156.2445
59.326177 79.727 156.0343
59.692388 79.701 155.8455
60.058599 79.677 155.6729
60.424810 79.657 155.5042
60.791021 79.638 155.3275
61.157232 79.621 155.1367
61.523442 79.602 154.9342
61.889653 79.581 154.7277
62.255864 79.559 154.5251
62.622075 79.536 154.3307
62.988286 79.512 154.1446
63.354497 79.488 153.9643
63.720708 79.465 153.7869
64.086919 79.442 153.6104
64.453130 79.419 153.4333
64.819341 79.396 153.2554
65.185552 79.373 153.0771
65.551763 79.350 152.9002
65.917974 79.327 152.7262
66.284185 79.304 152.5557
66.650396 79.282 152.3874
67.016607 79.259 152.2191
67.382818 79.237 152.0497
67.749029 79.215 151.8802
68.115240 79.192 151.7136
68.481451 79.168 151.5530
68.847662 79.145 151.3989
69.213873 79.123 151.2487
69.580084 79.101 151.0980
69.946295 79.080 150.9428
70.312506 79.059 150.7824
70.678717 79.037 150.6189
71.044928 79.014 150.4561
71.411139 78.990 150.2972
71.777350 78.966 150.1441
72.143561 78.942 149.9963
72.509771 78.918 149.8520
72.875982 78.895 149.7085
73.242193 78.872 149.5635
73.608404 78.850 149.4159
73.974615 78.826 149.2671
74.340826 78.803 149.1204
74.707037 78.778 148.9798
75.073248 78.754 148.8473
75.439459 78.731 148.7209
75.805670 78.710 148.5953
76.171881 78.690 148.4635
76.538092 78.670 148.3218
76.904303 78.649 148.1719
77.270514 78.626 148.0208
77.636725 78.602 147.8766
78.002936 78.578 147.7443
78.369147 78.555 147.6220
78.735358 78.533 147.5026
79.101569 78.513 147.3777
79.467780 78.494 147.2430
79.833991 78.473 147.1008
80.200202 78.451 146.9589
80.566413 78.428 146.8253
80.932624 78.405 146.7031
81.298835 78.383 146.5892
81.665046 78.363 146.4763
82.031257 78.343 146.3578
82.397468 78.323 146.2325
82.763679 78.303 146.1050
83.129890 78.280 145.9821
83.496101 78.258 145.8684
83.862311 78.235 145.7632
84.228522 78.214 145.6617
84.594733 78.194 145.5582
84.960944 78.173 145.4501
85.327155 78.153 145.3387
85.693366 78.131 145.2270
86.059577 78.109 145.1172
86.425788 78.087 145.0092
86.791999 78.065 144.9016
87.158210 78.043 144.7933
87.524421 78.020 144.6852
87.890632 77.998 144.5792
88.256843 77.975 144.4764
88.623054 77.952 144.3761
88.989265 77.930 144.2762
89.355476 77.908 144.1752
89.721687 77.887 144.0730
90.087898 77.865 143.9709
90.454109 77.844 143.8702
90.820320 77.823 143.7704
91.186531 77.803 143.6699
91.552742 77.782 143.5667
91.918953 77.762 143.4604
92.285164 77.742 143.3526
92.651375 77.720 143.2460
93.017586 77.699 143.1431
93.383797 77.677 143.0447
93.750008 77.656 142.9500
94.116219 77.635 142.8573
94.482430 77.615 142.7650
94.848641 77.594 142.6725
95.214851 77.574 142.5795
95.581062 77.554 142.4869
95.947273 77.533 142.3952
96.313484 77.512 142.3052
96.679695 77.492 142.2169
97.045906 77.471 142.1299
97.412117 77.451 142.0437
97.778328 77.430 141.9577
98.144539 77.410 141.8717
98.510750 77.389 141.7863
98.876961 77.368 141.7024
99.243172 77.348 141.6206
99.609383 77.327 141.5407
99.975594 77.306 141.4622
100.341805 77.286 141.3836
100.708016 77.266 141.3043
101.074227 77.246 141.2241
101.440438 77.226 141.1436
101.806649 77.206 141.0637
102.172860 77.186 140.9850
102.539071 77.165 140.9078
102.905282 77.145 140.8312
103.271493 77.125 140.7546
103.637704 77.105 140.6780
104.003915 77.085 140.6016
104.370126 77.065 140.5263
104.736337 77.044 140.4527
105.102548 77.024 140.3806
105.468759 77.004 140.3091
105.834970 76.985 140.2374
106.201180 76.965 140.1647
106.567391 76.945 140.0919
106.933602 76.925 140.0203
107.299813 76.904 139.9510
107.666024 76.884 139.8846
108.032235 76.864 139.8206
108.398446 76.844 139.7572
108.764657 76.825 139.6930
109.130868 76.806 139.6270
109.497079 76.786 139.5591
109.863290 76.767 139.4903
110.229501 76.747 139.4215
110.595712 76.727 139.3538
110.961923 76.706 139.2880
111.328134 76.686 139.2243
111.694345 76.666 139.1627
112.060556 76.646 139.1025
112.426767 76.626 139.0431
112.792978 76.607 138.9836
113.159189 76.588 138.9236
113.525400 76.569 138.8632
113.891611 76.550 138.8026
114.257822 76.531 138.7427
114.624033 76.511 138.6837
114.990244 76.492 138.6256
115.356455 76.473 138.5684
115.722666 76.455 138.5116
116.088877 76.436 138.4550
116.455088 76.417 138.3988
116.821299 76.398 138.3433
117.187510 76.379 138.2886
117.553720 76.360 138.2353
117.919931 76.341 138.1831
118.286142 76.323 138.1320
118.652353 76.304 138.0815
119.018564 76.285 138.0309
119.384775 76.267 137.9797
119.750986 76.248 137.9279
120.117197 76.229 137.8757
120.483408 76.210 137.8241
120.849619 76.191 137.7739
121.215830 76.171 137.7258
121.582041 76.151 137.6801
121.948252 76.132 137.6364
122.314463 76.112 137.5942
122.680674 76.093 137.5528
123.046885 76.074 137.5118
123.413096 76.055 137.4708
123.779307 76.036 137.4295
124.145518 76.017 137.3879
124.511729 75.999 137.3462
124.877940 75.980 137.3051
125.244151 75.962 137.2657
125.610362 75.943 137.2285
125.976573 75.925 137.1937
126.342784 75.908 137.1605
126.708995 75.891 137.1280
127.075206 75.874 137.0953
127.441417 75.858 137.0620
127.807628 75.841 137.0281
128.173839 75.825 136.9940
128.540049 75.808 136.9599
128.906260 75.792 136.9264
129.272471 75.775 136.8940
129.638682 75.758 136.8633
130.004893 75.741 136.8348
130.371104 75.724 136.8088
130.737315 75.707 136.7847
131.103526 75.690 136.7620
131.469737 75.674 136.7401
131.835948 75.657 136.7188
132.202159 75.640 136.6987
132.568370 75.624 136.6803
132.934581 75.607 136.6639
133.300792 75.591 136.6494
133.667003 75.575 136.6360
134.033214 75.559 136.6234
134.399425 75.544 136.6118
134.765636 75.528 136.6016
135.131847 75.513 136.5933
135.498058 75.499 136.5867
135.864269 75.486 136.5808
136.230480 75.473 136.5745
136.596691 75.461 136.5666
136.962902 75.449 136.5568
137.329113 75.438 136.5451
137.695324 75.427 136.5320
138.061535 75.416 136.5178
138.427746 75.405 136.5026
138.793957 75.394 136.4865
139.160168 75.383 136.4698
139.526379 75.373 136.4533
139.892589 75.362 136.4374
140.258800 75.351 136.4225
140.625011 75.341 136.4081
140.991222 75.330 136.3936
141.357433 75.320 136.3777
141.723644 75.311 136.3591
142.089855 75.301 136.3371
142.456066 75.291 136.3112
142.822277 75.281 136.2821
143.188488 75.270 136.2508
143.554699 75.259 136.2191
143.920910 75.248 136.1888
144.287121 75.236 136.1607
144.653332 75.225 136.1351
145.019543 75.214 136.1108
145.385754 75.203 136.0862
145.751965 75.194 136.0596
146.118176 75.184 136.0298
146.484387 75.175 135.9958
146.850598 75.166 135.9575
147.216809 75.157 135.9149
147.583020 75.148 135.8687
147.949231 75.138 135.8199
148.315442 75.128 135.7700
148.681653 75.117 135.7203
149.047864 75.105 135.6722
149.414075 75.094 135.6260
149.780286 75.082 135.5816
150.146497 75.071 135.5380
150.512708 75.059 135.4944
150.878918 75.048 135.4501
