* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 24, 2023 1:52:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Legato SF W1 R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 78.246 -23.0597
0.732422 76.407 -45.5991
1.098633 72.854 -66.2800
1.464844 66.028 -77.8267
1.831055 59.165 -5.7632
2.197266 67.474 10.6130
2.563477 70.747 -6.9619
2.929688 71.879 -27.5440
3.295899 71.870 -46.3308
3.662110 71.268 -59.8702
4.028321 70.818 -65.5725
4.394532 71.423 -66.1685
4.760743 72.974 -68.8146
5.126954 74.578 -75.4409
5.493164 75.748 -83.6592
5.859375 76.439 -91.0059
6.225586 76.832 -96.0309
6.591797 77.194 -98.6585
6.958008 77.703 -100.1820
7.324219 78.313 -102.1055
7.690430 78.862 -104.8938
8.056641 79.244 -108.0505
8.422852 79.469 -110.8850
8.789063 79.619 -113.0846
9.155274 79.777 -114.8599
9.521485 79.963 -116.6586
9.887696 80.143 -118.7428
10.253907 80.213 -121.0457
10.620118 80.210 -123.3501
10.986329 80.191 -125.5206
11.352540 80.180 -127.5806
11.718751 80.183 -129.6193
12.084962 80.192 -131.6641
12.451173 80.201 -133.6570
12.817384 80.258 -135.5307
13.183595 80.332 -137.2807
13.549806 80.413 -138.9552
13.916017 80.493 -140.5861
14.282228 80.559 -142.1465
14.648439 80.611 -143.5769
15.014650 80.655 -144.8485
15.380861 80.697 -145.9951
15.747072 80.739 -147.0854
16.113283 80.779 -148.1701
16.479493 80.814 -149.2550
16.845704 80.833 -150.3172
17.211915 80.836 -151.3323
17.578126 80.826 -152.2845
17.944337 80.808 -153.1598
18.310548 80.790 -153.9469
18.676759 80.780 -154.6587
19.042970 80.790 -155.3517
19.409181 80.819 -156.1116
19.775392 80.859 -157.0034
20.141603 80.897 -158.0272
20.507814 80.925 -159.1184
20.874025 80.941 -160.1930
21.240236 80.951 -161.1983
21.606447 80.962 -162.1328
21.972658 80.977 -163.0232
22.338869 80.993 -163.8876
22.705080 81.006 -164.7188
23.071291 81.016 -165.4981
23.437502 81.024 -166.2187
23.803713 81.032 -166.8950
24.169924 81.041 -167.5504
24.536135 81.046 -168.1992
24.902346 81.047 -168.8404
25.268557 81.042 -169.4656
25.634768 81.033 -170.0713
26.000979 81.021 -170.6622
26.367190 81.008 -171.2470
26.733401 80.993 -171.8326
27.099612 80.977 -172.4223
27.465823 80.960 -173.0169
27.832033 80.942 -173.6145
28.198244 80.924 -174.2101
28.564455 80.906 -174.7971
28.930666 80.890 -175.3721
29.296877 80.876 -175.9382
29.663088 80.866 -176.5021
30.029299 80.857 -177.0672
30.395510 80.848 -177.6281
30.761721 80.838 -178.1736
31.127932 80.828 -178.6948
31.494143 80.819 -179.1924
31.860354 80.810 -179.6750
32.226565 80.801 179.8494
32.592776 80.790 179.3807
32.958987 80.776 178.9259
33.325198 80.760 178.4918
33.691409 80.743 178.0782
34.057620 80.726 177.6772
34.423831 80.710 177.2778
34.790042 80.693 176.8724
35.156253 80.674 176.4596
35.522464 80.653 176.0430
35.888675 80.631 175.6287
36.254886 80.607 175.2222
36.621097 80.582 174.8263
36.987308 80.559 174.4400
37.353519 80.537 174.0589
37.719730 80.517 173.6779
38.085941 80.498 173.2952
38.452152 80.480 172.9127
38.818363 80.462 172.5340
39.184573 80.444 172.1603
39.550784 80.428 171.7891
39.916995 80.412 171.4173
40.283206 80.396 171.0448
40.649417 80.379 170.6768
41.015628 80.360 170.3204
41.381839 80.341 169.9793
41.748050 80.322 169.6509
42.114261 80.304 169.3286
42.480472 80.285 169.0066
42.846683 80.267 168.6837
43.212894 80.247 168.3625
43.579105 80.227 168.0463
43.945316 80.207 167.7358
44.311527 80.186 167.4288
44.677738 80.166 167.1219
45.043949 80.146 166.8135
45.410160 80.125 166.5044
45.776371 80.104 166.1979
46.142582 80.081 165.8981
46.508793 80.059 165.6078
46.875004 80.036 165.3270
47.241215 80.015 165.0525
47.607426 79.995 164.7797
47.973637 79.975 164.5048
48.339848 79.956 164.2268
48.706059 79.935 163.9473
49.072270 79.914 163.6686
49.438481 79.892 163.3928
49.804692 79.870 163.1208
50.170902 79.847 162.8539
50.537113 79.824 162.5934
50.903324 79.801 162.3402
51.269535 79.778 162.0933
51.635746 79.756 161.8492
52.001957 79.735 161.6044
52.368168 79.714 161.3575
52.734379 79.693 161.1103
53.100590 79.671 160.8664
53.466801 79.649 160.6286
53.833012 79.628 160.3973
54.199223 79.607 160.1708
54.565434 79.586 159.9470
54.931645 79.566 159.7242
55.297856 79.547 159.5010
55.664067 79.527 159.2758
56.030278 79.507 159.0477
56.396489 79.485 158.8187
56.762700 79.463 158.5934
57.128911 79.439 158.3779
57.495122 79.415 158.1751
57.861333 79.391 157.9827
58.227544 79.370 157.7933
58.593755 79.350 157.5988
58.959966 79.330 157.3947
59.326177 79.310 157.1830
59.692388 79.288 156.9696
60.058599 79.266 156.7603
60.424810 79.243 156.5572
60.791021 79.221 156.3578
61.157232 79.200 156.1577
61.523442 79.179 155.9537
61.889653 79.157 155.7466
62.255864 79.135 155.5401
62.622075 79.111 155.3387
62.988286 79.087 155.1454
63.354497 79.063 154.9599
63.720708 79.039 154.7803
64.086919 79.015 154.6047
64.453130 78.991 154.4322
64.819341 78.967 154.2628
65.185552 78.943 154.0966
65.551763 78.920 153.9327
65.917974 78.897 153.7697
66.284185 78.874 153.6063
66.650396 78.851 153.4424
67.016607 78.828 153.2788
67.382818 78.805 153.1166
67.749029 78.782 152.9560
68.115240 78.760 152.7960
68.481451 78.737 152.6353
68.847662 78.715 152.4733
69.213873 78.692 152.3106
69.580084 78.669 152.1492
69.946295 78.646 151.9909
70.312506 78.623 151.8367
70.678717 78.601 151.6859
71.044928 78.578 151.5366
71.411139 78.557 151.3871
71.777350 78.535 151.2366
72.143561 78.513 151.0858
72.509771 78.491 150.9360
72.875982 78.469 150.7883
73.242193 78.447 150.6427
73.608404 78.424 150.4985
73.974615 78.402 150.3551
74.340826 78.379 150.2126
74.707037 78.357 150.0720
75.073248 78.334 149.9344
75.439459 78.311 149.8000
75.805670 78.288 149.6682
76.171881 78.266 149.5373
76.538092 78.244 149.4064
76.904303 78.222 149.2750
77.270514 78.200 149.1434
77.636725 78.177 149.0121
78.002936 78.155 148.8818
78.369147 78.133 148.7528
78.735358 78.110 148.6259
79.101569 78.088 148.5015
79.467780 78.065 148.3796
79.833991 78.043 148.2596
80.200202 78.021 148.1405
80.566413 77.999 148.0211
80.932624 77.978 147.9012
81.298835 77.956 147.7811
81.665046 77.934 147.6615
82.031257 77.913 147.5427
82.397468 77.891 147.4243
82.763679 77.869 147.3061
83.129890 77.847 147.1886
83.496101 77.825 147.0731
83.862311 77.803 146.9608
84.228522 77.781 146.8524
84.594733 77.760 146.7466
84.960944 77.740 146.6401
85.327155 77.721 146.5300
85.693366 77.701 146.4144
86.059577 77.681 146.2946
86.425788 77.660 146.1739
86.791999 77.638 146.0566
87.158210 77.615 145.9457
87.524421 77.592 145.8415
87.890632 77.570 145.7424
88.256843 77.548 145.6457
88.623054 77.527 145.5491
88.989265 77.506 145.4515
89.355476 77.485 145.3529
89.721687 77.464 145.2538
90.087898 77.442 145.1550
90.454109 77.421 145.0571
90.820320 77.399 144.9604
91.186531 77.378 144.8649
91.552742 77.357 144.7699
91.918953 77.336 144.6748
92.285164 77.315 144.5794
92.651375 77.294 144.4839
93.017586 77.272 144.3894
93.383797 77.251 144.2965
93.750008 77.231 144.2053
94.116219 77.210 144.1151
94.482430 77.190 144.0251
94.848641 77.169 143.9348
95.214851 77.149 143.8448
95.581062 77.128 143.7558
95.947273 77.108 143.6686
96.313484 77.087 143.5831
96.679695 77.067 143.4988
97.045906 77.046 143.4147
97.412117 77.026 143.3306
97.778328 77.005 143.2468
98.144539 76.984 143.1643
98.510750 76.963 143.0837
98.876961 76.942 143.0053
99.243172 76.921 142.9282
99.609383 76.901 142.8514
99.975594 76.881 142.7738
100.341805 76.861 142.6950
100.708016 76.841 142.6154
101.074227 76.821 142.5358
101.440438 76.800 142.4570
101.806649 76.780 142.3795
102.172860 76.760 142.3029
102.539071 76.740 142.2268
102.905282 76.720 142.1510
103.271493 76.700 142.0757
103.637704 76.680 142.0012
104.003915 76.660 141.9283
104.370126 76.640 141.8568
104.736337 76.621 141.7861
105.102548 76.601 141.7155
105.468759 76.582 141.6442
105.834970 76.562 141.5724
106.201180 76.542 141.5008
106.567391 76.522 141.4302
106.933602 76.502 141.3614
107.299813 76.482 141.2941
107.666024 76.462 141.2278
108.032235 76.442 141.1616
108.398446 76.422 141.0954
108.764657 76.402 141.0295
109.130868 76.382 140.9648
109.497079 76.362 140.9021
109.863290 76.342 140.8414
110.229501 76.322 140.7822
110.595712 76.302 140.7237
110.961923 76.283 140.6650
111.328134 76.264 140.6055
111.694345 76.245 140.5448
112.060556 76.226 140.4829
112.426767 76.206 140.4203
112.792978 76.186 140.3577
113.159189 76.166 140.2962
113.525400 76.146 140.2369
113.891611 76.126 140.1802
114.257822 76.106 140.1259
114.624033 76.086 140.0729
114.990244 76.066 140.0201
115.356455 76.046 139.9663
115.722666 76.027 139.9114
116.088877 76.007 139.8557
116.455088 75.988 139.8002
116.821299 75.967 139.7457
117.187510 75.947 139.6931
117.553720 75.927 139.6425
117.919931 75.907 139.5941
118.286142 75.887 139.5475
118.652353 75.867 139.5022
119.018564 75.847 139.4578
119.384775 75.828 139.4138
119.750986 75.808 139.3700
120.117197 75.789 139.3265
120.483408 75.769 139.2834
120.849619 75.749 139.2411
121.215830 75.730 139.1998
121.582041 75.710 139.1599
121.948252 75.690 139.1215
122.314463 75.670 139.0851
122.680674 75.650 139.0505
123.046885 75.630 139.0175
123.413096 75.611 138.9857
123.779307 75.592 138.9545
124.145518 75.572 138.9238
124.511729 75.553 138.8937
124.877940 75.535 138.8645
125.244151 75.516 138.8369
125.610362 75.497 138.8112
125.976573 75.479 138.7880
126.342784 75.460 138.7678
126.708995 75.442 138.7508
127.075206 75.424 138.7372
127.441417 75.407 138.7265
127.807628 75.390 138.7177
128.173839 75.374 138.7093
128.540049 75.358 138.7000
128.906260 75.343 138.6890
129.272471 75.328 138.6766
129.638682 75.312 138.6638
130.004893 75.297 138.6519
130.371104 75.281 138.6424
130.737315 75.266 138.6358
131.103526 75.251 138.6323
131.469737 75.237 138.6313
131.835948 75.223 138.6321
132.202159 75.210 138.6336
132.568370 75.198 138.6349
132.934581 75.186 138.6353
133.300792 75.175 138.6346
133.667003 75.165 138.6323
134.033214 75.155 138.6282
134.399425 75.146 138.6214
134.765636 75.138 138.6107
135.131847 75.130 138.5953
135.498058 75.122 138.5747
135.864269 75.114 138.5490
136.230480 75.106 138.5191
136.596691 75.097 138.4865
136.962902 75.088 138.4521
137.329113 75.079 138.4166
137.695324 75.070 138.3803
138.061535 75.060 138.3428
138.427746 75.050 138.3040
138.793957 75.040 138.2636
139.160168 75.030 138.2220
139.526379 75.020 138.1796
139.892589 75.009 138.1368
140.258800 74.998 138.0935
140.625011 74.987 138.0497
140.991222 74.976 138.0052
141.357433 74.965 137.9598
141.723644 74.954 137.9133
142.089855 74.943 137.8660
142.456066 74.932 137.8178
142.822277 74.920 137.7690
143.188488 74.908 137.7198
143.554699 74.896 137.6702
143.920910 74.884 137.6206
144.287121 74.871 137.5714
144.653332 74.858 137.5228
145.019543 74.845 137.4751
145.385754 74.832 137.4284
145.751965 74.819 137.3826
146.118176 74.805 137.3375
146.484387 74.792 137.2932
146.850598 74.778 137.2494
147.216809 74.764 137.2062
147.583020 74.750 137.1638
147.949231 74.736 137.1223
148.315442 74.721 137.0816
148.681653 74.707 137.0417
149.047864 74.693 137.0024
149.414075 74.678 136.9636
149.780286 74.664 136.9249
150.146497 74.649 136.8863
150.512708 74.634 136.8477
