* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 24, 2023 1:44:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Legato Stock Silicon L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 74.807 160.5062
0.732422 72.899 140.4221
1.098633 69.270 117.9371
1.464844 62.881 83.3160
1.831055 58.690 -5.2999
2.197266 63.850 -52.7504
2.563477 66.551 -64.9892
2.929688 68.260 -65.6631
3.295899 70.146 -63.1120
3.662110 72.154 -63.2193
4.028321 73.831 -66.6631
4.394532 75.002 -71.6698
4.760743 75.737 -76.5789
5.126954 76.218 -80.5176
5.493164 76.635 -83.5301
5.859375 77.094 -86.3227
6.225586 77.579 -89.5783
6.591797 78.018 -93.4343
6.958008 78.368 -97.5518
7.324219 78.638 -101.4894
7.690430 78.876 -105.0090
8.056641 79.129 -108.1601
8.422852 79.408 -111.1434
8.789063 79.694 -114.0973
9.155274 79.962 -117.0005
9.521485 80.200 -119.7355
9.887696 80.409 -122.2092
10.253907 80.531 -124.4183
10.620118 80.613 -126.4277
10.986329 80.685 -128.3053
11.352540 80.742 -130.0819
11.718751 80.781 -131.7600
12.084962 80.803 -133.3448
12.451173 80.813 -134.8581
12.817384 80.858 -136.3261
13.183595 80.898 -137.7612
13.549806 80.926 -139.1627
13.916017 80.945 -140.5303
14.282228 80.961 -141.8768
14.648439 80.975 -143.2216
15.014650 80.987 -144.5747
15.380861 80.996 -145.9276
15.747072 81.005 -147.2609
16.113283 81.018 -148.5593
16.479493 81.044 -149.8197
16.845704 81.074 -151.0460
17.211915 81.104 -152.2379
17.578126 81.135 -153.3867
17.944337 81.164 -154.4813
18.310548 81.193 -155.5166
18.676759 81.221 -156.4966
19.042970 81.247 -157.4290
19.409181 81.270 -158.3201
19.775392 81.289 -159.1736
20.141603 81.305 -159.9931
20.507814 81.318 -160.7846
20.874025 81.326 -161.5542
21.240236 81.330 -162.3053
21.606447 81.329 -163.0379
21.972658 81.325 -163.7545
22.338869 81.320 -164.4623
22.705080 81.315 -165.1729
23.071291 81.309 -165.8957
23.437502 81.302 -166.6314
23.803713 81.292 -167.3717
24.169924 81.281 -168.1038
24.536135 81.270 -168.8177
24.902346 81.261 -169.5101
25.268557 81.255 -170.1840
25.634768 81.251 -170.8452
26.000979 81.250 -171.4984
26.367190 81.250 -172.1442
26.733401 81.249 -172.7793
27.099612 81.247 -173.3969
27.465823 81.243 -173.9905
27.832033 81.237 -174.5571
28.198244 81.231 -175.0989
28.564455 81.224 -175.6220
28.930666 81.216 -176.1323
29.296877 81.206 -176.6331
29.663088 81.194 -177.1252
30.029299 81.181 -177.6092
30.395510 81.167 -178.0879
30.761721 81.153 -178.5660
31.127932 81.137 -179.0463
31.494143 81.119 -179.5281
31.860354 81.101 179.9926
32.226565 81.082 179.5200
32.592776 81.063 179.0550
32.958987 81.046 178.5942
33.325198 81.030 178.1325
33.691409 81.014 177.6674
34.057620 80.999 177.2012
34.423831 80.982 176.7412
34.790042 80.964 176.2963
35.156253 80.946 175.8722
35.522464 80.929 175.4676
35.888675 80.914 175.0748
36.254886 80.901 174.6839
36.621097 80.887 174.2888
36.987308 80.872 173.8913
37.353519 80.854 173.4999
37.719730 80.834 173.1237
38.085941 80.814 172.7649
38.452152 80.794 172.4176
38.818363 80.775 172.0715
39.184573 80.756 171.7195
39.550784 80.736 171.3630
39.916995 80.714 171.0093
40.283206 80.692 170.6659
40.649417 80.670 170.3342
41.015628 80.650 170.0087
41.381839 80.632 169.6814
41.748050 80.614 169.3478
42.114261 80.595 169.0098
42.480472 80.576 168.6735
42.846683 80.556 168.3449
43.212894 80.536 168.0263
43.579105 80.517 167.7154
43.945316 80.498 167.4079
44.311527 80.480 167.1010
44.677738 80.461 166.7953
45.043949 80.442 166.4947
45.410160 80.421 166.2037
45.776371 80.401 165.9241
46.142582 80.382 165.6533
46.508793 80.364 165.3846
46.875004 80.348 165.1107
47.241215 80.331 164.8279
47.607426 80.313 164.5378
47.973637 80.294 164.2469
48.339848 80.273 163.9622
48.706059 80.251 163.6877
49.072270 80.229 163.4226
49.438481 80.208 163.1628
49.804692 80.188 162.9042
50.170902 80.168 162.6451
50.537113 80.148 162.3865
50.903324 80.127 162.1306
51.269535 80.106 161.8796
51.635746 80.085 161.6339
52.001957 80.065 161.3925
52.368168 80.044 161.1540
52.734379 80.024 160.9166
53.100590 80.004 160.6797
53.466801 79.983 160.4434
53.833012 79.963 160.2085
54.199223 79.942 159.9762
54.565434 79.921 159.7468
54.931645 79.900 159.5199
55.297856 79.880 159.2941
55.664067 79.860 159.0683
56.030278 79.839 158.8425
56.396489 79.819 158.6176
56.762700 79.798 158.3944
57.128911 79.777 158.1734
57.495122 79.757 157.9545
57.861333 79.735 157.7383
58.227544 79.714 157.5262
58.593755 79.693 157.3199
58.959966 79.672 157.1196
59.326177 79.651 156.9227
59.692388 79.632 156.7243
60.058599 79.613 156.5198
60.424810 79.593 156.3083
60.791021 79.572 156.0938
61.157232 79.549 155.8832
61.523442 79.525 155.6827
61.889653 79.502 155.4936
62.255864 79.479 155.3122
62.622075 79.457 155.1321
62.988286 79.436 154.9484
63.354497 79.415 154.7601
63.720708 79.394 154.5694
64.086919 79.372 154.3799
64.453130 79.349 154.1936
64.819341 79.327 154.0105
65.185552 79.305 153.8297
65.551763 79.284 153.6505
65.917974 79.262 153.4733
66.284185 79.240 153.2988
66.650396 79.219 153.1269
67.016607 79.198 152.9570
67.382818 79.176 152.7880
67.749029 79.155 152.6201
68.115240 79.133 152.4542
68.481451 79.111 152.2914
68.847662 79.089 152.1320
69.213873 79.066 151.9752
69.580084 79.045 151.8188
69.946295 79.023 151.6619
70.312506 79.000 151.5041
70.678717 78.978 151.3468
71.044928 78.955 151.1917
71.411139 78.932 151.0397
71.777350 78.909 150.8905
72.143561 78.887 150.7425
72.509771 78.865 150.5939
72.875982 78.844 150.4435
73.242193 78.822 150.2917
73.608404 78.801 150.1397
73.974615 78.779 149.9891
74.340826 78.757 149.8412
74.707037 78.735 149.6965
75.073248 78.713 149.5544
75.439459 78.691 149.4140
75.805670 78.670 149.2744
76.171881 78.649 149.1351
76.538092 78.627 148.9960
76.904303 78.606 148.8578
77.270514 78.584 148.7214
77.636725 78.562 148.5877
78.002936 78.539 148.4571
78.369147 78.518 148.3291
78.735358 78.496 148.2021
79.101569 78.475 148.0744
79.467780 78.454 147.9445
79.833991 78.433 147.8125
80.200202 78.411 147.6799
80.566413 78.390 147.5493
80.932624 78.368 147.4226
81.298835 78.346 147.3002
81.665046 78.325 147.1805
82.031257 78.304 147.0610
82.397468 78.284 146.9400
82.763679 78.264 146.8171
83.129890 78.244 146.6937
83.496101 78.223 146.5716
83.862311 78.202 146.4521
84.228522 78.182 146.3353
84.594733 78.161 146.2200
84.960944 78.141 146.1055
85.327155 78.120 145.9914
85.693366 78.099 145.8786
86.059577 78.078 145.7679
86.425788 78.057 145.6595
86.791999 78.036 145.5530
87.158210 78.015 145.4476
87.524421 77.994 145.3424
87.890632 77.973 145.2372
88.256843 77.953 145.1321
88.623054 77.932 145.0274
88.989265 77.911 144.9233
89.355476 77.891 144.8199
89.721687 77.870 144.7168
90.087898 77.850 144.6138
90.454109 77.830 144.5103
90.820320 77.810 144.4057
91.186531 77.790 144.2998
91.552742 77.769 144.1933
91.918953 77.749 144.0877
92.285164 77.728 143.9849
92.651375 77.706 143.8862
93.017586 77.686 143.7914
93.383797 77.665 143.6989
93.750008 77.645 143.6069
94.116219 77.626 143.5140
94.482430 77.606 143.4202
94.848641 77.587 143.3261
95.214851 77.567 143.2325
95.581062 77.548 143.1394
95.947273 77.528 143.0464
96.313484 77.509 142.9532
96.679695 77.489 142.8600
97.045906 77.469 142.7679
97.412117 77.449 142.6778
97.778328 77.429 142.5905
98.144539 77.408 142.5056
98.510750 77.389 142.4222
98.876961 77.369 142.3394
99.243172 77.349 142.2562
99.609383 77.330 142.1727
99.975594 77.310 142.0893
100.341805 77.291 142.0063
100.708016 77.271 141.9241
101.074227 77.252 141.8427
101.440438 77.232 141.7619
101.806649 77.213 141.6812
102.172860 77.193 141.6005
102.539071 77.174 141.5198
102.905282 77.154 141.4398
103.271493 77.135 141.3611
103.637704 77.116 141.2841
104.003915 77.097 141.2086
104.370126 77.078 141.1338
104.736337 77.059 141.0584
105.102548 77.041 140.9815
105.468759 77.023 140.9030
105.834970 77.005 140.8235
106.201180 76.986 140.7446
106.567391 76.967 140.6673
106.933602 76.947 140.5923
107.299813 76.928 140.5199
107.666024 76.909 140.4493
108.032235 76.890 140.3801
108.398446 76.871 140.3116
108.764657 76.852 140.2436
109.130868 76.833 140.1760
109.497079 76.814 140.1089
109.863290 76.796 140.0421
110.229501 76.777 139.9753
110.595712 76.758 139.9084
110.961923 76.740 139.8413
111.328134 76.722 139.7741
111.694345 76.703 139.7072
112.060556 76.685 139.6408
112.426767 76.666 139.5753
112.792978 76.648 139.5106
113.159189 76.630 139.4462
113.525400 76.612 139.3818
113.891611 76.595 139.3170
114.257822 76.577 139.2516
114.624033 76.559 139.1859
114.990244 76.542 139.1204
115.356455 76.524 139.0557
115.722666 76.505 138.9925
116.088877 76.487 138.9312
116.455088 76.469 138.8718
116.821299 76.451 138.8139
117.187510 76.433 138.7570
117.553720 76.415 138.7005
117.919931 76.397 138.6445
118.286142 76.379 138.5892
118.652353 76.361 138.5346
119.018564 76.343 138.4807
119.384775 76.326 138.4271
119.750986 76.308 138.3728
120.117197 76.291 138.3174
120.483408 76.274 138.2604
120.849619 76.257 138.2020
121.215830 76.239 138.1430
121.582041 76.222 138.0842
121.948252 76.204 138.0264
122.314463 76.186 137.9702
122.680674 76.169 137.9160
123.046885 76.151 137.8635
123.413096 76.134 137.8120
123.779307 76.117 137.7603
124.145518 76.101 137.7078
124.511729 76.084 137.6539
124.877940 76.068 137.5989
125.244151 76.051 137.5439
125.610362 76.034 137.4901
125.976573 76.018 137.4382
126.342784 76.001 137.3885
126.708995 75.985 137.3406
127.075206 75.969 137.2937
127.441417 75.953 137.2469
127.807628 75.937 137.1997
128.173839 75.922 137.1522
128.540049 75.906 137.1044
128.906260 75.891 137.0566
129.272471 75.875 137.0091
129.638682 75.859 136.9618
130.004893 75.844 136.9149
130.371104 75.828 136.8686
130.737315 75.813 136.8231
131.103526 75.797 136.7786
131.469737 75.782 136.7350
131.835948 75.766 136.6920
132.202159 75.751 136.6494
132.568370 75.736 136.6068
132.934581 75.722 136.5637
133.300792 75.707 136.5202
133.667003 75.692 136.4767
134.033214 75.677 136.4336
134.399425 75.662 136.3912
134.765636 75.647 136.3495
135.131847 75.632 136.3087
135.498058 75.617 136.2684
135.864269 75.602 136.2285
136.230480 75.587 136.1889
136.596691 75.572 136.1497
136.962902 75.558 136.1109
137.329113 75.543 136.0724
137.695324 75.528 136.0340
138.061535 75.514 135.9955
138.427746 75.499 135.9570
138.793957 75.484 135.9185
139.160168 75.470 135.8800
139.526379 75.455 135.8418
139.892589 75.440 135.8037
140.258800 75.426 135.7656
140.625011 75.411 135.7276
140.991222 75.396 135.6895
141.357433 75.381 135.6518
141.723644 75.367 135.6146
142.089855 75.352 135.5781
142.456066 75.337 135.5420
142.822277 75.323 135.5061
143.188488 75.308 135.4701
143.554699 75.294 135.4338
143.920910 75.279 135.3972
144.287121 75.265 135.3605
144.653332 75.251 135.3237
145.019543 75.236 135.2869
145.385754 75.222 135.2504
145.751965 75.208 135.2141
146.118176 75.194 135.1782
146.484387 75.180 135.1429
146.850598 75.166 135.1080
147.216809 75.152 135.0733
147.583020 75.138 135.0387
147.949231 75.124 135.0040
148.315442 75.110 134.9696
148.681653 75.096 134.9359
149.047864 75.082 134.9036
149.414075 75.067 134.8730
149.780286 75.053 134.8441
150.146497 75.039 134.8162
150.512708 75.025 134.7889
150.878918 75.012 134.7617
