* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 24, 2023 1:45:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Legato Stock Silicon R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 77.977 -23.0044
0.732422 76.139 -45.4838
1.098633 72.588 -66.0924
1.464844 65.776 -77.5463
1.831055 58.903 -5.9504
2.197266 67.170 10.7592
2.563477 70.433 -6.6890
2.929688 71.551 -27.1882
3.295899 71.523 -45.9035
3.662110 70.904 -59.3590
4.028321 70.447 -64.9561
4.394532 71.060 -65.4999
4.760743 72.621 -68.1870
5.126954 74.228 -74.8692
5.493164 75.397 -83.1124
5.859375 76.087 -90.4458
6.225586 76.483 -95.4296
6.591797 76.853 -98.0133
6.958008 77.373 -99.5167
7.324219 77.993 -101.4448
7.690430 78.548 -104.2435
8.056641 78.934 -107.4030
8.422852 79.162 -110.2313
8.789063 79.316 -112.4206
9.155274 79.476 -114.1842
9.521485 79.664 -115.9673
9.887696 79.845 -118.0278
10.253907 79.917 -120.2999
10.620118 79.918 -122.5744
10.986329 79.904 -124.7254
11.352540 79.897 -126.7794
11.718751 79.902 -128.8191
12.084962 79.911 -130.8605
12.451173 79.921 -132.8396
12.817384 79.979 -134.6926
13.183595 80.056 -136.4231
13.549806 80.140 -138.0837
13.916017 80.222 -139.7020
14.282228 80.292 -141.2428
14.648439 80.348 -142.6448
15.014650 80.399 -143.8890
15.380861 80.451 -145.0243
15.747072 80.502 -146.1255
16.113283 80.549 -147.2296
16.479493 80.588 -148.3168
16.845704 80.613 -149.3471
17.211915 80.628 -150.3102
17.578126 80.642 -151.2388
17.944337 80.654 -152.1779
18.310548 80.661 -153.1464
18.676759 80.662 -154.1307
19.042970 80.659 -155.1081
19.409181 80.656 -156.0718
19.775392 80.656 -157.0314
20.141603 80.659 -157.9949
20.507814 80.664 -158.9549
20.874025 80.671 -159.8947
21.240236 80.681 -160.8035
21.606447 80.693 -161.6828
21.972658 80.708 -162.5381
22.338869 80.723 -163.3675
22.705080 80.736 -164.1609
23.071291 80.749 -164.9113
23.437502 80.761 -165.6230
23.803713 80.771 -166.3076
24.169924 80.779 -166.9735
24.536135 80.782 -167.6185
24.902346 80.780 -168.2366
25.268557 80.775 -168.8276
25.634768 80.769 -169.4016
26.000979 80.762 -169.9716
26.367190 80.752 -170.5449
26.733401 80.740 -171.1210
27.099612 80.727 -171.6974
27.465823 80.713 -172.2750
27.832033 80.698 -172.8566
28.198244 80.684 -173.4421
28.564455 80.669 -174.0253
28.930666 80.655 -174.5994
29.296877 80.643 -175.1636
29.663088 80.633 -175.7229
30.029299 80.624 -176.2813
30.395510 80.615 -176.8350
30.761721 80.605 -177.3732
31.127932 80.595 -177.8870
31.494143 80.585 -178.3773
31.860354 80.577 -178.8536
32.226565 80.568 -179.3249
32.592776 80.558 -179.7918
32.958987 80.544 179.7531
33.325198 80.529 179.3177
33.691409 80.512 178.9023
34.057620 80.496 178.4990
34.423831 80.480 178.0977
34.790042 80.463 177.6931
35.156253 80.446 177.2859
35.522464 80.427 176.8790
35.888675 80.408 176.4731
36.254886 80.389 176.0660
36.621097 80.370 175.6559
36.987308 80.349 175.2451
37.353519 80.327 174.8409
37.719730 80.305 174.4523
38.085941 80.283 174.0851
38.452152 80.263 173.7379
38.818363 80.247 173.4012
39.184573 80.234 173.0627
39.550784 80.222 172.7125
39.916995 80.211 172.3497
40.283206 80.198 171.9818
40.649417 80.182 171.6199
41.015628 80.165 171.2716
41.381839 80.148 170.9370
41.748050 80.131 170.6105
42.114261 80.114 170.2860
42.480472 80.096 169.9616
42.846683 80.077 169.6393
43.212894 80.057 169.3221
43.579105 80.037 169.0104
43.945316 80.017 168.7023
44.311527 79.997 168.3960
44.677738 79.977 168.0911
45.043949 79.956 167.7888
45.410160 79.936 167.4896
45.776371 79.917 167.1927
46.142582 79.897 166.8971
46.508793 79.877 166.6031
46.875004 79.857 166.3124
47.241215 79.837 166.0263
47.607426 79.817 165.7452
47.973637 79.797 165.4679
48.339848 79.777 165.1939
48.706059 79.757 164.9241
49.072270 79.736 164.6595
49.438481 79.716 164.4001
49.804692 79.696 164.1436
50.170902 79.677 163.8864
50.537113 79.657 163.6265
50.903324 79.637 163.3645
51.269535 79.617 163.1038
51.635746 79.595 162.8479
52.001957 79.573 162.5986
52.368168 79.552 162.3552
52.734379 79.531 162.1157
53.100590 79.510 161.8777
53.466801 79.490 161.6401
53.833012 79.470 161.4030
54.199223 79.450 161.1675
54.565434 79.430 160.9351
54.931645 79.409 160.7070
55.297856 79.388 160.4830
55.664067 79.368 160.2624
56.030278 79.347 160.0442
56.396489 79.327 159.8281
56.762700 79.305 159.6147
57.128911 79.284 159.4050
57.495122 79.263 159.1988
57.861333 79.242 158.9948
58.227544 79.221 158.7911
58.593755 79.200 158.5864
58.959966 79.179 158.3802
59.326177 79.158 158.1734
59.692388 79.136 157.9673
60.058599 79.114 157.7635
60.424810 79.092 157.5627
60.791021 79.071 157.3651
61.157232 79.049 157.1697
61.523442 79.028 156.9754
61.889653 79.007 156.7815
62.255864 78.986 156.5886
62.622075 78.965 156.3981
62.988286 78.944 156.2116
63.354497 78.922 156.0295
63.720708 78.900 155.8509
64.086919 78.879 155.6742
64.453130 78.857 155.4985
64.819341 78.836 155.3238
65.185552 78.814 155.1511
65.551763 78.791 154.9810
65.917974 78.769 154.8131
66.284185 78.747 154.6465
66.650396 78.725 154.4802
67.016607 78.703 154.3137
67.382818 78.681 154.1476
67.749029 78.658 153.9824
68.115240 78.636 153.8188
68.481451 78.613 153.6570
68.847662 78.591 153.4965
69.213873 78.569 153.3370
69.580084 78.547 153.1782
69.946295 78.525 153.0200
70.312506 78.503 152.8628
70.678717 78.481 152.7074
71.044928 78.459 152.5542
71.411139 78.437 152.4030
71.777350 78.416 152.2533
72.143561 78.394 152.1042
72.509771 78.373 151.9557
72.875982 78.351 151.8085
73.242193 78.329 151.6636
73.608404 78.307 151.5213
73.974615 78.285 151.3813
74.340826 78.264 151.2426
74.707037 78.242 151.1039
75.073248 78.220 150.9648
75.439459 78.199 150.8258
75.805670 78.177 150.6876
76.171881 78.155 150.5511
76.538092 78.133 150.4164
76.904303 78.111 150.2830
77.270514 78.090 150.1502
77.636725 78.068 150.0176
78.002936 78.047 149.8853
78.369147 78.025 149.7542
78.735358 78.003 149.6254
79.101569 77.982 149.4996
79.467780 77.960 149.3766
79.833991 77.939 149.2556
80.200202 77.918 149.1353
80.566413 77.897 149.0147
80.932624 77.876 148.8939
81.298835 77.856 148.7730
81.665046 77.835 148.6526
82.031257 77.814 148.5332
82.397468 77.793 148.4148
82.763679 77.772 148.2973
83.129890 77.751 148.1805
83.496101 77.730 148.0645
83.862311 77.709 147.9490
84.228522 77.688 147.8345
84.594733 77.667 147.7212
84.960944 77.646 147.6094
85.327155 77.625 147.4990
85.693366 77.605 147.3900
86.059577 77.584 147.2824
86.425788 77.563 147.1761
86.791999 77.543 147.0710
87.158210 77.522 146.9670
87.524421 77.502 146.8636
87.890632 77.482 146.7601
88.256843 77.462 146.6564
88.623054 77.441 146.5530
88.989265 77.421 146.4509
89.355476 77.400 146.3508
89.721687 77.379 146.2531
90.087898 77.358 146.1570
90.454109 77.338 146.0614
90.820320 77.318 145.9655
91.186531 77.298 145.8690
91.552742 77.277 145.7726
91.918953 77.257 145.6768
92.285164 77.237 145.5820
92.651375 77.217 145.4882
93.017586 77.197 145.3948
93.383797 77.177 145.3011
93.750008 77.157 145.2075
94.116219 77.137 145.1143
94.482430 77.117 145.0224
94.848641 77.097 144.9323
95.214851 77.077 144.8439
95.581062 77.057 144.7569
95.947273 77.037 144.6705
96.313484 77.017 144.5844
96.679695 76.998 144.4986
97.045906 76.978 144.4135
97.412117 76.958 144.3296
97.778328 76.938 144.2472
98.144539 76.918 144.1662
98.510750 76.898 144.0862
98.876961 76.879 144.0065
99.243172 76.859 143.9265
99.609383 76.840 143.8462
99.975594 76.821 143.7655
100.341805 76.802 143.6847
100.708016 76.782 143.6040
101.074227 76.763 143.5237
101.440438 76.744 143.4437
101.806649 76.725 143.3640
102.172860 76.705 143.2846
102.539071 76.686 143.2061
102.905282 76.667 143.1288
103.271493 76.648 143.0532
103.637704 76.629 142.9789
104.003915 76.610 142.9056
104.370126 76.591 142.8324
104.736337 76.572 142.7593
105.102548 76.553 142.6867
105.468759 76.534 142.6154
105.834970 76.515 142.5459
106.201180 76.496 142.4781
106.567391 76.478 142.4112
106.933602 76.459 142.3442
107.299813 76.441 142.2763
107.666024 76.422 142.2080
108.032235 76.404 142.1401
108.398446 76.385 142.0734
108.764657 76.366 142.0085
109.130868 76.347 141.9448
109.497079 76.329 141.8814
109.863290 76.310 141.8177
110.229501 76.292 141.7534
110.595712 76.274 141.6888
110.961923 76.255 141.6243
111.328134 76.237 141.5601
111.694345 76.218 141.4961
112.060556 76.200 141.4319
112.426767 76.182 141.3676
112.792978 76.163 141.3035
113.159189 76.144 141.2403
113.525400 76.126 141.1785
113.891611 76.107 141.1180
114.257822 76.089 141.0586
114.624033 76.070 140.9998
114.990244 76.052 140.9416
115.356455 76.034 140.8840
115.722666 76.016 140.8272
116.088877 75.999 140.7711
116.455088 75.981 140.7153
116.821299 75.964 140.6595
117.187510 75.946 140.6038
117.553720 75.929 140.5483
117.919931 75.912 140.4934
118.286142 75.894 140.4393
118.652353 75.877 140.3857
119.018564 75.860 140.3320
119.384775 75.843 140.2779
119.750986 75.825 140.2237
120.117197 75.808 140.1699
120.483408 75.790 140.1171
120.849619 75.772 140.0657
121.215830 75.754 140.0157
121.582041 75.736 139.9668
121.948252 75.718 139.9186
122.314463 75.700 139.8708
122.680674 75.682 139.8235
123.046885 75.665 139.7763
123.413096 75.647 139.7292
123.779307 75.630 139.6819
124.145518 75.613 139.6342
124.511729 75.596 139.5862
124.877940 75.579 139.5384
125.244151 75.563 139.4908
125.610362 75.547 139.4438
125.976573 75.531 139.3971
126.342784 75.515 139.3508
126.708995 75.499 139.3049
127.075206 75.483 139.2598
127.441417 75.468 139.2155
127.807628 75.452 139.1721
128.173839 75.437 139.1296
128.540049 75.422 139.0876
128.906260 75.406 139.0457
129.272471 75.391 139.0037
129.638682 75.376 138.9616
130.004893 75.360 138.9200
130.371104 75.345 138.8792
130.737315 75.329 138.8396
131.103526 75.314 138.8014
131.469737 75.298 138.7642
131.835948 75.283 138.7274
132.202159 75.268 138.6904
132.568370 75.253 138.6528
132.934581 75.238 138.6144
133.300792 75.224 138.5756
133.667003 75.209 138.5368
134.033214 75.194 138.4984
134.399425 75.179 138.4605
134.765636 75.164 138.4232
135.131847 75.149 138.3863
135.498058 75.134 138.3499
135.864269 75.119 138.3139
136.230480 75.104 138.2781
136.596691 75.089 138.2426
136.962902 75.075 138.2070
137.329113 75.060 138.1713
137.695324 75.045 138.1353
138.061535 75.030 138.0991
138.427746 75.016 138.0627
138.793957 75.001 138.0268
139.160168 74.986 137.9917
139.526379 74.971 137.9576
139.892589 74.956 137.9244
140.258800 74.941 137.8919
140.625011 74.926 137.8596
140.991222 74.912 137.8272
141.357433 74.897 137.7947
141.723644 74.883 137.7622
142.089855 74.869 137.7300
142.456066 74.854 137.6983
142.822277 74.840 137.6671
143.188488 74.826 137.6362
143.554699 74.812 137.6056
143.920910 74.798 137.5752
144.287121 74.784 137.5448
144.653332 74.770 137.5145
145.019543 74.756 137.4842
145.385754 74.742 137.4541
145.751965 74.728 137.4244
146.118176 74.714 137.3955
146.484387 74.700 137.3674
146.850598 74.686 137.3403
147.216809 74.672 137.3137
147.583020 74.658 137.2874
147.949231 74.644 137.2612
148.315442 74.630 137.2346
148.681653 74.616 137.2080
149.047864 74.602 137.1815
149.414075 74.588 137.1552
149.780286 74.575 137.1292
150.146497 74.561 137.1034
150.512708 74.547 137.0778
