* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 6:56:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Salnotes Zero Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 65.866 160.5030
0.732422 64.041 140.5553
1.098633 60.627 118.8288
1.464844 54.763 88.8946
1.831055 48.206 14.1362
2.197266 52.360 -47.4540
2.563477 55.135 -60.9525
2.929688 56.924 -58.6488
3.295899 59.215 -53.0307
3.662110 61.671 -52.0398
4.028321 63.641 -55.2852
4.394532 64.989 -60.0768
4.760743 65.860 -64.5253
5.126954 66.482 -67.8675
5.493164 67.058 -70.3875
5.859375 67.670 -72.9339
6.225586 68.275 -76.1124
6.591797 68.802 -79.8942
6.958008 69.221 -83.8505
7.324219 69.565 -87.5682
7.690430 69.889 -90.9101
8.056641 70.232 -94.0175
8.422852 70.595 -97.1065
8.789063 70.948 -100.2551
9.155274 71.268 -103.3623
9.521485 71.547 -106.2579
9.887696 71.798 -108.8372
10.253907 71.967 -111.1175
10.620118 72.105 -113.1995
10.986329 72.239 -115.1845
11.352540 72.358 -117.1197
11.718751 72.455 -119.0015
12.084962 72.527 -120.8087
12.451173 72.579 -122.5280
12.817384 72.660 -124.1606
13.183595 72.734 -125.7164
13.549806 72.796 -127.2116
13.916017 72.851 -128.6688
14.282228 72.901 -130.1126
14.648439 72.946 -131.5603
15.014650 72.984 -133.0138
15.380861 73.017 -134.4616
15.747072 73.046 -135.8882
16.113283 73.077 -137.2830
16.479493 73.116 -138.6404
16.845704 73.155 -139.9545
17.211915 73.193 -141.2166
17.578126 73.232 -142.4204
17.944337 73.273 -143.5697
18.310548 73.315 -144.6776
18.676759 73.356 -145.7559
19.042970 73.393 -146.8048
19.409181 73.422 -147.8110
19.775392 73.446 -148.7595
20.141603 73.467 -149.6485
20.507814 73.489 -150.4941
20.874025 73.509 -151.3220
21.240236 73.526 -152.1508
21.606447 73.537 -152.9817
21.972658 73.541 -153.8001
22.338869 73.539 -154.5891
22.705080 73.535 -155.3422
23.071291 73.532 -156.0698
23.437502 73.533 -156.7938
23.803713 73.537 -157.5354
24.169924 73.540 -158.3013
24.536135 73.540 -159.0787
24.902346 73.536 -159.8414
25.268557 73.530 -160.5650
25.634768 73.526 -161.2433
26.000979 73.526 -161.8922
26.367190 73.532 -162.5390
26.733401 73.537 -163.2011
27.099612 73.538 -163.8717
27.465823 73.532 -164.5221
27.832033 73.520 -165.1209
28.198244 73.505 -165.6547
28.564455 73.494 -166.1368
28.930666 73.487 -166.5972
29.296877 73.482 -167.0639
29.663088 73.477 -167.5482
30.029299 73.469 -168.0443
30.395510 73.456 -168.5387
30.761721 73.440 -169.0210
31.127932 73.423 -169.4884
31.494143 73.405 -169.9445
31.860354 73.389 -170.3958
32.226565 73.373 -170.8484
32.592776 73.357 -171.3055
32.958987 73.341 -171.7644
33.325198 73.324 -172.2163
33.691409 73.306 -172.6518
34.057620 73.291 -173.0690
34.423831 73.279 -173.4794
34.790042 73.271 -173.9025
35.156253 73.262 -174.3505
35.522464 73.248 -174.8139
35.888675 73.226 -175.2619
36.254886 73.200 -175.6598
36.621097 73.174 -175.9945
36.987308 73.154 -176.2865
37.353519 73.142 -176.5788
37.719730 73.133 -176.9079
38.085941 73.121 -177.2780
38.452152 73.102 -177.6598
38.818363 73.076 -178.0130
39.184573 73.048 -178.3165
39.550784 73.025 -178.5829
39.916995 73.009 -178.8489
40.283206 72.997 -179.1483
40.649417 72.985 -179.4896
41.015628 72.968 -179.8544
41.381839 72.944 179.7877
41.748050 72.918 179.4585
42.114261 72.891 179.1618
42.480472 72.866 178.8881
42.846683 72.844 178.6255
43.212894 72.823 178.3670
43.579105 72.805 178.1094
43.945316 72.787 177.8495
44.311527 72.770 177.5832
44.677738 72.752 177.3104
45.043949 72.731 177.0386
45.410160 72.708 176.7815
45.776371 72.684 176.5493
46.142582 72.661 176.3401
46.508793 72.643 176.1385
46.875004 72.627 175.9256
47.241215 72.612 175.6914
47.607426 72.594 175.4418
47.973637 72.573 175.1938
48.339848 72.549 174.9631
48.706059 72.526 174.7537
49.072270 72.505 174.5568
49.438481 72.486 174.3582
49.804692 72.469 174.1491
50.170902 72.450 173.9305
50.537113 72.430 173.7115
50.903324 72.409 173.5016
51.269535 72.387 173.3047
51.635746 72.366 173.1185
52.001957 72.346 172.9370
52.368168 72.327 172.7553
52.734379 72.308 172.5720
53.100590 72.288 172.3888
53.466801 72.268 172.2090
53.833012 72.247 172.0354
54.199223 72.226 171.8684
54.565434 72.206 171.7060
54.931645 72.187 171.5444
55.297856 72.168 171.3798
55.664067 72.149 171.2103
56.030278 72.129 171.0374
56.396489 72.108 170.8655
56.762700 72.086 170.7011
57.128911 72.063 170.5491
57.495122 72.040 170.4112
57.861333 72.019 170.2846
58.227544 72.000 170.1625
58.593755 71.983 170.0365
58.959966 71.968 169.9001
59.326177 71.952 169.7510
59.692388 71.935 169.5934
60.058599 71.915 169.4352
60.424810 71.894 169.2855
60.791021 71.872 169.1492
61.157232 71.850 169.0247
61.523442 71.830 168.9053
61.889653 71.810 168.7837
62.255864 71.791 168.6566
62.622075 71.771 168.5268
62.988286 71.749 168.4005
63.354497 71.727 168.2828
63.720708 71.705 168.1739
64.086919 71.685 168.0691
64.453130 71.666 167.9615
64.819341 71.648 167.8469
65.185552 71.629 167.7260
65.551763 71.609 167.6036
65.917974 71.588 167.4858
66.284185 71.567 167.3765
66.650396 71.547 167.2758
67.016607 71.527 167.1804
67.382818 71.508 167.0853
67.749029 71.490 166.9869
68.115240 71.472 166.8851
68.481451 71.453 166.7836
68.847662 71.433 166.6880
69.213873 71.412 166.6017
69.580084 71.392 166.5240
69.946295 71.374 166.4489
70.312506 71.357 166.3694
70.678717 71.340 166.2820
71.044928 71.322 166.1886
71.411139 71.302 166.0952
71.777350 71.282 166.0063
72.143561 71.263 165.9215
72.509771 71.243 165.8362
72.875982 71.223 165.7467
73.242193 71.202 165.6558
73.608404 71.180 165.5721
73.974615 71.157 165.5046
74.340826 71.135 165.4552
74.707037 71.116 165.4149
75.073248 71.101 165.3689
75.439459 71.087 165.3054
75.805670 71.073 165.2231
76.171881 71.057 165.1309
76.538092 71.039 165.0404
76.904303 71.020 164.9587
77.270514 71.002 164.8845
77.636725 70.984 164.8121
78.002936 70.965 164.7382
78.369147 70.946 164.6655
78.735358 70.926 164.6008
79.101569 70.906 164.5490
79.467780 70.887 164.5076
79.833991 70.871 164.4673
80.200202 70.856 164.4178
80.566413 70.842 164.3538
80.932624 70.826 164.2789
81.298835 70.808 164.2030
81.665046 70.788 164.1364
82.031257 70.767 164.0850
82.397468 70.748 164.0474
82.763679 70.730 164.0160
83.129890 70.714 163.9812
83.496101 70.700 163.9351
83.862311 70.685 163.8752
84.228522 70.669 163.8055
84.594733 70.651 163.7354
84.960944 70.630 163.6756
85.327155 70.609 163.6336
85.693366 70.589 163.6091
86.059577 70.572 163.5936
86.425788 70.558 163.5741
86.791999 70.546 163.5395
87.158210 70.534 163.4865
87.524421 70.520 163.4210
87.890632 70.504 163.3548
88.256843 70.486 163.2986
88.623054 70.467 163.2570
88.989265 70.450 163.2266
89.355476 70.434 163.1995
89.721687 70.419 163.1689
90.087898 70.404 163.1332
90.454109 70.388 163.0960
90.820320 70.371 163.0632
91.186531 70.354 163.0383
91.552742 70.338 163.0202
91.918953 70.323 163.0040
92.285164 70.309 162.9846
92.651375 70.295 162.9592
93.017586 70.281 162.9286
93.383797 70.266 162.8955
93.750008 70.251 162.8625
94.116219 70.235 162.8301
94.482430 70.220 162.7972
94.848641 70.205 162.7625
95.214851 70.190 162.7260
95.581062 70.174 162.6887
95.947273 70.158 162.6526
96.313484 70.142 162.6186
96.679695 70.126 162.5870
97.045906 70.110 162.5574
97.412117 70.095 162.5294
97.778328 70.079 162.5034
98.144539 70.064 162.4803
98.510750 70.048 162.4607
98.876961 70.034 162.4445
99.243172 70.019 162.4308
99.609383 70.005 162.4188
99.975594 69.992 162.4073
100.341805 69.979 162.3954
100.708016 69.966 162.3817
101.074227 69.953 162.3654
101.440438 69.940 162.3463
101.806649 69.926 162.3257
102.172860 69.912 162.3062
102.539071 69.897 162.2904
102.905282 69.882 162.2797
103.271493 69.868 162.2729
103.637704 69.854 162.2666
104.003915 69.841 162.2574
104.370126 69.828 162.2436
104.736337 69.814 162.2260
105.102548 69.801 162.2077
105.468759 69.787 162.1914
105.834970 69.773 162.1782
106.201180 69.759 162.1667
106.567391 69.746 162.1548
106.933602 69.734 162.1405
107.299813 69.721 162.1240
107.666024 69.708 162.1066
108.032235 69.695 162.0904
108.398446 69.682 162.0764
108.764657 69.668 162.0647
109.130868 69.655 162.0544
109.497079 69.642 162.0450
109.863290 69.628 162.0363
110.229501 69.615 162.0291
110.595712 69.601 162.0246
110.961923 69.587 162.0238
111.328134 69.573 162.0270
111.694345 69.559 162.0331
112.060556 69.547 162.0399
112.426767 69.535 162.0445
112.792978 69.524 162.0444
113.159189 69.512 162.0385
113.525400 69.501 162.0277
113.891611 69.488 162.0147
114.257822 69.475 162.0023
114.624033 69.462 161.9922
114.990244 69.449 161.9846
115.356455 69.436 161.9779
115.722666 69.423 161.9707
116.088877 69.411 161.9627
116.455088 69.398 161.9549
116.821299 69.385 161.9492
117.187510 69.372 161.9471
117.553720 69.360 161.9488
117.919931 69.348 161.9526
118.286142 69.337 161.9564
118.652353 69.326 161.9586
119.018564 69.315 161.9587
119.384775 69.305 161.9576
119.750986 69.294 161.9566
120.117197 69.283 161.9568
120.483408 69.272 161.9583
120.849619 69.261 161.9608
121.215830 69.251 161.9636
121.582041 69.240 161.9663
121.948252 69.229 161.9685
122.314463 69.219 161.9702
122.680674 69.208 161.9710
123.046885 69.197 161.9712
123.413096 69.186 161.9713
123.779307 69.174 161.9722
124.145518 69.163 161.9753
124.511729 69.151 161.9808
124.877940 69.141 161.9882
125.244151 69.130 161.9957
125.610362 69.121 162.0018
125.976573 69.111 162.0056
126.342784 69.101 162.0078
126.708995 69.092 162.0100
127.075206 69.082 162.0136
127.441417 69.072 162.0195
127.807628 69.063 162.0272
128.173839 69.053 162.0361
128.540049 69.044 162.0452
128.906260 69.036 162.0541
129.272471 69.027 162.0627
129.638682 69.019 162.0709
130.004893 69.010 162.0787
130.371104 69.002 162.0858
130.737315 68.994 162.0922
131.103526 68.985 162.0982
131.469737 68.977 162.1041
131.835948 68.968 162.1104
132.202159 68.959 162.1172
132.568370 68.950 162.1251
132.934581 68.941 162.1342
133.300792 68.932 162.1449
133.667003 68.923 162.1571
134.033214 68.914 162.1703
134.399425 68.905 162.1836
134.765636 68.897 162.1961
135.131847 68.889 162.2073
135.498058 68.880 162.2176
135.864269 68.872 162.2273
136.230480 68.864 162.2372
136.596691 68.855 162.2475
136.962902 68.847 162.2581
137.329113 68.839 162.2687
137.695324 68.832 162.2787
138.061535 68.824 162.2876
138.427746 68.817 162.2947
138.793957 68.809 162.3000
139.160168 68.801 162.3039
139.526379 68.793 162.3078
139.892589 68.784 162.3137
140.258800 68.775 162.3234
140.625011 68.766 162.3378
140.991222 68.757 162.3564
141.357433 68.748 162.3776
141.723644 68.740 162.3995
142.089855 68.732 162.4205
142.456066 68.725 162.4401
142.822277 68.718 162.4586
143.188488 68.710 162.4764
143.554699 68.703 162.4937
143.920910 68.695 162.5106
144.287121 68.688 162.5266
144.653332 68.681 162.5416
145.019543 68.674 162.5558
145.385754 68.666 162.5693
145.751965 68.659 162.5825
146.118176 68.651 162.5953
146.484387 68.644 162.6079
146.850598 68.636 162.6204
147.216809 68.629 162.6330
147.583020 68.621 162.6461
147.949231 68.614 162.6596
148.315442 68.607 162.6737
148.681653 68.599 162.6882
149.047864 68.592 162.7032
149.414075 68.585 162.7188
149.780286 68.577 162.7350
150.146497 68.570 162.7520
