* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 6:56:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Salnotes Zero Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 69.914 -23.5720
0.732422 68.036 -46.7908
1.098633 64.369 -68.7202
1.464844 56.999 -83.7473
1.831055 49.104 11.3942
2.197266 59.098 18.6594
2.563477 62.307 -0.8313
2.929688 63.252 -21.5339
3.295899 62.974 -39.4927
3.662110 62.085 -51.0073
4.028321 61.578 -53.4979
4.394532 62.506 -52.2176
4.760743 64.345 -55.5163
5.126954 66.029 -63.3283
5.493164 67.180 -72.2304
5.859375 67.848 -79.6337
6.225586 68.278 -84.2827
6.591797 68.759 -86.5379
6.958008 69.425 -88.0819
7.324219 70.166 -90.3584
7.690430 70.799 -93.5150
8.056641 71.242 -96.8647
8.422852 71.530 -99.7266
8.789063 71.758 -101.9085
9.155274 71.999 -103.7280
9.521485 72.257 -105.6364
9.887696 72.493 -107.8231
10.253907 72.607 -110.1652
10.620118 72.646 -112.4512
10.986329 72.670 -114.5921
11.352540 72.702 -116.6519
11.718751 72.742 -118.7277
12.084962 72.780 -120.8331
12.451173 72.814 -122.8997
12.817384 72.892 -124.8617
13.183595 72.982 -126.7150
13.549806 73.076 -128.4965
13.916017 73.166 -130.2212
14.282228 73.246 -131.8569
14.648439 73.317 -133.3600
15.014650 73.384 -134.7287
15.380861 73.451 -136.0095
15.747072 73.514 -137.2545
16.113283 73.571 -138.4760
16.479493 73.622 -139.6465
16.845704 73.663 -140.7412
17.211915 73.698 -141.7744
17.578126 73.732 -142.7930
17.944337 73.761 -143.8359
18.310548 73.781 -144.9025
18.676759 73.790 -145.9611
19.042970 73.793 -146.9840
19.409181 73.795 -147.9735
19.775392 73.801 -148.9545
20.141603 73.808 -149.9456
20.507814 73.816 -150.9389
20.874025 73.820 -151.9052
21.240236 73.825 -152.8181
21.606447 73.833 -153.6734
21.972658 73.849 -154.4903
22.338869 73.871 -155.2980
22.705080 73.895 -156.1184
23.071291 73.916 -156.9549
23.437502 73.929 -157.7888
23.803713 73.931 -158.5846
24.169924 73.925 -159.3056
24.536135 73.915 -159.9346
24.902346 73.910 -160.4887
25.268557 73.913 -161.0151
25.634768 73.921 -161.5658
26.000979 73.929 -162.1679
26.367190 73.931 -162.8132
26.733401 73.925 -163.4714
27.099612 73.911 -164.1152
27.465823 73.894 -164.7362
27.832033 73.877 -165.3421
28.198244 73.860 -165.9423
28.564455 73.842 -166.5382
28.930666 73.824 -167.1249
29.296877 73.806 -167.6991
29.663088 73.789 -168.2617
30.029299 73.772 -168.8133
30.395510 73.755 -169.3493
30.761721 73.739 -169.8618
31.127932 73.723 -170.3466
31.494143 73.709 -170.8093
31.860354 73.697 -171.2607
32.226565 73.686 -171.7083
32.592776 73.674 -172.1506
32.958987 73.660 -172.5811
33.325198 73.646 -172.9957
33.691409 73.631 -173.3981
34.057620 73.617 -173.7955
34.423831 73.602 -174.1926
34.790042 73.585 -174.5884
35.156253 73.568 -174.9804
35.522464 73.550 -175.3691
35.888675 73.532 -175.7583
36.254886 73.513 -176.1499
36.621097 73.493 -176.5394
36.987308 73.471 -176.9175
37.353519 73.449 -177.2780
37.719730 73.429 -177.6243
38.085941 73.412 -177.9685
38.452152 73.396 -178.3228
38.818363 73.379 -178.6898
39.184573 73.358 -179.0590
39.550784 73.333 -179.4115
39.916995 73.306 -179.7300
40.283206 73.279 179.9919
40.649417 73.255 179.7470
41.015628 73.236 179.5187
41.381839 73.220 179.2883
41.748050 73.207 179.0429
42.114261 73.194 178.7792
42.480472 73.178 178.5022
42.846683 73.160 178.2206
43.212894 73.140 177.9423
43.579105 73.118 177.6717
43.945316 73.095 177.4102
44.311527 73.072 177.1580
44.677738 73.049 176.9141
45.043949 73.027 176.6760
45.410160 73.007 176.4388
45.776371 72.987 176.1965
46.142582 72.968 175.9457
46.508793 72.947 175.6885
46.875004 72.925 175.4324
47.241215 72.901 175.1877
47.607426 72.876 174.9612
47.973637 72.852 174.7532
48.339848 72.831 174.5566
48.706059 72.812 174.3608
49.072270 72.795 174.1571
49.438481 72.777 173.9435
49.804692 72.758 173.7250
50.170902 72.737 173.5114
50.537113 72.715 173.3109
50.903324 72.693 173.1254
51.269535 72.672 172.9493
51.635746 72.653 172.7735
52.001957 72.635 172.5909
52.368168 72.615 172.4015
52.734379 72.594 172.2120
53.100590 72.571 172.0308
53.466801 72.548 171.8620
53.833012 72.526 171.7031
54.199223 72.504 171.5472
54.565434 72.483 171.3886
54.931645 72.462 171.2271
55.297856 72.440 171.0671
55.664067 72.417 170.9133
56.030278 72.396 170.7646
56.396489 72.376 170.6135
56.762700 72.356 170.4508
57.128911 72.336 170.2730
57.495122 72.312 170.0876
57.861333 72.285 169.9115
58.227544 72.256 169.7620
58.593755 72.227 169.6466
58.959966 72.203 169.5578
59.326177 72.184 169.4762
59.692388 72.170 169.3816
60.058599 72.159 169.2629
60.424810 72.147 169.1216
60.791021 72.134 168.9678
61.157232 72.119 168.8119
61.523442 72.102 168.6600
61.889653 72.085 168.5142
62.255864 72.066 168.3754
62.622075 72.047 168.2459
62.988286 72.027 168.1280
63.354497 72.007 168.0210
63.720708 71.987 167.9205
64.086919 71.968 167.8208
64.453130 71.949 167.7188
64.819341 71.928 167.6160
65.185552 71.907 167.5160
65.551763 71.886 167.4210
65.917974 71.865 167.3287
66.284185 71.844 167.2346
66.650396 71.824 167.1350
67.016607 71.803 167.0307
67.382818 71.781 166.9257
67.749029 71.759 166.8242
68.115240 71.737 166.7272
68.481451 71.716 166.6325
68.847662 71.696 166.5370
69.213873 71.677 166.4395
69.580084 71.657 166.3421
69.946295 71.638 166.2480
70.312506 71.620 166.1589
70.678717 71.602 166.0740
71.044928 71.585 165.9901
71.411139 71.568 165.9050
71.777350 71.551 165.8194
72.143561 71.533 165.7370
72.509771 71.515 165.6625
72.875982 71.496 165.5984
73.242193 71.478 165.5437
73.608404 71.461 165.4940
73.974615 71.445 165.4435
74.340826 71.429 165.3876
74.707037 71.414 165.3240
75.073248 71.397 165.2528
75.439459 71.380 165.1752
75.805670 71.362 165.0933
76.171881 71.341 165.0103
76.538092 71.320 164.9300
76.904303 71.297 164.8564
77.270514 71.274 164.7920
77.636725 71.252 164.7371
78.002936 71.230 164.6893
78.369147 71.211 164.6451
78.735358 71.192 164.6008
79.101569 71.176 164.5536
79.467780 71.161 164.5014
79.833991 71.146 164.4424
80.200202 71.133 164.3752
80.566413 71.118 164.3002
80.932624 71.103 164.2202
81.298835 71.087 164.1401
81.665046 71.069 164.0661
82.031257 71.050 164.0026
82.397468 71.030 163.9516
82.763679 71.011 163.9129
83.129890 70.992 163.8849
83.496101 70.974 163.8652
83.862311 70.958 163.8503
84.228522 70.943 163.8353
84.594733 70.930 163.8138
84.960944 70.917 163.7811
85.327155 70.904 163.7360
85.693366 70.889 163.6826
86.059577 70.872 163.6281
86.425788 70.853 163.5792
86.791999 70.835 163.5381
87.158210 70.816 163.5027
87.524421 70.798 163.4685
87.890632 70.780 163.4328
88.256843 70.762 163.3967
88.623054 70.743 163.3635
88.989265 70.725 163.3359
89.355476 70.708 163.3130
89.721687 70.692 163.2903
90.087898 70.678 163.2628
90.454109 70.664 163.2283
90.820320 70.649 163.1880
91.186531 70.634 163.1460
91.552742 70.619 163.1061
91.918953 70.603 163.0702
92.285164 70.588 163.0380
92.651375 70.573 163.0079
93.017586 70.558 162.9789
93.383797 70.543 162.9508
93.750008 70.529 162.9240
94.116219 70.514 162.8987
94.482430 70.500 162.8747
94.848641 70.485 162.8514
95.214851 70.471 162.8282
95.581062 70.457 162.8053
95.947273 70.442 162.7830
96.313484 70.427 162.7619
96.679695 70.413 162.7425
97.045906 70.398 162.7244
97.412117 70.384 162.7066
97.778328 70.370 162.6880
98.144539 70.355 162.6678
98.510750 70.341 162.6461
98.876961 70.327 162.6238
99.243172 70.312 162.6025
99.609383 70.297 162.5833
99.975594 70.282 162.5660
100.341805 70.268 162.5501
100.708016 70.254 162.5342
101.074227 70.240 162.5176
101.440438 70.227 162.5006
101.806649 70.213 162.4844
102.172860 70.198 162.4706
102.539071 70.184 162.4601
102.905282 70.170 162.4533
103.271493 70.157 162.4489
103.637704 70.145 162.4450
104.003915 70.132 162.4391
104.370126 70.121 162.4294
104.736337 70.109 162.4153
105.102548 70.096 162.3981
105.468759 70.083 162.3804
105.834970 70.069 162.3654
106.201180 70.055 162.3555
106.567391 70.040 162.3511
106.933602 70.027 162.3506
107.299813 70.014 162.3510
107.666024 70.001 162.3492
108.032235 69.989 162.3438
108.398446 69.977 162.3351
108.764657 69.965 162.3245
109.130868 69.953 162.3141
109.497079 69.940 162.3054
109.863290 69.927 162.2986
110.229501 69.915 162.2931
110.595712 69.903 162.2883
110.961923 69.891 162.2834
111.328134 69.879 162.2784
111.694345 69.867 162.2737
112.060556 69.855 162.2696
112.426767 69.843 162.2664
112.792978 69.831 162.2640
113.159189 69.819 162.2621
113.525400 69.807 162.2606
113.891611 69.795 162.2596
114.257822 69.782 162.2599
114.624033 69.770 162.2623
114.990244 69.758 162.2666
115.356455 69.746 162.2718
115.722666 69.735 162.2761
116.088877 69.723 162.2778
116.455088 69.712 162.2770
116.821299 69.700 162.2749
117.187510 69.688 162.2738
117.553720 69.676 162.2755
117.919931 69.664 162.2802
118.286142 69.652 162.2864
118.652353 69.641 162.2920
119.018564 69.630 162.2952
119.384775 69.620 162.2957
119.750986 69.609 162.2944
120.117197 69.598 162.2929
120.483408 69.587 162.2927
120.849619 69.576 162.2945
121.215830 69.565 162.2982
121.582041 69.555 162.3030
121.948252 69.545 162.3080
122.314463 69.535 162.3122
122.680674 69.525 162.3151
123.046885 69.515 162.3168
123.413096 69.505 162.3176
123.779307 69.495 162.3188
124.145518 69.484 162.3213
124.511729 69.474 162.3257
124.877940 69.464 162.3321
125.244151 69.454 162.3399
125.610362 69.444 162.3484
125.976573 69.435 162.3572
126.342784 69.425 162.3662
126.708995 69.416 162.3760
127.075206 69.407 162.3867
127.441417 69.398 162.3982
127.807628 69.389 162.4102
128.173839 69.380 162.4221
128.540049 69.371 162.4336
128.906260 69.363 162.4446
129.272471 69.354 162.4551
129.638682 69.346 162.4649
130.004893 69.337 162.4736
130.371104 69.329 162.4810
130.737315 69.320 162.4874
131.103526 69.312 162.4935
131.469737 69.303 162.5004
131.835948 69.293 162.5092
132.202159 69.284 162.5205
132.568370 69.276 162.5342
132.934581 69.267 162.5494
133.300792 69.259 162.5648
133.667003 69.252 162.5792
134.033214 69.245 162.5917
134.399425 69.237 162.6021
134.765636 69.230 162.6106
135.131847 69.223 162.6179
135.498058 69.215 162.6249
135.864269 69.207 162.6324
136.230480 69.199 162.6411
136.596691 69.191 162.6515
136.962902 69.183 162.6635
137.329113 69.176 162.6768
137.695324 69.168 162.6907
138.061535 69.161 162.7043
138.427746 69.154 162.7170
138.793957 69.147 162.7283
139.160168 69.140 162.7382
139.526379 69.133 162.7473
139.892589 69.125 162.7567
140.258800 69.118 162.7672
140.625011 69.110 162.7794
140.991222 69.102 162.7937
141.357433 69.095 162.8096
141.723644 69.087 162.8265
142.089855 69.080 162.8438
142.456066 69.074 162.8611
142.822277 69.067 162.8778
143.188488 69.060 162.8939
143.554699 69.054 162.9091
143.920910 69.047 162.9233
144.287121 69.041 162.9365
144.653332 69.034 162.9488
145.019543 69.027 162.9603
145.385754 69.020 162.9716
145.751965 69.013 162.9832
146.118176 69.005 162.9954
146.484387 68.998 163.0089
146.850598 68.990 163.0235
147.216809 68.983 163.0392
147.583020 68.975 163.0557
147.949231 68.968 163.0728
148.315442 68.960 163.0902
148.681653 68.953 163.1083
149.047864 68.946 163.1271
149.414075 68.939 163.1466
149.780286 68.933 163.1666
150.146497 68.926 163.1866
