* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 4, 2023 8:29:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Stargazer Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 65.568 -29.6472
0.732422 64.059 -57.6525
1.098633 60.914 -80.6799
1.464844 54.678 -81.8180
1.831055 55.494 -21.4410
2.197266 62.281 -21.3644
2.563477 65.962 -37.5743
2.929688 67.955 -54.7310
3.295899 68.891 -69.3688
3.662110 69.189 -79.5685
4.028321 69.357 -84.5012
4.394532 69.913 -85.9650
4.760743 70.929 -87.7758
5.126954 72.023 -91.8516
5.493164 72.871 -97.4040
5.859375 73.397 -102.8553
6.225586 73.710 -107.0641
6.591797 73.988 -109.8336
6.958008 74.357 -111.9022
7.324219 74.800 -114.2133
7.690430 75.215 -117.1108
8.056641 75.527 -120.2870
8.422852 75.734 -123.2503
8.789063 75.891 -125.7501
9.155274 76.053 -127.9064
9.521485 76.236 -130.0206
9.887696 76.414 -132.2788
10.253907 76.489 -134.6373
10.620118 76.499 -136.9399
10.986329 76.492 -139.0896
11.352540 76.487 -141.1144
11.718751 76.487 -143.0991
12.084962 76.483 -145.0820
12.451173 76.472 -147.0274
12.817384 76.500 -148.8825
13.183595 76.535 -150.6406
13.549806 76.573 -152.3439
13.916017 76.607 -154.0314
14.282228 76.632 -155.6955
14.648439 76.645 -157.2943
15.014650 76.651 -158.8005
15.380861 76.657 -160.2317
15.747072 76.664 -161.6335
16.113283 76.673 -163.0358
16.479493 76.682 -164.4292
16.845704 76.682 -165.7834
17.211915 76.677 -167.0823
17.578126 76.672 -168.3401
17.944337 76.666 -169.5847
18.310548 76.659 -170.8302
18.676759 76.647 -172.0675
19.042970 76.632 -173.2795
19.409181 76.616 -174.4601
19.775392 76.600 -175.6186
20.141603 76.586 -176.7657
20.507814 76.572 -177.9007
20.874025 76.557 -179.0132
21.240236 76.540 179.9047
21.606447 76.524 178.8503
21.972658 76.509 177.8157
22.338869 76.492 176.7981
22.705080 76.473 175.8029
23.071291 76.452 174.8367
23.437502 76.431 173.8980
23.803713 76.410 172.9774
24.169924 76.387 172.0663
24.536135 76.363 171.1648
24.902346 76.335 170.2798
25.268557 76.306 169.4166
25.634768 76.277 168.5724
26.000979 76.247 167.7388
26.367190 76.217 166.9107
26.733401 76.185 166.0897
27.099612 76.152 165.2812
27.465823 76.119 164.4871
27.832033 76.087 163.7037
28.198244 76.055 162.9257
28.564455 76.023 162.1517
28.930666 75.991 161.3857
29.296877 75.958 160.6323
29.663088 75.925 159.8932
30.029299 75.892 159.1669
30.395510 75.860 158.4515
30.761721 75.827 157.7472
31.127932 75.794 157.0553
31.494143 75.761 156.3757
31.860354 75.727 155.7065
32.226565 75.693 155.0469
32.592776 75.658 154.3983
32.958987 75.622 153.7629
33.325198 75.586 153.1406
33.691409 75.551 152.5274
34.057620 75.515 151.9179
34.423831 75.479 151.3102
34.790042 75.442 150.7068
35.156253 75.405 150.1123
35.522464 75.367 149.5283
35.888675 75.329 148.9520
36.254886 75.292 148.3795
36.621097 75.255 147.8090
36.987308 75.218 147.2426
37.353519 75.180 146.6836
37.719730 75.143 146.1334
38.085941 75.105 145.5910
38.452152 75.068 145.0547
38.818363 75.031 144.5245
39.184573 74.994 144.0012
39.550784 74.957 143.4857
39.916995 74.920 142.9772
40.283206 74.884 142.4745
40.649417 74.849 141.9777
41.015628 74.813 141.4877
41.381839 74.777 141.0053
41.748050 74.741 140.5298
42.114261 74.706 140.0587
42.480472 74.671 139.5902
42.846683 74.636 139.1242
43.212894 74.600 138.6620
43.579105 74.564 138.2049
43.945316 74.528 137.7528
44.311527 74.493 137.3053
44.677738 74.457 136.8620
45.043949 74.421 136.4234
45.410160 74.385 135.9902
45.776371 74.350 135.5620
46.142582 74.314 135.1376
46.508793 74.279 134.7166
46.875004 74.243 134.2995
47.241215 74.208 133.8879
47.607426 74.172 133.4827
47.973637 74.137 133.0833
48.339848 74.102 132.6881
48.706059 74.067 132.2954
49.072270 74.033 131.9044
49.438481 73.999 131.5148
49.804692 73.965 131.1270
50.170902 73.931 130.7412
50.537113 73.897 130.3584
50.903324 73.862 129.9800
51.269535 73.828 129.6082
51.635746 73.793 129.2436
52.001957 73.759 128.8853
52.368168 73.727 128.5300
52.734379 73.694 128.1745
53.100590 73.662 127.8171
53.466801 73.630 127.4587
53.833012 73.597 127.1032
54.199223 73.563 126.7544
54.565434 73.529 126.4143
54.931645 73.496 126.0816
55.297856 73.464 125.7521
55.664067 73.433 125.4213
56.030278 73.401 125.0881
56.396489 73.368 124.7555
56.762700 73.335 124.4286
57.128911 73.302 124.1112
57.495122 73.269 123.8022
57.861333 73.238 123.4961
58.227544 73.208 123.1864
58.593755 73.178 122.8702
58.959966 73.147 122.5493
59.326177 73.115 122.2290
59.692388 73.083 121.9138
60.058599 73.051 121.6053
60.424810 73.019 121.3021
60.791021 72.987 121.0020
61.157232 72.955 120.7039
61.523442 72.924 120.4081
61.889653 72.892 120.1155
62.255864 72.861 119.8264
62.622075 72.830 119.5399
62.988286 72.799 119.2552
63.354497 72.768 118.9721
63.720708 72.737 118.6907
64.086919 72.706 118.4115
64.453130 72.675 118.1344
64.819341 72.644 117.8592
65.185552 72.613 117.5855
65.551763 72.583 117.3133
65.917974 72.552 117.0427
66.284185 72.522 116.7736
66.650396 72.491 116.5059
67.016607 72.461 116.2392
67.382818 72.431 115.9731
67.749029 72.402 115.7076
68.115240 72.371 115.4435
68.481451 72.341 115.1819
68.847662 72.311 114.9239
69.213873 72.281 114.6703
69.580084 72.251 114.4204
69.946295 72.222 114.1729
70.312506 72.193 113.9256
70.678717 72.165 113.6775
71.044928 72.137 113.4286
71.411139 72.108 113.1804
71.777350 72.079 112.9347
72.143561 72.050 112.6928
72.509771 72.021 112.4548
72.875982 71.993 112.2198
73.242193 71.965 111.9860
73.608404 71.937 111.7521
73.974615 71.910 111.5179
74.340826 71.882 111.2844
74.707037 71.854 111.0526
75.073248 71.827 110.8233
75.439459 71.799 110.5962
75.805670 71.772 110.3701
76.171881 71.745 110.1442
76.538092 71.719 109.9182
76.904303 71.692 109.6934
77.270514 71.664 109.4709
77.636725 71.637 109.2515
78.002936 71.610 109.0349
78.369147 71.584 108.8196
78.735358 71.557 108.6046
79.101569 71.531 108.3892
79.467780 71.505 108.1736
79.833991 71.478 107.9587
80.200202 71.452 107.7450
80.566413 71.426 107.5333
80.932624 71.399 107.3236
81.298835 71.373 107.1161
81.665046 71.346 106.9106
82.031257 71.321 106.7068
82.397468 71.295 106.5046
82.763679 71.270 106.3036
83.129890 71.245 106.1036
83.496101 71.220 105.9037
83.862311 71.196 105.7030
84.228522 71.172 105.5005
84.594733 71.148 105.2964
84.960944 71.124 105.0917
85.327155 71.099 104.8887
85.693366 71.075 104.6889
86.059577 71.050 104.4928
86.425788 71.026 104.2991
86.791999 71.002 104.1061
87.158210 70.979 103.9126
87.524421 70.955 103.7187
87.890632 70.931 103.5260
88.256843 70.906 103.3364
88.623054 70.882 103.1510
88.989265 70.858 102.9693
89.355476 70.834 102.7900
89.721687 70.811 102.6112
90.087898 70.788 102.4315
90.454109 70.765 102.2503
90.820320 70.743 102.0677
91.186531 70.720 101.8843
91.552742 70.697 101.7013
91.918953 70.673 101.5197
92.285164 70.650 101.3402
92.651375 70.627 101.1630
93.017586 70.604 100.9876
93.383797 70.582 100.8136
93.750008 70.559 100.6401
94.116219 70.537 100.4669
94.482430 70.516 100.2942
94.848641 70.494 100.1219
95.214851 70.473 99.9498
95.581062 70.451 99.7775
95.947273 70.430 99.6050
96.313484 70.409 99.4323
96.679695 70.388 99.2599
97.045906 70.367 99.0883
97.412117 70.346 98.9178
97.778328 70.324 98.7480
98.144539 70.303 98.5788
98.510750 70.282 98.4105
98.876961 70.260 98.2438
99.243172 70.239 98.0801
99.609383 70.217 97.9200
99.975594 70.196 97.7634
100.341805 70.175 97.6092
100.708016 70.155 97.4554
101.074227 70.135 97.3005
101.440438 70.115 97.1435
101.806649 70.096 96.9842
102.172860 70.076 96.8235
102.539071 70.056 96.6626
102.905282 70.036 96.5029
103.271493 70.015 96.3454
103.637704 69.995 96.1904
104.003915 69.975 96.0375
104.370126 69.955 95.8855
104.736337 69.936 95.7333
105.102548 69.917 95.5800
105.468759 69.898 95.4254
105.834970 69.878 95.2698
106.201180 69.859 95.1142
106.567391 69.839 94.9594
106.933602 69.820 94.8064
107.299813 69.800 94.6557
107.666024 69.780 94.5077
108.032235 69.761 94.3622
108.398446 69.742 94.2187
108.764657 69.723 94.0764
109.130868 69.705 93.9339
109.497079 69.687 93.7903
109.863290 69.668 93.6450
110.229501 69.650 93.4985
110.595712 69.632 93.3522
110.961923 69.613 93.2077
111.328134 69.594 93.0666
111.694345 69.575 92.9290
112.060556 69.556 92.7939
112.426767 69.539 92.6592
112.792978 69.521 92.5232
113.159189 69.504 92.3847
113.525400 69.486 92.2441
113.891611 69.469 92.1027
114.257822 69.451 91.9618
114.624033 69.433 91.8222
114.990244 69.415 91.6841
115.356455 69.397 91.5468
115.722666 69.380 91.4099
116.088877 69.363 91.2730
116.455088 69.345 91.1366
116.821299 69.328 91.0012
117.187510 69.311 90.8674
117.553720 69.294 90.7352
117.919931 69.277 90.6041
118.286142 69.261 90.4729
118.652353 69.245 90.3407
119.018564 69.229 90.2071
119.384775 69.213 90.0724
119.750986 69.197 89.9378
120.117197 69.180 89.8044
120.483408 69.164 89.6729
120.849619 69.147 89.5434
121.215830 69.131 89.4152
121.582041 69.115 89.2873
121.948252 69.099 89.1591
122.314463 69.083 89.0306
122.680674 69.067 88.9018
123.046885 69.050 88.7733
123.413096 69.034 88.6454
123.779307 69.018 88.5189
124.145518 69.001 88.3941
124.511729 68.985 88.2714
124.877940 68.969 88.1508
125.244151 68.954 88.0318
125.610362 68.939 87.9136
125.976573 68.925 87.7952
126.342784 68.911 87.6760
126.708995 68.898 87.5557
127.075206 68.885 87.4345
127.441417 68.871 87.3131
127.807628 68.858 87.1916
128.173839 68.845 87.0700
128.540049 68.832 86.9482
128.906260 68.819 86.8260
129.272471 68.806 86.7037
129.638682 68.793 86.5815
130.004893 68.780 86.4597
130.371104 68.767 86.3388
130.737315 68.754 86.2187
131.103526 68.740 86.0993
131.469737 68.727 85.9805
131.835948 68.714 85.8625
132.202159 68.700 85.7455
132.568370 68.687 85.6298
132.934581 68.673 85.5155
133.300792 68.660 85.4023
133.667003 68.647 85.2900
134.033214 68.634 85.1781
134.399425 68.621 85.0663
134.765636 68.608 84.9544
135.131847 68.595 84.8423
135.498058 68.582 84.7303
135.864269 68.570 84.6183
136.230480 68.557 84.5067
136.596691 68.544 84.3957
136.962902 68.532 84.2854
137.329113 68.519 84.1757
137.695324 68.507 84.0664
138.061535 68.494 83.9572
138.427746 68.482 83.8478
138.793957 68.470 83.7386
139.160168 68.457 83.6296
139.526379 68.445 83.5214
139.892589 68.433 83.4140
140.258800 68.420 83.3073
140.625011 68.408 83.2012
140.991222 68.396 83.0952
141.357433 68.385 82.9893
141.723644 68.373 82.8834
142.089855 68.361 82.7776
142.456066 68.349 82.6721
142.822277 68.338 82.5665
143.188488 68.326 82.4606
143.554699 68.315 82.3542
143.920910 68.303 82.2474
144.287121 68.292 82.1407
144.653332 68.280 82.0349
145.019543 68.268 81.9304
145.385754 68.257 81.8275
145.751965 68.245 81.7259
146.118176 68.234 81.6254
146.484387 68.223 81.5252
146.850598 68.213 81.4251
147.216809 68.202 81.3248
147.583020 68.192 81.2241
147.949231 68.181 81.1230
148.315442 68.171 81.0214
148.681653 68.160 80.9197
149.047864 68.149 80.8183
149.414075 68.138 80.7178
149.780286 68.127 80.6186
150.146497 68.116 80.5209
150.512708 68.105 80.4246
150.878918 68.094 80.3293
151.245129 68.084 80.2348
