* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 13, 2023 6:37:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Supernova Stock L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.261 -75.2548
0.732422 63.794 -97.3795
1.098633 65.939 -108.6918
1.464844 67.018 -113.3034
1.831055 67.961 -112.7438
2.197266 69.302 -111.1134
2.563477 70.845 -112.3473
2.929688 72.146 -116.8081
3.295899 72.988 -122.8611
3.662110 73.378 -128.7487
4.028321 73.465 -133.2137
4.394532 73.472 -135.8652
4.760743 73.591 -137.4078
5.126954 73.853 -139.0824
5.493164 74.145 -141.5707
5.859375 74.348 -144.6312
6.225586 74.430 -147.5840
6.591797 74.450 -149.9146
6.958008 74.493 -151.6100
7.324219 74.604 -153.0743
7.690430 74.757 -154.7072
8.056641 74.896 -156.5701
8.422852 74.990 -158.4344
8.789063 75.046 -160.0496
9.155274 75.096 -161.3527
9.521485 75.161 -162.4736
9.887696 75.233 -163.5749
10.253907 75.224 -164.7071
10.620118 75.164 -165.8073
10.986329 75.090 -166.8042
11.352540 75.013 -167.7000
11.718751 74.940 -168.5610
12.084962 74.866 -169.4446
12.451173 74.787 -170.3505
12.817384 74.746 -171.2400
13.183595 74.710 -172.0893
13.549806 74.676 -172.9148
13.916017 74.645 -173.7508
14.282228 74.614 -174.6108
14.648439 74.582 -175.4770
15.014650 74.549 -176.3239
15.380861 74.520 -177.1461
15.747072 74.497 -177.9581
16.113283 74.481 -178.7712
16.479493 74.475 -179.5761
16.845704 74.468 179.6496
17.211915 74.463 178.9192
17.578126 74.460 178.2242
17.944337 74.459 177.5453
18.310548 74.457 176.8737
18.676759 74.450 176.2189
19.042970 74.440 175.5975
19.409181 74.427 175.0151
19.775392 74.414 174.4603
20.141603 74.402 173.9142
20.507814 74.391 173.3647
20.874025 74.377 172.8111
21.240236 74.360 172.2576
21.606447 74.341 171.7065
21.972658 74.321 171.1565
22.338869 74.300 170.6063
22.705080 74.278 170.0567
23.071291 74.258 169.5082
23.437502 74.238 168.9588
23.803713 74.220 168.4057
24.169924 74.202 167.8503
24.536135 74.185 167.3001
24.902346 74.168 166.7634
25.268557 74.153 166.2426
25.634768 74.140 165.7319
26.000979 74.129 165.2238
26.367190 74.118 164.7168
26.733401 74.106 164.2176
27.099612 74.092 163.7350
27.465823 74.077 163.2723
27.832033 74.062 162.8244
28.198244 74.048 162.3831
28.564455 74.032 161.9434
28.930666 74.015 161.5055
29.296877 73.996 161.0719
29.663088 73.976 160.6439
30.029299 73.956 160.2197
30.395510 73.934 159.7975
30.761721 73.913 159.3765
31.127932 73.891 158.9569
31.494143 73.869 158.5376
31.860354 73.848 158.1170
32.226565 73.827 157.6947
32.592776 73.807 157.2717
32.958987 73.787 156.8501
33.325198 73.768 156.4306
33.691409 73.749 156.0125
34.057620 73.730 155.5963
34.423831 73.711 155.1851
34.790042 73.692 154.7831
35.156253 73.673 154.3915
35.522464 73.655 154.0064
35.888675 73.638 153.6219
36.254886 73.620 153.2364
36.621097 73.600 152.8556
36.987308 73.579 152.4875
37.353519 73.558 152.1345
37.719730 73.539 151.7881
38.085941 73.521 151.4354
38.452152 73.503 151.0698
38.818363 73.482 150.6985
39.184573 73.459 150.3372
39.550784 73.435 149.9960
39.916995 73.415 149.6692
40.283206 73.398 149.3376
40.649417 73.384 148.9842
41.015628 73.367 148.6100
41.381839 73.347 148.2348
41.748050 73.325 147.8820
42.114261 73.304 147.5582
42.480472 73.288 147.2444
42.846683 73.277 146.9095
43.212894 73.266 146.5349
43.579105 73.249 146.1323
43.945316 73.223 145.7401
44.311527 73.193 145.3985
44.677738 73.164 145.1213
45.043949 73.143 144.8848
45.410160 73.132 144.6421
45.776371 73.126 144.3528
46.142582 73.120 144.0063
46.508793 73.108 143.6249
46.875004 73.089 143.2449
47.241215 73.065 142.8934
47.607426 73.041 142.5750
47.973637 73.020 142.2755
48.339848 73.001 141.9765
48.706059 72.983 141.6690
49.072270 72.964 141.3561
49.438481 72.945 141.0466
49.804692 72.925 140.7462
50.170902 72.907 140.4533
50.537113 72.889 140.1625
50.903324 72.873 139.8689
51.269535 72.856 139.5716
51.635746 72.839 139.2733
52.001957 72.822 138.9767
52.368168 72.804 138.6831
52.734379 72.787 138.3917
53.100590 72.769 138.1016
53.466801 72.751 137.8125
53.833012 72.733 137.5250
54.199223 72.715 137.2397
54.565434 72.697 136.9562
54.931645 72.679 136.6741
55.297856 72.661 136.3927
55.664067 72.643 136.1127
56.030278 72.625 135.8350
56.396489 72.608 135.5598
56.762700 72.591 135.2858
57.128911 72.575 135.0102
57.495122 72.558 134.7311
57.861333 72.542 134.4484
58.227544 72.525 134.1647
58.593755 72.507 133.8835
58.959966 72.489 133.6076
59.326177 72.471 133.3370
59.692388 72.454 133.0696
60.058599 72.436 132.8026
60.424810 72.420 132.5345
60.791021 72.402 132.2659
61.157232 72.385 131.9984
61.523442 72.367 131.7337
61.889653 72.350 131.4728
62.255864 72.332 131.2153
62.622075 72.315 130.9595
62.988286 72.298 130.7036
63.354497 72.282 130.4460
63.720708 72.264 130.1874
64.086919 72.247 129.9302
64.453130 72.229 129.6773
64.819341 72.211 129.4295
65.185552 72.194 129.1842
65.551763 72.178 128.9366
65.917974 72.162 128.6835
66.284185 72.146 128.4265
66.650396 72.128 128.1722
67.016607 72.109 127.9281
67.382818 72.090 127.6965
67.749029 72.074 127.4717
68.115240 72.059 127.2421
68.481451 72.046 126.9980
68.847662 72.031 126.7379
69.213873 72.014 126.4709
69.580084 71.994 126.2117
69.946295 71.972 125.9722
70.312506 71.951 125.7545
70.678717 71.933 125.5497
71.044928 71.917 125.3428
71.411139 71.904 125.1208
71.777350 71.891 124.8793
72.143561 71.876 124.6241
72.509771 71.858 124.3672
72.875982 71.838 124.1207
73.242193 71.817 123.8911
73.608404 71.798 123.6772
73.974615 71.780 123.4709
74.340826 71.766 123.2606
74.707037 71.752 123.0356
75.073248 71.739 122.7912
75.439459 71.724 122.5311
75.805670 71.705 122.2679
76.171881 71.683 122.0184
76.538092 71.660 121.7949
76.904303 71.639 121.5977
77.270514 71.621 121.4136
77.636725 71.608 121.2220
78.002936 71.598 121.0068
78.369147 71.586 120.7666
78.735358 71.571 120.5150
79.101569 71.553 120.2717
79.467780 71.534 120.0498
79.833991 71.516 119.8483
80.200202 71.501 119.6542
80.566413 71.489 119.4525
80.932624 71.477 119.2355
81.298835 71.465 119.0067
81.665046 71.449 118.7763
82.031257 71.432 118.5554
82.397468 71.414 118.3499
82.763679 71.397 118.1600
83.129890 71.382 117.9801
83.496101 71.369 117.8013
83.862311 71.358 117.6129
84.228522 71.349 117.4057
84.594733 71.339 117.1764
84.960944 71.326 116.9299
85.327155 71.310 116.6781
85.693366 71.290 116.4348
86.059577 71.268 116.2090
86.425788 71.247 116.0020
86.791999 71.226 115.8085
87.158210 71.207 115.6213
87.524421 71.190 115.4349
87.890632 71.174 115.2463
88.256843 71.159 115.0534
88.623054 71.144 114.8544
88.989265 71.130 114.6492
89.355476 71.115 114.4410
89.721687 71.098 114.2363
90.087898 71.081 114.0410
90.454109 71.065 113.8571
90.820320 71.050 113.6806
91.186531 71.038 113.5045
91.552742 71.026 113.3230
91.918953 71.015 113.1348
92.285164 71.003 112.9424
92.651375 70.991 112.7486
93.017586 70.979 112.5541
93.383797 70.967 112.3576
93.750008 70.954 112.1585
94.116219 70.940 111.9587
94.482430 70.925 111.7626
94.848641 70.910 111.5737
95.214851 70.894 111.3923
95.581062 70.880 111.2147
95.947273 70.866 111.0364
96.313484 70.852 110.8548
96.679695 70.838 110.6711
97.045906 70.824 110.4887
97.412117 70.809 110.3099
97.778328 70.795 110.1339
98.144539 70.781 109.9574
98.510750 70.768 109.7780
98.876961 70.754 109.5953
99.243172 70.740 109.4126
99.609383 70.725 109.2335
99.975594 70.711 109.0596
100.341805 70.697 108.8892
100.708016 70.683 108.7182
101.074227 70.671 108.5436
101.440438 70.658 108.3649
101.806649 70.645 108.1844
102.172860 70.631 108.0049
102.539071 70.618 107.8272
102.905282 70.604 107.6498
103.271493 70.591 107.4709
103.637704 70.577 107.2905
104.003915 70.563 107.1110
104.370126 70.549 106.9359
104.736337 70.535 106.7669
105.102548 70.521 106.6021
105.468759 70.509 106.4372
105.834970 70.498 106.2679
106.201180 70.486 106.0928
106.567391 70.474 105.9144
106.933602 70.461 105.7372
107.299813 70.447 105.5648
107.666024 70.434 105.3979
108.032235 70.421 105.2342
108.398446 70.409 105.0700
108.764657 70.398 104.9026
109.130868 70.386 104.7316
109.497079 70.373 104.5591
109.863290 70.360 104.3881
110.229501 70.347 104.2218
110.595712 70.333 104.0612
110.961923 70.321 103.9050
111.328134 70.309 103.7497
111.694345 70.297 103.5915
112.060556 70.286 103.4282
112.426767 70.275 103.2603
112.792978 70.263 103.0906
113.159189 70.251 102.9227
113.525400 70.238 102.7591
113.891611 70.225 102.5997
114.257822 70.213 102.4427
114.624033 70.201 102.2857
114.990244 70.189 102.1273
115.356455 70.177 101.9679
115.722666 70.165 101.8089
116.088877 70.153 101.6518
116.455088 70.141 101.4971
116.821299 70.129 101.3442
117.187510 70.118 101.1918
117.553720 70.107 101.0384
117.919931 70.096 100.8830
118.286142 70.085 100.7251
118.652353 70.073 100.5650
119.018564 70.062 100.4039
119.384775 70.049 100.2439
119.750986 70.036 100.0869
120.117197 70.023 99.9344
120.483408 70.010 99.7865
120.849619 69.997 99.6417
121.215830 69.986 99.4977
121.582041 69.974 99.3525
121.948252 69.963 99.2050
122.314463 69.952 99.0554
122.680674 69.941 98.9052
123.046885 69.929 98.7560
123.413096 69.918 98.6087
123.779307 69.906 98.4637
124.145518 69.895 98.3203
124.511729 69.885 98.1778
124.877940 69.875 98.0354
125.244151 69.865 97.8924
125.610362 69.856 97.7485
125.976573 69.847 97.6035
126.342784 69.839 97.4575
126.708995 69.830 97.3104
127.075206 69.821 97.1626
127.441417 69.812 97.0144
127.807628 69.803 96.8666
128.173839 69.793 96.7197
128.540049 69.783 96.5745
128.906260 69.773 96.4313
129.272471 69.763 96.2909
129.638682 69.752 96.1533
130.004893 69.743 96.0182
130.371104 69.733 95.8844
130.737315 69.724 95.7504
131.103526 69.715 95.6148
131.469737 69.706 95.4770
131.835948 69.698 95.3372
132.202159 69.688 95.1967
132.568370 69.679 95.0572
132.934581 69.670 94.9194
133.300792 69.660 94.7838
133.667003 69.651 94.6494
134.033214 69.642 94.5155
134.399425 69.634 94.3813
134.765636 69.625 94.2462
135.131847 69.617 94.1101
135.498058 69.608 93.9732
135.864269 69.600 93.8359
136.230480 69.591 93.6990
136.596691 69.582 93.5634
136.962902 69.573 93.4299
137.329113 69.564 93.2990
137.695324 69.555 93.1702
138.061535 69.547 93.0421
138.427746 69.539 92.9135
138.793957 69.532 92.7829
139.160168 69.524 92.6499
139.526379 69.516 92.5148
139.892589 69.509 92.3781
140.258800 69.500 92.2410
140.625011 69.492 92.1043
140.991222 69.483 91.9692
141.357433 69.474 91.8364
141.723644 69.465 91.7062
142.089855 69.456 91.5783
142.456066 69.448 91.4520
142.822277 69.440 91.3264
143.188488 69.432 91.2005
143.554699 69.424 91.0740
143.920910 69.417 90.9467
144.287121 69.410 90.8188
144.653332 69.402 90.6900
145.019543 69.395 90.5604
145.385754 69.387 90.4297
145.751965 69.380 90.2984
146.118176 69.372 90.1675
146.484387 69.363 90.0381
146.850598 69.355 89.9114
147.216809 69.346 89.7881
147.583020 69.337 89.6676
147.949231 69.329 89.5493
148.315442 69.321 89.4317
148.681653 69.314 89.3139
149.047864 69.306 89.1953
149.414075 69.299 89.0759
149.780286 69.292 88.9557
150.146497 69.285 88.8348
150.512708 69.277 88.7133
150.878918 69.270 88.5915
151.245129 69.263 88.4695
151.611340 69.255 88.3477
