* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 13, 2023 6:50:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Supernova Stock R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.653 -36.1537
0.732422 67.183 -66.5665
1.098633 67.403 -89.1093
1.464844 67.203 -102.9536
1.831055 67.065 -107.7331
2.197266 67.769 -107.2750
2.563477 69.245 -108.8200
2.929688 70.710 -114.6453
3.295899 71.703 -122.7221
3.662110 72.158 -130.6012
4.028321 72.220 -136.4643
4.394532 72.173 -139.5281
4.760743 72.305 -140.6195
5.126954 72.685 -141.6712
5.493164 73.133 -143.8866
5.859375 73.453 -146.9829
6.225586 73.586 -149.9733
6.591797 73.605 -152.0804
6.958008 73.641 -153.2488
7.324219 73.766 -154.0888
7.690430 73.949 -155.2463
8.056641 74.108 -156.8520
8.422852 74.193 -158.5780
8.789063 74.221 -160.0459
9.155274 74.239 -161.1480
9.521485 74.285 -162.0709
9.887696 74.351 -163.0606
10.253907 74.340 -164.1932
10.620118 74.275 -165.3643
10.986329 74.195 -166.4432
11.352540 74.116 -167.4011
11.718751 74.048 -168.3060
12.084962 73.986 -169.2245
12.451173 73.923 -170.1529
12.817384 73.903 -171.0434
13.183595 73.893 -171.8730
13.549806 73.887 -172.6715
13.916017 73.883 -173.4822
14.282228 73.875 -174.3092
14.648439 73.858 -175.1121
15.014650 73.836 -175.8519
15.380861 73.816 -176.5325
15.747072 73.802 -177.1962
16.113283 73.795 -177.8794
16.479493 73.793 -178.5797
16.845704 73.786 -179.2657
17.211915 73.776 -179.9144
17.578126 73.767 179.4653
17.944337 73.761 178.8462
18.310548 73.756 178.2124
18.676759 73.747 177.5737
19.042970 73.735 176.9513
19.409181 73.722 176.3542
19.775392 73.712 175.7728
20.141603 73.705 175.1922
20.507814 73.699 174.6087
20.874025 73.692 174.0312
21.240236 73.684 173.4683
21.606447 73.677 172.9185
21.972658 73.671 172.3734
22.338869 73.664 171.8295
22.705080 73.655 171.2929
23.071291 73.645 170.7724
23.437502 73.636 170.2687
23.803713 73.627 169.7739
24.169924 73.618 169.2791
24.536135 73.608 168.7836
24.902346 73.597 168.2939
25.268557 73.585 167.8151
25.634768 73.574 167.3447
26.000979 73.562 166.8756
26.367190 73.551 166.4045
26.733401 73.538 165.9352
27.099612 73.524 165.4744
27.465823 73.510 165.0241
27.832033 73.497 164.5792
28.198244 73.485 164.1328
28.564455 73.473 163.6826
28.930666 73.459 163.2328
29.296877 73.446 162.7887
29.663088 73.431 162.3522
30.029299 73.417 161.9215
30.395510 73.403 161.4949
30.761721 73.389 161.0734
31.127932 73.374 160.6591
31.494143 73.360 160.2516
31.860354 73.347 159.8478
32.226565 73.333 159.4437
32.592776 73.319 159.0381
32.958987 73.305 158.6330
33.325198 73.290 158.2312
33.691409 73.275 157.8338
34.057620 73.259 157.4406
34.423831 73.243 157.0515
34.790042 73.227 156.6673
35.156253 73.211 156.2878
35.522464 73.196 155.9108
35.888675 73.181 155.5329
36.254886 73.166 155.1523
36.621097 73.151 154.7716
36.987308 73.134 154.3952
37.353519 73.118 154.0261
37.719730 73.102 153.6630
38.085941 73.087 153.3016
38.452152 73.072 152.9383
38.818363 73.056 152.5733
39.184573 73.041 152.2098
39.550784 73.024 151.8508
39.916995 73.008 151.4969
40.283206 72.993 151.1462
40.649417 72.978 150.7966
41.015628 72.964 150.4473
41.381839 72.949 150.0990
41.748050 72.934 149.7524
42.114261 72.919 149.4083
42.480472 72.904 149.0666
42.846683 72.889 148.7271
43.212894 72.874 148.3895
43.579105 72.859 148.0537
43.945316 72.844 147.7195
44.311527 72.828 147.3872
44.677738 72.813 147.0576
45.043949 72.798 146.7310
45.410160 72.783 146.4063
45.776371 72.769 146.0822
46.142582 72.754 145.7571
46.508793 72.739 145.4315
46.875004 72.724 145.1068
47.241215 72.708 144.7849
47.607426 72.692 144.4667
47.973637 72.676 144.1520
48.339848 72.659 143.8405
48.706059 72.643 143.5316
49.072270 72.627 143.2245
49.438481 72.612 142.9184
49.804692 72.596 142.6117
50.170902 72.581 142.3040
50.537113 72.566 141.9959
50.903324 72.550 141.6895
51.269535 72.534 141.3858
51.635746 72.519 141.0844
52.001957 72.504 140.7836
52.368168 72.489 140.4826
52.734379 72.474 140.1819
53.100590 72.458 139.8831
53.466801 72.443 139.5870
53.833012 72.428 139.2927
54.199223 72.413 138.9988
54.565434 72.398 138.7049
54.931645 72.383 138.4125
55.297856 72.367 138.1235
55.664067 72.352 137.8383
56.030278 72.337 137.5551
56.396489 72.322 137.2714
56.762700 72.307 136.9872
57.128911 72.291 136.7053
57.495122 72.275 136.4293
57.861333 72.259 136.1608
58.227544 72.244 135.8963
58.593755 72.230 135.6292
58.959966 72.218 135.3541
59.326177 72.204 135.0698
59.692388 72.189 134.7809
60.058599 72.173 134.4950
60.424810 72.156 134.2176
60.791021 72.139 133.9497
61.157232 72.122 133.6881
61.523442 72.107 133.4277
61.889653 72.092 133.1650
62.255864 72.078 132.8996
62.622075 72.063 132.6328
62.988286 72.048 132.3663
63.354497 72.033 132.1000
63.720708 72.017 131.8332
64.086919 72.002 131.5653
64.453130 71.985 131.2972
64.819341 71.969 131.0309
65.185552 71.952 130.7683
65.551763 71.935 130.5096
65.917974 71.919 130.2535
66.284185 71.903 129.9988
66.650396 71.886 129.7451
67.016607 71.870 129.4934
67.382818 71.853 129.2454
67.749029 71.837 129.0015
68.115240 71.822 128.7603
68.481451 71.807 128.5186
68.847662 71.793 128.2738
69.213873 71.779 128.0247
69.580084 71.764 127.7727
69.946295 71.749 127.5206
70.312506 71.733 127.2711
70.678717 71.717 127.0256
71.044928 71.701 126.7829
71.411139 71.685 126.5408
71.777350 71.670 126.2978
72.143561 71.654 126.0541
72.509771 71.638 125.8115
72.875982 71.621 125.5722
73.242193 71.605 125.3367
73.608404 71.589 125.1034
73.974615 71.574 124.8694
74.340826 71.559 124.6328
74.707037 71.544 124.3941
75.073248 71.529 124.1552
75.439459 71.513 123.9187
75.805670 71.497 123.6852
76.171881 71.482 123.4542
76.538092 71.466 123.2246
76.904303 71.451 122.9958
77.270514 71.436 122.7686
77.636725 71.420 122.5438
78.002936 71.405 122.3214
78.369147 71.391 122.1000
78.735358 71.376 121.8781
79.101569 71.361 121.6548
79.467780 71.347 121.4308
79.833991 71.332 121.2079
80.200202 71.316 120.9876
80.566413 71.301 120.7704
80.932624 71.286 120.5550
81.298835 71.272 120.3397
81.665046 71.257 120.1226
82.031257 71.243 119.9033
82.397468 71.228 119.6824
82.763679 71.213 119.4619
83.129890 71.197 119.2437
83.496101 71.182 119.0293
83.862311 71.166 118.8188
84.228522 71.151 118.6110
84.594733 71.137 118.4035
84.960944 71.124 118.1943
85.327155 71.110 117.9821
85.693366 71.097 117.7675
86.059577 71.083 117.5520
86.425788 71.069 117.3373
86.791999 71.054 117.1248
87.158210 71.040 116.9149
87.524421 71.025 116.7075
87.890632 71.011 116.5021
88.256843 70.996 116.2988
88.623054 70.982 116.0972
88.989265 70.968 115.8969
89.355476 70.954 115.6975
89.721687 70.940 115.4982
90.087898 70.926 115.2985
90.454109 70.913 115.0984
90.820320 70.898 114.8986
91.186531 70.884 114.6998
91.552742 70.870 114.5027
91.918953 70.856 114.3071
92.285164 70.842 114.1126
92.651375 70.828 113.9182
93.017586 70.814 113.7228
93.383797 70.801 113.5263
93.750008 70.787 113.3287
94.116219 70.774 113.1309
94.482430 70.760 112.9337
94.848641 70.746 112.7377
95.214851 70.732 112.5432
95.581062 70.718 112.3503
95.947273 70.705 112.1588
96.313484 70.691 111.9684
96.679695 70.678 111.7792
97.045906 70.665 111.5909
97.412117 70.652 111.4033
97.778328 70.639 111.2159
98.144539 70.626 111.0286
98.510750 70.613 110.8416
98.876961 70.600 110.6549
99.243172 70.587 110.4689
99.609383 70.574 110.2838
99.975594 70.560 110.0997
100.341805 70.547 109.9168
100.708016 70.534 109.7354
101.074227 70.520 109.5557
101.440438 70.507 109.3775
101.806649 70.494 109.2005
102.172860 70.481 109.0241
102.539071 70.468 108.8478
102.905282 70.455 108.6715
103.271493 70.443 108.4950
103.637704 70.430 108.3187
104.003915 70.417 108.1426
104.370126 70.405 107.9667
104.736337 70.392 107.7908
105.102548 70.379 107.6150
105.468759 70.367 107.4391
105.834970 70.355 107.2633
106.201180 70.342 107.0876
106.567391 70.330 106.9123
106.933602 70.317 106.7375
107.299813 70.305 106.5633
107.666024 70.292 106.3899
108.032235 70.280 106.2174
108.398446 70.268 106.0456
108.764657 70.256 105.8743
109.130868 70.243 105.7033
109.497079 70.231 105.5325
109.863290 70.219 105.3624
110.229501 70.207 105.1934
110.595712 70.195 105.0259
110.961923 70.183 104.8605
111.328134 70.171 104.6969
111.694345 70.159 104.5345
112.060556 70.148 104.3727
112.426767 70.136 104.2107
112.792978 70.125 104.0480
113.159189 70.114 103.8846
113.525400 70.103 103.7206
113.891611 70.091 103.5566
114.257822 70.080 103.3931
114.624033 70.068 103.2307
114.990244 70.056 103.0700
115.356455 70.044 102.9114
115.722666 70.031 102.7550
116.088877 70.020 102.6005
116.455088 70.008 102.4468
116.821299 69.997 102.2924
117.187510 69.985 102.1363
117.553720 69.974 101.9781
117.919931 69.963 101.8183
118.286142 69.951 101.6583
118.652353 69.939 101.4995
119.018564 69.927 101.3427
119.384775 69.915 101.1877
119.750986 69.903 101.0339
120.117197 69.892 100.8800
120.483408 69.881 100.7256
120.849619 69.870 100.5704
121.215830 69.859 100.4151
121.582041 69.848 100.2602
121.948252 69.837 100.1059
122.314463 69.827 99.9522
122.680674 69.816 99.7986
123.046885 69.806 99.6450
123.413096 69.795 99.4913
123.779307 69.785 99.3381
124.145518 69.775 99.1859
124.511729 69.765 99.0349
124.877940 69.755 98.8851
125.244151 69.745 98.7360
125.610362 69.736 98.5870
125.976573 69.727 98.4379
126.342784 69.718 98.2890
126.708995 69.708 98.1407
127.075206 69.699 97.9940
127.441417 69.689 97.8492
127.807628 69.680 97.7066
128.173839 69.670 97.5657
128.540049 69.661 97.4258
128.906260 69.652 97.2864
129.272471 69.643 97.1469
129.638682 69.634 97.0068
130.004893 69.625 96.8663
130.371104 69.617 96.7251
130.737315 69.608 96.5832
131.103526 69.599 96.4407
131.469737 69.591 96.2975
131.835948 69.582 96.1537
132.202159 69.573 96.0097
132.568370 69.564 95.8661
132.934581 69.555 95.7234
133.300792 69.546 95.5824
133.667003 69.537 95.4431
134.033214 69.528 95.3055
134.399425 69.519 95.1689
134.765636 69.511 95.0326
135.131847 69.503 94.8957
135.498058 69.495 94.7581
135.864269 69.487 94.6199
136.230480 69.479 94.4816
136.596691 69.471 94.3438
136.962902 69.463 94.2069
137.329113 69.454 94.0712
137.695324 69.446 93.9369
138.061535 69.438 93.8040
138.427746 69.429 93.6724
138.793957 69.421 93.5419
139.160168 69.413 93.4119
139.526379 69.405 93.2820
139.892589 69.397 93.1516
140.258800 69.390 93.0204
140.625011 69.382 92.8885
140.991222 69.374 92.7562
141.357433 69.365 92.6240
141.723644 69.357 92.4925
142.089855 69.349 92.3620
142.456066 69.340 92.2325
142.822277 69.332 92.1040
143.188488 69.323 91.9763
143.554699 69.315 91.8494
143.920910 69.307 91.7230
144.287121 69.299 91.5971
144.653332 69.291 91.4713
145.019543 69.284 91.3452
145.385754 69.276 91.2189
145.751965 69.269 91.0919
146.118176 69.262 90.9644
146.484387 69.254 90.8366
146.850598 69.247 90.7087
147.216809 69.240 90.5810
147.583020 69.232 90.4536
147.949231 69.225 90.3270
148.315442 69.217 90.2011
148.681653 69.209 90.0761
149.047864 69.202 89.9521
149.414075 69.194 89.8291
149.780286 69.186 89.7073
150.146497 69.179 89.5867
150.512708 69.171 89.4674
150.878918 69.163 89.3490
151.245129 69.156 89.2311
151.611340 69.149 89.1133
