* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2023 7:44:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Performer5 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.031 166.2079
0.732422 60.454 151.5344
1.098633 57.367 133.7999
1.464844 51.696 102.3576
1.831055 48.876 14.1651
2.197266 55.334 -32.2382
2.563477 59.167 -48.7134
2.929688 61.444 -57.5620
3.295899 63.000 -62.5688
3.662110 64.273 -65.4638
4.028321 65.453 -67.7732
4.394532 66.545 -70.5366
4.760743 67.486 -74.0007
5.126954 68.240 -77.8533
5.493164 68.828 -81.6519
5.859375 69.311 -85.1333
6.225586 69.751 -88.3219
6.591797 70.181 -91.4299
6.958008 70.597 -94.6387
7.324219 70.977 -97.9518
7.690430 71.309 -101.2196
8.056641 71.604 -104.2740
8.422852 71.882 -107.0501
8.789063 72.162 -109.6087
9.155274 72.444 -112.0606
9.521485 72.715 -114.4660
9.887696 72.959 -116.8000
10.253907 73.102 -118.9952
10.620118 73.193 -121.0098
10.986329 73.273 -122.8612
11.352540 73.345 -124.6060
11.718751 73.408 -126.2939
12.084962 73.455 -127.9398
12.451173 73.488 -129.5331
12.817384 73.555 -131.0644
13.183595 73.619 -132.5421
13.549806 73.675 -133.9864
13.916017 73.722 -135.4106
14.282228 73.762 -136.8150
14.648439 73.795 -138.1943
15.014650 73.826 -139.5484
15.380861 73.855 -140.8858
15.747072 73.884 -142.2121
16.113283 73.915 -143.5219
16.479493 73.953 -144.7994
16.845704 73.990 -146.0309
17.211915 74.029 -147.2160
17.578126 74.069 -148.3668
17.944337 74.110 -149.4953
18.310548 74.147 -150.6021
18.676759 74.180 -151.6748
19.042970 74.208 -152.6986
19.409181 74.232 -153.6684
19.775392 74.254 -154.5924
20.141603 74.277 -155.4865
20.507814 74.299 -156.3633
20.874025 74.316 -157.2269
21.240236 74.330 -158.0744
21.606447 74.339 -158.9032
21.972658 74.346 -159.7160
22.338869 74.350 -160.5200
22.705080 74.353 -161.3215
23.071291 74.353 -162.1197
23.437502 74.350 -162.9073
23.803713 74.346 -163.6749
24.169924 74.342 -164.4192
24.536135 74.341 -165.1471
24.902346 74.343 -165.8719
25.268557 74.347 -166.6049
25.634768 74.351 -167.3464
26.000979 74.352 -168.0848
26.367190 74.349 -168.8036
26.733401 74.345 -169.4919
27.099612 74.341 -170.1495
27.465823 74.338 -170.7852
27.832033 74.334 -171.4078
28.198244 74.330 -172.0190
28.564455 74.323 -172.6139
28.930666 74.315 -173.1870
29.296877 74.307 -173.7392
29.663088 74.300 -174.2801
30.029299 74.294 -174.8231
30.395510 74.287 -175.3770
30.761721 74.278 -175.9413
31.127932 74.266 -176.5068
31.494143 74.250 -177.0614
31.860354 74.233 -177.5970
32.226565 74.216 -178.1142
32.592776 74.202 -178.6212
32.958987 74.188 -179.1285
33.325198 74.176 -179.6421
33.691409 74.162 179.8406
34.057620 74.147 179.3298
34.423831 74.131 178.8363
34.790042 74.115 178.3637
35.156253 74.102 177.9055
35.522464 74.090 177.4487
35.888675 74.080 176.9835
36.254886 74.068 176.5106
36.621097 74.053 176.0412
36.987308 74.036 175.5891
37.353519 74.019 175.1599
37.719730 74.003 174.7465
38.085941 73.989 174.3344
38.452152 73.975 173.9115
38.818363 73.960 173.4773
39.184573 73.942 173.0430
39.550784 73.922 172.6235
39.916995 73.900 172.2274
40.283206 73.881 171.8518
40.649417 73.864 171.4851
41.015628 73.850 171.1148
41.381839 73.836 170.7352
41.748050 73.821 170.3492
42.114261 73.805 169.9648
42.480472 73.789 169.5889
42.846683 73.772 169.2239
43.212894 73.755 168.8666
43.579105 73.740 168.5121
43.945316 73.725 168.1564
44.311527 73.709 167.7985
44.677738 73.693 167.4401
45.043949 73.675 167.0839
45.410160 73.657 166.7326
45.776371 73.637 166.3880
46.142582 73.618 166.0510
46.508793 73.598 165.7213
46.875004 73.579 165.3972
47.241215 73.560 165.0766
47.607426 73.542 164.7570
47.973637 73.524 164.4372
48.339848 73.505 164.1176
48.706059 73.487 163.7999
49.072270 73.468 163.4854
49.438481 73.450 163.1749
49.804692 73.432 162.8675
50.170902 73.414 162.5624
50.537113 73.396 162.2593
50.903324 73.378 161.9595
51.269535 73.359 161.6650
51.635746 73.340 161.3773
52.001957 73.322 161.0961
52.368168 73.304 160.8195
52.734379 73.287 160.5444
53.100590 73.269 160.2685
53.466801 73.252 159.9902
53.833012 73.234 159.7100
54.199223 73.215 159.4294
54.565434 73.195 159.1510
54.931645 73.174 158.8780
55.297856 73.153 158.6132
55.664067 73.131 158.3580
56.030278 73.111 158.1108
56.396489 73.091 157.8668
56.762700 73.073 157.6193
57.128911 73.056 157.3640
57.495122 73.038 157.1015
57.861333 73.018 156.8384
58.227544 72.998 156.5834
58.593755 72.977 156.3423
58.959966 72.957 156.1135
59.326177 72.939 155.8890
59.692388 72.923 155.6589
60.058599 72.908 155.4179
60.424810 72.892 155.1683
60.791021 72.874 154.9177
61.157232 72.856 154.6737
61.523442 72.837 154.4391
61.889653 72.818 154.2105
62.255864 72.800 153.9823
62.622075 72.783 153.7507
62.988286 72.765 153.5163
63.354497 72.745 153.2830
63.720708 72.725 153.0549
64.086919 72.704 152.8340
64.453130 72.683 152.6194
64.819341 72.663 152.4085
65.185552 72.644 152.1990
65.551763 72.625 151.9889
65.917974 72.606 151.7773
66.284185 72.588 151.5638
66.650396 72.569 151.3493
67.016607 72.549 151.1363
67.382818 72.528 150.9278
67.749029 72.508 150.7256
68.115240 72.488 150.5289
68.481451 72.469 150.3339
68.847662 72.451 150.1366
69.213873 72.433 149.9356
69.580084 72.414 149.7329
69.946295 72.394 149.5325
70.312506 72.374 149.3377
70.678717 72.354 149.1485
71.044928 72.335 148.9622
71.411139 72.316 148.7762
71.777350 72.297 148.5901
72.143561 72.278 148.4061
72.509771 72.259 148.2260
72.875982 72.240 148.0488
73.242193 72.222 147.8701
73.608404 72.204 147.6856
73.974615 72.185 147.4952
74.340826 72.165 147.3052
74.707037 72.142 147.1249
75.073248 72.120 146.9598
75.439459 72.099 146.8074
75.805670 72.081 146.6566
76.171881 72.064 146.4946
76.538092 72.048 146.3149
76.904303 72.029 146.1227
77.270514 72.007 145.9320
77.636725 71.984 145.7574
78.002936 71.961 145.6047
78.369147 71.940 145.4667
78.735358 71.924 145.3274
79.101569 71.910 145.1711
79.467780 71.896 144.9919
79.833991 71.880 144.7969
80.200202 71.861 144.6009
80.566413 71.840 144.4175
80.932624 71.819 144.2516
81.298835 71.800 144.0976
81.665046 71.782 143.9448
82.031257 71.766 143.7851
82.397468 71.749 143.6183
82.763679 71.730 143.4515
83.129890 71.711 143.2929
83.496101 71.691 143.1461
83.862311 71.673 143.0077
84.228522 71.656 142.8699
84.594733 71.640 142.7264
84.960944 71.623 142.5759
85.327155 71.606 142.4225
85.693366 71.588 142.2721
86.059577 71.569 142.1276
86.425788 71.550 141.9883
86.791999 71.532 141.8505
87.158210 71.514 141.7115
87.524421 71.496 141.5713
87.890632 71.478 141.4320
88.256843 71.461 141.2957
88.623054 71.443 141.1625
88.989265 71.426 141.0298
89.355476 71.410 140.8947
89.721687 71.395 140.7553
90.087898 71.379 140.6125
90.454109 71.362 140.4687
90.820320 71.346 140.3261
91.186531 71.329 140.1859
91.552742 71.312 140.0475
91.918953 71.295 139.9103
92.285164 71.278 139.7744
92.651375 71.260 139.6411
93.017586 71.243 139.5118
93.383797 71.225 139.3869
93.750008 71.208 139.2649
94.116219 71.192 139.1432
94.482430 71.175 139.0194
94.848641 71.159 138.8929
95.214851 71.143 138.7647
95.581062 71.126 138.6369
95.947273 71.108 138.5113
96.313484 71.091 138.3879
96.679695 71.074 138.2656
97.045906 71.057 138.1428
97.412117 71.040 138.0185
97.778328 71.024 137.8931
98.144539 71.007 137.7679
98.510750 70.989 137.6443
98.876961 70.972 137.5235
99.243172 70.955 137.4050
99.609383 70.939 137.2877
99.975594 70.923 137.1704
100.341805 70.907 137.0520
100.708016 70.891 136.9323
101.074227 70.875 136.8117
101.440438 70.859 136.6914
101.806649 70.843 136.5727
102.172860 70.826 136.4567
102.539071 70.810 136.3436
102.905282 70.793 136.2332
103.271493 70.777 136.1250
103.637704 70.762 136.0179
104.003915 70.746 135.9109
104.370126 70.731 135.8035
104.736337 70.715 135.6952
105.102548 70.700 135.5862
105.468759 70.685 135.4771
105.834970 70.669 135.3686
106.201180 70.653 135.2614
106.567391 70.637 135.1555
106.933602 70.622 135.0504
107.299813 70.606 134.9451
107.666024 70.591 134.8389
108.032235 70.575 134.7314
108.398446 70.560 134.6234
108.764657 70.544 134.5155
109.130868 70.528 134.4091
109.497079 70.512 134.3046
109.863290 70.496 134.2018
110.229501 70.481 134.1000
110.595712 70.466 133.9984
110.961923 70.451 133.8964
111.328134 70.436 133.7940
111.694345 70.421 133.6916
112.060556 70.406 133.5892
112.426767 70.392 133.4868
112.792978 70.377 133.3837
113.159189 70.363 133.2798
113.525400 70.348 133.1756
113.891611 70.333 133.0724
114.257822 70.317 132.9715
114.624033 70.302 132.8741
114.990244 70.286 132.7801
115.356455 70.271 132.6884
115.722666 70.256 132.5980
116.088877 70.241 132.5079
116.455088 70.226 132.4178
116.821299 70.212 132.3275
117.187510 70.198 132.2369
117.553720 70.183 132.1456
117.919931 70.169 132.0533
118.286142 70.155 131.9604
118.652353 70.140 131.8676
119.018564 70.125 131.7760
119.384775 70.111 131.6860
119.750986 70.096 131.5972
120.117197 70.082 131.5086
120.483408 70.068 131.4190
120.849619 70.054 131.3280
121.215830 70.040 131.2362
121.582041 70.026 131.1445
121.948252 70.011 131.0535
122.314463 69.997 130.9634
122.680674 69.983 130.8738
123.046885 69.969 130.7845
123.413096 69.955 130.6949
123.779307 69.941 130.6055
124.145518 69.927 130.5165
124.511729 69.913 130.4286
124.877940 69.900 130.3422
125.244151 69.886 130.2572
125.610362 69.873 130.1735
125.976573 69.860 130.0903
126.342784 69.848 130.0068
126.708995 69.836 129.9226
127.075206 69.824 129.8375
127.441417 69.811 129.7522
127.807628 69.799 129.6675
128.173839 69.786 129.5842
128.540049 69.774 129.5026
128.906260 69.762 129.4224
129.272471 69.749 129.3431
129.638682 69.738 129.2640
130.004893 69.726 129.1848
130.371104 69.714 129.1053
130.737315 69.703 129.0253
131.103526 69.691 128.9449
131.469737 69.680 128.8639
131.835948 69.668 128.7829
132.202159 69.657 128.7023
132.568370 69.645 128.6229
132.934581 69.633 128.5452
133.300792 69.621 128.4690
133.667003 69.609 128.3937
134.033214 69.598 128.3186
134.399425 69.586 128.2428
134.765636 69.575 128.1664
135.131847 69.563 128.0897
135.498058 69.551 128.0133
135.864269 69.539 127.9377
136.230480 69.527 127.8630
136.596691 69.515 127.7891
136.962902 69.504 127.7157
137.329113 69.492 127.6426
137.695324 69.480 127.5700
138.061535 69.468 127.4979
138.427746 69.457 127.4261
138.793957 69.446 127.3543
139.160168 69.435 127.2822
139.526379 69.423 127.2096
139.892589 69.412 127.1367
140.258800 69.401 127.0640
140.625011 69.390 126.9915
140.991222 69.380 126.9191
141.357433 69.369 126.8466
141.723644 69.358 126.7735
142.089855 69.348 126.7001
142.456066 69.337 126.6268
142.822277 69.326 126.5542
143.188488 69.315 126.4828
143.554699 69.304 126.4128
143.920910 69.293 126.3439
144.287121 69.283 126.2758
144.653332 69.272 126.2081
145.019543 69.262 126.1404
145.385754 69.251 126.0725
145.751965 69.240 126.0046
146.118176 69.230 125.9369
146.484387 69.219 125.8698
146.850598 69.208 125.8033
147.216809 69.198 125.7374
147.583020 69.187 125.6716
147.949231 69.177 125.6053
148.315442 69.167 125.5380
148.681653 69.157 125.4695
149.047864 69.146 125.3999
149.414075 69.136 125.3297
149.780286 69.125 125.2593
150.146497 69.115 125.1890
150.512708 69.104 125.1191
