* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2023 7:44:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Performer5 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 69.302 -24.4006
0.732422 67.423 -48.4589
1.098633 63.737 -71.2179
1.464844 56.215 -86.6270
1.831055 49.437 11.0487
2.197266 59.197 13.6616
2.563477 62.499 -6.9876
2.929688 63.647 -28.5694
3.295899 63.619 -47.3602
3.662110 62.949 -59.9865
4.028321 62.460 -63.8178
4.394532 63.172 -62.5928
4.760743 64.851 -64.5539
5.126954 66.485 -71.0435
5.493164 67.620 -79.0796
5.859375 68.263 -86.0137
6.225586 68.638 -90.4191
6.591797 69.038 -92.4381
6.958008 69.621 -93.6222
7.324219 70.298 -95.4672
7.690430 70.891 -98.2212
8.056641 71.306 -101.2324
8.422852 71.575 -103.8072
8.789063 71.791 -105.7361
9.155274 72.024 -107.3304
9.521485 72.278 -109.0362
9.887696 72.512 -111.0281
10.253907 72.626 -113.1675
10.620118 72.670 -115.2420
10.986329 72.704 -117.1812
11.352540 72.748 -119.0709
11.718751 72.798 -121.0089
12.084962 72.842 -122.9839
12.451173 72.876 -124.8967
12.817384 72.955 -126.6710
13.183595 73.052 -128.3235
13.549806 73.158 -129.9280
13.916017 73.261 -131.5244
14.282228 73.352 -133.0753
14.648439 73.428 -134.5105
15.014650 73.497 -135.8000
15.380861 73.568 -136.9833
15.747072 73.639 -138.1291
16.113283 73.708 -139.2753
16.479493 73.774 -140.4106
16.845704 73.826 -141.5055
17.211915 73.870 -142.5526
17.578126 73.908 -143.5738
17.944337 73.941 -144.5944
18.310548 73.967 -145.6182
18.676759 73.986 -146.6303
19.042970 74.003 -147.6212
19.409181 74.021 -148.6007
19.775392 74.041 -149.5880
20.141603 74.062 -150.5899
20.507814 74.082 -151.5929
20.874025 74.101 -152.5762
21.240236 74.121 -153.5305
21.606447 74.142 -154.4618
21.972658 74.164 -155.3775
22.338869 74.183 -156.2714
22.705080 74.199 -157.1246
23.071291 74.213 -157.9214
23.437502 74.229 -158.6642
23.803713 74.247 -159.3734
24.169924 74.267 -160.0745
24.536135 74.286 -160.7827
24.902346 74.299 -161.4971
25.268557 74.307 -162.2050
25.634768 74.308 -162.8903
26.000979 74.305 -163.5412
26.367190 74.302 -164.1570
26.733401 74.301 -164.7529
27.099612 74.305 -165.3569
27.465823 74.311 -165.9967
27.832033 74.315 -166.6808
28.198244 74.313 -167.3905
28.564455 74.303 -168.0881
28.930666 74.289 -168.7413
29.296877 74.277 -169.3430
29.663088 74.270 -169.9140
30.029299 74.270 -170.4852
30.395510 74.272 -171.0745
30.761721 74.272 -171.6758
31.127932 74.268 -172.2672
31.494143 74.261 -172.8285
31.860354 74.254 -173.3544
32.226565 74.248 -173.8550
32.592776 74.244 -174.3463
32.958987 74.241 -174.8398
33.325198 74.236 -175.3368
33.691409 74.228 -175.8305
34.057620 74.217 -176.3117
34.423831 74.205 -176.7766
34.790042 74.193 -177.2304
35.156253 74.182 -177.6850
35.522464 74.171 -178.1512
35.888675 74.158 -178.6300
36.254886 74.142 -179.1098
36.621097 74.123 -179.5732
36.987308 74.104 179.9902
37.353519 74.088 179.5750
37.719730 74.076 179.1627
38.085941 74.067 178.7341
38.452152 74.059 178.2823
38.818363 74.047 177.8177
39.184573 74.033 177.3600
39.550784 74.015 176.9260
39.916995 73.998 176.5207
40.283206 73.983 176.1374
40.649417 73.971 175.7640
41.015628 73.962 175.3898
41.381839 73.952 175.0094
41.748050 73.942 174.6224
42.114261 73.931 174.2322
42.480472 73.918 173.8442
42.846683 73.902 173.4646
43.212894 73.885 173.0980
43.579105 73.869 172.7454
43.945316 73.853 172.4032
44.311527 73.838 172.0644
44.677738 73.824 171.7222
45.043949 73.811 171.3731
45.410160 73.796 171.0192
45.776371 73.780 170.6668
46.142582 73.762 170.3237
46.508793 73.744 169.9945
46.875004 73.727 169.6778
47.241215 73.712 169.3663
47.607426 73.698 169.0511
47.973637 73.685 168.7272
48.339848 73.670 168.3971
48.706059 73.653 168.0690
49.072270 73.635 167.7519
49.438481 73.617 167.4492
49.804692 73.600 167.1573
50.170902 73.584 166.8679
50.537113 73.569 166.5740
50.903324 73.554 166.2741
51.269535 73.538 165.9722
51.635746 73.522 165.6740
52.001957 73.504 165.3829
52.368168 73.487 165.0980
52.734379 73.471 164.8160
53.100590 73.455 164.5339
53.466801 73.439 164.2515
53.833012 73.423 163.9712
54.199223 73.406 163.6951
54.565434 73.390 163.4226
54.931645 73.374 163.1497
55.297856 73.359 162.8725
55.664067 73.342 162.5919
56.030278 73.323 162.3152
56.396489 73.302 162.0533
56.762700 73.282 161.8124
57.128911 73.263 161.5885
57.495122 73.249 161.3665
57.861333 73.237 161.1287
58.227544 73.225 160.8656
58.593755 73.210 160.5828
58.959966 73.191 160.2982
59.326177 73.169 160.0316
59.692388 73.145 159.7928
60.058599 73.124 159.5770
60.424810 73.106 159.3691
60.791021 73.091 159.1542
61.157232 73.076 158.9258
61.523442 73.061 158.6877
61.889653 73.044 158.4491
62.255864 73.026 158.2177
62.622075 73.008 157.9952
62.988286 72.990 157.7789
63.354497 72.973 157.5640
63.720708 72.956 157.3484
64.086919 72.938 157.1321
64.453130 72.921 156.9169
64.819341 72.903 156.7036
65.185552 72.885 156.4918
65.551763 72.867 156.2803
65.917974 72.850 156.0682
66.284185 72.831 155.8561
66.650396 72.813 155.6449
67.016607 72.794 155.4359
67.382818 72.775 155.2297
67.749029 72.755 155.0267
68.115240 72.736 154.8271
68.481451 72.718 154.6306
68.847662 72.699 154.4362
69.213873 72.682 154.2414
69.580084 72.664 154.0443
69.946295 72.647 153.8441
70.312506 72.629 153.6427
70.678717 72.610 153.4435
71.044928 72.591 153.2496
71.411139 72.572 153.0616
71.777350 72.554 152.8777
72.143561 72.536 152.6944
72.509771 72.518 152.5101
72.875982 72.500 152.3256
73.242193 72.481 152.1439
73.608404 72.462 151.9679
73.974615 72.443 151.7983
74.340826 72.425 151.6323
74.707037 72.409 151.4653
75.073248 72.393 151.2924
75.439459 72.377 151.1110
75.805670 72.360 150.9223
76.171881 72.342 150.7307
76.538092 72.323 150.5429
76.904303 72.302 150.3649
77.270514 72.281 150.1994
77.636725 72.261 150.0446
78.002936 72.243 149.8948
78.369147 72.227 149.7431
78.735358 72.211 149.5847
79.101569 72.195 149.4196
79.467780 72.179 149.2515
79.833991 72.162 149.0856
80.200202 72.145 148.9241
80.566413 72.128 148.7656
80.932624 72.112 148.6057
81.298835 72.096 148.4409
81.665046 72.079 148.2720
82.031257 72.061 148.1038
82.397468 72.041 147.9428
82.763679 72.021 147.7930
83.129890 72.002 147.6529
83.496101 71.985 147.5172
83.862311 71.968 147.3802
84.228522 71.952 147.2386
84.594733 71.936 147.0939
84.960944 71.919 146.9492
85.327155 71.902 146.8070
85.693366 71.886 146.6666
86.059577 71.871 146.5250
86.425788 71.855 146.3794
86.791999 71.839 146.2291
87.158210 71.823 146.0765
87.524421 71.805 145.9255
87.890632 71.786 145.7798
88.256843 71.768 145.6406
88.623054 71.750 145.5075
88.989265 71.732 145.3782
89.355476 71.715 145.2499
89.721687 71.699 145.1203
90.087898 71.683 144.9873
90.454109 71.667 144.8503
90.820320 71.651 144.7103
91.186531 71.634 144.5695
91.552742 71.616 144.4307
91.918953 71.599 144.2960
92.285164 71.581 144.1658
92.651375 71.564 144.0388
93.017586 71.547 143.9132
93.383797 71.531 143.7870
93.750008 71.514 143.6598
94.116219 71.498 143.5320
94.482430 71.482 143.4047
94.848641 71.465 143.2787
95.214851 71.449 143.1540
95.581062 71.433 143.0303
95.947273 71.416 142.9073
96.313484 71.400 142.7848
96.679695 71.384 142.6630
97.045906 71.367 142.5418
97.412117 71.351 142.4213
97.778328 71.335 142.3010
98.144539 71.318 142.1809
98.510750 71.302 142.0612
98.876961 71.285 141.9425
99.243172 71.269 141.8251
99.609383 71.252 141.7092
99.975594 71.236 141.5945
100.341805 71.220 141.4805
100.708016 71.204 141.3674
101.074227 71.188 141.2554
101.440438 71.172 141.1451
101.806649 71.156 141.0364
102.172860 71.141 140.9286
102.539071 71.126 140.8207
102.905282 71.111 140.7120
103.271493 71.096 140.6027
103.637704 71.081 140.4936
104.003915 71.065 140.3857
104.370126 71.050 140.2797
104.736337 71.035 140.1747
105.102548 71.020 140.0695
105.468759 71.005 139.9630
105.834970 70.989 139.8553
106.201180 70.974 139.7472
106.567391 70.958 139.6402
106.933602 70.942 139.5354
107.299813 70.926 139.4327
107.666024 70.910 139.3314
108.032235 70.894 139.2302
108.398446 70.879 139.1285
108.764657 70.863 139.0265
109.130868 70.848 138.9247
109.497079 70.832 138.8239
109.863290 70.816 138.7242
110.229501 70.801 138.6256
110.595712 70.786 138.5277
110.961923 70.771 138.4303
111.328134 70.756 138.3335
111.694345 70.741 138.2374
112.060556 70.726 138.1419
112.426767 70.712 138.0467
112.792978 70.698 137.9511
113.159189 70.683 137.8546
113.525400 70.669 137.7573
113.891611 70.655 137.6597
114.257822 70.640 137.5627
114.624033 70.625 137.4670
114.990244 70.610 137.3731
115.356455 70.595 137.2806
115.722666 70.581 137.1893
116.088877 70.566 137.0986
116.455088 70.551 137.0083
116.821299 70.537 136.9183
117.187510 70.523 136.8287
117.553720 70.508 136.7390
117.919931 70.494 136.6493
118.286142 70.480 136.5592
118.652353 70.466 136.4691
119.018564 70.452 136.3793
119.384775 70.437 136.2899
119.750986 70.423 136.2013
120.117197 70.409 136.1132
120.483408 70.395 136.0258
120.849619 70.380 135.9393
121.215830 70.366 135.8538
121.582041 70.352 135.7694
121.948252 70.338 135.6861
122.314463 70.324 135.6032
122.680674 70.310 135.5201
123.046885 70.296 135.4363
123.413096 70.282 135.3518
123.779307 70.268 135.2673
124.145518 70.254 135.1835
124.511729 70.240 135.1011
124.877940 70.226 135.0203
125.244151 70.213 134.9406
125.610362 70.200 134.8615
125.976573 70.187 134.7823
126.342784 70.174 134.7031
126.708995 70.161 134.6237
127.075206 70.149 134.5446
127.441417 70.136 134.4661
127.807628 70.124 134.3883
128.173839 70.112 134.3109
128.540049 70.100 134.2335
128.906260 70.088 134.1554
129.272471 70.076 134.0765
129.638682 70.065 133.9968
130.004893 70.053 133.9169
130.371104 70.041 133.8374
130.737315 70.029 133.7586
131.103526 70.017 133.6808
131.469737 70.005 133.6038
131.835948 69.993 133.5272
132.202159 69.982 133.4504
132.568370 69.970 133.3733
132.934581 69.958 133.2958
133.300792 69.947 133.2184
133.667003 69.935 133.1418
134.033214 69.923 133.0670
134.399425 69.910 132.9943
134.765636 69.899 132.9236
135.131847 69.887 132.8542
135.498058 69.876 132.7849
135.864269 69.865 132.7146
136.230480 69.854 132.6428
136.596691 69.843 132.5698
136.962902 69.832 132.4966
137.329113 69.820 132.4242
137.695324 69.809 132.3534
138.061535 69.797 132.2842
138.427746 69.786 132.2161
138.793957 69.775 132.1485
139.160168 69.764 132.0809
139.526379 69.752 132.0135
139.892589 69.741 131.9463
140.258800 69.730 131.8798
140.625011 69.718 131.8138
140.991222 69.707 131.7484
141.357433 69.696 131.6834
141.723644 69.684 131.6186
142.089855 69.673 131.5539
142.456066 69.662 131.4894
142.822277 69.650 131.4251
143.188488 69.639 131.3609
143.554699 69.627 131.2966
143.920910 69.616 131.2323
144.287121 69.605 131.1679
144.653332 69.593 131.1033
145.019543 69.582 131.0386
145.385754 69.571 130.9735
145.751965 69.560 130.9081
146.118176 69.549 130.8423
146.484387 69.538 130.7765
146.850598 69.527 130.7108
147.216809 69.516 130.6454
147.583020 69.505 130.5804
147.949231 69.494 130.5161
148.315442 69.484 130.4525
148.681653 69.473 130.3892
149.047864 69.463 130.3261
149.414075 69.453 130.2632
149.780286 69.442 130.2001
150.146497 69.432 130.1372
