* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 5:55:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Performer8 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 56.300 -69.9250
0.732422 58.740 -116.2225
1.098633 59.226 -154.7710
1.464844 57.722 163.3588
1.831055 55.346 103.1644
2.197266 57.111 32.3465
2.563477 60.649 -11.9563
2.929688 62.729 -39.8657
3.295899 63.393 -58.4827
3.662110 63.120 -67.8938
4.028321 62.895 -67.1010
4.394532 63.863 -62.0996
4.760743 65.611 -62.0441
5.126954 67.110 -67.2723
5.493164 68.019 -74.3273
5.859375 68.426 -80.4860
6.225586 68.610 -84.3853
6.591797 68.882 -86.3600
6.958008 69.370 -88.0815
7.324219 69.947 -90.8745
7.690430 70.425 -94.6969
8.056641 70.724 -98.6987
8.422852 70.889 -102.0961
8.789063 71.024 -104.6746
9.155274 71.205 -106.8034
9.521485 71.427 -108.9938
9.887696 71.634 -111.4344
10.253907 71.786 -113.9480
10.620118 71.884 -116.2712
10.986329 71.962 -118.3107
11.352540 72.041 -120.1758
11.718751 72.120 -122.0198
12.084962 72.184 -123.8828
12.451173 72.225 -125.6938
12.817384 72.251 -127.3864
13.183595 72.277 -128.9827
13.549806 72.305 -130.5658
13.916017 72.328 -132.1833
14.282228 72.337 -133.8000
14.648439 72.336 -135.3447
15.014650 72.333 -136.7911
15.380861 72.340 -138.1852
15.747072 72.354 -139.5930
16.113283 72.366 -141.0305
16.479493 72.370 -142.4509
16.845704 72.368 -143.7960
17.211915 72.369 -145.0515
17.578126 72.378 -146.2548
17.944337 72.392 -147.4503
18.310548 72.404 -148.6459
18.676759 72.411 -149.8137
19.042970 72.415 -150.9258
19.409181 72.418 -151.9829
19.775392 72.423 -153.0089
20.141603 72.428 -154.0225
20.507814 72.429 -155.0201
20.874025 72.427 -155.9894
21.240236 72.424 -156.9288
21.606447 72.422 -157.8523
21.972658 72.419 -158.7750
22.338869 72.413 -159.6955
22.705080 72.405 -160.5989
23.071291 72.395 -161.4750
23.437502 72.388 -162.3315
23.803713 72.384 -163.1865
24.169924 72.380 -164.0496
24.536135 72.373 -164.9098
24.902346 72.365 -165.7468
25.268557 72.356 -166.5491
25.634768 72.351 -167.3246
26.000979 72.350 -168.0906
26.367190 72.350 -168.8578
26.733401 72.348 -169.6224
27.099612 72.345 -170.3719
27.465823 72.341 -171.0996
27.832033 72.337 -171.8078
28.198244 72.333 -172.5035
28.564455 72.329 -173.1910
28.930666 72.323 -173.8682
29.296877 72.316 -174.5325
29.663088 72.308 -175.1836
30.029299 72.299 -175.8237
30.395510 72.290 -176.4548
30.761721 72.281 -177.0777
31.127932 72.272 -177.6927
31.494143 72.263 -178.3035
31.860354 72.254 -178.9119
32.226565 72.245 -179.5193
32.592776 72.235 179.8784
32.958987 72.225 179.2838
33.325198 72.215 178.6984
33.691409 72.205 178.1213
34.057620 72.195 177.5519
34.423831 72.186 176.9907
34.790042 72.177 176.4370
35.156253 72.169 175.8870
35.522464 72.161 175.3352
35.888675 72.152 174.7810
36.254886 72.141 174.2317
36.621097 72.127 173.7003
36.987308 72.112 173.1957
37.353519 72.099 172.7138
37.719730 72.089 172.2392
38.085941 72.081 171.7556
38.452152 72.073 171.2579
38.818363 72.062 170.7543
39.184573 72.049 170.2589
39.550784 72.035 169.7790
39.916995 72.022 169.3118
40.283206 72.010 168.8477
40.649417 71.998 168.3793
41.015628 71.986 167.9080
41.381839 71.972 167.4407
41.748050 71.957 166.9849
42.114261 71.942 166.5437
42.480472 71.928 166.1145
42.846683 71.915 165.6915
43.212894 71.903 165.2690
43.579105 71.892 164.8430
43.945316 71.881 164.4133
44.311527 71.868 163.9822
44.677738 71.854 163.5543
45.043949 71.839 163.1340
45.410160 71.824 162.7239
45.776371 71.809 162.3231
46.142582 71.794 161.9288
46.508793 71.780 161.5377
46.875004 71.767 161.1467
47.241215 71.753 160.7545
47.607426 71.740 160.3608
47.973637 71.726 159.9675
48.339848 71.711 159.5776
48.706059 71.696 159.1940
49.072270 71.681 158.8178
49.438481 71.666 158.4473
49.804692 71.652 158.0790
50.170902 71.638 157.7109
50.537113 71.623 157.3436
50.903324 71.609 156.9802
51.269535 71.593 156.6235
51.635746 71.578 156.2734
52.001957 71.564 155.9269
52.368168 71.550 155.5805
52.734379 71.536 155.2326
53.100590 71.522 154.8840
53.466801 71.507 154.5372
53.833012 71.492 154.1938
54.199223 71.476 153.8546
54.565434 71.461 153.5190
54.931645 71.445 153.1867
55.297856 71.429 152.8577
55.664067 71.414 152.5320
56.030278 71.399 152.2100
56.396489 71.384 151.8907
56.762700 71.369 151.5734
57.128911 71.356 151.2563
57.495122 71.342 150.9379
57.861333 71.328 150.6173
58.227544 71.314 150.2958
58.593755 71.298 149.9764
58.959966 71.282 149.6624
59.326177 71.266 149.3566
59.692388 71.249 149.0591
60.058599 71.233 148.7681
60.424810 71.218 148.4803
60.791021 71.203 148.1935
61.157232 71.188 147.9056
61.523442 71.173 147.6163
61.889653 71.158 147.3258
62.255864 71.143 147.0352
62.622075 71.127 146.7466
62.988286 71.111 146.4619
63.354497 71.094 146.1814
63.720708 71.078 145.9043
64.086919 71.063 145.6287
64.453130 71.047 145.3528
64.819341 71.032 145.0761
65.185552 71.017 144.7992
65.551763 71.002 144.5233
65.917974 70.986 144.2490
66.284185 70.971 143.9770
66.650396 70.956 143.7072
67.016607 70.941 143.4394
67.382818 70.926 143.1730
67.749029 70.911 142.9076
68.115240 70.896 142.6425
68.481451 70.881 142.3785
68.847662 70.865 142.1166
69.213873 70.849 141.8584
69.580084 70.833 141.6044
69.946295 70.818 141.3544
70.312506 70.803 141.1067
70.678717 70.788 140.8597
71.044928 70.773 140.6125
71.411139 70.758 140.3649
71.777350 70.743 140.1174
72.143561 70.728 139.8710
72.509771 70.713 139.6262
72.875982 70.698 139.3832
73.242193 70.683 139.1420
73.608404 70.668 138.9016
73.974615 70.653 138.6613
74.340826 70.639 138.4205
74.707037 70.624 138.1803
75.073248 70.608 137.9419
75.439459 70.593 137.7071
75.805670 70.577 137.4771
76.171881 70.562 137.2513
76.538092 70.547 137.0277
76.904303 70.533 136.8043
77.270514 70.519 136.5797
77.636725 70.505 136.3539
78.002936 70.491 136.1288
78.369147 70.476 135.9060
78.735358 70.462 135.6867
79.101569 70.447 135.4700
79.467780 70.434 135.2537
79.833991 70.421 135.0355
80.200202 70.407 134.8143
80.566413 70.394 134.5909
80.932624 70.379 134.3679
81.298835 70.365 134.1481
81.665046 70.350 133.9329
82.031257 70.335 133.7216
82.397468 70.320 133.5125
82.763679 70.306 133.3035
83.129890 70.292 133.0932
83.496101 70.278 132.8820
83.862311 70.264 132.6707
84.228522 70.250 132.4603
84.594733 70.235 132.2521
84.960944 70.220 132.0461
85.327155 70.206 131.8421
85.693366 70.191 131.6398
86.059577 70.177 131.4389
86.425788 70.163 131.2392
86.791999 70.149 131.0402
87.158210 70.135 130.8416
87.524421 70.121 130.6431
87.890632 70.108 130.4447
88.256843 70.094 130.2469
88.623054 70.080 130.0507
88.989265 70.066 129.8569
89.355476 70.052 129.6658
89.721687 70.039 129.4767
90.087898 70.026 129.2880
90.454109 70.013 129.0983
90.820320 70.000 128.9067
91.186531 69.987 128.7134
91.552742 69.974 128.5200
91.918953 69.960 128.3280
92.285164 69.946 128.1388
92.651375 69.932 127.9528
93.017586 69.919 127.7693
93.383797 69.905 127.5875
93.750008 69.891 127.4062
94.116219 69.878 127.2251
94.482430 69.865 127.0443
94.848641 69.851 126.8644
95.214851 69.838 126.6861
95.581062 69.825 126.5093
95.947273 69.812 126.3336
96.313484 69.799 126.1581
96.679695 69.787 125.9819
97.045906 69.774 125.8048
97.412117 69.762 125.6269
97.778328 69.749 125.4489
98.144539 69.737 125.2714
98.510750 69.724 125.0948
98.876961 69.712 124.9191
99.243172 69.699 124.7438
99.609383 69.687 124.5689
99.975594 69.674 124.3947
100.341805 69.661 124.2215
100.708016 69.648 124.0499
101.074227 69.635 123.8801
101.440438 69.623 123.7115
101.806649 69.610 123.5435
102.172860 69.598 123.3755
102.539071 69.585 123.2073
102.905282 69.573 123.0389
103.271493 69.560 122.8709
103.637704 69.547 122.7036
104.003915 69.535 122.5374
104.370126 69.522 122.3726
104.736337 69.509 122.2098
105.102548 69.496 122.0490
105.468759 69.484 121.8900
105.834970 69.472 121.7322
106.201180 69.460 121.5751
106.567391 69.448 121.4180
106.933602 69.436 121.2610
107.299813 69.425 121.1042
107.666024 69.414 120.9478
108.032235 69.402 120.7915
108.398446 69.391 120.6351
108.764657 69.380 120.4786
109.130868 69.369 120.3221
109.497079 69.357 120.1658
109.863290 69.346 120.0103
110.229501 69.334 119.8551
110.595712 69.322 119.7004
110.961923 69.311 119.5456
111.328134 69.299 119.3912
111.694345 69.287 119.2377
112.060556 69.274 119.0861
112.426767 69.262 118.9371
112.792978 69.250 118.7904
113.159189 69.238 118.6450
113.525400 69.226 118.5001
113.891611 69.215 118.3546
114.257822 69.203 118.2086
114.624033 69.192 118.0624
114.990244 69.181 117.9165
115.356455 69.170 117.7714
115.722666 69.158 117.6268
116.088877 69.147 117.4829
116.455088 69.137 117.3393
116.821299 69.126 117.1957
117.187510 69.115 117.0522
117.553720 69.105 116.9083
117.919931 69.095 116.7638
118.286142 69.085 116.6185
118.652353 69.075 116.4725
119.018564 69.064 116.3262
119.384775 69.054 116.1801
119.750986 69.043 116.0349
120.117197 69.032 115.8911
120.483408 69.022 115.7488
120.849619 69.011 115.6082
121.215830 69.000 115.4689
121.582041 68.989 115.3307
121.948252 68.979 115.1935
122.314463 68.968 115.0569
122.680674 68.957 114.9209
123.046885 68.947 114.7853
123.413096 68.937 114.6500
123.779307 68.926 114.5150
124.145518 68.916 114.3803
124.511729 68.905 114.2462
124.877940 68.895 114.1126
125.244151 68.885 113.9799
125.610362 68.875 113.8477
125.976573 68.865 113.7159
126.342784 68.855 113.5840
126.708995 68.845 113.4520
127.075206 68.835 113.3198
127.441417 68.826 113.1877
127.807628 68.816 113.0563
128.173839 68.806 112.9255
128.540049 68.797 112.7953
128.906260 68.787 112.6656
129.272471 68.778 112.5361
129.638682 68.769 112.4065
130.004893 68.760 112.2770
130.371104 68.751 112.1477
130.737315 68.741 112.0191
131.103526 68.732 111.8917
131.469737 68.722 111.7657
131.835948 68.713 111.6412
132.202159 68.703 111.5179
132.568370 68.694 111.3953
132.934581 68.685 111.2728
133.300792 68.676 111.1501
133.667003 68.666 111.0271
134.033214 68.657 110.9042
134.399425 68.647 110.7816
134.765636 68.638 110.6597
135.131847 68.628 110.5386
135.498058 68.618 110.4184
135.864269 68.608 110.2990
136.230480 68.598 110.1804
136.596691 68.589 110.0624
136.962902 68.579 109.9449
137.329113 68.570 109.8275
137.695324 68.561 109.7097
138.061535 68.552 109.5911
138.427746 68.543 109.4715
138.793957 68.535 109.3509
139.160168 68.526 109.2296
139.526379 68.517 109.1080
139.892589 68.508 108.9866
140.258800 68.500 108.8656
140.625011 68.491 108.7452
140.991222 68.482 108.6255
141.357433 68.473 108.5065
141.723644 68.465 108.3881
142.089855 68.456 108.2704
142.456066 68.448 108.1534
142.822277 68.439 108.0373
143.188488 68.430 107.9222
143.554699 68.422 107.8081
143.920910 68.413 107.6951
144.287121 68.405 107.5828
144.653332 68.397 107.4713
145.019543 68.388 107.3604
145.385754 68.380 107.2501
145.751965 68.372 107.1402
146.118176 68.364 107.0306
146.484387 68.356 106.9209
146.850598 68.348 106.8109
147.216809 68.340 106.7003
147.583020 68.332 106.5891
147.949231 68.325 106.4774
148.315442 68.317 106.3654
148.681653 68.309 106.2531
149.047864 68.301 106.1406
149.414075 68.293 106.0280
149.780286 68.285 105.9152
150.146497 68.277 105.8022
150.512708 68.269 105.6896
150.878918 68.261 105.5776
