* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 5:55:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Performer8 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.574 -33.0823
0.732422 64.828 -67.4006
1.098633 61.481 -105.8793
1.464844 55.788 -161.6872
1.831055 54.380 96.3685
2.197266 59.514 35.1995
2.563477 62.345 -1.4931
2.929688 63.434 -30.1653
3.295899 63.246 -52.3799
3.662110 62.103 -65.4006
4.028321 61.041 -64.6504
4.394532 61.994 -56.6121
4.760743 64.277 -56.6835
5.126954 66.171 -64.1215
5.493164 67.275 -73.4457
5.859375 67.735 -81.1710
6.225586 67.897 -85.5428
6.591797 68.184 -86.9236
6.958008 68.792 -87.7089
7.324219 69.539 -89.9120
7.690430 70.152 -93.5266
8.056641 70.523 -97.4289
8.422852 70.710 -100.6124
8.789063 70.849 -102.8115
9.155274 71.040 -104.5172
9.521485 71.278 -106.3973
9.887696 71.494 -108.6829
10.253907 71.640 -111.1342
10.620118 71.727 -113.4180
10.986329 71.797 -115.4313
11.352540 71.880 -117.3265
11.718751 71.973 -119.2911
12.084962 72.051 -121.3496
12.451173 72.104 -123.3769
12.817384 72.145 -125.2606
13.183595 72.190 -127.0124
13.549806 72.243 -128.7269
13.916017 72.295 -130.4578
14.282228 72.331 -132.1564
14.648439 72.353 -133.7318
15.014650 72.375 -135.1532
15.380861 72.405 -136.4838
15.747072 72.440 -137.8137
16.113283 72.469 -139.1720
16.479493 72.482 -140.5081
16.845704 72.481 -141.7535
17.211915 72.477 -142.8906
17.578126 72.478 -143.9627
17.944337 72.483 -145.0281
18.310548 72.489 -146.1125
18.676759 72.491 -147.2089
19.042970 72.491 -148.3062
19.409181 72.488 -149.4073
19.775392 72.480 -150.5117
20.141603 72.466 -151.5934
20.507814 72.448 -152.6113
20.874025 72.435 -153.5498
21.240236 72.435 -154.4482
21.606447 72.447 -155.3801
21.972658 72.461 -156.3934
22.338869 72.465 -157.4650
22.705080 72.452 -158.5124
23.071291 72.427 -159.4519
23.437502 72.404 -160.2559
23.803713 72.393 -160.9668
24.169924 72.397 -161.6622
24.536135 72.410 -162.4043
24.902346 72.423 -163.2106
25.268557 72.428 -164.0606
25.634768 72.424 -164.9158
26.000979 72.411 -165.7402
26.367190 72.394 -166.5114
26.733401 72.377 -167.2270
27.099612 72.364 -167.9075
27.465823 72.358 -168.5866
27.832033 72.356 -169.2927
28.198244 72.351 -170.0293
28.564455 72.342 -170.7755
28.930666 72.328 -171.4997
29.296877 72.312 -172.1831
29.663088 72.299 -172.8301
30.029299 72.290 -173.4598
30.395510 72.284 -174.0894
30.761721 72.279 -174.7245
31.127932 72.273 -175.3597
31.494143 72.265 -175.9859
31.860354 72.255 -176.5964
32.226565 72.245 -177.1887
32.592776 72.235 -177.7628
32.958987 72.225 -178.3232
33.325198 72.217 -178.8788
33.691409 72.208 -179.4386
34.057620 72.199 179.9962
34.423831 72.186 179.4339
34.790042 72.170 178.8872
35.156253 72.154 178.3632
35.522464 72.139 177.8582
35.888675 72.126 177.3608
36.254886 72.115 176.8627
36.621097 72.104 176.3625
36.987308 72.092 175.8643
37.353519 72.082 175.3699
37.719730 72.071 174.8778
38.085941 72.061 174.3853
38.452152 72.049 173.8944
38.818363 72.036 173.4131
39.184573 72.023 172.9473
39.550784 72.010 172.4971
39.916995 71.999 172.0538
40.283206 71.988 171.6086
40.649417 71.977 171.1584
41.015628 71.965 170.7079
41.381839 71.950 170.2649
41.748050 71.935 169.8339
42.114261 71.921 169.4135
42.480472 71.907 168.9979
42.846683 71.894 168.5803
43.212894 71.882 168.1566
43.579105 71.869 167.7257
43.945316 71.854 167.2914
44.311527 71.839 166.8605
44.677738 71.822 166.4405
45.043949 71.805 166.0350
45.410160 71.790 165.6412
45.776371 71.777 165.2512
46.142582 71.766 164.8577
46.508793 71.754 164.4589
46.875004 71.742 164.0596
47.241215 71.729 163.6677
47.607426 71.715 163.2875
47.973637 71.702 162.9182
48.339848 71.690 162.5553
48.706059 71.678 162.1956
49.072270 71.666 161.8395
49.438481 71.653 161.4890
49.804692 71.641 161.1451
50.170902 71.628 160.8064
50.537113 71.616 160.4693
50.903324 71.603 160.1312
51.269535 71.590 159.7922
51.635746 71.577 159.4541
52.001957 71.562 159.1194
52.368168 71.548 158.7888
52.734379 71.533 158.4609
53.100590 71.519 158.1336
53.466801 71.504 157.8048
53.833012 71.490 157.4741
54.199223 71.475 157.1429
54.565434 71.459 156.8136
54.931645 71.443 156.4885
55.297856 71.427 156.1693
55.664067 71.411 155.8553
56.030278 71.396 155.5453
56.396489 71.382 155.2362
56.762700 71.368 154.9255
57.128911 71.354 154.6119
57.495122 71.339 154.2984
57.861333 71.323 153.9899
58.227544 71.307 153.6921
58.593755 71.291 153.4064
58.959966 71.276 153.1286
59.326177 71.264 152.8497
59.692388 71.252 152.5624
60.058599 71.239 152.2654
60.424810 71.225 151.9655
60.791021 71.210 151.6716
61.157232 71.194 151.3888
61.523442 71.178 151.1147
61.889653 71.164 150.8423
62.255864 71.151 150.5655
62.622075 71.136 150.2845
62.988286 71.121 150.0049
63.354497 71.105 149.7328
63.720708 71.089 149.4706
64.086919 71.074 149.2145
64.453130 71.059 148.9595
64.819341 71.046 148.7024
65.185552 71.032 148.4435
65.551763 71.018 148.1851
65.917974 71.004 147.9288
66.284185 70.990 147.6743
66.650396 70.976 147.4200
67.016607 70.961 147.1655
67.382818 70.947 146.9124
67.749029 70.931 146.6633
68.115240 70.916 146.4197
68.481451 70.901 146.1808
68.847662 70.887 145.9437
69.213873 70.874 145.7045
69.580084 70.861 145.4615
69.946295 70.847 145.2157
70.312506 70.832 144.9706
70.678717 70.818 144.7298
71.044928 70.803 144.4941
71.411139 70.789 144.2609
71.777350 70.775 144.0262
72.143561 70.762 143.7865
72.509771 70.748 143.5425
72.875982 70.733 143.2990
73.242193 70.718 143.0616
73.608404 70.702 142.8336
73.974615 70.687 142.6129
74.340826 70.673 142.3942
74.707037 70.660 142.1721
75.073248 70.647 141.9444
75.439459 70.634 141.7131
75.805670 70.620 141.4825
76.171881 70.605 141.2568
76.538092 70.590 141.0369
76.904303 70.575 140.8218
77.270514 70.561 140.6094
77.636725 70.547 140.3984
78.002936 70.533 140.1888
78.369147 70.520 139.9810
78.735358 70.507 139.7743
79.101569 70.494 139.5672
79.467780 70.481 139.3577
79.833991 70.467 139.1455
80.200202 70.453 138.9324
80.566413 70.438 138.7223
80.932624 70.423 138.5194
81.298835 70.407 138.3254
81.665046 70.392 138.1381
82.031257 70.379 137.9526
82.397468 70.366 137.7639
82.763679 70.354 137.5692
83.129890 70.342 137.3694
83.496101 70.328 137.1684
83.862311 70.314 136.9704
84.228522 70.300 136.7779
84.594733 70.286 136.5898
84.960944 70.272 136.4032
85.327155 70.260 136.2142
85.693366 70.247 136.0211
86.059577 70.234 135.8248
86.425788 70.221 135.6282
86.791999 70.207 135.4343
87.158210 70.192 135.2446
87.524421 70.178 135.0579
87.890632 70.165 134.8723
88.256843 70.152 134.6861
88.623054 70.139 134.4991
88.989265 70.125 134.3126
89.355476 70.112 134.1276
89.721687 70.099 133.9437
90.087898 70.087 133.7594
90.454109 70.074 133.5729
90.820320 70.062 133.3836
91.186531 70.049 133.1931
91.552742 70.036 133.0042
91.918953 70.022 132.8198
92.285164 70.008 132.6407
92.651375 69.995 132.4661
93.017586 69.982 132.2939
93.383797 69.970 132.1220
93.750008 69.958 131.9492
94.116219 69.946 131.7755
94.482430 69.934 131.6008
94.848641 69.922 131.4257
95.214851 69.910 131.2510
95.581062 69.898 131.0775
95.947273 69.886 130.9064
96.313484 69.873 130.7386
96.679695 69.861 130.5747
97.045906 69.849 130.4141
97.412117 69.837 130.2553
97.778328 69.826 130.0966
98.144539 69.816 129.9365
98.510750 69.805 129.7742
98.876961 69.795 129.6095
99.243172 69.784 129.4430
99.609383 69.773 129.2756
99.975594 69.762 129.1083
100.341805 69.750 128.9426
100.708016 69.738 128.7794
101.074227 69.726 128.6193
101.440438 69.714 128.4620
101.806649 69.702 128.3068
102.172860 69.691 128.1527
102.539071 69.680 127.9987
102.905282 69.669 127.8439
103.271493 69.658 127.6879
103.637704 69.648 127.5310
104.003915 69.637 127.3736
104.370126 69.626 127.2164
104.736337 69.615 127.0598
105.102548 69.605 126.9036
105.468759 69.594 126.7471
105.834970 69.584 126.5895
106.201180 69.573 126.4302
106.567391 69.563 126.2695
106.933602 69.552 126.1083
107.299813 69.541 125.9481
107.666024 69.530 125.7899
108.032235 69.518 125.6341
108.398446 69.507 125.4807
108.764657 69.495 125.3296
109.130868 69.484 125.1808
109.497079 69.472 125.0344
109.863290 69.461 124.8904
110.229501 69.450 124.7480
110.595712 69.440 124.6068
110.961923 69.429 124.4655
111.328134 69.419 124.3239
111.694345 69.409 124.1818
112.060556 69.399 124.0394
112.426767 69.389 123.8972
112.792978 69.379 123.7554
113.159189 69.369 123.6143
113.525400 69.359 123.4739
113.891611 69.349 123.3344
114.257822 69.339 123.1957
114.624033 69.330 123.0578
114.990244 69.320 122.9205
115.356455 69.311 122.7835
115.722666 69.302 122.6467
116.088877 69.293 122.5097
116.455088 69.284 122.3723
116.821299 69.275 122.2341
117.187510 69.267 122.0950
117.553720 69.257 121.9547
117.919931 69.248 121.8138
118.286142 69.238 121.6731
118.652353 69.228 121.5339
119.018564 69.217 121.3973
119.384775 69.206 121.2641
119.750986 69.195 121.1343
120.117197 69.184 121.0074
120.483408 69.174 120.8822
120.849619 69.163 120.7579
121.215830 69.153 120.6336
121.582041 69.143 120.5092
121.948252 69.133 120.3845
122.314463 69.123 120.2595
122.680674 69.113 120.1339
123.046885 69.104 120.0072
123.413096 69.094 119.8792
123.779307 69.085 119.7497
124.145518 69.076 119.6189
124.511729 69.066 119.4875
124.877940 69.057 119.3561
125.244151 69.048 119.2255
125.610362 69.038 119.0960
125.976573 69.029 118.9677
126.342784 69.020 118.8404
126.708995 69.012 118.7137
127.075206 69.003 118.5876
127.441417 68.995 118.4619
127.807628 68.987 118.3365
128.173839 68.979 118.2116
128.540049 68.971 118.0872
128.906260 68.963 117.9631
129.272471 68.955 117.8397
129.638682 68.947 117.7165
130.004893 68.940 117.5936
130.371104 68.932 117.4708
130.737315 68.924 117.3479
131.103526 68.917 117.2249
131.469737 68.909 117.1016
131.835948 68.902 116.9779
132.202159 68.894 116.8541
132.568370 68.886 116.7301
132.934581 68.878 116.6063
133.300792 68.870 116.4828
133.667003 68.862 116.3602
134.033214 68.854 116.2383
134.399425 68.846 116.1169
134.765636 68.839 115.9958
135.131847 68.831 115.8746
135.498058 68.823 115.7531
135.864269 68.816 115.6313
136.230480 68.808 115.5095
136.596691 68.801 115.3877
136.962902 68.793 115.2664
137.329113 68.786 115.1454
137.695324 68.778 115.0247
138.061535 68.771 114.9039
138.427746 68.763 114.7831
138.793957 68.755 114.6623
139.160168 68.748 114.5419
139.526379 68.740 114.4220
139.892589 68.732 114.3029
140.258800 68.724 114.1846
140.625011 68.716 114.0671
140.991222 68.707 113.9506
141.357433 68.699 113.8352
141.723644 68.690 113.7214
142.089855 68.682 113.6092
142.456066 68.673 113.4986
142.822277 68.665 113.3892
143.188488 68.656 113.2807
143.554699 68.648 113.1725
143.920910 68.640 113.0646
144.287121 68.632 112.9567
144.653332 68.623 112.8490
145.019543 68.615 112.7417
145.385754 68.607 112.6349
145.751965 68.599 112.5288
146.118176 68.591 112.4233
146.484387 68.584 112.3186
146.850598 68.576 112.2145
147.216809 68.568 112.1110
147.583020 68.561 112.0080
147.949231 68.554 111.9056
148.315442 68.547 111.8038
148.681653 68.540 111.7024
149.047864 68.534 111.6012
149.414075 68.528 111.5001
149.780286 68.521 111.3991
150.146497 68.515 111.2984
150.512708 68.508 111.1982
