* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 6:16:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N5005 f. Bass Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.879 -23.1626
0.732422 69.965 -46.0683
1.098633 66.228 -68.0429
1.464844 58.666 -84.9644
1.831055 49.368 23.5870
2.197266 60.290 26.6138
2.563477 63.237 6.5668
2.929688 63.726 -14.1431
3.295899 62.805 -31.8177
3.662110 61.134 -41.6284
4.028321 60.205 -39.5417
4.394532 61.553 -35.5970
4.760743 63.822 -40.5528
5.126954 65.652 -50.7213
5.493164 66.804 -61.1419
5.859375 67.443 -68.9468
6.225586 67.907 -73.0390
6.591797 68.547 -74.4559
6.958008 69.444 -75.6411
7.324219 70.378 -78.0796
7.690430 71.131 -81.4903
8.056641 71.646 -84.8805
8.422852 71.998 -87.5334
8.789063 72.309 -89.4186
9.155274 72.644 -91.0470
9.521485 72.988 -92.9232
9.887696 73.287 -95.1453
10.253907 73.519 -97.4863
10.620118 73.705 -99.7137
10.986329 73.881 -101.8022
11.352540 74.068 -103.8961
11.718751 74.258 -106.1178
12.084962 74.433 -108.4403
12.451173 74.587 -110.7318
12.817384 74.732 -112.8859
13.183595 74.882 -114.9000
13.549806 75.041 -116.8389
13.916017 75.199 -118.7444
14.282228 75.347 -120.5907
14.648439 75.481 -122.3205
15.014650 75.608 -123.9084
15.380861 75.730 -125.3853
15.747072 75.848 -126.8038
16.113283 75.954 -128.1918
16.479493 76.045 -129.5397
16.845704 76.120 -130.8281
17.211915 76.184 -132.0583
17.578126 76.241 -133.2546
17.944337 76.289 -134.4424
18.310548 76.330 -135.6302
18.676759 76.364 -136.8133
19.042970 76.393 -137.9907
19.409181 76.420 -139.1716
19.775392 76.444 -140.3643
20.141603 76.465 -141.5610
20.507814 76.482 -142.7395
20.874025 76.499 -143.8796
21.240236 76.519 -144.9786
21.606447 76.543 -146.0493
21.972658 76.571 -147.1037
22.338869 76.599 -148.1407
22.705080 76.626 -149.1504
23.071291 76.652 -150.1273
23.437502 76.678 -151.0777
23.803713 76.700 -152.0109
24.169924 76.715 -152.9246
24.536135 76.723 -153.8003
24.902346 76.724 -154.6168
25.268557 76.723 -155.3707
25.634768 76.725 -156.0865
26.000979 76.731 -156.8071
26.367190 76.737 -157.5689
26.733401 76.738 -158.3803
27.099612 76.728 -159.2172
27.465823 76.708 -160.0368
27.832033 76.681 -160.8014
28.198244 76.655 -161.5010
28.564455 76.637 -162.1601
28.930666 76.629 -162.8251
29.296877 76.627 -163.5356
29.663088 76.625 -164.2993
30.029299 76.615 -165.0859
30.395510 76.597 -165.8461
30.761721 76.575 -166.5428
31.127932 76.556 -167.1730
31.494143 76.542 -167.7652
31.860354 76.534 -168.3542
32.226565 76.526 -168.9563
32.592776 76.515 -169.5623
32.958987 76.500 -170.1511
33.325198 76.481 -170.7091
33.691409 76.462 -171.2381
34.057620 76.442 -171.7494
34.423831 76.423 -172.2524
34.790042 76.404 -172.7520
35.156253 76.385 -173.2525
35.522464 76.366 -173.7616
35.888675 76.346 -174.2852
36.254886 76.323 -174.8195
36.621097 76.296 -175.3486
36.987308 76.268 -175.8559
37.353519 76.241 -176.3402
37.719730 76.219 -176.8202
38.085941 76.199 -177.3207
38.452152 76.178 -177.8499
38.818363 76.151 -178.3878
39.184573 76.119 -178.8982
39.550784 76.085 -179.3562
39.916995 76.054 -179.7686
40.283206 76.030 179.8313
40.649417 76.008 179.4114
41.015628 75.984 178.9689
41.381839 75.953 178.5338
41.748050 75.918 178.1444
42.114261 75.883 177.8148
42.480472 75.856 177.5195
42.846683 75.836 177.2100
43.212894 75.819 176.8506
43.579105 75.798 176.4440
43.945316 75.768 176.0280
44.311527 75.730 175.6459
44.677738 75.692 175.3159
45.043949 75.658 175.0201
45.410160 75.630 174.7227
45.776371 75.605 174.3986
46.142582 75.578 174.0508
46.508793 75.547 173.7026
46.875004 75.515 173.3757
47.241215 75.484 173.0718
47.607426 75.457 172.7732
47.973637 75.432 172.4598
48.339848 75.407 172.1257
48.706059 75.378 171.7833
49.072270 75.347 171.4528
49.438481 75.313 171.1465
49.804692 75.281 170.8626
50.170902 75.251 170.5892
50.537113 75.222 170.3158
50.903324 75.194 170.0394
51.269535 75.165 169.7642
51.635746 75.136 169.4945
52.001957 75.107 169.2305
52.368168 75.078 168.9680
52.734379 75.049 168.7032
53.100590 75.019 168.4367
53.466801 74.987 168.1740
53.833012 74.954 167.9218
54.199223 74.921 167.6833
54.565434 74.889 167.4561
54.931645 74.858 167.2332
55.297856 74.828 167.0079
55.664067 74.798 166.7779
56.030278 74.766 166.5475
56.396489 74.735 166.3231
56.762700 74.703 166.1077
57.128911 74.673 165.8965
57.495122 74.644 165.6791
57.861333 74.615 165.4485
58.227544 74.583 165.2082
58.593755 74.549 164.9738
58.959966 74.512 164.7636
59.326177 74.476 164.5853
59.692388 74.443 164.4280
60.058599 74.416 164.2671
60.424810 74.392 164.0795
60.791021 74.367 163.8594
61.157232 74.337 163.6232
61.523442 74.301 163.3998
61.889653 74.262 163.2134
62.255864 74.223 163.0695
62.622075 74.189 162.9529
62.988286 74.160 162.8385
63.354497 74.133 162.7072
63.720708 74.107 162.5547
64.086919 74.079 162.3910
64.453130 74.048 162.2300
64.819341 74.016 162.0804
65.185552 73.985 161.9410
65.551763 73.954 161.8042
65.917974 73.924 161.6631
66.284185 73.894 161.5168
66.650396 73.862 161.3703
67.016607 73.829 161.2302
67.382818 73.797 161.1002
67.749029 73.764 160.9791
68.115240 73.733 160.8633
68.481451 73.703 160.7491
68.847662 73.675 160.6348
69.213873 73.647 160.5190
69.580084 73.620 160.3999
69.946295 73.593 160.2747
70.312506 73.566 160.1422
70.678717 73.538 160.0059
71.044928 73.508 159.8733
71.411139 73.476 159.7525
71.777350 73.445 159.6466
72.143561 73.414 159.5510
72.509771 73.386 159.4557
72.875982 73.358 159.3525
73.242193 73.329 159.2413
73.608404 73.298 159.1309
73.974615 73.265 159.0333
74.340826 73.232 158.9547
74.707037 73.202 158.8900
75.073248 73.174 158.8254
75.439459 73.149 158.7475
75.805670 73.123 158.6524
76.171881 73.096 158.5482
76.538092 73.066 158.4492
76.904303 73.036 158.3658
77.270514 73.006 158.2974
77.636725 72.980 158.2336
78.002936 72.955 158.1619
78.369147 72.931 158.0771
78.735358 72.906 157.9839
79.101569 72.879 157.8928
79.467780 72.851 157.8118
79.833991 72.823 157.7415
80.200202 72.796 157.6754
80.566413 72.770 157.6068
80.932624 72.744 157.5345
81.298835 72.716 157.4638
81.665046 72.687 157.4027
82.031257 72.659 157.3548
82.397468 72.631 157.3159
82.763679 72.606 157.2769
83.129890 72.582 157.2289
83.496101 72.558 157.1693
83.862311 72.533 157.1027
84.228522 72.506 157.0370
84.594733 72.478 156.9783
84.960944 72.450 156.9280
85.327155 72.423 156.8835
85.693366 72.396 156.8415
86.059577 72.369 156.8010
86.425788 72.343 156.7625
86.791999 72.318 156.7267
87.158210 72.293 156.6920
87.524421 72.268 156.6554
87.890632 72.244 156.6149
88.256843 72.219 156.5721
88.623054 72.193 156.5316
88.989265 72.167 156.4985
89.355476 72.140 156.4748
89.721687 72.115 156.4583
90.087898 72.091 156.4440
90.454109 72.068 156.4273
90.820320 72.045 156.4066
91.186531 72.022 156.3830
91.552742 71.999 156.3587
91.918953 71.976 156.3347
92.285164 71.953 156.3103
92.651375 71.930 156.2838
93.017586 71.908 156.2544
93.383797 71.884 156.2230
93.750008 71.860 156.1921
94.116219 71.836 156.1651
94.482430 71.811 156.1443
94.848641 71.786 156.1306
95.214851 71.762 156.1230
95.581062 71.739 156.1187
95.947273 71.717 156.1146
96.313484 71.696 156.1082
96.679695 71.674 156.0985
97.045906 71.653 156.0867
97.412117 71.632 156.0745
97.778328 71.610 156.0632
98.144539 71.588 156.0535
98.510750 71.566 156.0452
98.876961 71.544 156.0386
99.243172 71.522 156.0345
99.609383 71.500 156.0340
99.975594 71.478 156.0374
100.341805 71.456 156.0435
100.708016 71.435 156.0494
101.074227 71.415 156.0528
101.440438 71.394 156.0527
101.806649 71.374 156.0505
102.172860 71.353 156.0485
102.539071 71.332 156.0484
102.905282 71.311 156.0501
103.271493 71.290 156.0519
103.637704 71.269 156.0521
104.003915 71.249 156.0510
104.370126 71.228 156.0508
104.736337 71.206 156.0547
105.102548 71.185 156.0646
105.468759 71.165 156.0798
105.834970 71.145 156.0974
106.201180 71.126 156.1142
106.567391 71.108 156.1284
106.933602 71.091 156.1400
107.299813 71.073 156.1499
107.666024 71.055 156.1594
108.032235 71.037 156.1690
108.398446 71.019 156.1790
108.764657 71.001 156.1900
109.130868 70.982 156.2031
109.497079 70.964 156.2188
109.863290 70.945 156.2368
110.229501 70.927 156.2557
110.595712 70.909 156.2738
110.961923 70.890 156.2906
111.328134 70.872 156.3073
111.694345 70.853 156.3259
112.060556 70.833 156.3483
112.426767 70.814 156.3746
112.792978 70.796 156.4034
113.159189 70.778 156.4323
113.525400 70.761 156.4595
113.891611 70.745 156.4841
114.257822 70.729 156.5063
114.624033 70.713 156.5263
114.990244 70.697 156.5443
115.356455 70.681 156.5602
115.722666 70.665 156.5746
116.088877 70.649 156.5894
116.455088 70.633 156.6064
116.821299 70.617 156.6274
117.187510 70.601 156.6529
117.553720 70.586 156.6813
117.919931 70.571 156.7103
118.286142 70.557 156.7375
118.652353 70.542 156.7620
119.018564 70.528 156.7845
119.384775 70.512 156.8074
119.750986 70.496 156.8329
120.117197 70.480 156.8630
120.483408 70.463 156.8976
120.849619 70.447 156.9356
121.215830 70.431 156.9747
121.582041 70.416 157.0131
121.948252 70.400 157.0496
122.314463 70.385 157.0844
122.680674 70.369 157.1182
123.046885 70.353 157.1520
123.413096 70.338 157.1861
123.779307 70.323 157.2198
124.145518 70.308 157.2527
124.511729 70.293 157.2846
124.877940 70.279 157.3159
125.244151 70.264 157.3474
125.610362 70.250 157.3799
125.976573 70.237 157.4133
126.342784 70.224 157.4465
126.708995 70.211 157.4782
127.075206 70.199 157.5078
127.441417 70.187 157.5357
127.807628 70.174 157.5630
128.173839 70.162 157.5912
128.540049 70.148 157.6214
128.906260 70.135 157.6539
129.272471 70.122 157.6885
129.638682 70.109 157.7249
130.004893 70.095 157.7628
130.371104 70.082 157.8019
130.737315 70.069 157.8419
131.103526 70.056 157.8821
131.469737 70.043 157.9221
131.835948 70.030 157.9615
132.202159 70.017 158.0003
132.568370 70.004 158.0386
132.934581 69.991 158.0763
133.300792 69.979 158.1127
133.667003 69.967 158.1472
134.033214 69.954 158.1793
134.399425 69.942 158.2092
134.765636 69.930 158.2382
135.131847 69.917 158.2678
135.498058 69.905 158.2995
135.864269 69.892 158.3339
136.230480 69.880 158.3710
136.596691 69.868 158.4106
136.962902 69.856 158.4525
137.329113 69.845 158.4966
137.695324 69.834 158.5428
138.061535 69.823 158.5905
138.427746 69.813 158.6382
138.793957 69.804 158.6844
139.160168 69.795 158.7276
139.526379 69.786 158.7671
139.892589 69.777 158.8033
140.258800 69.767 158.8378
140.625011 69.756 158.8725
140.991222 69.745 158.9089
141.357433 69.734 158.9478
141.723644 69.723 158.9891
142.089855 69.712 159.0320
142.456066 69.702 159.0755
142.822277 69.692 159.1186
143.188488 69.682 159.1607
143.554699 69.672 159.2014
143.920910 69.662 159.2407
144.287121 69.652 159.2788
144.653332 69.642 159.3163
145.019543 69.633 159.3534
145.385754 69.623 159.3907
145.751965 69.613 159.4287
146.118176 69.604 159.4677
146.484387 69.594 159.5082
146.850598 69.585 159.5503
147.216809 69.576 159.5935
147.583020 69.567 159.6372
147.949231 69.558 159.6806
148.315442 69.550 159.7233
148.681653 69.542 159.7653
149.047864 69.533 159.8070
149.414075 69.525 159.8489
149.780286 69.517 159.8912
150.146497 69.509 159.9337
