* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 6:54:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N5005 f. High Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.208 160.3252
0.732422 65.409 140.3839
1.098633 62.050 119.3565
1.464844 56.212 93.2121
1.831055 46.884 27.2447
2.197266 50.573 -56.7894
2.563477 53.305 -71.4692
2.929688 54.478 -63.3126
3.295899 57.075 -49.5244
3.662110 60.218 -45.4855
4.028321 62.584 -48.3549
4.394532 64.078 -53.1065
4.760743 64.971 -57.0893
5.126954 65.600 -59.4273
5.493164 66.241 -60.7370
5.859375 66.974 -62.3514
6.225586 67.707 -65.0625
6.591797 68.332 -68.7015
6.958008 68.818 -72.6369
7.324219 69.209 -76.3414
7.690430 69.578 -79.6633
8.056641 69.972 -82.7754
8.422852 70.390 -85.9133
8.789063 70.805 -89.1490
9.155274 71.191 -92.3777
9.521485 71.544 -95.4494
9.887696 71.872 -98.2879
10.253907 72.183 -100.9095
10.620118 72.475 -103.3621
10.986329 72.742 -105.6646
11.352540 72.981 -107.8033
11.718751 73.198 -109.7724
12.084962 73.397 -111.6066
12.451173 73.583 -113.3701
12.817384 73.750 -115.1154
13.183595 73.896 -116.8550
13.549806 74.018 -118.5693
13.916017 74.122 -120.2384
14.282228 74.214 -121.8670
14.648439 74.298 -123.4803
15.014650 74.377 -125.1018
15.380861 74.448 -126.7339
15.747072 74.512 -128.3571
16.113283 74.570 -129.9467
16.479493 74.628 -131.4890
16.845704 74.689 -132.9892
17.211915 74.753 -134.4643
17.578126 74.819 -135.9296
17.944337 74.881 -137.3846
18.310548 74.936 -138.8084
18.676759 74.983 -140.1669
19.042970 75.023 -141.4333
19.409181 75.062 -142.6074
19.775392 75.103 -143.7212
20.141603 75.145 -144.8182
20.507814 75.179 -145.9191
20.874025 75.202 -147.0027
21.240236 75.213 -148.0202
21.606447 75.219 -148.9403
21.972658 75.233 -149.7896
22.338869 75.259 -150.6517
22.705080 75.292 -151.6160
23.071291 75.317 -152.7117
23.437502 75.320 -153.8804
23.803713 75.299 -155.0095
24.169924 75.264 -156.0035
24.536135 75.234 -156.8463
24.902346 75.222 -157.6107
25.268557 75.230 -158.4067
25.634768 75.245 -159.3051
26.000979 75.252 -160.2961
26.367190 75.243 -161.3048
26.733401 75.219 -162.2453
27.099612 75.189 -163.0716
27.465823 75.164 -163.7962
27.832033 75.148 -164.4698
28.198244 75.139 -165.1422
28.564455 75.131 -165.8333
28.930666 75.119 -166.5310
29.296877 75.103 -167.2088
29.663088 75.085 -167.8508
30.029299 75.068 -168.4644
30.395510 75.056 -169.0770
30.761721 75.046 -169.7182
31.127932 75.034 -170.4012
31.494143 75.014 -171.1125
31.860354 74.986 -171.8182
32.226565 74.950 -172.4834
32.592776 74.914 -173.0931
32.958987 74.881 -173.6608
33.325198 74.854 -174.2185
33.691409 74.830 -174.7919
34.057620 74.804 -175.3808
34.423831 74.773 -175.9586
34.790042 74.740 -176.4946
35.156253 74.711 -176.9806
35.522464 74.688 -177.4439
35.888675 74.673 -177.9311
36.254886 74.660 -178.4754
36.621097 74.640 -179.0700
36.987308 74.607 -179.6689
37.353519 74.565 179.7846
37.719730 74.520 179.3216
38.085941 74.481 178.9269
38.452152 74.452 178.5493
38.818363 74.431 178.1348
39.184573 74.411 177.6592
39.550784 74.386 177.1380
39.916995 74.352 176.6110
40.283206 74.310 176.1159
40.649417 74.268 175.6679
41.015628 74.227 175.2570
41.381839 74.191 174.8598
41.748050 74.157 174.4567
42.114261 74.124 174.0421
42.480472 74.088 173.6248
42.846683 74.049 173.2213
43.212894 74.009 172.8458
43.579105 73.969 172.5036
43.945316 73.933 172.1871
44.311527 73.900 171.8784
44.677738 73.872 171.5577
45.043949 73.845 171.2120
45.410160 73.815 170.8430
45.776371 73.781 170.4652
46.142582 73.743 170.0977
46.508793 73.703 169.7529
46.875004 73.662 169.4307
47.241215 73.624 169.1205
47.607426 73.586 168.8108
47.973637 73.549 168.4974
48.339848 73.510 168.1856
48.706059 73.470 167.8842
49.072270 73.431 167.5978
49.438481 73.393 167.3232
49.804692 73.357 167.0515
50.170902 73.322 166.7757
50.537113 73.286 166.4958
50.903324 73.250 166.2189
51.269535 73.212 165.9534
51.635746 73.175 165.7029
52.001957 73.139 165.4619
52.368168 73.105 165.2195
52.734379 73.072 164.9659
53.100590 73.037 164.6994
53.466801 72.999 164.4282
53.833012 72.958 164.1668
54.199223 72.914 163.9271
54.565434 72.871 163.7116
54.931645 72.830 163.5123
55.297856 72.791 163.3156
55.664067 72.754 163.1117
56.030278 72.717 162.8998
56.396489 72.679 162.6870
56.762700 72.641 162.4810
57.128911 72.604 162.2820
57.495122 72.569 162.0809
57.861333 72.534 161.8666
58.227544 72.499 161.6357
58.593755 72.459 161.3998
58.959966 72.415 161.1817
59.326177 72.368 161.0031
59.692388 72.323 160.8704
60.058599 72.284 160.7687
60.424810 72.252 160.6682
60.791021 72.225 160.5395
61.157232 72.199 160.3695
61.523442 72.169 160.1673
61.889653 72.134 159.9573
62.255864 72.093 159.7651
62.622075 72.050 159.6050
62.988286 72.008 159.4753
63.354497 71.968 159.3638
63.720708 71.931 159.2562
64.086919 71.896 159.1438
64.453130 71.861 159.0243
64.819341 71.827 158.8992
65.185552 71.793 158.7706
65.551763 71.757 158.6408
65.917974 71.721 158.5133
66.284185 71.684 158.3931
66.650396 71.647 158.2835
67.016607 71.611 158.1835
67.382818 71.576 158.0862
67.749029 71.543 157.9834
68.115240 71.510 157.8710
68.481451 71.475 157.7530
68.847662 71.439 157.6393
69.213873 71.401 157.5388
69.580084 71.364 157.4523
69.946295 71.329 157.3715
70.312506 71.296 157.2850
70.678717 71.262 157.1862
71.044928 71.227 157.0779
71.411139 71.189 156.9711
71.777350 71.150 156.8784
72.143561 71.109 156.8073
72.509771 71.070 156.7578
72.875982 71.033 156.7231
73.242193 71.000 156.6931
73.608404 70.970 156.6560
73.974615 70.943 156.6012
74.340826 70.916 156.5214
74.707037 70.888 156.4174
75.073248 70.856 156.3000
75.439459 70.819 156.1879
75.805670 70.779 156.0999
76.171881 70.739 156.0445
76.538092 70.701 156.0142
76.904303 70.667 155.9888
77.270514 70.637 155.9475
77.636725 70.606 155.8824
78.002936 70.572 155.8033
78.369147 70.535 155.7318
78.735358 70.495 155.6872
79.101569 70.456 155.6736
79.467780 70.421 155.6778
79.833991 70.391 155.6788
80.200202 70.363 155.6614
80.566413 70.336 155.6246
80.932624 70.307 155.5785
81.298835 70.277 155.5347
81.665046 70.246 155.4967
82.031257 70.217 155.4597
82.397468 70.187 155.4186
82.763679 70.156 155.3749
83.129890 70.124 155.3381
83.496101 70.090 155.3179
83.862311 70.058 155.3147
84.228522 70.029 155.3183
84.594733 70.002 155.3145
84.960944 69.974 155.2975
85.327155 69.945 155.2744
85.693366 69.914 155.2606
86.059577 69.882 155.2662
86.425788 69.852 155.2878
86.791999 69.825 155.3095
87.158210 69.801 155.3152
87.524421 69.776 155.3005
87.890632 69.747 155.2767
88.256843 69.716 155.2623
88.623054 69.684 155.2697
88.989265 69.654 155.2968
89.355476 69.627 155.3283
89.721687 69.603 155.3472
90.087898 69.579 155.3447
90.454109 69.554 155.3252
90.820320 69.526 155.3019
91.186531 69.495 155.2884
91.552742 69.462 155.2926
91.918953 69.430 155.3148
92.285164 69.400 155.3499
92.651375 69.371 155.3918
93.017586 69.344 155.4347
93.383797 69.318 155.4739
93.750008 69.294 155.5059
94.116219 69.269 155.5291
94.482430 69.245 155.5443
94.848641 69.219 155.5554
95.214851 69.192 155.5672
95.581062 69.164 155.5839
95.947273 69.136 155.6070
96.313484 69.108 155.6359
96.679695 69.081 155.6689
97.045906 69.054 155.7050
97.412117 69.028 155.7441
97.778328 69.002 155.7859
98.144539 68.978 155.8288
98.510750 68.954 155.8693
98.876961 68.932 155.9046
99.243172 68.909 155.9342
99.609383 68.886 155.9611
99.975594 68.863 155.9899
100.341805 68.839 156.0242
100.708016 68.815 156.0640
101.074227 68.793 156.1058
101.440438 68.771 156.1458
101.806649 68.749 156.1826
102.172860 68.726 156.2192
102.539071 68.703 156.2606
102.905282 68.680 156.3098
103.271493 68.657 156.3655
103.637704 68.636 156.4222
104.003915 68.615 156.4737
104.370126 68.595 156.5172
104.736337 68.573 156.5552
105.102548 68.550 156.5939
105.468759 68.526 156.6399
105.834970 68.502 156.6963
106.201180 68.479 156.7617
106.567391 68.457 156.8314
106.933602 68.436 156.8995
107.299813 68.417 156.9612
107.666024 68.399 157.0138
108.032235 68.380 157.0574
108.398446 68.361 157.0946
108.764657 68.340 157.1295
109.130868 68.319 157.1668
109.497079 68.297 157.2103
109.863290 68.275 157.2619
110.229501 68.253 157.3208
110.595712 68.233 157.3845
110.961923 68.214 157.4499
111.328134 68.196 157.5146
111.694345 68.178 157.5774
112.060556 68.161 157.6379
112.426767 68.144 157.6965
112.792978 68.126 157.7546
113.159189 68.108 157.8140
113.525400 68.090 157.8766
113.891611 68.072 157.9442
114.257822 68.054 158.0166
114.624033 68.037 158.0925
114.990244 68.020 158.1696
115.356455 68.003 158.2464
115.722666 67.987 158.3223
116.088877 67.971 158.3976
116.455088 67.955 158.4726
116.821299 67.939 158.5463
117.187510 67.924 158.6167
117.553720 67.909 158.6819
117.919931 67.893 158.7415
118.286142 67.877 158.7970
118.652353 67.860 158.8514
119.018564 67.843 158.9078
119.384775 67.826 158.9677
119.750986 67.809 159.0309
120.117197 67.792 159.0958
120.483408 67.776 159.1605
120.849619 67.761 159.2239
121.215830 67.746 159.2857
121.582041 67.731 159.3466
121.948252 67.717 159.4075
122.314463 67.703 159.4691
122.680674 67.688 159.5314
123.046885 67.674 159.5940
123.413096 67.660 159.6570
123.779307 67.646 159.7214
124.145518 67.631 159.7891
124.511729 67.616 159.8619
124.877940 67.602 159.9409
125.244151 67.587 160.0250
125.610362 67.574 160.1116
125.976573 67.561 160.1972
126.342784 67.549 160.2796
126.708995 67.536 160.3584
127.075206 67.523 160.4352
127.441417 67.509 160.5125
127.807628 67.495 160.5916
128.173839 67.481 160.6727
128.540049 67.467 160.7542
128.906260 67.454 160.8341
129.272471 67.441 160.9110
129.638682 67.428 160.9848
130.004893 67.415 161.0565
130.371104 67.401 161.1276
130.737315 67.388 161.1997
131.103526 67.374 161.2737
131.469737 67.361 161.3497
131.835948 67.349 161.4267
132.202159 67.337 161.5034
132.568370 67.326 161.5786
132.934581 67.315 161.6515
133.300792 67.305 161.7224
133.667003 67.295 161.7920
134.033214 67.284 161.8615
134.399425 67.274 161.9323
134.765636 67.263 162.0049
135.131847 67.253 162.0797
135.498058 67.242 162.1562
135.864269 67.233 162.2342
136.230480 67.223 162.3129
136.596691 67.213 162.3917
136.962902 67.204 162.4701
137.329113 67.195 162.5479
137.695324 67.185 162.6249
138.061535 67.176 162.7010
138.427746 67.167 162.7759
138.793957 67.157 162.8499
139.160168 67.148 162.9230
139.526379 67.138 162.9955
139.892589 67.129 163.0678
140.258800 67.119 163.1404
140.625011 67.109 163.2134
140.991222 67.100 163.2866
141.357433 67.091 163.3594
141.723644 67.083 163.4307
142.089855 67.075 163.4998
142.456066 67.067 163.5663
142.822277 67.058 163.6308
143.188488 67.050 163.6948
143.554699 67.041 163.7602
143.920910 67.032 163.8289
144.287121 67.023 163.9017
144.653332 67.015 163.9783
145.019543 67.007 164.0575
145.385754 67.000 164.1376
145.751965 66.993 164.2171
146.118176 66.986 164.2955
146.484387 66.980 164.3722
146.850598 66.974 164.4472
147.216809 66.967 164.5204
147.583020 66.961 164.5917
147.949231 66.954 164.6614
148.315442 66.947 164.7303
148.681653 66.940 164.7994
149.047864 66.932 164.8696
149.414075 66.924 164.9409
149.780286 66.917 165.0128
150.146497 66.910 165.0843
150.512708 66.903 165.1546
