* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 6:54:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N5005 f. High Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.549 -23.3488
0.732422 69.632 -46.4464
1.098633 65.882 -68.6243
1.464844 58.240 -85.7153
1.831055 49.424 25.0478
2.197266 60.207 25.9312
2.563477 63.173 5.6150
2.929688 63.729 -15.1906
3.295899 62.915 -32.8710
3.662110 61.392 -42.8067
4.028321 60.570 -41.3627
4.394532 61.871 -37.8332
4.760743 64.079 -42.4801
5.126954 65.886 -52.2109
5.493164 67.040 -62.3178
5.859375 67.691 -70.0052
6.225586 68.164 -74.1966
6.591797 68.791 -75.8414
6.958008 69.651 -77.2111
7.324219 70.547 -79.7165
7.690430 71.270 -83.1161
8.056641 71.766 -86.4690
8.422852 72.111 -89.0875
8.789063 72.420 -90.9576
9.155274 72.759 -92.6031
9.521485 73.107 -94.5364
9.887696 73.408 -96.8506
10.253907 73.634 -99.2949
10.620118 73.804 -101.5966
10.986329 73.961 -103.6927
11.352540 74.131 -105.7216
11.718751 74.315 -107.8437
12.084962 74.493 -110.0911
12.451173 74.654 -112.3744
12.817384 74.800 -114.5887
13.183595 74.940 -116.6906
13.549806 75.079 -118.6890
13.916017 75.214 -120.5898
14.282228 75.342 -122.3717
14.648439 75.466 -124.0166
15.014650 75.591 -125.5483
15.380861 75.717 -127.0279
15.747072 75.835 -128.5050
16.113283 75.934 -129.9746
16.479493 76.011 -131.3868
16.845704 76.070 -132.6953
17.211915 76.121 -133.9024
17.578126 76.171 -135.0580
17.944337 76.219 -136.2204
18.310548 76.260 -137.4149
18.676759 76.292 -138.6268
19.042970 76.314 -139.8244
19.409181 76.332 -140.9890
19.775392 76.351 -142.1268
20.141603 76.375 -143.2598
20.507814 76.401 -144.4093
20.874025 76.428 -145.5809
21.240236 76.451 -146.7598
21.606447 76.469 -147.9141
21.972658 76.482 -149.0085
22.338869 76.496 -150.0241
22.705080 76.515 -150.9727
23.071291 76.540 -151.8929
23.437502 76.567 -152.8245
23.803713 76.590 -153.7783
24.169924 76.600 -154.7267
24.536135 76.598 -155.6224
24.902346 76.587 -156.4318
25.268557 76.575 -157.1570
25.634768 76.566 -157.8309
26.000979 76.562 -158.4930
26.367190 76.560 -159.1682
26.733401 76.557 -159.8638
27.099612 76.553 -160.5798
27.465823 76.547 -161.3183
27.832033 76.539 -162.0809
28.198244 76.527 -162.8608
28.564455 76.511 -163.6413
28.930666 76.492 -164.4037
29.296877 76.471 -165.1375
29.663088 76.452 -165.8431
30.029299 76.435 -166.5258
30.395510 76.421 -167.1882
30.761721 76.407 -167.8292
31.127932 76.396 -168.4491
31.494143 76.386 -169.0518
31.860354 76.376 -169.6417
32.226565 76.365 -170.2182
32.592776 76.352 -170.7752
32.958987 76.337 -171.3075
33.325198 76.321 -171.8173
33.691409 76.304 -172.3137
34.057620 76.284 -172.8029
34.423831 76.262 -173.2815
34.790042 76.237 -173.7399
35.156253 76.211 -174.1746
35.522464 76.188 -174.5985
35.888675 76.168 -175.0367
36.254886 76.148 -175.5094
36.621097 76.125 -176.0155
36.987308 76.096 -176.5315
37.353519 76.062 -177.0277
37.719730 76.028 -177.4896
38.085941 75.997 -177.9282
38.452152 75.972 -178.3693
38.818363 75.949 -178.8311
39.184573 75.925 -179.3077
39.550784 75.898 -179.7728
39.916995 75.871 179.7988
40.283206 75.849 179.4071
40.649417 75.835 179.0213
41.015628 75.828 178.5981
41.381839 75.820 178.1135
41.748050 75.805 177.5827
42.114261 75.778 177.0534
42.480472 75.741 176.5743
42.846683 75.701 176.1632
43.212894 75.665 175.7968
43.579105 75.632 175.4333
43.945316 75.597 175.0495
44.311527 75.555 174.6630
44.677738 75.503 174.3214
45.043949 75.449 174.0646
45.410160 75.401 173.8908
45.776371 75.367 173.7520
46.142582 75.345 173.5831
46.508793 75.329 173.3426
46.875004 75.312 173.0333
47.241215 75.289 172.6902
47.607426 75.260 172.3502
47.973637 75.230 172.0279
48.339848 75.202 171.7132
48.706059 75.175 171.3892
49.072270 75.149 171.0499
49.438481 75.122 170.7046
49.804692 75.093 170.3670
50.170902 75.065 170.0415
50.537113 75.039 169.7182
50.903324 75.016 169.3812
51.269535 74.990 169.0232
51.635746 74.960 168.6544
52.001957 74.923 168.3011
52.368168 74.881 167.9940
52.734379 74.836 167.7539
53.100590 74.795 167.5814
53.466801 74.761 167.4550
53.833012 74.736 167.3398
54.199223 74.719 167.2016
54.565434 74.705 167.0208
54.931645 74.690 166.7969
55.297856 74.671 166.5438
55.664067 74.646 166.2783
56.030278 74.616 166.0103
56.396489 74.582 165.7433
56.762700 74.542 165.4823
57.128911 74.497 165.2410
57.495122 74.447 165.0406
57.861333 74.397 164.8973
58.227544 74.353 164.8053
58.593755 74.319 164.7319
58.959966 74.296 164.6298
59.326177 74.278 164.4630
59.692388 74.257 164.2289
60.058599 74.230 163.9612
60.424810 74.194 163.7098
60.791021 74.155 163.5101
61.157232 74.121 163.3611
61.523442 74.095 163.2275
61.889653 74.077 163.0633
62.255864 74.061 162.8439
62.622075 74.039 162.5830
62.988286 74.008 162.3239
63.354497 73.971 162.1111
63.720708 73.933 161.9617
64.086919 73.900 161.8560
64.453130 73.874 161.7540
64.819341 73.852 161.6241
65.185552 73.827 161.4645
65.551763 73.797 161.3003
65.917974 73.763 161.1600
66.284185 73.729 161.0531
66.650396 73.698 160.9648
67.016607 73.670 160.8713
67.382818 73.643 160.7607
67.749029 73.615 160.6390
68.115240 73.588 160.5157
68.481451 73.562 160.3870
68.847662 73.538 160.2322
69.213873 73.512 160.0355
69.580084 73.480 159.8093
69.946295 73.439 159.5985
70.312506 73.393 159.4509
70.678717 73.352 159.3762
71.044928 73.322 159.3275
71.411139 73.305 159.2288
71.777350 73.289 159.0333
72.143561 73.261 158.7676
72.509771 73.214 158.5247
72.875982 73.154 158.4057
73.242193 73.097 158.4502
73.608404 73.061 158.6048
73.974615 73.051 158.7550
74.340826 73.059 158.7975
74.707037 73.068 158.6992
75.073248 73.065 158.5046
75.439459 73.047 158.2940
75.805670 73.019 158.1285
76.171881 72.988 158.0211
76.538092 72.959 157.9447
76.904303 72.933 157.8649
77.270514 72.906 157.7678
77.636725 72.875 157.6659
78.002936 72.839 157.5847
78.369147 72.800 157.5430
78.735358 72.765 157.5403
79.101569 72.735 157.5567
79.467780 72.713 157.5610
79.833991 72.696 157.5244
80.200202 72.679 157.4325
80.566413 72.657 157.2945
80.932624 72.627 157.1415
81.298835 72.589 157.0142
81.665046 72.547 156.9427
82.031257 72.509 156.9295
82.397468 72.480 156.9467
82.763679 72.460 156.9513
83.129890 72.446 156.9089
83.496101 72.432 156.8114
83.862311 72.412 156.6778
84.228522 72.385 156.5408
84.594733 72.353 156.4282
84.960944 72.318 156.3531
85.327155 72.283 156.3142
85.693366 72.249 156.3033
86.059577 72.219 156.3120
86.425788 72.191 156.3326
86.791999 72.167 156.3571
87.158210 72.145 156.3755
87.524421 72.125 156.3800
87.890632 72.106 156.3688
88.256843 72.085 156.3472
88.623054 72.063 156.3234
88.989265 72.041 156.3015
89.355476 72.021 156.2782
89.721687 72.001 156.2442
90.087898 71.982 156.1920
90.454109 71.962 156.1218
90.820320 71.939 156.0425
91.186531 71.913 155.9673
91.552742 71.886 155.9063
91.918953 71.859 155.8622
92.285164 71.834 155.8305
92.651375 71.811 155.8036
93.017586 71.790 155.7747
93.383797 71.770 155.7399
93.750008 71.751 155.6982
94.116219 71.732 155.6504
94.482430 71.711 155.5988
94.848641 71.690 155.5475
95.214851 71.667 155.5024
95.581062 71.642 155.4686
95.947273 71.618 155.4490
96.313484 71.594 155.4417
96.679695 71.571 155.4418
97.045906 71.549 155.4431
97.412117 71.528 155.4409
97.778328 71.507 155.4335
98.144539 71.486 155.4222
98.510750 71.464 155.4097
98.876961 71.441 155.3987
99.243172 71.419 155.3911
99.609383 71.396 155.3870
99.975594 71.374 155.3846
100.341805 71.353 155.3810
100.708016 71.333 155.3728
101.074227 71.313 155.3586
101.440438 71.292 155.3400
101.806649 71.271 155.3212
102.172860 71.250 155.3070
102.539071 71.228 155.3001
102.905282 71.208 155.2991
103.271493 71.188 155.2996
103.637704 71.170 155.2970
104.003915 71.152 155.2894
104.370126 71.133 155.2784
104.736337 71.114 155.2682
105.102548 71.094 155.2615
105.468759 71.073 155.2587
105.834970 71.053 155.2574
106.201180 71.033 155.2550
106.567391 71.012 155.2514
106.933602 70.991 155.2490
107.299813 70.968 155.2514
107.666024 70.945 155.2612
108.032235 70.922 155.2784
108.398446 70.900 155.3005
108.764657 70.879 155.3247
109.130868 70.858 155.3494
109.497079 70.838 155.3737
109.863290 70.819 155.3972
110.229501 70.801 155.4190
110.595712 70.784 155.4373
110.961923 70.767 155.4503
111.328134 70.751 155.4572
111.694345 70.734 155.4584
112.060556 70.717 155.4554
112.426767 70.700 155.4508
112.792978 70.682 155.4472
113.159189 70.664 155.4474
113.525400 70.645 155.4530
113.891611 70.627 155.4644
114.257822 70.609 155.4799
114.624033 70.591 155.4972
114.990244 70.575 155.5148
115.356455 70.558 155.5328
115.722666 70.542 155.5522
116.088877 70.525 155.5739
116.455088 70.510 155.5966
116.821299 70.494 155.6176
117.187510 70.479 155.6345
117.553720 70.464 155.6476
117.919931 70.447 155.6599
118.286142 70.430 155.6760
118.652353 70.412 155.6983
119.018564 70.395 155.7257
119.384775 70.378 155.7542
119.750986 70.362 155.7795
120.117197 70.345 155.8007
120.483408 70.327 155.8205
120.849619 70.309 155.8439
121.215830 70.290 155.8747
121.582041 70.271 155.9131
121.948252 70.253 155.9560
122.314463 70.237 155.9983
122.680674 70.221 156.0361
123.046885 70.206 156.0681
123.413096 70.190 156.0952
123.779307 70.175 156.1193
124.145518 70.159 156.1417
124.511729 70.144 156.1622
124.877940 70.128 156.1803
125.244151 70.112 156.1964
125.610362 70.095 156.2124
125.976573 70.078 156.2316
126.342784 70.061 156.2570
126.708995 70.044 156.2896
127.075206 70.028 156.3276
127.441417 70.013 156.3673
127.807628 69.999 156.4055
128.173839 69.986 156.4407
128.540049 69.973 156.4737
128.906260 69.961 156.5059
129.272471 69.948 156.5380
129.638682 69.936 156.5689
130.004893 69.925 156.5969
130.371104 69.913 156.6208
130.737315 69.901 156.6417
131.103526 69.889 156.6623
131.469737 69.875 156.6852
131.835948 69.862 156.7116
132.202159 69.849 156.7407
132.568370 69.836 156.7702
132.934581 69.823 156.7989
133.300792 69.810 156.8267
133.667003 69.797 156.8552
134.033214 69.783 156.8859
134.399425 69.770 156.9196
134.765636 69.757 156.9558
135.131847 69.744 156.9929
135.498058 69.732 157.0292
135.864269 69.720 157.0639
136.230480 69.708 157.0967
136.596691 69.696 157.1283
136.962902 69.683 157.1596
137.329113 69.671 157.1915
137.695324 69.659 157.2248
138.061535 69.646 157.2596
138.427746 69.634 157.2957
138.793957 69.622 157.3319
139.160168 69.610 157.3674
139.526379 69.599 157.4019
139.892589 69.587 157.4355
140.258800 69.575 157.4690
140.625011 69.563 157.5033
140.991222 69.551 157.5387
141.357433 69.538 157.5750
141.723644 69.527 157.6114
142.089855 69.515 157.6473
142.456066 69.503 157.6825
142.822277 69.491 157.7171
143.188488 69.479 157.7515
143.554699 69.467 157.7866
143.920910 69.455 157.8227
144.287121 69.443 157.8603
144.653332 69.431 157.8992
145.019543 69.419 157.9389
145.385754 69.408 157.9787
145.751965 69.397 158.0181
146.118176 69.386 158.0569
146.484387 69.375 158.0951
146.850598 69.364 158.1330
147.216809 69.353 158.1707
147.583020 69.342 158.2083
147.949231 69.331 158.2454
148.315442 69.321 158.2821
148.681653 69.310 158.3189
149.047864 69.299 158.3564
149.414075 69.288 158.3953
149.780286 69.277 158.4359
150.146497 69.266 158.4783
