* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 6:51:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N5005 f. Mid High Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.266 -23.3853
0.732422 69.349 -46.5339
1.098633 65.597 -68.8122
1.464844 57.951 -86.2520
1.831055 48.951 26.0786
2.197266 59.874 26.2872
2.563477 62.840 5.8051
2.929688 63.386 -15.0887
3.295899 62.553 -32.8180
3.662110 61.000 -42.7021
4.028321 60.166 -41.0085
4.394532 61.497 -37.3112
4.760743 63.731 -42.0145
5.126954 65.545 -51.8467
5.493164 66.694 -62.0391
5.859375 67.331 -69.7784
6.225586 67.782 -73.9590
6.591797 68.390 -75.5097
6.958008 69.241 -76.7366
7.324219 70.138 -79.1110
7.690430 70.870 -82.4247
8.056641 71.378 -85.7496
8.422852 71.732 -88.4015
8.789063 72.044 -90.3462
9.155274 72.377 -92.0603
9.521485 72.716 -94.0115
9.887696 73.011 -96.2888
10.253907 73.243 -98.6811
10.620118 73.430 -100.9771
10.986329 73.606 -103.1566
11.352540 73.789 -105.3473
11.718751 73.970 -107.6447
12.084962 74.133 -110.0045
12.451173 74.276 -112.2958
12.817384 74.413 -114.4277
13.183595 74.557 -116.4154
13.549806 74.711 -118.3323
13.916017 74.863 -120.2174
14.282228 75.005 -122.0377
14.648439 75.134 -123.7355
15.014650 75.256 -125.2946
15.380861 75.375 -126.7580
15.747072 75.488 -128.1823
16.113283 75.587 -129.5849
16.479493 75.667 -130.9377
16.845704 75.731 -132.2071
17.211915 75.786 -133.3964
17.578126 75.838 -134.5485
17.944337 75.888 -135.7132
18.310548 75.931 -136.9134
18.676759 75.964 -138.1398
19.042970 75.987 -139.3700
19.409181 76.005 -140.5870
19.775392 76.020 -141.7844
20.141603 76.034 -142.9603
20.507814 76.051 -144.1161
20.874025 76.071 -145.2593
21.240236 76.094 -146.4006
21.606447 76.116 -147.5408
21.972658 76.134 -148.6587
22.338869 76.147 -149.7154
22.705080 76.159 -150.6802
23.071291 76.176 -151.5569
23.437502 76.201 -152.3882
23.803713 76.234 -153.2276
24.169924 76.264 -154.1039
24.536135 76.286 -155.0035
24.902346 76.294 -155.8869
25.268557 76.293 -156.7194
25.634768 76.286 -157.4940
26.000979 76.279 -158.2298
26.367190 76.271 -158.9532
26.733401 76.262 -159.6813
27.099612 76.251 -160.4176
27.465823 76.238 -161.1594
27.832033 76.223 -161.9064
28.198244 76.206 -162.6598
28.564455 76.186 -163.4165
28.930666 76.163 -164.1641
29.296877 76.138 -164.8837
29.663088 76.113 -165.5604
30.029299 76.093 -166.1940
30.395510 76.080 -166.8028
30.761721 76.074 -167.4154
31.127932 76.071 -168.0532
31.494143 76.067 -168.7157
31.860354 76.057 -169.3798
32.226565 76.042 -170.0146
32.592776 76.024 -170.6035
32.958987 76.008 -171.1555
33.325198 75.993 -171.6969
33.691409 75.978 -172.2467
34.057620 75.957 -172.7987
34.423831 75.930 -173.3254
34.790042 75.901 -173.8031
35.156253 75.875 -174.2374
35.522464 75.856 -174.6664
35.888675 75.842 -175.1348
36.254886 75.826 -175.6604
36.621097 75.802 -176.2188
36.987308 75.768 -176.7608
37.353519 75.730 -177.2477
37.719730 75.696 -177.6796
38.085941 75.669 -178.0947
38.452152 75.650 -178.5404
38.818363 75.632 -179.0398
39.184573 75.607 -179.5755
39.550784 75.573 179.8984
39.916995 75.532 179.4276
40.283206 75.491 179.0309
40.649417 75.457 178.6907
41.015628 75.433 178.3660
41.381839 75.416 178.0163
41.748050 75.401 177.6227
42.114261 75.383 177.1949
42.480472 75.360 176.7596
42.846683 75.331 176.3426
43.212894 75.301 175.9538
43.579105 75.271 175.5864
43.945316 75.243 175.2269
44.311527 75.214 174.8681
44.677738 75.184 174.5145
45.043949 75.153 174.1760
45.410160 75.122 173.8567
45.776371 75.093 173.5496
46.142582 75.066 173.2402
46.508793 75.040 172.9183
46.875004 75.012 172.5853
47.241215 74.982 172.2535
47.607426 74.949 171.9363
47.973637 74.916 171.6386
48.339848 74.885 171.3544
48.706059 74.856 171.0718
49.072270 74.827 170.7817
49.438481 74.798 170.4834
49.804692 74.767 170.1837
50.170902 74.735 169.8915
50.537113 74.702 169.6124
50.903324 74.670 169.3458
51.269535 74.639 169.0856
51.635746 74.610 168.8243
52.001957 74.581 168.5571
52.368168 74.552 168.2852
52.734379 74.521 168.0148
53.100590 74.490 167.7537
53.466801 74.458 167.5054
53.833012 74.427 167.2660
54.199223 74.397 167.0273
54.565434 74.367 166.7845
54.931645 74.335 166.5424
55.297856 74.301 166.3147
55.664067 74.267 166.1135
56.030278 74.236 165.9361
56.396489 74.210 165.7597
56.762700 74.189 165.5522
57.128911 74.168 165.2932
57.495122 74.140 164.9926
57.861333 74.102 164.6897
58.227544 74.056 164.4335
58.593755 74.007 164.2526
58.959966 73.965 164.1366
59.326177 73.933 164.0418
59.692388 73.910 163.9182
60.058599 73.891 163.7395
60.424810 73.868 163.5161
60.791021 73.839 163.2828
61.157232 73.805 163.0737
61.523442 73.770 162.9017
61.889653 73.738 162.7550
62.255864 73.711 162.6108
62.622075 73.685 162.4536
62.988286 73.658 162.2837
63.354497 73.628 162.1136
63.720708 73.597 161.9561
64.086919 73.566 161.8148
64.453130 73.536 161.6833
64.819341 73.507 161.5522
65.185552 73.479 161.4158
65.551763 73.449 161.2748
65.917974 73.419 161.1342
66.284185 73.389 160.9967
66.650396 73.358 160.8610
67.016607 73.328 160.7227
67.382818 73.297 160.5792
67.749029 73.265 160.4334
68.115240 73.232 160.2932
68.481451 73.198 160.1664
68.847662 73.165 160.0551
69.213873 73.135 159.9529
69.580084 73.108 159.8483
69.946295 73.083 159.7307
70.312506 73.059 159.5970
70.678717 73.032 159.4532
71.044928 73.004 159.3103
71.411139 72.974 159.1783
71.777350 72.944 159.0616
72.143561 72.915 158.9592
72.509771 72.886 158.8665
72.875982 72.859 158.7795
73.242193 72.833 158.6956
73.608404 72.808 158.6129
73.974615 72.784 158.5287
74.340826 72.761 158.4385
74.707037 72.739 158.3380
75.073248 72.715 158.2250
75.439459 72.690 158.1022
75.805670 72.661 157.9771
76.171881 72.630 157.8597
76.538092 72.597 157.7582
76.904303 72.564 157.6752
77.270514 72.532 157.6060
77.636725 72.501 157.5423
78.002936 72.472 157.4770
78.369147 72.443 157.4088
78.735358 72.413 157.3416
79.101569 72.384 157.2806
79.467780 72.356 157.2268
79.833991 72.329 157.1750
80.200202 72.303 157.1174
80.566413 72.278 157.0504
80.932624 72.252 156.9774
81.298835 72.224 156.9077
81.665046 72.195 156.8499
82.031257 72.168 156.8047
82.397468 72.142 156.7645
82.763679 72.118 156.7182
83.129890 72.095 156.6595
83.496101 72.071 156.5905
83.862311 72.045 156.5206
84.228522 72.017 156.4589
84.594733 71.989 156.4089
84.960944 71.962 156.3667
85.327155 71.936 156.3251
85.693366 71.911 156.2800
86.059577 71.885 156.2328
86.425788 71.858 156.1893
86.791999 71.831 156.1537
87.158210 71.805 156.1252
87.524421 71.780 156.0972
87.890632 71.757 156.0619
88.256843 71.733 156.0155
88.623054 71.709 155.9611
88.989265 71.683 155.9066
89.355476 71.655 155.8604
89.721687 71.627 155.8262
90.087898 71.600 155.8022
90.454109 71.575 155.7822
90.820320 71.551 155.7600
91.186531 71.528 155.7327
91.552742 71.505 155.7007
91.918953 71.482 155.6666
92.285164 71.459 155.6328
92.651375 71.436 155.6007
93.017586 71.413 155.5705
93.383797 71.390 155.5418
93.750008 71.367 155.5146
94.116219 71.344 155.4888
94.482430 71.321 155.4645
94.848641 71.299 155.4415
95.214851 71.276 155.4203
95.581062 71.253 155.4015
95.947273 71.230 155.3860
96.313484 71.207 155.3740
96.679695 71.184 155.3646
97.045906 71.161 155.3563
97.412117 71.139 155.3471
97.778328 71.117 155.3365
98.144539 71.095 155.3250
98.510750 71.073 155.3137
98.876961 71.051 155.3038
99.243172 71.028 155.2957
99.609383 71.006 155.2888
99.975594 70.984 155.2823
100.341805 70.963 155.2759
100.708016 70.942 155.2697
101.074227 70.921 155.2638
101.440438 70.900 155.2585
101.806649 70.879 155.2536
102.172860 70.859 155.2488
102.539071 70.838 155.2443
102.905282 70.818 155.2403
103.271493 70.797 155.2371
103.637704 70.777 155.2349
104.003915 70.756 155.2339
104.370126 70.735 155.2349
104.736337 70.713 155.2388
105.102548 70.692 155.2469
105.468759 70.670 155.2596
105.834970 70.649 155.2763
106.201180 70.628 155.2950
106.567391 70.609 155.3130
106.933602 70.589 155.3285
107.299813 70.570 155.3401
107.666024 70.551 155.3481
108.032235 70.532 155.3531
108.398446 70.513 155.3562
108.764657 70.493 155.3582
109.130868 70.474 155.3602
109.497079 70.454 155.3630
109.863290 70.435 155.3673
110.229501 70.415 155.3736
110.595712 70.396 155.3817
110.961923 70.378 155.3912
111.328134 70.360 155.4014
111.694345 70.342 155.4123
112.060556 70.325 155.4240
112.426767 70.308 155.4367
112.792978 70.291 155.4507
113.159189 70.274 155.4655
113.525400 70.258 155.4805
113.891611 70.241 155.4952
114.257822 70.225 155.5101
114.624033 70.207 155.5269
114.990244 70.190 155.5475
115.356455 70.172 155.5735
115.722666 70.155 155.6042
116.088877 70.138 155.6367
116.455088 70.123 155.6668
116.821299 70.107 155.6906
117.187510 70.092 155.7067
117.553720 70.076 155.7173
117.919931 70.058 155.7271
118.286142 70.039 155.7413
118.652353 70.020 155.7632
119.018564 70.001 155.7929
119.384775 69.983 155.8274
119.750986 69.966 155.8622
120.117197 69.950 155.8932
120.483408 69.935 155.9186
120.849619 69.920 155.9384
121.215830 69.905 155.9550
121.582041 69.889 155.9718
121.948252 69.872 155.9918
122.314463 69.856 156.0170
122.680674 69.839 156.0477
123.046885 69.824 156.0819
123.413096 69.809 156.1172
123.779307 69.794 156.1514
124.145518 69.780 156.1834
124.511729 69.765 156.2141
124.877940 69.750 156.2453
125.244151 69.735 156.2788
125.610362 69.720 156.3152
125.976573 69.705 156.3539
126.342784 69.690 156.3937
126.708995 69.675 156.4333
127.075206 69.660 156.4722
127.441417 69.646 156.5099
127.807628 69.632 156.5457
128.173839 69.618 156.5786
128.540049 69.604 156.6077
128.906260 69.590 156.6331
129.272471 69.575 156.6561
129.638682 69.560 156.6792
130.004893 69.544 156.7049
130.371104 69.529 156.7344
130.737315 69.514 156.7672
131.103526 69.500 156.8012
131.469737 69.487 156.8344
131.835948 69.474 156.8656
132.202159 69.461 156.8954
132.568370 69.448 156.9254
132.934581 69.435 156.9571
133.300792 69.422 156.9909
133.667003 69.410 157.0263
134.033214 69.397 157.0622
134.399425 69.386 157.0977
134.765636 69.374 157.1327
135.131847 69.362 157.1674
135.498058 69.350 157.2021
135.864269 69.338 157.2364
136.230480 69.325 157.2700
136.596691 69.313 157.3029
136.962902 69.299 157.3360
137.329113 69.286 157.3707
137.695324 69.272 157.4083
138.061535 69.258 157.4487
138.427746 69.244 157.4912
138.793957 69.231 157.5341
139.160168 69.219 157.5761
139.526379 69.206 157.6168
139.892589 69.194 157.6567
140.258800 69.182 157.6960
140.625011 69.170 157.7349
140.991222 69.159 157.7728
141.357433 69.148 157.8089
141.723644 69.137 157.8432
142.089855 69.126 157.8763
142.456066 69.115 157.9095
142.822277 69.104 157.9443
143.188488 69.094 157.9809
143.554699 69.083 158.0193
143.920910 69.073 158.0587
144.287121 69.062 158.0984
144.653332 69.052 158.1383
145.019543 69.042 158.1788
145.385754 69.032 158.2205
145.751965 69.022 158.2635
146.118176 69.012 158.3079
146.484387 69.002 158.3531
146.850598 68.992 158.3986
147.216809 68.982 158.4438
147.583020 68.972 158.4884
147.949231 68.962 158.5322
148.315442 68.953 158.5750
148.681653 68.943 158.6164
149.047864 68.933 158.6567
149.414075 68.923 158.6961
149.780286 68.913 158.7352
150.146497 68.902 158.7744
