* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 6:48:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N5005 f. Reference Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.653 160.0812
0.732422 64.835 139.8767
1.098633 61.435 118.5268
1.464844 55.495 91.7921
1.831055 46.134 22.6805
2.197266 50.143 -59.8123
2.563477 52.647 -74.1297
2.929688 53.578 -64.9178
3.295899 56.199 -49.4863
3.662110 59.459 -45.0851
4.028321 61.872 -48.0895
4.394532 63.364 -52.9569
4.760743 64.233 -56.8895
5.126954 64.843 -58.9853
5.493164 65.489 -59.9652
5.859375 66.250 -61.3295
6.225586 67.016 -63.9346
6.591797 67.661 -67.5576
6.958008 68.153 -71.4845
7.324219 68.543 -75.1331
7.690430 68.911 -78.3446
8.056641 69.312 -81.3328
8.422852 69.744 -84.3893
8.789063 70.171 -87.6139
9.155274 70.561 -90.8820
9.521485 70.907 -93.9883
9.887696 71.220 -96.7971
10.253907 71.518 -99.2985
10.620118 71.810 -101.5713
10.986329 72.095 -103.7077
11.352540 72.364 -105.7670
11.718751 72.611 -107.7710
12.084962 72.830 -109.7209
12.451173 73.021 -111.6087
12.817384 73.184 -113.4229
13.183595 73.325 -115.1569
13.549806 73.450 -116.8213
13.916017 73.565 -118.4474
14.282228 73.672 -120.0747
14.648439 73.769 -121.7283
15.014650 73.856 -123.4047
15.380861 73.930 -125.0784
15.747072 73.996 -126.7212
16.113283 74.058 -128.3190
16.479493 74.120 -129.8737
16.845704 74.183 -131.3937
17.211915 74.247 -132.8822
17.578126 74.312 -134.3357
17.944337 74.375 -135.7498
18.310548 74.438 -137.1230
18.676759 74.499 -138.4582
19.042970 74.556 -139.7587
19.409181 74.607 -141.0244
19.775392 74.650 -142.2504
20.141603 74.685 -143.4266
20.507814 74.712 -144.5423
20.874025 74.733 -145.5934
21.240236 74.753 -146.5901
21.606447 74.773 -147.5594
21.972658 74.793 -148.5343
22.338869 74.811 -149.5362
22.705080 74.821 -150.5614
23.071291 74.822 -151.5842
23.437502 74.816 -152.5760
23.803713 74.807 -153.5254
24.169924 74.800 -154.4430
24.536135 74.796 -155.3482
24.902346 74.793 -156.2502
25.268557 74.790 -157.1418
25.634768 74.788 -158.0124
26.000979 74.788 -158.8640
26.367190 74.792 -159.7153
26.733401 74.796 -160.5850
27.099612 74.795 -161.4708
27.465823 74.786 -162.3435
27.832033 74.768 -163.1636
28.198244 74.748 -163.9089
28.564455 74.731 -164.5911
28.930666 74.720 -165.2484
29.296877 74.713 -165.9202
29.663088 74.705 -166.6241
30.029299 74.691 -167.3489
30.395510 74.671 -168.0676
30.761721 74.645 -168.7554
31.127932 74.618 -169.4040
31.494143 74.593 -170.0243
31.860354 74.573 -170.6401
32.226565 74.556 -171.2752
32.592776 74.538 -171.9396
32.958987 74.516 -172.6213
33.325198 74.488 -173.2906
33.691409 74.457 -173.9165
34.057620 74.427 -174.4884
34.423831 74.403 -175.0264
34.790042 74.387 -175.5703
35.156253 74.374 -176.1526
35.522464 74.356 -176.7731
35.888675 74.330 -177.3990
36.254886 74.296 -177.9877
36.621097 74.258 -178.5161
36.987308 74.222 -178.9944
37.353519 74.190 -179.4520
37.719730 74.159 -179.9117
38.085941 74.127 179.6268
38.452152 74.092 179.1794
38.818363 74.057 178.7558
39.184573 74.025 178.3452
39.550784 73.995 177.9245
39.916995 73.964 177.4802
40.283206 73.929 177.0244
40.649417 73.889 176.5867
41.015628 73.848 176.1893
41.381839 73.812 175.8249
41.748050 73.783 175.4592
42.114261 73.758 175.0555
42.480472 73.731 174.6032
42.846683 73.699 174.1246
43.212894 73.658 173.6588
43.579105 73.613 173.2346
43.945316 73.568 172.8553
44.311527 73.526 172.5050
44.677738 73.487 172.1654
45.043949 73.451 171.8293
45.410160 73.415 171.4979
45.776371 73.382 171.1697
46.142582 73.351 170.8336
46.508793 73.322 170.4759
46.875004 73.290 170.0939
47.241215 73.253 169.7036
47.607426 73.211 169.3314
47.973637 73.167 168.9971
48.339848 73.124 168.6992
48.706059 73.086 168.4170
49.072270 73.051 168.1260
49.438481 73.017 167.8159
49.804692 72.980 167.4959
50.170902 72.940 167.1863
50.537113 72.898 166.9014
50.903324 72.857 166.6408
51.269535 72.819 166.3911
51.635746 72.782 166.1384
52.001957 72.746 165.8780
52.368168 72.708 165.6166
52.734379 72.669 165.3641
53.100590 72.630 165.1241
53.466801 72.592 164.8903
53.833012 72.555 164.6516
54.199223 72.518 164.4031
54.565434 72.477 164.1516
54.931645 72.435 163.9128
55.297856 72.391 163.6993
55.664067 72.349 163.5095
56.030278 72.312 163.3251
56.396489 72.278 163.1230
56.762700 72.244 162.8926
57.128911 72.205 162.6462
57.495122 72.162 162.4137
57.861333 72.116 162.2215
58.227544 72.074 162.0715
58.593755 72.039 161.9352
58.959966 72.011 161.7689
59.326177 71.985 161.5433
59.692388 71.953 161.2650
60.058599 71.910 160.9756
60.424810 71.856 160.7280
60.791021 71.800 160.5555
61.157232 71.747 160.4541
61.523442 71.703 160.3870
61.889653 71.669 160.3090
62.255864 71.639 160.1914
62.622075 71.609 160.0330
62.988286 71.576 159.8531
63.354497 71.538 159.6748
63.720708 71.498 159.5114
64.086919 71.459 159.3634
64.453130 71.420 159.2235
64.819341 71.382 159.0851
65.185552 71.344 158.9461
65.551763 71.305 158.8085
65.917974 71.265 158.6760
66.284185 71.226 158.5513
66.650396 71.186 158.4353
67.016607 71.146 158.3271
67.382818 71.107 158.2245
67.749029 71.068 158.1259
68.115240 71.029 158.0311
68.481451 70.990 157.9423
68.847662 70.952 157.8616
69.213873 70.915 157.7883
69.580084 70.879 157.7167
69.946295 70.846 157.6387
70.312506 70.812 157.5493
70.678717 70.778 157.4510
71.044928 70.741 157.3547
71.411139 70.703 157.2730
71.777350 70.665 157.2126
72.143561 70.629 157.1693
72.509771 70.597 157.1308
72.875982 70.567 157.0850
73.242193 70.538 157.0269
73.608404 70.508 156.9602
73.974615 70.477 156.8923
74.340826 70.446 156.8276
74.707037 70.415 156.7648
75.073248 70.384 156.6983
75.439459 70.353 156.6234
75.805670 70.320 156.5403
76.171881 70.286 156.4534
76.538092 70.249 156.3683
76.904303 70.210 156.2887
77.270514 70.171 156.2151
77.636725 70.131 156.1459
78.002936 70.090 156.0792
78.369147 70.050 156.0136
78.735358 70.010 155.9483
79.101569 69.970 155.8830
79.467780 69.930 155.8181
79.833991 69.889 155.7554
80.200202 69.849 155.6977
80.566413 69.809 155.6482
80.932624 69.770 155.6089
81.298835 69.732 155.5804
81.665046 69.696 155.5612
82.031257 69.661 155.5487
82.397468 69.629 155.5406
82.763679 69.597 155.5362
83.129890 69.567 155.5367
83.496101 69.536 155.5453
83.862311 69.507 155.5649
84.228522 69.478 155.5961
84.594733 69.451 155.6350
84.960944 69.427 155.6741
85.327155 69.404 155.7053
85.693366 69.380 155.7231
86.059577 69.356 155.7278
86.425788 69.330 155.7240
86.791999 69.300 155.7186
87.158210 69.269 155.7173
87.524421 69.235 155.7231
87.890632 69.201 155.7367
88.256843 69.167 155.7570
88.623054 69.132 155.7819
88.989265 69.099 155.8087
89.355476 69.066 155.8335
89.721687 69.034 155.8538
90.087898 69.002 155.8704
90.454109 68.969 155.8875
90.820320 68.936 155.9118
91.186531 68.904 155.9473
91.552742 68.874 155.9923
91.918953 68.847 156.0393
92.285164 68.822 156.0788
92.651375 68.799 156.1053
93.017586 68.775 156.1208
93.383797 68.749 156.1340
93.750008 68.722 156.1546
94.116219 68.695 156.1874
94.482430 68.669 156.2307
94.848641 68.644 156.2778
95.214851 68.619 156.3229
95.581062 68.594 156.3647
95.947273 68.569 156.4063
96.313484 68.542 156.4519
96.679695 68.516 156.5025
97.045906 68.490 156.5552
97.412117 68.465 156.6052
97.778328 68.440 156.6500
98.144539 68.414 156.6907
98.510750 68.387 156.7310
98.876961 68.360 156.7737
99.243172 68.333 156.8194
99.609383 68.306 156.8670
99.975594 68.279 156.9165
100.341805 68.253 156.9709
100.708016 68.227 157.0334
101.074227 68.202 157.1043
101.440438 68.180 157.1782
101.806649 68.160 157.2460
102.172860 68.141 157.3002
102.539071 68.121 157.3411
102.905282 68.100 157.3768
103.271493 68.077 157.4194
103.637704 68.053 157.4773
104.003915 68.029 157.5507
104.370126 68.008 157.6323
104.736337 67.988 157.7130
105.102548 67.969 157.7871
105.468759 67.949 157.8544
105.834970 67.930 157.9186
106.201180 67.909 157.9831
106.567391 67.888 158.0490
106.933602 67.867 158.1158
107.299813 67.846 158.1840
107.666024 67.824 158.2553
108.032235 67.802 158.3322
108.398446 67.780 158.4152
108.764657 67.760 158.5017
109.130868 67.740 158.5865
109.497079 67.722 158.6652
109.863290 67.704 158.7364
110.229501 67.686 158.8023
110.595712 67.667 158.8674
110.961923 67.647 158.9360
111.328134 67.627 159.0102
111.694345 67.608 159.0895
112.060556 67.589 159.1718
112.426767 67.571 159.2545
112.792978 67.554 159.3358
113.159189 67.536 159.4144
113.525400 67.519 159.4899
113.891611 67.502 159.5627
114.257822 67.484 159.6342
114.624033 67.466 159.7058
114.990244 67.448 159.7790
115.356455 67.430 159.8546
115.722666 67.412 159.9323
116.088877 67.394 160.0113
116.455088 67.377 160.0901
116.821299 67.361 160.1678
117.187510 67.346 160.2438
117.553720 67.330 160.3181
117.919931 67.316 160.3906
118.286142 67.302 160.4614
118.652353 67.288 160.5307
119.018564 67.274 160.5994
119.384775 67.260 160.6694
119.750986 67.246 160.7430
120.117197 67.232 160.8224
120.483408 67.218 160.9088
120.849619 67.205 161.0011
121.215830 67.193 161.0973
121.582041 67.182 161.1943
121.948252 67.171 161.2901
122.314463 67.160 161.3838
122.680674 67.149 161.4761
123.046885 67.138 161.5681
123.413096 67.126 161.6609
123.779307 67.114 161.7541
124.145518 67.101 161.8467
124.511729 67.088 161.9368
124.877940 67.075 162.0228
125.244151 67.062 162.1043
125.610362 67.047 162.1825
125.976573 67.031 162.2599
126.342784 67.015 162.3398
126.708995 66.998 162.4251
127.075206 66.982 162.5167
127.441417 66.966 162.6133
127.807628 66.953 162.7114
128.173839 66.941 162.8068
128.540049 66.930 162.8961
128.906260 66.920 162.9779
129.272471 66.911 163.0533
129.638682 66.902 163.1251
130.004893 66.893 163.1966
130.371104 66.884 163.2700
130.737315 66.876 163.3459
131.103526 66.868 163.4239
131.469737 66.860 163.5028
131.835948 66.852 163.5826
132.202159 66.844 163.6643
132.568370 66.836 163.7495
132.934581 66.827 163.8395
133.300792 66.819 163.9341
133.667003 66.810 164.0319
134.033214 66.802 164.1305
134.399425 66.794 164.2278
134.765636 66.785 164.3230
135.131847 66.776 164.4162
135.498058 66.767 164.5083
135.864269 66.757 164.5999
136.230480 66.747 164.6910
136.596691 66.738 164.7807
136.962902 66.728 164.8679
137.329113 66.718 164.9517
137.695324 66.709 165.0317
138.061535 66.700 165.1082
138.427746 66.691 165.1815
138.793957 66.682 165.2528
139.160168 66.673 165.3235
139.526379 66.664 165.3953
139.892589 66.655 165.4695
140.258800 66.647 165.5468
140.625011 66.641 165.6268
140.991222 66.635 165.7081
141.357433 66.630 165.7890
141.723644 66.625 165.8682
142.089855 66.622 165.9451
142.456066 66.618 166.0203
142.822277 66.614 166.0948
143.188488 66.609 166.1701
143.554699 66.605 166.2470
143.920910 66.599 166.3266
144.287121 66.594 166.4092
144.653332 66.588 166.4948
145.019543 66.582 166.5827
145.385754 66.576 166.6719
145.751965 66.570 166.7615
146.118176 66.564 166.8507
146.484387 66.558 166.9395
146.850598 66.551 167.0281
147.216809 66.544 167.1167
147.583020 66.538 167.2049
147.949231 66.532 167.2918
148.315442 66.526 167.3765
148.681653 66.521 167.4579
149.047864 66.516 167.5360
149.414075 66.511 167.6110
149.780286 66.506 167.6837
150.146497 66.502 167.7546
150.512708 66.498 167.8240
