* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 6:23:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: N5005 f. Reference Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.593 -23.4578
0.732422 69.686 -46.7008
1.098633 65.961 -69.1545
1.464844 58.407 -87.2576
1.831055 48.581 25.8665
2.197266 59.988 26.6156
2.563477 63.001 5.9460
2.929688 63.543 -15.1062
3.295899 62.675 -33.0191
3.662110 61.047 -43.0307
4.028321 60.119 -41.0281
4.394532 61.451 -36.8125
4.760743 63.727 -41.4373
5.126954 65.567 -51.4063
5.493164 66.726 -61.7605
5.859375 67.365 -69.6246
6.225586 67.817 -73.8739
6.591797 68.428 -75.4586
6.958008 69.288 -76.7330
7.324219 70.192 -79.1870
7.690430 70.926 -82.5925
8.056641 71.429 -85.9926
8.422852 71.774 -88.6821
8.789063 72.078 -90.6252
9.155274 72.407 -92.3181
9.521485 72.744 -94.2536
9.887696 73.037 -96.5271
10.253907 73.264 -98.9144
10.620118 73.444 -101.1841
10.986329 73.614 -103.3063
11.352540 73.795 -105.4181
11.718751 73.979 -107.6388
12.084962 74.149 -109.9466
12.451173 74.300 -112.2215
12.817384 74.443 -114.3695
13.183595 74.588 -116.3914
13.549806 74.739 -118.3434
13.916017 74.886 -120.2516
14.282228 75.020 -122.0787
14.648439 75.142 -123.7680
15.014650 75.258 -125.3078
15.380861 75.374 -126.7471
15.747072 75.488 -128.1512
16.113283 75.589 -129.5484
16.479493 75.673 -130.9198
16.845704 75.740 -132.2343
17.211915 75.795 -133.4850
17.578126 75.843 -134.6944
17.944337 75.884 -135.8904
18.310548 75.919 -137.0849
18.676759 75.948 -138.2740
19.042970 75.973 -139.4536
19.409181 75.998 -140.6279
19.775392 76.022 -141.8040
20.141603 76.047 -142.9825
20.507814 76.073 -144.1590
20.874025 76.100 -145.3333
21.240236 76.128 -146.5103
21.606447 76.153 -147.6884
21.972658 76.171 -148.8454
22.338869 76.183 -149.9438
22.705080 76.191 -150.9544
23.071291 76.201 -151.8803
23.437502 76.216 -152.7554
23.803713 76.233 -153.6178
24.169924 76.246 -154.4791
24.536135 76.252 -155.3204
24.902346 76.252 -156.1169
25.268557 76.249 -156.8673
25.634768 76.249 -157.6001
26.000979 76.248 -158.3498
26.367190 76.243 -159.1270
26.733401 76.229 -159.9089
27.099612 76.210 -160.6602
27.465823 76.190 -161.3648
27.832033 76.176 -162.0429
28.198244 76.170 -162.7374
28.564455 76.167 -163.4823
28.930666 76.161 -164.2763
29.296877 76.146 -165.0813
29.663088 76.123 -165.8446
30.029299 76.097 -166.5304
30.395510 76.076 -167.1385
30.761721 76.064 -167.7025
31.127932 76.060 -168.2670
31.494143 76.059 -168.8593
31.860354 76.055 -169.4757
32.226565 76.045 -170.0890
32.592776 76.029 -170.6714
32.958987 76.011 -171.2157
33.325198 75.993 -171.7378
33.691409 75.974 -172.2612
34.057620 75.952 -172.7943
34.423831 75.924 -173.3219
34.790042 75.891 -173.8181
35.156253 75.858 -174.2693
35.522464 75.830 -174.6917
35.888675 75.809 -175.1245
36.254886 75.793 -175.6060
36.621097 75.776 -176.1482
36.987308 75.752 -176.7291
37.353519 75.720 -177.3065
37.719730 75.683 -177.8422
38.085941 75.646 -178.3225
38.452152 75.614 -178.7620
38.818363 75.589 -179.1911
39.184573 75.570 -179.6361
39.550784 75.551 179.8953
39.916995 75.529 179.4165
40.283206 75.502 178.9518
40.649417 75.473 178.5213
41.015628 75.444 178.1301
41.381839 75.417 177.7679
41.748050 75.393 177.4180
42.114261 75.371 177.0672
42.480472 75.348 176.7120
42.846683 75.325 176.3558
43.212894 75.300 176.0021
43.579105 75.275 175.6509
43.945316 75.249 175.2988
44.311527 75.221 174.9442
44.677738 75.192 174.5895
45.043949 75.161 174.2402
45.410160 75.130 173.9006
45.776371 75.098 173.5709
46.142582 75.066 173.2478
46.508793 75.035 172.9273
46.875004 75.005 172.6080
47.241215 74.974 172.2916
47.607426 74.942 171.9813
47.973637 74.911 171.6794
48.339848 74.881 171.3850
48.706059 74.852 171.0945
49.072270 74.823 170.8026
49.438481 74.794 170.5071
49.804692 74.764 170.2113
50.170902 74.731 169.9233
50.537113 74.698 169.6512
50.903324 74.665 169.3968
51.269535 74.635 169.1523
51.635746 74.606 168.9051
52.001957 74.577 168.6468
52.368168 74.547 168.3805
52.734379 74.515 168.1198
53.100590 74.481 167.8778
53.466801 74.449 167.6562
53.833012 74.420 167.4416
54.199223 74.394 167.2148
54.565434 74.368 166.9664
54.931645 74.339 166.7051
55.297856 74.307 166.4537
55.664067 74.272 166.2321
56.030278 74.241 166.0410
56.396489 74.215 165.8582
56.762700 74.194 165.6512
57.128911 74.174 165.3994
57.495122 74.149 165.1082
57.861333 74.116 164.8085
58.227544 74.075 164.5391
58.593755 74.031 164.3249
58.959966 73.988 164.1654
59.326177 73.951 164.0378
59.692388 73.920 163.9140
60.058599 73.893 163.7761
60.424810 73.866 163.6230
60.791021 73.839 163.4639
61.157232 73.812 163.3063
61.523442 73.786 163.1494
61.889653 73.761 162.9857
62.255864 73.737 162.8091
62.622075 73.711 162.6211
62.988286 73.682 162.4311
63.354497 73.652 162.2498
63.720708 73.620 162.0825
64.086919 73.590 161.9263
64.453130 73.560 161.7737
64.819341 73.531 161.6176
65.185552 73.502 161.4564
65.551763 73.472 161.2936
65.917974 73.441 161.1353
66.284185 73.409 160.9861
66.650396 73.377 160.8475
67.016607 73.346 160.7179
67.382818 73.315 160.5948
67.749029 73.286 160.4763
68.115240 73.257 160.3619
68.481451 73.230 160.2503
68.847662 73.204 160.1380
69.213873 73.180 160.0192
69.580084 73.156 159.8893
69.946295 73.130 159.7483
70.312506 73.103 159.6034
70.678717 73.074 159.4650
71.044928 73.043 159.3406
71.411139 73.013 159.2285
71.777350 72.984 159.1202
72.143561 72.955 159.0073
72.509771 72.925 158.8905
72.875982 72.893 158.7812
73.242193 72.859 158.6927
73.608404 72.827 158.6278
73.974615 72.800 158.5723
74.340826 72.777 158.5011
74.707037 72.755 158.3950
75.073248 72.730 158.2554
75.439459 72.699 158.1062
75.805670 72.662 157.9799
76.171881 72.624 157.8979
76.538092 72.588 157.8574
76.904303 72.558 157.8347
77.270514 72.534 157.8015
77.636725 72.512 157.7425
78.002936 72.490 157.6606
78.369147 72.466 157.5707
78.735358 72.440 157.4859
79.101569 72.415 157.4082
79.467780 72.390 157.3305
79.833991 72.366 157.2456
80.200202 72.340 157.1542
80.566413 72.313 157.0659
80.932624 72.283 156.9917
81.298835 72.254 156.9357
81.665046 72.227 156.8911
82.031257 72.203 156.8449
82.397468 72.180 156.7868
82.763679 72.156 156.7155
83.129890 72.131 156.6383
83.496101 72.105 156.5648
83.862311 72.078 156.5001
84.228522 72.051 156.4414
84.594733 72.025 156.3826
84.960944 72.000 156.3198
85.327155 71.973 156.2553
85.693366 71.946 156.1965
86.059577 71.918 156.1496
86.425788 71.891 156.1149
86.791999 71.865 156.0862
87.158210 71.842 156.0552
87.524421 71.820 156.0170
87.890632 71.797 155.9730
88.256843 71.774 155.9281
88.623054 71.751 155.8862
88.989265 71.728 155.8465
89.355476 71.705 155.8046
89.721687 71.683 155.7573
90.087898 71.659 155.7064
90.454109 71.634 155.6587
90.820320 71.608 155.6216
91.186531 71.582 155.5977
91.552742 71.558 155.5825
91.918953 71.536 155.5666
92.285164 71.516 155.5415
92.651375 71.495 155.5042
93.017586 71.474 155.4586
93.383797 71.451 155.4123
93.750008 71.426 155.3722
94.116219 71.401 155.3413
94.482430 71.377 155.3186
94.848641 71.353 155.3005
95.214851 71.330 155.2838
95.581062 71.308 155.2668
95.947273 71.285 155.2497
96.313484 71.263 155.2333
96.679695 71.241 155.2179
97.045906 71.220 155.2031
97.412117 71.198 155.1877
97.778328 71.177 155.1713
98.144539 71.156 155.1539
98.510750 71.134 155.1368
98.876961 71.112 155.1210
99.243172 71.090 155.1068
99.609383 71.069 155.0937
99.975594 71.047 155.0811
100.341805 71.025 155.0689
100.708016 71.004 155.0584
101.074227 70.982 155.0508
101.440438 70.960 155.0471
101.806649 70.939 155.0465
102.172860 70.918 155.0476
102.539071 70.898 155.0486
102.905282 70.878 155.0488
103.271493 70.858 155.0479
103.637704 70.839 155.0461
104.003915 70.820 155.0433
104.370126 70.801 155.0387
104.736337 70.782 155.0322
105.102548 70.762 155.0247
105.468759 70.742 155.0183
105.834970 70.721 155.0154
106.201180 70.700 155.0177
106.567391 70.680 155.0251
106.933602 70.660 155.0361
107.299813 70.641 155.0483
107.666024 70.622 155.0596
108.032235 70.604 155.0685
108.398446 70.586 155.0750
108.764657 70.568 155.0796
109.130868 70.550 155.0832
109.497079 70.532 155.0862
109.863290 70.514 155.0885
110.229501 70.496 155.0895
110.595712 70.478 155.0889
110.961923 70.460 155.0872
111.328134 70.440 155.0862
111.694345 70.421 155.0878
112.060556 70.401 155.0933
112.426767 70.381 155.1033
112.792978 70.362 155.1167
113.159189 70.343 155.1324
113.525400 70.324 155.1494
113.891611 70.306 155.1675
114.257822 70.288 155.1868
114.624033 70.270 155.2071
114.990244 70.253 155.2277
115.356455 70.236 155.2480
115.722666 70.220 155.2675
116.088877 70.203 155.2867
116.455088 70.187 155.3062
116.821299 70.171 155.3259
117.187510 70.155 155.3452
117.553720 70.140 155.3629
117.919931 70.124 155.3789
118.286142 70.108 155.3936
118.652353 70.092 155.4083
119.018564 70.075 155.4244
119.384775 70.058 155.4426
119.750986 70.041 155.4627
120.117197 70.024 155.4846
120.483408 70.007 155.5085
120.849619 69.990 155.5344
121.215830 69.974 155.5619
121.582041 69.957 155.5900
121.948252 69.941 155.6170
122.314463 69.925 155.6417
122.680674 69.910 155.6640
123.046885 69.894 155.6850
123.413096 69.877 155.7063
123.779307 69.861 155.7291
124.145518 69.844 155.7538
124.511729 69.828 155.7800
124.877940 69.812 155.8079
125.244151 69.796 155.8377
125.610362 69.781 155.8698
125.976573 69.766 155.9036
126.342784 69.752 155.9376
126.708995 69.738 155.9694
127.075206 69.725 155.9974
127.441417 69.712 156.0215
127.807628 69.699 156.0433
128.173839 69.685 156.0648
128.540049 69.670 156.0883
128.906260 69.656 156.1146
129.272471 69.641 156.1437
129.638682 69.627 156.1746
130.004893 69.613 156.2064
130.371104 69.600 156.2380
130.737315 69.587 156.2683
131.103526 69.574 156.2963
131.469737 69.561 156.3214
131.835948 69.548 156.3442
132.202159 69.534 156.3661
132.568370 69.520 156.3891
132.934581 69.506 156.4150
133.300792 69.491 156.4442
133.667003 69.478 156.4761
134.033214 69.464 156.5097
134.399425 69.451 156.5441
134.765636 69.439 156.5793
135.131847 69.426 156.6150
135.498058 69.415 156.6505
135.864269 69.404 156.6843
136.230480 69.393 156.7147
136.596691 69.383 156.7406
136.962902 69.372 156.7624
137.329113 69.360 156.7819
137.695324 69.348 156.8019
138.061535 69.334 156.8254
138.427746 69.320 156.8544
138.793957 69.306 156.8901
139.160168 69.293 156.9325
139.526379 69.279 156.9802
139.892589 69.267 157.0309
140.258800 69.256 157.0813
140.625011 69.246 157.1282
140.991222 69.236 157.1695
141.357433 69.226 157.2048
141.723644 69.215 157.2357
142.089855 69.204 157.2646
142.456066 69.193 157.2940
142.822277 69.181 157.3254
143.188488 69.168 157.3590
143.554699 69.156 157.3947
143.920910 69.144 157.4320
144.287121 69.132 157.4708
144.653332 69.120 157.5110
145.019543 69.109 157.5519
145.385754 69.098 157.5930
145.751965 69.088 157.6329
146.118176 69.077 157.6710
146.484387 69.067 157.7068
146.850598 69.057 157.7405
147.216809 69.047 157.7728
147.583020 69.037 157.8042
147.949231 69.026 157.8354
148.315442 69.015 157.8671
148.681653 69.004 157.8998
149.047864 68.993 157.9341
149.414075 68.982 157.9702
149.780286 68.972 158.0080
150.146497 68.961 158.0466
