* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 27, 2023 1:41:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aurora Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.314 173.9960
0.732422 60.134 165.8636
1.098633 57.171 153.3942
1.464844 49.090 123.2192
1.831055 51.685 -14.5966
2.197266 60.157 -40.9030
2.563477 64.247 -55.4537
2.929688 66.579 -66.7746
3.295899 67.944 -75.4138
3.662110 68.792 -81.3285
4.028321 69.469 -85.0079
4.394532 70.180 -87.7209
4.760743 70.932 -90.7924
5.126954 71.617 -94.7250
5.493164 72.147 -99.1875
5.859375 72.518 -103.5576
6.225586 72.792 -107.4016
6.591797 73.051 -110.6983
6.958008 73.342 -113.7539
7.324219 73.653 -116.8875
7.690430 73.947 -120.1749
8.056641 74.196 -123.4567
8.422852 74.402 -126.5217
8.789063 74.587 -129.2731
9.155274 74.769 -131.7634
9.521485 74.950 -134.1055
9.887696 75.118 -136.3638
10.253907 75.193 -138.5231
10.620118 75.216 -140.5418
10.986329 75.225 -142.4130
11.352540 75.227 -144.1752
11.718751 75.219 -145.8739
12.084962 75.199 -147.5238
12.451173 75.169 -149.1112
12.817384 75.177 -150.6282
13.183595 75.191 -152.0969
13.549806 75.204 -153.5574
13.916017 75.211 -155.0351
14.282228 75.211 -156.5206
14.648439 75.203 -157.9828
15.014650 75.192 -159.3981
15.380861 75.182 -160.7673
15.747072 75.176 -162.1071
16.113283 75.178 -163.4301
16.479493 75.190 -164.7344
16.845704 75.203 -166.0106
17.211915 75.215 -167.2539
17.578126 75.226 -168.4655
17.944337 75.234 -169.6439
18.310548 75.237 -170.7789
18.676759 75.236 -171.8569
19.042970 75.232 -172.8744
19.409181 75.228 -173.8440
19.775392 75.223 -174.7860
20.141603 75.218 -175.7129
20.507814 75.210 -176.6228
20.874025 75.199 -177.5087
21.240236 75.187 -178.3724
21.606447 75.175 -179.2300
21.972658 75.163 179.8998
22.338869 75.148 179.0119
22.705080 75.128 178.1212
23.071291 75.104 177.2515
23.437502 75.079 176.4182
23.803713 75.058 175.6160
24.169924 75.041 174.8243
24.536135 75.029 174.0227
24.902346 75.018 173.2054
25.268557 75.006 172.3832
25.634768 74.990 171.5750
26.000979 74.972 170.7956
26.367190 74.954 170.0484
26.733401 74.937 169.3270
27.099612 74.919 168.6233
27.465823 74.900 167.9354
27.832033 74.879 167.2690
28.198244 74.857 166.6315
28.564455 74.836 166.0211
28.930666 74.818 165.4222
29.296877 74.802 164.8110
29.663088 74.786 164.1702
30.029299 74.766 163.5025
30.395510 74.738 162.8311
30.761721 74.705 162.1853
31.127932 74.670 161.5812
31.494143 74.637 161.0110
31.860354 74.610 160.4497
32.226565 74.586 159.8742
32.592776 74.563 159.2790
32.958987 74.537 158.6769
33.325198 74.510 158.0861
33.691409 74.483 157.5150
34.057620 74.458 156.9583
34.423831 74.435 156.4048
34.790042 74.411 155.8490
35.156253 74.387 155.2969
35.522464 74.360 154.7594
35.888675 74.334 154.2429
36.254886 74.308 153.7433
36.621097 74.284 153.2497
36.987308 74.260 152.7533
37.353519 74.235 152.2542
37.719730 74.209 151.7596
38.085941 74.182 151.2766
38.452152 74.155 150.8050
38.818363 74.129 150.3363
39.184573 74.104 149.8607
39.550784 74.079 149.3752
39.916995 74.051 148.8879
40.283206 74.021 148.4132
40.649417 73.991 147.9628
41.015628 73.963 147.5370
41.381839 73.938 147.1240
41.748050 73.916 146.7073
42.114261 73.897 146.2759
42.480472 73.876 145.8311
42.846683 73.854 145.3842
43.212894 73.830 144.9470
43.579105 73.806 144.5231
43.945316 73.783 144.1060
44.311527 73.761 143.6845
44.677738 73.737 143.2535
45.043949 73.711 142.8195
45.410160 73.682 142.3978
45.776371 73.651 142.0024
46.142582 73.621 141.6354
46.508793 73.595 141.2841
46.875004 73.572 140.9273
47.241215 73.553 140.5486
47.607426 73.532 140.1456
47.973637 73.508 139.7313
48.339848 73.481 139.3242
48.706059 73.452 138.9364
49.072270 73.425 138.5671
49.438481 73.400 138.2054
49.804692 73.376 137.8405
50.170902 73.353 137.4697
50.537113 73.330 137.0999
50.903324 73.306 136.7390
51.269535 73.282 136.3883
51.635746 73.261 136.0406
52.001957 73.241 135.6857
52.368168 73.220 135.3200
52.734379 73.198 134.9496
53.100590 73.173 134.5866
53.466801 73.147 134.2393
53.833012 73.121 133.9070
54.199223 73.097 133.5815
54.565434 73.073 133.2537
54.931645 73.050 132.9208
55.297856 73.025 132.5860
55.664067 73.000 132.2549
56.030278 72.973 131.9318
56.396489 72.945 131.6194
56.762700 72.917 131.3211
57.128911 72.890 131.0402
57.495122 72.865 130.7760
57.861333 72.844 130.5181
58.227544 72.829 130.2470
58.593755 72.816 129.9426
58.959966 72.803 129.5966
59.326177 72.784 129.2202
59.692388 72.760 128.8395
60.058599 72.730 128.4811
60.424810 72.699 128.1575
60.791021 72.670 127.8625
61.157232 72.644 127.5780
61.523442 72.621 127.2874
61.889653 72.598 126.9857
62.255864 72.575 126.6790
62.622075 72.551 126.3766
62.988286 72.527 126.0831
63.354497 72.503 125.7956
63.720708 72.481 125.5082
64.086919 72.459 125.2176
64.453130 72.436 124.9253
64.819341 72.413 124.6357
65.185552 72.389 124.3520
65.551763 72.366 124.0745
65.917974 72.342 123.8023
66.284185 72.318 123.5350
66.650396 72.295 123.2734
67.016607 72.271 123.0180
67.382818 72.249 122.7668
67.749029 72.227 122.5154
68.115240 72.206 122.2596
68.481451 72.184 121.9985
68.847662 72.162 121.7347
69.213873 72.139 121.4726
69.580084 72.116 121.2146
69.946295 72.093 120.9604
70.312506 72.070 120.7073
70.678717 72.048 120.4529
71.044928 72.026 120.1967
71.411139 72.004 119.9400
71.777350 71.983 119.6841
72.143561 71.961 119.4298
72.509771 71.939 119.1772
72.875982 71.917 118.9266
73.242193 71.896 118.6790
73.608404 71.875 118.4350
73.974615 71.854 118.1942
74.340826 71.833 117.9545
74.707037 71.813 117.7142
75.073248 71.792 117.4735
75.439459 71.770 117.2350
75.805670 71.748 117.0021
76.171881 71.726 116.7764
76.538092 71.704 116.5560
76.904303 71.683 116.3363
77.270514 71.663 116.1128
77.636725 71.643 115.8837
78.002936 71.622 115.6507
78.369147 71.601 115.4170
78.735358 71.579 115.1849
79.101569 71.557 114.9540
79.467780 71.536 114.7227
79.833991 71.514 114.4897
80.200202 71.492 114.2560
80.566413 71.470 114.0246
80.932624 71.448 113.7981
81.298835 71.426 113.5766
81.665046 71.405 113.3581
82.031257 71.385 113.1403
82.397468 71.364 112.9226
82.763679 71.344 112.7077
83.129890 71.323 112.4995
83.496101 71.303 112.3000
83.862311 71.285 112.1078
84.228522 71.268 111.9175
84.594733 71.252 111.7223
84.960944 71.238 111.5174
85.327155 71.223 111.3022
85.693366 71.207 111.0801
86.059577 71.189 110.8572
86.425788 71.170 110.6395
86.791999 71.149 110.4301
87.158210 71.129 110.2294
87.524421 71.110 110.0349
87.890632 71.091 109.8429
88.256843 71.073 109.6501
88.623054 71.055 109.4548
88.989265 71.037 109.2572
89.355476 71.018 109.0586
89.721687 71.000 108.8607
90.087898 70.981 108.6651
90.454109 70.962 108.4721
90.820320 70.944 108.2814
91.186531 70.926 108.0920
91.552742 70.908 107.9026
91.918953 70.891 107.7128
92.285164 70.873 107.5224
92.651375 70.856 107.3321
93.017586 70.838 107.1429
93.383797 70.821 106.9558
93.750008 70.803 106.7711
94.116219 70.786 106.5882
94.482430 70.768 106.4063
94.848641 70.752 106.2243
95.214851 70.735 106.0414
95.581062 70.718 105.8574
95.947273 70.701 105.6728
96.313484 70.684 105.4880
96.679695 70.667 105.3036
97.045906 70.650 105.1197
97.412117 70.632 104.9368
97.778328 70.615 104.7556
98.144539 70.597 104.5768
98.510750 70.579 104.4012
98.876961 70.562 104.2283
99.243172 70.545 104.0571
99.609383 70.529 103.8858
99.975594 70.513 103.7129
100.341805 70.498 103.5381
100.708016 70.482 103.3620
101.074227 70.467 103.1860
101.440438 70.451 103.0114
101.806649 70.435 102.8384
102.172860 70.420 102.6671
102.539071 70.405 102.4969
102.905282 70.389 102.3279
103.271493 70.374 102.1604
103.637704 70.359 101.9945
104.003915 70.344 101.8297
104.370126 70.329 101.6655
104.736337 70.314 101.5017
105.102548 70.299 101.3389
105.468759 70.283 101.1785
105.834970 70.267 101.0219
106.201180 70.251 100.8695
106.567391 70.236 100.7205
106.933602 70.220 100.5728
107.299813 70.206 100.4246
107.666024 70.191 100.2746
108.032235 70.177 100.1221
108.398446 70.163 99.9670
108.764657 70.148 99.8092
109.130868 70.134 99.6489
109.497079 70.119 99.4868
109.863290 70.104 99.3244
110.229501 70.088 99.1633
110.595712 70.073 99.0048
110.961923 70.057 98.8487
111.328134 70.042 98.6938
111.694345 70.028 98.5386
112.060556 70.014 98.3816
112.426767 70.000 98.2227
112.792978 69.986 98.0630
113.159189 69.972 97.9037
113.525400 69.958 97.7463
113.891611 69.943 97.5916
114.257822 69.929 97.4398
114.624033 69.915 97.2911
114.990244 69.901 97.1454
115.356455 69.888 97.0020
115.722666 69.874 96.8598
116.088877 69.861 96.7180
116.455088 69.849 96.5758
116.821299 69.836 96.4330
117.187510 69.823 96.2897
117.553720 69.811 96.1458
117.919931 69.798 96.0008
118.286142 69.786 95.8536
118.652353 69.773 95.7042
119.018564 69.760 95.5533
119.384775 69.746 95.4029
119.750986 69.731 95.2555
120.117197 69.717 95.1126
120.483408 69.702 94.9745
120.849619 69.689 94.8398
121.215830 69.675 94.7065
121.582041 69.663 94.5732
121.948252 69.650 94.4394
122.314463 69.638 94.3059
122.680674 69.626 94.1737
123.046885 69.614 94.0434
123.413096 69.603 93.9146
123.779307 69.592 93.7856
124.145518 69.582 93.6545
124.511729 69.572 93.5195
124.877940 69.562 93.3802
125.244151 69.551 93.2380
125.610362 69.540 93.0956
125.976573 69.528 92.9565
126.342784 69.515 92.8232
126.708995 69.502 92.6967
127.075206 69.490 92.5761
127.441417 69.478 92.4588
127.807628 69.466 92.3422
128.173839 69.455 92.2244
128.540049 69.444 92.1049
128.906260 69.434 91.9837
129.272471 69.423 91.8615
129.638682 69.412 91.7381
130.004893 69.402 91.6128
130.371104 69.392 91.4850
130.737315 69.382 91.3543
131.103526 69.371 91.2215
131.469737 69.360 91.0883
131.835948 69.349 90.9562
132.202159 69.338 90.8266
132.568370 69.327 90.6995
132.934581 69.317 90.5742
133.300792 69.307 90.4493
133.667003 69.298 90.3239
134.033214 69.288 90.1973
134.399425 69.279 90.0702
134.765636 69.270 89.9434
135.131847 69.261 89.8182
135.498058 69.252 89.6952
135.864269 69.243 89.5745
136.230480 69.234 89.4550
136.596691 69.226 89.3354
136.962902 69.218 89.2145
137.329113 69.210 89.0915
137.695324 69.202 88.9671
138.061535 69.193 88.8425
138.427746 69.184 88.7195
138.793957 69.175 88.5988
139.160168 69.165 88.4804
139.526379 69.156 88.3632
139.892589 69.147 88.2458
140.258800 69.138 88.1273
140.625011 69.129 88.0078
140.991222 69.120 87.8881
141.357433 69.110 87.7696
141.723644 69.100 87.6535
142.089855 69.090 87.5402
142.456066 69.080 87.4298
142.822277 69.070 87.3221
143.188488 69.061 87.2164
143.554699 69.052 87.1117
143.920910 69.043 87.0070
144.287121 69.035 86.9014
144.653332 69.027 86.7943
145.019543 69.019 86.6856
145.385754 69.011 86.5760
145.751965 69.002 86.4662
146.118176 68.994 86.3570
146.484387 68.985 86.2491
146.850598 68.977 86.1425
147.216809 68.969 86.0367
147.583020 68.960 85.9309
147.949231 68.952 85.8244
148.315442 68.945 85.7166
148.681653 68.937 85.6073
149.047864 68.929 85.4969
149.414075 68.920 85.3862
149.780286 68.912 85.2760
150.146497 68.903 85.1673
150.512708 68.895 85.0605
150.878918 68.886 84.9557
151.245129 68.878 84.8523
151.611340 68.870 84.7496
