* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 27, 2023 1:40:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aurora Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.879 -26.8604
0.732422 70.208 -53.2593
1.098633 66.978 -77.9859
1.464844 60.756 -94.7838
1.831055 52.921 -31.2709
2.197266 62.263 -10.3416
2.563477 66.462 -29.4516
2.929688 68.444 -51.1104
3.295899 69.202 -70.6350
3.662110 69.164 -85.4189
4.028321 68.814 -93.2478
4.394532 68.913 -94.5183
4.760743 69.881 -94.6236
5.126954 71.195 -98.0450
5.493164 72.246 -104.1898
5.859375 72.842 -110.7006
6.225586 73.080 -115.6899
6.591797 73.210 -118.4394
6.958008 73.465 -119.7317
7.324219 73.882 -121.1338
7.690430 74.315 -123.5049
8.056641 74.619 -126.5537
8.422852 74.765 -129.5173
8.789063 74.825 -131.8832
9.155274 74.891 -133.7065
9.521485 75.003 -135.4338
9.887696 75.135 -137.4262
10.253907 75.168 -139.6823
10.620118 75.129 -141.9648
10.986329 75.070 -144.0795
11.352540 75.020 -146.0213
11.718751 74.989 -147.9036
12.084962 74.966 -149.7945
12.451173 74.941 -151.6506
12.817384 74.961 -153.3908
13.183595 74.995 -154.9991
13.549806 75.038 -156.5366
13.916017 75.080 -158.0617
14.282228 75.109 -159.5595
14.648439 75.122 -160.9587
15.014650 75.125 -162.2121
15.380861 75.129 -163.3511
15.747072 75.138 -164.4585
16.113283 75.148 -165.5934
16.479493 75.154 -166.7472
16.845704 75.147 -167.8722
17.211915 75.132 -168.9409
17.578126 75.116 -169.9746
17.944337 75.101 -171.0157
18.310548 75.085 -172.0827
18.676759 75.064 -173.1568
19.042970 75.041 -174.2104
19.409181 75.022 -175.2411
19.775392 75.009 -176.2724
20.141603 74.999 -177.3236
20.507814 74.990 -178.3836
20.874025 74.978 -179.4166
21.240236 74.964 179.6077
21.606447 74.953 178.6925
21.972658 74.947 177.8187
22.338869 74.944 176.9677
22.705080 74.941 176.1364
23.071291 74.936 175.3299
23.437502 74.930 174.5484
23.803713 74.922 173.7831
24.169924 74.910 173.0276
24.536135 74.892 172.2874
24.902346 74.870 171.5754
25.268557 74.846 170.8954
25.634768 74.823 170.2330
26.000979 74.802 169.5629
26.367190 74.780 168.8676
26.733401 74.756 168.1490
27.099612 74.727 167.4231
27.465823 74.697 166.7044
27.832033 74.666 165.9964
28.198244 74.637 165.2940
28.564455 74.608 164.5934
28.930666 74.580 163.8972
29.296877 74.553 163.2118
29.663088 74.527 162.5422
30.029299 74.502 161.8907
30.395510 74.478 161.2585
30.761721 74.455 160.6469
31.127932 74.435 160.0551
31.494143 74.416 159.4774
31.860354 74.399 158.9039
32.226565 74.382 158.3273
32.592776 74.363 157.7475
32.958987 74.341 157.1711
33.325198 74.316 156.6055
33.691409 74.289 156.0541
34.057620 74.261 155.5161
34.423831 74.232 154.9898
34.790042 74.202 154.4743
35.156253 74.172 153.9674
35.522464 74.144 153.4637
35.888675 74.116 152.9561
36.254886 74.088 152.4406
36.621097 74.060 151.9214
36.987308 74.030 151.4084
37.353519 73.999 150.9105
37.719730 73.971 150.4286
38.085941 73.945 149.9543
38.452152 73.923 149.4742
38.818363 73.902 148.9783
39.184573 73.879 148.4649
39.550784 73.854 147.9432
39.916995 73.825 147.4296
40.283206 73.792 146.9427
40.649417 73.758 146.4947
41.015628 73.727 146.0842
41.381839 73.700 145.6948
41.748050 73.679 145.3023
42.114261 73.660 144.8874
42.480472 73.640 144.4462
42.846683 73.617 143.9905
43.212894 73.590 143.5390
43.579105 73.560 143.1049
43.945316 73.531 142.6894
44.311527 73.502 142.2853
44.677738 73.474 141.8848
45.043949 73.447 141.4855
45.410160 73.420 141.0901
45.776371 73.393 140.7018
46.142582 73.367 140.3197
46.508793 73.342 139.9386
46.875004 73.319 139.5525
47.241215 73.295 139.1581
47.607426 73.271 138.7569
47.973637 73.246 138.3547
48.339848 73.218 137.9584
48.706059 73.190 137.5727
49.072270 73.163 137.1980
49.438481 73.136 136.8307
49.804692 73.110 136.4656
50.170902 73.084 136.1002
50.537113 73.059 135.7362
50.903324 73.033 135.3779
51.269535 73.007 135.0285
51.635746 72.982 134.6873
52.001957 72.958 134.3498
52.368168 72.936 134.0108
52.734379 72.914 133.6678
53.100590 72.891 133.3212
53.466801 72.868 132.9730
53.833012 72.844 132.6253
54.199223 72.819 132.2804
54.565434 72.793 131.9421
54.931645 72.765 131.6145
55.297856 72.738 131.2997
55.664067 72.712 130.9941
56.030278 72.688 130.6893
56.396489 72.665 130.3763
56.762700 72.642 130.0516
57.128911 72.617 129.7199
57.495122 72.590 129.3917
57.861333 72.562 129.0760
58.227544 72.534 128.7750
58.593755 72.508 128.4830
58.959966 72.485 128.1905
59.326177 72.463 127.8899
59.692388 72.441 127.5795
60.058599 72.419 127.2629
60.424810 72.396 126.9463
60.791021 72.372 126.6343
61.157232 72.348 126.3289
61.523442 72.325 126.0295
61.889653 72.302 125.7347
62.255864 72.279 125.4437
62.622075 72.256 125.1563
62.988286 72.232 124.8725
63.354497 72.209 124.5918
63.720708 72.186 124.3132
64.086919 72.163 124.0356
64.453130 72.139 123.7586
64.819341 72.116 123.4826
65.185552 72.092 123.2083
65.551763 72.067 122.9360
65.917974 72.043 122.6653
66.284185 72.019 122.3954
66.650396 71.995 122.1259
67.016607 71.970 121.8569
67.382818 71.946 121.5896
67.749029 71.921 121.3253
68.115240 71.897 121.0652
68.481451 71.873 120.8093
68.847662 71.850 120.5560
69.213873 71.828 120.3026
69.580084 71.806 120.0462
69.946295 71.785 119.7857
70.312506 71.763 119.5225
70.678717 71.741 119.2602
71.044928 71.717 119.0026
71.411139 71.694 118.7513
71.777350 71.671 118.5052
72.143561 71.648 118.2613
72.509771 71.626 118.0168
72.875982 71.603 117.7719
73.242193 71.580 117.5281
73.608404 71.557 117.2878
73.974615 71.534 117.0520
74.340826 71.511 116.8196
74.707037 71.488 116.5885
75.073248 71.467 116.3569
75.439459 71.445 116.1244
75.805670 71.423 115.8912
76.171881 71.402 115.6578
76.538092 71.380 115.4250
76.904303 71.359 115.1934
77.270514 71.337 114.9640
77.636725 71.316 114.7374
78.002936 71.295 114.5133
78.369147 71.275 114.2903
78.735358 71.255 114.0661
79.101569 71.236 113.8393
79.467780 71.216 113.6101
79.833991 71.195 113.3806
80.200202 71.175 113.1534
80.566413 71.154 112.9301
80.932624 71.132 112.7109
81.298835 71.111 112.4952
81.665046 71.090 112.2826
82.031257 71.069 112.0734
82.397468 71.049 111.8681
82.763679 71.029 111.6661
83.129890 71.010 111.4645
83.496101 70.991 111.2593
83.862311 70.973 111.0480
84.228522 70.955 110.8308
84.594733 70.935 110.6124
84.960944 70.914 110.3985
85.327155 70.892 110.1938
85.693366 70.871 109.9990
86.059577 70.851 109.8102
86.425788 70.833 109.6222
86.791999 70.815 109.4300
87.158210 70.798 109.2317
87.524421 70.780 109.0282
87.890632 70.762 108.8224
88.256843 70.743 108.6176
88.623054 70.724 108.4162
88.989265 70.704 108.2194
89.355476 70.684 108.0268
89.721687 70.666 107.8365
90.087898 70.647 107.6461
90.454109 70.629 107.4536
90.820320 70.611 107.2583
91.186531 70.593 107.0614
91.552742 70.575 106.8654
91.918953 70.556 106.6728
92.285164 70.536 106.4848
92.651375 70.518 106.3010
93.017586 70.500 106.1197
93.383797 70.482 105.9389
93.750008 70.465 105.7574
94.116219 70.448 105.5753
94.482430 70.431 105.3935
94.848641 70.414 105.2129
95.214851 70.397 105.0339
95.581062 70.380 104.8560
95.947273 70.363 104.6783
96.313484 70.346 104.5002
96.679695 70.329 104.3216
97.045906 70.312 104.1429
97.412117 70.295 103.9646
97.778328 70.278 103.7871
98.144539 70.260 103.6106
98.510750 70.243 103.4353
98.876961 70.225 103.2612
99.243172 70.208 103.0886
99.609383 70.191 102.9171
99.975594 70.174 102.7462
100.341805 70.157 102.5750
100.708016 70.141 102.4035
101.074227 70.124 102.2324
101.440438 70.107 102.0628
101.806649 70.090 101.8957
102.172860 70.074 101.7314
102.539071 70.058 101.5690
102.905282 70.042 101.4070
103.271493 70.027 101.2440
103.637704 70.012 101.0796
104.003915 69.997 100.9140
104.370126 69.982 100.7480
104.736337 69.967 100.5829
105.102548 69.951 100.4193
105.468759 69.935 100.2580
105.834970 69.919 100.0988
106.201180 69.904 99.9415
106.567391 69.888 99.7856
106.933602 69.873 99.6308
107.299813 69.857 99.4768
107.666024 69.842 99.3235
108.032235 69.826 99.1711
108.398446 69.811 99.0195
108.764657 69.796 98.8684
109.130868 69.781 98.7179
109.497079 69.766 98.5677
109.863290 69.751 98.4175
110.229501 69.736 98.2670
110.595712 69.722 98.1158
110.961923 69.707 97.9638
111.328134 69.693 97.8112
111.694345 69.678 97.6587
112.060556 69.663 97.5067
112.426767 69.648 97.3555
112.792978 69.634 97.2046
113.159189 69.619 97.0538
113.525400 69.605 96.9030
113.891611 69.590 96.7529
114.257822 69.575 96.6046
114.624033 69.561 96.4592
114.990244 69.546 96.3163
115.356455 69.533 96.1749
115.722666 69.519 96.0331
116.088877 69.506 95.8895
116.455088 69.493 95.7438
116.821299 69.480 95.5970
117.187510 69.467 95.4506
117.553720 69.453 95.3060
117.919931 69.439 95.1638
118.286142 69.425 95.0240
118.652353 69.411 94.8857
119.018564 69.398 94.7484
119.384775 69.385 94.6116
119.750986 69.371 94.4754
120.117197 69.358 94.3397
120.483408 69.345 94.2046
120.849619 69.332 94.0702
121.215830 69.319 93.9363
121.582041 69.306 93.8024
121.948252 69.294 93.6681
122.314463 69.282 93.5329
122.680674 69.270 93.3967
123.046885 69.257 93.2596
123.413096 69.245 93.1222
123.779307 69.233 92.9850
124.145518 69.221 92.8487
124.511729 69.209 92.7136
124.877940 69.197 92.5795
125.244151 69.185 92.4464
125.610362 69.174 92.3141
125.976573 69.162 92.1824
126.342784 69.152 92.0514
126.708995 69.141 91.9208
127.075206 69.130 91.7907
127.441417 69.119 91.6613
127.807628 69.108 91.5324
128.173839 69.098 91.4043
128.540049 69.087 91.2772
128.906260 69.076 91.1511
129.272471 69.065 91.0261
129.638682 69.054 90.9021
130.004893 69.043 90.7791
130.371104 69.033 90.6569
130.737315 69.022 90.5358
131.103526 69.011 90.4160
131.469737 69.001 90.2979
131.835948 68.990 90.1814
132.202159 68.980 90.0659
132.568370 68.970 89.9507
132.934581 68.961 89.8349
133.300792 68.951 89.7179
133.667003 68.942 89.5997
134.033214 68.932 89.4806
134.399425 68.922 89.3612
134.765636 68.912 89.2420
135.131847 68.903 89.1231
135.498058 68.893 89.0044
135.864269 68.883 88.8854
136.230480 68.873 88.7658
136.596691 68.862 88.6454
136.962902 68.852 88.5246
137.329113 68.841 88.4046
137.695324 68.830 88.2864
138.061535 68.820 88.1708
138.427746 68.809 88.0575
138.793957 68.799 87.9450
139.160168 68.790 87.8316
139.526379 68.780 87.7157
139.892589 68.771 87.5973
140.258800 68.762 87.4775
140.625011 68.752 87.3588
140.991222 68.742 87.2432
141.357433 68.732 87.1317
141.723644 68.722 87.0235
142.089855 68.714 86.9170
142.456066 68.705 86.8099
142.822277 68.698 86.7009
143.188488 68.690 86.5898
143.554699 68.682 86.4772
143.920910 68.675 86.3645
144.287121 68.667 86.2526
144.653332 68.658 86.1421
145.019543 68.650 86.0330
145.385754 68.642 85.9250
145.751965 68.634 85.8177
146.118176 68.626 85.7106
146.484387 68.619 85.6033
146.850598 68.611 85.4955
147.216809 68.603 85.3872
147.583020 68.595 85.2785
147.949231 68.587 85.1698
148.315442 68.579 85.0615
148.681653 68.570 84.9542
149.047864 68.562 84.8483
149.414075 68.553 84.7439
149.780286 68.544 84.6411
150.146497 68.536 84.5394
150.512708 68.528 84.4386
150.878918 68.520 84.3380
151.245129 68.512 84.2371
151.611340 68.504 84.1355
