* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2023 4:49:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Neon Pro Bass Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 55.754 -174.2109
0.732422 57.422 -179.4136
1.098633 58.397 167.8474
1.464844 58.380 152.5532
1.831055 57.345 138.8005
2.197266 55.473 132.1668
2.563477 54.070 139.5049
2.929688 55.438 150.9594
3.295899 58.106 149.9696
3.662110 60.256 140.9995
4.028321 61.641 130.2998
4.394532 62.442 121.2503
4.760743 62.967 115.4940
5.126954 63.585 112.8338
5.493164 64.489 111.2632
5.859375 65.549 108.8333
6.225586 66.520 105.2426
6.591797 67.275 101.3220
6.958008 67.835 97.9680
7.324219 68.306 95.5326
7.690430 68.784 93.7118
8.056641 69.287 91.9174
8.422852 69.767 89.8118
8.789063 70.170 87.4814
9.155274 70.490 85.2122
9.521485 70.755 83.1906
9.887696 71.000 81.3772
10.253907 71.172 79.5967
10.620118 71.300 77.7261
10.986329 71.403 75.7839
11.352540 71.478 73.8712
11.718751 71.538 72.0575
12.084962 71.594 70.3293
12.451173 71.652 68.6292
12.817384 71.753 66.9305
13.183595 71.850 65.2619
13.549806 71.935 63.6694
13.916017 72.016 62.1685
14.282228 72.094 60.7350
14.648439 72.168 59.3374
15.014650 72.233 57.9729
15.380861 72.287 56.6645
15.747072 72.333 55.4317
16.113283 72.380 54.2652
16.479493 72.432 53.1349
16.845704 72.479 52.0176
17.211915 72.518 50.9151
17.578126 72.547 49.8447
17.944337 72.571 48.8155
18.310548 72.591 47.8169
18.676759 72.610 46.8289
19.042970 72.627 45.8405
19.409181 72.639 44.8574
19.775392 72.649 43.8914
20.141603 72.658 42.9471
20.507814 72.669 42.0196
20.874025 72.681 41.1017
21.240236 72.693 40.1959
21.606447 72.703 39.3101
21.972658 72.713 38.4502
22.338869 72.724 37.6140
22.705080 72.735 36.7957
23.071291 72.745 35.9941
23.437502 72.754 35.2151
23.803713 72.760 34.4656
24.169924 72.767 33.7455
24.536135 72.773 33.0462
24.902346 72.778 32.3580
25.268557 72.783 31.6779
25.634768 72.784 31.0100
26.000979 72.784 30.3590
26.367190 72.782 29.7246
26.733401 72.780 29.1012
27.099612 72.778 28.4828
27.465823 72.776 27.8676
27.832033 72.773 27.2564
28.198244 72.770 26.6498
28.564455 72.766 26.0464
28.930666 72.763 25.4455
29.296877 72.760 24.8491
29.663088 72.756 24.2620
30.029299 72.752 23.6879
30.395510 72.749 23.1268
30.761721 72.747 22.5751
31.127932 72.746 22.0303
31.494143 72.744 21.4927
31.860354 72.742 20.9651
32.226565 72.740 20.4501
32.592776 72.737 19.9474
32.958987 72.735 19.4545
33.325198 72.732 18.9700
33.691409 72.729 18.4927
34.057620 72.725 18.0221
34.423831 72.721 17.5569
34.790042 72.717 17.0956
35.156253 72.712 16.6371
35.522464 72.707 16.1825
35.888675 72.700 15.7333
36.254886 72.694 15.2899
36.621097 72.688 14.8508
36.987308 72.682 14.4143
37.353519 72.676 13.9802
37.719730 72.670 13.5498
38.085941 72.664 13.1246
38.452152 72.658 12.7042
38.818363 72.653 12.2870
39.184573 72.648 11.8723
39.550784 72.642 11.4613
39.916995 72.637 11.0569
40.283206 72.632 10.6613
40.649417 72.627 10.2738
41.015628 72.624 9.8917
41.381839 72.620 9.5114
41.748050 72.617 9.1307
42.114261 72.613 8.7502
42.480472 72.608 8.3726
42.846683 72.603 8.0005
43.212894 72.597 7.6359
43.579105 72.590 7.2785
43.945316 72.584 6.9266
44.311527 72.579 6.5781
44.677738 72.573 6.2313
45.043949 72.568 5.8856
45.410160 72.562 5.5414
45.776371 72.557 5.1990
46.142582 72.551 4.8587
46.508793 72.545 4.5204
46.875004 72.539 4.1850
47.241215 72.532 3.8536
47.607426 72.525 3.5277
47.973637 72.519 3.2065
48.339848 72.513 2.8889
48.706059 72.506 2.5726
49.072270 72.500 2.2571
49.438481 72.494 1.9432
49.804692 72.487 1.6328
50.170902 72.481 1.3257
50.537113 72.475 1.0209
50.903324 72.469 0.7161
51.269535 72.463 0.4104
51.635746 72.456 0.1051
52.001957 72.449 -0.1976
52.368168 72.442 -0.4961
52.734379 72.434 -0.7906
53.100590 72.427 -1.0823
53.466801 72.419 -1.3717
53.833012 72.412 -1.6584
54.199223 72.404 -1.9417
54.565434 72.396 -2.2206
54.931645 72.389 -2.4962
55.297856 72.382 -2.7698
55.664067 72.375 -3.0425
56.030278 72.368 -3.3151
56.396489 72.361 -3.5869
56.762700 72.354 -3.8580
57.128911 72.347 -4.1283
57.495122 72.339 -4.3976
57.861333 72.331 -4.6655
58.227544 72.323 -4.9313
58.593755 72.314 -5.1943
58.959966 72.306 -5.4542
59.326177 72.297 -5.7115
59.692388 72.288 -5.9670
60.058599 72.280 -6.2211
60.424810 72.271 -6.4736
60.791021 72.262 -6.7241
61.157232 72.254 -6.9722
61.523442 72.245 -7.2179
61.889653 72.236 -7.4619
62.255864 72.228 -7.7047
62.622075 72.219 -7.9465
62.988286 72.210 -8.1866
63.354497 72.201 -8.4240
63.720708 72.191 -8.6580
64.086919 72.181 -8.8896
64.453130 72.172 -9.1204
64.819341 72.162 -9.3514
65.185552 72.152 -9.5833
65.551763 72.142 -9.8138
65.917974 72.131 -10.0414
66.284185 72.120 -10.2650
66.650396 72.109 -10.4854
67.016607 72.099 -10.7048
67.382818 72.089 -10.9250
67.749029 72.078 -11.1468
68.115240 72.068 -11.3687
68.481451 72.057 -11.5889
68.847662 72.046 -11.8065
69.213873 72.035 -12.0217
69.580084 72.024 -12.2357
69.946295 72.013 -12.4495
70.312506 72.002 -12.6631
70.678717 71.992 -12.8760
71.044928 71.981 -13.0875
71.411139 71.970 -13.2969
71.777350 71.959 -13.5042
72.143561 71.948 -13.7093
72.509771 71.937 -13.9122
72.875982 71.926 -14.1131
73.242193 71.915 -14.3124
73.608404 71.904 -14.5105
73.974615 71.893 -14.7085
74.340826 71.882 -14.9061
74.707037 71.871 -15.1030
75.073248 71.860 -15.2980
75.439459 71.848 -15.4905
75.805670 71.836 -15.6807
76.171881 71.825 -15.8696
76.538092 71.814 -16.0582
76.904303 71.802 -16.2472
77.270514 71.791 -16.4360
77.636725 71.779 -16.6240
78.002936 71.767 -16.8107
78.369147 71.756 -16.9960
78.735358 71.744 -17.1803
79.101569 71.732 -17.3641
79.467780 71.720 -17.5470
79.833991 71.708 -17.7284
80.200202 71.697 -17.9081
80.566413 71.685 -18.0864
80.932624 71.674 -18.2643
81.298835 71.662 -18.4421
81.665046 71.651 -18.6202
82.031257 71.639 -18.7979
82.397468 71.627 -18.9742
82.763679 71.615 -19.1487
83.129890 71.603 -19.3213
83.496101 71.591 -19.4921
83.862311 71.579 -19.6611
84.228522 71.567 -19.8282
84.594733 71.555 -19.9935
84.960944 71.543 -20.1572
85.327155 71.531 -20.3198
85.693366 71.519 -20.4822
86.059577 71.508 -20.6449
86.425788 71.496 -20.8079
86.791999 71.484 -20.9711
87.158210 71.473 -21.1340
87.524421 71.460 -21.2960
87.890632 71.448 -21.4569
88.256843 71.436 -21.6163
88.623054 71.423 -21.7742
88.989265 71.411 -21.9303
89.355476 71.398 -22.0850
89.721687 71.386 -22.2386
90.087898 71.374 -22.3916
90.454109 71.362 -22.5443
90.820320 71.350 -22.6969
91.186531 71.337 -22.8492
91.552742 71.325 -23.0012
91.918953 71.313 -23.1526
92.285164 71.301 -23.3031
92.651375 71.288 -23.4528
93.017586 71.276 -23.6012
93.383797 71.263 -23.7482
93.750008 71.251 -23.8940
94.116219 71.239 -24.0385
94.482430 71.226 -24.1821
94.848641 71.214 -24.3256
95.214851 71.202 -24.4687
95.581062 71.190 -24.6116
95.947273 71.177 -24.7537
96.313484 71.165 -24.8948
96.679695 71.152 -25.0348
97.045906 71.139 -25.1735
97.412117 71.127 -25.3113
97.778328 71.114 -25.4481
98.144539 71.101 -25.5842
98.510750 71.089 -25.7198
98.876961 71.076 -25.8549
99.243172 71.063 -25.9893
99.609383 71.051 -26.1229
99.975594 71.038 -26.2554
100.341805 71.025 -26.3867
100.708016 71.013 -26.5169
101.074227 71.000 -26.6464
101.440438 70.988 -26.7757
101.806649 70.976 -26.9053
102.172860 70.964 -27.0354
102.539071 70.952 -27.1658
102.905282 70.939 -27.2960
103.271493 70.927 -27.4255
103.637704 70.914 -27.5537
104.003915 70.901 -27.6804
104.370126 70.888 -27.8058
104.736337 70.876 -27.9301
105.102548 70.863 -28.0531
105.468759 70.850 -28.1750
105.834970 70.837 -28.2960
106.201180 70.824 -28.4158
106.567391 70.812 -28.5347
106.933602 70.799 -28.6533
107.299813 70.787 -28.7718
107.666024 70.774 -28.8906
108.032235 70.762 -29.0094
108.398446 70.749 -29.1279
108.764657 70.737 -29.2458
109.130868 70.724 -29.3627
109.497079 70.711 -29.4788
109.863290 70.699 -29.5940
110.229501 70.686 -29.7086
110.595712 70.673 -29.8223
110.961923 70.661 -29.9351
111.328134 70.648 -30.0469
111.694345 70.636 -30.1577
112.060556 70.623 -30.2681
112.426767 70.611 -30.3782
112.792978 70.599 -30.4885
113.159189 70.587 -30.5988
113.525400 70.574 -30.7090
113.891611 70.562 -30.8190
114.257822 70.549 -30.9286
114.624033 70.537 -31.0377
114.990244 70.524 -31.1459
115.356455 70.512 -31.2530
115.722666 70.499 -31.3588
116.088877 70.486 -31.4633
116.455088 70.474 -31.5671
116.821299 70.461 -31.6710
117.187510 70.449 -31.7751
117.553720 70.437 -31.8795
117.919931 70.424 -31.9837
118.286142 70.411 -32.0870
118.652353 70.399 -32.1892
119.018564 70.386 -32.2902
119.384775 70.373 -32.3904
119.750986 70.361 -32.4901
120.117197 70.348 -32.5894
120.483408 70.336 -32.6882
120.849619 70.323 -32.7864
121.215830 70.310 -32.8837
121.582041 70.298 -32.9802
121.948252 70.286 -33.0764
122.314463 70.273 -33.1726
122.680674 70.261 -33.2691
123.046885 70.249 -33.3659
123.413096 70.236 -33.4628
123.779307 70.224 -33.5594
124.145518 70.212 -33.6556
124.511729 70.200 -33.7513
124.877940 70.188 -33.8466
125.244151 70.177 -33.9414
125.610362 70.165 -34.0360
125.976573 70.154 -34.1305
126.342784 70.143 -34.2246
126.708995 70.132 -34.3181
127.075206 70.121 -34.4106
127.441417 70.110 -34.5022
127.807628 70.099 -34.5929
128.173839 70.088 -34.6830
128.540049 70.077 -34.7729
128.906260 70.067 -34.8625
129.272471 70.056 -34.9520
129.638682 70.045 -35.0410
130.004893 70.034 -35.1293
130.371104 70.023 -35.2169
130.737315 70.012 -35.3038
131.103526 70.001 -35.3902
131.469737 69.990 -35.4760
131.835948 69.979 -35.5610
132.202159 69.968 -35.6454
132.568370 69.957 -35.7289
132.934581 69.946 -35.8119
133.300792 69.936 -35.8946
133.667003 69.925 -35.9774
134.033214 69.914 -36.0605
134.399425 69.903 -36.1437
134.765636 69.893 -36.2264
135.131847 69.882 -36.3085
135.498058 69.871 -36.3897
135.864269 69.860 -36.4700
136.230480 69.850 -36.5498
136.596691 69.839 -36.6296
136.962902 69.829 -36.7097
137.329113 69.818 -36.7903
137.695324 69.808 -36.8710
138.061535 69.797 -36.9514
138.427746 69.787 -37.0313
138.793957 69.776 -37.1102
139.160168 69.765 -37.1882
139.526379 69.754 -37.2654
139.892589 69.744 -37.3420
140.258800 69.733 -37.4181
140.625011 69.722 -37.4938
140.991222 69.712 -37.5692
141.357433 69.701 -37.6440
141.723644 69.690 -37.7185
142.089855 69.680 -37.7927
142.456066 69.669 -37.8666
142.822277 69.659 -37.9403
143.188488 69.648 -38.0138
143.554699 69.637 -38.0869
143.920910 69.627 -38.1597
144.287121 69.616 -38.2321
144.653332 69.606 -38.3042
145.019543 69.595 -38.3765
145.385754 69.585 -38.4490
145.751965 69.575 -38.5217
146.118176 69.564 -38.5944
