* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2023 4:48:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Neon Pro Bass Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.335 -30.3003
0.732422 64.331 -63.4039
1.098633 61.017 -104.9627
1.464844 57.983 -163.5597
1.831055 58.075 137.9284
2.197266 58.370 100.6595
2.563477 56.402 81.5422
2.929688 52.349 97.8831
3.295899 56.014 138.0201
3.662110 60.955 137.3620
4.028321 63.588 126.5960
4.394532 64.697 115.9417
4.760743 64.886 109.1404
5.126954 64.850 107.8976
5.493164 65.317 110.0649
5.859375 66.350 110.6284
6.225586 67.416 107.7036
6.591797 68.156 102.8625
6.958008 68.549 98.1979
7.324219 68.772 94.9558
7.690430 69.049 93.0659
8.056641 69.482 91.4485
8.422852 69.992 89.1795
8.789063 70.449 86.2424
9.155274 70.794 83.2126
9.521485 71.057 80.6136
9.887696 71.302 78.5476
10.253907 71.499 76.7476
10.620118 71.677 74.9187
10.986329 71.832 73.0007
11.352540 71.948 71.1273
11.718751 72.034 69.4233
12.084962 72.109 67.8757
12.451173 72.181 66.3783
12.817384 72.287 64.8623
13.183595 72.377 63.3578
13.549806 72.446 61.9337
13.916017 72.505 60.6057
14.282228 72.565 59.3122
14.648439 72.624 57.9803
15.014650 72.670 56.6009
15.380861 72.702 55.2321
15.747072 72.723 53.9351
16.113283 72.751 52.7149
16.479493 72.795 51.5233
16.845704 72.842 50.3150
17.211915 72.884 49.0929
17.578126 72.919 47.8999
17.944337 72.949 46.7732
18.310548 72.980 45.7124
18.676759 73.013 44.6910
19.042970 73.045 43.6891
19.409181 73.072 42.7117
19.775392 73.095 41.7748
20.141603 73.116 40.8827
20.507814 73.137 40.0208
20.874025 73.155 39.1736
21.240236 73.169 38.3397
21.606447 73.177 37.5312
21.972658 73.182 36.7542
22.338869 73.187 35.9976
22.705080 73.193 35.2413
23.071291 73.196 34.4755
23.437502 73.196 33.7089
23.803713 73.193 32.9578
24.169924 73.190 32.2286
24.536135 73.189 31.5124
24.902346 73.190 30.7959
25.268557 73.191 30.0764
25.634768 73.191 29.3642
26.000979 73.191 28.6720
26.367190 73.191 28.0030
26.733401 73.193 27.3507
27.099612 73.195 26.7079
27.465823 73.198 26.0745
27.832033 73.199 25.4557
28.198244 73.199 24.8560
28.564455 73.198 24.2736
28.930666 73.197 23.7043
29.296877 73.195 23.1464
29.663088 73.192 22.6012
30.029299 73.188 22.0695
30.395510 73.183 21.5467
30.761721 73.179 21.0261
31.127932 73.174 20.5045
31.494143 73.167 19.9848
31.860354 73.159 19.4731
32.226565 73.150 18.9720
32.592776 73.143 18.4778
32.958987 73.136 17.9844
33.325198 73.129 17.4894
33.691409 73.122 16.9957
34.057620 73.115 16.5089
34.423831 73.108 16.0317
34.790042 73.101 15.5640
35.156253 73.095 15.1035
35.522464 73.089 14.6494
35.888675 73.084 14.2012
36.254886 73.079 13.7584
36.621097 73.074 13.3196
36.987308 73.068 12.8847
37.353519 73.061 12.4557
37.719730 73.054 12.0360
38.085941 73.046 11.6272
38.452152 73.038 11.2263
38.818363 73.031 10.8282
39.184573 73.024 10.4298
39.550784 73.016 10.0320
39.916995 73.008 9.6381
40.283206 73.000 9.2506
40.649417 72.992 8.8683
41.015628 72.985 8.4885
41.381839 72.978 8.1088
41.748050 72.971 7.7295
42.114261 72.964 7.3523
42.480472 72.957 6.9789
42.846683 72.950 6.6099
43.212894 72.942 6.2453
43.579105 72.934 5.8861
43.945316 72.927 5.5328
44.311527 72.919 5.1848
44.677738 72.912 4.8405
45.043949 72.905 4.4980
45.410160 72.898 4.1577
45.776371 72.891 3.8208
46.142582 72.883 3.4884
46.508793 72.875 3.1603
46.875004 72.867 2.8348
47.241215 72.860 2.5114
47.607426 72.852 2.1902
47.973637 72.844 1.8727
48.339848 72.836 1.5585
48.706059 72.828 1.2457
49.072270 72.821 0.9319
49.438481 72.814 0.6160
49.804692 72.806 0.3000
50.170902 72.797 -0.0127
50.537113 72.788 -0.3195
50.903324 72.780 -0.6196
51.269535 72.771 -0.9147
51.635746 72.763 -1.2071
52.001957 72.755 -1.4985
52.368168 72.747 -1.7894
52.734379 72.739 -2.0791
53.100590 72.730 -2.3663
53.466801 72.721 -2.6504
53.833012 72.713 -2.9313
54.199223 72.704 -3.2101
54.565434 72.695 -3.4886
54.931645 72.686 -3.7672
55.297856 72.677 -4.0451
55.664067 72.667 -4.3202
56.030278 72.657 -4.5907
56.396489 72.648 -4.8566
56.762700 72.639 -5.1195
57.128911 72.630 -5.3813
57.495122 72.621 -5.6438
57.861333 72.612 -5.9065
58.227544 72.604 -6.1685
58.593755 72.595 -6.4287
58.959966 72.585 -6.6866
59.326177 72.576 -6.9420
59.692388 72.566 -7.1945
60.058599 72.557 -7.4438
60.424810 72.547 -7.6901
60.791021 72.538 -7.9341
61.157232 72.528 -8.1769
61.523442 72.519 -8.4188
61.889653 72.509 -8.6600
62.255864 72.499 -8.8997
62.622075 72.488 -9.1371
62.988286 72.477 -9.3718
63.354497 72.466 -9.6040
63.720708 72.455 -9.8344
64.086919 72.444 -10.0639
64.453130 72.433 -10.2934
64.819341 72.422 -10.5231
65.185552 72.411 -10.7523
65.551763 72.400 -10.9802
65.917974 72.389 -11.2062
66.284185 72.377 -11.4303
66.650396 72.366 -11.6531
67.016607 72.355 -11.8749
67.382818 72.343 -12.0956
67.749029 72.331 -12.3142
68.115240 72.319 -12.5297
68.481451 72.307 -12.7413
68.847662 72.296 -12.9497
69.213873 72.284 -13.1560
69.580084 72.273 -13.3617
69.946295 72.262 -13.5679
70.312506 72.251 -13.7751
70.678717 72.239 -13.9829
71.044928 72.227 -14.1904
71.411139 72.215 -14.3964
71.777350 72.203 -14.5997
72.143561 72.191 -14.8008
72.509771 72.179 -15.0001
72.875982 72.167 -15.1991
73.242193 72.154 -15.3981
73.608404 72.142 -15.5966
73.974615 72.130 -15.7935
74.340826 72.117 -15.9880
74.707037 72.105 -16.1804
75.073248 72.093 -16.3717
75.439459 72.081 -16.5627
75.805670 72.069 -16.7532
76.171881 72.057 -16.9425
76.538092 72.044 -17.1299
76.904303 72.032 -17.3154
77.270514 72.020 -17.4998
77.636725 72.008 -17.6836
78.002936 71.996 -17.8674
78.369147 71.984 -18.0508
78.735358 71.971 -18.2333
79.101569 71.959 -18.4141
79.467780 71.947 -18.5933
79.833991 71.934 -18.7709
80.200202 71.922 -18.9474
80.566413 71.910 -19.1232
80.932624 71.898 -19.2985
81.298835 71.886 -19.4735
81.665046 71.874 -19.6484
82.031257 71.861 -19.8229
82.397468 71.849 -19.9959
82.763679 71.836 -20.1667
83.129890 71.823 -20.3347
83.496101 71.810 -20.4996
83.862311 71.797 -20.6624
84.228522 71.785 -20.8240
84.594733 71.773 -20.9856
84.960944 71.761 -21.1477
85.327155 71.749 -21.3102
85.693366 71.736 -21.4727
86.059577 71.724 -21.6346
86.425788 71.711 -21.7958
86.791999 71.699 -21.9559
87.158210 71.686 -22.1150
87.524421 71.674 -22.2730
87.890632 71.661 -22.4299
88.256843 71.648 -22.5856
88.623054 71.636 -22.7402
88.989265 71.623 -22.8945
89.355476 71.611 -23.0485
89.721687 71.599 -23.2023
90.087898 71.586 -23.3558
90.454109 71.574 -23.5086
90.820320 71.561 -23.6603
91.186531 71.549 -23.8108
91.552742 71.536 -23.9600
91.918953 71.523 -24.1083
92.285164 71.511 -24.2557
92.651375 71.498 -24.4024
93.017586 71.485 -24.5483
93.383797 71.472 -24.6932
93.750008 71.459 -24.8369
94.116219 71.446 -24.9795
94.482430 71.433 -25.1210
94.848641 71.420 -25.2618
95.214851 71.407 -25.4020
95.581062 71.395 -25.5417
95.947273 71.382 -25.6811
96.313484 71.369 -25.8198
96.679695 71.356 -25.9581
97.045906 71.343 -26.0956
97.412117 71.330 -26.2323
97.778328 71.317 -26.3684
98.144539 71.304 -26.5038
98.510750 71.291 -26.6382
98.876961 71.278 -26.7715
99.243172 71.265 -26.9034
99.609383 71.252 -27.0339
99.975594 71.240 -27.1631
100.341805 71.227 -27.2914
100.708016 71.215 -27.4195
101.074227 71.202 -27.5480
101.440438 71.190 -27.6772
101.806649 71.178 -27.8068
102.172860 71.165 -27.9363
102.539071 71.152 -28.0651
102.905282 71.139 -28.1925
103.271493 71.126 -28.3182
103.637704 71.113 -28.4421
104.003915 71.100 -28.5647
104.370126 71.087 -28.6864
104.736337 71.074 -28.8077
105.102548 71.061 -28.9290
105.468759 71.049 -29.0503
105.834970 71.036 -29.1716
106.201180 71.023 -29.2926
106.567391 71.010 -29.4131
106.933602 70.998 -29.5333
107.299813 70.985 -29.6530
107.666024 70.972 -29.7722
108.032235 70.959 -29.8907
108.398446 70.946 -30.0084
108.764657 70.933 -30.1249
109.130868 70.920 -30.2400
109.497079 70.907 -30.3539
109.863290 70.894 -30.4669
110.229501 70.882 -30.5795
110.595712 70.869 -30.6917
110.961923 70.857 -30.8037
111.328134 70.844 -30.9153
111.694345 70.831 -31.0263
112.060556 70.819 -31.1366
112.426767 70.806 -31.2462
112.792978 70.794 -31.3550
113.159189 70.781 -31.4631
113.525400 70.769 -31.5706
113.891611 70.756 -31.6774
114.257822 70.744 -31.7834
114.624033 70.731 -31.8892
114.990244 70.719 -31.9950
115.356455 70.707 -32.1011
115.722666 70.694 -32.2075
116.088877 70.682 -32.3141
116.455088 70.669 -32.4200
116.821299 70.656 -32.5250
117.187510 70.643 -32.6285
117.553720 70.630 -32.7306
117.919931 70.617 -32.8315
118.286142 70.604 -32.9319
118.652353 70.592 -33.0322
119.018564 70.579 -33.1324
119.384775 70.567 -33.2328
119.750986 70.554 -33.3330
120.117197 70.542 -33.4325
120.483408 70.529 -33.5311
120.849619 70.517 -33.6288
121.215830 70.504 -33.7257
121.582041 70.492 -33.8221
121.948252 70.480 -33.9185
122.314463 70.467 -34.0147
122.680674 70.455 -34.1110
123.046885 70.443 -34.2068
123.413096 70.430 -34.3018
123.779307 70.418 -34.3954
124.145518 70.405 -34.4879
124.511729 70.393 -34.5793
124.877940 70.381 -34.6705
125.244151 70.370 -34.7617
125.610362 70.358 -34.8528
125.976573 70.347 -34.9434
126.342784 70.335 -35.0331
126.708995 70.324 -35.1218
127.075206 70.313 -35.2098
127.441417 70.301 -35.2976
127.807628 70.291 -35.3862
128.173839 70.280 -35.4756
128.540049 70.269 -35.5658
128.906260 70.258 -35.6560
129.272471 70.246 -35.7455
129.638682 70.235 -35.8336
130.004893 70.224 -35.9207
130.371104 70.213 -36.0070
130.737315 70.202 -36.0930
131.103526 70.191 -36.1792
131.469737 70.181 -36.2655
131.835948 70.170 -36.3516
132.202159 70.159 -36.4369
132.568370 70.148 -36.5210
132.934581 70.137 -36.6038
133.300792 70.127 -36.6855
133.667003 70.116 -36.7665
134.033214 70.105 -36.8472
134.399425 70.095 -36.9276
134.765636 70.085 -37.0079
135.131847 70.074 -37.0880
135.498058 70.064 -37.1677
135.864269 70.053 -37.2473
136.230480 70.043 -37.3269
136.596691 70.032 -37.4066
136.962902 70.022 -37.4865
137.329113 70.011 -37.5662
137.695324 70.001 -37.6454
138.061535 69.990 -37.7241
138.427746 69.979 -37.8021
138.793957 69.968 -37.8798
139.160168 69.958 -37.9570
139.526379 69.947 -38.0343
139.892589 69.936 -38.1113
140.258800 69.925 -38.1881
140.625011 69.915 -38.2645
140.991222 69.904 -38.3406
141.357433 69.893 -38.4165
141.723644 69.883 -38.4923
142.089855 69.872 -38.5682
142.456066 69.861 -38.6441
142.822277 69.851 -38.7197
143.188488 69.840 -38.7947
143.554699 69.830 -38.8691
143.920910 69.819 -38.9430
144.287121 69.809 -39.0165
144.653332 69.798 -39.0897
145.019543 69.788 -39.1628
145.385754 69.777 -39.2356
145.751965 69.767 -39.3079
