* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 14, 2023 4:55:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Neon Pro Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 56.024 169.3304
0.732422 55.288 158.9756
1.098633 53.967 149.7798
1.464844 51.988 143.9492
1.831055 49.608 146.3234
2.197266 48.412 160.4969
2.563477 49.882 172.4440
2.929688 52.184 171.6695
3.295899 54.072 163.6325
3.662110 55.441 153.4934
4.028321 56.447 144.0611
4.394532 57.301 136.6619
4.760743 58.203 131.3360
5.126954 59.250 127.1191
5.493164 60.383 122.9442
5.859375 61.467 118.4351
6.225586 62.407 113.8714
6.591797 63.187 109.7183
6.958008 63.855 106.2423
7.324219 64.467 103.3678
7.690430 65.054 100.7886
8.056641 65.607 98.2254
8.422852 66.099 95.6003
8.789063 66.517 93.0083
9.155274 66.871 90.5709
9.521485 67.185 88.3168
9.887696 67.474 86.1709
10.253907 67.673 84.0344
10.620118 67.818 81.8677
10.986329 67.938 79.7042
11.352540 68.037 77.6004
11.718751 68.124 75.5815
12.084962 68.207 73.6300
12.451173 68.289 71.7179
12.817384 68.411 69.8410
13.183595 68.533 68.0231
13.549806 68.647 66.2911
13.916017 68.755 64.6507
14.282228 68.860 63.0871
14.648439 68.960 61.5836
15.014650 69.051 60.1383
15.380861 69.133 58.7613
15.747072 69.207 57.4593
16.113283 69.279 56.2242
16.479493 69.355 55.0381
16.845704 69.425 53.8864
17.211915 69.487 52.7654
17.578126 69.541 51.6776
17.944337 69.588 50.6222
18.310548 69.631 49.5908
18.676759 69.670 48.5739
19.042970 69.704 47.5680
19.409181 69.734 46.5777
19.775392 69.762 45.6087
20.141603 69.790 44.6611
20.507814 69.819 43.7297
20.874025 69.848 42.8093
21.240236 69.877 41.9006
21.606447 69.904 41.0101
21.972658 69.930 40.1453
22.338869 69.955 39.3092
22.705080 69.980 38.5009
23.071291 70.005 37.7179
23.437502 70.028 36.9589
23.803713 70.050 36.2236
24.169924 70.071 35.5106
24.536135 70.089 34.8179
24.902346 70.106 34.1435
25.268557 70.121 33.4867
25.634768 70.133 32.8472
26.000979 70.144 32.2235
26.367190 70.153 31.6123
26.733401 70.161 31.0096
27.099612 70.168 30.4135
27.465823 70.173 29.8240
27.832033 70.177 29.2421
28.198244 70.181 28.6675
28.564455 70.185 28.0986
28.930666 70.189 27.5339
29.296877 70.192 26.9736
29.663088 70.196 26.4195
30.029299 70.199 25.8739
30.395510 70.202 25.3383
30.761721 70.205 24.8136
31.127932 70.208 24.3004
31.494143 70.211 23.7993
31.860354 70.214 23.3103
32.226565 70.217 22.8318
32.592776 70.219 22.3619
32.958987 70.221 21.9000
33.325198 70.222 21.4467
33.691409 70.222 21.0035
34.057620 70.221 20.5704
34.423831 70.220 20.1451
34.790042 70.219 19.7243
35.156253 70.217 19.3063
35.522464 70.214 18.8916
35.888675 70.210 18.4825
36.254886 70.205 18.0805
36.621097 70.201 17.6844
36.987308 70.197 17.2913
37.353519 70.194 16.8984
37.719730 70.190 16.5053
38.085941 70.186 16.1138
38.452152 70.182 15.7269
38.818363 70.177 15.3466
39.184573 70.173 14.9733
39.550784 70.169 14.6057
39.916995 70.165 14.2423
40.283206 70.162 13.8821
40.649417 70.159 13.5256
41.015628 70.156 13.1742
41.381839 70.153 12.8296
41.748050 70.149 12.4922
42.114261 70.146 12.1608
42.480472 70.143 11.8331
42.846683 70.139 11.5071
43.212894 70.135 11.1825
43.579105 70.131 10.8606
43.945316 70.126 10.5431
44.311527 70.122 10.2304
44.677738 70.117 9.9213
45.043949 70.112 9.6136
45.410160 70.107 9.3056
45.776371 70.102 8.9975
46.142582 70.096 8.6911
46.508793 70.090 8.3887
46.875004 70.083 8.0922
47.241215 70.077 7.8018
47.607426 70.071 7.5165
47.973637 70.065 7.2342
48.339848 70.060 6.9529
48.706059 70.055 6.6708
49.072270 70.050 6.3873
49.438481 70.044 6.1032
49.804692 70.038 5.8200
50.170902 70.031 5.5401
50.537113 70.025 5.2655
50.903324 70.018 4.9976
51.269535 70.011 4.7357
51.635746 70.005 4.4780
52.001957 69.999 4.2216
52.368168 69.994 3.9644
52.734379 69.989 3.7054
53.100590 69.983 3.4458
53.466801 69.977 3.1879
53.833012 69.970 2.9341
54.199223 69.963 2.6855
54.565434 69.956 2.4421
54.931645 69.949 2.2027
55.297856 69.942 1.9658
55.664067 69.936 1.7306
56.030278 69.930 1.4964
56.396489 69.923 1.2631
56.762700 69.917 1.0302
57.128911 69.911 0.7976
57.495122 69.904 0.5655
57.861333 69.897 0.3339
58.227544 69.890 0.1033
58.593755 69.882 -0.1261
58.959966 69.874 -0.3540
59.326177 69.866 -0.5796
59.692388 69.858 -0.8022
60.058599 69.850 -1.0214
60.424810 69.842 -1.2374
60.791021 69.835 -1.4509
61.157232 69.827 -1.6635
61.523442 69.820 -1.8761
61.889653 69.813 -2.0893
62.255864 69.806 -2.3025
62.622075 69.799 -2.5148
62.988286 69.791 -2.7252
63.354497 69.782 -2.9331
63.720708 69.774 -3.1383
64.086919 69.765 -3.3413
64.453130 69.756 -3.5426
64.819341 69.748 -3.7426
65.185552 69.739 -3.9413
65.551763 69.730 -4.1383
65.917974 69.720 -4.3334
66.284185 69.711 -4.5269
66.650396 69.703 -4.7196
67.016607 69.694 -4.9126
67.382818 69.685 -5.1066
67.749029 69.676 -5.3016
68.115240 69.667 -5.4967
68.481451 69.657 -5.6902
68.847662 69.648 -5.8810
69.213873 69.638 -6.0685
69.580084 69.628 -6.2533
69.946295 69.619 -6.4367
70.312506 69.610 -6.6196
70.678717 69.601 -6.8022
71.044928 69.592 -6.9840
71.411139 69.583 -7.1641
71.777350 69.574 -7.3422
72.143561 69.565 -7.5184
72.509771 69.556 -7.6938
72.875982 69.547 -7.8691
73.242193 69.538 -8.0443
73.608404 69.529 -8.2189
73.974615 69.520 -8.3924
74.340826 69.511 -8.5647
74.707037 69.501 -8.7360
75.073248 69.492 -8.9071
75.439459 69.482 -9.0780
75.805670 69.472 -9.2478
76.171881 69.462 -9.4156
76.538092 69.452 -9.5811
76.904303 69.443 -9.7446
77.270514 69.433 -9.9076
77.636725 69.424 -10.0712
78.002936 69.415 -10.2353
78.369147 69.405 -10.3987
78.735358 69.395 -10.5600
79.101569 69.386 -10.7183
79.467780 69.377 -10.8745
79.833991 69.368 -11.0306
80.200202 69.360 -11.1885
80.566413 69.351 -11.3489
80.932624 69.342 -11.5104
81.298835 69.333 -11.6709
81.665046 69.323 -11.8282
82.031257 69.313 -11.9816
82.397468 69.303 -12.1316
82.763679 69.293 -12.2799
83.129890 69.283 -12.4273
83.496101 69.274 -12.5744
83.862311 69.264 -12.7210
84.228522 69.255 -12.8670
84.594733 69.246 -13.0128
84.960944 69.236 -13.1590
85.327155 69.227 -13.3057
85.693366 69.217 -13.4525
86.059577 69.207 -13.5981
86.425788 69.197 -13.7415
86.791999 69.187 -13.8826
87.158210 69.177 -14.0220
87.524421 69.168 -14.1609
87.890632 69.158 -14.3000
88.256843 69.149 -14.4395
88.623054 69.139 -14.5786
88.989265 69.129 -14.7167
89.355476 69.119 -14.8535
89.721687 69.110 -14.9892
90.087898 69.100 -15.1247
90.454109 69.091 -15.2603
90.820320 69.081 -15.3957
91.186531 69.071 -15.5301
91.552742 69.061 -15.6627
91.918953 69.051 -15.7933
92.285164 69.041 -15.9226
92.651375 69.032 -16.0516
93.017586 69.022 -16.1815
93.383797 69.013 -16.3125
93.750008 69.003 -16.4440
94.116219 68.994 -16.5750
94.482430 68.984 -16.7043
94.848641 68.974 -16.8319
95.214851 68.964 -16.9584
95.581062 68.954 -17.0846
95.947273 68.944 -17.2109
96.313484 68.935 -17.3369
96.679695 68.924 -17.4616
97.045906 68.914 -17.5843
97.412117 68.904 -17.7050
97.778328 68.895 -17.8247
98.144539 68.885 -17.9444
98.510750 68.875 -18.0646
98.876961 68.866 -18.1852
99.243172 68.856 -18.3053
99.609383 68.846 -18.4241
99.975594 68.836 -18.5416
100.341805 68.826 -18.6584
100.708016 68.816 -18.7751
101.074227 68.806 -18.8920
101.440438 68.796 -19.0084
101.806649 68.786 -19.1233
102.172860 68.776 -19.2362
102.539071 68.766 -19.3475
102.905282 68.756 -19.4583
103.271493 68.747 -19.5699
103.637704 68.737 -19.6827
104.003915 68.728 -19.7965
104.370126 68.718 -19.9100
104.736337 68.708 -20.0223
105.102548 68.698 -20.1329
105.468759 68.687 -20.2418
105.834970 68.677 -20.3495
106.201180 68.667 -20.4565
106.567391 68.657 -20.5632
106.933602 68.648 -20.6696
107.299813 68.638 -20.7759
107.666024 68.628 -20.8822
108.032235 68.618 -20.9885
108.398446 68.608 -21.0947
108.764657 68.598 -21.2004
109.130868 68.588 -21.3052
109.497079 68.578 -21.4089
109.863290 68.568 -21.5113
110.229501 68.558 -21.6126
110.595712 68.548 -21.7131
110.961923 68.538 -21.8134
111.328134 68.528 -21.9142
111.694345 68.519 -22.0158
112.060556 68.509 -22.1185
112.426767 68.500 -22.2214
112.792978 68.490 -22.3236
113.159189 68.480 -22.4239
113.525400 68.470 -22.5218
113.891611 68.460 -22.6178
114.257822 68.450 -22.7131
114.624033 68.441 -22.8091
114.990244 68.432 -22.9064
115.356455 68.423 -23.0050
115.722666 68.414 -23.1043
116.088877 68.405 -23.2036
116.455088 68.396 -23.3024
116.821299 68.386 -23.4003
117.187510 68.376 -23.4969
117.553720 68.366 -23.5911
117.919931 68.355 -23.6824
118.286142 68.345 -23.7705
118.652353 68.335 -23.8564
119.018564 68.326 -23.9420
119.384775 68.316 -24.0288
119.750986 68.307 -24.1177
120.117197 68.298 -24.2079
120.483408 68.288 -24.2979
120.849619 68.278 -24.3862
121.215830 68.267 -24.4725
121.582041 68.257 -24.5576
121.948252 68.248 -24.6429
122.314463 68.238 -24.7296
122.680674 68.228 -24.8174
123.046885 68.218 -24.9054
123.413096 68.208 -24.9919
123.779307 68.198 -25.0763
124.145518 68.188 -25.1587
124.511729 68.178 -25.2401
124.877940 68.170 -25.3222
125.244151 68.162 -25.4059
125.610362 68.154 -25.4917
125.976573 68.146 -25.5791
126.342784 68.138 -25.6670
126.708995 68.129 -25.7541
127.075206 68.121 -25.8395
127.441417 68.113 -25.9229
127.807628 68.105 -26.0044
128.173839 68.097 -26.0845
128.540049 68.089 -26.1638
128.906260 68.081 -26.2429
129.272471 68.074 -26.3220
129.638682 68.066 -26.4015
130.004893 68.059 -26.4816
130.371104 68.052 -26.5624
130.737315 68.044 -26.6439
131.103526 68.036 -26.7259
131.469737 68.029 -26.8079
131.835948 68.021 -26.8893
132.202159 68.012 -26.9696
132.568370 68.004 -27.0486
132.934581 67.996 -27.1267
133.300792 67.988 -27.2041
133.667003 67.979 -27.2813
134.033214 67.971 -27.3585
134.399425 67.963 -27.4355
134.765636 67.954 -27.5119
135.131847 67.946 -27.5873
135.498058 67.937 -27.6613
135.864269 67.928 -27.7339
136.230480 67.920 -27.8054
136.596691 67.912 -27.8763
136.962902 67.903 -27.9472
137.329113 67.895 -28.0186
137.695324 67.887 -28.0909
138.061535 67.879 -28.1638
138.427746 67.871 -28.2372
138.793957 67.863 -28.3104
139.160168 67.855 -28.3830
139.526379 67.846 -28.4546
139.892589 67.838 -28.5252
140.258800 67.829 -28.5947
140.625011 67.821 -28.6634
140.991222 67.813 -28.7316
141.357433 67.805 -28.7994
141.723644 67.797 -28.8671
142.089855 67.789 -28.9345
142.456066 67.781 -29.0015
142.822277 67.773 -29.0682
143.188488 67.765 -29.1344
143.554699 67.757 -29.2003
143.920910 67.749 -29.2660
144.287121 67.742 -29.3315
144.653332 67.734 -29.3970
145.019543 67.726 -29.4624
145.385754 67.718 -29.5276
145.751965 67.710 -29.5928
146.118176 67.703 -29.6582
146.484387 67.695 -29.7240
