* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 5, 2023 9:04:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BL03 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 53.660 -128.6710
0.732422 57.917 -147.8459
1.098633 58.484 -174.6412
1.464844 56.269 146.3540
1.831055 54.466 72.8978
2.197266 59.342 9.8004
2.563477 63.407 -21.7947
2.929688 65.650 -41.9997
3.295899 66.692 -55.2125
3.662110 67.148 -61.8098
4.028321 67.719 -63.0278
4.394532 68.806 -63.0576
4.760743 70.132 -65.5503
5.126954 71.261 -70.5751
5.493164 72.020 -76.4585
5.859375 72.466 -81.6458
6.225586 72.777 -85.3980
6.591797 73.136 -88.0314
6.958008 73.604 -90.5182
7.324219 74.107 -93.5600
7.690430 74.540 -97.1078
8.056641 74.860 -100.6564
8.422852 75.098 -103.7526
8.789063 75.316 -106.3007
9.155274 75.555 -108.5400
9.521485 75.806 -110.7622
9.887696 76.035 -113.0580
10.253907 76.149 -115.3124
10.620118 76.194 -117.3757
10.986329 76.224 -119.2133
11.352540 76.253 -120.9121
11.718751 76.277 -122.5753
12.084962 76.286 -124.2274
12.451173 76.277 -125.8213
12.817384 76.302 -127.3124
13.183595 76.331 -128.7166
13.549806 76.361 -130.0944
13.916017 76.387 -131.4891
14.282228 76.403 -132.8921
14.648439 76.408 -134.2617
15.014650 76.410 -135.5724
15.380861 76.413 -136.8370
15.747072 76.420 -138.0878
16.113283 76.431 -139.3391
16.479493 76.447 -140.5737
16.845704 76.460 -141.7606
17.211915 76.470 -142.8828
17.578126 76.482 -143.9454
17.944337 76.496 -144.9640
18.310548 76.509 -145.9468
18.676759 76.521 -146.8925
19.042970 76.530 -147.7985
19.409181 76.538 -148.6676
19.775392 76.543 -149.5052
20.141603 76.546 -150.3125
20.507814 76.548 -151.0874
20.874025 76.548 -151.8325
21.240236 76.548 -152.5605
21.606447 76.546 -153.2875
21.972658 76.542 -154.0204
22.338869 76.533 -154.7505
22.705080 76.520 -155.4615
23.071291 76.506 -156.1463
23.437502 76.495 -156.8142
23.803713 76.486 -157.4857
24.169924 76.479 -158.1753
24.536135 76.470 -158.8795
24.902346 76.458 -159.5794
25.268557 76.443 -160.2529
25.634768 76.430 -160.8900
26.000979 76.420 -161.4980
26.367190 76.414 -162.0971
26.733401 76.410 -162.7060
27.099612 76.405 -163.3290
27.465823 76.394 -163.9480
27.832033 76.376 -164.5304
28.198244 76.355 -165.0469
28.564455 76.336 -165.4922
28.930666 76.326 -165.8928
29.296877 76.324 -166.2948
29.663088 76.326 -166.7356
30.029299 76.327 -167.2229
30.395510 76.322 -167.7339
30.761721 76.309 -168.2355
31.127932 76.293 -168.7063
31.494143 76.276 -169.1484
31.860354 76.261 -169.5767
32.226565 76.247 -170.0052
32.592776 76.233 -170.4358
32.958987 76.218 -170.8640
33.325198 76.203 -171.2866
33.691409 76.188 -171.7051
34.057620 76.173 -172.1212
34.423831 76.157 -172.5322
34.790042 76.141 -172.9315
35.156253 76.124 -173.3149
35.522464 76.110 -173.6855
35.888675 76.097 -174.0519
36.254886 76.085 -174.4211
36.621097 76.073 -174.7943
36.987308 76.061 -175.1683
37.353519 76.047 -175.5403
37.719730 76.033 -175.9095
38.085941 76.018 -176.2756
38.452152 76.001 -176.6337
38.818363 75.983 -176.9758
39.184573 75.965 -177.2972
39.550784 75.950 -177.6036
39.916995 75.938 -177.9094
40.283206 75.929 -178.2295
40.649417 75.920 -178.5688
41.015628 75.908 -178.9189
41.381839 75.892 -179.2637
41.748050 75.875 -179.5910
42.114261 75.858 -179.8989
42.480472 75.842 179.8060
42.846683 75.827 179.5155
43.212894 75.813 179.2256
43.579105 75.798 178.9388
43.945316 75.783 178.6588
44.311527 75.768 178.3864
44.677738 75.754 178.1178
45.043949 75.741 177.8476
45.410160 75.728 177.5724
45.776371 75.714 177.2936
46.142582 75.699 177.0159
46.508793 75.683 176.7446
46.875004 75.667 176.4816
47.241215 75.651 176.2258
47.607426 75.637 175.9733
47.973637 75.622 175.7211
48.339848 75.609 175.4677
48.706059 75.595 175.2136
49.072270 75.581 174.9598
49.438481 75.567 174.7071
49.804692 75.553 174.4558
50.170902 75.540 174.2064
50.537113 75.526 173.9593
50.903324 75.512 173.7139
51.269535 75.498 173.4695
51.635746 75.484 173.2271
52.001957 75.469 172.9886
52.368168 75.453 172.7570
52.734379 75.437 172.5342
53.100590 75.422 172.3194
53.466801 75.407 172.1083
53.833012 75.394 171.8959
54.199223 75.381 171.6797
54.565434 75.367 171.4611
54.931645 75.352 171.2437
55.297856 75.337 171.0301
55.664067 75.323 170.8204
56.030278 75.308 170.6128
56.396489 75.293 170.4067
56.762700 75.278 170.2047
57.128911 75.263 170.0098
57.495122 75.249 169.8221
57.861333 75.237 169.6363
58.227544 75.227 169.4431
58.593755 75.216 169.2355
58.959966 75.205 169.0142
59.326177 75.190 168.7881
59.692388 75.173 168.5699
60.058599 75.154 168.3686
60.424810 75.136 168.1846
60.791021 75.119 168.0108
61.157232 75.104 167.8378
61.523442 75.089 167.6597
61.889653 75.074 167.4764
62.255864 75.058 167.2927
62.622075 75.041 167.1129
62.988286 75.025 166.9379
63.354497 75.008 166.7662
63.720708 74.992 166.5957
64.086919 74.975 166.4255
64.453130 74.959 166.2571
64.819341 74.943 166.0912
65.185552 74.927 165.9275
65.551763 74.913 165.7633
65.917974 74.898 165.5961
66.284185 74.884 165.4254
66.650396 74.869 165.2527
67.016607 74.853 165.0814
67.382818 74.837 164.9138
67.749029 74.822 164.7503
68.115240 74.806 164.5898
68.481451 74.790 164.4305
68.847662 74.775 164.2711
69.213873 74.760 164.1113
69.580084 74.744 163.9521
69.946295 74.728 163.7948
70.312506 74.712 163.6406
70.678717 74.695 163.4903
71.044928 74.679 163.3430
71.411139 74.664 163.1974
71.777350 74.648 163.0524
72.143561 74.633 162.9082
72.509771 74.617 162.7657
72.875982 74.602 162.6255
73.242193 74.587 162.4866
73.608404 74.573 162.3469
73.974615 74.559 162.2034
74.340826 74.545 162.0558
74.707037 74.530 161.9060
75.073248 74.514 161.7581
75.439459 74.497 161.6151
75.805670 74.480 161.4777
76.171881 74.463 161.3439
76.538092 74.446 161.2121
76.904303 74.429 161.0820
77.270514 74.412 160.9548
77.636725 74.395 160.8317
78.002936 74.379 160.7114
78.369147 74.363 160.5905
78.735358 74.348 160.4651
79.101569 74.332 160.3343
79.467780 74.316 160.2007
79.833991 74.299 160.0699
80.200202 74.281 159.9459
80.566413 74.264 159.8298
80.932624 74.247 159.7188
81.298835 74.232 159.6083
81.665046 74.218 159.4957
82.031257 74.203 159.3803
82.397468 74.189 159.2640
82.763679 74.174 159.1485
83.129890 74.160 159.0338
83.496101 74.146 158.9180
83.862311 74.132 158.7996
84.228522 74.118 158.6781
84.594733 74.103 158.5560
84.960944 74.086 158.4371
85.327155 74.070 158.3241
85.693366 74.053 158.2173
86.059577 74.038 158.1136
86.425788 74.022 158.0084
86.791999 74.008 157.8981
87.158210 73.992 157.7828
87.524421 73.975 157.6666
87.890632 73.958 157.5554
88.256843 73.940 157.4534
88.623054 73.922 157.3597
88.989265 73.907 157.2693
89.355476 73.892 157.1748
89.721687 73.879 157.0714
90.087898 73.865 156.9590
90.454109 73.850 156.8430
90.820320 73.834 156.7299
91.186531 73.817 156.6238
91.552742 73.801 156.5244
91.918953 73.785 156.4278
92.285164 73.770 156.3298
92.651375 73.756 156.2283
93.017586 73.741 156.1243
93.383797 73.725 156.0209
93.750008 73.709 155.9213
94.116219 73.693 155.8265
94.482430 73.676 155.7365
94.848641 73.661 155.6497
95.214851 73.645 155.5647
95.581062 73.630 155.4800
95.947273 73.615 155.3948
96.313484 73.601 155.3087
96.679695 73.586 155.2217
97.045906 73.571 155.1347
97.412117 73.556 155.0481
97.778328 73.542 154.9619
98.144539 73.527 154.8754
98.510750 73.513 154.7874
98.876961 73.499 154.6968
99.243172 73.484 154.6039
99.609383 73.469 154.5102
99.975594 73.453 154.4180
100.341805 73.437 154.3295
100.708016 73.420 154.2454
101.074227 73.404 154.1649
101.440438 73.389 154.0862
101.806649 73.373 154.0079
102.172860 73.358 153.9293
102.539071 73.343 153.8514
102.905282 73.327 153.7756
103.271493 73.311 153.7029
103.637704 73.296 153.6329
104.003915 73.282 153.5639
104.370126 73.267 153.4940
104.736337 73.253 153.4221
105.102548 73.239 153.3486
105.468759 73.224 153.2751
105.834970 73.209 153.2030
106.201180 73.194 153.1331
106.567391 73.179 153.0646
106.933602 73.165 152.9958
107.299813 73.151 152.9254
107.666024 73.136 152.8524
108.032235 73.122 152.7770
108.398446 73.107 152.6998
108.764657 73.092 152.6215
109.130868 73.077 152.5430
109.497079 73.061 152.4655
109.863290 73.045 152.3894
110.229501 73.029 152.3154
110.595712 73.013 152.2435
110.961923 72.997 152.1737
111.328134 72.981 152.1060
111.694345 72.965 152.0404
112.060556 72.950 151.9774
112.426767 72.935 151.9166
112.792978 72.920 151.8574
113.159189 72.906 151.7986
113.525400 72.893 151.7386
113.891611 72.880 151.6764
114.257822 72.866 151.6115
114.624033 72.853 151.5450
114.990244 72.840 151.4782
115.356455 72.826 151.4125
115.722666 72.811 151.3487
116.088877 72.797 151.2865
116.455088 72.783 151.2253
116.821299 72.769 151.1644
117.187510 72.754 151.1039
117.553720 72.740 151.0448
117.919931 72.725 150.9879
118.286142 72.710 150.9336
118.652353 72.695 150.8809
119.018564 72.681 150.8279
119.384775 72.667 150.7727
119.750986 72.653 150.7146
120.117197 72.639 150.6544
120.483408 72.624 150.5944
120.849619 72.609 150.5370
121.215830 72.593 150.4833
121.582041 72.578 150.4334
121.948252 72.562 150.3859
122.314463 72.548 150.3393
122.680674 72.533 150.2927
123.046885 72.519 150.2460
123.413096 72.505 150.1992
123.779307 72.491 150.1522
124.145518 72.478 150.1046
124.511729 72.464 150.0560
124.877940 72.451 150.0059
125.244151 72.438 149.9550
125.610362 72.425 149.9039
125.976573 72.411 149.8532
126.342784 72.398 149.8030
126.708995 72.385 149.7532
127.075206 72.372 149.7034
127.441417 72.359 149.6536
127.807628 72.345 149.6042
128.173839 72.332 149.5557
128.540049 72.319 149.5077
128.906260 72.306 149.4598
129.272471 72.294 149.4112
129.638682 72.281 149.3615
130.004893 72.268 149.3111
130.371104 72.256 149.2612
130.737315 72.242 149.2132
131.103526 72.229 149.1680
131.469737 72.217 149.1258
131.835948 72.204 149.0857
132.202159 72.192 149.0465
132.568370 72.180 149.0073
132.934581 72.168 148.9677
133.300792 72.156 148.9279
133.667003 72.144 148.8886
134.033214 72.132 148.8503
134.399425 72.120 148.8131
134.765636 72.108 148.7766
135.131847 72.097 148.7402
135.498058 72.085 148.7030
135.864269 72.073 148.6645
136.230480 72.061 148.6246
136.596691 72.049 148.5833
136.962902 72.036 148.5413
137.329113 72.024 148.4991
137.695324 72.011 148.4573
138.061535 71.998 148.4161
138.427746 71.985 148.3754
138.793957 71.972 148.3348
139.160168 71.960 148.2942
139.526379 71.947 148.2534
139.892589 71.934 148.2128
140.258800 71.922 148.1730
140.625011 71.909 148.1343
140.991222 71.896 148.0974
141.357433 71.884 148.0620
141.723644 71.872 148.0280
142.089855 71.860 147.9954
142.456066 71.848 147.9638
142.822277 71.836 147.9333
143.188488 71.824 147.9042
143.554699 71.812 147.8764
143.920910 71.800 147.8499
144.287121 71.789 147.8243
144.653332 71.777 147.7988
145.019543 71.766 147.7728
145.385754 71.754 147.7461
145.751965 71.743 147.7182
146.118176 71.731 147.6890
146.484387 71.720 147.6583
146.850598 71.708 147.6258
147.216809 71.696 147.5912
147.583020 71.684 147.5546
147.949231 71.671 147.5164
148.315442 71.659 147.4774
148.681653 71.645 147.4390
149.047864 71.632 147.4021
149.414075 71.618 147.3676
149.780286 71.604 147.3354
150.146497 71.591 147.3057
