* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 19, 2023 6:18:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Z300 L Foam
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 64.974 161.8206
0.732422 63.147 142.9532
1.098633 59.685 121.3791
1.464844 53.731 86.9708
1.831055 50.268 4.1640
2.197266 55.269 -42.2104
2.563477 58.261 -55.9631
2.929688 60.148 -59.3290
3.295899 61.891 -58.9013
3.662110 63.673 -59.0881
4.028321 65.268 -61.3747
4.394532 66.514 -65.0885
4.760743 67.413 -69.1065
5.126954 68.069 -72.6717
5.493164 68.615 -75.6142
5.859375 69.142 -78.2512
6.225586 69.671 -81.0245
6.591797 70.172 -84.1360
6.958008 70.613 -87.4696
7.324219 70.992 -90.7637
7.690430 71.333 -93.8245
8.056641 71.670 -96.6333
8.422852 72.016 -99.3072
8.789063 72.364 -101.9666
9.155274 72.692 -104.6306
9.521485 72.985 -107.2129
9.887696 73.239 -109.5956
10.253907 73.397 -111.7125
10.620118 73.513 -113.5854
10.986329 73.628 -115.2992
11.352540 73.738 -116.9410
11.718751 73.834 -118.5521
12.084962 73.910 -120.1219
12.451173 73.966 -121.6172
12.817384 74.054 -123.0197
13.183595 74.142 -124.3446
13.549806 74.223 -125.6321
13.916017 74.300 -126.9217
14.282228 74.368 -128.2291
14.648439 74.426 -129.5418
15.014650 74.474 -130.8342
15.380861 74.518 -132.0880
15.747072 74.563 -133.3063
16.113283 74.615 -134.5081
16.479493 74.678 -135.7125
16.845704 74.739 -136.9201
17.211915 74.794 -138.1087
17.578126 74.843 -139.2439
17.944337 74.889 -140.2992
18.310548 74.937 -141.2737
18.676759 74.990 -142.1943
19.042970 75.047 -143.1001
19.409181 75.103 -144.0171
19.775392 75.152 -144.9390
20.141603 75.190 -145.8300
20.507814 75.221 -146.6489
20.874025 75.250 -147.3829
21.240236 75.285 -148.0666
21.606447 75.329 -148.7685
21.972658 75.373 -149.5482
22.338869 75.407 -150.4116
22.705080 75.421 -151.2997
23.071291 75.415 -152.1206
23.437502 75.403 -152.8086
23.803713 75.398 -153.3722
24.169924 75.411 -153.8928
24.536135 75.440 -154.4712
24.902346 75.472 -155.1569
25.268557 75.492 -155.9161
25.634768 75.496 -156.6593
26.000979 75.490 -157.3063
26.367190 75.488 -157.8421
26.733401 75.498 -158.3239
27.099612 75.520 -158.8333
27.465823 75.543 -159.4131
27.832033 75.557 -160.0380
28.198244 75.556 -160.6378
28.564455 75.549 -161.1537
28.930666 75.545 -161.5826
29.296877 75.552 -161.9785
29.663088 75.569 -162.4127
30.029299 75.587 -162.9234
30.395510 75.598 -163.4947
30.761721 75.596 -164.0754
31.127932 75.587 -164.6185
31.494143 75.575 -165.1100
31.860354 75.567 -165.5703
32.226565 75.562 -166.0301
32.592776 75.558 -166.5037
32.958987 75.552 -166.9808
33.325198 75.544 -167.4400
33.691409 75.536 -167.8689
34.057620 75.532 -168.2750
34.423831 75.532 -168.6782
34.790042 75.534 -169.0939
35.156253 75.535 -169.5212
35.522464 75.533 -169.9461
35.888675 75.530 -170.3547
36.254886 75.526 -170.7441
36.621097 75.523 -171.1226
36.987308 75.520 -171.5002
37.353519 75.515 -171.8782
37.719730 75.507 -172.2485
38.085941 75.499 -172.6030
38.452152 75.490 -172.9437
38.818363 75.483 -173.2844
39.184573 75.477 -173.6410
39.550784 75.468 -174.0176
39.916995 75.454 -174.4002
40.283206 75.435 -174.7643
40.649417 75.414 -175.0901
41.015628 75.396 -175.3765
41.381839 75.382 -175.6419
41.748050 75.374 -175.9129
42.114261 75.370 -176.2085
42.480472 75.365 -176.5314
42.846683 75.358 -176.8702
43.212894 75.348 -177.2090
43.579105 75.336 -177.5363
43.945316 75.323 -177.8484
44.311527 75.310 -178.1471
44.677738 75.298 -178.4354
45.043949 75.286 -178.7165
45.410160 75.275 -178.9934
45.776371 75.265 -179.2696
46.142582 75.255 -179.5471
46.508793 75.244 -179.8252
46.875004 75.233 179.8999
47.241215 75.220 179.6323
47.607426 75.208 179.3727
47.973637 75.196 179.1174
48.339848 75.185 178.8611
48.706059 75.174 178.6012
49.072270 75.163 178.3399
49.438481 75.150 178.0825
49.804692 75.137 177.8331
50.170902 75.124 177.5909
50.537113 75.112 177.3516
50.903324 75.101 177.1111
51.269535 75.089 176.8696
51.635746 75.076 176.6315
52.001957 75.062 176.4018
52.368168 75.049 176.1817
52.734379 75.037 175.9671
53.100590 75.025 175.7513
53.466801 75.013 175.5303
53.833012 75.000 175.3055
54.199223 74.986 175.0836
54.565434 74.970 174.8713
54.931645 74.954 174.6713
55.297856 74.939 174.4797
55.664067 74.925 174.2893
56.030278 74.911 174.0932
56.396489 74.898 173.8893
56.762700 74.883 173.6808
57.128911 74.867 173.4745
57.495122 74.850 173.2770
57.861333 74.833 173.0918
58.227544 74.816 172.9176
58.593755 74.802 172.7493
58.959966 74.790 172.5791
59.326177 74.779 172.3988
59.692388 74.770 172.2029
60.058599 74.759 171.9906
60.424810 74.746 171.7675
60.791021 74.730 171.5450
61.157232 74.712 171.3363
61.523442 74.692 171.1505
61.889653 74.672 170.9889
62.255864 74.656 170.8430
62.622075 74.642 170.6992
62.988286 74.631 170.5455
63.354497 74.620 170.3771
63.720708 74.607 170.1979
64.086919 74.593 170.0170
64.453130 74.576 169.8427
64.819341 74.559 169.6788
65.185552 74.543 169.5235
65.551763 74.526 169.3727
65.917974 74.510 169.2233
66.284185 74.494 169.0746
66.650396 74.478 168.9277
67.016607 74.461 168.7830
67.382818 74.445 168.6394
67.749029 74.429 168.4957
68.115240 74.412 168.3514
68.481451 74.396 168.2079
68.847662 74.379 168.0678
69.213873 74.362 167.9320
69.580084 74.346 167.7984
69.946295 74.331 167.6622
70.312506 74.316 167.5188
70.678717 74.301 167.3668
71.044928 74.285 167.2105
71.411139 74.267 167.0584
71.777350 74.248 166.9189
72.143561 74.229 166.7953
72.509771 74.212 166.6828
72.875982 74.198 166.5709
73.242193 74.185 166.4489
73.608404 74.173 166.3121
73.974615 74.159 166.1652
74.340826 74.143 166.0191
74.707037 74.125 165.8846
75.073248 74.107 165.7662
75.439459 74.089 165.6591
75.805670 74.074 165.5530
76.171881 74.060 165.4385
76.538092 74.046 165.3123
76.904303 74.029 165.1791
77.270514 74.010 165.0485
77.636725 73.990 164.9296
78.002936 73.969 164.8270
78.369147 73.949 164.7388
78.735358 73.931 164.6580
79.101569 73.916 164.5754
79.467780 73.902 164.4835
79.833991 73.889 164.3787
80.200202 73.875 164.2626
80.566413 73.860 164.1414
80.932624 73.844 164.0221
81.298835 73.827 163.9099
81.665046 73.810 163.8050
82.031257 73.794 163.7037
82.397468 73.779 163.6013
82.763679 73.764 163.4950
83.129890 73.749 163.3863
83.496101 73.732 163.2794
83.862311 73.715 163.1780
84.228522 73.698 163.0833
84.594733 73.682 162.9934
84.960944 73.666 162.9052
85.327155 73.650 162.8167
85.693366 73.634 162.7285
86.059577 73.618 162.6421
86.425788 73.602 162.5590
86.791999 73.587 162.4786
87.158210 73.572 162.3993
87.524421 73.557 162.3185
87.890632 73.543 162.2347
88.256843 73.529 162.1473
88.623054 73.515 162.0563
88.989265 73.500 161.9622
89.355476 73.486 161.8653
89.721687 73.470 161.7669
90.087898 73.454 161.6689
90.454109 73.437 161.5741
90.820320 73.419 161.4852
91.186531 73.401 161.4035
91.552742 73.383 161.3287
91.918953 73.366 161.2590
92.285164 73.350 161.1920
92.651375 73.334 161.1259
93.017586 73.319 161.0594
93.383797 73.304 160.9917
93.750008 73.290 160.9224
94.116219 73.275 160.8507
94.482430 73.261 160.7765
94.848641 73.246 160.7003
95.214851 73.231 160.6235
95.581062 73.215 160.5483
95.947273 73.198 160.4766
96.313484 73.182 160.4087
96.679695 73.166 160.3436
97.045906 73.151 160.2798
97.412117 73.136 160.2158
97.778328 73.121 160.1509
98.144539 73.106 160.0854
98.510750 73.091 160.0199
98.876961 73.077 159.9546
99.243172 73.062 159.8893
99.609383 73.047 159.8237
99.975594 73.032 159.7581
100.341805 73.018 159.6929
100.708016 73.002 159.6290
101.074227 72.987 159.5671
101.440438 72.971 159.5076
101.806649 72.956 159.4507
102.172860 72.940 159.3969
102.539071 72.924 159.3462
102.905282 72.909 159.2981
103.271493 72.894 159.2514
103.637704 72.880 159.2041
104.003915 72.866 159.1542
104.370126 72.852 159.1006
104.736337 72.837 159.0438
105.102548 72.823 158.9853
105.468759 72.807 158.9275
105.834970 72.791 158.8726
106.201180 72.775 158.8219
106.567391 72.760 158.7753
106.933602 72.745 158.7315
107.299813 72.730 158.6887
107.666024 72.717 158.6444
108.032235 72.703 158.5968
108.398446 72.690 158.5451
108.764657 72.677 158.4901
109.130868 72.664 158.4340
109.497079 72.649 158.3792
109.863290 72.635 158.3272
110.229501 72.621 158.2778
110.595712 72.607 158.2296
110.961923 72.594 158.1807
111.328134 72.580 158.1302
111.694345 72.565 158.0790
112.060556 72.551 158.0291
112.426767 72.535 157.9826
112.792978 72.520 157.9403
113.159189 72.505 157.9014
113.525400 72.490 157.8642
113.891611 72.475 157.8271
114.257822 72.461 157.7894
114.624033 72.446 157.7517
114.990244 72.431 157.7147
115.356455 72.417 157.6785
115.722666 72.403 157.6424
116.088877 72.389 157.6050
116.455088 72.375 157.5650
116.821299 72.361 157.5223
117.187510 72.348 157.4777
117.553720 72.333 157.4330
117.919931 72.319 157.3893
118.286142 72.305 157.3471
118.652353 72.291 157.3063
119.018564 72.277 157.2665
119.384775 72.263 157.2276
119.750986 72.249 157.1901
120.117197 72.235 157.1550
120.483408 72.221 157.1227
120.849619 72.207 157.0934
121.215830 72.194 157.0669
121.582041 72.180 157.0432
121.948252 72.167 157.0224
122.314463 72.154 157.0041
122.680674 72.142 156.9875
123.046885 72.130 156.9706
123.413096 72.118 156.9513
123.779307 72.107 156.9282
124.145518 72.095 156.9020
124.511729 72.082 156.8750
124.877940 72.069 156.8502
125.244151 72.056 156.8289
125.610362 72.044 156.8098
125.976573 72.033 156.7894
126.342784 72.022 156.7636
126.708995 72.011 156.7306
127.075206 72.000 156.6913
127.441417 71.987 156.6494
127.807628 71.974 156.6097
128.173839 71.960 156.5751
128.540049 71.946 156.5464
128.906260 71.932 156.5221
129.272471 71.920 156.5000
129.638682 71.908 156.4784
130.004893 71.896 156.4565
130.371104 71.885 156.4343
130.737315 71.875 156.4113
131.103526 71.865 156.3869
131.469737 71.854 156.3605
131.835948 71.844 156.3324
132.202159 71.834 156.3036
132.568370 71.823 156.2759
132.934581 71.812 156.2509
133.300792 71.801 156.2289
133.667003 71.790 156.2095
134.033214 71.779 156.1914
134.399425 71.768 156.1736
134.765636 71.757 156.1558
135.131847 71.746 156.1382
135.498058 71.735 156.1213
135.864269 71.724 156.1050
136.230480 71.713 156.0888
136.596691 71.703 156.0720
136.962902 71.692 156.0540
137.329113 71.682 156.0347
137.695324 71.671 156.0141
138.061535 71.660 155.9926
138.427746 71.649 155.9703
138.793957 71.638 155.9476
139.160168 71.627 155.9254
139.526379 71.615 155.9043
139.892589 71.604 155.8854
140.258800 71.592 155.8691
140.625011 71.581 155.8550
140.991222 71.570 155.8420
141.357433 71.559 155.8288
141.723644 71.549 155.8145
142.089855 71.538 155.7991
142.456066 71.527 155.7832
142.822277 71.516 155.7680
143.188488 71.505 155.7545
143.554699 71.494 155.7429
143.920910 71.483 155.7331
144.287121 71.472 155.7242
144.653332 71.461 155.7153
145.019543 71.450 155.7060
145.385754 71.439 155.6958
145.751965 71.429 155.6848
146.118176 71.418 155.6731
146.484387 71.407 155.6606
146.850598 71.396 155.6476
147.216809 71.385 155.6342
147.583020 71.374 155.6207
147.949231 71.363 155.6078
148.315442 71.352 155.5963
148.681653 71.341 155.5866
149.047864 71.329 155.5788
149.414075 71.319 155.5724
149.780286 71.308 155.5667
