* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 19, 2023 6:17:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Z300 R Foam
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.350 -24.2933
0.732422 69.493 -48.1584
1.098633 65.863 -70.4355
1.464844 58.583 -84.1480
1.831055 52.171 3.2645
2.197266 61.368 10.2006
2.563477 64.719 -9.4573
2.929688 65.949 -30.5969
3.295899 66.019 -49.1466
3.662110 65.449 -61.8165
4.028321 65.008 -66.1291
4.394532 65.653 -65.3442
4.760743 67.234 -67.1651
5.126954 68.817 -73.3036
5.493164 69.934 -81.0899
5.859375 70.572 -87.9507
6.225586 70.938 -92.4436
6.591797 71.311 -94.6225
6.958008 71.854 -95.9211
7.324219 72.492 -97.8034
7.690430 73.053 -100.5690
8.056641 73.441 -103.6096
8.422852 73.683 -106.2289
8.789063 73.867 -108.1838
9.155274 74.070 -109.7607
9.521485 74.301 -111.4193
9.887696 74.519 -113.3715
10.253907 74.619 -115.5028
10.620118 74.646 -117.5938
10.986329 74.658 -119.5436
11.352540 74.677 -121.4082
11.718751 74.702 -123.2769
12.084962 74.725 -125.1515
12.451173 74.742 -126.9520
12.817384 74.806 -128.6136
13.183595 74.890 -130.1536
13.549806 74.984 -131.6426
13.916017 75.078 -133.1213
14.282228 75.161 -134.5610
14.648439 75.231 -135.9014
15.014650 75.294 -137.1164
15.380861 75.356 -138.2372
15.747072 75.415 -139.3161
16.113283 75.471 -140.3774
16.479493 75.524 -141.4081
16.845704 75.566 -142.3892
17.211915 75.602 -143.3261
17.578126 75.633 -144.2449
17.944337 75.658 -145.1624
18.310548 75.676 -146.0706
18.676759 75.690 -146.9525
19.042970 75.705 -147.8114
19.409181 75.724 -148.6769
19.775392 75.745 -149.5782
20.141603 75.764 -150.5116
20.507814 75.777 -151.4377
20.874025 75.786 -152.3118
21.240236 75.797 -153.1188
21.606447 75.814 -153.8795
21.972658 75.838 -154.6256
22.338869 75.863 -155.3695
22.705080 75.886 -156.0987
23.071291 75.908 -156.7954
23.437502 75.930 -157.4594
23.803713 75.953 -158.1111
24.169924 75.975 -158.7729
24.536135 75.991 -159.4492
24.902346 75.997 -160.1213
25.268557 75.994 -160.7600
25.634768 75.985 -161.3441
26.000979 75.976 -161.8722
26.367190 75.970 -162.3639
26.733401 75.970 -162.8532
27.099612 75.974 -163.3746
27.465823 75.979 -163.9479
27.832033 75.979 -164.5659
28.198244 75.970 -165.1949
28.564455 75.954 -165.7908
28.930666 75.935 -166.3246
29.296877 75.922 -166.8001
29.663088 75.918 -167.2505
30.029299 75.921 -167.7150
30.395510 75.927 -168.2121
30.761721 75.930 -168.7306
31.127932 75.929 -169.2415
31.494143 75.924 -169.7201
31.860354 75.919 -170.1614
32.226565 75.917 -170.5791
32.592776 75.916 -170.9933
32.958987 75.915 -171.4163
33.325198 75.912 -171.8473
33.691409 75.904 -172.2751
34.057620 75.892 -172.6861
34.423831 75.878 -173.0721
34.790042 75.863 -173.4338
35.156253 75.850 -173.7799
35.522464 75.838 -174.1230
35.888675 75.829 -174.4738
36.254886 75.820 -174.8372
36.621097 75.810 -175.2132
36.987308 75.799 -175.5985
37.353519 75.786 -175.9889
37.719730 75.771 -176.3776
38.085941 75.753 -176.7539
38.452152 75.733 -177.1057
38.818363 75.714 -177.4256
39.184573 75.697 -177.7177
39.550784 75.685 -177.9979
39.916995 75.678 -178.2856
40.283206 75.671 -178.5919
40.649417 75.664 -178.9126
41.015628 75.654 -179.2330
41.381839 75.641 -179.5388
41.748050 75.629 -179.8275
42.114261 75.619 179.8903
42.480472 75.610 179.5992
42.846683 75.600 179.2912
43.212894 75.587 178.9711
43.579105 75.570 178.6542
43.945316 75.551 178.3556
44.311527 75.531 178.0812
44.677738 75.514 177.8242
45.043949 75.499 177.5709
45.410160 75.486 177.3094
45.776371 75.473 177.0368
46.142582 75.460 176.7583
46.508793 75.445 176.4822
46.875004 75.430 176.2130
47.241215 75.416 175.9488
47.607426 75.402 175.6849
47.973637 75.387 175.4191
48.339848 75.372 175.1544
48.706059 75.355 174.8978
49.072270 75.337 174.6549
49.438481 75.319 174.4263
49.804692 75.303 174.2076
50.170902 75.288 173.9927
50.537113 75.273 173.7772
50.903324 75.259 173.5600
51.269535 75.245 173.3418
51.635746 75.231 173.1232
52.001957 75.217 172.9039
52.368168 75.202 172.6833
52.734379 75.186 172.4617
53.100590 75.170 172.2405
53.466801 75.153 172.0221
53.833012 75.135 171.8095
54.199223 75.117 171.6051
54.565434 75.099 171.4097
54.931645 75.082 171.2208
55.297856 75.067 171.0326
55.664067 75.053 170.8389
56.030278 75.039 170.6360
56.396489 75.024 170.4249
56.762700 75.008 170.2104
57.128911 74.992 169.9975
57.495122 74.974 169.7877
57.861333 74.956 169.5799
58.227544 74.937 169.3730
58.593755 74.917 169.1701
58.959966 74.895 168.9778
59.326177 74.873 168.8024
59.692388 74.852 168.6444
60.058599 74.834 168.4966
60.424810 74.818 168.3477
60.791021 74.803 168.1895
61.157232 74.788 168.0218
61.523442 74.771 167.8530
61.889653 74.753 167.6935
62.255864 74.736 167.5492
62.622075 74.719 167.4172
62.988286 74.705 167.2885
63.354497 74.692 167.1537
63.720708 74.679 167.0085
64.086919 74.666 166.8555
64.453130 74.651 166.7003
64.819341 74.635 166.5481
65.185552 74.619 166.4003
65.551763 74.602 166.2557
65.917974 74.586 166.1133
66.284185 74.569 165.9737
66.650396 74.552 165.8382
67.016607 74.535 165.7061
67.382818 74.520 165.5736
67.749029 74.505 165.4355
68.115240 74.489 165.2887
68.481451 74.473 165.1349
68.847662 74.454 164.9809
69.213873 74.434 164.8349
69.580084 74.413 164.7018
69.946295 74.393 164.5807
70.312506 74.373 164.4666
70.678717 74.355 164.3526
71.044928 74.338 164.2343
71.411139 74.321 164.1105
71.777350 74.303 163.9830
72.143561 74.285 163.8541
72.509771 74.266 163.7256
72.875982 74.246 163.5982
73.242193 74.226 163.4723
73.608404 74.205 163.3486
73.974615 74.184 163.2290
74.340826 74.162 163.1159
74.707037 74.140 163.0117
75.073248 74.119 162.9172
75.439459 74.099 162.8311
75.805670 74.081 162.7490
76.171881 74.065 162.6647
76.538092 74.050 162.5728
76.904303 74.036 162.4711
77.270514 74.021 162.3619
77.636725 74.005 162.2513
78.002936 73.989 162.1455
78.369147 73.973 162.0474
78.735358 73.958 161.9537
79.101569 73.944 161.8565
79.467780 73.932 161.7477
79.833991 73.918 161.6246
80.200202 73.902 161.4932
80.566413 73.883 161.3654
80.932624 73.861 161.2537
81.298835 73.839 161.1636
81.665046 73.819 161.0909
82.031257 73.801 161.0243
82.397468 73.785 160.9516
82.763679 73.770 160.8664
83.129890 73.755 160.7701
83.496101 73.738 160.6694
83.862311 73.721 160.5709
84.228522 73.703 160.4776
84.594733 73.685 160.3886
84.960944 73.667 160.3010
85.327155 73.651 160.2128
85.693366 73.634 160.1237
86.059577 73.617 160.0342
86.425788 73.601 159.9447
86.791999 73.584 159.8548
87.158210 73.567 159.7650
87.524421 73.550 159.6772
87.890632 73.532 159.5941
88.256843 73.514 159.5175
88.623054 73.497 159.4462
88.989265 73.480 159.3767
89.355476 73.464 159.3054
89.721687 73.448 159.2310
90.087898 73.431 159.1559
90.454109 73.414 159.0840
90.820320 73.396 159.0180
91.186531 73.380 158.9568
91.552742 73.364 158.8962
91.918953 73.350 158.8311
92.285164 73.335 158.7587
92.651375 73.320 158.6799
93.017586 73.305 158.5982
93.383797 73.288 158.5175
93.750008 73.271 158.4403
94.116219 73.253 158.3678
94.482430 73.236 158.2998
94.848641 73.219 158.2361
95.214851 73.202 158.1761
95.581062 73.185 158.1191
95.947273 73.169 158.0640
96.313484 73.154 158.0091
96.679695 73.138 157.9538
97.045906 73.123 157.8981
97.412117 73.108 157.8426
97.778328 73.092 157.7878
98.144539 73.077 157.7336
98.510750 73.062 157.6791
98.876961 73.046 157.6236
99.243172 73.031 157.5671
99.609383 73.015 157.5104
99.975594 72.999 157.4545
100.341805 72.983 157.4000
100.708016 72.966 157.3466
101.074227 72.950 157.2936
101.440438 72.934 157.2403
101.806649 72.917 157.1870
102.172860 72.901 157.1351
102.539071 72.884 157.0856
102.905282 72.868 157.0389
103.271493 72.852 156.9938
103.637704 72.837 156.9483
104.003915 72.822 156.9006
104.370126 72.808 156.8499
104.736337 72.793 156.7974
105.102548 72.778 156.7448
105.468759 72.762 156.6938
105.834970 72.746 156.6453
106.201180 72.731 156.5994
106.567391 72.715 156.5561
106.933602 72.700 156.5158
107.299813 72.684 156.4787
107.666024 72.669 156.4442
108.032235 72.655 156.4102
108.398446 72.642 156.3738
108.764657 72.628 156.3329
109.130868 72.615 156.2872
109.497079 72.601 156.2388
109.863290 72.585 156.1910
110.229501 72.570 156.1467
110.595712 72.554 156.1064
110.961923 72.538 156.0688
111.328134 72.523 156.0319
111.694345 72.508 155.9943
112.060556 72.492 155.9561
112.426767 72.477 155.9185
112.792978 72.462 155.8826
113.159189 72.446 155.8487
113.525400 72.431 155.8158
113.891611 72.417 155.7825
114.257822 72.402 155.7477
114.624033 72.388 155.7114
114.990244 72.374 155.6745
115.356455 72.359 155.6383
115.722666 72.344 155.6041
116.088877 72.330 155.5726
116.455088 72.316 155.5435
116.821299 72.302 155.5159
117.187510 72.288 155.4887
117.553720 72.275 155.4611
117.919931 72.261 155.4329
118.286142 72.248 155.4049
118.652353 72.234 155.3779
119.018564 72.221 155.3522
119.384775 72.207 155.3274
119.750986 72.194 155.3024
120.117197 72.181 155.2763
120.483408 72.167 155.2483
120.849619 72.154 155.2186
121.215830 72.140 155.1877
121.582041 72.125 155.1565
121.948252 72.110 155.1262
122.314463 72.094 155.0983
122.680674 72.078 155.0740
123.046885 72.062 155.0537
123.413096 72.047 155.0367
123.779307 72.033 155.0208
124.145518 72.019 155.0034
124.511729 72.006 154.9825
124.877940 71.994 154.9579
125.244151 71.981 154.9312
125.610362 71.969 154.9044
125.976573 71.957 154.8791
126.342784 71.945 154.8552
126.708995 71.933 154.8317
127.075206 71.922 154.8074
127.441417 71.911 154.7818
127.807628 71.900 154.7554
128.173839 71.889 154.7294
128.540049 71.877 154.7051
128.906260 71.865 154.6829
129.272471 71.853 154.6631
129.638682 71.841 154.6456
130.004893 71.829 154.6302
130.371104 71.816 154.6169
130.737315 71.804 154.6053
131.103526 71.792 154.5952
131.469737 71.780 154.5859
131.835948 71.768 154.5767
132.202159 71.757 154.5671
132.568370 71.745 154.5569
132.934581 71.733 154.5458
133.300792 71.722 154.5337
133.667003 71.710 154.5203
134.033214 71.698 154.5058
134.399425 71.687 154.4905
134.765636 71.675 154.4748
135.131847 71.664 154.4591
135.498058 71.652 154.4435
135.864269 71.640 154.4276
136.230480 71.629 154.4114
136.596691 71.618 154.3951
136.962902 71.606 154.3792
137.329113 71.595 154.3645
137.695324 71.583 154.3514
138.061535 71.572 154.3399
138.427746 71.561 154.3293
138.793957 71.550 154.3186
139.160168 71.540 154.3074
139.526379 71.529 154.2956
139.892589 71.518 154.2838
140.258800 71.507 154.2726
140.625011 71.496 154.2626
140.991222 71.485 154.2534
141.357433 71.474 154.2448
141.723644 71.463 154.2363
142.089855 71.452 154.2277
142.456066 71.440 154.2193
142.822277 71.429 154.2115
143.188488 71.418 154.2046
143.554699 71.407 154.1980
143.920910 71.396 154.1910
144.287121 71.386 154.1830
144.653332 71.375 154.1733
145.019543 71.365 154.1624
145.385754 71.354 154.1507
145.751965 71.344 154.1393
146.118176 71.333 154.1288
146.484387 71.322 154.1195
146.850598 71.311 154.1110
147.216809 71.301 154.1030
147.583020 71.290 154.0951
147.949231 71.280 154.0873
148.315442 71.270 154.0800
148.681653 71.259 154.0735
149.047864 71.249 154.0677
149.414075 71.239 154.0627
149.780286 71.229 154.0580
150.146497 71.219 154.0534
