* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 25, 2023 9:34:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CRA Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.309 -55.7751
0.732422 69.351 -101.4246
1.098633 69.185 -140.8813
1.464844 67.158 177.9352
1.831055 63.484 117.2424
2.197266 64.992 34.0899
2.563477 69.422 -13.3796
2.929688 71.971 -41.9857
3.295899 72.955 -61.8450
3.662110 72.894 -73.8326
4.028321 72.547 -76.8058
4.394532 72.987 -73.7144
4.760743 74.342 -72.7770
5.126954 75.736 -76.9559
5.493164 76.646 -83.8121
5.859375 77.038 -90.5450
6.225586 77.116 -95.3818
6.591797 77.182 -98.0150
6.958008 77.448 -99.7147
7.324219 77.869 -102.0923
7.690430 78.258 -105.6066
8.056641 78.486 -109.6078
8.422852 78.560 -113.2115
8.789063 78.572 -115.9690
9.155274 78.622 -118.0858
9.521485 78.732 -120.1118
9.887696 78.853 -122.3920
10.253907 78.861 -124.8466
10.620118 78.785 -127.1895
10.986329 78.684 -129.2430
11.352540 78.590 -131.0622
11.718751 78.510 -132.8145
12.084962 78.430 -134.5878
12.451173 78.339 -136.3353
12.817384 78.286 -137.9773
13.183595 78.246 -139.5144
13.549806 78.215 -141.0282
13.916017 78.185 -142.5813
14.282228 78.144 -144.1457
14.648439 78.091 -145.6360
15.014650 78.039 -147.0039
15.380861 78.000 -148.2903
15.747072 77.975 -149.5809
16.113283 77.957 -150.9178
16.479493 77.940 -152.2624
16.845704 77.916 -153.5402
17.211915 77.891 -154.7151
17.578126 77.874 -155.8152
17.944337 77.865 -156.8956
18.310548 77.856 -157.9828
18.676759 77.842 -159.0557
19.042970 77.823 -160.0802
19.409181 77.803 -161.0451
19.775392 77.783 -161.9664
20.141603 77.766 -162.8647
20.507814 77.749 -163.7451
20.874025 77.730 -164.6021
21.240236 77.711 -165.4362
21.606447 77.692 -166.2596
21.972658 77.673 -167.0842
22.338869 77.650 -167.9035
22.705080 77.624 -168.7023
23.071291 77.599 -169.4727
23.437502 77.576 -170.2277
23.803713 77.554 -170.9863
24.169924 77.531 -171.7508
24.536135 77.504 -172.5001
24.902346 77.474 -173.2069
25.268557 77.448 -173.8647
25.634768 77.428 -174.4971
26.000979 77.413 -175.1368
26.367190 77.399 -175.7991
26.733401 77.381 -176.4698
27.099612 77.358 -177.1219
27.465823 77.332 -177.7372
27.832033 77.306 -178.3168
28.198244 77.282 -178.8736
28.564455 77.258 -179.4172
28.930666 77.235 -179.9510
29.296877 77.211 179.5250
29.663088 77.188 179.0060
30.029299 77.165 178.4872
30.395510 77.139 177.9694
30.761721 77.113 177.4599
31.127932 77.085 176.9648
31.494143 77.057 176.4834
31.860354 77.031 176.0072
32.226565 77.005 175.5297
32.592776 76.978 175.0531
32.958987 76.950 174.5859
33.325198 76.922 174.1342
33.691409 76.895 173.6954
34.057620 76.869 173.2609
34.423831 76.844 172.8245
34.790042 76.818 172.3887
35.156253 76.790 171.9617
35.522464 76.761 171.5506
35.888675 76.732 171.1562
36.254886 76.704 170.7751
36.621097 76.675 170.4036
36.987308 76.647 170.0400
37.353519 76.619 169.6848
37.719730 76.591 169.3361
38.085941 76.564 168.9916
38.452152 76.537 168.6493
38.818363 76.509 168.3094
39.184573 76.481 167.9728
39.550784 76.452 167.6409
39.916995 76.424 167.3145
40.283206 76.396 166.9940
40.649417 76.369 166.6791
41.015628 76.342 166.3682
41.381839 76.317 166.0585
41.748050 76.291 165.7471
42.114261 76.265 165.4340
42.480472 76.237 165.1241
42.846683 76.209 164.8240
43.212894 76.181 164.5372
43.579105 76.153 164.2616
43.945316 76.126 163.9908
44.311527 76.100 163.7197
44.677738 76.074 163.4470
45.043949 76.048 163.1754
45.410160 76.020 162.9085
45.776371 75.992 162.6475
46.142582 75.964 162.3927
46.508793 75.935 162.1443
46.875004 75.906 161.9033
47.241215 75.878 161.6699
47.607426 75.850 161.4425
47.973637 75.823 161.2180
48.339848 75.797 160.9935
48.706059 75.771 160.7678
49.072270 75.745 160.5413
49.438481 75.719 160.3148
49.804692 75.693 160.0884
50.170902 75.666 159.8636
50.537113 75.639 159.6431
50.903324 75.611 159.4304
51.269535 75.584 159.2269
51.635746 75.557 159.0299
52.001957 75.531 158.8342
52.368168 75.506 158.6360
52.734379 75.480 158.4353
53.100590 75.453 158.2366
53.466801 75.425 158.0450
53.833012 75.397 157.8626
54.199223 75.369 157.6874
54.565434 75.343 157.5159
54.931645 75.316 157.3448
55.297856 75.290 157.1736
55.664067 75.264 157.0029
56.030278 75.239 156.8332
56.396489 75.213 156.6638
56.762700 75.187 156.4939
57.128911 75.160 156.3247
57.495122 75.133 156.1595
57.861333 75.106 156.0029
58.227544 75.079 155.8574
58.593755 75.053 155.7207
58.959966 75.029 155.5856
59.326177 75.007 155.4432
59.692388 74.985 155.2886
60.058599 74.961 155.1246
60.424810 74.936 154.9607
60.791021 74.909 154.8075
61.157232 74.881 154.6694
61.523442 74.855 154.5420
61.889653 74.831 154.4158
62.255864 74.807 154.2827
62.622075 74.782 154.1421
62.988286 74.756 153.9998
63.354497 74.729 153.8642
63.720708 74.701 153.7387
64.086919 74.674 153.6213
64.453130 74.647 153.5063
64.819341 74.622 153.3890
65.185552 74.596 153.2684
65.551763 74.571 153.1463
65.917974 74.545 153.0252
66.284185 74.519 152.9060
66.650396 74.493 152.7885
67.016607 74.467 152.6726
67.382818 74.441 152.5593
67.749029 74.415 152.4498
68.115240 74.389 152.3446
68.481451 74.364 152.2425
68.847662 74.340 152.1409
69.213873 74.316 152.0375
69.580084 74.292 151.9316
69.946295 74.268 151.8250
70.312506 74.243 151.7207
70.678717 74.218 151.6211
71.044928 74.194 151.5268
71.411139 74.169 151.4361
71.777350 74.146 151.3462
72.143561 74.122 151.2549
72.509771 74.099 151.1621
72.875982 74.075 151.0697
73.242193 74.050 150.9801
73.608404 74.025 150.8951
73.974615 74.000 150.8146
74.340826 73.976 150.7374
74.707037 73.952 150.6614
75.073248 73.928 150.5850
75.439459 73.904 150.5070
75.805670 73.881 150.4269
76.171881 73.857 150.3458
76.538092 73.832 150.2655
76.904303 73.808 150.1884
77.270514 73.783 150.1160
77.636725 73.759 150.0476
78.002936 73.735 149.9809
78.369147 73.713 149.9127
78.735358 73.690 149.8411
79.101569 73.668 149.7660
79.467780 73.645 149.6897
79.833991 73.622 149.6153
80.200202 73.599 149.5447
80.566413 73.576 149.4789
80.932624 73.552 149.4177
81.298835 73.530 149.3604
81.665046 73.507 149.3069
82.031257 73.486 149.2568
82.397468 73.465 149.2091
82.763679 73.444 149.1612
83.129890 73.425 149.1097
83.496101 73.406 149.0518
83.862311 73.386 148.9869
84.228522 73.365 148.9178
84.594733 73.343 148.8494
84.960944 73.320 148.7866
85.327155 73.296 148.7321
85.693366 73.273 148.6851
86.059577 73.250 148.6423
86.425788 73.228 148.6001
86.791999 73.207 148.5560
87.158210 73.186 148.5096
87.524421 73.164 148.4623
87.890632 73.143 148.4149
88.256843 73.123 148.3677
88.623054 73.102 148.3201
88.989265 73.082 148.2709
89.355476 73.062 148.2203
89.721687 73.041 148.1689
90.087898 73.021 148.1183
90.454109 73.000 148.0695
90.820320 72.980 148.0225
91.186531 72.959 147.9767
91.552742 72.939 147.9314
91.918953 72.918 147.8867
92.285164 72.898 147.8436
92.651375 72.877 147.8036
93.017586 72.856 147.7672
93.383797 72.835 147.7332
93.750008 72.815 147.7001
94.116219 72.795 147.6669
94.482430 72.774 147.6334
94.848641 72.754 147.6011
95.214851 72.733 147.5714
95.581062 72.713 147.5448
95.947273 72.693 147.5200
96.313484 72.674 147.4949
96.679695 72.655 147.4673
97.045906 72.636 147.4365
97.412117 72.618 147.4030
97.778328 72.599 147.3682
98.144539 72.579 147.3335
98.510750 72.560 147.3001
98.876961 72.540 147.2684
99.243172 72.521 147.2386
99.609383 72.501 147.2112
99.975594 72.482 147.1862
100.341805 72.462 147.1638
100.708016 72.443 147.1434
101.074227 72.425 147.1249
101.440438 72.406 147.1074
101.806649 72.388 147.0901
102.172860 72.371 147.0720
102.539071 72.353 147.0521
102.905282 72.336 147.0303
103.271493 72.318 147.0073
103.637704 72.300 146.9846
104.003915 72.281 146.9640
104.370126 72.262 146.9468
104.736337 72.243 146.9331
105.102548 72.225 146.9217
105.468759 72.207 146.9110
105.834970 72.189 146.8995
106.201180 72.172 146.8866
106.567391 72.155 146.8727
106.933602 72.137 146.8587
107.299813 72.120 146.8448
107.666024 72.102 146.8309
108.032235 72.085 146.8163
108.398446 72.068 146.8009
108.764657 72.050 146.7852
109.130868 72.033 146.7701
109.497079 72.015 146.7562
109.863290 71.998 146.7437
110.229501 71.981 146.7317
110.595712 71.964 146.7195
110.961923 71.947 146.7068
111.328134 71.930 146.6936
111.694345 71.913 146.6805
112.060556 71.896 146.6679
112.426767 71.880 146.6556
112.792978 71.863 146.6431
113.159189 71.846 146.6303
113.525400 71.829 146.6176
113.891611 71.812 146.6061
114.257822 71.795 146.5972
114.624033 71.777 146.5915
114.990244 71.760 146.5887
115.356455 71.743 146.5879
115.722666 71.727 146.5876
116.088877 71.711 146.5867
116.455088 71.695 146.5846
116.821299 71.679 146.5815
117.187510 71.664 146.5778
117.553720 71.648 146.5739
117.919931 71.632 146.5697
118.286142 71.617 146.5652
118.652353 71.601 146.5600
119.018564 71.586 146.5540
119.384775 71.570 146.5473
119.750986 71.554 146.5406
120.117197 71.538 146.5347
120.483408 71.522 146.5298
120.849619 71.506 146.5264
121.215830 71.490 146.5237
121.582041 71.475 146.5217
121.948252 71.459 146.5199
122.314463 71.444 146.5190
122.680674 71.428 146.5194
123.046885 71.413 146.5215
123.413096 71.397 146.5253
123.779307 71.383 146.5299
124.145518 71.368 146.5344
124.511729 71.354 146.5381
124.877940 71.340 146.5406
125.244151 71.326 146.5424
125.610362 71.313 146.5441
125.976573 71.299 146.5462
126.342784 71.285 146.5493
126.708995 71.271 146.5536
127.075206 71.257 146.5592
127.441417 71.243 146.5662
127.807628 71.230 146.5748
128.173839 71.216 146.5850
128.540049 71.202 146.5961
128.906260 71.189 146.6079
129.272471 71.176 146.6196
129.638682 71.163 146.6307
130.004893 71.150 146.6408
130.371104 71.138 146.6494
130.737315 71.125 146.6564
131.103526 71.113 146.6620
131.469737 71.101 146.6663
131.835948 71.088 146.6699
132.202159 71.076 146.6730
132.568370 71.063 146.6764
132.934581 71.050 146.6801
133.300792 71.038 146.6844
133.667003 71.025 146.6891
134.033214 71.012 146.6940
134.399425 71.000 146.6987
134.765636 70.988 146.7031
135.131847 70.975 146.7074
135.498058 70.963 146.7123
135.864269 70.950 146.7183
136.230480 70.938 146.7259
136.596691 70.925 146.7350
136.962902 70.913 146.7452
137.329113 70.900 146.7561
137.695324 70.888 146.7672
138.061535 70.876 146.7784
138.427746 70.864 146.7898
138.793957 70.852 146.8018
139.160168 70.840 146.8148
139.526379 70.828 146.8287
139.892589 70.816 146.8434
140.258800 70.804 146.8586
140.625011 70.792 146.8738
140.991222 70.781 146.8889
141.357433 70.769 146.9036
141.723644 70.758 146.9181
142.089855 70.746 146.9323
142.456066 70.735 146.9461
142.822277 70.723 146.9593
143.188488 70.712 146.9717
143.554699 70.701 146.9833
143.920910 70.689 146.9945
144.287121 70.677 147.0056
144.653332 70.665 147.0172
145.019543 70.654 147.0294
145.385754 70.642 147.0426
145.751965 70.630 147.0566
146.118176 70.618 147.0708
146.484387 70.606 147.0851
146.850598 70.595 147.0994
147.216809 70.583 147.1136
147.583020 70.572 147.1284
147.949231 70.560 147.1437
148.315442 70.549 147.1599
148.681653 70.538 147.1765
149.047864 70.526 147.1934
149.414075 70.515 147.2101
149.780286 70.505 147.2272
150.146497 70.494 147.2444
150.512708 70.483 147.2624
150.878918 70.472 147.2812
