* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 25, 2023 9:34:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CRA Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 74.483 -33.7488
0.732422 72.898 -68.4327
1.098633 69.854 -106.2524
1.464844 64.489 -156.9498
1.831055 61.144 102.3640
2.197266 66.790 32.4566
2.563477 70.213 -5.3761
2.929688 71.735 -34.0525
3.295899 71.949 -56.3347
3.662110 71.215 -70.5366
4.028321 70.322 -73.3490
4.394532 70.787 -68.0585
4.760743 72.612 -67.0969
5.126954 74.369 -73.0554
5.493164 75.468 -81.7208
5.859375 75.936 -89.6243
6.225586 76.044 -94.7725
6.591797 76.173 -96.9600
6.958008 76.577 -98.0089
7.324219 77.165 -100.0399
7.690430 77.683 -103.5074
8.056641 77.983 -107.5136
8.422852 78.085 -110.9938
8.789063 78.115 -113.4755
9.155274 78.188 -115.2845
9.521485 78.330 -117.1184
9.887696 78.476 -119.3644
10.253907 78.494 -121.8838
10.620118 78.419 -124.3193
10.986329 78.320 -126.4706
11.352540 78.234 -128.4138
11.718751 78.168 -130.3372
12.084962 78.104 -132.3149
12.451173 78.029 -134.2625
12.817384 77.996 -136.0728
13.183595 77.980 -137.7472
13.549806 77.978 -139.3800
13.916017 77.976 -141.0350
14.282228 77.959 -142.6656
14.648439 77.927 -144.1671
15.014650 77.893 -145.4914
15.380861 77.870 -146.7018
15.747072 77.859 -147.9095
16.113283 77.848 -149.1654
16.479493 77.831 -150.4224
16.845704 77.799 -151.5989
17.211915 77.764 -152.6655
17.578126 77.736 -153.6707
17.944337 77.712 -154.6855
18.310548 77.687 -155.7360
18.676759 77.655 -156.7917
19.042970 77.618 -157.8115
19.409181 77.582 -158.7886
19.775392 77.551 -159.7482
20.141603 77.523 -160.7114
20.507814 77.496 -161.6691
20.874025 77.469 -162.5948
21.240236 77.444 -163.4789
21.606447 77.424 -164.3376
21.972658 77.407 -165.1926
22.338869 77.388 -166.0411
22.705080 77.365 -166.8582
23.071291 77.341 -167.6219
23.437502 77.319 -168.3376
23.803713 77.301 -169.0324
24.169924 77.283 -169.7277
24.536135 77.261 -170.4205
24.902346 77.235 -171.0906
25.268557 77.207 -171.7255
25.634768 77.180 -172.3333
26.000979 77.154 -172.9345
26.367190 77.127 -173.5404
26.733401 77.098 -174.1472
27.099612 77.068 -174.7438
27.465823 77.037 -175.3267
27.832033 77.007 -175.9022
28.198244 76.977 -176.4767
28.564455 76.948 -177.0468
28.930666 76.918 -177.6050
29.296877 76.890 -178.1490
29.663088 76.864 -178.6850
30.029299 76.839 -179.2208
30.395510 76.814 -179.7537
30.761721 76.787 179.7282
31.127932 76.759 179.2354
31.494143 76.733 178.7667
31.860354 76.709 178.3104
32.226565 76.686 177.8546
32.592776 76.662 177.3993
32.958987 76.635 176.9534
33.325198 76.607 176.5251
33.691409 76.579 176.1138
34.057620 76.552 175.7117
34.423831 76.525 175.3126
34.790042 76.497 174.9140
35.156253 76.468 174.5187
35.522464 76.439 174.1277
35.888675 76.410 173.7409
36.254886 76.380 173.3577
36.621097 76.350 172.9814
36.987308 76.319 172.6148
37.353519 76.290 172.2571
37.719730 76.262 171.9033
38.085941 76.235 171.5486
38.452152 76.208 171.1937
38.818363 76.180 170.8436
39.184573 76.152 170.5033
39.550784 76.124 170.1733
39.916995 76.098 169.8490
40.283206 76.072 169.5269
40.649417 76.046 169.2081
41.015628 76.020 168.8967
41.381839 75.993 168.5947
41.748050 75.967 168.3003
42.114261 75.941 168.0093
42.480472 75.915 167.7198
42.846683 75.888 167.4339
43.212894 75.861 167.1543
43.579105 75.833 166.8817
43.945316 75.806 166.6137
44.311527 75.779 166.3478
44.677738 75.752 166.0846
45.043949 75.725 165.8260
45.410160 75.698 165.5731
45.776371 75.672 165.3235
46.142582 75.646 165.0743
46.508793 75.620 164.8240
46.875004 75.594 164.5746
47.241215 75.567 164.3294
47.607426 75.540 164.0908
47.973637 75.513 163.8585
48.339848 75.486 163.6315
48.706059 75.459 163.4089
49.072270 75.433 163.1906
49.438481 75.407 162.9756
49.804692 75.381 162.7621
50.170902 75.355 162.5485
50.537113 75.330 162.3350
50.903324 75.304 162.1241
51.269535 75.278 161.9175
51.635746 75.252 161.7157
52.001957 75.227 161.5169
52.368168 75.201 161.3194
52.734379 75.176 161.1236
53.100590 75.150 160.9308
53.466801 75.125 160.7424
53.833012 75.099 160.5586
54.199223 75.074 160.3785
54.565434 75.049 160.2012
54.931645 75.024 160.0259
55.297856 75.000 159.8533
55.664067 74.975 159.6831
56.030278 74.950 159.5146
56.396489 74.925 159.3482
56.762700 74.900 159.1845
57.128911 74.874 159.0248
57.495122 74.849 158.8688
57.861333 74.824 158.7159
58.227544 74.799 158.5645
58.593755 74.775 158.4138
58.959966 74.750 158.2635
59.326177 74.726 158.1134
59.692388 74.702 157.9628
60.058599 74.677 157.8116
60.424810 74.653 157.6609
60.791021 74.628 157.5129
61.157232 74.603 157.3693
61.523442 74.578 157.2309
61.889653 74.553 157.0967
62.255864 74.529 156.9648
62.622075 74.505 156.8342
62.988286 74.481 156.7050
63.354497 74.457 156.5777
63.720708 74.433 156.4529
64.086919 74.408 156.3302
64.453130 74.384 156.2096
64.819341 74.360 156.0911
65.185552 74.335 155.9744
65.551763 74.311 155.8600
65.917974 74.287 155.7472
66.284185 74.263 155.6357
66.650396 74.239 155.5253
67.016607 74.214 155.4160
67.382818 74.190 155.3071
67.749029 74.166 155.1989
68.115240 74.142 155.0909
68.481451 74.118 154.9842
68.847662 74.094 154.8798
69.213873 74.069 154.7786
69.580084 74.045 154.6804
69.946295 74.022 154.5840
70.312506 73.999 154.4882
70.678717 73.976 154.3922
71.044928 73.953 154.2961
71.411139 73.930 154.2004
71.777350 73.907 154.1055
72.143561 73.884 154.0112
72.509771 73.861 153.9184
72.875982 73.837 153.8277
73.242193 73.814 153.7402
73.608404 73.790 153.6559
73.974615 73.767 153.5740
74.340826 73.744 153.4933
74.707037 73.722 153.4124
75.073248 73.699 153.3311
75.439459 73.676 153.2499
75.805670 73.654 153.1699
76.171881 73.631 153.0915
76.538092 73.608 153.0149
76.904303 73.586 152.9401
77.270514 73.563 152.8666
77.636725 73.541 152.7943
78.002936 73.519 152.7227
78.369147 73.497 152.6520
78.735358 73.476 152.5822
79.101569 73.454 152.5133
79.467780 73.433 152.4451
79.833991 73.411 152.3774
80.200202 73.390 152.3103
80.566413 73.368 152.2441
80.932624 73.347 152.1794
81.298835 73.326 152.1163
81.665046 73.304 152.0550
82.031257 73.283 151.9952
82.397468 73.262 151.9366
82.763679 73.241 151.8791
83.129890 73.220 151.8223
83.496101 73.200 151.7657
83.862311 73.179 151.7090
84.228522 73.159 151.6522
84.594733 73.138 151.5956
84.960944 73.117 151.5406
85.327155 73.096 151.4880
85.693366 73.076 151.4378
86.059577 73.056 151.3890
86.425788 73.036 151.3407
86.791999 73.016 151.2922
87.158210 72.996 151.2438
87.524421 72.976 151.1963
87.890632 72.956 151.1499
88.256843 72.936 151.1049
88.623054 72.916 151.0609
88.989265 72.896 151.0176
89.355476 72.876 150.9749
89.721687 72.857 150.9325
90.087898 72.837 150.8907
90.454109 72.817 150.8494
90.820320 72.798 150.8088
91.186531 72.778 150.7692
91.552742 72.758 150.7307
91.918953 72.739 150.6931
92.285164 72.719 150.6562
92.651375 72.700 150.6201
93.017586 72.681 150.5840
93.383797 72.663 150.5477
93.750008 72.644 150.5107
94.116219 72.626 150.4731
94.482430 72.607 150.4354
94.848641 72.588 150.3984
95.214851 72.569 150.3630
95.581062 72.550 150.3301
95.947273 72.531 150.2995
96.313484 72.513 150.2706
96.679695 72.494 150.2421
97.045906 72.476 150.2133
97.412117 72.458 150.1839
97.778328 72.440 150.1545
98.144539 72.422 150.1262
98.510750 72.403 150.0995
98.876961 72.385 150.0748
99.243172 72.366 150.0517
99.609383 72.348 150.0292
99.975594 72.331 150.0068
100.341805 72.313 149.9841
100.708016 72.295 149.9609
101.074227 72.278 149.9375
101.440438 72.261 149.9136
101.806649 72.243 149.8896
102.172860 72.225 149.8659
102.539071 72.208 149.8430
102.905282 72.190 149.8213
103.271493 72.172 149.8012
103.637704 72.155 149.7822
104.003915 72.138 149.7637
104.370126 72.121 149.7454
104.736337 72.103 149.7272
105.102548 72.086 149.7098
105.468759 72.069 149.6938
105.834970 72.052 149.6796
106.201180 72.035 149.6667
106.567391 72.019 149.6544
106.933602 72.002 149.6418
107.299813 71.986 149.6284
107.666024 71.970 149.6138
108.032235 71.954 149.5981
108.398446 71.938 149.5820
108.764657 71.921 149.5665
109.130868 71.905 149.5525
109.497079 71.888 149.5406
109.863290 71.871 149.5311
110.229501 71.855 149.5237
110.595712 71.838 149.5176
110.961923 71.822 149.5121
111.328134 71.807 149.5065
111.694345 71.791 149.5004
112.060556 71.776 149.4932
112.426767 71.761 149.4847
112.792978 71.746 149.4749
113.159189 71.730 149.4637
113.525400 71.715 149.4521
113.891611 71.699 149.4407
114.257822 71.684 149.4298
114.624033 71.668 149.4197
114.990244 71.652 149.4104
115.356455 71.637 149.4018
115.722666 71.621 149.3938
116.088877 71.605 149.3866
116.455088 71.590 149.3802
116.821299 71.575 149.3744
117.187510 71.560 149.3688
117.553720 71.544 149.3635
117.919931 71.529 149.3583
118.286142 71.514 149.3538
118.652353 71.499 149.3499
119.018564 71.484 149.3468
119.384775 71.469 149.3444
119.750986 71.454 149.3425
120.117197 71.440 149.3411
120.483408 71.425 149.3403
120.849619 71.410 149.3404
121.215830 71.395 149.3414
121.582041 71.381 149.3430
121.948252 71.366 149.3448
122.314463 71.352 149.3465
122.680674 71.338 149.3478
123.046885 71.323 149.3490
123.413096 71.309 149.3502
123.779307 71.295 149.3517
124.145518 71.281 149.3537
124.511729 71.267 149.3561
124.877940 71.254 149.3585
125.244151 71.241 149.3607
125.610362 71.228 149.3623
125.976573 71.215 149.3637
126.342784 71.203 149.3652
126.708995 71.190 149.3672
127.075206 71.178 149.3704
127.441417 71.165 149.3750
127.807628 71.153 149.3808
128.173839 71.140 149.3874
128.540049 71.128 149.3942
128.906260 71.116 149.4009
129.272471 71.105 149.4073
129.638682 71.093 149.4132
130.004893 71.081 149.4188
130.371104 71.069 149.4243
130.737315 71.057 149.4301
131.103526 71.045 149.4361
131.469737 71.033 149.4424
131.835948 71.021 149.4487
132.202159 71.010 149.4548
132.568370 70.998 149.4606
132.934581 70.986 149.4664
133.300792 70.974 149.4723
133.667003 70.963 149.4786
134.033214 70.951 149.4856
134.399425 70.939 149.4932
134.765636 70.927 149.5012
135.131847 70.916 149.5098
135.498058 70.904 149.5190
135.864269 70.892 149.5290
136.230480 70.881 149.5398
136.596691 70.869 149.5513
136.962902 70.858 149.5634
137.329113 70.847 149.5759
137.695324 70.836 149.5884
138.061535 70.825 149.6010
138.427746 70.814 149.6135
138.793957 70.803 149.6258
139.160168 70.792 149.6379
139.526379 70.781 149.6500
139.892589 70.770 149.6621
140.258800 70.759 149.6743
140.625011 70.748 149.6869
140.991222 70.737 149.6997
141.357433 70.726 149.7128
141.723644 70.715 149.7261
142.089855 70.704 149.7397
142.456066 70.693 149.7533
142.822277 70.682 149.7670
143.188488 70.671 149.7809
143.554699 70.661 149.7947
143.920910 70.650 149.8085
144.287121 70.639 149.8221
144.653332 70.629 149.8358
145.019543 70.618 149.8495
145.385754 70.607 149.8636
145.751965 70.597 149.8779
146.118176 70.586 149.8927
146.484387 70.576 149.9078
146.850598 70.566 149.9233
147.216809 70.555 149.9390
147.583020 70.545 149.9548
147.949231 70.535 149.9706
148.315442 70.525 149.9861
148.681653 70.515 150.0015
149.047864 70.505 150.0168
149.414075 70.495 150.0325
149.780286 70.484 150.0488
150.146497 70.474 150.0661
150.512708 70.464 150.0843
150.878918 70.454 150.1031
