* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 4, 2023 8:49:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kima Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.590 159.0523
0.732422 61.722 137.8098
1.098633 58.204 115.4353
1.464844 51.931 87.7628
1.831055 41.366 10.0141
2.197266 46.650 -77.0646
2.563477 48.374 -93.1973
2.929688 47.434 -80.9737
3.295899 49.847 -51.7651
3.662110 54.018 -44.0877
4.028321 56.758 -47.9805
4.394532 58.202 -53.7393
4.760743 58.847 -57.5760
5.126954 59.236 -58.3360
5.493164 59.814 -57.4269
5.859375 60.642 -57.5002
6.225586 61.469 -59.6949
6.591797 62.095 -63.2871
6.958008 62.502 -67.0394
7.324219 62.797 -70.1485
7.690430 63.115 -72.5813
8.056641 63.520 -74.8574
8.422852 63.982 -77.4439
8.789063 64.433 -80.3615
9.155274 64.836 -83.3013
9.521485 65.199 -85.9568
9.887696 65.550 -88.2367
10.253907 65.837 -90.2501
10.620118 66.096 -92.1440
10.986329 66.341 -93.9729
11.352540 66.561 -95.7020
11.718751 66.756 -97.2906
12.084962 66.932 -98.7496
12.451173 67.093 -100.1279
12.817384 67.284 -101.4630
13.183595 67.461 -102.7593
13.549806 67.619 -104.0099
13.916017 67.765 -105.2276
14.282228 67.901 -106.4476
14.648439 68.027 -107.6993
15.014650 68.142 -108.9806
15.380861 68.245 -110.2640
15.747072 68.342 -111.5246
16.113283 68.444 -112.7617
16.479493 68.558 -113.9946
16.845704 68.673 -115.2378
17.211915 68.786 -116.4837
17.578126 68.895 -117.7076
17.944337 69.001 -118.8863
18.310548 69.105 -120.0114
18.676759 69.209 -121.0873
19.042970 69.311 -122.1191
19.409181 69.409 -123.1069
19.775392 69.503 -124.0488
20.141603 69.594 -124.9477
20.507814 69.683 -125.8136
20.874025 69.768 -126.6571
21.240236 69.845 -127.4838
21.606447 69.917 -128.2941
21.972658 69.981 -129.0879
22.338869 70.041 -129.8675
22.705080 70.096 -130.6378
23.071291 70.146 -131.4023
23.437502 70.194 -132.1621
23.803713 70.240 -132.9175
24.169924 70.284 -133.6707
24.536135 70.327 -134.4247
24.902346 70.370 -135.1800
25.268557 70.411 -135.9324
25.634768 70.452 -136.6753
26.000979 70.493 -137.4030
26.367190 70.533 -138.1134
26.733401 70.574 -138.8071
27.099612 70.614 -139.4844
27.465823 70.654 -140.1443
27.832033 70.693 -140.7858
28.198244 70.731 -141.4104
28.564455 70.767 -142.0202
28.930666 70.801 -142.6158
29.296877 70.832 -143.1954
29.663088 70.860 -143.7562
30.029299 70.887 -144.2988
30.395510 70.913 -144.8290
30.761721 70.938 -145.3557
31.127932 70.961 -145.8855
31.494143 70.982 -146.4184
31.860354 71.000 -146.9490
32.226565 71.016 -147.4709
32.592776 71.030 -147.9815
32.958987 71.045 -148.4834
33.325198 71.061 -148.9828
33.691409 71.077 -149.4846
34.057620 71.092 -149.9896
34.423831 71.107 -150.4939
34.790042 71.120 -150.9906
35.156253 71.131 -151.4736
35.522464 71.143 -151.9398
35.888675 71.155 -152.3903
36.254886 71.167 -152.8296
36.621097 71.180 -153.2626
36.987308 71.193 -153.6924
37.353519 71.205 -154.1192
37.719730 71.216 -154.5410
38.085941 71.225 -154.9558
38.452152 71.233 -155.3623
38.818363 71.240 -155.7603
39.184573 71.246 -156.1510
39.550784 71.251 -156.5360
39.916995 71.257 -156.9176
40.283206 71.262 -157.2978
40.649417 71.267 -157.6771
41.015628 71.271 -158.0543
41.381839 71.275 -158.4268
41.748050 71.278 -158.7931
42.114261 71.281 -159.1538
42.480472 71.285 -159.5114
42.846683 71.289 -159.8681
43.212894 71.292 -160.2238
43.579105 71.294 -160.5756
43.945316 71.296 -160.9207
44.311527 71.298 -161.2585
44.677738 71.301 -161.5910
45.043949 71.303 -161.9204
45.410160 71.304 -162.2474
45.776371 71.305 -162.5695
46.142582 71.305 -162.8840
46.508793 71.305 -163.1904
46.875004 71.306 -163.4916
47.241215 71.307 -163.7923
47.607426 71.307 -164.0959
47.973637 71.307 -164.4013
48.339848 71.305 -164.7046
48.706059 71.303 -165.0012
49.072270 71.299 -165.2893
49.438481 71.296 -165.5702
49.804692 71.294 -165.8470
50.170902 71.291 -166.1220
50.537113 71.289 -166.3958
50.903324 71.287 -166.6676
51.269535 71.285 -166.9367
51.635746 71.282 -167.2032
52.001957 71.279 -167.4680
52.368168 71.277 -167.7317
52.734379 71.273 -167.9934
53.100590 71.270 -168.2521
53.466801 71.266 -168.5069
53.833012 71.261 -168.7578
54.199223 71.257 -169.0056
54.565434 71.252 -169.2506
54.931645 71.248 -169.4933
55.297856 71.243 -169.7334
55.664067 71.238 -169.9715
56.030278 71.233 -170.2081
56.396489 71.227 -170.4433
56.762700 71.222 -170.6758
57.128911 71.215 -170.9036
57.495122 71.209 -171.1255
57.861333 71.203 -171.3421
58.227544 71.198 -171.5563
58.593755 71.193 -171.7711
58.959966 71.188 -171.9881
59.326177 71.183 -172.2064
59.692388 71.176 -172.4232
60.058599 71.170 -172.6363
60.424810 71.163 -172.8449
60.791021 71.155 -173.0497
61.157232 71.148 -173.2516
61.523442 71.141 -173.4512
61.889653 71.134 -173.6487
62.255864 71.127 -173.8450
62.622075 71.119 -174.0412
62.988286 71.112 -174.2383
63.354497 71.104 -174.4355
63.720708 71.095 -174.6304
64.086919 71.085 -174.8205
64.453130 71.076 -175.0050
64.819341 71.067 -175.1857
65.185552 71.059 -175.3662
65.551763 71.051 -175.5492
65.917974 71.043 -175.7348
66.284185 71.034 -175.9202
66.650396 71.025 -176.1017
67.016607 71.015 -176.2769
67.382818 71.006 -176.4464
67.749029 70.996 -176.6127
68.115240 70.988 -176.7783
68.481451 70.979 -176.9444
68.847662 70.970 -177.1100
69.213873 70.960 -177.2734
69.580084 70.951 -177.4339
69.946295 70.941 -177.5920
70.312506 70.931 -177.7497
70.678717 70.922 -177.9084
71.044928 70.912 -178.0677
71.411139 70.901 -178.2261
71.777350 70.890 -178.3813
72.143561 70.879 -178.5324
72.509771 70.869 -178.6803
72.875982 70.859 -178.8272
73.242193 70.849 -178.9751
73.608404 70.839 -179.1245
73.974615 70.828 -179.2741
74.340826 70.817 -179.4217
74.707037 70.807 -179.5655
75.073248 70.796 -179.7053
75.439459 70.785 -179.8424
75.805670 70.775 -179.9788
76.171881 70.766 179.8841
76.538092 70.756 179.7461
76.904303 70.745 179.6082
77.270514 70.735 179.4722
77.636725 70.724 179.3392
78.002936 70.713 179.2092
78.369147 70.702 179.0812
78.735358 70.691 178.9539
79.101569 70.681 178.8267
79.467780 70.670 178.6996
79.833991 70.659 178.5735
80.200202 70.648 178.4490
80.566413 70.637 178.3264
80.932624 70.626 178.2054
81.298835 70.615 178.0851
81.665046 70.604 177.9651
82.031257 70.594 177.8452
82.397468 70.583 177.7255
82.763679 70.572 177.6064
83.129890 70.561 177.4882
83.496101 70.550 177.3715
83.862311 70.539 177.2570
84.228522 70.528 177.1448
84.594733 70.517 177.0351
84.960944 70.506 176.9271
85.327155 70.495 176.8199
85.693366 70.485 176.7128
86.059577 70.474 176.6053
86.425788 70.464 176.4978
86.791999 70.453 176.3906
87.158210 70.442 176.2845
87.524421 70.431 176.1799
87.890632 70.420 176.0771
88.256843 70.409 175.9758
88.623054 70.398 175.8756
88.989265 70.387 175.7762
89.355476 70.376 175.6772
89.721687 70.365 175.5791
90.087898 70.353 175.4821
90.454109 70.342 175.3867
90.820320 70.331 175.2929
91.186531 70.320 175.2003
91.552742 70.309 175.1081
91.918953 70.298 175.0155
92.285164 70.288 174.9222
92.651375 70.277 174.8285
93.017586 70.266 174.7350
93.383797 70.255 174.6427
93.750008 70.243 174.5521
94.116219 70.232 174.4637
94.482430 70.221 174.3774
94.848641 70.209 174.2927
95.214851 70.199 174.2088
95.581062 70.188 174.1248
95.947273 70.177 174.0400
96.313484 70.167 173.9542
96.679695 70.156 173.8680
97.045906 70.144 173.7831
97.412117 70.133 173.7010
97.778328 70.121 173.6225
98.144539 70.110 173.5475
98.510750 70.098 173.4745
98.876961 70.088 173.4018
99.243172 70.077 173.3279
99.609383 70.067 173.2524
99.975594 70.056 173.1757
100.341805 70.045 173.0989
100.708016 70.034 173.0231
101.074227 70.022 172.9492
101.440438 70.011 172.8777
101.806649 69.999 172.8083
102.172860 69.988 172.7411
102.539071 69.976 172.6750
102.905282 69.965 172.6093
103.271493 69.955 172.5428
103.637704 69.944 172.4751
104.003915 69.933 172.4064
104.370126 69.922 172.3379
104.736337 69.911 172.2706
105.102548 69.900 172.2050
105.468759 69.889 172.1409
105.834970 69.879 172.0775
106.201180 69.868 172.0139
106.567391 69.858 171.9503
106.933602 69.847 171.8870
107.299813 69.837 171.8245
107.666024 69.826 171.7625
108.032235 69.816 171.7003
108.398446 69.805 171.6371
108.764657 69.794 171.5732
109.130868 69.783 171.5098
109.497079 69.772 171.4487
109.863290 69.760 171.3911
110.229501 69.748 171.3372
110.595712 69.737 171.2855
110.961923 69.726 171.2343
111.328134 69.715 171.1823
111.694345 69.704 171.1292
112.060556 69.694 171.0754
112.426767 69.683 171.0214
112.792978 69.672 170.9675
113.159189 69.661 170.9135
113.525400 69.650 170.8598
113.891611 69.639 170.8067
114.257822 69.628 170.7553
114.624033 69.617 170.7061
114.990244 69.606 170.6591
115.356455 69.595 170.6131
115.722666 69.585 170.5670
116.088877 69.575 170.5198
116.455088 69.565 170.4713
116.821299 69.555 170.4219
117.187510 69.545 170.3723
117.553720 69.535 170.3228
117.919931 69.524 170.2733
118.286142 69.514 170.2235
118.652353 69.503 170.1734
119.018564 69.492 170.1238
119.384775 69.481 170.0759
119.750986 69.470 170.0305
120.117197 69.458 169.9877
120.483408 69.447 169.9467
120.849619 69.437 169.9061
121.215830 69.426 169.8649
121.582041 69.416 169.8226
121.948252 69.406 169.7798
122.314463 69.395 169.7374
122.680674 69.384 169.6966
123.046885 69.374 169.6577
123.413096 69.363 169.6205
123.779307 69.353 169.5846
124.145518 69.343 169.5491
124.511729 69.333 169.5135
124.877940 69.324 169.4774
125.244151 69.315 169.4409
125.610362 69.306 169.4042
125.976573 69.298 169.3677
126.342784 69.289 169.3319
126.708995 69.280 169.2968
127.075206 69.272 169.2624
127.441417 69.263 169.2284
127.807628 69.255 169.1945
128.173839 69.246 169.1604
128.540049 69.238 169.1259
128.906260 69.230 169.0909
129.272471 69.222 169.0551
129.638682 69.213 169.0186
130.004893 69.204 168.9819
130.371104 69.195 168.9457
130.737315 69.186 168.9111
131.103526 69.177 168.8786
131.469737 69.167 168.8485
131.835948 69.158 168.8202
132.202159 69.149 168.7929
132.568370 69.140 168.7658
132.934581 69.132 168.7384
133.300792 69.123 168.7107
133.667003 69.115 168.6830
134.033214 69.106 168.6555
134.399425 69.097 168.6284
134.765636 69.089 168.6018
135.131847 69.080 168.5753
135.498058 69.072 168.5486
135.864269 69.064 168.5212
136.230480 69.056 168.4931
136.596691 69.048 168.4642
136.962902 69.039 168.4348
137.329113 69.031 168.4053
137.695324 69.022 168.3763
138.061535 69.014 168.3484
138.427746 69.005 168.3220
138.793957 68.997 168.2969
139.160168 68.988 168.2728
139.526379 68.980 168.2486
139.892589 68.972 168.2237
140.258800 68.965 168.1976
140.625011 68.957 168.1708
140.991222 68.948 168.1440
141.357433 68.940 168.1187
141.723644 68.931 168.0958
142.089855 68.922 168.0757
142.456066 68.914 168.0582
142.822277 68.905 168.0425
143.188488 68.897 168.0278
143.554699 68.889 168.0133
143.920910 68.881 167.9987
144.287121 68.874 167.9835
144.653332 68.866 167.9675
145.019543 68.859 167.9506
145.385754 68.851 167.9328
145.751965 68.843 167.9143
146.118176 68.835 167.8958
146.484387 68.827 167.8781
146.850598 68.818 167.8615
147.216809 68.810 167.8463
147.583020 68.801 167.8321
