* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 4, 2023 8:49:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kima Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.779 -22.2442
0.732422 65.903 -44.1679
1.098633 62.282 -64.9904
1.464844 55.243 -80.5050
1.831055 43.889 6.3687
2.197266 54.964 27.5666
2.563477 57.937 9.5797
2.929688 58.203 -10.5047
3.295899 56.855 -28.4546
3.662110 54.485 -38.8968
4.028321 52.765 -35.1486
4.394532 54.046 -28.7599
4.760743 56.553 -34.6430
5.126954 58.529 -46.8306
5.493164 59.742 -59.0095
5.859375 60.367 -67.8805
6.225586 60.779 -72.0911
6.591797 61.411 -72.7684
6.958008 62.383 -72.9986
7.324219 63.423 -74.7466
7.690430 64.254 -77.6794
8.056641 64.807 -80.5815
8.422852 65.174 -82.5895
8.789063 65.502 -83.6744
9.155274 65.872 -84.4713
9.521485 66.263 -85.6082
9.887696 66.607 -87.2178
10.253907 66.805 -89.0464
10.620118 66.916 -90.8279
10.986329 67.013 -92.5089
11.352540 67.118 -94.2036
11.718751 67.228 -96.0072
12.084962 67.333 -97.8899
12.451173 67.436 -99.7528
12.817384 67.592 -101.5404
13.183595 67.770 -103.2763
13.549806 67.954 -105.0000
13.916017 68.133 -106.6950
14.282228 68.302 -108.2911
14.648439 68.463 -109.7310
15.014650 68.625 -111.0254
15.380861 68.787 -112.2366
15.747072 68.944 -113.4169
16.113283 69.091 -114.5659
16.479493 69.228 -115.6500
16.845704 69.352 -116.6514
17.211915 69.467 -117.5952
17.578126 69.575 -118.5277
17.944337 69.673 -119.4761
18.310548 69.757 -120.4318
18.676759 69.830 -121.3726
19.042970 69.898 -122.2937
19.409181 69.965 -123.2161
19.775392 70.032 -124.1654
20.141603 70.098 -125.1465
20.507814 70.162 -126.1406
20.874025 70.224 -127.1236
21.240236 70.287 -128.0846
21.606447 70.353 -129.0268
21.972658 70.420 -129.9549
22.338869 70.487 -130.8642
22.705080 70.554 -131.7437
23.071291 70.620 -132.5865
23.437502 70.686 -133.3952
23.803713 70.749 -134.1758
24.169924 70.810 -134.9303
24.536135 70.867 -135.6550
24.902346 70.919 -136.3474
25.268557 70.968 -137.0121
25.634768 71.013 -137.6585
26.000979 71.055 -138.2942
26.367190 71.093 -138.9217
26.733401 71.127 -139.5410
27.099612 71.158 -140.1555
27.465823 71.187 -140.7714
27.832033 71.214 -141.3933
28.198244 71.239 -142.0189
28.564455 71.262 -142.6412
28.930666 71.284 -143.2558
29.296877 71.308 -143.8658
29.663088 71.333 -144.4779
30.029299 71.358 -145.0951
30.395510 71.382 -145.7111
30.761721 71.404 -146.3139
31.127932 71.426 -146.8947
31.494143 71.448 -147.4528
31.860354 71.471 -147.9943
32.226565 71.494 -148.5242
32.592776 71.516 -149.0430
32.958987 71.536 -149.5476
33.325198 71.556 -150.0368
33.691409 71.574 -150.5137
34.057620 71.592 -150.9839
34.423831 71.607 -151.4517
34.790042 71.621 -151.9168
35.156253 71.632 -152.3763
35.522464 71.641 -152.8272
35.888675 71.649 -153.2692
36.254886 71.656 -153.7045
36.621097 71.663 -154.1364
36.987308 71.670 -154.5675
37.353519 71.677 -154.9986
37.719730 71.683 -155.4285
38.085941 71.689 -155.8549
38.452152 71.694 -156.2755
38.818363 71.700 -156.6898
39.184573 71.706 -157.0990
39.550784 71.711 -157.5046
39.916995 71.717 -157.9064
40.283206 71.723 -158.3023
40.649417 71.728 -158.6891
41.015628 71.733 -159.0658
41.381839 71.738 -159.4344
41.748050 71.742 -159.7982
42.114261 71.747 -160.1595
42.480472 71.750 -160.5180
42.846683 71.752 -160.8720
43.212894 71.754 -161.2203
43.579105 71.755 -161.5631
43.945316 71.756 -161.9019
44.311527 71.756 -162.2376
44.677738 71.756 -162.5702
45.043949 71.756 -162.8989
45.410160 71.755 -163.2238
45.776371 71.755 -163.5458
46.142582 71.755 -163.8660
46.508793 71.754 -164.1847
46.875004 71.753 -164.5015
47.241215 71.752 -164.8150
47.607426 71.751 -165.1238
47.973637 71.749 -165.4268
48.339848 71.747 -165.7236
48.706059 71.744 -166.0152
49.072270 71.742 -166.3034
49.438481 71.740 -166.5900
49.804692 71.738 -166.8760
50.170902 71.735 -167.1601
50.537113 71.731 -167.4407
50.903324 71.727 -167.7166
51.269535 71.723 -167.9888
51.635746 71.719 -168.2590
52.001957 71.714 -168.5280
52.368168 71.709 -168.7945
52.734379 71.704 -169.0564
53.100590 71.698 -169.3126
53.466801 71.693 -169.5647
53.833012 71.689 -169.8158
54.199223 71.684 -170.0675
54.565434 71.680 -170.3187
54.931645 71.674 -170.5665
55.297856 71.669 -170.8083
55.664067 71.663 -171.0446
56.030278 71.658 -171.2782
56.396489 71.653 -171.5111
56.762700 71.647 -171.7425
57.128911 71.641 -171.9697
57.495122 71.634 -172.1899
57.861333 71.627 -172.4038
58.227544 71.621 -172.6154
58.593755 71.616 -172.8294
58.959966 71.610 -173.0478
59.326177 71.603 -173.2687
59.692388 71.595 -173.4881
60.058599 71.587 -173.7030
60.424810 71.579 -173.9136
60.791021 71.570 -174.1225
61.157232 71.562 -174.3325
61.523442 71.554 -174.5435
61.889653 71.544 -174.7525
62.255864 71.535 -174.9558
62.622075 71.525 -175.1513
62.988286 71.515 -175.3407
63.354497 71.507 -175.5280
63.720708 71.498 -175.7169
64.086919 71.490 -175.9086
64.453130 71.481 -176.1013
64.819341 71.472 -176.2919
65.185552 71.462 -176.4782
65.551763 71.453 -176.6600
65.917974 71.443 -176.8386
66.284185 71.434 -177.0159
66.650396 71.425 -177.1929
67.016607 71.415 -177.3701
67.382818 71.406 -177.5473
67.749029 71.396 -177.7237
68.115240 71.385 -177.8980
68.481451 71.374 -178.0685
68.847662 71.363 -178.2336
69.213873 71.352 -178.3934
69.580084 71.342 -178.5494
69.946295 71.332 -178.7048
70.312506 71.323 -178.8620
70.678717 71.313 -179.0215
71.044928 71.304 -179.1820
71.411139 71.294 -179.3416
71.777350 71.284 -179.4986
72.143561 71.273 -179.6534
72.509771 71.263 -179.8069
72.875982 71.253 -179.9601
73.242193 71.242 179.8871
73.608404 71.231 179.7363
73.974615 71.219 179.5887
74.340826 71.208 179.4453
74.707037 71.196 179.3054
75.073248 71.185 179.1673
75.439459 71.174 179.0294
75.805670 71.163 178.8909
76.171881 71.152 178.7521
76.538092 71.141 178.6141
76.904303 71.130 178.4781
77.270514 71.118 178.3445
77.636725 71.107 178.2133
78.002936 71.096 178.0834
78.369147 71.085 177.9543
78.735358 71.074 177.8256
79.101569 71.063 177.6971
79.467780 71.053 177.5691
79.833991 71.042 177.4415
80.200202 71.031 177.3143
80.566413 71.020 177.1874
80.932624 71.009 177.0614
81.298835 70.997 176.9369
81.665046 70.986 176.8146
82.031257 70.974 176.6949
82.397468 70.963 176.5771
82.763679 70.951 176.4602
83.129890 70.940 176.3436
83.496101 70.928 176.2272
83.862311 70.917 176.1121
84.228522 70.905 175.9995
84.594733 70.893 175.8901
84.960944 70.881 175.7830
85.327155 70.870 175.6767
85.693366 70.859 175.5694
86.059577 70.848 175.4604
86.425788 70.837 175.3509
86.791999 70.825 175.2427
87.158210 70.813 175.1374
87.524421 70.801 175.0355
87.890632 70.790 174.9361
88.256843 70.779 174.8376
88.623054 70.767 174.7384
88.989265 70.756 174.6382
89.355476 70.745 174.5375
89.721687 70.733 174.4373
90.087898 70.722 174.3383
90.454109 70.710 174.2411
90.820320 70.698 174.1458
91.186531 70.686 174.0520
91.552742 70.675 173.9589
91.918953 70.664 173.8657
92.285164 70.653 173.7719
92.651375 70.642 173.6770
93.017586 70.631 173.5815
93.383797 70.619 173.4864
93.750008 70.607 173.3929
94.116219 70.596 173.3021
94.482430 70.584 173.2141
94.848641 70.572 173.1285
95.214851 70.561 173.0443
95.581062 70.549 172.9606
95.947273 70.538 172.8774
96.313484 70.526 172.7952
96.679695 70.515 172.7146
97.045906 70.503 172.6364
97.412117 70.491 172.5605
97.778328 70.479 172.4863
98.144539 70.468 172.4129
98.510750 70.457 172.3392
98.876961 70.445 172.2647
99.243172 70.434 172.1895
99.609383 70.422 172.1141
99.975594 70.411 172.0391
100.341805 70.399 171.9652
100.708016 70.387 171.8926
101.074227 70.375 171.8210
101.440438 70.363 171.7497
101.806649 70.352 171.6781
102.172860 70.341 171.6060
102.539071 70.329 171.5336
102.905282 70.318 171.4611
103.271493 70.306 171.3893
103.637704 70.295 171.3184
104.003915 70.283 171.2489
104.370126 70.272 171.1807
104.736337 70.260 171.1137
105.102548 70.249 171.0473
105.468759 70.238 170.9807
105.834970 70.228 170.9133
106.201180 70.217 170.8451
106.567391 70.206 170.7766
106.933602 70.194 170.7091
107.299813 70.182 170.6439
107.666024 70.171 170.5815
108.032235 70.159 170.5214
108.398446 70.148 170.4624
108.764657 70.137 170.4033
109.130868 70.126 170.3432
109.497079 70.115 170.2826
109.863290 70.104 170.2225
110.229501 70.093 170.1637
110.595712 70.082 170.1068
110.961923 70.070 170.0515
111.328134 70.059 169.9968
111.694345 70.048 169.9420
112.060556 70.038 169.8867
112.426767 70.027 169.8309
112.792978 70.016 169.7749
113.159189 70.004 169.7194
113.525400 69.993 169.6651
113.891611 69.982 169.6122
114.257822 69.970 169.5609
114.624033 69.959 169.5111
114.990244 69.947 169.4626
115.356455 69.936 169.4149
115.722666 69.925 169.3675
116.088877 69.915 169.3203
116.455088 69.904 169.2730
116.821299 69.893 169.2254
117.187510 69.883 169.1774
117.553720 69.872 169.1290
117.919931 69.861 169.0805
118.286142 69.850 169.0325
118.652353 69.839 168.9858
119.018564 69.827 168.9412
119.384775 69.816 168.8990
119.750986 69.805 168.8585
120.117197 69.794 168.8188
120.483408 69.783 168.7789
120.849619 69.772 168.7382
121.215830 69.761 168.6971
121.582041 69.751 168.6561
121.948252 69.740 168.6160
122.314463 69.729 168.5765
122.680674 69.718 168.5372
123.046885 69.707 168.4973
123.413096 69.697 168.4562
123.779307 69.686 168.4143
124.145518 69.676 168.3724
124.511729 69.665 168.3312
124.877940 69.654 168.2913
125.244151 69.644 168.2526
125.610362 69.634 168.2148
125.976573 69.625 168.1774
126.342784 69.615 168.1399
126.708995 69.606 168.1022
127.075206 69.596 168.0646
127.441417 69.587 168.0275
127.807628 69.577 167.9920
128.173839 69.567 167.9589
128.540049 69.558 167.9288
128.906260 69.549 167.9012
129.272471 69.540 167.8748
129.638682 69.531 167.8478
130.004893 69.523 167.8190
130.371104 69.515 167.7877
130.737315 69.507 167.7544
131.103526 69.499 167.7205
131.469737 69.490 167.6868
131.835948 69.481 167.6539
132.202159 69.473 167.6218
132.568370 69.464 167.5903
132.934581 69.455 167.5590
133.300792 69.447 167.5278
133.667003 69.438 167.4965
134.033214 69.430 167.4650
134.399425 69.421 167.4335
134.765636 69.412 167.4020
135.131847 69.403 167.3711
135.498058 69.394 167.3412
135.864269 69.385 167.3131
136.230480 69.376 167.2867
136.596691 69.367 167.2620
136.962902 69.358 167.2383
137.329113 69.350 167.2152
137.695324 69.341 167.1923
138.061535 69.333 167.1693
138.427746 69.324 167.1461
138.793957 69.316 167.1225
139.160168 69.307 167.0983
139.526379 69.299 167.0737
139.892589 69.290 167.0490
140.258800 69.282 167.0246
140.625011 69.273 167.0012
140.991222 69.264 166.9790
141.357433 69.255 166.9582
141.723644 69.246 166.9387
142.089855 69.237 166.9199
142.456066 69.228 166.9016
142.822277 69.220 166.8835
143.188488 69.211 166.8657
143.554699 69.203 166.8480
143.920910 69.195 166.8302
144.287121 69.187 166.8120
144.653332 69.179 166.7930
145.019543 69.171 166.7728
145.385754 69.163 166.7515
145.751965 69.154 166.7295
146.118176 69.146 166.7078
146.484387 69.137 166.6870
146.850598 69.129 166.6675
147.216809 69.120 166.6492
147.583020 69.112 166.6317
147.949231 69.103 166.6142
