* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2023 5:55:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DUNU SA6 Ultra Foam Tips L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.006 160.8219
0.732422 80.618 140.6537
1.098633 75.507 115.3406
1.464844 65.845 34.7725
1.831055 74.276 -52.6997
2.197266 78.985 -73.6704
2.563477 81.188 -84.9751
2.929688 82.373 -91.1948
3.295899 83.251 -94.1931
3.662110 84.133 -96.2909
4.028321 84.988 -99.2699
4.394532 85.661 -103.4097
4.760743 86.079 -107.9908
5.126954 86.284 -112.1618
5.493164 86.396 -115.4905
5.859375 86.536 -118.1671
6.225586 86.750 -120.7630
6.591797 87.002 -123.6996
6.958008 87.232 -126.9508
7.324219 87.411 -130.1852
7.690430 87.554 -133.0810
8.056641 87.700 -135.5391
8.422852 87.873 -137.6832
8.789063 88.067 -139.6934
9.155274 88.261 -141.6446
9.521485 88.434 -143.4874
9.887696 88.583 -145.1396
10.253907 88.641 -146.5768
10.620118 88.658 -147.8459
10.986329 88.670 -149.0154
11.352540 88.670 -150.1260
11.718751 88.655 -151.1854
12.084962 88.628 -152.1966
12.451173 88.591 -153.1783
12.817384 88.598 -154.1567
13.183595 88.602 -155.1450
13.549806 88.598 -156.1375
13.916017 88.589 -157.1251
14.282228 88.580 -158.1117
14.648439 88.573 -159.1132
15.014650 88.570 -160.1406
15.380861 88.569 -161.1849
15.747072 88.568 -162.2222
16.113283 88.575 -163.2303
16.479493 88.598 -164.2027
16.845704 88.626 -165.1444
17.211915 88.656 -166.0589
17.578126 88.688 -166.9394
17.944337 88.717 -167.7726
18.310548 88.745 -168.5502
18.676759 88.772 -169.2747
19.042970 88.797 -169.9561
19.409181 88.818 -170.6040
19.775392 88.836 -171.2236
20.141603 88.850 -171.8184
20.507814 88.862 -172.3937
20.874025 88.870 -172.9581
21.240236 88.874 -173.5205
21.606447 88.875 -174.0869
21.972658 88.873 -174.6611
22.338869 88.869 -175.2453
22.705080 88.863 -175.8403
23.071291 88.856 -176.4438
23.437502 88.849 -177.0511
23.803713 88.842 -177.6571
24.169924 88.837 -178.2601
24.536135 88.835 -178.8619
24.902346 88.834 -179.4635
25.268557 88.836 179.9383
25.634768 88.838 179.3519
26.000979 88.841 178.7858
26.367190 88.844 178.2433
26.733401 88.849 177.7216
27.099612 88.854 177.2150
27.465823 88.859 176.7204
27.832033 88.862 176.2383
28.198244 88.862 175.7705
28.564455 88.861 175.3176
28.930666 88.858 174.8777
29.296877 88.853 174.4468
29.663088 88.846 174.0210
30.029299 88.839 173.5956
30.395510 88.830 173.1662
30.761721 88.820 172.7303
31.127932 88.808 172.2889
31.494143 88.794 171.8470
31.860354 88.779 171.4103
32.226565 88.765 170.9809
32.592776 88.753 170.5556
32.958987 88.742 170.1286
33.325198 88.733 169.6964
33.691409 88.724 169.2609
34.057620 88.715 168.8268
34.423831 88.707 168.3984
34.790042 88.698 167.9771
35.156253 88.690 167.5620
35.522464 88.681 167.1541
35.888675 88.671 166.7570
36.254886 88.660 166.3745
36.621097 88.648 166.0071
36.987308 88.638 165.6506
37.353519 88.627 165.2980
37.719730 88.617 164.9439
38.085941 88.606 164.5870
38.452152 88.593 164.2297
38.818363 88.579 163.8750
39.184573 88.564 163.5240
39.550784 88.550 163.1758
39.916995 88.535 162.8285
40.283206 88.521 162.4803
40.649417 88.508 162.1308
41.015628 88.494 161.7798
41.381839 88.480 161.4278
41.748050 88.466 161.0763
42.114261 88.452 160.7278
42.480472 88.436 160.3860
42.846683 88.421 160.0541
43.212894 88.406 159.7331
43.579105 88.392 159.4205
43.945316 88.379 159.1108
44.311527 88.368 158.7984
44.677738 88.355 158.4807
45.043949 88.342 158.1602
45.410160 88.327 157.8434
45.776371 88.311 157.5365
46.142582 88.295 157.2411
46.508793 88.281 156.9521
46.875004 88.267 156.6607
47.241215 88.255 156.3595
47.607426 88.241 156.0475
47.973637 88.225 155.7306
48.339848 88.208 155.4184
48.706059 88.189 155.1187
49.072270 88.170 154.8339
49.438481 88.153 154.5602
49.804692 88.138 154.2900
50.170902 88.124 154.0148
50.537113 88.112 153.7295
50.903324 88.099 153.4339
51.269535 88.084 153.1337
51.635746 88.067 152.8376
52.001957 88.048 152.5532
52.368168 88.030 152.2833
52.734379 88.012 152.0240
53.100590 87.996 151.7676
53.466801 87.981 151.5071
53.833012 87.966 151.2406
54.199223 87.950 150.9711
54.565434 87.933 150.7036
54.931645 87.916 150.4408
55.297856 87.899 150.1820
55.664067 87.883 149.9240
56.030278 87.867 149.6646
56.396489 87.851 149.4036
56.762700 87.834 149.1430
57.128911 87.818 148.8850
57.495122 87.800 148.6310
57.861333 87.783 148.3821
58.227544 87.766 148.1394
58.593755 87.748 147.9032
58.959966 87.732 147.6720
59.326177 87.717 147.4418
59.692388 87.702 147.2072
60.058599 87.687 146.9654
60.424810 87.671 146.7179
60.791021 87.654 146.4703
61.157232 87.635 146.2288
61.523442 87.615 145.9957
61.889653 87.596 145.7690
62.255864 87.578 145.5440
62.622075 87.560 145.3173
62.988286 87.542 145.0888
63.354497 87.522 144.8611
63.720708 87.503 144.6367
64.086919 87.483 144.4163
64.453130 87.465 144.1984
64.819341 87.447 143.9807
65.185552 87.430 143.7614
65.551763 87.413 143.5394
65.917974 87.396 143.3141
66.284185 87.379 143.0859
66.650396 87.361 142.8577
67.016607 87.342 142.6343
67.382818 87.323 142.4206
67.749029 87.304 142.2176
68.115240 87.286 142.0208
68.481451 87.269 141.8224
68.847662 87.253 141.6161
69.213873 87.236 141.4018
69.580084 87.218 141.1850
69.946295 87.199 140.9726
70.312506 87.179 140.7675
70.678717 87.160 140.5671
71.044928 87.141 140.3663
71.411139 87.122 140.1625
71.777350 87.102 139.9581
72.143561 87.081 139.7580
72.509771 87.061 139.5657
72.875982 87.041 139.3797
73.242193 87.022 139.1947
73.608404 87.005 139.0056
73.974615 86.987 138.8109
74.340826 86.969 138.6130
74.707037 86.950 138.4163
75.073248 86.931 138.2241
75.439459 86.912 138.0377
75.805670 86.893 137.8563
76.171881 86.875 137.6781
76.538092 86.858 137.5004
76.904303 86.841 137.3201
77.270514 86.825 137.1345
77.636725 86.808 136.9431
78.002936 86.790 136.7487
78.369147 86.771 136.5567
78.735358 86.752 136.3723
79.101569 86.732 136.1965
79.467780 86.714 136.0255
79.833991 86.697 135.8524
80.200202 86.680 135.6713
80.566413 86.664 135.4820
80.932624 86.645 135.2899
81.298835 86.625 135.1034
81.665046 86.605 134.9282
82.031257 86.585 134.7648
82.397468 86.566 134.6077
82.763679 86.549 134.4501
83.129890 86.532 134.2875
83.496101 86.516 134.1199
83.862311 86.499 133.9505
84.228522 86.481 133.7822
84.594733 86.464 133.6156
84.960944 86.446 133.4495
85.327155 86.428 133.2832
85.693366 86.409 133.1186
86.059577 86.390 132.9595
86.425788 86.371 132.8083
86.791999 86.353 132.6631
87.158210 86.336 132.5175
87.524421 86.321 132.3638
87.890632 86.305 132.1988
88.256843 86.289 132.0261
88.623054 86.270 131.8545
88.989265 86.250 131.6924
89.355476 86.230 131.5424
89.721687 86.211 131.4001
90.087898 86.195 131.2571
90.454109 86.179 131.1070
90.820320 86.162 130.9496
91.186531 86.145 130.7902
91.552742 86.127 130.6354
91.918953 86.109 130.4871
92.285164 86.092 130.3417
92.651375 86.076 130.1928
93.017586 86.060 130.0363
93.383797 86.044 129.8747
93.750008 86.025 129.7150
94.116219 86.006 129.5644
94.482430 85.988 129.4244
94.848641 85.971 129.2901
95.214851 85.955 129.1537
95.581062 85.940 129.0092
95.947273 85.925 128.8565
96.313484 85.908 128.7006
96.679695 85.891 128.5476
97.045906 85.873 128.4011
97.412117 85.855 128.2611
97.778328 85.837 128.1250
98.144539 85.820 127.9903
98.510750 85.803 127.8560
98.876961 85.786 127.7227
99.243172 85.769 127.5919
99.609383 85.752 127.4643
99.975594 85.736 127.3387
100.341805 85.720 127.2122
100.708016 85.705 127.0811
101.074227 85.690 126.9432
101.440438 85.675 126.7995
101.806649 85.658 126.6544
102.172860 85.641 126.5130
102.539071 85.623 126.3771
102.905282 85.606 126.2441
103.271493 85.590 126.1087
103.637704 85.573 125.9677
104.003915 85.555 125.8241
104.370126 85.536 125.6856
104.736337 85.516 125.5600
105.102548 85.497 125.4480
105.468759 85.481 125.3415
105.834970 85.467 125.2284
106.201180 85.454 125.1006
106.567391 85.439 124.9599
106.933602 85.422 124.8166
107.299813 85.404 124.6823
107.666024 85.386 124.5618
108.032235 85.368 124.4512
108.398446 85.353 124.3412
108.764657 85.338 124.2247
109.130868 85.323 124.1011
109.497079 85.308 123.9750
109.863290 85.292 123.8516
110.229501 85.276 123.7317
110.595712 85.261 123.6127
110.961923 85.246 123.4911
111.328134 85.230 123.3667
111.694345 85.214 123.2423
112.060556 85.198 123.1213
112.426767 85.183 123.0044
112.792978 85.168 122.8884
113.159189 85.153 122.7693
113.525400 85.139 122.6447
113.891611 85.124 122.5160
114.257822 85.108 122.3872
114.624033 85.091 122.2632
114.990244 85.073 122.1470
115.356455 85.055 122.0401
115.722666 85.038 121.9417
116.088877 85.023 121.8488
116.455088 85.009 121.7559
116.821299 84.996 121.6568
117.187510 84.985 121.5470
117.553720 84.972 121.4266
117.919931 84.958 121.3010
118.286142 84.942 121.1779
118.652353 84.926 121.0627
119.018564 84.909 120.9553
119.384775 84.894 120.8515
119.750986 84.879 120.7466
120.117197 84.864 120.6394
120.483408 84.849 120.5328
120.849619 84.833 120.4302
121.215830 84.818 120.3312
121.582041 84.805 120.2312
121.948252 84.791 120.1247
122.314463 84.778 120.0103
122.680674 84.762 119.8930
123.046885 84.746 119.7814
123.413096 84.729 119.6817
123.779307 84.713 119.5923
124.145518 84.699 119.5047
124.511729 84.687 119.4082
124.877940 84.675 119.2978
125.244151 84.662 119.1778
125.610362 84.648 119.0593
125.976573 84.632 118.9533
126.342784 84.617 118.8630
126.708995 84.603 118.7816
127.075206 84.593 118.6956
127.441417 84.584 118.5942
127.807628 84.574 118.4756
128.173839 84.562 118.3485
128.540049 84.547 118.2265
128.906260 84.530 118.1196
129.272471 84.515 118.0287
129.638682 84.501 117.9463
130.004893 84.489 117.8627
130.371104 84.478 117.7723
130.737315 84.466 117.6761
131.103526 84.455 117.5790
131.469737 84.443 117.4840
131.835948 84.431 117.3902
132.202159 84.420 117.2938
132.568370 84.409 117.1925
132.934581 84.397 117.0882
133.300792 84.384 116.9859
133.667003 84.370 116.8897
134.033214 84.357 116.7994
134.399425 84.345 116.7110
134.765636 84.334 116.6194
135.131847 84.322 116.5229
135.498058 84.310 116.4236
135.864269 84.298 116.3254
136.230480 84.285 116.2307
136.596691 84.272 116.1383
136.962902 84.260 116.0461
137.329113 84.247 115.9533
137.695324 84.234 115.8627
138.061535 84.221 115.7784
138.427746 84.208 115.7020
138.793957 84.197 115.6290
139.160168 84.188 115.5506
139.526379 84.180 115.4586
139.892589 84.170 115.3523
140.258800 84.158 115.2405
140.625011 84.144 115.1370
140.991222 84.129 115.0516
141.357433 84.114 114.9825
141.723644 84.103 114.9176
142.089855 84.093 114.8427
142.456066 84.084 114.7525
142.822277 84.072 114.6549
143.188488 84.058 114.5654
143.554699 84.044 114.4944
143.920910 84.032 114.4380
144.287121 84.024 114.3792
144.653332 84.018 114.2996
145.019543 84.012 114.1926
145.385754 84.002 114.0689
145.751965 83.988 113.9489
146.118176 83.972 113.8495
146.484387 83.956 113.7742
146.850598 83.942 113.7126
147.216809 83.931 113.6501
147.583020 83.922 113.5780
147.949231 83.912 113.4969
148.315442 83.902 113.4128
148.681653 83.891 113.3300
149.047864 83.881 113.2480
149.414075 83.871 113.1633
149.780286 83.861 113.0745
150.146497 83.851 112.9844
150.512708 83.839 112.8978
150.878918 83.828 112.8166
151.245129 83.817 112.7373
