* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2023 5:54:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DUNU SA6 Ultra Foam Tips R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 88.511 -23.0855
0.732422 86.853 -45.4176
1.098633 83.780 -65.2127
1.464844 78.645 -75.3775
1.831055 73.461 -44.9588
2.197266 77.572 -20.4366
2.563477 80.994 -33.2407
2.929688 82.689 -53.7778
3.295899 83.348 -74.3899
3.662110 83.323 -91.4391
4.028321 82.961 -102.1486
4.394532 82.876 -105.6987
4.760743 83.611 -106.0438
5.126954 84.866 -108.4767
5.493164 85.986 -113.7053
5.859375 86.669 -119.6902
6.225586 86.947 -124.4155
6.591797 87.046 -126.8622
6.958008 87.226 -127.5115
7.324219 87.579 -127.9427
7.690430 87.980 -129.2998
8.056641 88.269 -131.4914
8.422852 88.392 -133.7621
8.789063 88.412 -135.5062
9.155274 88.428 -136.6941
9.521485 88.497 -137.7675
9.887696 88.598 -139.1451
10.253907 88.609 -140.8709
10.620118 88.552 -142.7061
10.986329 88.480 -144.4281
11.352540 88.423 -146.0075
11.718751 88.392 -147.5476
12.084962 88.376 -149.1120
12.451173 88.362 -150.6463
12.817384 88.402 -152.0549
13.183595 88.459 -153.3126
13.549806 88.529 -154.4809
13.916017 88.603 -155.6236
14.282228 88.665 -156.7283
14.648439 88.710 -157.7247
15.014650 88.746 -158.5692
15.380861 88.782 -159.2997
15.747072 88.819 -160.0039
16.113283 88.852 -160.7383
16.479493 88.880 -161.4873
16.845704 88.890 -162.1998
17.211915 88.892 -162.8552
17.578126 88.895 -163.4902
17.944337 88.901 -164.1632
18.310548 88.903 -164.8999
18.676759 88.900 -165.6787
19.042970 88.893 -166.4622
19.409181 88.887 -167.2359
19.775392 88.887 -168.0127
20.141603 88.893 -168.8064
20.507814 88.904 -169.6083
20.874025 88.915 -170.3930
21.240236 88.929 -171.1429
21.606447 88.948 -171.8604
21.972658 88.970 -172.5556
22.338869 88.991 -173.2264
22.705080 89.010 -173.8562
23.071291 89.027 -174.4319
23.437502 89.046 -174.9620
23.803713 89.065 -175.4728
24.169924 89.082 -175.9857
24.536135 89.093 -176.5003
24.902346 89.096 -176.9986
25.268557 89.094 -177.4668
25.634768 89.090 -177.9104
26.000979 89.086 -178.3507
26.367190 89.083 -178.8073
26.733401 89.078 -179.2866
27.099612 89.072 -179.7833
27.465823 89.064 179.7087
27.832033 89.056 179.1918
28.198244 89.048 178.6668
28.564455 89.040 178.1385
28.930666 89.033 177.6140
29.296877 89.028 177.0980
29.663088 89.025 176.5896
30.029299 89.024 176.0874
30.395510 89.023 175.5945
30.761721 89.022 175.1184
31.127932 89.021 174.6645
31.494143 89.021 174.2304
31.860354 89.021 173.8083
32.226565 89.021 173.3926
32.592776 89.018 172.9851
32.958987 89.013 172.5916
33.325198 89.007 172.2143
33.691409 89.000 171.8481
34.057620 88.993 171.4834
34.423831 88.986 171.1127
34.790042 88.977 170.7343
35.156253 88.966 170.3496
35.522464 88.954 169.9610
35.888675 88.940 169.5712
36.254886 88.925 169.1851
36.621097 88.910 168.8085
36.987308 88.897 168.4426
37.353519 88.887 168.0795
37.719730 88.879 167.7059
38.085941 88.872 167.3134
38.452152 88.864 166.9078
38.818363 88.852 166.5073
39.184573 88.838 166.1305
39.550784 88.824 165.7834
39.916995 88.813 165.4563
40.283206 88.807 165.1315
40.649417 88.802 164.7960
41.015628 88.796 164.4478
41.381839 88.788 164.0941
41.748050 88.777 163.7449
42.114261 88.764 163.4082
42.480472 88.749 163.0875
42.846683 88.736 162.7807
43.212894 88.724 162.4799
43.579105 88.714 162.1727
43.945316 88.705 161.8484
44.311527 88.694 161.5062
44.677738 88.680 161.1576
45.043949 88.663 160.8217
45.410160 88.644 160.5125
45.776371 88.627 160.2296
46.142582 88.615 159.9568
46.508793 88.607 159.6724
46.875004 88.600 159.3628
47.241215 88.590 159.0308
47.607426 88.577 158.6931
47.973637 88.560 158.3707
48.339848 88.541 158.0773
48.706059 88.524 157.8119
49.072270 88.510 157.5602
49.438481 88.500 157.3025
49.804692 88.492 157.0243
50.170902 88.483 156.7233
50.537113 88.471 156.4089
50.903324 88.456 156.0960
51.269535 88.438 155.7964
51.635746 88.420 155.5147
52.001957 88.401 155.2490
52.368168 88.385 154.9953
52.734379 88.369 154.7495
53.100590 88.356 154.5073
53.466801 88.345 154.2625
53.833012 88.336 154.0073
54.199223 88.326 153.7369
54.565434 88.316 153.4526
54.931645 88.303 153.1619
55.297856 88.288 152.8743
55.664067 88.270 152.5964
56.030278 88.252 152.3298
56.396489 88.233 152.0732
56.762700 88.214 151.8257
57.128911 88.195 151.5884
57.495122 88.177 151.3624
57.861333 88.159 151.1458
58.227544 88.144 150.9326
58.593755 88.132 150.7137
58.959966 88.121 150.4813
59.326177 88.110 150.2320
59.692388 88.098 149.9690
60.058599 88.084 149.7010
60.424810 88.068 149.4380
60.791021 88.052 149.1857
61.157232 88.036 148.9423
61.523442 88.022 148.6993
61.889653 88.008 148.4482
62.255864 87.993 148.1880
62.622075 87.975 147.9278
62.988286 87.955 147.6821
63.354497 87.932 147.4614
63.720708 87.911 147.2646
64.086919 87.892 147.0803
64.453130 87.875 146.8946
64.819341 87.860 146.7001
65.185552 87.845 146.4987
65.551763 87.829 146.2970
65.917974 87.813 146.0986
66.284185 87.798 145.8995
66.650396 87.785 145.6911
67.016607 87.772 145.4662
67.382818 87.758 145.2256
67.749029 87.741 144.9775
68.115240 87.721 144.7335
68.481451 87.701 144.5016
68.847662 87.680 144.2834
69.213873 87.661 144.0745
69.580084 87.643 143.8688
69.946295 87.627 143.6624
70.312506 87.610 143.4550
70.678717 87.594 143.2475
71.044928 87.579 143.0398
71.411139 87.564 142.8295
71.777350 87.549 142.6140
72.143561 87.532 142.3938
72.509771 87.514 142.1734
72.875982 87.494 141.9594
73.242193 87.472 141.7570
73.608404 87.450 141.5682
73.974615 87.428 141.3925
74.340826 87.405 141.2294
74.707037 87.384 141.0793
75.073248 87.364 140.9417
75.439459 87.346 140.8120
75.805670 87.332 140.6818
76.171881 87.320 140.5408
76.538092 87.310 140.3828
76.904303 87.301 140.2075
77.270514 87.291 140.0192
77.636725 87.281 139.8231
78.002936 87.270 139.6216
78.369147 87.259 139.4149
78.735358 87.247 139.2024
79.101569 87.235 138.9845
79.467780 87.222 138.7623
79.833991 87.208 138.5368
80.200202 87.193 138.3091
80.566413 87.177 138.0814
80.932624 87.159 137.8576
81.298835 87.139 137.6419
81.665046 87.119 137.4359
82.031257 87.098 137.2370
82.397468 87.078 137.0408
82.763679 87.057 136.8448
83.129890 87.035 136.6512
83.496101 87.012 136.4654
83.862311 86.988 136.2916
84.228522 86.966 136.1286
84.594733 86.946 135.9695
84.960944 86.927 135.8063
85.327155 86.909 135.6350
85.693366 86.891 135.4577
86.059577 86.872 135.2801
86.425788 86.853 135.1069
86.791999 86.836 134.9386
87.158210 86.819 134.7722
87.524421 86.804 134.6049
87.890632 86.789 134.4367
88.256843 86.774 134.2708
88.623054 86.760 134.1102
88.989265 86.746 133.9561
89.355476 86.734 133.8064
89.721687 86.721 133.6584
90.087898 86.709 133.5119
90.454109 86.696 133.3695
90.820320 86.683 133.2348
91.186531 86.669 133.1093
91.552742 86.656 132.9899
91.918953 86.643 132.8715
92.285164 86.629 132.7500
92.651375 86.614 132.6258
93.017586 86.596 132.5035
93.383797 86.577 132.3879
93.750008 86.558 132.2803
94.116219 86.538 132.1765
94.482430 86.518 132.0690
94.848641 86.499 131.9522
95.214851 86.478 131.8250
95.581062 86.457 131.6910
95.947273 86.434 131.5550
96.313484 86.412 131.4183
96.679695 86.390 131.2781
97.045906 86.370 131.1291
97.412117 86.350 130.9681
97.778328 86.330 130.7973
98.144539 86.310 130.6225
98.510750 86.289 130.4499
98.876961 86.270 130.2816
99.243172 86.252 130.1159
99.609383 86.235 129.9500
99.975594 86.219 129.7844
100.341805 86.204 129.6234
100.708016 86.189 129.4721
101.074227 86.175 129.3313
101.440438 86.163 129.1960
101.806649 86.152 129.0587
102.172860 86.142 128.9154
102.539071 86.130 128.7697
102.905282 86.116 128.6301
103.271493 86.101 128.5031
103.637704 86.087 128.3885
104.003915 86.073 128.2784
104.370126 86.059 128.1642
104.736337 86.044 128.0422
105.102548 86.028 127.9167
105.468759 86.010 127.7947
105.834970 85.992 127.6800
106.201180 85.974 127.5695
106.567391 85.958 127.4557
106.933602 85.942 127.3326
107.299813 85.925 127.1999
107.666024 85.908 127.0628
108.032235 85.890 126.9279
108.398446 85.873 126.7976
108.764657 85.856 126.6697
109.130868 85.841 126.5392
109.497079 85.827 126.4030
109.863290 85.813 126.2621
110.229501 85.798 126.1211
110.595712 85.783 125.9854
110.961923 85.768 125.8579
111.328134 85.753 125.7376
111.694345 85.740 125.6203
112.060556 85.727 125.5018
112.426767 85.714 125.3801
112.792978 85.700 125.2574
113.159189 85.685 125.1380
113.525400 85.669 125.0260
113.891611 85.653 124.9217
114.257822 85.638 124.8211
114.624033 85.624 124.7180
114.990244 85.610 124.6080
115.356455 85.595 124.4913
115.722666 85.579 124.3729
116.088877 85.562 124.2585
116.455088 85.545 124.1501
116.821299 85.529 124.0443
117.187510 85.514 123.9346
117.553720 85.499 123.8174
117.919931 85.484 123.6948
118.286142 85.468 123.5739
118.652353 85.452 123.4607
119.018564 85.436 123.3544
119.384775 85.423 123.2473
119.750986 85.411 123.1309
120.117197 85.399 123.0027
120.483408 85.385 122.8695
120.849619 85.369 122.7429
121.215830 85.352 122.6305
121.582041 85.337 122.5299
121.948252 85.323 122.4312
122.314463 85.311 122.3246
122.680674 85.298 122.2087
123.046885 85.283 122.0905
123.413096 85.267 121.9800
123.779307 85.250 121.8821
124.145518 85.235 121.7931
124.511729 85.221 121.7049
124.877940 85.208 121.6112
125.244151 85.196 121.5118
125.610362 85.184 121.4110
125.976573 85.171 121.3127
126.342784 85.159 121.2171
126.708995 85.148 121.1207
127.075206 85.137 121.0194
127.441417 85.126 120.9115
127.807628 85.115 120.7981
128.173839 85.102 120.6823
128.540049 85.089 120.5676
128.906260 85.075 120.4574
129.272471 85.060 120.3546
129.638682 85.045 120.2607
130.004893 85.032 120.1735
130.371104 85.020 120.0877
130.737315 85.009 119.9963
131.103526 84.999 119.8944
131.469737 84.988 119.7828
131.835948 84.975 119.6675
132.202159 84.961 119.5572
132.568370 84.946 119.4581
132.934581 84.931 119.3707
133.300792 84.918 119.2894
133.667003 84.907 119.2060
134.033214 84.897 119.1142
134.399425 84.886 119.0135
134.765636 84.874 118.9095
135.131847 84.861 118.8094
135.498058 84.848 118.7179
135.864269 84.836 118.6328
136.230480 84.825 118.5469
136.596691 84.815 118.4530
136.962902 84.804 118.3496
137.329113 84.792 118.2430
137.695324 84.778 118.1431
138.061535 84.763 118.0562
138.427746 84.750 117.9797
138.793957 84.739 117.9042
139.160168 84.729 117.8191
139.526379 84.719 117.7206
139.892589 84.708 117.6139
140.258800 84.695 117.5092
140.625011 84.680 117.4144
140.991222 84.667 117.3303
141.357433 84.654 117.2512
141.723644 84.643 117.1700
142.089855 84.632 117.0832
142.456066 84.621 116.9922
142.822277 84.610 116.9003
143.188488 84.599 116.8094
143.554699 84.589 116.7184
143.920910 84.578 116.6252
144.287121 84.567 116.5293
144.653332 84.556 116.4330
145.019543 84.544 116.3394
145.385754 84.532 116.2492
145.751965 84.521 116.1608
146.118176 84.509 116.0710
146.484387 84.498 115.9790
146.850598 84.486 115.8879
147.216809 84.472 115.8027
147.583020 84.459 115.7266
147.949231 84.447 115.6580
148.315442 84.437 115.5912
148.681653 84.428 115.5194
149.047864 84.419 115.4391
149.414075 84.410 115.3516
149.780286 84.399 115.2615
150.146497 84.388 115.1738
150.512708 84.377 115.0904
150.878918 84.366 115.0103
