* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2023 5:58:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DUNU SA6 Ultra Foam Tips L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.360 159.5353
0.732422 80.933 137.9732
1.098633 75.759 110.8138
1.464844 66.520 27.8474
1.831055 74.520 -57.7608
2.197266 78.919 -80.2072
2.563477 80.794 -92.4326
2.929688 81.615 -98.6122
3.295899 82.205 -100.4365
3.662110 82.986 -101.0225
4.028321 83.866 -103.1526
4.394532 84.564 -107.2204
4.760743 84.944 -112.0775
5.126954 85.053 -116.4318
5.493164 85.054 -119.6058
5.859375 85.120 -121.8596
6.225586 85.317 -124.0755
6.591797 85.580 -126.8997
6.958008 85.809 -130.2625
7.324219 85.960 -133.6364
7.690430 86.063 -136.5342
8.056641 86.178 -138.8276
8.422852 86.342 -140.7412
8.789063 86.547 -142.5749
9.155274 86.752 -144.4388
9.521485 86.928 -146.2333
9.887696 87.070 -147.8113
10.253907 87.121 -149.1253
10.620118 87.135 -150.2458
10.986329 87.145 -151.2769
11.352540 87.143 -152.2726
11.718751 87.124 -153.2313
12.084962 87.090 -154.1440
12.451173 87.048 -155.0285
12.817384 87.045 -155.9181
13.183595 87.041 -156.8290
13.549806 87.029 -157.7520
13.916017 87.013 -158.6749
14.282228 87.000 -159.6064
14.648439 86.990 -160.5710
15.014650 86.984 -161.5809
15.380861 86.979 -162.6168
15.747072 86.974 -163.6388
16.113283 86.977 -164.6167
16.479493 86.998 -165.5482
16.845704 87.027 -166.4494
17.211915 87.061 -167.3301
17.578126 87.095 -168.1794
17.944337 87.126 -168.9750
18.310548 87.156 -169.7031
18.676759 87.185 -170.3685
19.042970 87.213 -170.9890
19.409181 87.239 -171.5820
19.775392 87.260 -172.1564
20.141603 87.277 -172.7159
20.507814 87.289 -173.2634
20.874025 87.294 -173.8023
21.240236 87.295 -174.3336
21.606447 87.291 -174.8585
21.972658 87.284 -175.3815
22.338869 87.278 -175.9144
22.705080 87.272 -176.4700
23.071291 87.265 -177.0522
23.437502 87.256 -177.6507
23.803713 87.247 -178.2476
24.169924 87.239 -178.8302
24.536135 87.235 -179.4007
24.902346 87.237 -179.9706
25.268557 87.242 179.4513
25.634768 87.248 178.8693
26.000979 87.252 178.2992
26.367190 87.256 177.7574
26.733401 87.260 177.2509
27.099612 87.264 176.7751
27.465823 87.270 176.3199
27.832033 87.276 175.8770
28.198244 87.279 175.4429
28.564455 87.281 175.0174
28.930666 87.280 174.6009
29.296877 87.276 174.1924
29.663088 87.269 173.7903
30.029299 87.261 173.3922
30.395510 87.252 172.9945
30.761721 87.242 172.5935
31.127932 87.231 172.1857
31.494143 87.220 171.7697
31.860354 87.208 171.3464
32.226565 87.196 170.9180
32.592776 87.184 170.4867
32.958987 87.172 170.0554
33.325198 87.161 169.6274
33.691409 87.150 169.2063
34.057620 87.141 168.7947
34.423831 87.133 168.3922
34.790042 87.126 167.9958
35.156253 87.120 167.6023
35.522464 87.114 167.2107
35.888675 87.108 166.8239
36.254886 87.099 166.4470
36.621097 87.090 166.0838
36.987308 87.080 165.7340
37.353519 87.070 165.3937
37.719730 87.060 165.0570
38.085941 87.050 164.7192
38.452152 87.039 164.3786
38.818363 87.026 164.0370
39.184573 87.012 163.6973
39.550784 86.997 163.3616
39.916995 86.983 163.0298
40.283206 86.969 162.7000
40.649417 86.956 162.3692
41.015628 86.943 162.0363
41.381839 86.930 161.7012
41.748050 86.918 161.3650
42.114261 86.905 161.0297
42.480472 86.892 160.6974
42.846683 86.878 160.3708
43.212894 86.865 160.0519
43.579105 86.852 159.7406
43.945316 86.840 159.4337
44.311527 86.829 159.1260
44.677738 86.818 158.8135
45.043949 86.806 158.4967
45.410160 86.793 158.1808
45.776371 86.778 157.8725
46.142582 86.762 157.5751
46.508793 86.747 157.2861
46.875004 86.733 157.0000
47.241215 86.719 156.7120
47.607426 86.705 156.4222
47.973637 86.690 156.1345
48.339848 86.674 155.8527
48.706059 86.660 155.5769
49.072270 86.646 155.3038
49.438481 86.633 155.0287
49.804692 86.620 154.7498
50.170902 86.607 154.4684
50.537113 86.593 154.1886
50.903324 86.578 153.9136
51.269535 86.564 153.6445
51.635746 86.549 153.3800
52.001957 86.535 153.1177
52.368168 86.521 152.8556
52.734379 86.507 152.5927
53.100590 86.492 152.3296
53.466801 86.476 152.0676
53.833012 86.461 151.8082
54.199223 86.445 151.5520
54.565434 86.429 151.2986
54.931645 86.413 151.0467
55.297856 86.397 150.7953
55.664067 86.382 150.5436
56.030278 86.367 150.2918
56.396489 86.352 150.0399
56.762700 86.337 149.7871
57.128911 86.322 149.5333
57.495122 86.306 149.2793
57.861333 86.290 149.0276
58.227544 86.274 148.7814
58.593755 86.257 148.5432
58.959966 86.240 148.3124
59.326177 86.224 148.0867
59.692388 86.209 147.8620
60.058599 86.194 147.6354
60.424810 86.179 147.4062
60.791021 86.164 147.1752
61.157232 86.148 146.9447
61.523442 86.132 146.7166
61.889653 86.115 146.4919
62.255864 86.098 146.2706
62.622075 86.082 146.0509
62.988286 86.066 145.8301
63.354497 86.051 145.6052
63.720708 86.035 145.3747
64.086919 86.018 145.1398
64.453130 85.999 144.9050
64.819341 85.980 144.6764
65.185552 85.960 144.4591
65.551763 85.941 144.2540
65.917974 85.923 144.0571
66.284185 85.907 143.8615
66.650396 85.892 143.6610
67.016607 85.877 143.4534
67.382818 85.861 143.2417
67.749029 85.845 143.0315
68.115240 85.828 142.8268
68.481451 85.810 142.6277
68.847662 85.794 142.4304
69.213873 85.778 142.2303
69.580084 85.761 142.0255
69.946295 85.744 141.8178
70.312506 85.725 141.6121
70.678717 85.706 141.4121
71.044928 85.687 141.2189
71.411139 85.668 141.0300
71.777350 85.650 140.8417
72.143561 85.633 140.6513
72.509771 85.616 140.4579
72.875982 85.600 140.2623
73.242193 85.583 140.0652
73.608404 85.566 139.8671
73.974615 85.549 139.6689
74.340826 85.531 139.4720
74.707037 85.513 139.2781
75.073248 85.496 139.0888
75.439459 85.478 138.9037
75.805670 85.461 138.7210
76.171881 85.445 138.5384
76.538092 85.428 138.3552
76.904303 85.411 138.1724
77.270514 85.394 137.9920
77.636725 85.377 137.8148
78.002936 85.361 137.6398
78.369147 85.344 137.4641
78.735358 85.328 137.2859
79.101569 85.311 137.1060
79.467780 85.294 136.9275
79.833991 85.276 136.7538
80.200202 85.257 136.5865
80.566413 85.240 136.4238
80.932624 85.223 136.2621
81.298835 85.207 136.0982
81.665046 85.190 135.9317
82.031257 85.174 135.7646
82.397468 85.156 135.5997
82.763679 85.139 135.4380
83.129890 85.122 135.2786
83.496101 85.106 135.1190
83.862311 85.090 134.9570
84.228522 85.074 134.7921
84.594733 85.057 134.6251
84.960944 85.040 134.4576
85.327155 85.023 134.2905
85.693366 85.006 134.1245
86.059577 84.988 133.9604
86.425788 84.971 133.7993
86.791999 84.953 133.6420
87.158210 84.936 133.4881
87.524421 84.920 133.3354
87.890632 84.904 133.1809
88.256843 84.889 133.0223
88.623054 84.874 132.8601
88.989265 84.858 132.6974
89.355476 84.842 132.5381
89.721687 84.825 132.3845
90.087898 84.809 132.2357
90.454109 84.793 132.0888
90.820320 84.778 131.9407
91.186531 84.762 131.7907
91.552742 84.747 131.6405
91.918953 84.730 131.4927
92.285164 84.714 131.3485
92.651375 84.698 131.2066
93.017586 84.682 131.0640
93.383797 84.665 130.9186
93.750008 84.649 130.7710
94.116219 84.632 130.6240
94.482430 84.614 130.4804
94.848641 84.596 130.3414
95.214851 84.579 130.2054
95.581062 84.562 130.0694
95.947273 84.546 129.9311
96.313484 84.530 129.7900
96.679695 84.514 129.6473
97.045906 84.498 129.5042
97.412117 84.483 129.3610
97.778328 84.467 129.2170
98.144539 84.451 129.0723
98.510750 84.435 128.9282
98.876961 84.418 128.7873
99.243172 84.402 128.6522
99.609383 84.386 128.5231
99.975594 84.370 128.3979
100.341805 84.356 128.2728
100.708016 84.342 128.1446
101.074227 84.327 128.0128
101.440438 84.313 127.8790
101.806649 84.298 127.7460
102.172860 84.283 127.6151
102.539071 84.268 127.4858
102.905282 84.252 127.3561
103.271493 84.237 127.2245
103.637704 84.221 127.0913
104.003915 84.205 126.9585
104.370126 84.188 126.8289
104.736337 84.171 126.7045
105.102548 84.154 126.5856
105.468759 84.137 126.4712
105.834970 84.121 126.3590
106.201180 84.106 126.2466
106.567391 84.092 126.1320
106.933602 84.079 126.0131
107.299813 84.065 125.8892
107.666024 84.051 125.7606
108.032235 84.037 125.6294
108.398446 84.022 125.4988
108.764657 84.006 125.3719
109.130868 83.991 125.2504
109.497079 83.975 125.1342
109.863290 83.960 125.0215
110.229501 83.945 124.9100
110.595712 83.931 124.7981
110.961923 83.916 124.6852
111.328134 83.902 124.5713
111.694345 83.888 124.4567
112.060556 83.874 124.3414
112.426767 83.860 124.2251
112.792978 83.846 124.1080
113.159189 83.832 123.9906
113.525400 83.817 123.8737
113.891611 83.803 123.7579
114.257822 83.788 123.6435
114.624033 83.773 123.5302
114.990244 83.759 123.4177
115.356455 83.745 123.3059
115.722666 83.731 123.1949
116.088877 83.717 123.0849
116.455088 83.703 122.9756
116.821299 83.690 122.8670
117.187510 83.677 122.7583
117.553720 83.664 122.6491
117.919931 83.651 122.5390
118.286142 83.638 122.4279
118.652353 83.625 122.3163
119.018564 83.612 122.2054
119.384775 83.598 122.0967
119.750986 83.584 121.9913
120.117197 83.570 121.8895
120.483408 83.556 121.7905
120.849619 83.543 121.6927
121.215830 83.529 121.5941
121.582041 83.516 121.4934
121.948252 83.503 121.3903
122.314463 83.489 121.2856
122.680674 83.475 121.1803
123.046885 83.460 121.0754
123.413096 83.445 120.9717
123.779307 83.430 120.8694
124.145518 83.415 120.7691
124.511729 83.400 120.6711
124.877940 83.386 120.5759
125.244151 83.372 120.4829
125.610362 83.360 120.3909
125.976573 83.348 120.2979
126.342784 83.337 120.2022
126.708995 83.326 120.1029
127.075206 83.316 120.0004
127.441417 83.305 119.8964
127.807628 83.295 119.7927
128.173839 83.284 119.6909
128.540049 83.272 119.5914
128.906260 83.261 119.4940
129.272471 83.251 119.3980
129.638682 83.240 119.3027
130.004893 83.229 119.2077
130.371104 83.218 119.1131
130.737315 83.206 119.0192
131.103526 83.195 118.9268
131.469737 83.183 118.8361
131.835948 83.172 118.7468
132.202159 83.160 118.6582
132.568370 83.149 118.5692
132.934581 83.137 118.4786
133.300792 83.126 118.3860
133.667003 83.115 118.2915
134.033214 83.104 118.1956
134.399425 83.093 118.0989
134.765636 83.081 118.0017
135.131847 83.070 117.9039
135.498058 83.060 117.8050
135.864269 83.049 117.7048
136.230480 83.038 117.6035
136.596691 83.027 117.5019
136.962902 83.016 117.4010
137.329113 83.005 117.3024
137.695324 82.994 117.2074
138.061535 82.983 117.1167
138.427746 82.972 117.0302
138.793957 82.961 116.9471
139.160168 82.951 116.8655
139.526379 82.942 116.7835
139.892589 82.933 116.6998
140.258800 82.923 116.6136
140.625011 82.914 116.5253
140.991222 82.904 116.4356
141.357433 82.893 116.3456
141.723644 82.882 116.2567
142.089855 82.870 116.1700
142.456066 82.858 116.0865
142.822277 82.846 116.0064
143.188488 82.835 115.9291
143.554699 82.823 115.8535
143.920910 82.813 115.7774
144.287121 82.803 115.6994
144.653332 82.793 115.6185
145.019543 82.784 115.5345
145.385754 82.774 115.4484
145.751965 82.765 115.3609
146.118176 82.755 115.2731
146.484387 82.746 115.1855
146.850598 82.736 115.0984
147.216809 82.727 115.0124
147.583020 82.717 114.9276
147.949231 82.708 114.8441
148.315442 82.699 114.7617
148.681653 82.690 114.6799
149.047864 82.681 114.5983
149.414075 82.672 114.5167
149.780286 82.662 114.4354
150.146497 82.653 114.3552
150.512708 82.643 114.2763
150.878918 82.633 114.1991
