* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2023 6:01:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DUNU SA6 Ultra Foam Tips R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 88.390 -22.5130
0.732422 86.712 -44.3275
1.098633 83.610 -63.8070
1.464844 78.425 -74.4519
1.831055 72.678 -45.7466
2.197266 76.430 -17.9980
2.563477 79.748 -30.5574
2.929688 81.282 -52.0432
3.295899 81.792 -74.2196
3.662110 81.643 -93.0389
4.028321 81.151 -105.1930
4.394532 80.933 -109.1851
4.760743 81.649 -108.9843
5.126954 83.006 -110.9284
5.493164 84.235 -116.0938
5.859375 84.978 -122.2094
6.225586 85.264 -127.0122
6.591797 85.335 -129.3016
6.958008 85.490 -129.5307
7.324219 85.845 -129.4797
7.690430 86.265 -130.5047
8.056641 86.563 -132.5370
8.422852 86.675 -134.7248
8.789063 86.667 -136.3647
9.155274 86.652 -137.3939
9.521485 86.698 -138.2981
9.887696 86.783 -139.5616
10.253907 86.783 -141.2505
10.620118 86.714 -143.1012
10.986329 86.627 -144.8543
11.352540 86.558 -146.4610
11.718751 86.522 -148.0267
12.084962 86.506 -149.6234
12.451173 86.499 -151.1967
12.817384 86.544 -152.6421
13.183595 86.609 -153.9261
13.549806 86.688 -155.1069
13.916017 86.769 -156.2468
14.282228 86.838 -157.3307
14.648439 86.889 -158.2836
15.014650 86.929 -159.0605
15.380861 86.969 -159.7058
15.747072 87.011 -160.3203
16.113283 87.050 -160.9742
16.479493 87.080 -161.6595
16.845704 87.090 -162.3242
17.211915 87.089 -162.9408
17.578126 87.085 -163.5374
17.944337 87.083 -164.1678
18.310548 87.079 -164.8611
18.676759 87.071 -165.6042
19.042970 87.060 -166.3687
19.409181 87.052 -167.1427
19.775392 87.050 -167.9329
20.141603 87.054 -168.7427
20.507814 87.062 -169.5553
20.874025 87.074 -170.3449
21.240236 87.092 -171.0985
21.606447 87.115 -171.8233
21.972658 87.142 -172.5292
22.338869 87.168 -173.2092
22.705080 87.191 -173.8402
23.071291 87.211 -174.4059
23.437502 87.232 -174.9150
23.803713 87.254 -175.3957
24.169924 87.273 -175.8719
24.536135 87.286 -176.3456
24.902346 87.291 -176.8027
25.268557 87.291 -177.2336
25.634768 87.289 -177.6479
26.000979 87.286 -178.0676
26.367190 87.281 -178.5103
26.733401 87.274 -178.9781
27.099612 87.264 -179.4628
27.465823 87.253 -179.9564
27.832033 87.243 179.5420
28.198244 87.233 179.0317
28.564455 87.225 178.5154
28.930666 87.219 177.9992
29.296877 87.216 177.4875
29.663088 87.215 176.9804
30.029299 87.217 176.4771
30.395510 87.220 175.9812
30.761721 87.222 175.5010
31.127932 87.225 175.0428
31.494143 87.228 174.6071
31.860354 87.231 174.1888
32.226565 87.233 173.7837
32.592776 87.233 173.3923
32.958987 87.232 173.0161
33.325198 87.229 172.6520
33.691409 87.226 172.2911
34.057620 87.221 171.9248
34.423831 87.213 171.5519
34.790042 87.201 171.1793
35.156253 87.188 170.8140
35.522464 87.174 170.4559
35.888675 87.162 170.0968
36.254886 87.150 169.7278
36.621097 87.138 169.3470
36.987308 87.126 168.9612
37.353519 87.114 168.5790
37.719730 87.102 168.2036
38.085941 87.093 167.8315
38.452152 87.085 167.4563
38.818363 87.077 167.0759
39.184573 87.069 166.6945
39.550784 87.059 166.3206
39.916995 87.049 165.9611
40.283206 87.039 165.6191
40.649417 87.030 165.2921
41.015628 87.022 164.9738
41.381839 87.015 164.6578
41.748050 87.007 164.3398
42.114261 86.999 164.0191
42.480472 86.990 163.6980
42.846683 86.980 163.3789
43.212894 86.968 163.0624
43.579105 86.956 162.7475
43.945316 86.944 162.4338
44.311527 86.931 162.1232
44.677738 86.918 161.8183
45.043949 86.905 161.5192
45.410160 86.894 161.2216
45.776371 86.884 160.9192
46.142582 86.873 160.6088
46.508793 86.862 160.2941
46.875004 86.849 159.9839
47.241215 86.835 159.6862
47.607426 86.821 159.4021
47.973637 86.809 159.1254
48.339848 86.798 158.8476
48.706059 86.788 158.5636
49.072270 86.777 158.2741
49.438481 86.764 157.9839
49.804692 86.751 157.6973
50.170902 86.738 157.4154
50.537113 86.724 157.1372
50.903324 86.711 156.8610
51.269535 86.697 156.5862
51.635746 86.684 156.3138
52.001957 86.670 156.0444
52.368168 86.657 155.7779
52.734379 86.644 155.5133
53.100590 86.631 155.2496
53.466801 86.619 154.9862
53.833012 86.606 154.7240
54.199223 86.594 154.4643
54.565434 86.581 154.2086
54.931645 86.568 153.9570
55.297856 86.555 153.7083
55.664067 86.543 153.4606
56.030278 86.530 153.2121
56.396489 86.517 152.9626
56.762700 86.504 152.7131
57.128911 86.490 152.4643
57.495122 86.475 152.2162
57.861333 86.460 151.9686
58.227544 86.444 151.7220
58.593755 86.428 151.4780
58.959966 86.412 151.2384
59.326177 86.396 151.0034
59.692388 86.381 150.7703
60.058599 86.366 150.5355
60.424810 86.352 150.2966
60.791021 86.338 150.0543
61.157232 86.324 149.8118
61.523442 86.309 149.5727
61.889653 86.294 149.3389
62.255864 86.279 149.1098
62.622075 86.265 148.8833
62.988286 86.251 148.6578
63.354497 86.236 148.4331
63.720708 86.221 148.2102
64.086919 86.205 147.9902
64.453130 86.189 147.7734
64.819341 86.174 147.5594
65.185552 86.158 147.3470
65.551763 86.142 147.1353
65.917974 86.126 146.9236
66.284185 86.109 146.7116
66.650396 86.093 146.4996
67.016607 86.076 146.2878
67.382818 86.060 146.0760
67.749029 86.043 145.8643
68.115240 86.026 145.6527
68.481451 86.010 145.4416
68.847662 85.993 145.2311
69.213873 85.977 145.0208
69.580084 85.961 144.8099
69.946295 85.945 144.5988
70.312506 85.929 144.3889
70.678717 85.913 144.1829
71.044928 85.896 143.9830
71.411139 85.880 143.7891
71.777350 85.865 143.5985
72.143561 85.850 143.4072
72.509771 85.835 143.2123
72.875982 85.821 143.0141
73.242193 85.805 142.8157
73.608404 85.788 142.6212
73.974615 85.771 142.4331
74.340826 85.753 142.2511
74.707037 85.737 142.0721
75.073248 85.721 141.8929
75.439459 85.705 141.7113
75.805670 85.689 141.5271
76.171881 85.673 141.3413
76.538092 85.656 141.1553
76.904303 85.640 140.9697
77.270514 85.623 140.7842
77.636725 85.606 140.5989
78.002936 85.589 140.4142
78.369147 85.572 140.2309
78.735358 85.556 140.0498
79.101569 85.539 139.8703
79.467780 85.523 139.6908
79.833991 85.507 139.5096
80.200202 85.492 139.3260
80.566413 85.475 139.1412
80.932624 85.459 138.9579
81.298835 85.442 138.7787
81.665046 85.424 138.6046
82.031257 85.408 138.4347
82.397468 85.391 138.2670
82.763679 85.375 138.1000
83.129890 85.359 137.9330
83.496101 85.344 137.7669
83.862311 85.328 137.6023
84.228522 85.313 137.4391
84.594733 85.297 137.2764
84.960944 85.283 137.1127
85.327155 85.268 136.9476
85.693366 85.253 136.7815
86.059577 85.237 136.6159
86.425788 85.221 136.4528
86.791999 85.205 136.2932
87.158210 85.190 136.1366
87.524421 85.174 135.9817
87.890632 85.159 135.8263
88.256843 85.144 135.6693
88.623054 85.128 135.5111
88.989265 85.112 135.3535
89.355476 85.096 135.1980
89.721687 85.081 135.0451
90.087898 85.065 134.8933
90.454109 85.050 134.7399
90.820320 85.035 134.5827
91.186531 85.020 134.4217
91.552742 85.005 134.2586
91.918953 84.989 134.0969
92.285164 84.972 133.9389
92.651375 84.955 133.7858
93.017586 84.938 133.6366
93.383797 84.922 133.4899
93.750008 84.906 133.3448
94.116219 84.890 133.2012
94.482430 84.875 133.0596
94.848641 84.859 132.9200
95.214851 84.844 132.7814
95.581062 84.830 132.6423
95.947273 84.815 132.5017
96.313484 84.800 132.3595
96.679695 84.785 132.2169
97.045906 84.770 132.0750
97.412117 84.755 131.9344
97.778328 84.740 131.7939
98.144539 84.725 131.6521
98.510750 84.710 131.5081
98.876961 84.694 131.3628
99.243172 84.678 131.2184
99.609383 84.661 131.0776
99.975594 84.645 130.9415
100.341805 84.629 130.8091
100.708016 84.614 130.6775
101.074227 84.599 130.5436
101.440438 84.585 130.4056
101.806649 84.571 130.2637
102.172860 84.556 130.1202
102.539071 84.541 129.9781
102.905282 84.525 129.8397
103.271493 84.509 129.7059
103.637704 84.494 129.5759
104.003915 84.479 129.4482
104.370126 84.464 129.3209
104.736337 84.450 129.1927
105.102548 84.436 129.0629
105.468759 84.422 128.9319
105.834970 84.407 128.8003
106.201180 84.393 128.6692
106.567391 84.378 128.5399
106.933602 84.363 128.4130
107.299813 84.348 128.2884
107.666024 84.334 128.1651
108.032235 84.319 128.0419
108.398446 84.305 127.9180
108.764657 84.291 127.7934
109.130868 84.276 127.6690
109.497079 84.261 127.5461
109.863290 84.246 127.4249
110.229501 84.232 127.3050
110.595712 84.217 127.1850
110.961923 84.203 127.0640
111.328134 84.188 126.9422
111.694345 84.173 126.8206
112.060556 84.158 126.7006
112.426767 84.143 126.5829
112.792978 84.128 126.4673
113.159189 84.113 126.3524
113.525400 84.099 126.2368
113.891611 84.085 126.1201
114.257822 84.071 126.0027
114.624033 84.056 125.8853
114.990244 84.042 125.7686
115.356455 84.028 125.6525
115.722666 84.014 125.5368
116.088877 84.001 125.4213
116.455088 83.987 125.3065
116.821299 83.973 125.1932
117.187510 83.959 125.0819
117.553720 83.946 124.9726
117.919931 83.932 124.8642
118.286142 83.919 124.7555
118.652353 83.907 124.6455
119.018564 83.894 124.5337
119.384775 83.881 124.4203
119.750986 83.868 124.3060
120.117197 83.854 124.1917
120.483408 83.840 124.0784
120.849619 83.826 123.9667
121.215830 83.812 123.8574
121.582041 83.798 123.7501
121.948252 83.784 123.6441
122.314463 83.770 123.5381
122.680674 83.757 123.4311
123.046885 83.744 123.3224
123.413096 83.731 123.2124
123.779307 83.717 123.1027
124.145518 83.703 122.9949
124.511729 83.690 122.8902
124.877940 83.677 122.7886
125.244151 83.664 122.6891
125.610362 83.653 122.5902
125.976573 83.641 122.4905
126.342784 83.630 122.3897
126.708995 83.619 122.2879
127.075206 83.608 122.1861
127.441417 83.596 122.0850
127.807628 83.585 121.9850
128.173839 83.573 121.8861
128.540049 83.561 121.7881
128.906260 83.549 121.6911
129.272471 83.537 121.5949
129.638682 83.525 121.4994
130.004893 83.513 121.4042
130.371104 83.502 121.3092
130.737315 83.490 121.2140
131.103526 83.478 121.1188
131.469737 83.466 121.0237
131.835948 83.455 120.9285
132.202159 83.443 120.8331
132.568370 83.432 120.7366
132.934581 83.421 120.6389
133.300792 83.411 120.5396
133.667003 83.400 120.4392
134.033214 83.389 120.3381
134.399425 83.379 120.2367
134.765636 83.368 120.1353
135.131847 83.358 120.0337
135.498058 83.347 119.9319
135.864269 83.336 119.8303
136.230480 83.326 119.7289
136.596691 83.315 119.6285
136.962902 83.303 119.5295
137.329113 83.292 119.4327
137.695324 83.280 119.3390
138.061535 83.268 119.2488
138.427746 83.257 119.1621
138.793957 83.246 119.0781
139.160168 83.235 118.9954
139.526379 83.224 118.9123
139.892589 83.214 118.8277
140.258800 83.204 118.7412
140.625011 83.194 118.6535
140.991222 83.184 118.5656
141.357433 83.173 118.4785
141.723644 83.163 118.3924
142.089855 83.152 118.3069
142.456066 83.142 118.2209
142.822277 83.132 118.1337
143.188488 83.122 118.0444
143.554699 83.112 117.9534
143.920910 83.102 117.8614
144.287121 83.091 117.7693
144.653332 83.080 117.6781
145.019543 83.069 117.5882
145.385754 83.058 117.4996
145.751965 83.047 117.4124
146.118176 83.036 117.3266
146.484387 83.025 117.2425
146.850598 83.014 117.1605
147.216809 83.004 117.0808
147.583020 82.994 117.0030
147.949231 82.984 116.9261
148.315442 82.974 116.8488
148.681653 82.965 116.7699
149.047864 82.957 116.6888
149.414075 82.948 116.6057
149.780286 82.939 116.5211
150.146497 82.929 116.4362
150.512708 82.919 116.3516
150.878918 82.909 116.2679
