* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 5:49:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SA6 s. Off Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 58.810 -61.3280
0.732422 60.531 -105.3357
1.098633 60.459 -140.8030
1.464844 57.698 -176.7088
1.831055 50.426 115.2800
2.197266 56.174 4.1875
2.563477 62.280 -32.1228
2.929688 65.231 -55.3896
3.295899 66.500 -72.7927
3.662110 66.737 -84.3296
4.028321 66.585 -88.9987
4.394532 66.842 -88.3528
4.760743 67.799 -87.8854
5.126954 68.937 -90.9886
5.493164 69.764 -96.6216
5.859375 70.165 -102.5072
6.225586 70.278 -106.9340
6.591797 70.356 -109.4177
6.958008 70.601 -110.9037
7.324219 71.000 -112.8225
7.690430 71.396 -115.7264
8.056641 71.663 -119.1335
8.422852 71.791 -122.2544
8.789063 71.857 -124.6394
9.155274 71.948 -126.4204
9.521485 72.092 -128.0708
9.887696 72.252 -129.9226
10.253907 72.377 -131.9404
10.620118 72.453 -133.8886
10.986329 72.501 -135.6062
11.352540 72.546 -137.1284
11.718751 72.597 -138.5942
12.084962 72.643 -140.0833
12.451173 72.672 -141.5620
12.817384 72.689 -142.9660
13.183595 72.704 -144.2934
13.549806 72.724 -145.6084
13.916017 72.742 -146.9634
14.282228 72.748 -148.3370
14.648439 72.744 -149.6592
15.014650 72.738 -150.8878
15.380861 72.740 -152.0497
15.747072 72.751 -153.2098
16.113283 72.765 -154.4014
16.479493 72.774 -155.5989
16.845704 72.777 -156.7521
17.211915 72.780 -157.8389
17.578126 72.786 -158.8805
17.944337 72.795 -159.9107
18.310548 72.801 -160.9350
18.676759 72.801 -161.9277
19.042970 72.797 -162.8649
19.409181 72.793 -163.7493
19.775392 72.790 -164.6079
20.141603 72.787 -165.4633
20.507814 72.781 -166.3141
20.874025 72.770 -167.1448
21.240236 72.758 -167.9490
21.606447 72.745 -168.7384
21.972658 72.733 -169.5295
22.338869 72.718 -170.3238
22.705080 72.700 -171.1075
23.071291 72.682 -171.8684
23.437502 72.665 -172.6100
23.803713 72.651 -173.3491
24.169924 72.638 -174.0966
24.536135 72.623 -174.8453
24.902346 72.607 -175.5779
25.268557 72.592 -176.2831
25.634768 72.578 -176.9668
26.000979 72.568 -177.6439
26.367190 72.558 -178.3220
26.733401 72.546 -178.9951
27.099612 72.534 -179.6520
27.465823 72.520 179.7125
27.832033 72.508 179.0926
28.198244 72.496 178.4789
28.564455 72.483 177.8671
28.930666 72.469 177.2601
29.296877 72.454 176.6613
29.663088 72.437 176.0699
30.029299 72.421 175.4837
30.395510 72.403 174.9022
30.761721 72.385 174.3287
31.127932 72.366 173.7667
31.494143 72.348 173.2130
31.860354 72.332 172.6605
32.226565 72.316 172.1039
32.592776 72.299 171.5447
32.958987 72.281 170.9910
33.325198 72.263 170.4493
33.691409 72.244 169.9212
34.057620 72.227 169.4030
34.423831 72.209 168.8905
34.790042 72.192 168.3846
35.156253 72.173 167.8886
35.522464 72.155 167.4050
35.888675 72.137 166.9326
36.254886 72.119 166.4681
36.621097 72.101 166.0088
36.987308 72.083 165.5517
37.353519 72.065 165.0962
37.719730 72.046 164.6410
38.085941 72.027 164.1874
38.452152 72.005 163.7383
38.818363 71.983 163.2979
39.184573 71.962 162.8662
39.550784 71.940 162.4404
39.916995 71.920 162.0145
40.283206 71.900 161.5852
40.649417 71.879 161.1541
41.015628 71.858 160.7255
41.381839 71.836 160.3031
41.748050 71.815 159.8875
42.114261 71.794 159.4769
42.480472 71.773 159.0703
42.846683 71.753 158.6673
43.212894 71.732 158.2694
43.579105 71.712 157.8757
43.945316 71.693 157.4843
44.311527 71.673 157.0946
44.677738 71.653 156.7081
45.043949 71.632 156.3276
45.410160 71.611 155.9543
45.776371 71.591 155.5867
46.142582 71.571 155.2217
46.508793 71.551 154.8575
46.875004 71.530 154.4951
47.241215 71.510 154.1360
47.607426 71.489 153.7815
47.973637 71.469 153.4304
48.339848 71.448 153.0807
48.706059 71.428 152.7315
49.072270 71.407 152.3839
49.438481 71.386 152.0402
49.804692 71.365 151.7020
50.170902 71.343 151.3699
50.537113 71.322 151.0428
50.903324 71.301 150.7192
51.269535 71.281 150.3972
51.635746 71.260 150.0752
52.001957 71.239 149.7533
52.368168 71.218 149.4329
52.734379 71.196 149.1168
53.100590 71.173 148.8069
53.466801 71.150 148.5027
53.833012 71.128 148.2015
54.199223 71.106 147.9005
54.565434 71.084 147.5988
54.931645 71.061 147.2979
55.297856 71.038 147.0004
55.664067 71.015 146.7070
56.030278 70.992 146.4158
56.396489 70.969 146.1248
56.762700 70.946 145.8334
57.128911 70.922 145.5452
57.495122 70.897 145.2646
57.861333 70.872 144.9950
58.227544 70.848 144.7352
58.593755 70.825 144.4807
58.959966 70.804 144.2250
59.326177 70.784 143.9634
59.692388 70.763 143.6953
60.058599 70.742 143.4230
60.424810 70.720 143.1514
60.791021 70.697 142.8837
61.157232 70.673 142.6222
61.523442 70.650 142.3661
61.889653 70.627 142.1138
62.255864 70.605 141.8634
62.622075 70.582 141.6138
62.988286 70.560 141.3649
63.354497 70.538 141.1173
63.720708 70.515 140.8715
64.086919 70.493 140.6284
64.453130 70.471 140.3882
64.819341 70.449 140.1511
65.185552 70.428 139.9155
65.551763 70.407 139.6799
65.917974 70.386 139.4428
66.284185 70.365 139.2043
66.650396 70.344 138.9660
67.016607 70.323 138.7299
67.382818 70.301 138.4969
67.749029 70.280 138.2662
68.115240 70.259 138.0359
68.481451 70.237 137.8050
68.847662 70.216 137.5740
69.213873 70.193 137.3452
69.580084 70.170 137.1213
69.946295 70.148 136.9032
70.312506 70.125 136.6898
70.678717 70.104 136.4784
71.044928 70.082 136.2662
71.411139 70.062 136.0520
71.777350 70.041 135.8362
72.143561 70.020 135.6207
72.509771 69.998 135.4078
72.875982 69.977 135.1986
73.242193 69.956 134.9925
73.608404 69.936 134.7880
73.974615 69.915 134.5839
74.340826 69.896 134.3798
74.707037 69.876 134.1771
75.073248 69.856 133.9770
75.439459 69.836 133.7801
75.805670 69.816 133.5851
76.171881 69.797 133.3906
76.538092 69.778 133.1954
76.904303 69.758 133.0002
77.270514 69.738 132.8071
77.636725 69.718 132.6181
78.002936 69.697 132.4339
78.369147 69.677 132.2533
78.735358 69.658 132.0744
79.101569 69.638 131.8951
79.467780 69.618 131.7145
79.833991 69.599 131.5328
80.200202 69.579 131.3506
80.566413 69.559 131.1686
80.932624 69.538 130.9874
81.298835 69.517 130.8079
81.665046 69.497 130.6305
82.031257 69.476 130.4554
82.397468 69.455 130.2826
82.763679 69.435 130.1104
83.129890 69.415 129.9372
83.496101 69.395 129.7623
83.862311 69.375 129.5862
84.228522 69.355 129.4109
84.594733 69.334 129.2387
84.960944 69.314 129.0707
85.327155 69.294 128.9061
85.693366 69.275 128.7430
86.059577 69.256 128.5793
86.425788 69.237 128.4141
86.791999 69.219 128.2481
87.158210 69.201 128.0825
87.524421 69.182 127.9181
87.890632 69.163 127.7549
88.256843 69.145 127.5926
88.623054 69.126 127.4311
88.989265 69.108 127.2713
89.355476 69.089 127.1146
89.721687 69.070 126.9617
90.087898 69.051 126.8121
90.454109 69.033 126.6643
90.820320 69.015 126.5164
91.186531 68.997 126.3672
91.552742 68.979 126.2166
91.918953 68.961 126.0651
92.285164 68.943 125.9142
92.651375 68.924 125.7648
93.017586 68.905 125.6176
93.383797 68.886 125.4730
93.750008 68.867 125.3311
94.116219 68.848 125.1910
94.482430 68.830 125.0519
94.848641 68.811 124.9128
95.214851 68.793 124.7728
95.581062 68.775 124.6322
95.947273 68.756 124.4919
96.313484 68.737 124.3530
96.679695 68.719 124.2164
97.045906 68.700 124.0820
97.412117 68.682 123.9486
97.778328 68.664 123.8151
98.144539 68.647 123.6805
98.510750 68.629 123.5449
98.876961 68.611 123.4093
99.243172 68.594 123.2751
99.609383 68.576 123.1431
99.975594 68.559 123.0126
100.341805 68.542 122.8826
100.708016 68.525 122.7516
101.074227 68.509 122.6191
101.440438 68.493 122.4857
101.806649 68.476 122.3523
102.172860 68.460 122.2196
102.539071 68.443 122.0881
102.905282 68.427 121.9577
103.271493 68.411 121.8286
103.637704 68.394 121.7008
104.003915 68.378 121.5745
104.370126 68.362 121.4498
104.736337 68.346 121.3260
105.102548 68.330 121.2028
105.468759 68.315 121.0797
105.834970 68.299 120.9568
106.201180 68.283 120.8345
106.567391 68.267 120.7129
106.933602 68.251 120.5919
107.299813 68.235 120.4712
107.666024 68.219 120.3506
108.032235 68.203 120.2303
108.398446 68.187 120.1108
108.764657 68.170 119.9921
109.130868 68.154 119.8738
109.497079 68.138 119.7551
109.863290 68.122 119.6353
110.229501 68.106 119.5141
110.595712 68.090 119.3922
110.961923 68.073 119.2711
111.328134 68.056 119.1523
111.694345 68.040 119.0370
112.060556 68.023 118.9254
112.426767 68.008 118.8161
112.792978 67.993 118.7075
113.159189 67.979 118.5970
113.525400 67.965 118.4834
113.891611 67.951 118.3663
114.257822 67.937 118.2469
114.624033 67.922 118.1277
114.990244 67.907 118.0111
115.356455 67.892 117.8988
115.722666 67.877 117.7909
116.088877 67.862 117.6865
116.455088 67.847 117.5840
116.821299 67.833 117.4819
117.187510 67.819 117.3794
117.553720 67.805 117.2762
117.919931 67.791 117.1729
118.286142 67.776 117.0699
118.652353 67.762 116.9683
119.018564 67.747 116.8686
119.384775 67.732 116.7709
119.750986 67.718 116.6750
120.117197 67.703 116.5803
120.483408 67.689 116.4860
120.849619 67.675 116.3914
121.215830 67.661 116.2962
121.582041 67.647 116.2007
121.948252 67.633 116.1050
122.314463 67.619 116.0096
122.680674 67.605 115.9147
123.046885 67.591 115.8204
123.413096 67.577 115.7271
123.779307 67.563 115.6347
124.145518 67.550 115.5430
124.511729 67.536 115.4517
124.877940 67.523 115.3603
125.244151 67.510 115.2682
125.610362 67.497 115.1752
125.976573 67.484 115.0811
126.342784 67.471 114.9861
126.708995 67.458 114.8904
127.075206 67.444 114.7943
127.441417 67.431 114.6982
127.807628 67.418 114.6023
128.173839 67.404 114.5070
128.540049 67.391 114.4126
128.906260 67.378 114.3189
129.272471 67.365 114.2256
129.638682 67.352 114.1321
130.004893 67.340 114.0380
130.371104 67.327 113.9427
130.737315 67.315 113.8464
131.103526 67.303 113.7493
131.469737 67.290 113.6522
131.835948 67.278 113.5557
132.202159 67.265 113.4606
132.568370 67.253 113.3672
132.934581 67.240 113.2758
133.300792 67.228 113.1858
133.667003 67.216 113.0967
134.033214 67.205 113.0081
134.399425 67.193 112.9196
134.765636 67.181 112.8313
135.131847 67.170 112.7436
135.498058 67.158 112.6569
135.864269 67.147 112.5716
136.230480 67.135 112.4877
136.596691 67.123 112.4047
136.962902 67.112 112.3225
137.329113 67.100 112.2405
137.695324 67.089 112.1586
138.061535 67.077 112.0771
138.427746 67.065 111.9965
138.793957 67.053 111.9171
139.160168 67.041 111.8392
139.526379 67.030 111.7625
139.892589 67.018 111.6870
140.258800 67.006 111.6121
140.625011 66.995 111.5370
140.991222 66.984 111.4615
141.357433 66.973 111.3850
141.723644 66.963 111.3073
142.089855 66.952 111.2282
142.456066 66.941 111.1481
142.822277 66.931 111.0672
143.188488 66.920 110.9862
143.554699 66.909 110.9056
143.920910 66.898 110.8258
144.287121 66.887 110.7471
144.653332 66.876 110.6696
145.019543 66.865 110.5933
145.385754 66.854 110.5178
145.751965 66.843 110.4430
146.118176 66.833 110.3685
146.484387 66.822 110.2942
146.850598 66.812 110.2200
147.216809 66.801 110.1459
147.583020 66.791 110.0721
147.949231 66.780 109.9987
148.315442 66.769 109.9257
148.681653 66.758 109.8531
149.047864 66.748 109.7809
149.414075 66.737 109.7086
149.780286 66.726 109.6363
150.146497 66.716 109.5637
150.512708 66.705 109.4908
150.878918 66.694 109.4176
