* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 5:49:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SA6 s. Off Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.048 -34.6334
0.732422 69.926 -69.1147
1.098633 67.738 -103.5564
1.464844 63.643 -139.3164
1.831055 54.081 167.8624
2.197266 57.290 13.5997
2.563477 64.570 -25.9333
2.929688 67.703 -53.1472
3.295899 69.015 -75.2049
3.662110 69.170 -91.7819
4.028321 68.671 -101.0494
4.394532 68.351 -102.2925
4.760743 68.984 -100.5405
5.126954 70.197 -102.3658
5.493164 71.197 -108.0763
5.859375 71.674 -114.8914
6.225586 71.698 -120.3040
6.591797 71.553 -123.0094
6.958008 71.574 -123.6129
7.324219 71.865 -124.2042
7.690430 72.236 -126.1907
8.056641 72.465 -129.2736
8.422852 72.488 -132.3435
8.789063 72.390 -134.5408
9.155274 72.313 -135.8148
9.521485 72.335 -136.8214
9.887696 72.422 -138.2092
10.253907 72.493 -140.0693
10.620118 72.508 -142.0637
10.986329 72.485 -143.8672
11.352540 72.467 -145.4320
11.718751 72.471 -146.9157
12.084962 72.484 -148.4338
12.451173 72.489 -149.9341
12.817384 72.488 -151.2974
13.183595 72.498 -152.5011
13.549806 72.527 -153.6490
13.916017 72.565 -154.8459
14.282228 72.591 -156.0804
14.648439 72.596 -157.2414
15.014650 72.593 -158.2463
15.380861 72.597 -159.1301
15.747072 72.611 -160.0041
16.113283 72.622 -160.9410
16.479493 72.617 -161.9083
16.845704 72.595 -162.8193
17.211915 72.569 -163.6296
17.578126 72.549 -164.3818
17.944337 72.538 -165.1577
18.310548 72.528 -165.9984
18.676759 72.511 -166.8778
19.042970 72.489 -167.7465
19.409181 72.467 -168.5864
19.775392 72.450 -169.4175
20.141603 72.435 -170.2603
20.507814 72.419 -171.1031
20.874025 72.402 -171.9124
21.240236 72.389 -172.6710
21.606447 72.382 -173.3970
21.972658 72.381 -174.1223
22.338869 72.381 -174.8556
22.705080 72.377 -175.5738
23.071291 72.371 -176.2480
23.437502 72.366 -176.8738
23.803713 72.365 -177.4768
24.169924 72.365 -178.0839
24.536135 72.363 -178.6999
24.902346 72.356 -179.3096
25.268557 72.347 -179.9006
25.634768 72.337 179.5202
26.000979 72.328 178.9352
26.367190 72.315 178.3381
26.733401 72.299 177.7417
27.099612 72.281 177.1648
27.465823 72.265 176.6111
27.832033 72.253 176.0608
28.198244 72.245 175.4881
28.564455 72.238 174.8824
28.930666 72.228 174.2562
29.296877 72.214 173.6350
29.663088 72.196 173.0410
30.029299 72.179 172.4833
30.395510 72.164 171.9588
30.761721 72.152 171.4570
31.127932 72.145 170.9632
31.494143 72.140 170.4620
31.860354 72.134 169.9455
32.226565 72.124 169.4196
32.592776 72.109 168.9041
32.958987 72.089 168.4208
33.325198 72.067 167.9797
33.691409 72.046 167.5717
34.057620 72.028 167.1774
34.423831 72.013 166.7800
34.790042 71.997 166.3734
35.156253 71.981 165.9585
35.522464 71.965 165.5376
35.888675 71.948 165.1082
36.254886 71.929 164.6685
36.621097 71.909 164.2222
36.987308 71.887 163.7775
37.353519 71.863 163.3422
37.719730 71.840 162.9185
38.085941 71.818 162.5031
38.452152 71.796 162.0920
38.818363 71.776 161.6836
39.184573 71.757 161.2764
39.550784 71.740 160.8681
39.916995 71.723 160.4556
40.283206 71.705 160.0391
40.649417 71.687 159.6243
41.015628 71.667 159.2198
41.381839 71.647 158.8308
41.748050 71.628 158.4550
42.114261 71.611 158.0852
42.480472 71.595 157.7146
42.846683 71.579 157.3415
43.212894 71.563 156.9686
43.579105 71.546 156.5991
43.945316 71.530 156.2339
44.311527 71.514 155.8711
44.677738 71.498 155.5088
45.043949 71.481 155.1459
45.410160 71.465 154.7830
45.776371 71.447 154.4218
46.142582 71.429 154.0645
46.508793 71.410 153.7142
46.875004 71.390 153.3728
47.241215 71.371 153.0400
47.607426 71.353 152.7119
47.973637 71.336 152.3834
48.339848 71.318 152.0520
48.706059 71.300 151.7184
49.072270 71.280 151.3870
49.438481 71.260 151.0615
49.804692 71.240 150.7431
50.170902 71.220 150.4307
50.537113 71.201 150.1219
50.903324 71.181 149.8154
51.269535 71.162 149.5098
51.635746 71.144 149.2040
52.001957 71.125 148.8975
52.368168 71.105 148.5910
52.734379 71.085 148.2868
53.100590 71.065 147.9873
53.466801 71.044 147.6932
53.833012 71.023 147.4033
54.199223 71.002 147.1153
54.565434 70.981 146.8287
54.931645 70.959 146.5452
55.297856 70.936 146.2667
55.664067 70.914 145.9937
56.030278 70.891 145.7252
56.396489 70.868 145.4592
56.762700 70.845 145.1947
57.128911 70.822 144.9320
57.495122 70.799 144.6715
57.861333 70.776 144.4126
58.227544 70.754 144.1542
58.593755 70.731 143.8954
58.959966 70.709 143.6367
59.326177 70.686 143.3794
59.692388 70.664 143.1247
60.058599 70.643 142.8726
60.424810 70.621 142.6218
60.791021 70.601 142.3707
61.157232 70.581 142.1180
61.523442 70.561 141.8643
61.889653 70.541 141.6103
62.255864 70.520 141.3584
62.622075 70.499 141.1108
62.988286 70.477 140.8692
63.354497 70.456 140.6335
63.720708 70.435 140.4023
64.086919 70.414 140.1737
64.453130 70.394 139.9471
64.819341 70.373 139.7230
65.185552 70.352 139.5018
65.551763 70.331 139.2828
65.917974 70.310 139.0643
66.284185 70.290 138.8447
66.650396 70.269 138.6235
67.016607 70.248 138.4017
67.382818 70.227 138.1803
67.749029 70.207 137.9594
68.115240 70.186 137.7379
68.481451 70.166 137.5147
68.847662 70.146 137.2894
69.213873 70.127 137.0625
69.580084 70.107 136.8355
69.946295 70.087 136.6093
70.312506 70.067 136.3838
70.678717 70.048 136.1592
71.044928 70.029 135.9359
71.411139 70.010 135.7142
71.777350 69.991 135.4949
72.143561 69.972 135.2782
72.509771 69.953 135.0646
72.875982 69.934 134.8541
73.242193 69.915 134.6472
73.608404 69.896 134.4437
73.974615 69.878 134.2427
74.340826 69.859 134.0433
74.707037 69.841 133.8448
75.073248 69.822 133.6467
75.439459 69.803 133.4503
75.805670 69.783 133.2567
76.171881 69.763 133.0671
76.538092 69.743 132.8816
76.904303 69.723 132.6992
77.270514 69.703 132.5186
77.636725 69.683 132.3391
78.002936 69.663 132.1603
78.369147 69.643 131.9830
78.735358 69.622 131.8076
79.101569 69.602 131.6339
79.467780 69.582 131.4608
79.833991 69.563 131.2870
80.200202 69.543 131.1118
80.566413 69.523 130.9358
80.932624 69.503 130.7607
81.298835 69.483 130.5880
81.665046 69.463 130.4179
82.031257 69.444 130.2494
82.397468 69.425 130.0806
82.763679 69.405 129.9108
83.129890 69.386 129.7407
83.496101 69.367 129.5724
83.862311 69.347 129.4075
84.228522 69.327 129.2469
84.594733 69.308 129.0898
84.960944 69.289 128.9342
85.327155 69.270 128.7784
85.693366 69.251 128.6215
86.059577 69.233 128.4640
86.425788 69.213 128.3072
86.791999 69.194 128.1526
87.158210 69.174 128.0005
87.524421 69.154 127.8505
87.890632 69.135 127.7011
88.256843 69.115 127.5513
88.623054 69.096 127.4008
88.989265 69.077 127.2499
89.355476 69.057 127.0995
89.721687 69.038 126.9502
90.087898 69.019 126.8013
90.454109 69.000 126.6517
90.820320 68.982 126.5005
91.186531 68.964 126.3472
91.552742 68.946 126.1920
91.918953 68.928 126.0355
92.285164 68.910 125.8788
92.651375 68.893 125.7228
93.017586 68.875 125.5682
93.383797 68.858 125.4152
93.750008 68.841 125.2635
94.116219 68.824 125.1129
94.482430 68.808 124.9632
94.848641 68.792 124.8147
95.214851 68.775 124.6678
95.581062 68.759 124.5235
95.947273 68.742 124.3820
96.313484 68.726 124.2437
96.679695 68.710 124.1081
97.045906 68.694 123.9742
97.412117 68.678 123.8412
97.778328 68.663 123.7082
98.144539 68.647 123.5749
98.510750 68.631 123.4415
98.876961 68.615 123.3084
99.243172 68.599 123.1763
99.609383 68.582 123.0452
99.975594 68.566 122.9148
100.341805 68.550 122.7844
100.708016 68.534 122.6536
101.074227 68.518 122.5220
101.440438 68.502 122.3900
101.806649 68.486 122.2579
102.172860 68.471 122.1265
102.539071 68.455 121.9960
102.905282 68.439 121.8661
103.271493 68.424 121.7371
103.637704 68.408 121.6088
104.003915 68.393 121.4814
104.370126 68.378 121.3555
104.736337 68.363 121.2311
105.102548 68.348 121.1080
105.468759 68.334 120.9858
105.834970 68.320 120.8641
106.201180 68.306 120.7426
106.567391 68.291 120.6214
106.933602 68.277 120.5009
107.299813 68.263 120.3810
107.666024 68.249 120.2619
108.032235 68.234 120.1435
108.398446 68.219 120.0259
108.764657 68.205 119.9095
109.130868 68.190 119.7946
109.497079 68.175 119.6813
109.863290 68.160 119.5689
110.229501 68.146 119.4565
110.595712 68.131 119.3433
110.961923 68.117 119.2288
111.328134 68.102 119.1133
111.694345 68.088 118.9974
112.060556 68.073 118.8820
112.426767 68.058 118.7673
112.792978 68.043 118.6532
113.159189 68.029 118.5395
113.525400 68.014 118.4255
113.891611 68.000 118.3110
114.257822 67.985 118.1963
114.624033 67.971 118.0817
114.990244 67.956 117.9678
115.356455 67.942 117.8553
115.722666 67.927 117.7445
116.088877 67.913 117.6351
116.455088 67.898 117.5271
116.821299 67.884 117.4199
117.187510 67.869 117.3134
117.553720 67.855 117.2073
117.919931 67.841 117.1020
118.286142 67.826 116.9976
118.652353 67.811 116.8947
119.018564 67.797 116.7936
119.384775 67.782 116.6948
119.750986 67.768 116.5979
120.117197 67.753 116.5023
120.483408 67.740 116.4067
120.849619 67.726 116.3100
121.215830 67.713 116.2114
121.582041 67.699 116.1110
121.948252 67.685 116.0095
122.314463 67.671 115.9081
122.680674 67.657 115.8076
123.046885 67.643 115.7085
123.413096 67.629 115.6108
123.779307 67.614 115.5143
124.145518 67.600 115.4188
124.511729 67.586 115.3244
124.877940 67.572 115.2313
125.244151 67.557 115.1396
125.610362 67.543 115.0493
125.976573 67.529 114.9599
126.342784 67.515 114.8710
126.708995 67.501 114.7820
127.075206 67.488 114.6931
127.441417 67.474 114.6038
127.807628 67.460 114.5144
128.173839 67.447 114.4249
128.540049 67.433 114.3352
128.906260 67.419 114.2452
129.272471 67.406 114.1550
129.638682 67.392 114.0644
130.004893 67.378 113.9736
130.371104 67.365 113.8829
130.737315 67.351 113.7926
131.103526 67.338 113.7029
131.469737 67.324 113.6140
131.835948 67.311 113.5253
132.202159 67.298 113.4365
132.568370 67.285 113.3472
132.934581 67.272 113.2576
133.300792 67.259 113.1677
133.667003 67.246 113.0785
134.033214 67.233 112.9906
134.399425 67.220 112.9042
134.765636 67.207 112.8193
135.131847 67.194 112.7354
135.498058 67.181 112.6517
135.864269 67.169 112.5678
136.230480 67.156 112.4834
136.596691 67.144 112.3986
136.962902 67.131 112.3138
137.329113 67.119 112.2293
137.695324 67.106 112.1458
138.061535 67.093 112.0634
138.427746 67.080 111.9822
138.793957 67.068 111.9020
139.160168 67.056 111.8226
139.526379 67.044 111.7433
139.892589 67.032 111.6640
140.258800 67.020 111.5842
140.625011 67.009 111.5038
140.991222 66.998 111.4229
141.357433 66.987 111.3417
141.723644 66.976 111.2602
142.089855 66.965 111.1790
142.456066 66.955 111.0984
142.822277 66.944 111.0184
143.188488 66.933 110.9390
143.554699 66.923 110.8599
143.920910 66.913 110.7809
144.287121 66.903 110.7017
144.653332 66.893 110.6223
145.019543 66.883 110.5427
145.385754 66.873 110.4630
145.751965 66.863 110.3834
146.118176 66.853 110.3042
146.484387 66.842 110.2254
146.850598 66.832 110.1472
147.216809 66.822 110.0695
147.583020 66.812 109.9924
147.949231 66.802 109.9158
148.315442 66.791 109.8394
148.681653 66.782 109.7630
149.047864 66.772 109.6863
149.414075 66.762 109.6093
149.780286 66.752 109.5319
150.146497 66.742 109.4543
150.512708 66.733 109.3770
150.878918 66.723 109.3002
151.245129 66.713 109.2239
