* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 5:50:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SA6 s. On Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.339 -49.6572
0.732422 67.951 -92.2735
1.098633 67.601 -128.9290
1.464844 65.474 -163.8979
1.831055 60.103 151.7089
2.197266 56.575 38.2974
2.563477 64.361 -22.5990
2.929688 68.173 -50.9466
3.295899 69.824 -71.2336
3.662110 70.195 -85.3892
4.028321 69.927 -92.4572
4.394532 69.865 -92.8351
4.760743 70.585 -91.6824
5.126954 71.685 -94.0413
5.493164 72.539 -99.7274
5.859375 72.923 -106.3206
6.225586 72.921 -111.6919
6.591797 72.792 -114.8125
6.958008 72.810 -116.2633
7.324219 73.050 -117.7253
7.690430 73.361 -120.2856
8.056641 73.564 -123.6931
8.422852 73.607 -127.0437
8.789063 73.555 -129.6362
9.155274 73.519 -131.4206
9.521485 73.558 -132.8962
9.887696 73.646 -134.5610
10.253907 73.720 -136.4966
10.620118 73.747 -138.4564
10.986329 73.742 -140.2028
11.352540 73.736 -141.7123
11.718751 73.743 -143.1246
12.084962 73.754 -144.5487
12.451173 73.756 -145.9658
12.817384 73.750 -147.3030
13.183595 73.748 -148.5531
13.549806 73.758 -149.7932
13.916017 73.769 -151.0920
14.282228 73.770 -152.4252
14.648439 73.758 -153.6996
15.014650 73.746 -154.8535
15.380861 73.746 -155.9214
15.747072 73.762 -156.9994
16.113283 73.783 -158.1459
16.479493 73.795 -159.3282
16.845704 73.796 -160.4631
17.211915 73.794 -161.4980
17.578126 73.800 -162.4518
17.944337 73.814 -163.3831
18.310548 73.831 -164.3304
18.676759 73.844 -165.2844
19.042970 73.852 -166.2142
19.409181 73.857 -167.1036
19.775392 73.862 -167.9620
20.141603 73.866 -168.8053
20.507814 73.867 -169.6327
20.874025 73.866 -170.4351
21.240236 73.866 -171.2141
21.606447 73.867 -171.9882
21.972658 73.868 -172.7761
22.338869 73.866 -173.5753
22.705080 73.859 -174.3636
23.071291 73.850 -175.1215
23.437502 73.843 -175.8521
23.803713 73.840 -176.5789
24.169924 73.838 -177.3208
24.536135 73.834 -178.0728
24.902346 73.827 -178.8126
25.268557 73.818 -179.5217
25.634768 73.811 179.7979
26.000979 73.807 179.1294
26.367190 73.804 178.4586
26.733401 73.801 177.7864
27.099612 73.795 177.1223
27.465823 73.788 176.4743
27.832033 73.780 175.8416
28.198244 73.771 175.2200
28.564455 73.761 174.6085
28.930666 73.751 174.0089
29.296877 73.740 173.4196
29.663088 73.729 172.8355
30.029299 73.718 172.2505
30.395510 73.705 171.6652
30.761721 73.691 171.0881
31.127932 73.675 170.5262
31.494143 73.660 169.9777
31.860354 73.647 169.4323
32.226565 73.634 168.8812
32.592776 73.621 168.3253
32.958987 73.606 167.7742
33.325198 73.589 167.2363
33.691409 73.574 166.7122
34.057620 73.559 166.1958
34.423831 73.545 165.6807
34.790042 73.531 165.1668
35.156253 73.515 164.6584
35.522464 73.499 164.1602
35.888675 73.483 163.6721
36.254886 73.466 163.1923
36.621097 73.450 162.7182
36.987308 73.433 162.2491
37.353519 73.416 161.7850
37.719730 73.399 161.3237
38.085941 73.382 160.8642
38.452152 73.363 160.4084
38.818363 73.343 159.9596
39.184573 73.324 159.5198
39.550784 73.304 159.0866
39.916995 73.286 158.6545
40.283206 73.267 158.2203
40.649417 73.248 157.7852
41.015628 73.228 157.3546
41.381839 73.207 156.9326
41.748050 73.186 156.5190
42.114261 73.166 156.1094
42.480472 73.146 155.7010
42.846683 73.125 155.2949
43.212894 73.104 154.8942
43.579105 73.083 154.5022
43.945316 73.062 154.1174
44.311527 73.041 153.7369
44.677738 73.021 153.3572
45.043949 73.000 152.9780
45.410160 72.979 152.6009
45.776371 72.957 152.2278
46.142582 72.935 151.8598
46.508793 72.913 151.4979
46.875004 72.890 151.1413
47.241215 72.868 150.7887
47.607426 72.846 150.4383
47.973637 72.824 150.0883
48.339848 72.802 149.7389
48.706059 72.780 149.3918
49.072270 72.757 149.0493
49.438481 72.734 148.7127
49.804692 72.711 148.3807
50.170902 72.688 148.0516
50.537113 72.666 147.7237
50.903324 72.643 147.3973
51.269535 72.620 147.0732
51.635746 72.597 146.7523
52.001957 72.574 146.4343
52.368168 72.551 146.1194
52.734379 72.528 145.8076
53.100590 72.504 145.4993
53.466801 72.481 145.1945
53.833012 72.458 144.8929
54.199223 72.435 144.5938
54.565434 72.411 144.2969
54.931645 72.388 144.0029
55.297856 72.365 143.7116
55.664067 72.343 143.4225
56.030278 72.320 143.1345
56.396489 72.297 142.8484
56.762700 72.275 142.5648
57.128911 72.252 142.2843
57.495122 72.230 142.0059
57.861333 72.208 141.7274
58.227544 72.186 141.4470
58.593755 72.163 141.1658
58.959966 72.139 140.8871
59.326177 72.115 140.6150
59.692388 72.090 140.3517
60.058599 72.066 140.0963
60.424810 72.043 139.8448
60.791021 72.020 139.5936
61.157232 71.998 139.3402
61.523442 71.976 139.0843
61.889653 71.954 138.8267
62.255864 71.931 138.5696
62.622075 71.907 138.3151
62.988286 71.883 138.0648
63.354497 71.860 137.8193
63.720708 71.836 137.5775
64.086919 71.813 137.3375
64.453130 71.790 137.0982
64.819341 71.768 136.8594
65.185552 71.745 136.6221
65.551763 71.722 136.3876
65.917974 71.699 136.1564
66.284185 71.676 135.9272
66.650396 71.653 135.6992
67.016607 71.631 135.4719
67.382818 71.608 135.2458
67.749029 71.585 135.0220
68.115240 71.562 134.8014
68.481451 71.539 134.5836
68.847662 71.516 134.3674
69.213873 71.494 134.1514
69.580084 71.471 133.9345
69.946295 71.449 133.7167
70.312506 71.426 133.4991
70.678717 71.403 133.2830
71.044928 71.380 133.0696
71.411139 71.356 132.8592
71.777350 71.333 132.6512
72.143561 71.310 132.4452
72.509771 71.287 132.2407
72.875982 71.265 132.0380
73.242193 71.242 131.8373
73.608404 71.220 131.6384
73.974615 71.198 131.4403
74.340826 71.176 131.2427
74.707037 71.154 131.0460
75.073248 71.132 130.8509
75.439459 71.110 130.6584
75.805670 71.088 130.4685
76.171881 71.067 130.2795
76.538092 71.046 130.0900
76.904303 71.024 129.8989
77.270514 71.003 129.7068
77.636725 70.981 129.5156
78.002936 70.959 129.3263
78.369147 70.937 129.1397
78.735358 70.914 128.9555
79.101569 70.892 128.7736
79.467780 70.869 128.5942
79.833991 70.847 128.4182
80.200202 70.825 128.2454
80.566413 70.803 128.0747
80.932624 70.782 127.9037
81.298835 70.761 127.7302
81.665046 70.741 127.5536
82.031257 70.719 127.3757
82.397468 70.698 127.1995
82.763679 70.675 127.0281
83.129890 70.653 126.8624
83.496101 70.631 126.7015
83.862311 70.610 126.5425
84.228522 70.589 126.3831
84.594733 70.569 126.2226
84.960944 70.548 126.0615
85.327155 70.528 125.9009
85.693366 70.507 125.7414
86.059577 70.487 125.5823
86.425788 70.467 125.4222
86.791999 70.447 125.2603
87.158210 70.427 125.0966
87.524421 70.407 124.9322
87.890632 70.386 124.7692
88.256843 70.365 124.6091
88.623054 70.343 124.4526
88.989265 70.322 124.2995
89.355476 70.302 124.1483
89.721687 70.282 123.9970
90.087898 70.261 123.8447
90.454109 70.241 123.6914
90.820320 70.221 123.5385
91.186531 70.200 123.3878
91.552742 70.179 123.2406
91.918953 70.158 123.0969
92.285164 70.138 122.9559
92.651375 70.118 122.8163
93.017586 70.098 122.6773
93.383797 70.079 122.5383
93.750008 70.059 122.3991
94.116219 70.040 122.2595
94.482430 70.021 122.1196
94.848641 70.002 121.9798
95.214851 69.983 121.8405
95.581062 69.964 121.7018
95.947273 69.945 121.5636
96.313484 69.926 121.4254
96.679695 69.907 121.2866
97.045906 69.889 121.1472
97.412117 69.870 121.0082
97.778328 69.851 120.8705
98.144539 69.832 120.7350
98.510750 69.813 120.6017
98.876961 69.794 120.4702
99.243172 69.776 120.3394
99.609383 69.757 120.2089
99.975594 69.739 120.0792
100.341805 69.721 119.9504
100.708016 69.703 119.8226
101.074227 69.685 119.6957
101.440438 69.667 119.5689
101.806649 69.649 119.4416
102.172860 69.631 119.3137
102.539071 69.614 119.1855
102.905282 69.596 119.0579
103.271493 69.578 118.9314
103.637704 69.560 118.8063
104.003915 69.542 118.6821
104.370126 69.524 118.5588
104.736337 69.506 118.4365
105.102548 69.488 118.3151
105.468759 69.470 118.1948
105.834970 69.453 118.0754
106.201180 69.436 117.9567
106.567391 69.418 117.8382
106.933602 69.401 117.7195
107.299813 69.384 117.6007
107.666024 69.367 117.4824
108.032235 69.350 117.3651
108.398446 69.333 117.2495
108.764657 69.316 117.1356
109.130868 69.299 117.0228
109.497079 69.283 116.9103
109.863290 69.267 116.7975
110.229501 69.250 116.6838
110.595712 69.234 116.5698
110.961923 69.218 116.4562
111.328134 69.201 116.3435
111.694345 69.185 116.2322
112.060556 69.168 116.1219
112.426767 69.152 116.0118
112.792978 69.136 115.9015
113.159189 69.120 115.7904
113.525400 69.104 115.6789
113.891611 69.088 115.5676
114.257822 69.071 115.4576
114.624033 69.054 115.3495
114.990244 69.038 115.2437
115.356455 69.021 115.1398
115.722666 69.005 115.0370
116.088877 68.989 114.9349
116.455088 68.973 114.8330
116.821299 68.957 114.7312
117.187510 68.942 114.6298
117.553720 68.926 114.5289
117.919931 68.910 114.4286
118.286142 68.895 114.3289
118.652353 68.879 114.2294
119.018564 68.864 114.1296
119.384775 68.849 114.0296
119.750986 68.834 113.9291
120.117197 68.819 113.8281
120.483408 68.803 113.7269
120.849619 68.788 113.6260
121.215830 68.772 113.5258
121.582041 68.757 113.4269
121.948252 68.741 113.3290
122.314463 68.726 113.2320
122.680674 68.711 113.1351
123.046885 68.696 113.0380
123.413096 68.681 112.9404
123.779307 68.666 112.8429
124.145518 68.651 112.7457
124.511729 68.636 112.6494
124.877940 68.621 112.5535
125.244151 68.606 112.4584
125.610362 68.591 112.3637
125.976573 68.576 112.2698
126.342784 68.562 112.1771
126.708995 68.547 112.0856
127.075206 68.533 111.9952
127.441417 68.519 111.9052
127.807628 68.505 111.8151
128.173839 68.491 111.7245
128.540049 68.477 111.6337
128.906260 68.463 111.5430
129.272471 68.449 111.4526
129.638682 68.435 111.3625
130.004893 68.421 111.2727
130.371104 68.407 111.1826
130.737315 68.393 111.0922
131.103526 68.379 111.0021
131.469737 68.365 110.9128
131.835948 68.350 110.8249
132.202159 68.336 110.7386
132.568370 68.321 110.6537
132.934581 68.307 110.5698
133.300792 68.293 110.4862
133.667003 68.279 110.4027
134.033214 68.265 110.3193
134.399425 68.251 110.2360
134.765636 68.238 110.1530
135.131847 68.224 110.0699
135.498058 68.211 109.9868
135.864269 68.197 109.9036
136.230480 68.184 109.8201
136.596691 68.171 109.7368
136.962902 68.157 109.6537
137.329113 68.144 109.5708
137.695324 68.131 109.4882
138.061535 68.117 109.4058
138.427746 68.104 109.3237
138.793957 68.091 109.2421
139.160168 68.078 109.1613
139.526379 68.064 109.0815
139.892589 68.051 109.0027
140.258800 68.038 108.9247
140.625011 68.026 108.8471
140.991222 68.013 108.7692
141.357433 68.001 108.6906
141.723644 67.988 108.6110
142.089855 67.976 108.5305
142.456066 67.964 108.4493
142.822277 67.951 108.3682
143.188488 67.939 108.2878
143.554699 67.926 108.2086
143.920910 67.913 108.1309
144.287121 67.900 108.0543
144.653332 67.888 107.9786
145.019543 67.876 107.9034
145.385754 67.863 107.8285
145.751965 67.851 107.7538
146.118176 67.839 107.6797
146.484387 67.827 107.6063
146.850598 67.814 107.5335
147.216809 67.802 107.4613
147.583020 67.790 107.3894
147.949231 67.778 107.3176
148.315442 67.767 107.2457
148.681653 67.755 107.1740
149.047864 67.743 107.1024
149.414075 67.731 107.0312
149.780286 67.719 106.9604
150.146497 67.707 106.8896
150.512708 67.696 106.8188
150.878918 67.684 106.7475
151.245129 67.672 106.6758
