* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 5:50:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SA6 s. On Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 73.317 -36.3569
0.732422 72.489 -72.1224
1.098633 70.812 -107.0850
1.464844 67.660 -142.0173
1.831055 61.067 176.7536
2.197266 54.751 34.8176
2.563477 64.952 -24.7725
2.929688 68.957 -53.4690
3.295899 70.656 -75.7645
3.662110 71.012 -92.5615
4.028321 70.582 -102.3113
4.394532 70.180 -103.9900
4.760743 70.664 -101.8883
5.126954 71.808 -102.9567
5.493164 72.804 -108.2244
5.859375 73.282 -115.0397
6.225586 73.274 -120.7904
6.591797 73.038 -123.9270
6.958008 72.920 -124.6866
7.324219 73.088 -125.0316
7.690430 73.390 -126.6543
8.056641 73.590 -129.5433
8.422852 73.593 -132.6592
8.789063 73.459 -135.0549
9.155274 73.326 -136.5201
9.521485 73.285 -137.5944
9.887696 73.321 -138.9407
10.253907 73.360 -140.7391
10.620118 73.356 -142.7111
10.986329 73.319 -144.5292
11.352540 73.287 -146.1079
11.718751 73.280 -147.5753
12.084962 73.290 -149.0501
12.451173 73.301 -150.5063
12.817384 73.313 -151.8508
13.183595 73.336 -153.0679
13.549806 73.376 -154.2486
13.916017 73.420 -155.4736
14.282228 73.448 -156.7092
14.648439 73.456 -157.8349
15.014650 73.458 -158.7734
15.380861 73.472 -159.5766
15.747072 73.501 -160.3807
16.113283 73.531 -161.2760
16.479493 73.544 -162.2339
16.845704 73.538 -163.1571
17.211915 73.524 -163.9846
17.578126 73.516 -164.7465
17.944337 73.517 -165.5234
18.310548 73.521 -166.3645
18.676759 73.520 -167.2528
19.042970 73.513 -168.1406
19.409181 73.506 -169.0026
19.775392 73.502 -169.8501
20.141603 73.502 -170.6997
20.507814 73.502 -171.5460
20.874025 73.503 -172.3664
21.240236 73.507 -173.1500
21.606447 73.516 -173.9132
21.972658 73.527 -174.6779
22.338869 73.537 -175.4424
22.705080 73.541 -176.1794
23.071291 73.543 -176.8626
23.437502 73.546 -177.4962
23.803713 73.552 -178.1116
24.169924 73.559 -178.7389
24.536135 73.562 -179.3803
24.902346 73.558 179.9862
25.268557 73.550 179.3801
25.634768 73.540 178.7993
26.000979 73.532 178.2230
26.367190 73.524 177.6336
26.733401 73.514 177.0312
27.099612 73.501 176.4267
27.465823 73.487 175.8284
27.832033 73.474 175.2344
28.198244 73.462 174.6398
28.564455 73.450 174.0458
28.930666 73.439 173.4577
29.296877 73.429 172.8796
29.663088 73.420 172.3072
30.029299 73.413 171.7344
30.395510 73.406 171.1628
30.761721 73.397 170.6019
31.127932 73.387 170.0616
31.494143 73.378 169.5413
31.860354 73.371 169.0311
32.226565 73.363 168.5216
32.592776 73.354 168.0131
32.958987 73.342 167.5138
33.325198 73.328 167.0308
33.691409 73.315 166.5618
34.057620 73.301 166.0981
34.423831 73.288 165.6322
34.790042 73.274 165.1626
35.156253 73.259 164.6921
35.522464 73.243 164.2242
35.888675 73.227 163.7580
36.254886 73.210 163.2927
36.621097 73.193 162.8311
36.987308 73.175 162.3762
37.353519 73.159 161.9285
37.719730 73.143 161.4839
38.085941 73.128 161.0381
38.452152 73.113 160.5905
38.818363 73.097 160.1470
39.184573 73.080 159.7144
39.550784 73.063 159.2938
39.916995 73.047 158.8813
40.283206 73.032 158.4714
40.649417 73.016 158.0628
41.015628 72.999 157.6588
41.381839 72.981 157.2634
41.748050 72.963 156.8769
42.114261 72.945 156.4955
42.480472 72.928 156.1155
42.846683 72.910 155.7354
43.212894 72.892 155.3563
43.579105 72.874 154.9785
43.945316 72.855 154.6016
44.311527 72.836 154.2256
44.677738 72.816 153.8524
45.043949 72.796 153.4844
45.410160 72.776 153.1229
45.776371 72.756 152.7662
46.142582 72.737 152.4114
46.508793 72.717 152.0566
46.875004 72.698 151.7031
47.241215 72.678 151.3530
47.607426 72.659 151.0070
47.973637 72.639 150.6643
48.339848 72.619 150.3229
48.706059 72.599 149.9835
49.072270 72.578 149.6477
49.438481 72.556 149.3176
49.804692 72.535 148.9930
50.170902 72.514 148.6721
50.537113 72.493 148.3531
50.903324 72.472 148.0349
51.269535 72.451 147.7185
51.635746 72.430 147.4046
52.001957 72.408 147.0941
52.368168 72.387 146.7872
52.734379 72.365 146.4847
53.100590 72.344 146.1862
53.466801 72.323 145.8900
53.833012 72.303 145.5942
54.199223 72.282 145.2975
54.565434 72.262 145.0007
54.931645 72.240 144.7065
55.297856 72.218 144.4167
55.664067 72.196 144.1318
56.030278 72.174 143.8508
56.396489 72.152 143.5722
56.762700 72.129 143.2966
57.128911 72.107 143.0250
57.495122 72.084 142.7573
57.861333 72.062 142.4915
58.227544 72.041 142.2245
58.593755 72.019 141.9549
58.959966 71.997 141.6836
59.326177 71.974 141.4139
59.692388 71.951 141.1486
60.058599 71.928 140.8885
60.424810 71.905 140.6321
60.791021 71.883 140.3773
61.157232 71.862 140.1224
61.523442 71.840 139.8677
61.889653 71.818 139.6136
62.255864 71.797 139.3608
62.622075 71.775 139.1097
62.988286 71.753 138.8607
63.354497 71.731 138.6133
63.720708 71.709 138.3683
64.086919 71.687 138.1257
64.453130 71.665 137.8862
64.819341 71.643 137.6500
65.185552 71.620 137.4163
65.551763 71.598 137.1844
65.917974 71.576 136.9535
66.284185 71.554 136.7227
66.650396 71.532 136.4928
67.016607 71.510 136.2645
67.382818 71.487 136.0385
67.749029 71.465 135.8151
68.115240 71.443 135.5939
68.481451 71.421 135.3744
68.847662 71.399 135.1563
69.213873 71.378 134.9399
69.580084 71.356 134.7245
69.946295 71.335 134.5103
70.312506 71.313 134.2970
70.678717 71.292 134.0854
71.044928 71.270 133.8762
71.411139 71.249 133.6695
71.777350 71.227 133.4647
72.143561 71.206 133.2609
72.509771 71.184 133.0582
72.875982 71.163 132.8573
73.242193 71.141 132.6590
73.608404 71.119 132.4633
73.974615 71.098 132.2688
74.340826 71.077 132.0741
74.707037 71.055 131.8785
75.073248 71.034 131.6825
75.439459 71.012 131.4875
75.805670 70.990 131.2947
76.171881 70.968 131.1041
76.538092 70.946 130.9149
76.904303 70.925 130.7261
77.270514 70.903 130.5372
77.636725 70.882 130.3489
78.002936 70.860 130.1616
78.369147 70.839 129.9758
78.735358 70.817 129.7916
79.101569 70.796 129.6087
79.467780 70.774 129.4269
79.833991 70.753 129.2469
80.200202 70.731 129.0690
80.566413 70.710 128.8934
80.932624 70.689 128.7199
81.298835 70.668 128.5474
81.665046 70.647 128.3754
82.031257 70.627 128.2034
82.397468 70.607 128.0319
82.763679 70.586 127.8619
83.129890 70.566 127.6940
83.496101 70.545 127.5280
83.862311 70.526 127.3627
84.228522 70.506 127.1973
84.594733 70.486 127.0316
84.960944 70.466 126.8668
85.327155 70.446 126.7043
85.693366 70.426 126.5443
86.059577 70.407 126.3859
86.425788 70.388 126.2277
86.791999 70.368 126.0681
87.158210 70.349 125.9075
87.524421 70.329 125.7473
87.890632 70.309 125.5891
88.256843 70.289 125.4339
88.623054 70.269 125.2812
88.989265 70.250 125.1294
89.355476 70.230 124.9768
89.721687 70.211 124.8229
90.087898 70.191 124.6684
90.454109 70.172 124.5147
90.820320 70.152 124.3630
91.186531 70.132 124.2134
91.552742 70.113 124.0649
91.918953 70.094 123.9161
92.285164 70.075 123.7662
92.651375 70.056 123.6158
93.017586 70.037 123.4661
93.383797 70.018 123.3181
93.750008 69.999 123.1724
94.116219 69.980 123.0289
94.482430 69.961 122.8867
94.848641 69.943 122.7455
95.214851 69.924 122.6054
95.581062 69.906 122.4666
95.947273 69.888 122.3290
96.313484 69.870 122.1924
96.679695 69.852 122.0559
97.045906 69.834 121.9191
97.412117 69.817 121.7816
97.778328 69.799 121.6440
98.144539 69.781 121.5069
98.510750 69.762 121.3712
98.876961 69.744 121.2372
99.243172 69.726 121.1053
99.609383 69.707 120.9752
99.975594 69.689 120.8466
100.341805 69.671 120.7189
100.708016 69.654 120.5918
101.074227 69.636 120.4652
101.440438 69.618 120.3392
101.806649 69.601 120.2134
102.172860 69.584 120.0880
102.539071 69.567 119.9626
102.905282 69.549 119.8378
103.271493 69.532 119.7141
103.637704 69.515 119.5917
104.003915 69.498 119.4706
104.370126 69.481 119.3503
104.736337 69.465 119.2302
105.102548 69.448 119.1094
105.468759 69.432 118.9881
105.834970 69.415 118.8665
106.201180 69.398 118.7451
106.567391 69.381 118.6245
106.933602 69.364 118.5051
107.299813 69.348 118.3868
107.666024 69.331 118.2695
108.032235 69.314 118.1529
108.398446 69.297 118.0369
108.764657 69.281 117.9210
109.130868 69.264 117.8050
109.497079 69.248 117.6887
109.863290 69.232 117.5718
110.229501 69.215 117.4550
110.595712 69.199 117.3387
110.961923 69.182 117.2237
111.328134 69.166 117.1103
111.694345 69.149 116.9985
112.060556 69.133 116.8875
112.426767 69.118 116.7767
112.792978 69.102 116.6653
113.159189 69.086 116.5535
113.525400 69.071 116.4418
113.891611 69.055 116.3309
114.257822 69.039 116.2213
114.624033 69.024 116.1132
114.990244 69.008 116.0062
115.356455 68.993 115.8999
115.722666 68.978 115.7936
116.088877 68.963 115.6873
116.455088 68.948 115.5809
116.821299 68.933 115.4750
117.187510 68.918 115.3700
117.553720 68.903 115.2662
117.919931 68.888 115.1639
118.286142 68.873 115.0629
118.652353 68.858 114.9628
119.018564 68.843 114.8632
119.384775 68.828 114.7637
119.750986 68.813 114.6643
120.117197 68.799 114.5648
120.483408 68.784 114.4651
120.849619 68.770 114.3655
121.215830 68.755 114.2656
121.582041 68.740 114.1656
121.948252 68.726 114.0657
122.314463 68.711 113.9658
122.680674 68.696 113.8664
123.046885 68.682 113.7676
123.413096 68.667 113.6697
123.779307 68.652 113.5727
124.145518 68.638 113.4764
124.511729 68.623 113.3807
124.877940 68.609 113.2855
125.244151 68.595 113.1907
125.610362 68.581 113.0958
125.976573 68.567 113.0009
126.342784 68.553 112.9056
126.708995 68.539 112.8101
127.075206 68.525 112.7148
127.441417 68.511 112.6199
127.807628 68.496 112.5258
128.173839 68.482 112.4326
128.540049 68.468 112.3404
128.906260 68.454 112.2490
129.272471 68.440 112.1585
129.638682 68.426 112.0686
130.004893 68.412 111.9791
130.371104 68.399 111.8898
130.737315 68.386 111.8000
131.103526 68.372 111.7097
131.469737 68.359 111.6191
131.835948 68.346 111.5283
132.202159 68.333 111.4378
132.568370 68.319 111.3479
132.934581 68.306 111.2589
133.300792 68.293 111.1707
133.667003 68.280 111.0830
134.033214 68.267 110.9955
134.399425 68.254 110.9081
134.765636 68.241 110.8205
135.131847 68.228 110.7333
135.498058 68.215 110.6469
135.864269 68.202 110.5618
136.230480 68.189 110.4781
136.596691 68.176 110.3957
136.962902 68.164 110.3141
137.329113 68.151 110.2329
137.695324 68.139 110.1517
138.061535 68.126 110.0704
138.427746 68.114 109.9891
138.793957 68.102 109.9080
139.160168 68.090 109.8270
139.526379 68.078 109.7462
139.892589 68.066 109.6653
140.258800 68.054 109.5842
140.625011 68.042 109.5031
140.991222 68.030 109.4220
141.357433 68.018 109.3410
141.723644 68.006 109.2603
142.089855 67.994 109.1799
142.456066 67.982 109.1000
142.822277 67.969 109.0206
143.188488 67.957 108.9421
143.554699 67.945 108.8641
143.920910 67.933 108.7868
144.287121 67.921 108.7098
144.653332 67.909 108.6329
145.019543 67.897 108.5559
145.385754 67.885 108.4789
145.751965 67.873 108.4020
146.118176 67.861 108.3250
146.484387 67.849 108.2481
146.850598 67.838 108.1711
147.216809 67.826 108.0941
147.583020 67.815 108.0170
147.949231 67.803 107.9399
148.315442 67.791 107.8629
148.681653 67.780 107.7859
149.047864 67.768 107.7095
149.414075 67.757 107.6337
149.780286 67.745 107.5588
150.146497 67.734 107.4850
150.512708 67.722 107.4119
150.878918 67.711 107.3394
151.245129 67.700 107.2670
