* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 2 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 29, 2023 8:35:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Diva Foam Yellow L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.996 159.6721
0.732422 64.741 138.3384
1.098633 60.119 112.3177
1.464844 51.482 49.5897
1.831055 56.382 -47.9174
2.197266 61.174 -73.9930
2.563477 63.264 -86.2510
2.929688 64.297 -91.6428
3.295899 65.164 -92.8576
3.662110 66.219 -93.5692
4.028321 67.290 -96.2574
4.394532 68.111 -100.8417
4.760743 68.589 -106.0441
5.126954 68.802 -110.6729
5.493164 68.916 -114.2127
5.859375 69.088 -117.0052
6.225586 69.363 -119.8537
6.591797 69.680 -123.2684
6.958008 69.956 -127.1313
7.324219 70.159 -130.9645
7.690430 70.318 -134.3555
8.056641 70.485 -137.2101
8.422852 70.691 -139.7245
8.789063 70.925 -142.1459
9.155274 71.154 -144.5601
9.521485 71.352 -146.8818
9.887696 71.516 -148.9884
10.253907 71.586 -150.8410
10.620118 71.615 -152.5006
10.986329 71.637 -154.0595
11.352540 71.647 -155.5719
11.718751 71.639 -157.0450
12.084962 71.616 -158.4750
12.451173 71.584 -159.8780
12.817384 71.590 -161.2821
13.183595 71.595 -162.7025
13.549806 71.592 -164.1323
13.916017 71.584 -165.5590
14.282228 71.576 -166.9839
14.648439 71.572 -168.4227
15.014650 71.571 -169.8850
15.380861 71.570 -171.3577
15.747072 71.571 -172.8108
16.113283 71.580 -174.2190
16.479493 71.603 -175.5766
16.845704 71.631 -176.8931
17.211915 71.662 -178.1755
17.578126 71.691 -179.4167
17.944337 71.717 179.3981
18.310548 71.739 178.2769
18.676759 71.759 177.2125
19.042970 71.776 176.1885
19.409181 71.789 175.1911
19.775392 71.795 174.2150
20.141603 71.796 173.2595
20.507814 71.793 172.3215
20.874025 71.785 171.3934
21.240236 71.773 170.4667
21.606447 71.758 169.5369
21.972658 71.740 168.6023
22.338869 71.722 167.6601
22.705080 71.703 166.7058
23.071291 71.685 165.7365
23.437502 71.667 164.7562
23.803713 71.648 163.7762
24.169924 71.630 162.8095
24.536135 71.613 161.8640
24.902346 71.599 160.9398
25.268557 71.588 160.0339
25.634768 71.579 159.1442
26.000979 71.570 158.2720
26.367190 71.562 157.4200
26.733401 71.552 156.5894
27.099612 71.540 155.7789
27.465823 71.526 154.9872
27.832033 71.509 154.2143
28.198244 71.488 153.4612
28.564455 71.465 152.7275
28.930666 71.439 152.0101
29.296877 71.412 151.3028
29.663088 71.385 150.5978
30.029299 71.357 149.8882
30.395510 71.328 149.1689
30.761721 71.297 148.4395
31.127932 71.265 147.7044
31.494143 71.231 146.9707
31.860354 71.197 146.2448
32.226565 71.164 145.5280
32.592776 71.134 144.8163
32.958987 71.105 144.1047
33.325198 71.076 143.3918
33.691409 71.048 142.6829
34.057620 71.019 141.9867
34.423831 70.989 141.3102
34.790042 70.961 140.6543
35.156253 70.933 140.0145
35.522464 70.905 139.3848
35.888675 70.878 138.7617
36.254886 70.849 138.1450
36.621097 70.819 137.5363
36.987308 70.787 136.9369
37.353519 70.754 136.3470
37.719730 70.720 135.7655
38.085941 70.685 135.1909
38.452152 70.650 134.6207
38.818363 70.615 134.0527
39.184573 70.579 133.4858
39.550784 70.543 132.9208
39.916995 70.506 132.3602
40.283206 70.470 131.8057
40.649417 70.436 131.2569
41.015628 70.402 130.7111
41.381839 70.369 130.1650
41.748050 70.337 129.6183
42.114261 70.304 129.0735
42.480472 70.270 128.5352
42.846683 70.236 128.0068
43.212894 70.201 127.4896
43.579105 70.167 126.9827
43.945316 70.134 126.4842
44.311527 70.100 125.9926
44.677738 70.067 125.5061
45.043949 70.034 125.0229
45.410160 70.001 124.5412
45.776371 69.968 124.0605
46.142582 69.934 123.5826
46.508793 69.899 123.1103
46.875004 69.864 122.6457
47.241215 69.829 122.1884
47.607426 69.794 121.7360
47.973637 69.760 121.2852
48.339848 69.727 120.8350
48.706059 69.693 120.3874
49.072270 69.658 119.9462
49.438481 69.624 119.5147
49.804692 69.590 119.0926
50.170902 69.557 118.6757
50.537113 69.526 118.2587
50.903324 69.495 117.8379
51.269535 69.463 117.4147
51.635746 69.430 116.9944
52.001957 69.396 116.5830
52.368168 69.362 116.1828
52.734379 69.329 115.7906
53.100590 69.297 115.4001
53.466801 69.265 115.0059
53.833012 69.233 114.6078
54.199223 69.200 114.2106
54.565434 69.167 113.8209
54.931645 69.133 113.4420
55.297856 69.100 113.0719
55.664067 69.069 112.7041
56.030278 69.040 112.3326
56.396489 69.010 111.9561
56.762700 68.979 111.5791
57.128911 68.948 111.2089
57.495122 68.916 110.8511
57.861333 68.885 110.5057
58.227544 68.855 110.1667
58.593755 68.827 109.8267
58.959966 68.800 109.4810
59.326177 68.771 109.1306
59.692388 68.742 108.7811
60.058599 68.711 108.4391
60.424810 68.679 108.1079
60.791021 68.649 107.7859
61.157232 68.619 107.4682
61.523442 68.590 107.1497
61.889653 68.562 106.8281
62.255864 68.533 106.5040
62.622075 68.504 106.1801
62.988286 68.475 105.8588
63.354497 68.446 105.5417
63.720708 68.416 105.2285
64.086919 68.388 104.9185
64.453130 68.359 104.6109
64.819341 68.332 104.3054
65.185552 68.304 104.0018
65.551763 68.278 103.7005
65.917974 68.251 103.4016
66.284185 68.224 103.1050
66.650396 68.198 102.8109
67.016607 68.171 102.5200
67.382818 68.144 102.2339
67.749029 68.117 101.9539
68.115240 68.091 101.6801
68.481451 68.065 101.4107
68.847662 68.040 101.1418
69.213873 68.015 100.8697
69.580084 67.990 100.5935
69.946295 67.965 100.3156
70.312506 67.938 100.0405
70.678717 67.911 99.7723
71.044928 67.884 99.5116
71.411139 67.858 99.2557
71.777350 67.834 99.0005
72.143561 67.809 98.7431
72.509771 67.785 98.4833
72.875982 67.761 98.2232
73.242193 67.737 97.9650
73.608404 67.713 97.7097
73.974615 67.690 97.4562
74.340826 67.667 97.2038
74.707037 67.644 96.9519
75.073248 67.621 96.7017
75.439459 67.598 96.4544
75.805670 67.575 96.2108
76.171881 67.553 95.9702
76.538092 67.531 95.7311
76.904303 67.510 95.4924
77.270514 67.488 95.2543
77.636725 67.467 95.0175
78.002936 67.446 94.7833
78.369147 67.424 94.5515
78.735358 67.403 94.3218
79.101569 67.382 94.0936
79.467780 67.362 93.8669
79.833991 67.341 93.6425
80.200202 67.320 93.4210
80.566413 67.300 93.2023
80.932624 67.280 92.9850
81.298835 67.261 92.7679
81.665046 67.242 92.5502
82.031257 67.222 92.3328
82.397468 67.202 92.1173
82.763679 67.182 91.9053
83.129890 67.162 91.6973
83.496101 67.142 91.4927
83.862311 67.123 91.2904
84.228522 67.104 91.0892
84.594733 67.086 90.8881
84.960944 67.069 90.6862
85.327155 67.051 90.4828
85.693366 67.034 90.2775
86.059577 67.017 90.0705
86.425788 66.999 89.8627
86.791999 66.982 89.6556
87.158210 66.964 89.4506
87.524421 66.947 89.2486
87.890632 66.929 89.0501
88.256843 66.912 88.8551
88.623054 66.895 88.6631
88.989265 66.878 88.4733
89.355476 66.862 88.2848
89.721687 66.847 88.0965
90.087898 66.831 87.9084
90.454109 66.816 87.7211
90.820320 66.801 87.5352
91.186531 66.785 87.3513
91.552742 66.770 87.1684
91.918953 66.756 86.9849
92.285164 66.742 86.7995
92.651375 66.727 86.6122
93.017586 66.712 86.4243
93.383797 66.697 86.2380
93.750008 66.682 86.0546
94.116219 66.666 85.8741
94.482430 66.652 85.6953
94.848641 66.637 85.5166
95.214851 66.623 85.3377
95.581062 66.609 85.1591
95.947273 66.595 84.9819
96.313484 66.581 84.8070
96.679695 66.567 84.6343
97.045906 66.553 84.4631
97.412117 66.540 84.2922
97.778328 66.527 84.1208
98.144539 66.515 83.9485
98.510750 66.501 83.7759
98.876961 66.488 83.6042
99.243172 66.474 83.4349
99.609383 66.461 83.2692
99.975594 66.447 83.1074
100.341805 66.434 82.9481
100.708016 66.421 82.7894
101.074227 66.409 82.6295
101.440438 66.396 82.4678
101.806649 66.384 82.3051
102.172860 66.372 82.1429
102.539071 66.359 81.9819
102.905282 66.347 81.8220
103.271493 66.335 81.6622
103.637704 66.324 81.5020
104.003915 66.312 81.3415
104.370126 66.301 81.1816
104.736337 66.290 81.0229
105.102548 66.279 80.8657
105.468759 66.268 80.7094
105.834970 66.258 80.5535
106.201180 66.247 80.3985
106.567391 66.237 80.2451
106.933602 66.227 80.0941
107.299813 66.217 79.9446
107.666024 66.208 79.7952
108.032235 66.199 79.6442
108.398446 66.190 79.4909
108.764657 66.181 79.3365
109.130868 66.171 79.1832
109.497079 66.161 79.0331
109.863290 66.151 78.8871
110.229501 66.141 78.7446
110.595712 66.131 78.6035
110.961923 66.122 78.4623
111.328134 66.113 78.3200
111.694345 66.104 78.1767
112.060556 66.095 78.0329
112.426767 66.086 77.8890
112.792978 66.077 77.7452
113.159189 66.068 77.6012
113.525400 66.059 77.4571
113.891611 66.050 77.3131
114.257822 66.041 77.1699
114.624033 66.031 77.0284
114.990244 66.022 76.8888
115.356455 66.013 76.7509
115.722666 66.004 76.6139
116.088877 65.996 76.4769
116.455088 65.987 76.3393
116.821299 65.979 76.2013
117.187510 65.971 76.0633
117.553720 65.963 75.9259
117.919931 65.955 75.7893
118.286142 65.947 75.6534
118.652353 65.939 75.5176
119.018564 65.931 75.3816
119.384775 65.924 75.2456
119.750986 65.916 75.1103
120.117197 65.908 74.9764
120.483408 65.901 74.8444
120.849619 65.893 74.7141
121.215830 65.886 74.5854
121.582041 65.878 74.4575
121.948252 65.872 74.3297
122.314463 65.865 74.2013
122.680674 65.858 74.0718
123.046885 65.851 73.9415
123.413096 65.844 73.8106
123.779307 65.837 73.6802
124.145518 65.830 73.5512
124.511729 65.823 73.4240
124.877940 65.816 73.2983
125.244151 65.810 73.1739
125.610362 65.804 73.0499
125.976573 65.798 72.9263
126.342784 65.793 72.8027
126.708995 65.788 72.6792
127.075206 65.783 72.5553
127.441417 65.778 72.4310
127.807628 65.773 72.3063
128.173839 65.769 72.1821
128.540049 65.764 72.0588
128.906260 65.759 71.9370
129.272471 65.755 71.8163
129.638682 65.750 71.6956
130.004893 65.746 71.5744
130.371104 65.742 71.4526
130.737315 65.737 71.3314
131.103526 65.732 71.2119
131.469737 65.728 71.0948
131.835948 65.723 70.9794
132.202159 65.719 70.8643
132.568370 65.715 70.7480
132.934581 65.710 70.6295
133.300792 65.706 70.5095
133.667003 65.701 70.3892
134.033214 65.696 70.2702
134.399425 65.690 70.1539
134.765636 65.684 70.0408
135.131847 65.679 69.9307
135.498058 65.674 69.8231
135.864269 65.669 69.7171
136.230480 65.664 69.6117
136.596691 65.660 69.5058
136.962902 65.656 69.3984
137.329113 65.653 69.2889
137.695324 65.649 69.1775
138.061535 65.646 69.0648
138.427746 65.642 68.9517
138.793957 65.638 68.8393
139.160168 65.634 68.7279
139.526379 65.630 68.6174
139.892589 65.626 68.5074
140.258800 65.622 68.3973
140.625011 65.619 68.2866
140.991222 65.615 68.1752
141.357433 65.612 68.0636
141.723644 65.608 67.9521
142.089855 65.604 67.8412
142.456066 65.600 67.7309
142.822277 65.597 67.6214
143.188488 65.593 67.5125
143.554699 65.589 67.4043
143.920910 65.585 67.2972
144.287121 65.582 67.1913
144.653332 65.578 67.0870
145.019543 65.574 66.9839
145.385754 65.571 66.8815
145.751965 65.567 66.7796
146.118176 65.564 66.6779
146.484387 65.560 66.5765
146.850598 65.557 66.4759
147.216809 65.553 66.3763
147.583020 65.550 66.2775
147.949231 65.547 66.1794
148.315442 65.544 66.0814
148.681653 65.540 65.9833
149.047864 65.537 65.8852
149.414075 65.534 65.7872
149.780286 65.531 65.6895
150.146497 65.528 65.5922
150.512708 65.525 65.4953
150.878918 65.523 65.3987
151.245129 65.520 65.3018
151.611340 65.518 65.2043
