* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 2 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 29, 2023 8:34:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Diva Foam Yellow R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.579 -22.7621
0.732422 71.151 -44.4212
1.098633 68.642 -62.7427
1.464844 65.056 -71.5078
1.831055 62.352 -59.3692
2.197266 64.150 -47.4211
2.563477 66.895 -55.8904
2.929688 68.747 -72.5467
3.295899 69.756 -90.1003
3.662110 70.113 -105.0606
4.028321 70.077 -115.2612
4.394532 70.078 -120.0245
4.760743 70.543 -121.5533
5.126954 71.425 -123.5893
5.493164 72.309 -127.5921
5.859375 72.906 -132.5593
6.225586 73.179 -136.9325
6.591797 73.272 -139.7333
6.958008 73.384 -141.0841
7.324219 73.615 -142.0367
7.690430 73.903 -143.5605
8.056641 74.126 -145.7806
8.422852 74.228 -148.1951
8.789063 74.239 -150.2885
9.155274 74.237 -151.9428
9.521485 74.273 -153.4393
9.887696 74.340 -155.1180
10.253907 74.333 -157.0639
10.620118 74.272 -159.1125
10.986329 74.198 -161.0688
11.352540 74.135 -162.8788
11.718751 74.096 -164.6177
12.084962 74.072 -166.3558
12.451173 74.053 -168.0694
12.817384 74.078 -169.6790
13.183595 74.114 -171.1448
13.549806 74.159 -172.5060
13.916017 74.205 -173.8268
14.282228 74.242 -175.1225
14.648439 74.262 -176.3477
15.014650 74.269 -177.4558
15.380861 74.272 -178.4591
15.747072 74.277 -179.4262
16.113283 74.284 179.5771
16.479493 74.289 178.5396
16.845704 74.279 177.4970
17.211915 74.261 176.4830
17.578126 74.241 175.4909
17.944337 74.225 174.4825
18.310548 74.210 173.4281
18.676759 74.193 172.3326
19.042970 74.174 171.2246
19.409181 74.156 170.1278
19.775392 74.142 169.0450
20.141603 74.133 167.9687
20.507814 74.129 166.9006
20.874025 74.127 165.8553
21.240236 74.126 164.8480
21.606447 74.127 163.8809
21.972658 74.129 162.9456
22.338869 74.131 162.0358
22.705080 74.129 161.1558
23.071291 74.124 160.3137
23.437502 74.117 159.5090
23.803713 74.108 158.7286
24.169924 74.097 157.9550
24.536135 74.082 157.1789
24.902346 74.062 156.4017
25.268557 74.038 155.6287
25.634768 74.010 154.8607
26.000979 73.981 154.0941
26.367190 73.951 153.3247
26.733401 73.921 152.5507
27.099612 73.893 151.7681
27.465823 73.866 150.9695
27.832033 73.840 150.1485
28.198244 73.813 149.3108
28.564455 73.782 148.4777
28.930666 73.748 147.6769
29.296877 73.715 146.9244
29.663088 73.687 146.2136
30.029299 73.664 145.5214
30.395510 73.645 144.8269
30.761721 73.626 144.1263
31.127932 73.604 143.4313
31.494143 73.580 142.7563
31.860354 73.554 142.1044
32.226565 73.528 141.4677
32.592776 73.500 140.8351
32.958987 73.471 140.2026
33.325198 73.438 139.5738
33.691409 73.404 138.9533
34.057620 73.368 138.3415
34.423831 73.332 137.7336
34.790042 73.295 137.1241
35.156253 73.259 136.5107
35.522464 73.222 135.8947
35.888675 73.185 135.2786
36.254886 73.148 134.6644
36.621097 73.112 134.0530
36.987308 73.076 133.4450
37.353519 73.041 132.8414
37.719730 73.006 132.2433
38.085941 72.971 131.6531
38.452152 72.937 131.0739
38.818363 72.902 130.5087
39.184573 72.867 129.9583
39.550784 72.834 129.4197
39.916995 72.801 128.8876
40.283206 72.769 128.3581
40.649417 72.737 127.8307
41.015628 72.704 127.3083
41.381839 72.670 126.7932
41.748050 72.635 126.2847
42.114261 72.600 125.7798
42.480472 72.565 125.2762
42.846683 72.530 124.7743
43.212894 72.493 124.2767
43.579105 72.456 123.7856
43.945316 72.420 123.3005
44.311527 72.384 122.8196
44.677738 72.348 122.3410
45.043949 72.313 121.8647
45.410160 72.278 121.3915
45.776371 72.243 120.9219
46.142582 72.208 120.4563
46.508793 72.173 119.9958
46.875004 72.138 119.5423
47.241215 72.103 119.0973
47.607426 72.069 118.6594
47.973637 72.035 118.2243
48.339848 72.002 117.7874
48.706059 71.968 117.3475
49.072270 71.933 116.9083
49.438481 71.897 116.4760
49.804692 71.860 116.0550
50.170902 71.824 115.6454
50.537113 71.789 115.2433
50.903324 71.756 114.8434
51.269535 71.724 114.4423
51.635746 71.692 114.0391
52.001957 71.660 113.6351
52.368168 71.628 113.2325
52.734379 71.596 112.8340
53.100590 71.564 112.4414
53.466801 71.532 112.0555
53.833012 71.500 111.6756
54.199223 71.468 111.3006
54.565434 71.436 110.9295
54.931645 71.405 110.5629
55.297856 71.373 110.2018
55.664067 71.341 109.8463
56.030278 71.310 109.4950
56.396489 71.278 109.1452
56.762700 71.247 108.7954
57.128911 71.215 108.4464
57.495122 71.183 108.1005
57.861333 71.151 107.7595
58.227544 71.120 107.4227
58.593755 71.089 107.0868
58.959966 71.059 106.7484
59.326177 71.029 106.4063
59.692388 70.999 106.0632
60.058599 70.968 105.7232
60.424810 70.937 105.3897
60.791021 70.906 105.0633
61.157232 70.877 104.7416
61.523442 70.848 104.4217
61.889653 70.819 104.1024
62.255864 70.790 103.7850
62.622075 70.761 103.4724
62.988286 70.732 103.1663
63.354497 70.704 102.8657
63.720708 70.676 102.5672
64.086919 70.648 102.2677
64.453130 70.620 101.9661
64.819341 70.592 101.6643
65.185552 70.564 101.3651
65.551763 70.535 101.0701
65.917974 70.507 100.7787
66.284185 70.479 100.4888
66.650396 70.451 100.1995
67.016607 70.423 99.9114
67.382818 70.395 99.6268
67.749029 70.367 99.3468
68.115240 70.341 99.0704
68.481451 70.315 98.7947
68.847662 70.289 98.5177
69.213873 70.264 98.2399
69.580084 70.238 97.9641
69.946295 70.211 97.6941
70.312506 70.185 97.4313
70.678717 70.160 97.1740
71.044928 70.136 96.9182
71.411139 70.113 96.6602
71.777350 70.089 96.3994
72.143561 70.065 96.1382
72.509771 70.040 95.8802
72.875982 70.016 95.6275
73.242193 69.992 95.3792
73.608404 69.969 95.1317
73.974615 69.946 94.8817
74.340826 69.923 94.6284
74.707037 69.899 94.3744
75.073248 69.876 94.1233
75.439459 69.852 93.8776
75.805670 69.828 93.6366
76.171881 69.806 93.3975
76.538092 69.783 93.1577
76.904303 69.761 92.9169
77.270514 69.739 92.6775
77.636725 69.716 92.4424
78.002936 69.694 92.2127
78.369147 69.672 91.9874
78.735358 69.651 91.7638
79.101569 69.630 91.5396
79.467780 69.610 91.3139
79.833991 69.590 91.0876
80.200202 69.569 90.8622
80.566413 69.548 90.6388
80.932624 69.528 90.4182
81.298835 69.508 90.2003
81.665046 69.488 89.9848
82.031257 69.468 89.7707
82.397468 69.450 89.5568
82.763679 69.431 89.3417
83.129890 69.413 89.1247
83.496101 69.395 88.9060
83.862311 69.377 88.6872
84.228522 69.358 88.4702
84.594733 69.340 88.2567
84.960944 69.321 88.0474
85.327155 69.303 87.8421
85.693366 69.285 87.6397
86.059577 69.267 87.4391
86.425788 69.250 87.2395
86.791999 69.233 87.0406
87.158210 69.215 86.8428
87.524421 69.198 86.6467
87.890632 69.181 86.4526
88.256843 69.165 86.2605
88.623054 69.148 86.0695
88.989265 69.132 85.8779
89.355476 69.117 85.6838
89.721687 69.101 85.4860
90.087898 69.085 85.2850
90.454109 69.069 85.0828
90.820320 69.052 84.8826
91.186531 69.034 84.6867
91.552742 69.017 84.4962
91.918953 69.001 84.3102
92.285164 68.985 84.1265
92.651375 68.969 83.9430
93.017586 68.955 83.7588
93.383797 68.940 83.5734
93.750008 68.926 83.3872
94.116219 68.912 83.2009
94.482430 68.898 83.0149
94.848641 68.884 82.8299
95.214851 68.869 82.6469
95.581062 68.855 82.4669
95.947273 68.840 82.2905
96.313484 68.827 82.1172
96.679695 68.813 81.9453
97.045906 68.800 81.7727
97.412117 68.787 81.5982
97.778328 68.774 81.4220
98.144539 68.761 81.2456
98.510750 68.747 81.0713
98.876961 68.734 80.9005
99.243172 68.721 80.7330
99.609383 68.708 80.5670
99.975594 68.696 80.4001
100.341805 68.684 80.2308
100.708016 68.672 80.0592
101.074227 68.659 79.8875
101.440438 68.647 79.7179
101.806649 68.634 79.5516
102.172860 68.622 79.3878
102.539071 68.610 79.2249
102.905282 68.599 79.0611
103.271493 68.588 78.8960
103.637704 68.576 78.7307
104.003915 68.565 78.5665
104.370126 68.553 78.4044
104.736337 68.542 78.2441
105.102548 68.531 78.0848
105.468759 68.520 77.9257
105.834970 68.509 77.7669
106.201180 68.499 77.6090
106.567391 68.488 77.4529
106.933602 68.477 77.2984
107.299813 68.467 77.1448
107.666024 68.457 76.9913
108.032235 68.447 76.8372
108.398446 68.437 76.6830
108.764657 68.426 76.5292
109.130868 68.416 76.3764
109.497079 68.406 76.2245
109.863290 68.396 76.0726
110.229501 68.386 75.9205
110.595712 68.376 75.7682
110.961923 68.366 75.6164
111.328134 68.356 75.4661
111.694345 68.345 75.3174
112.060556 68.336 75.1695
112.426767 68.326 75.0216
112.792978 68.317 74.8730
113.159189 68.308 74.7240
113.525400 68.299 74.5753
113.891611 68.289 74.4279
114.257822 68.281 74.2820
114.624033 68.272 74.1374
114.990244 68.264 73.9932
115.356455 68.255 73.8491
115.722666 68.247 73.7051
116.088877 68.239 73.5617
116.455088 68.231 73.4191
116.821299 68.224 73.2773
117.187510 68.216 73.1358
117.553720 68.208 72.9942
117.919931 68.199 72.8527
118.286142 68.191 72.7119
118.652353 68.182 72.5728
119.018564 68.173 72.4359
119.384775 68.165 72.3012
119.750986 68.156 72.1678
120.117197 68.147 72.0349
120.483408 68.139 71.9016
120.849619 68.131 71.7675
121.215830 68.123 71.6331
121.582041 68.115 71.4982
121.948252 68.107 71.3631
122.314463 68.100 71.2274
122.680674 68.093 71.0907
123.046885 68.086 70.9528
123.413096 68.079 70.8138
123.779307 68.072 70.6742
124.145518 68.065 70.5350
124.511729 68.059 70.3970
124.877940 68.052 70.2610
125.244151 68.046 70.1273
125.610362 68.040 69.9959
125.976573 68.034 69.8664
126.342784 68.029 69.7383
126.708995 68.023 69.6111
127.075206 68.018 69.4845
127.441417 68.013 69.3582
127.807628 68.008 69.2321
128.173839 68.003 69.1065
128.540049 67.998 68.9818
128.906260 67.992 68.8582
129.272471 67.986 68.7361
129.638682 67.981 68.6154
130.004893 67.975 68.4953
130.371104 67.970 68.3750
130.737315 67.965 68.2536
131.103526 67.960 68.1304
131.469737 67.955 68.0055
131.835948 67.950 67.8793
132.202159 67.945 67.7527
132.568370 67.940 67.6262
132.934581 67.935 67.5002
133.300792 67.930 67.3749
133.667003 67.925 67.2504
134.033214 67.920 67.1270
134.399425 67.915 67.0049
134.765636 67.910 66.8846
135.131847 67.906 66.7656
135.498058 67.902 66.6476
135.864269 67.898 66.5294
136.230480 67.895 66.4102
136.596691 67.892 66.2891
136.962902 67.889 66.1662
137.329113 67.885 66.0420
137.695324 67.881 65.9177
138.061535 67.877 65.7947
138.427746 67.872 65.6741
138.793957 67.867 65.5564
139.160168 67.862 65.4414
139.526379 67.858 65.3285
139.892589 67.853 65.2167
140.258800 67.849 65.1052
140.625011 67.845 64.9935
140.991222 67.841 64.8813
141.357433 67.837 64.7687
141.723644 67.833 64.6556
142.089855 67.829 64.5419
142.456066 67.825 64.4276
142.822277 67.821 64.3130
143.188488 67.817 64.1984
143.554699 67.812 64.0841
143.920910 67.808 63.9704
144.287121 67.804 63.8573
144.653332 67.800 63.7448
145.019543 67.796 63.6328
145.385754 67.793 63.5211
145.751965 67.789 63.4099
146.118176 67.786 63.2988
146.484387 67.783 63.1877
146.850598 67.780 63.0760
147.216809 67.777 62.9637
147.583020 67.774 62.8506
147.949231 67.771 62.7372
148.315442 67.767 62.6240
148.681653 67.764 62.5115
149.047864 67.761 62.3999
149.414075 67.757 62.2893
149.780286 67.754 62.1793
150.146497 67.751 62.0697
150.512708 67.748 61.9601
150.878918 67.744 61.8502
151.245129 67.741 61.7397
151.611340 67.738 61.6286
