* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 2 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 8:54:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Diva Foam Blue L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 65.511 165.6583
0.732422 63.411 150.6331
1.098633 58.826 132.2886
1.464844 47.215 70.8705
1.831055 56.982 -41.0378
2.197266 63.070 -59.9301
2.563477 66.222 -71.4608
2.929688 68.115 -80.0986
3.295899 69.350 -86.6690
3.662110 70.242 -91.6978
4.028321 70.971 -95.8234
4.394532 71.612 -99.6750
4.760743 72.167 -103.6259
5.126954 72.623 -107.7115
5.493164 72.980 -111.7555
5.859375 73.265 -115.5665
6.225586 73.517 -119.0763
6.591797 73.768 -122.3600
6.958008 74.025 -125.5469
7.324219 74.280 -128.7081
7.690430 74.519 -131.8126
8.056641 74.735 -134.7695
8.422852 74.931 -137.5018
8.789063 75.118 -139.9888
9.155274 75.298 -142.2608
9.521485 75.473 -144.3618
9.887696 75.638 -146.3263
10.253907 75.721 -148.1800
10.620118 75.762 -149.9519
10.986329 75.792 -151.6729
11.352540 75.807 -153.3608
11.718751 75.805 -155.0098
12.084962 75.787 -156.6013
12.451173 75.761 -158.1310
12.817384 75.779 -159.6242
13.183595 75.801 -161.1236
13.549806 75.818 -162.6544
13.916017 75.824 -164.2013
14.282228 75.820 -165.7186
14.648439 75.813 -167.1683
15.014650 75.812 -168.5529
15.380861 75.823 -169.9161
15.747072 75.844 -171.3081
16.113283 75.872 -172.7455
16.479493 75.903 -174.1999
16.845704 75.926 -175.6206
17.211915 75.944 -176.9703
17.578126 75.961 -178.2446
17.944337 75.979 -179.4637
18.310548 75.996 179.3509
18.676759 76.009 178.1938
19.042970 76.017 177.0732
19.409181 76.021 175.9945
19.775392 76.022 174.9494
20.141603 76.023 173.9184
20.507814 76.023 172.8842
20.874025 76.018 171.8424
21.240236 76.007 170.8009
21.606447 75.992 169.7697
21.972658 75.974 168.7519
22.338869 75.955 167.7415
22.705080 75.938 166.7299
23.071291 75.920 165.7125
23.437502 75.902 164.6923
23.803713 75.884 163.6757
24.169924 75.866 162.6687
24.536135 75.849 161.6747
24.902346 75.832 160.6947
25.268557 75.816 159.7303
25.634768 75.800 158.7840
26.000979 75.783 157.8584
26.367190 75.766 156.9547
26.733401 75.748 156.0721
27.099612 75.728 155.2088
27.465823 75.707 154.3632
27.832033 75.684 153.5345
28.198244 75.659 152.7213
28.564455 75.633 151.9208
28.930666 75.605 151.1285
29.296877 75.576 150.3398
29.663088 75.545 149.5513
30.029299 75.512 148.7631
30.395510 75.477 147.9773
30.761721 75.441 147.1962
31.127932 75.405 146.4200
31.494143 75.368 145.6477
31.860354 75.331 144.8791
32.226565 75.293 144.1160
32.592776 75.256 143.3624
32.958987 75.218 142.6211
33.325198 75.183 141.8916
33.691409 75.148 141.1700
34.057620 75.114 140.4520
34.423831 75.081 139.7363
34.790042 75.046 139.0269
35.156253 75.009 138.3300
35.522464 74.972 137.6501
35.888675 74.934 136.9865
36.254886 74.897 136.3345
36.621097 74.859 135.6878
36.987308 74.821 135.0434
37.353519 74.782 134.4019
37.719730 74.742 133.7662
38.085941 74.701 133.1383
38.452152 74.659 132.5172
38.818363 74.618 131.8997
39.184573 74.576 131.2829
39.550784 74.534 130.6661
39.916995 74.492 130.0519
40.283206 74.449 129.4443
40.649417 74.405 128.8471
41.015628 74.363 128.2618
41.381839 74.320 127.6872
41.748050 74.279 127.1205
42.114261 74.238 126.5591
42.480472 74.198 126.0018
42.846683 74.158 125.4491
43.212894 74.117 124.9023
43.579105 74.076 124.3629
43.945316 74.036 123.8307
44.311527 73.995 123.3047
44.677738 73.954 122.7832
45.043949 73.913 122.2648
45.410160 73.872 121.7495
45.776371 73.830 121.2383
46.142582 73.788 120.7325
46.508793 73.746 120.2332
46.875004 73.703 119.7405
47.241215 73.661 119.2533
47.607426 73.619 118.7701
47.973637 73.577 118.2901
48.339848 73.535 117.8135
48.706059 73.493 117.3417
49.072270 73.450 116.8757
49.438481 73.408 116.4159
49.804692 73.366 115.9616
50.170902 73.325 115.5115
50.537113 73.284 115.0651
50.903324 73.242 114.6229
51.269535 73.200 114.1863
51.635746 73.159 113.7558
52.001957 73.118 113.3305
52.368168 73.077 112.9083
52.734379 73.036 112.4868
53.100590 72.995 112.0654
53.466801 72.954 111.6454
53.833012 72.913 111.2292
54.199223 72.872 110.8185
54.565434 72.831 110.4130
54.931645 72.791 110.0111
55.297856 72.751 109.6111
55.664067 72.711 109.2128
56.030278 72.672 108.8175
56.396489 72.632 108.4272
56.762700 72.593 108.0424
57.128911 72.554 107.6618
57.495122 72.516 107.2834
57.861333 72.478 106.9064
58.227544 72.439 106.5323
58.593755 72.399 106.1644
58.959966 72.359 105.8055
59.326177 72.319 105.4566
59.692388 72.279 105.1160
60.058599 72.240 104.7800
60.424810 72.202 104.4448
60.791021 72.165 104.1079
61.157232 72.127 103.7686
61.523442 72.089 103.4281
61.889653 72.051 103.0883
62.255864 72.012 102.7517
62.622075 71.973 102.4198
62.988286 71.934 102.0927
63.354497 71.896 101.7689
63.720708 71.858 101.4463
64.086919 71.820 101.1237
64.453130 71.783 100.8013
64.819341 71.745 100.4810
65.185552 71.708 100.1647
65.551763 71.670 99.8533
65.917974 71.634 99.5458
66.284185 71.597 99.2410
66.650396 71.561 98.9384
67.016607 71.524 98.6393
67.382818 71.488 98.3455
67.749029 71.451 98.0575
68.115240 71.416 97.7742
68.481451 71.380 97.4923
68.847662 71.346 97.2091
69.213873 71.311 96.9234
69.580084 71.276 96.6367
69.946295 71.240 96.3517
70.312506 71.204 96.0710
70.678717 71.168 95.7953
71.044928 71.132 95.5233
71.411139 71.097 95.2533
71.777350 71.062 94.9834
72.143561 71.028 94.7137
72.509771 70.994 94.4450
72.875982 70.959 94.1790
73.242193 70.925 93.9167
73.608404 70.892 93.6579
73.974615 70.858 93.4016
74.340826 70.826 93.1465
74.707037 70.794 92.8918
75.073248 70.762 92.6376
75.439459 70.730 92.3846
75.805670 70.698 92.1335
76.171881 70.666 91.8846
76.538092 70.634 91.6376
76.904303 70.602 91.3927
77.270514 70.570 91.1505
77.636725 70.538 90.9120
78.002936 70.506 90.6778
78.369147 70.474 90.4477
78.735358 70.442 90.2205
79.101569 70.412 89.9947
79.467780 70.381 89.7693
79.833991 70.351 89.5445
80.200202 70.321 89.3206
80.566413 70.292 89.0979
80.932624 70.263 88.8756
81.298835 70.234 88.6523
81.665046 70.205 88.4270
82.031257 70.177 88.1996
82.397468 70.148 87.9717
82.763679 70.118 87.7454
83.129890 70.088 87.5229
83.496101 70.058 87.3055
83.862311 70.028 87.0930
84.228522 69.998 86.8849
84.594733 69.969 86.6801
84.960944 69.940 86.4778
85.327155 69.912 86.2778
85.693366 69.884 86.0798
86.059577 69.856 85.8836
86.425788 69.829 85.6889
86.791999 69.802 85.4957
87.158210 69.775 85.3037
87.524421 69.749 85.1130
87.890632 69.724 84.9228
88.256843 69.699 84.7325
88.623054 69.674 84.5409
88.989265 69.649 84.3476
89.355476 69.625 84.1524
89.721687 69.601 83.9558
90.087898 69.576 83.7587
90.454109 69.551 83.5617
90.820320 69.526 83.3654
91.186531 69.501 83.1706
91.552742 69.475 82.9778
91.918953 69.450 82.7881
92.285164 69.424 82.6021
92.651375 69.399 82.4190
93.017586 69.374 82.2372
93.383797 69.350 82.0540
93.750008 69.326 81.8680
94.116219 69.302 81.6797
94.482430 69.277 81.4915
94.848641 69.251 81.3072
95.214851 69.225 81.1294
95.581062 69.200 80.9585
95.947273 69.174 80.7928
96.313484 69.150 80.6295
96.679695 69.126 80.4666
97.045906 69.102 80.3038
97.412117 69.079 80.1412
97.778328 69.056 79.9791
98.144539 69.033 79.8169
98.510750 69.011 79.6530
98.876961 68.989 79.4869
99.243172 68.967 79.3195
99.609383 68.944 79.1534
99.975594 68.922 78.9915
100.341805 68.899 78.8352
100.708016 68.878 78.6833
101.074227 68.857 78.5329
101.440438 68.838 78.3802
101.806649 68.819 78.2236
102.172860 68.799 78.0639
102.539071 68.779 77.9049
102.905282 68.759 77.7510
103.271493 68.738 77.6049
103.637704 68.718 77.4665
104.003915 68.698 77.3325
104.370126 68.680 77.1985
104.736337 68.662 77.0616
105.102548 68.643 76.9215
105.468759 68.624 76.7808
105.834970 68.605 76.6426
106.201180 68.585 76.5089
106.567391 68.565 76.3786
106.933602 68.546 76.2484
107.299813 68.528 76.1145
107.666024 68.510 75.9743
108.032235 68.491 75.8279
108.398446 68.472 75.6770
108.764657 68.453 75.5245
109.130868 68.433 75.3728
109.497079 68.412 75.2231
109.863290 68.392 75.0760
110.229501 68.373 74.9308
110.595712 68.354 74.7871
110.961923 68.336 74.6439
111.328134 68.318 74.4997
111.694345 68.302 74.3535
112.060556 68.285 74.2048
112.426767 68.268 74.0542
112.792978 68.251 73.9034
113.159189 68.234 73.7552
113.525400 68.216 73.6118
113.891611 68.199 73.4741
114.257822 68.181 73.3412
114.624033 68.164 73.2109
114.990244 68.148 73.0807
115.356455 68.131 72.9490
115.722666 68.115 72.8155
116.088877 68.098 72.6808
116.455088 68.081 72.5457
116.821299 68.064 72.4106
117.187510 68.047 72.2753
117.553720 68.030 72.1395
117.919931 68.013 72.0036
118.286142 67.996 71.8688
118.652353 67.979 71.7366
119.018564 67.962 71.6082
119.384775 67.947 71.4834
119.750986 67.932 71.3604
120.117197 67.918 71.2370
120.483408 67.906 71.1115
120.849619 67.894 70.9834
121.215830 67.882 70.8534
121.582041 67.870 70.7231
121.948252 67.858 70.5942
122.314463 67.846 70.4680
122.680674 67.834 70.3450
123.046885 67.821 70.2257
123.413096 67.808 70.1101
123.779307 67.795 69.9985
124.145518 67.781 69.8905
124.511729 67.767 69.7854
124.877940 67.753 69.6824
125.244151 67.740 69.5804
125.610362 67.726 69.4785
125.976573 67.712 69.3769
126.342784 67.697 69.2754
126.708995 67.683 69.1741
127.075206 67.669 69.0724
127.441417 67.655 68.9697
127.807628 67.641 68.8647
128.173839 67.628 68.7569
128.540049 67.615 68.6458
128.906260 67.603 68.5313
129.272471 67.591 68.4131
129.638682 67.580 68.2909
130.004893 67.569 68.1648
130.371104 67.558 68.0355
130.737315 67.546 67.9045
131.103526 67.535 67.7744
131.469737 67.523 67.6476
131.835948 67.511 67.5260
132.202159 67.500 67.4101
132.568370 67.489 67.2992
132.934581 67.478 67.1921
133.300792 67.467 67.0877
133.667003 67.457 66.9855
134.033214 67.446 66.8857
134.399425 67.436 66.7885
134.765636 67.426 66.6939
135.131847 67.415 66.6010
135.498058 67.405 66.5084
135.864269 67.395 66.4144
136.230480 67.385 66.3181
136.596691 67.375 66.2187
136.962902 67.365 66.1167
137.329113 67.354 66.0129
137.695324 67.343 65.9084
138.061535 67.331 65.8037
138.427746 67.320 65.6994
138.793957 67.309 65.5951
139.160168 67.298 65.4903
139.526379 67.287 65.3846
139.892589 67.277 65.2779
140.258800 67.266 65.1709
140.625011 67.256 65.0648
140.991222 67.245 64.9606
141.357433 67.235 64.8590
141.723644 67.226 64.7597
142.089855 67.216 64.6620
142.456066 67.207 64.5648
142.822277 67.199 64.4675
143.188488 67.190 64.3698
143.554699 67.181 64.2719
143.920910 67.172 64.1741
144.287121 67.163 64.0772
144.653332 67.153 63.9817
145.019543 67.143 63.8879
145.385754 67.133 63.7960
145.751965 67.123 63.7058
146.118176 67.113 63.6165
146.484387 67.104 63.5272
146.850598 67.094 63.4368
147.216809 67.085 63.3447
147.583020 67.075 63.2508
147.949231 67.065 63.1560
148.315442 67.055 63.0612
148.681653 67.046 62.9673
149.047864 67.036 62.8745
149.414075 67.027 62.7825
149.780286 67.018 62.6906
150.146497 67.009 62.5979
150.512708 67.001 62.5041
150.878918 66.993 62.4095
151.245129 66.984 62.3145
151.611340 66.976 62.2200
