* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 9:45:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Diva Red Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.951 -21.8953
0.732422 71.318 -43.3833
1.098633 68.335 -63.5632
1.464844 63.391 -79.1195
1.831055 55.541 -70.0981
2.197266 55.682 -18.6920
2.563477 59.438 -24.9565
2.929688 60.675 -49.1012
3.295899 60.727 -77.7842
3.662110 60.229 -104.8572
4.028321 59.300 -124.1072
4.394532 58.318 -129.6337
4.760743 58.775 -123.0599
5.126954 60.861 -119.3542
5.493164 62.840 -122.9580
5.859375 63.988 -129.1407
6.225586 64.362 -133.9595
6.591797 64.326 -135.1948
6.958008 64.388 -133.0381
7.324219 64.811 -130.3462
7.690430 65.380 -129.5978
8.056641 65.771 -130.6843
8.422852 65.877 -132.1890
8.789063 65.800 -132.9790
9.155274 65.715 -132.9306
9.521485 65.726 -132.7953
9.887696 65.800 -133.3126
10.253907 65.786 -134.5544
10.620118 65.695 -136.1214
10.986329 65.593 -137.6694
11.352540 65.529 -139.1673
11.718751 65.512 -140.7513
12.084962 65.524 -142.4397
12.451173 65.549 -144.0620
12.817384 65.639 -145.4382
13.183595 65.775 -146.5617
13.549806 65.945 -147.5764
13.916017 66.124 -148.5871
14.282228 66.280 -149.5351
14.648439 66.405 -150.2687
15.014650 66.514 -150.7122
15.380861 66.626 -150.9533
15.747072 66.741 -151.1644
16.113283 66.845 -151.4496
16.479493 66.928 -151.7810
16.845704 66.979 -152.0729
17.211915 67.015 -152.2971
17.578126 67.049 -152.5201
17.944337 67.084 -152.8403
18.310548 67.112 -153.3018
18.676759 67.130 -153.8753
19.042970 67.141 -154.5093
19.409181 67.153 -155.1830
19.775392 67.172 -155.9061
20.141603 67.199 -156.6788
20.507814 67.233 -157.4675
20.874025 67.275 -158.2265
21.240236 67.332 -158.9406
21.606447 67.404 -159.6372
21.972658 67.488 -160.3521
22.338869 67.572 -161.0847
22.705080 67.646 -161.7856
23.071291 67.711 -162.3900
23.437502 67.772 -162.8648
23.803713 67.835 -163.2298
24.169924 67.903 -163.5409
24.536135 67.972 -163.8528
24.902346 68.036 -164.1922
25.268557 68.090 -164.5550
25.634768 68.132 -164.9216
26.000979 68.165 -165.2762
26.367190 68.193 -165.6191
26.733401 68.219 -165.9696
27.099612 68.247 -166.3554
27.465823 68.273 -166.7953
27.832033 68.296 -167.2845
28.198244 68.315 -167.7963
28.564455 68.332 -168.3007
28.930666 68.354 -168.7867
29.296877 68.383 -169.2692
29.663088 68.420 -169.7740
30.029299 68.461 -170.3116
30.395510 68.501 -170.8666
30.761721 68.538 -171.4072
31.127932 68.574 -171.9090
31.494143 68.612 -172.3695
31.860354 68.653 -172.8042
32.226565 68.694 -173.2304
32.592776 68.735 -173.6550
32.958987 68.771 -174.0741
33.325198 68.804 -174.4816
33.691409 68.834 -174.8753
34.057620 68.860 -175.2576
34.423831 68.885 -175.6331
34.790042 68.908 -176.0081
35.156253 68.930 -176.3905
35.522464 68.950 -176.7865
35.888675 68.969 -177.1955
36.254886 68.985 -177.6090
36.621097 69.000 -178.0167
36.987308 69.017 -178.4161
37.353519 69.037 -178.8173
37.719730 69.061 -179.2345
38.085941 69.085 -179.6724
38.452152 69.108 179.8787
38.818363 69.130 179.4347
39.184573 69.154 179.0019
39.550784 69.180 178.5693
39.916995 69.207 178.1197
40.283206 69.231 177.6479
40.649417 69.250 177.1720
41.015628 69.262 176.7238
41.381839 69.271 176.3262
41.748050 69.282 175.9761
42.114261 69.298 175.6451
42.480472 69.318 175.3004
42.846683 69.339 174.9257
43.212894 69.357 174.5293
43.579105 69.371 174.1330
43.945316 69.383 173.7535
44.311527 69.395 173.3905
44.677738 69.411 173.0284
45.043949 69.429 172.6495
45.410160 69.447 172.2464
45.776371 69.462 171.8268
46.142582 69.473 171.4077
46.508793 69.482 171.0047
46.875004 69.492 170.6230
47.241215 69.503 170.2564
47.607426 69.516 169.8918
47.973637 69.531 169.5190
48.339848 69.545 169.1353
48.706059 69.558 168.7458
49.072270 69.570 168.3582
49.438481 69.580 167.9772
49.804692 69.590 167.6022
50.170902 69.601 167.2292
50.537113 69.611 166.8544
50.903324 69.621 166.4771
51.269535 69.630 166.0995
51.635746 69.638 165.7255
52.001957 69.646 165.3584
52.368168 69.654 164.9991
52.734379 69.663 164.6453
53.100590 69.673 164.2919
53.466801 69.684 163.9324
53.833012 69.696 163.5624
54.199223 69.706 163.1832
54.565434 69.714 162.8024
54.931645 69.720 162.4307
55.297856 69.725 162.0757
55.664067 69.732 161.7364
56.030278 69.740 161.4026
56.396489 69.750 161.0602
56.762700 69.761 160.6997
57.128911 69.770 160.3214
57.495122 69.775 159.9354
57.861333 69.778 159.5556
58.227544 69.778 159.1917
58.593755 69.779 158.8451
58.959966 69.780 158.5095
59.326177 69.783 158.1770
59.692388 69.787 157.8427
60.058599 69.792 157.5061
60.424810 69.798 157.1686
60.791021 69.804 156.8296
61.157232 69.812 156.4847
61.523442 69.820 156.1290
61.889653 69.826 155.7622
62.255864 69.830 155.3911
62.622075 69.832 155.0273
62.988286 69.831 154.6809
63.354497 69.831 154.3546
63.720708 69.831 154.0419
64.086919 69.834 153.7314
64.453130 69.838 153.4132
64.819341 69.842 153.0837
65.185552 69.845 152.7463
65.551763 69.846 152.4081
65.917974 69.846 152.0750
66.284185 69.846 151.7485
66.650396 69.846 151.4263
67.016607 69.846 151.1037
67.382818 69.848 150.7764
67.749029 69.849 150.4426
68.115240 69.850 150.1038
68.481451 69.849 149.7636
68.847662 69.849 149.4258
69.213873 69.847 149.0930
69.580084 69.846 148.7657
69.946295 69.845 148.4429
70.312506 69.845 148.1230
70.678717 69.845 147.8045
71.044928 69.845 147.4861
71.411139 69.846 147.1669
71.777350 69.846 146.8472
72.143561 69.845 146.5290
72.509771 69.843 146.2156
72.875982 69.842 145.9092
73.242193 69.841 145.6083
73.608404 69.841 145.3070
73.974615 69.842 144.9986
74.340826 69.842 144.6795
74.707037 69.841 144.3533
75.073248 69.837 144.0282
75.439459 69.832 143.7124
75.805670 69.827 143.4078
76.171881 69.823 143.1096
76.538092 69.820 142.8099
76.904303 69.816 142.5056
77.270514 69.812 142.2007
77.636725 69.806 141.9045
78.002936 69.800 141.6237
78.369147 69.796 141.3570
78.735358 69.795 141.0944
79.101569 69.796 140.8234
79.467780 69.799 140.5359
79.833991 69.801 140.2331
80.200202 69.800 139.9223
80.566413 69.799 139.6125
80.932624 69.796 139.3083
81.298835 69.793 139.0088
81.665046 69.790 138.7104
82.031257 69.787 138.4106
82.397468 69.784 138.1098
82.763679 69.779 137.8111
83.129890 69.774 137.5176
83.496101 69.769 137.2307
83.862311 69.765 136.9492
84.228522 69.760 136.6711
84.594733 69.757 136.3943
84.960944 69.754 136.1177
85.327155 69.751 135.8405
85.693366 69.748 135.5625
86.059577 69.746 135.2837
86.425788 69.743 135.0051
86.791999 69.739 134.7282
87.158210 69.735 134.4548
87.524421 69.731 134.1852
87.890632 69.728 133.9186
88.256843 69.725 133.6523
88.623054 69.722 133.3840
88.989265 69.718 133.1125
89.355476 69.715 132.8387
89.721687 69.710 132.5648
90.087898 69.705 132.2936
90.454109 69.699 132.0262
90.820320 69.694 131.7626
91.186531 69.689 131.5015
91.552742 69.684 131.2417
91.918953 69.680 130.9827
92.285164 69.676 130.7242
92.651375 69.672 130.4658
93.017586 69.669 130.2059
93.383797 69.667 129.9429
93.750008 69.664 129.6759
94.116219 69.661 129.4060
94.482430 69.657 129.1360
94.848641 69.652 128.8697
95.214851 69.647 128.6093
95.581062 69.642 128.3550
95.947273 69.637 128.1047
96.313484 69.633 127.8551
96.679695 69.629 127.6039
97.045906 69.624 127.3505
97.412117 69.619 127.0962
97.778328 69.614 126.8435
98.144539 69.607 126.5947
98.510750 69.601 126.3508
98.876961 69.595 126.1112
99.243172 69.589 125.8738
99.609383 69.584 125.6361
99.975594 69.579 125.3962
100.341805 69.575 125.1536
100.708016 69.570 124.9089
101.074227 69.565 124.6635
101.440438 69.561 124.4181
101.806649 69.556 124.1722
102.172860 69.552 123.9246
102.539071 69.547 123.6744
102.905282 69.543 123.4222
103.271493 69.537 123.1703
103.637704 69.531 122.9219
104.003915 69.525 122.6796
104.370126 69.519 122.4437
104.736337 69.514 122.2123
105.102548 69.509 121.9822
105.468759 69.505 121.7504
105.834970 69.502 121.5151
106.201180 69.498 121.2765
106.567391 69.494 121.0356
106.933602 69.489 120.7942
107.299813 69.484 120.5536
107.666024 69.478 120.3156
108.032235 69.471 120.0815
108.398446 69.464 119.8528
108.764657 69.458 119.6300
109.130868 69.451 119.4117
109.497079 69.446 119.1954
109.863290 69.441 118.9781
110.229501 69.436 118.7578
110.595712 69.432 118.5338
110.961923 69.427 118.3069
111.328134 69.422 118.0786
111.694345 69.416 117.8499
112.060556 69.410 117.6217
112.426767 69.403 117.3948
112.792978 69.396 117.1704
113.159189 69.389 116.9497
113.525400 69.382 116.7331
113.891611 69.375 116.5194
114.257822 69.370 116.3059
114.624033 69.364 116.0898
114.990244 69.359 115.8695
115.356455 69.354 115.6455
115.722666 69.348 115.4203
116.088877 69.341 115.1969
116.455088 69.334 114.9777
116.821299 69.327 114.7629
117.187510 69.320 114.5517
117.553720 69.314 114.3421
117.919931 69.308 114.1329
118.286142 69.302 113.9231
118.652353 69.296 113.7127
119.018564 69.290 113.5019
119.384775 69.284 113.2909
119.750986 69.278 113.0804
120.117197 69.271 112.8709
120.483408 69.265 112.6634
120.849619 69.258 112.4582
121.215830 69.251 112.2550
121.582041 69.245 112.0526
121.948252 69.239 111.8494
122.314463 69.233 111.6442
122.680674 69.227 111.4369
123.046885 69.221 111.2282
123.413096 69.215 111.0198
123.779307 69.208 110.8127
124.145518 69.201 110.6077
124.511729 69.195 110.4044
124.877940 69.189 110.2021
125.244151 69.183 110.0005
125.610362 69.178 109.7993
125.976573 69.173 109.5987
126.342784 69.168 109.3986
126.708995 69.163 109.1991
127.075206 69.159 109.0001
127.441417 69.154 108.8016
127.807628 69.150 108.6038
128.173839 69.145 108.4070
128.540049 69.141 108.2111
128.906260 69.137 108.0161
129.272471 69.132 107.8219
129.638682 69.128 107.6283
130.004893 69.123 107.4357
130.371104 69.118 107.2444
130.737315 69.114 107.0546
131.103526 69.109 106.8664
131.469737 69.104 106.6790
131.835948 69.100 106.4916
132.202159 69.096 106.3036
132.568370 69.091 106.1149
132.934581 69.086 105.9259
133.300792 69.081 105.7373
133.667003 69.076 105.5498
134.033214 69.071 105.3638
134.399425 69.066 105.1787
134.765636 69.061 104.9937
135.131847 69.057 104.8076
135.498058 69.052 104.6201
135.864269 69.047 104.4315
136.230480 69.042 104.2430
136.596691 69.037 104.0558
136.962902 69.031 103.8710
137.329113 69.026 103.6884
137.695324 69.021 103.5071
138.061535 69.017 103.3257
138.427746 69.013 103.1429
138.793957 69.009 102.9586
139.160168 69.004 102.7735
139.526379 69.000 102.5891
139.892589 68.995 102.4067
140.258800 68.991 102.2270
140.625011 68.986 102.0500
140.991222 68.982 101.8748
141.357433 68.978 101.7005
141.723644 68.974 101.5264
142.089855 68.970 101.3523
142.456066 68.966 101.1786
142.822277 68.962 101.0058
143.188488 68.957 100.8344
143.554699 68.952 100.6646
143.920910 68.947 100.4962
144.287121 68.943 100.3293
144.653332 68.938 100.1636
145.019543 68.933 99.9988
145.385754 68.928 99.8347
145.751965 68.923 99.6707
146.118176 68.919 99.5062
146.484387 68.914 99.3407
146.850598 68.910 99.1738
147.216809 68.905 99.0058
147.583020 68.901 98.8372
147.949231 68.896 98.6685
148.315442 68.891 98.5001
148.681653 68.887 98.3319
149.047864 68.882 98.1636
149.414075 68.878 97.9951
149.780286 68.873 97.8262
150.146497 68.869 97.6574
