* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 9:44:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Diva Red Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.497 158.5468
0.732422 64.220 136.6386
1.098633 59.511 112.5416
1.464844 48.228 65.3253
1.831055 52.892 -74.9336
2.197266 58.322 -101.2801
2.563477 59.696 -116.0769
2.929688 59.222 -122.4301
3.295899 58.314 -117.4897
3.662110 58.749 -106.6125
4.028321 60.228 -102.6253
4.394532 61.334 -106.0236
4.760743 61.648 -111.9173
5.126954 61.321 -116.5625
5.493164 60.787 -117.9120
5.859375 60.588 -116.7693
6.225586 60.886 -116.4760
6.591797 61.348 -118.9800
6.958008 61.645 -123.3918
7.324219 61.705 -127.8417
7.690430 61.661 -130.9646
8.056641 61.717 -132.6033
8.422852 61.977 -133.7019
8.789063 62.365 -135.2132
9.155274 62.739 -137.2322
9.521485 63.021 -139.2265
9.887696 63.226 -140.6877
10.253907 63.342 -141.5236
10.620118 63.447 -142.0116
10.986329 63.561 -142.4616
11.352540 63.653 -142.9681
11.718751 63.708 -143.4567
12.084962 63.733 -143.8669
12.451173 63.744 -144.2405
12.817384 63.786 -144.6569
13.183595 63.818 -145.1359
13.549806 63.831 -145.6360
13.916017 63.840 -146.1362
14.282228 63.858 -146.6922
14.648439 63.886 -147.3922
15.014650 63.915 -148.2607
15.380861 63.935 -149.2233
15.747072 63.951 -150.1664
16.113283 63.982 -151.0310
16.479493 64.044 -151.8465
16.845704 64.126 -152.6780
17.211915 64.217 -153.5466
17.578126 64.306 -154.4052
17.944337 64.390 -155.1820
18.310548 64.474 -155.8412
18.676759 64.561 -156.4013
19.042970 64.651 -156.9055
19.409181 64.738 -157.3811
19.775392 64.817 -157.8289
20.141603 64.887 -158.2411
20.507814 64.951 -158.6205
20.874025 65.007 -158.9809
21.240236 65.056 -159.3363
21.606447 65.100 -159.6966
21.972658 65.139 -160.0730
22.338869 65.176 -160.4832
22.705080 65.211 -160.9421
23.071291 65.240 -161.4480
23.437502 65.266 -161.9799
23.803713 65.290 -162.5134
24.169924 65.318 -163.0414
24.536135 65.352 -163.5789
24.902346 65.393 -164.1455
25.268557 65.437 -164.7428
25.634768 65.481 -165.3486
26.000979 65.523 -165.9312
26.367190 65.565 -166.4706
26.733401 65.612 -166.9686
27.099612 65.661 -167.4400
27.465823 65.712 -167.8986
27.832033 65.763 -168.3489
28.198244 65.810 -168.7879
28.564455 65.853 -169.2116
28.930666 65.892 -169.6179
29.296877 65.928 -170.0074
29.663088 65.960 -170.3828
30.029299 65.991 -170.7509
30.395510 66.020 -171.1224
30.761721 66.049 -171.5076
31.127932 66.075 -171.9109
31.494143 66.099 -172.3294
31.860354 66.122 -172.7579
32.226565 66.145 -173.1953
32.592776 66.168 -173.6452
32.958987 66.192 -174.1107
33.325198 66.215 -174.5879
33.691409 66.237 -175.0654
34.057620 66.259 -175.5312
34.423831 66.281 -175.9799
34.790042 66.306 -176.4152
35.156253 66.333 -176.8440
35.522464 66.361 -177.2701
35.888675 66.388 -177.6920
36.254886 66.415 -178.1052
36.621097 66.441 -178.5074
36.987308 66.466 -178.8996
37.353519 66.491 -179.2858
37.719730 66.515 -179.6705
38.085941 66.538 179.9423
38.452152 66.559 179.5504
38.818363 66.578 179.1547
39.184573 66.594 178.7600
39.550784 66.608 178.3738
39.916995 66.621 178.0006
40.283206 66.636 177.6372
40.649417 66.654 177.2722
41.015628 66.674 176.8917
41.381839 66.694 176.4886
41.748050 66.712 176.0674
42.114261 66.727 175.6422
42.480472 66.740 175.2277
42.846683 66.751 174.8317
43.212894 66.764 174.4510
43.579105 66.780 174.0761
43.945316 66.796 173.6971
44.311527 66.813 173.3108
44.677738 66.828 172.9205
45.043949 66.842 172.5333
45.410160 66.855 172.1540
45.776371 66.869 171.7820
46.142582 66.883 171.4124
46.508793 66.897 171.0398
46.875004 66.911 170.6623
47.241215 66.924 170.2827
47.607426 66.937 169.9052
47.973637 66.949 169.5319
48.339848 66.961 169.1607
48.706059 66.974 168.7873
49.072270 66.987 168.4092
49.438481 66.999 168.0280
49.804692 67.010 167.6480
50.170902 67.020 167.2728
50.537113 67.030 166.9029
50.903324 67.039 166.5368
51.269535 67.049 166.1737
51.635746 67.057 165.8148
52.001957 67.066 165.4620
52.368168 67.074 165.1150
52.734379 67.083 164.7698
53.100590 67.093 164.4214
53.466801 67.102 164.0672
53.833012 67.111 163.7084
54.199223 67.118 163.3486
54.565434 67.125 162.9899
54.931645 67.132 162.6316
55.297856 67.139 162.2715
55.664067 67.146 161.9104
56.030278 67.152 161.5520
56.396489 67.158 161.2004
56.762700 67.165 160.8549
57.128911 67.174 160.5078
57.495122 67.184 160.1492
57.861333 67.194 159.7741
58.227544 67.201 159.3894
58.593755 67.204 159.0118
58.959966 67.204 158.6586
59.326177 67.205 158.3367
59.692388 67.208 158.0374
60.058599 67.215 157.7411
60.424810 67.225 157.4297
60.791021 67.235 157.0963
61.157232 67.241 156.7488
61.523442 67.245 156.4026
61.889653 67.246 156.0701
62.255864 67.247 155.7535
62.622075 67.249 155.4457
62.988286 67.252 155.1367
63.354497 67.256 154.8203
63.720708 67.260 154.4969
64.086919 67.263 154.1697
64.453130 67.265 153.8409
64.819341 67.268 153.5094
65.185552 67.271 153.1735
65.551763 67.272 152.8339
65.917974 67.273 152.4954
66.284185 67.273 152.1638
66.650396 67.273 151.8426
67.016607 67.274 151.5292
67.382818 67.276 151.2173
67.749029 67.280 150.9001
68.115240 67.283 150.5752
68.481451 67.285 150.2452
68.847662 67.286 149.9158
69.213873 67.286 149.5923
69.580084 67.285 149.2769
69.946295 67.285 148.9679
70.312506 67.285 148.6623
70.678717 67.285 148.3568
71.044928 67.286 148.0492
71.411139 67.288 147.7380
71.777350 67.288 147.4229
72.143561 67.289 147.1044
72.509771 67.288 146.7852
72.875982 67.287 146.4692
73.242193 67.285 146.1605
73.608404 67.283 145.8604
73.974615 67.282 145.5669
74.340826 67.281 145.2757
74.707037 67.282 144.9834
75.073248 67.282 144.6900
75.439459 67.283 144.3978
75.805670 67.283 144.1092
76.171881 67.284 143.8230
76.538092 67.286 143.5340
76.904303 67.289 143.2364
77.270514 67.290 142.9280
77.636725 67.289 142.6132
78.002936 67.286 142.3011
78.369147 67.281 142.0008
78.735358 67.276 141.7158
79.101569 67.271 141.4426
79.467780 67.268 141.1735
79.833991 67.266 140.9007
80.200202 67.265 140.6204
80.566413 67.263 140.3334
80.932624 67.261 140.0433
81.298835 67.258 139.7534
81.665046 67.255 139.4652
82.031257 67.251 139.1784
82.397468 67.248 138.8926
82.763679 67.244 138.6083
83.129890 67.240 138.3276
83.496101 67.236 138.0527
83.862311 67.232 137.7842
84.228522 67.229 137.5198
84.594733 67.228 137.2549
84.960944 67.228 136.9845
85.327155 67.227 136.7062
85.693366 67.226 136.4219
86.059577 67.224 136.1368
86.425788 67.220 135.8574
86.791999 67.216 135.5868
87.158210 67.213 135.3235
87.524421 67.210 135.0619
87.890632 67.209 134.7966
88.256843 67.207 134.5249
88.623054 67.204 134.2493
88.989265 67.200 133.9746
89.355476 67.196 133.7057
89.721687 67.191 133.4438
90.087898 67.186 133.1866
90.454109 67.183 132.9299
90.820320 67.179 132.6708
91.186531 67.175 132.4091
91.552742 67.171 132.1472
91.918953 67.166 131.8881
92.285164 67.162 131.6329
92.651375 67.157 131.3807
93.017586 67.153 131.1291
93.383797 67.150 130.8757
93.750008 67.146 130.6201
94.116219 67.142 130.3638
94.482430 67.138 130.1091
94.848641 67.133 129.8579
95.214851 67.130 129.6100
95.581062 67.126 129.3636
95.947273 67.123 129.1161
96.313484 67.120 128.8660
96.679695 67.118 128.6134
97.045906 67.114 128.3600
97.412117 67.110 128.1083
97.778328 67.106 127.8604
98.144539 67.101 127.6169
98.510750 67.097 127.3775
98.876961 67.093 127.1407
99.243172 67.089 126.9050
99.609383 67.086 126.6689
99.975594 67.082 126.4319
100.341805 67.079 126.1934
100.708016 67.075 125.9540
101.074227 67.071 125.7144
101.440438 67.067 125.4759
101.806649 67.062 125.2394
102.172860 67.058 125.0051
102.539071 67.054 124.7723
102.905282 67.050 124.5394
103.271493 67.046 124.3051
103.637704 67.042 124.0685
104.003915 67.038 123.8298
104.370126 67.033 123.5906
104.736337 67.028 123.3527
105.102548 67.023 123.1174
105.468759 67.018 122.8854
105.834970 67.013 122.6564
106.201180 67.008 122.4291
106.567391 67.003 122.2025
106.933602 66.999 121.9759
107.299813 66.995 121.7495
107.666024 66.990 121.5234
108.032235 66.986 121.2983
108.398446 66.981 121.0742
108.764657 66.977 120.8508
109.130868 66.972 120.6277
109.497079 66.968 120.4048
109.863290 66.963 120.1819
110.229501 66.958 119.9597
110.595712 66.953 119.7389
110.961923 66.948 119.5202
111.328134 66.943 119.3042
111.694345 66.937 119.0908
112.060556 66.932 118.8795
112.426767 66.927 118.6689
112.792978 66.923 118.4579
113.159189 66.918 118.2455
113.525400 66.914 118.0316
113.891611 66.909 117.8170
114.257822 66.904 117.6029
114.624033 66.899 117.3904
114.990244 66.893 117.1799
115.356455 66.888 116.9714
115.722666 66.882 116.7640
116.088877 66.877 116.5569
116.455088 66.872 116.3493
116.821299 66.867 116.1409
117.187510 66.862 115.9319
117.553720 66.857 115.7230
117.919931 66.852 115.5149
118.286142 66.846 115.3086
118.652353 66.840 115.1044
119.018564 66.835 114.9023
119.384775 66.830 114.7015
119.750986 66.825 114.5011
120.117197 66.820 114.3003
120.483408 66.815 114.0988
120.849619 66.810 113.8967
121.215830 66.805 113.6947
121.582041 66.800 113.4935
121.948252 66.794 113.2935
122.314463 66.788 113.0946
122.680674 66.783 112.8967
123.046885 66.777 112.6997
123.413096 66.771 112.5037
123.779307 66.765 112.3094
124.145518 66.759 112.1175
124.511729 66.753 111.9282
124.877940 66.748 111.7407
125.244151 66.744 111.5533
125.610362 66.740 111.3641
125.976573 66.737 111.1716
126.342784 66.733 110.9759
126.708995 66.730 110.7784
127.075206 66.726 110.5814
127.441417 66.722 110.3865
127.807628 66.718 110.1945
128.173839 66.715 110.0045
128.540049 66.712 109.8151
128.906260 66.709 109.6249
129.272471 66.706 109.4338
129.638682 66.703 109.2424
130.004893 66.699 109.0519
130.371104 66.695 108.8638
130.737315 66.692 108.6786
131.103526 66.688 108.4965
131.469737 66.684 108.3167
131.835948 66.680 108.1384
132.202159 66.677 107.9603
132.568370 66.674 107.7813
132.934581 66.671 107.6006
133.300792 66.667 107.4178
133.667003 66.664 107.2334
134.033214 66.660 107.0483
134.399425 66.655 106.8640
134.765636 66.650 106.6813
135.131847 66.645 106.5005
135.498058 66.641 106.3216
135.864269 66.636 106.1438
136.230480 66.631 105.9668
136.596691 66.627 105.7903
136.962902 66.623 105.6144
137.329113 66.619 105.4388
137.695324 66.615 105.2635
138.061535 66.611 105.0884
138.427746 66.608 104.9135
138.793957 66.604 104.7391
139.160168 66.601 104.5655
139.526379 66.597 104.3932
139.892589 66.593 104.2225
140.258800 66.590 104.0535
140.625011 66.586 103.8859
140.991222 66.582 103.7199
141.357433 66.578 103.5555
141.723644 66.575 103.3927
142.089855 66.571 103.2312
142.456066 66.567 103.0705
142.822277 66.564 102.9098
143.188488 66.560 102.7481
143.554699 66.557 102.5849
143.920910 66.553 102.4200
144.287121 66.549 102.2538
144.653332 66.545 102.0874
145.019543 66.541 101.9218
145.385754 66.536 101.7579
145.751965 66.531 101.5963
146.118176 66.527 101.4366
146.484387 66.522 101.2786
146.850598 66.518 101.1214
147.216809 66.515 100.9644
147.583020 66.512 100.8068
147.949231 66.509 100.6481
148.315442 66.506 100.4880
148.681653 66.503 100.3264
149.047864 66.501 100.1638
149.414075 66.498 100.0012
149.780286 66.494 99.8394
150.146497 66.491 99.6792
150.512708 66.487 99.5210
