* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 9:05:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Diva Foam Yellow L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 64.715 161.0367
0.732422 62.281 141.0180
1.098633 56.998 115.3217
1.464844 47.710 26.3241
1.831055 56.815 -53.1073
2.197266 61.435 -73.1462
2.563477 63.681 -84.4584
2.929688 64.938 -91.1652
3.295899 65.856 -94.9424
3.662110 66.728 -97.7555
4.028321 67.557 -101.1608
4.394532 68.230 -105.5218
4.760743 68.679 -110.3245
5.126954 68.933 -114.8711
5.493164 69.083 -118.7548
5.859375 69.229 -122.0347
6.225586 69.421 -125.0826
6.591797 69.648 -128.2191
6.958008 69.874 -131.4811
7.324219 70.083 -134.6927
7.690430 70.282 -137.6856
8.056641 70.490 -140.4415
8.422852 70.711 -143.0624
8.789063 70.928 -145.6340
9.155274 71.120 -148.1278
9.521485 71.276 -150.4290
9.887696 71.401 -152.4404
10.253907 71.444 -154.1634
10.620118 71.456 -155.6966
10.986329 71.470 -157.1592
11.352540 71.476 -158.6181
11.718751 71.465 -160.0746
12.084962 71.436 -161.5037
12.451173 71.395 -162.8971
12.817384 71.393 -164.2712
13.183595 71.392 -165.6461
13.549806 71.383 -167.0267
13.916017 71.369 -168.4044
14.282228 71.354 -169.7739
14.648439 71.341 -171.1433
15.014650 71.332 -172.5259
15.380861 71.325 -173.9231
15.747072 71.319 -175.3161
16.113283 71.317 -176.6769
16.479493 71.327 -177.9849
16.845704 71.341 -179.2373
17.211915 71.360 179.5551
17.578126 71.381 178.3807
17.944337 71.402 177.2358
18.310548 71.419 176.1257
18.676759 71.432 175.0578
19.042970 71.440 174.0363
19.409181 71.444 173.0587
19.775392 71.444 172.1168
20.141603 71.443 171.1976
20.507814 71.440 170.2872
20.874025 71.434 169.3748
21.240236 71.424 168.4564
21.606447 71.409 167.5349
21.972658 71.390 166.6150
22.338869 71.370 165.6986
22.705080 71.350 164.7822
23.071291 71.331 163.8601
23.437502 71.312 162.9301
23.803713 71.293 161.9964
24.169924 71.275 161.0673
24.536135 71.258 160.1501
24.902346 71.242 159.2475
25.268557 71.228 158.3577
25.634768 71.216 157.4786
26.000979 71.203 156.6116
26.367190 71.188 155.7620
26.733401 71.172 154.9371
27.099612 71.153 154.1422
27.465823 71.133 153.3779
27.832033 71.112 152.6392
28.198244 71.091 151.9172
28.564455 71.070 151.2027
28.930666 71.047 150.4896
29.296877 71.022 149.7761
29.663088 70.994 149.0640
30.029299 70.964 148.3561
30.395510 70.933 147.6533
30.761721 70.902 146.9538
31.127932 70.870 146.2550
31.494143 70.839 145.5552
31.860354 70.807 144.8541
32.226565 70.776 144.1530
32.592776 70.745 143.4541
32.958987 70.714 142.7598
33.325198 70.683 142.0729
33.691409 70.653 141.3963
34.057620 70.623 140.7313
34.423831 70.594 140.0771
34.790042 70.565 139.4322
35.156253 70.536 138.7960
35.522464 70.506 138.1715
35.888675 70.474 137.5629
36.254886 70.443 136.9726
36.621097 70.412 136.3970
36.987308 70.381 135.8275
37.353519 70.351 135.2552
37.719730 70.319 134.6776
38.085941 70.285 134.1004
38.452152 70.249 133.5344
38.818363 70.212 132.9871
39.184573 70.176 132.4557
39.550784 70.142 131.9276
39.916995 70.111 131.3878
40.283206 70.081 130.8284
40.649417 70.049 130.2548
41.015628 70.013 129.6824
41.381839 69.975 129.1271
41.748050 69.937 128.5961
42.114261 69.900 128.0840
42.480472 69.866 127.5780
42.846683 69.833 127.0678
43.212894 69.800 126.5520
43.579105 69.766 126.0379
43.945316 69.730 125.5347
44.311527 69.695 125.0461
44.677738 69.661 124.5671
45.043949 69.628 124.0888
45.410160 69.596 123.6050
45.776371 69.563 123.1171
46.142582 69.528 122.6323
46.508793 69.492 122.1581
46.875004 69.456 121.6971
47.241215 69.421 121.2456
47.607426 69.387 120.7973
47.973637 69.353 120.3483
48.339848 69.319 119.9002
48.706059 69.284 119.4588
49.072270 69.249 119.0300
49.438481 69.214 118.6156
49.804692 69.180 118.2120
50.170902 69.149 117.8118
50.537113 69.119 117.4074
50.903324 69.089 116.9955
51.269535 69.058 116.5782
51.635746 69.026 116.1618
52.001957 68.992 115.7527
52.368168 68.957 115.3540
52.734379 68.923 114.9645
53.100590 68.889 114.5807
53.466801 68.856 114.1996
53.833012 68.823 113.8208
54.199223 68.790 113.4457
54.565434 68.758 113.0753
54.931645 68.726 112.7078
55.297856 68.696 112.3404
55.664067 68.666 111.9708
56.030278 68.636 111.5998
56.396489 68.605 111.2308
56.762700 68.575 110.8665
57.128911 68.545 110.5069
57.495122 68.515 110.1497
57.861333 68.486 109.7932
58.227544 68.455 109.4394
58.593755 68.424 109.0939
58.959966 68.392 108.7620
59.326177 68.361 108.4435
59.692388 68.332 108.1313
60.058599 68.305 107.8145
60.424810 68.278 107.4865
60.791021 68.250 107.1492
61.157232 68.220 106.8133
61.523442 68.188 106.4910
61.889653 68.156 106.1879
62.255864 68.127 105.8988
62.622075 68.100 105.6106
62.988286 68.075 105.3107
63.354497 68.050 104.9953
63.720708 68.023 104.6708
64.086919 67.994 104.3499
64.453130 67.964 104.0428
64.819341 67.934 103.7523
65.185552 67.906 103.4726
65.551763 67.880 103.1951
65.917974 67.855 102.9138
66.284185 67.830 102.6283
66.650396 67.805 102.3425
67.016607 67.779 102.0608
67.382818 67.753 101.7848
67.749029 67.727 101.5132
68.115240 67.701 101.2435
68.481451 67.676 100.9740
68.847662 67.650 100.7051
69.213873 67.624 100.4384
69.580084 67.598 100.1749
69.946295 67.572 99.9142
70.312506 67.546 99.6547
70.678717 67.521 99.3948
71.044928 67.496 99.1337
71.411139 67.471 98.8720
71.777350 67.445 98.6117
72.143561 67.420 98.3552
72.509771 67.395 98.1036
72.875982 67.371 97.8560
73.242193 67.348 97.6092
73.608404 67.326 97.3601
73.974615 67.305 97.1071
74.340826 67.283 96.8522
74.707037 67.260 96.6003
75.073248 67.238 96.3560
75.439459 67.216 96.1205
75.805670 67.195 95.8902
76.171881 67.176 95.6584
76.538092 67.158 95.4189
76.904303 67.140 95.1700
77.270514 67.120 94.9151
77.636725 67.099 94.6613
78.002936 67.076 94.4150
78.369147 67.053 94.1794
78.735358 67.030 93.9535
79.101569 67.007 93.7344
79.467780 66.985 93.5193
79.833991 66.963 93.3071
80.200202 66.942 93.0978
80.566413 66.921 92.8919
80.932624 66.901 92.6890
81.298835 66.882 92.4874
81.665046 66.863 92.2853
82.031257 66.844 92.0818
82.397468 66.826 91.8772
82.763679 66.808 91.6732
83.129890 66.789 91.4711
83.496101 66.772 91.2711
83.862311 66.755 91.0711
84.228522 66.738 90.8683
84.594733 66.722 90.6604
84.960944 66.706 90.4475
85.327155 66.689 90.2325
85.693366 66.671 90.0197
86.059577 66.653 89.8121
86.425788 66.635 89.6097
86.791999 66.618 89.4099
87.158210 66.601 89.2100
87.524421 66.583 89.0092
87.890632 66.566 88.8099
88.256843 66.548 88.6158
88.623054 66.530 88.4284
88.989265 66.513 88.2462
89.355476 66.497 88.0651
89.721687 66.482 87.8813
90.087898 66.467 87.6942
90.454109 66.451 87.5068
90.820320 66.435 87.3233
91.186531 66.419 87.1457
91.552742 66.404 86.9723
91.918953 66.390 86.7982
92.285164 66.377 86.6187
92.651375 66.363 86.4323
93.017586 66.350 86.2411
93.383797 66.335 86.0500
93.750008 66.320 85.8632
94.116219 66.305 85.6820
94.482430 66.291 85.5046
94.848641 66.277 85.3277
95.214851 66.264 85.1488
95.581062 66.250 84.9681
95.947273 66.237 84.7878
96.313484 66.222 84.6112
96.679695 66.208 84.4402
97.045906 66.195 84.2743
97.412117 66.182 84.1116
97.778328 66.170 83.9494
98.144539 66.158 83.7861
98.510750 66.146 83.6213
98.876961 66.135 83.4560
99.243172 66.123 83.2909
99.609383 66.111 83.1266
99.975594 66.100 82.9629
100.341805 66.088 82.7992
100.708016 66.076 82.6356
101.074227 66.064 82.4729
101.440438 66.052 82.3124
101.806649 66.040 82.1553
102.172860 66.028 82.0017
102.539071 66.017 81.8506
102.905282 66.006 81.6997
103.271493 65.995 81.5469
103.637704 65.985 81.3908
104.003915 65.975 81.2317
104.370126 65.964 81.0717
104.736337 65.952 80.9137
105.102548 65.941 80.7601
105.468759 65.929 80.6115
105.834970 65.918 80.4668
106.201180 65.907 80.3234
106.567391 65.898 80.1791
106.933602 65.888 80.0323
107.299813 65.879 79.8829
107.666024 65.869 79.7318
108.032235 65.859 79.5804
108.398446 65.849 79.4301
108.764657 65.839 79.2816
109.130868 65.828 79.1353
109.497079 65.818 78.9906
109.863290 65.809 78.8466
110.229501 65.799 78.7021
110.595712 65.790 78.5569
110.961923 65.781 78.4117
111.328134 65.771 78.2680
111.694345 65.762 78.1273
112.060556 65.752 77.9902
112.426767 65.743 77.8557
112.792978 65.735 77.7220
113.159189 65.727 77.5873
113.525400 65.720 77.4507
113.891611 65.712 77.3126
114.257822 65.704 77.1741
114.624033 65.696 77.0361
114.990244 65.688 76.8989
115.356455 65.680 76.7622
115.722666 65.671 76.6259
116.088877 65.663 76.4902
116.455088 65.654 76.3558
116.821299 65.646 76.2235
117.187510 65.637 76.0932
117.553720 65.629 75.9640
117.919931 65.621 75.8348
118.286142 65.614 75.7045
118.652353 65.606 75.5727
119.018564 65.599 75.4396
119.384775 65.591 75.3061
119.750986 65.583 75.1729
120.117197 65.576 75.0409
120.483408 65.568 74.9103
120.849619 65.560 74.7808
121.215830 65.553 74.6515
121.582041 65.547 74.5217
121.948252 65.540 74.3908
122.314463 65.533 74.2588
122.680674 65.527 74.1264
123.046885 65.520 73.9949
123.413096 65.512 73.8651
123.779307 65.505 73.7375
124.145518 65.498 73.6121
124.511729 65.492 73.4890
124.877940 65.485 73.3680
125.244151 65.479 73.2494
125.610362 65.474 73.1330
125.976573 65.469 73.0183
126.342784 65.464 72.9039
126.708995 65.460 72.7886
127.075206 65.456 72.6714
127.441417 65.453 72.5521
127.807628 65.449 72.4311
128.173839 65.445 72.3093
128.540049 65.440 72.1874
128.906260 65.435 72.0660
129.272471 65.430 71.9459
129.638682 65.425 71.8272
130.004893 65.420 71.7102
130.371104 65.415 71.5948
130.737315 65.410 71.4806
131.103526 65.405 71.3670
131.469737 65.401 71.2535
131.835948 65.397 71.1399
132.202159 65.393 71.0258
132.568370 65.389 70.9109
132.934581 65.385 70.7951
133.300792 65.382 70.6780
133.667003 65.379 70.5599
134.033214 65.375 70.4414
134.399425 65.371 70.3232
134.765636 65.368 70.2058
135.131847 65.364 70.0897
135.498058 65.360 69.9748
135.864269 65.356 69.8611
136.230480 65.353 69.7487
136.596691 65.349 69.6378
136.962902 65.345 69.5282
137.329113 65.341 69.4197
137.695324 65.338 69.3116
138.061535 65.334 69.2034
138.427746 65.330 69.0949
138.793957 65.326 68.9865
139.160168 65.322 68.8787
139.526379 65.318 68.7721
139.892589 65.314 68.6665
140.258800 65.310 68.5614
140.625011 65.306 68.4560
140.991222 65.302 68.3500
141.357433 65.298 68.2437
141.723644 65.294 68.1376
142.089855 65.290 68.0323
142.456066 65.286 67.9280
142.822277 65.283 67.8242
143.188488 65.280 67.7198
143.554699 65.277 67.6141
143.920910 65.274 67.5070
144.287121 65.271 67.3990
144.653332 65.268 67.2912
145.019543 65.265 67.1847
145.385754 65.261 67.0803
145.751965 65.258 66.9784
146.118176 65.254 66.8784
146.484387 65.251 66.7798
146.850598 65.248 66.6817
147.216809 65.246 66.5839
147.583020 65.243 66.4861
147.949231 65.240 66.3885
148.315442 65.238 66.2911
148.681653 65.235 66.1935
149.047864 65.233 66.0952
149.414075 65.230 65.9959
149.780286 65.228 65.8958
150.146497 65.225 65.7953
150.512708 65.222 65.6952
150.878918 65.220 65.5960
151.245129 65.217 65.4979
151.611340 65.215 65.4002
151.977551 65.212 65.3024
