* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 9:02:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Diva Foam Yellow R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.832 -22.9872
0.732422 71.216 -45.1563
1.098633 68.254 -64.6319
1.464844 63.459 -74.4604
1.831055 58.840 -49.4108
2.197266 62.172 -26.9177
2.563477 65.489 -38.3860
2.929688 67.260 -58.2332
3.295899 68.038 -78.4109
3.662110 68.144 -95.2297
4.028321 67.902 -106.0809
4.394532 67.870 -110.2099
4.760743 68.554 -111.0509
5.126954 69.736 -113.4904
5.493164 70.825 -118.5297
5.859375 71.516 -124.4389
6.225586 71.820 -129.3273
6.591797 71.934 -132.1729
6.958008 72.101 -133.3094
7.324219 72.421 -134.1260
7.690430 72.797 -135.7421
8.056641 73.081 -138.1846
8.422852 73.213 -140.8017
8.789063 73.240 -143.0021
9.155274 73.252 -144.6864
9.521485 73.309 -146.2081
9.887696 73.401 -147.9624
10.253907 73.416 -150.0385
10.620118 73.372 -152.2490
10.986329 73.312 -154.3807
11.352540 73.262 -156.3736
11.718751 73.234 -158.2979
12.084962 73.222 -160.2126
12.451173 73.214 -162.0831
12.817384 73.254 -163.8301
13.183595 73.308 -165.4270
13.549806 73.372 -166.9251
13.916017 73.436 -168.3865
14.282228 73.488 -169.8096
14.648439 73.520 -171.1328
15.014650 73.540 -172.3085
15.380861 73.558 -173.3643
15.747072 73.578 -174.3882
16.113283 73.599 -175.4545
16.479493 73.615 -176.5695
16.845704 73.613 -177.6865
17.211915 73.600 -178.7654
17.578126 73.584 -179.8146
17.944337 73.571 179.1222
18.310548 73.559 178.0115
18.676759 73.545 176.8582
19.042970 73.528 175.6925
19.409181 73.511 174.5384
19.775392 73.500 173.3983
20.141603 73.495 172.2654
20.507814 73.495 171.1421
20.874025 73.498 170.0427
21.240236 73.504 168.9786
21.606447 73.512 167.9480
21.972658 73.521 166.9420
22.338869 73.528 165.9614
22.705080 73.530 165.0211
23.071291 73.527 164.1365
23.437502 73.523 163.3053
23.803713 73.519 162.5040
24.169924 73.514 161.7042
24.536135 73.505 160.8928
24.902346 73.489 160.0763
25.268557 73.466 159.2681
25.634768 73.441 158.4722
26.000979 73.413 157.6790
26.367190 73.386 156.8757
26.733401 73.357 156.0569
27.099612 73.326 155.2279
27.465823 73.295 154.3984
27.832033 73.264 153.5751
28.198244 73.235 152.7604
28.564455 73.209 151.9543
28.930666 73.186 151.1557
29.296877 73.166 150.3621
29.663088 73.148 149.5707
30.029299 73.129 148.7829
30.395510 73.109 148.0075
30.761721 73.087 147.2573
31.127932 73.064 146.5403
31.494143 73.041 145.8528
31.860354 73.019 145.1812
32.226565 72.995 144.5131
32.592776 72.970 143.8465
32.958987 72.940 143.1894
33.325198 72.908 142.5496
33.691409 72.875 141.9261
34.057620 72.843 141.3080
34.423831 72.811 140.6837
34.790042 72.778 140.0486
35.156253 72.743 139.4071
35.522464 72.707 138.7662
35.888675 72.671 138.1295
36.254886 72.635 137.4965
36.621097 72.599 136.8658
36.987308 72.564 136.2390
37.353519 72.530 135.6192
37.719730 72.496 135.0085
38.085941 72.463 134.4064
38.452152 72.431 133.8123
38.818363 72.399 133.2263
39.184573 72.367 132.6501
39.550784 72.335 132.0846
39.916995 72.304 131.5280
40.283206 72.273 130.9776
40.649417 72.242 130.4316
41.015628 72.210 129.8910
41.381839 72.177 129.3577
41.748050 72.144 128.8324
42.114261 72.110 128.3130
42.480472 72.076 127.7968
42.846683 72.042 127.2823
43.212894 72.008 126.7699
43.579105 71.973 126.2612
43.945316 71.938 125.7579
44.311527 71.903 125.2610
44.677738 71.868 124.7708
45.043949 71.834 124.2866
45.410160 71.801 123.8058
45.776371 71.769 123.3244
46.142582 71.737 122.8403
46.508793 71.704 122.3557
46.875004 71.669 121.8770
47.241215 71.633 121.4122
47.607426 71.598 120.9645
47.973637 71.563 120.5305
48.339848 71.530 120.1015
48.706059 71.499 119.6697
49.072270 71.467 119.2321
49.438481 71.435 118.7913
49.804692 71.403 118.3521
50.170902 71.370 117.9181
50.537113 71.336 117.4898
50.903324 71.304 117.0661
51.269535 71.271 116.6461
51.635746 71.239 116.2304
52.001957 71.207 115.8202
52.368168 71.175 115.4163
52.734379 71.145 115.0178
53.100590 71.115 114.6226
53.466801 71.085 114.2284
53.833012 71.056 113.8344
54.199223 71.026 113.4415
54.565434 70.996 113.0530
54.931645 70.965 112.6716
55.297856 70.934 112.2987
55.664067 70.903 111.9327
56.030278 70.873 111.5705
56.396489 70.843 111.2092
56.762700 70.812 110.8479
57.128911 70.782 110.4872
57.495122 70.752 110.1285
57.861333 70.721 109.7720
58.227544 70.691 109.4171
58.593755 70.661 109.0632
58.959966 70.631 108.7101
59.326177 70.601 108.3586
59.692388 70.572 108.0100
60.058599 70.542 107.6656
60.424810 70.513 107.3270
60.791021 70.484 106.9949
61.157232 70.456 106.6689
61.523442 70.430 106.3469
61.889653 70.404 106.0254
62.255864 70.378 105.7023
62.622075 70.352 105.3785
62.988286 70.326 105.0573
63.354497 70.298 104.7429
63.720708 70.270 104.4368
64.086919 70.242 104.1373
64.453130 70.214 103.8410
64.819341 70.187 103.5454
65.185552 70.159 103.2510
65.551763 70.131 102.9595
65.917974 70.104 102.6718
66.284185 70.076 102.3863
66.650396 70.050 102.0998
67.016607 70.023 101.8109
67.382818 69.996 101.5209
67.749029 69.969 101.2333
68.115240 69.942 100.9508
68.481451 69.916 100.6726
68.847662 69.891 100.3947
69.213873 69.868 100.1131
69.580084 69.844 99.8267
69.946295 69.820 99.5383
70.312506 69.795 99.2527
70.678717 69.770 98.9733
71.044928 69.745 98.7003
71.411139 69.722 98.4311
71.777350 69.698 98.1624
72.143561 69.675 97.8937
72.509771 69.652 97.6271
72.875982 69.628 97.3657
73.242193 69.605 97.1112
73.608404 69.582 96.8624
73.974615 69.560 96.6161
74.340826 69.539 96.3691
74.707037 69.519 96.1198
75.073248 69.498 95.8690
75.439459 69.477 95.6186
75.805670 69.456 95.3709
76.171881 69.434 95.1274
76.538092 69.413 94.8887
76.904303 69.392 94.6544
77.270514 69.372 94.4226
77.636725 69.352 94.1902
78.002936 69.333 93.9538
78.369147 69.314 93.7124
78.735358 69.294 93.4675
79.101569 69.273 93.2236
79.467780 69.251 92.9853
79.833991 69.230 92.7550
80.200202 69.208 92.5310
80.566413 69.188 92.3095
80.932624 69.168 92.0868
81.298835 69.149 91.8622
81.665046 69.129 91.6373
82.031257 69.110 91.4150
82.397468 69.090 91.1962
82.763679 69.072 90.9797
83.129890 69.054 90.7628
83.496101 69.037 90.5439
83.862311 69.020 90.3232
84.228522 69.003 90.1028
84.594733 68.985 89.8846
84.960944 68.968 89.6692
85.327155 68.952 89.4551
85.693366 68.935 89.2409
86.059577 68.919 89.0265
86.425788 68.901 88.8137
86.791999 68.884 88.6051
87.158210 68.867 88.4022
87.524421 68.850 88.2038
87.890632 68.833 88.0072
88.256843 68.818 87.8096
88.623054 68.802 87.6102
88.989265 68.786 87.4099
89.355476 68.770 87.2111
89.721687 68.754 87.0153
90.087898 68.739 86.8224
90.454109 68.724 86.6310
90.820320 68.710 86.4395
91.186531 68.696 86.2464
91.552742 68.682 86.0514
91.918953 68.669 85.8545
92.285164 68.655 85.6565
92.651375 68.641 85.4590
93.017586 68.627 85.2641
93.383797 68.612 85.0740
93.750008 68.597 84.8895
94.116219 68.584 84.7099
94.482430 68.570 84.5325
94.848641 68.558 84.3543
95.214851 68.546 84.1734
95.581062 68.533 83.9897
95.947273 68.521 83.8045
96.313484 68.508 83.6196
96.679695 68.495 83.4364
97.045906 68.481 83.2548
97.412117 68.468 83.0741
97.778328 68.454 82.8939
98.144539 68.441 82.7145
98.510750 68.427 82.5374
98.876961 68.413 82.3641
99.243172 68.400 82.1949
99.609383 68.387 82.0288
99.975594 68.376 81.8628
100.341805 68.365 81.6941
100.708016 68.354 81.5209
101.074227 68.344 81.3439
101.440438 68.333 81.1653
101.806649 68.321 80.9883
102.172860 68.309 80.8151
102.539071 68.297 80.6461
102.905282 68.286 80.4802
103.271493 68.275 80.3159
103.637704 68.264 80.1521
104.003915 68.254 79.9890
104.370126 68.243 79.8270
104.736337 68.233 79.6664
105.102548 68.223 79.5071
105.468759 68.213 79.3478
105.834970 68.204 79.1872
106.201180 68.195 79.0243
106.567391 68.185 78.8591
106.933602 68.176 78.6925
107.299813 68.166 78.5262
107.666024 68.156 78.3615
108.032235 68.146 78.1996
108.398446 68.135 78.0407
108.764657 68.125 77.8846
109.130868 68.115 77.7306
109.497079 68.105 77.5781
109.863290 68.096 77.4261
110.229501 68.087 77.2742
110.595712 68.078 77.1215
110.961923 68.069 76.9677
111.328134 68.060 76.8130
111.694345 68.051 76.6583
112.060556 68.042 76.5050
112.426767 68.032 76.3545
112.792978 68.023 76.2071
113.159189 68.014 76.0620
113.525400 68.006 75.9172
113.891611 67.998 75.7708
114.257822 67.991 75.6214
114.624033 67.984 75.4691
114.990244 67.976 75.3150
115.356455 67.969 75.1608
115.722666 67.961 75.0076
116.088877 67.953 74.8560
116.455088 67.945 74.7062
116.821299 67.937 74.5583
117.187510 67.929 74.4127
117.553720 67.922 74.2695
117.919931 67.914 74.1286
118.286142 67.908 73.9892
118.652353 67.901 73.8495
119.018564 67.895 73.7080
119.384775 67.889 73.5639
119.750986 67.882 73.4177
120.117197 67.876 73.2708
120.483408 67.868 73.1252
120.849619 67.861 72.9816
121.215830 67.853 72.8402
121.582041 67.846 72.7000
121.948252 67.839 72.5599
122.314463 67.831 72.4195
122.680674 67.824 72.2789
123.046885 67.817 72.1391
123.413096 67.809 72.0006
123.779307 67.802 71.8638
124.145518 67.795 71.7284
124.511729 67.788 71.5942
124.877940 67.781 71.4610
125.244151 67.775 71.3290
125.610362 67.769 71.1983
125.976573 67.764 71.0689
126.342784 67.759 70.9403
126.708995 67.754 70.8116
127.075206 67.750 70.6819
127.441417 67.746 70.5504
127.807628 67.743 70.4167
128.173839 67.739 70.2805
128.540049 67.734 70.1427
128.906260 67.730 70.0044
129.272471 67.725 69.8674
129.638682 67.719 69.7335
130.004893 67.714 69.6036
130.371104 67.708 69.4781
130.737315 67.703 69.3560
131.103526 67.698 69.2360
131.469737 67.694 69.1165
131.835948 67.690 68.9967
132.202159 67.687 68.8761
132.568370 67.683 68.7548
132.934581 67.680 68.6327
133.300792 67.677 68.5096
133.667003 67.674 68.3853
134.033214 67.670 68.2596
134.399425 67.667 68.1331
134.765636 67.663 68.0067
135.131847 67.658 67.8813
135.498058 67.654 67.7574
135.864269 67.649 67.6351
136.230480 67.645 67.5138
136.596691 67.640 67.3929
136.962902 67.636 67.2720
137.329113 67.632 67.1511
137.695324 67.627 67.0303
138.061535 67.623 66.9096
138.427746 67.619 66.7892
138.793957 67.615 66.6690
139.160168 67.611 66.5487
139.526379 67.607 66.4283
139.892589 67.603 66.3075
140.258800 67.599 66.1863
140.625011 67.595 66.0646
140.991222 67.592 65.9429
141.357433 67.588 65.8217
141.723644 67.584 65.7018
142.089855 67.580 65.5839
142.456066 67.576 65.4682
142.822277 67.572 65.3545
143.188488 67.569 65.2419
143.554699 67.565 65.1298
143.920910 67.562 65.0174
144.287121 67.559 64.9043
144.653332 67.556 64.7905
145.019543 67.553 64.6764
145.385754 67.549 64.5624
145.751965 67.546 64.4491
146.118176 67.542 64.3371
146.484387 67.539 64.2264
146.850598 67.535 64.1168
147.216809 67.532 64.0077
147.583020 67.529 63.8983
147.949231 67.526 63.7881
148.315442 67.523 63.6768
148.681653 67.520 63.5645
149.047864 67.517 63.4519
149.414075 67.514 63.3396
149.780286 67.511 63.2283
150.146497 67.508 63.1184
150.512708 67.505 63.0099
150.878918 67.502 62.9026
151.245129 67.500 62.7961
151.611340 67.497 62.6904
