* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 2:54:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FD11 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 56.781 -176.9406
0.732422 57.361 177.0124
1.098633 56.763 161.3411
1.464844 54.281 133.6217
1.831055 50.996 76.4199
2.197266 54.040 9.2781
2.563477 58.076 -23.2196
2.929688 60.328 -40.7564
3.295899 61.423 -49.7814
3.662110 62.168 -51.7096
4.028321 63.295 -49.8982
4.394532 64.855 -49.4619
4.760743 66.372 -52.2602
5.126954 67.528 -56.9993
5.493164 68.298 -61.8794
5.859375 68.823 -65.7465
6.225586 69.298 -68.4407
6.591797 69.844 -70.6694
6.958008 70.448 -73.2677
7.324219 71.019 -76.4894
7.690430 71.490 -80.0031
8.056641 71.865 -83.3299
8.422852 72.192 -86.2213
8.789063 72.521 -88.7656
9.155274 72.862 -91.2130
9.521485 73.193 -93.7151
9.887696 73.485 -96.2243
10.253907 73.663 -98.5938
10.620118 73.783 -100.7343
10.986329 73.895 -102.6807
11.352540 74.003 -104.5327
11.718751 74.099 -106.3553
12.084962 74.176 -108.1375
12.451173 74.234 -109.8370
12.817384 74.327 -111.4438
13.183595 74.420 -112.9941
13.549806 74.504 -114.5322
13.916017 74.574 -116.0652
14.282228 74.627 -117.5625
14.648439 74.670 -118.9938
15.014650 74.710 -120.3637
15.380861 74.750 -121.7082
15.747072 74.789 -123.0573
16.113283 74.827 -124.4086
16.479493 74.867 -125.7329
16.845704 74.903 -127.0046
17.211915 74.939 -128.2223
17.578126 74.975 -129.4037
17.944337 75.010 -130.5615
18.310548 75.042 -131.6894
18.676759 75.070 -132.7720
19.042970 75.096 -133.8032
19.409181 75.122 -134.7942
19.775392 75.147 -135.7630
20.141603 75.169 -136.7173
20.507814 75.187 -137.6482
20.874025 75.199 -138.5415
21.240236 75.209 -139.3916
21.606447 75.217 -140.2084
21.972658 75.225 -141.0089
22.338869 75.232 -141.8057
22.705080 75.237 -142.6014
23.071291 75.239 -143.3916
23.437502 75.238 -144.1705
23.803713 75.235 -144.9344
24.169924 75.232 -145.6797
24.536135 75.228 -146.4048
24.902346 75.225 -147.1100
25.268557 75.226 -147.8008
25.634768 75.228 -148.4869
26.000979 75.232 -149.1766
26.367190 75.236 -149.8727
26.733401 75.237 -150.5701
27.099612 75.235 -151.2572
27.465823 75.229 -151.9204
27.832033 75.219 -152.5476
28.198244 75.209 -153.1331
28.564455 75.200 -153.6812
28.930666 75.194 -154.2054
29.296877 75.190 -154.7227
29.663088 75.187 -155.2438
30.029299 75.183 -155.7700
30.395510 75.177 -156.2939
30.761721 75.169 -156.8084
31.127932 75.161 -157.3140
31.494143 75.153 -157.8162
31.860354 75.145 -158.3194
32.226565 75.134 -158.8207
32.592776 75.122 -159.3108
32.958987 75.111 -159.7829
33.325198 75.101 -160.2407
33.691409 75.094 -160.6967
34.057620 75.088 -161.1636
34.423831 75.082 -161.6426
34.790042 75.073 -162.1223
35.156253 75.061 -162.5867
35.522464 75.049 -163.0268
35.888675 75.038 -163.4462
36.254886 75.029 -163.8572
36.621097 75.022 -164.2714
36.987308 75.014 -164.6904
37.353519 75.003 -165.1070
37.719730 74.990 -165.5098
38.085941 74.977 -165.8920
38.452152 74.964 -166.2555
38.818363 74.953 -166.6091
39.184573 74.943 -166.9620
39.550784 74.934 -167.3196
39.916995 74.924 -167.6813
40.283206 74.915 -168.0427
40.649417 74.905 -168.4003
41.015628 74.894 -168.7532
41.381839 74.884 -169.1031
41.748050 74.874 -169.4514
42.114261 74.863 -169.7969
42.480472 74.851 -170.1376
42.846683 74.840 -170.4719
43.212894 74.828 -170.7985
43.579105 74.816 -171.1185
43.945316 74.805 -171.4327
44.311527 74.794 -171.7412
44.677738 74.784 -172.0453
45.043949 74.774 -172.3472
45.410160 74.764 -172.6498
45.776371 74.754 -172.9548
46.142582 74.743 -173.2602
46.508793 74.731 -173.5614
46.875004 74.719 -173.8537
47.241215 74.706 -174.1358
47.607426 74.694 -174.4103
47.973637 74.683 -174.6820
48.339848 74.673 -174.9542
48.706059 74.662 -175.2283
49.072270 74.652 -175.5027
49.438481 74.641 -175.7762
49.804692 74.630 -176.0479
50.170902 74.619 -176.3170
50.537113 74.608 -176.5825
50.903324 74.596 -176.8423
51.269535 74.584 -177.0958
51.635746 74.573 -177.3436
52.001957 74.562 -177.5886
52.368168 74.551 -177.8331
52.734379 74.541 -178.0784
53.100590 74.530 -178.3233
53.466801 74.518 -178.5662
53.833012 74.506 -178.8057
54.199223 74.495 -179.0411
54.565434 74.483 -179.2736
54.931645 74.472 -179.5040
55.297856 74.460 -179.7339
55.664067 74.449 -179.9648
56.030278 74.438 179.8024
56.396489 74.427 179.5688
56.762700 74.415 179.3371
57.128911 74.402 179.1111
57.495122 74.389 178.8936
57.861333 74.377 178.6842
58.227544 74.365 178.4794
58.593755 74.355 178.2743
58.959966 74.346 178.0657
59.326177 74.336 177.8539
59.692388 74.325 177.6418
60.058599 74.314 177.4327
60.424810 74.303 177.2281
60.791021 74.292 177.0269
61.157232 74.281 176.8271
61.523442 74.269 176.6277
61.889653 74.257 176.4301
62.255864 74.245 176.2365
62.622075 74.232 176.0482
62.988286 74.219 175.8644
63.354497 74.207 175.6827
63.720708 74.194 175.5006
64.086919 74.181 175.3174
64.453130 74.168 175.1345
64.819341 74.155 174.9534
65.185552 74.141 174.7746
65.551763 74.128 174.5974
65.917974 74.115 174.4200
66.284185 74.102 174.2418
66.650396 74.089 174.0638
67.016607 74.075 173.8873
67.382818 74.062 173.7139
67.749029 74.048 173.5442
68.115240 74.034 173.3783
68.481451 74.021 173.2153
68.847662 74.009 173.0544
69.213873 73.997 172.8938
69.580084 73.985 172.7314
69.946295 73.973 172.5659
70.312506 73.961 172.3971
70.678717 73.949 172.2279
71.044928 73.935 172.0624
71.411139 73.921 171.9039
71.777350 73.907 171.7529
72.143561 73.894 171.6068
72.509771 73.881 171.4615
72.875982 73.869 171.3139
73.242193 73.857 171.1637
73.608404 73.844 171.0132
73.974615 73.830 170.8659
74.340826 73.817 170.7241
74.707037 73.804 170.5870
75.073248 73.791 170.4518
75.439459 73.779 170.3147
75.805670 73.768 170.1730
76.171881 73.756 170.0267
76.538092 73.743 169.8781
76.904303 73.729 169.7314
77.270514 73.715 169.5901
77.636725 73.701 169.4561
78.002936 73.687 169.3279
78.369147 73.674 169.2022
78.735358 73.662 169.0747
79.101569 73.650 168.9426
79.467780 73.638 168.8056
79.833991 73.626 168.6658
80.200202 73.613 168.5262
80.566413 73.599 168.3896
80.932624 73.586 168.2576
81.298835 73.572 168.1301
81.665046 73.558 168.0063
82.031257 73.545 167.8854
82.397468 73.532 167.7661
82.763679 73.520 167.6474
83.129890 73.507 167.5283
83.496101 73.495 167.4086
83.862311 73.483 167.2885
84.228522 73.470 167.1686
84.594733 73.458 167.0496
84.960944 73.445 166.9312
85.327155 73.433 166.8126
85.693366 73.420 166.6938
86.059577 73.407 166.5752
86.425788 73.394 166.4583
86.791999 73.381 166.3439
87.158210 73.368 166.2323
87.524421 73.355 166.1223
87.890632 73.342 166.0125
88.256843 73.330 165.9023
88.623054 73.317 165.7925
88.989265 73.305 165.6838
89.355476 73.293 165.5765
89.721687 73.280 165.4698
90.087898 73.269 165.3624
90.454109 73.257 165.2535
90.820320 73.244 165.1434
91.186531 73.232 165.0336
91.552742 73.219 164.9261
91.918953 73.205 164.8223
92.285164 73.192 164.7218
92.651375 73.179 164.6241
93.017586 73.166 164.5280
93.383797 73.153 164.4326
93.750008 73.140 164.3376
94.116219 73.128 164.2427
94.482430 73.115 164.1478
94.848641 73.103 164.0529
95.214851 73.090 163.9578
95.581062 73.077 163.8629
95.947273 73.065 163.7686
96.313484 73.052 163.6755
96.679695 73.039 163.5840
97.045906 73.026 163.4942
97.412117 73.013 163.4058
97.778328 73.001 163.3183
98.144539 72.989 163.2313
98.510750 72.976 163.1446
98.876961 72.964 163.0582
99.243172 72.952 162.9724
99.609383 72.940 162.8867
99.975594 72.927 162.8010
100.341805 72.915 162.7148
100.708016 72.903 162.6286
101.074227 72.891 162.5428
101.440438 72.878 162.4581
101.806649 72.865 162.3752
102.172860 72.852 162.2943
102.539071 72.840 162.2148
102.905282 72.827 162.1365
103.271493 72.815 162.0584
103.637704 72.803 161.9803
104.003915 72.791 161.9014
104.370126 72.779 161.8215
104.736337 72.768 161.7402
105.102548 72.756 161.6583
105.468759 72.743 161.5763
105.834970 72.731 161.4957
106.201180 72.718 161.4177
106.567391 72.705 161.3424
106.933602 72.692 161.2697
107.299813 72.680 161.1985
107.666024 72.667 161.1281
108.032235 72.655 161.0579
108.398446 72.643 160.9882
108.764657 72.630 160.9194
109.130868 72.618 160.8512
109.497079 72.606 160.7833
109.863290 72.594 160.7149
110.229501 72.582 160.6454
110.595712 72.570 160.5751
110.961923 72.558 160.5042
111.328134 72.546 160.4335
111.694345 72.534 160.3633
112.060556 72.522 160.2935
112.426767 72.510 160.2236
112.792978 72.497 160.1536
113.159189 72.485 160.0839
113.525400 72.472 160.0154
113.891611 72.460 159.9487
114.257822 72.447 159.8839
114.624033 72.435 159.8206
114.990244 72.423 159.7581
115.356455 72.411 159.6958
115.722666 72.399 159.6342
116.088877 72.388 159.5737
116.455088 72.376 159.5146
116.821299 72.364 159.4567
117.187510 72.353 159.3990
117.553720 72.341 159.3409
117.919931 72.330 159.2822
118.286142 72.318 159.2231
118.652353 72.306 159.1645
119.018564 72.294 159.1070
119.384775 72.282 159.0507
119.750986 72.269 158.9955
120.117197 72.257 158.9408
120.483408 72.245 158.8866
120.849619 72.233 158.8328
121.215830 72.220 158.7796
121.582041 72.208 158.7269
121.948252 72.196 158.6742
122.314463 72.184 158.6215
122.680674 72.172 158.5686
123.046885 72.160 158.5156
123.413096 72.149 158.4625
123.779307 72.137 158.4093
124.145518 72.126 158.3557
124.511729 72.114 158.3013
124.877940 72.103 158.2462
125.244151 72.092 158.1907
125.610362 72.081 158.1357
125.976573 72.070 158.0820
126.342784 72.060 158.0304
126.708995 72.049 157.9808
127.075206 72.038 157.9328
127.441417 72.028 157.8858
127.807628 72.018 157.8392
128.173839 72.008 157.7925
128.540049 71.998 157.7456
128.906260 71.988 157.6989
129.272471 71.978 157.6526
129.638682 71.968 157.6069
130.004893 71.958 157.5615
130.371104 71.948 157.5162
130.737315 71.939 157.4707
131.103526 71.929 157.4250
131.469737 71.919 157.3793
131.835948 71.909 157.3340
132.202159 71.899 157.2892
132.568370 71.889 157.2449
132.934581 71.879 157.2006
133.300792 71.869 157.1560
133.667003 71.859 157.1110
134.033214 71.849 157.0662
134.399425 71.839 157.0222
134.765636 71.828 156.9796
135.131847 71.818 156.9387
135.498058 71.807 156.8994
135.864269 71.797 156.8611
136.230480 71.787 156.8238
136.596691 71.776 156.7871
136.962902 71.766 156.7512
137.329113 71.756 156.7157
137.695324 71.746 156.6804
138.061535 71.736 156.6450
138.427746 71.726 156.6089
138.793957 71.717 156.5725
139.160168 71.707 156.5360
139.526379 71.697 156.4998
139.892589 71.687 156.4641
140.258800 71.677 156.4286
140.625011 71.668 156.3932
140.991222 71.658 156.3577
141.357433 71.648 156.3222
141.723644 71.639 156.2868
142.089855 71.629 156.2519
142.456066 71.619 156.2173
142.822277 71.610 156.1829
143.188488 71.601 156.1481
143.554699 71.592 156.1126
143.920910 71.582 156.0764
144.287121 71.573 156.0396
144.653332 71.564 156.0024
145.019543 71.554 155.9656
145.385754 71.544 155.9294
145.751965 71.534 155.8945
146.118176 71.524 155.8610
146.484387 71.514 155.8289
146.850598 71.504 155.7980
147.216809 71.494 155.7680
147.583020 71.485 155.7386
147.949231 71.475 155.7097
148.315442 71.465 155.6813
148.681653 71.455 155.6536
149.047864 71.445 155.6265
