* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 2:54:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FD11 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.679 -26.9361
0.732422 65.697 -54.1404
1.098633 61.709 -82.2822
1.464844 52.737 -116.2091
1.831055 50.168 64.2512
2.197266 58.906 28.5096
2.563477 61.749 2.0542
2.929688 62.492 -20.8294
3.295899 61.945 -38.3791
3.662110 60.730 -46.3066
4.028321 60.345 -42.2119
4.394532 61.984 -37.5705
4.760743 64.217 -41.4993
5.126954 65.904 -50.2249
5.493164 66.899 -59.2399
5.859375 67.409 -65.8893
6.225586 67.790 -69.2372
6.591797 68.373 -70.4284
6.958008 69.199 -71.7445
7.324219 70.048 -74.3645
7.690430 70.724 -77.8489
8.056641 71.186 -81.2036
8.422852 71.519 -83.7797
8.789063 71.836 -85.6197
9.155274 72.192 -87.2542
9.521485 72.557 -89.1471
9.887696 72.877 -91.3505
10.253907 73.057 -93.6257
10.620118 73.158 -95.7489
10.986329 73.244 -97.6888
11.352540 73.334 -99.5585
11.718751 73.424 -101.4545
12.084962 73.503 -103.3674
12.451173 73.574 -105.2302
12.817384 73.689 -107.0133
13.183595 73.815 -108.7516
13.549806 73.937 -110.4859
13.916017 74.046 -112.2000
14.282228 74.139 -113.8277
14.648439 74.222 -115.3192
15.014650 74.305 -116.6915
15.380861 74.391 -118.0112
15.747072 74.472 -119.3285
16.113283 74.545 -120.6339
16.479493 74.611 -121.8792
16.845704 74.667 -123.0336
17.211915 74.721 -124.1184
17.578126 74.774 -125.1861
17.944337 74.822 -126.2723
18.310548 74.861 -127.3695
18.676759 74.889 -128.4451
19.042970 74.911 -129.4793
19.409181 74.933 -130.4829
19.775392 74.956 -131.4820
20.141603 74.980 -132.4903
20.507814 75.002 -133.4989
20.874025 75.021 -134.4899
21.240236 75.039 -135.4547
21.606447 75.058 -136.3979
21.972658 75.077 -137.3250
22.338869 75.094 -138.2309
22.705080 75.109 -139.1027
23.071291 75.123 -139.9318
23.437502 75.138 -140.7223
23.803713 75.155 -141.4869
24.169924 75.171 -142.2358
24.536135 75.186 -142.9719
24.902346 75.199 -143.6933
25.268557 75.209 -144.4000
25.634768 75.217 -145.0946
26.000979 75.221 -145.7783
26.367190 75.223 -146.4485
26.733401 75.221 -147.1010
27.099612 75.218 -147.7364
27.465823 75.215 -148.3600
27.832033 75.211 -148.9784
28.198244 75.206 -149.5922
28.564455 75.200 -150.1966
28.930666 75.194 -150.7865
29.296877 75.190 -151.3620
29.663088 75.187 -151.9303
30.029299 75.187 -152.5005
30.395510 75.188 -153.0782
30.761721 75.188 -153.6630
31.127932 75.186 -154.2482
31.494143 75.181 -154.8223
31.860354 75.173 -155.3721
32.226565 75.164 -155.8886
32.592776 75.156 -156.3735
32.958987 75.152 -156.8417
33.325198 75.150 -157.3140
33.691409 75.148 -157.8020
34.057620 75.143 -158.2989
34.423831 75.134 -158.7835
34.790042 75.122 -159.2366
35.156253 75.112 -159.6588
35.522464 75.106 -160.0723
35.888675 75.103 -160.5053
36.254886 75.100 -160.9709
36.621097 75.092 -161.4571
36.987308 75.078 -161.9353
37.353519 75.061 -162.3806
37.719730 75.044 -162.7873
38.085941 75.031 -163.1692
38.452152 75.022 -163.5481
38.818363 75.015 -163.9390
39.184573 75.009 -164.3437
39.550784 75.001 -164.7543
39.916995 74.992 -165.1609
40.283206 74.982 -165.5572
40.649417 74.971 -165.9419
41.015628 74.961 -166.3158
41.381839 74.950 -166.6799
41.748050 74.940 -167.0352
42.114261 74.930 -167.3831
42.480472 74.920 -167.7258
42.846683 74.911 -168.0663
43.212894 74.902 -168.4066
43.579105 74.892 -168.7467
43.945316 74.882 -169.0851
44.311527 74.871 -169.4193
44.677738 74.860 -169.7477
45.043949 74.849 -170.0704
45.410160 74.838 -170.3886
45.776371 74.827 -170.7031
46.142582 74.817 -171.0138
46.508793 74.806 -171.3205
46.875004 74.796 -171.6240
47.241215 74.786 -171.9262
47.607426 74.776 -172.2284
47.973637 74.766 -172.5297
48.339848 74.755 -172.8269
48.706059 74.743 -173.1167
49.072270 74.733 -173.3992
49.438481 74.723 -173.6784
49.804692 74.713 -173.9602
50.170902 74.704 -174.2473
50.537113 74.694 -174.5378
50.903324 74.682 -174.8255
51.269535 74.670 -175.1045
51.635746 74.657 -175.3727
52.001957 74.645 -175.6324
52.368168 74.633 -175.8886
52.734379 74.623 -176.1454
53.100590 74.612 -176.4041
53.466801 74.601 -176.6628
53.833012 74.589 -176.9183
54.199223 74.578 -177.1674
54.565434 74.566 -177.4091
54.931645 74.555 -177.6456
55.297856 74.545 -177.8809
55.664067 74.535 -178.1191
56.030278 74.525 -178.3611
56.396489 74.515 -178.6036
56.762700 74.503 -178.8415
57.128911 74.491 -179.0710
57.495122 74.480 -179.2934
57.861333 74.470 -179.5148
58.227544 74.461 -179.7417
58.593755 74.451 -179.9769
58.959966 74.440 179.7835
59.326177 74.427 179.5475
59.692388 74.413 179.3220
60.058599 74.399 179.1088
60.424810 74.386 178.9033
60.791021 74.374 178.6986
61.157232 74.363 178.4898
61.523442 74.351 178.2772
61.889653 74.339 178.0652
62.255864 74.325 177.8595
62.622075 74.312 177.6624
62.988286 74.299 177.4722
63.354497 74.286 177.2849
63.720708 74.274 177.0964
64.086919 74.262 176.9058
64.453130 74.250 176.7143
64.819341 74.238 176.5237
65.185552 74.225 176.3351
65.551763 74.213 176.1474
65.917974 74.200 175.9591
66.284185 74.188 175.7692
66.650396 74.174 175.5783
67.016607 74.161 175.3883
67.382818 74.146 175.2014
67.749029 74.132 175.0195
68.115240 74.117 174.8431
68.481451 74.103 174.6716
68.847662 74.089 174.5037
69.213873 74.076 174.3375
69.580084 74.064 174.1716
69.946295 74.051 174.0058
70.312506 74.039 173.8404
70.678717 74.028 173.6754
71.044928 74.017 173.5103
71.411139 74.005 173.3432
71.777350 73.994 173.1731
72.143561 73.983 173.0005
72.509771 73.970 172.8285
72.875982 73.957 172.6604
73.242193 73.943 172.4984
73.608404 73.929 172.3414
73.974615 73.916 172.1862
74.340826 73.903 172.0293
74.707037 73.890 171.8701
75.073248 73.876 171.7108
75.439459 73.861 171.5552
75.805670 73.845 171.4066
76.171881 73.830 171.2653
76.538092 73.815 171.1291
76.904303 73.802 170.9945
77.270514 73.789 170.8587
77.636725 73.776 170.7204
78.002936 73.764 170.5803
78.369147 73.751 170.4395
78.735358 73.739 170.2982
79.101569 73.727 170.1561
79.467780 73.715 170.0117
79.833991 73.703 169.8644
80.200202 73.690 169.7149
80.566413 73.677 169.5660
80.932624 73.663 169.4213
81.298835 73.649 169.2837
81.665046 73.635 169.1540
82.031257 73.621 169.0307
82.397468 73.609 168.9107
82.763679 73.597 168.7910
83.129890 73.585 168.6697
83.496101 73.574 168.5466
83.862311 73.563 168.4226
84.228522 73.552 168.2985
84.594733 73.540 168.1747
84.960944 73.529 168.0508
85.327155 73.517 167.9267
85.693366 73.505 167.8024
86.059577 73.493 167.6789
86.425788 73.480 167.5574
86.791999 73.467 167.4388
87.158210 73.453 167.3233
87.524421 73.440 167.2104
87.890632 73.426 167.0990
88.256843 73.413 166.9882
88.623054 73.400 166.8773
88.989265 73.386 166.7665
89.355476 73.373 166.6560
89.721687 73.359 166.5460
90.087898 73.345 166.4366
90.454109 73.332 166.3275
90.820320 73.319 166.2185
91.186531 73.305 166.1091
91.552742 73.292 165.9993
91.918953 73.279 165.8889
92.285164 73.266 165.7781
92.651375 73.253 165.6671
93.017586 73.240 165.5563
93.383797 73.227 165.4459
93.750008 73.213 165.3364
94.116219 73.200 165.2281
94.482430 73.187 165.1216
94.848641 73.174 165.0169
95.214851 73.161 164.9144
95.581062 73.147 164.8145
95.947273 73.134 164.7172
96.313484 73.121 164.6226
96.679695 73.109 164.5304
97.045906 73.096 164.4398
97.412117 73.084 164.3502
97.778328 73.072 164.2609
98.144539 73.060 164.1716
98.510750 73.048 164.0822
98.876961 73.036 163.9923
99.243172 73.024 163.9020
99.609383 73.012 163.8113
99.975594 73.000 163.7204
100.341805 72.987 163.6300
100.708016 72.975 163.5407
101.074227 72.962 163.4530
101.440438 72.949 163.3666
101.806649 72.936 163.2808
102.172860 72.924 163.1952
102.539071 72.911 163.1096
102.905282 72.898 163.0247
103.271493 72.885 162.9410
103.637704 72.872 162.8589
104.003915 72.860 162.7778
104.370126 72.847 162.6967
104.736337 72.835 162.6149
105.102548 72.822 162.5322
105.468759 72.810 162.4492
105.834970 72.797 162.3668
106.201180 72.785 162.2855
106.567391 72.772 162.2054
106.933602 72.759 162.1259
107.299813 72.747 162.0466
107.666024 72.735 161.9671
108.032235 72.722 161.8876
108.398446 72.710 161.8087
108.764657 72.698 161.7307
109.130868 72.685 161.6537
109.497079 72.673 161.5773
109.863290 72.661 161.5013
110.229501 72.649 161.4255
110.595712 72.637 161.3502
110.961923 72.624 161.2756
111.328134 72.612 161.2021
111.694345 72.600 161.1293
112.060556 72.588 161.0571
112.426767 72.575 160.9853
112.792978 72.563 160.9141
113.159189 72.551 160.8440
113.525400 72.538 160.7755
113.891611 72.526 160.7087
114.257822 72.513 160.6433
114.624033 72.501 160.5785
114.990244 72.490 160.5134
115.356455 72.478 160.4475
115.722666 72.466 160.3807
116.088877 72.454 160.3134
116.455088 72.442 160.2462
116.821299 72.430 160.1802
117.187510 72.418 160.1159
117.553720 72.405 160.0539
117.919931 72.393 159.9943
118.286142 72.381 159.9366
118.652353 72.369 159.8798
119.018564 72.358 159.8228
119.384775 72.346 159.7649
119.750986 72.335 159.7059
120.117197 72.324 159.6464
120.483408 72.312 159.5872
120.849619 72.300 159.5292
121.215830 72.288 159.4725
121.582041 72.276 159.4169
121.948252 72.264 159.3619
122.314463 72.252 159.3070
122.680674 72.240 159.2521
123.046885 72.228 159.1973
123.413096 72.216 159.1426
123.779307 72.204 159.0882
124.145518 72.192 159.0339
124.511729 72.180 158.9796
124.877940 72.168 158.9251
125.244151 72.157 158.8702
125.610362 72.146 158.8151
125.976573 72.135 158.7601
126.342784 72.124 158.7055
126.708995 72.113 158.6516
127.075206 72.102 158.5984
127.441417 72.091 158.5458
127.807628 72.081 158.4936
128.173839 72.070 158.4415
128.540049 72.060 158.3895
128.906260 72.050 158.3379
129.272471 72.039 158.2868
129.638682 72.029 158.2361
130.004893 72.019 158.1858
130.371104 72.009 158.1355
130.737315 71.999 158.0852
131.103526 71.989 158.0351
131.469737 71.979 157.9858
131.835948 71.968 157.9377
132.202159 71.958 157.8911
132.568370 71.948 157.8458
132.934581 71.938 157.8015
133.300792 71.928 157.7576
133.667003 71.918 157.7139
134.033214 71.909 157.6700
134.399425 71.899 157.6257
134.765636 71.890 157.5811
135.131847 71.880 157.5358
135.498058 71.870 157.4900
135.864269 71.860 157.4440
136.230480 71.850 157.3986
136.596691 71.839 157.3544
136.962902 71.828 157.3121
137.329113 71.818 157.2717
137.695324 71.807 157.2330
138.061535 71.796 157.1950
138.427746 71.786 157.1570
138.793957 71.776 157.1185
139.160168 71.766 157.0793
139.526379 71.756 157.0398
139.892589 71.745 157.0004
140.258800 71.735 156.9619
140.625011 71.724 156.9248
140.991222 71.714 156.8893
141.357433 71.704 156.8553
141.723644 71.694 156.8224
142.089855 71.684 156.7899
142.456066 71.674 156.7573
142.822277 71.665 156.7243
143.188488 71.656 156.6908
143.554699 71.647 156.6569
143.920910 71.638 156.6229
144.287121 71.629 156.5887
144.653332 71.620 156.5543
145.019543 71.611 156.5195
145.385754 71.602 156.4842
145.751965 71.592 156.4485
146.118176 71.583 156.4129
146.484387 71.573 156.3777
146.850598 71.563 156.3434
147.216809 71.553 156.3102
147.583020 71.543 156.2781
147.949231 71.532 156.2469
148.315442 71.522 156.2163
148.681653 71.512 156.1861
