* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 24, 2023 7:04:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JD7 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 58.228 -171.2596
0.732422 59.377 -176.5164
1.098633 58.949 166.6801
1.464844 56.157 135.8411
1.831055 53.129 65.5135
2.197266 58.245 -0.2749
2.563477 62.619 -29.5624
2.929688 65.032 -47.3793
3.295899 66.245 -58.6956
3.662110 66.899 -64.2141
4.028321 67.615 -65.3782
4.394532 68.699 -65.7294
4.760743 69.936 -68.1045
5.126954 70.986 -72.5721
5.493164 71.713 -77.7894
5.859375 72.167 -82.4742
6.225586 72.500 -86.0342
6.591797 72.858 -88.7405
6.958008 73.292 -91.3558
7.324219 73.743 -94.4098
7.690430 74.133 -97.8442
8.056641 74.430 -101.2469
8.422852 74.663 -104.2582
8.789063 74.883 -106.8164
9.155274 75.122 -109.1259
9.521485 75.371 -111.4207
9.887696 75.600 -113.7654
10.253907 75.721 -116.0601
10.620118 75.778 -118.1816
10.986329 75.820 -120.0995
11.352540 75.857 -121.8787
11.718751 75.888 -123.5951
12.084962 75.906 -125.2656
12.451173 75.909 -126.8578
12.817384 75.949 -128.3492
13.183595 75.993 -129.7656
13.549806 76.035 -131.1591
13.916017 76.070 -132.5601
14.282228 76.093 -133.9529
14.648439 76.105 -135.2995
15.014650 76.113 -136.5815
15.380861 76.121 -137.8156
15.747072 76.132 -139.0328
16.113283 76.146 -140.2470
16.479493 76.166 -141.4438
16.845704 76.183 -142.5989
17.211915 76.198 -143.6998
17.578126 76.215 -144.7537
17.944337 76.232 -145.7738
18.310548 76.250 -146.7665
18.676759 76.265 -147.7306
19.042970 76.279 -148.6630
19.409181 76.289 -149.5648
19.775392 76.297 -150.4363
20.141603 76.303 -151.2738
20.507814 76.308 -152.0740
20.874025 76.312 -152.8427
21.240236 76.317 -153.5964
21.606447 76.321 -154.3545
21.972658 76.321 -155.1205
22.338869 76.314 -155.8776
22.705080 76.303 -156.6017
23.071291 76.290 -157.2808
23.437502 76.281 -157.9268
23.803713 76.277 -158.5675
24.169924 76.276 -159.2248
24.536135 76.273 -159.9013
24.902346 76.266 -160.5774
25.268557 76.256 -161.2279
25.634768 76.245 -161.8376
26.000979 76.236 -162.4079
26.367190 76.230 -162.9536
26.733401 76.229 -163.4923
27.099612 76.229 -164.0363
27.465823 76.228 -164.5859
27.832033 76.224 -165.1332
28.198244 76.218 -165.6681
28.564455 76.209 -166.1857
28.930666 76.200 -166.6886
29.296877 76.189 -167.1830
29.663088 76.176 -167.6706
30.029299 76.160 -168.1459
30.395510 76.143 -168.6011
30.761721 76.125 -169.0347
31.127932 76.110 -169.4564
31.494143 76.098 -169.8826
31.860354 76.085 -170.3242
32.226565 76.071 -170.7784
32.592776 76.054 -171.2315
32.958987 76.036 -171.6702
33.325198 76.018 -172.0900
33.691409 76.001 -172.4957
34.057620 75.985 -172.8932
34.423831 75.971 -173.2843
34.790042 75.959 -173.6691
35.156253 75.948 -174.0512
35.522464 75.938 -174.4400
35.888675 75.928 -174.8431
36.254886 75.915 -175.2559
36.621097 75.897 -175.6602
36.987308 75.876 -176.0338
37.353519 75.854 -176.3680
37.719730 75.836 -176.6752
38.085941 75.822 -176.9810
38.452152 75.810 -177.3071
38.818363 75.795 -177.6550
39.184573 75.776 -178.0062
39.550784 75.754 -178.3371
39.916995 75.731 -178.6362
40.283206 75.712 -178.9108
40.649417 75.697 -179.1817
41.015628 75.685 -179.4684
41.381839 75.674 -179.7773
41.748050 75.661 179.8994
42.114261 75.646 179.5766
42.480472 75.629 179.2659
42.846683 75.612 178.9705
43.212894 75.596 178.6851
43.579105 75.582 178.4013
43.945316 75.569 178.1130
44.311527 75.556 177.8193
44.677738 75.541 177.5247
45.043949 75.524 177.2369
45.410160 75.506 176.9628
45.776371 75.489 176.7054
46.142582 75.472 176.4618
46.508793 75.457 176.2242
46.875004 75.444 175.9842
47.241215 75.431 175.7362
47.607426 75.417 175.4810
47.973637 75.402 175.2237
48.339848 75.385 174.9708
48.706059 75.367 174.7264
49.072270 75.350 174.4904
49.438481 75.332 174.2599
49.804692 75.315 174.0328
50.170902 75.298 173.8076
50.537113 75.282 173.5846
50.903324 75.266 173.3621
51.269535 75.251 173.1378
51.635746 75.236 172.9097
52.001957 75.220 172.6793
52.368168 75.203 172.4507
52.734379 75.185 172.2285
53.100590 75.167 172.0143
53.466801 75.150 171.8069
53.833012 75.134 171.6030
54.199223 75.118 171.4001
54.565434 75.103 171.1971
54.931645 75.088 170.9933
55.297856 75.073 170.7867
55.664067 75.058 170.5773
56.030278 75.041 170.3689
56.396489 75.022 170.1702
56.762700 75.003 169.9901
57.128911 74.985 169.8300
57.495122 74.971 169.6801
57.861333 74.960 169.5220
58.227544 74.951 169.3401
58.593755 74.940 169.1321
58.959966 74.925 168.9126
59.326177 74.906 168.7035
59.692388 74.884 168.5213
60.058599 74.863 168.3669
60.424810 74.845 168.2266
60.791021 74.830 168.0828
61.157232 74.816 167.9253
61.523442 74.801 167.7563
61.889653 74.784 167.5856
62.255864 74.766 167.4222
62.622075 74.749 167.2670
62.988286 74.732 167.1146
63.354497 74.715 166.9587
63.720708 74.699 166.7976
64.086919 74.681 166.6355
64.453130 74.663 166.4774
64.819341 74.645 166.3254
65.185552 74.627 166.1768
65.551763 74.611 166.0269
65.917974 74.595 165.8726
66.284185 74.578 165.7155
66.650396 74.560 165.5599
67.016607 74.541 165.4100
67.382818 74.523 165.2673
67.749029 74.505 165.1309
68.115240 74.487 164.9976
68.481451 74.471 164.8649
68.847662 74.454 164.7310
69.213873 74.438 164.5948
69.580084 74.422 164.4570
69.946295 74.404 164.3196
70.312506 74.387 164.1859
70.678717 74.369 164.0581
71.044928 74.351 163.9362
71.411139 74.334 163.8168
71.777350 74.318 163.6950
72.143561 74.302 163.5686
72.509771 74.286 163.4389
72.875982 74.269 163.3097
73.242193 74.252 163.1833
73.608404 74.235 163.0588
73.974615 74.218 162.9323
74.340826 74.201 162.8018
74.707037 74.182 162.6703
75.073248 74.161 162.5462
75.439459 74.140 162.4369
75.805670 74.120 162.3439
76.171881 74.102 162.2603
76.538092 74.086 162.1747
76.904303 74.072 162.0777
77.270514 74.058 161.9673
77.636725 74.043 161.8489
78.002936 74.027 161.7305
78.369147 74.010 161.6166
78.735358 73.993 161.5071
79.101569 73.977 161.3981
79.467780 73.960 161.2872
79.833991 73.944 161.1750
80.200202 73.926 161.0652
80.566413 73.909 160.9611
80.932624 73.891 160.8636
81.298835 73.875 160.7706
81.665046 73.859 160.6791
82.031257 73.843 160.5873
82.397468 73.828 160.4944
82.763679 73.813 160.4005
83.129890 73.798 160.3055
83.496101 73.782 160.2092
83.862311 73.766 160.1125
84.228522 73.749 160.0179
84.594733 73.732 159.9285
84.960944 73.714 159.8463
85.327155 73.696 159.7708
85.693366 73.680 159.6984
86.059577 73.664 159.6248
86.425788 73.649 159.5471
86.791999 73.634 159.4648
87.158210 73.618 159.3804
87.524421 73.603 159.2963
87.890632 73.587 159.2136
88.256843 73.571 159.1314
88.623054 73.556 159.0476
88.989265 73.540 158.9609
89.355476 73.525 158.8713
89.721687 73.509 158.7809
90.087898 73.492 158.6920
90.454109 73.476 158.6060
90.820320 73.459 158.5229
91.186531 73.443 158.4420
91.552742 73.427 158.3622
91.918953 73.410 158.2835
92.285164 73.394 158.2067
92.651375 73.378 158.1325
93.017586 73.362 158.0609
93.383797 73.347 157.9907
93.750008 73.331 157.9207
94.116219 73.316 157.8497
94.482430 73.301 157.7784
94.848641 73.286 157.7080
95.214851 73.270 157.6395
95.581062 73.255 157.5732
95.947273 73.239 157.5079
96.313484 73.225 157.4421
96.679695 73.210 157.3752
97.045906 73.195 157.3079
97.412117 73.180 157.2416
97.778328 73.164 157.1772
98.144539 73.149 157.1152
98.510750 73.134 157.0547
98.876961 73.120 156.9940
99.243172 73.105 156.9318
99.609383 73.091 156.8682
99.975594 73.076 156.8038
100.341805 73.062 156.7399
100.708016 73.046 156.6776
101.074227 73.031 156.6172
101.440438 73.016 156.5583
101.806649 73.001 156.5005
102.172860 72.985 156.4435
102.539071 72.970 156.3873
102.905282 72.954 156.3323
103.271493 72.939 156.2785
103.637704 72.924 156.2252
104.003915 72.909 156.1716
104.370126 72.893 156.1177
104.736337 72.878 156.0641
105.102548 72.862 156.0123
105.468759 72.846 155.9634
105.834970 72.831 155.9175
106.201180 72.816 155.8729
106.567391 72.802 155.8277
106.933602 72.788 155.7802
107.299813 72.774 155.7302
107.666024 72.760 155.6792
108.032235 72.746 155.6291
108.398446 72.731 155.5811
108.764657 72.717 155.5353
109.130868 72.702 155.4913
109.497079 72.689 155.4477
109.863290 72.675 155.4041
110.229501 72.661 155.3597
110.595712 72.648 155.3146
110.961923 72.634 155.2686
111.328134 72.620 155.2218
111.694345 72.606 155.1752
112.060556 72.591 155.1300
112.426767 72.577 155.0872
112.792978 72.562 155.0469
113.159189 72.547 155.0081
113.525400 72.533 154.9695
113.891611 72.519 154.9302
114.257822 72.505 154.8902
114.624033 72.490 154.8507
114.990244 72.476 154.8130
115.356455 72.461 154.7777
115.722666 72.447 154.7443
116.088877 72.433 154.7113
116.455088 72.420 154.6774
116.821299 72.406 154.6417
117.187510 72.393 154.6046
117.553720 72.379 154.5670
117.919931 72.366 154.5298
118.286142 72.352 154.4944
118.652353 72.338 154.4609
119.018564 72.324 154.4290
119.384775 72.311 154.3980
119.750986 72.297 154.3673
120.117197 72.284 154.3364
120.483408 72.271 154.3051
120.849619 72.258 154.2733
121.215830 72.244 154.2411
121.582041 72.231 154.2086
121.948252 72.218 154.1755
122.314463 72.205 154.1417
122.680674 72.191 154.1078
123.046885 72.178 154.0739
123.413096 72.164 154.0402
123.779307 72.150 154.0073
124.145518 72.136 153.9757
124.511729 72.122 153.9462
124.877940 72.108 153.9199
125.244151 72.095 153.8974
125.610362 72.082 153.8784
125.976573 72.070 153.8613
126.342784 72.059 153.8435
126.708995 72.049 153.8226
127.075206 72.039 153.7969
127.441417 72.029 153.7665
127.807628 72.019 153.7333
128.173839 72.008 153.6998
128.540049 71.997 153.6677
128.906260 71.986 153.6378
129.272471 71.974 153.6095
129.638682 71.963 153.5819
130.004893 71.952 153.5544
130.371104 71.940 153.5273
130.737315 71.928 153.5018
131.103526 71.915 153.4792
131.469737 71.903 153.4603
131.835948 71.891 153.4449
132.202159 71.879 153.4320
132.568370 71.868 153.4199
132.934581 71.857 153.4071
133.300792 71.846 153.3927
133.667003 71.835 153.3766
134.033214 71.825 153.3594
134.399425 71.814 153.3414
134.765636 71.803 153.3232
135.131847 71.792 153.3050
135.498058 71.781 153.2867
135.864269 71.770 153.2682
136.230480 71.759 153.2496
136.596691 71.747 153.2312
136.962902 71.736 153.2135
137.329113 71.725 153.1965
137.695324 71.714 153.1804
138.061535 71.703 153.1647
138.427746 71.692 153.1490
138.793957 71.681 153.1331
139.160168 71.670 153.1170
139.526379 71.659 153.1009
139.892589 71.649 153.0851
140.258800 71.638 153.0696
140.625011 71.627 153.0544
140.991222 71.617 153.0394
141.357433 71.606 153.0245
141.723644 71.596 153.0096
142.089855 71.585 152.9950
142.456066 71.575 152.9808
142.822277 71.564 152.9673
143.188488 71.554 152.9544
143.554699 71.543 152.9424
143.920910 71.532 152.9310
144.287121 71.522 152.9205
144.653332 71.511 152.9108
145.019543 71.500 152.9018
145.385754 71.490 152.8936
145.751965 71.479 152.8860
146.118176 71.469 152.8787
146.484387 71.459 152.8715
146.850598 71.448 152.8641
147.216809 71.439 152.8562
147.583020 71.429 152.8475
147.949231 71.419 152.8376
148.315442 71.409 152.8266
148.681653 71.400 152.8146
149.047864 71.390 152.8018
149.414075 71.380 152.7890
149.780286 71.370 152.7764
150.146497 71.360 152.7642
