* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 24, 2023 7:02:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JD7 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 70.366 -28.1800
0.732422 68.475 -56.6867
1.098633 64.700 -86.2750
1.464844 56.488 -121.7434
1.831055 51.951 64.5117
2.197266 61.657 22.7324
2.563477 64.993 -5.6404
2.929688 66.235 -30.2458
3.295899 66.251 -50.2027
3.662110 65.516 -62.6698
4.028321 64.926 -64.8590
4.394532 65.717 -61.5470
4.760743 67.543 -62.7757
5.126954 69.219 -69.4438
5.493164 70.300 -77.8679
5.859375 70.838 -85.1085
6.225586 71.095 -89.5967
6.591797 71.409 -91.5042
6.958008 71.956 -92.6333
7.324219 72.621 -94.6759
7.690430 73.189 -97.8231
8.056641 73.559 -101.2528
8.422852 73.769 -104.1330
8.789063 73.929 -106.2116
9.155274 74.123 -107.8662
9.521485 74.353 -109.6449
9.887696 74.565 -111.7582
10.253907 74.648 -114.0227
10.620118 74.652 -116.1584
10.986329 74.645 -118.0660
11.352540 74.655 -119.8620
11.718751 74.678 -121.7017
12.084962 74.696 -123.6093
12.451173 74.700 -125.4820
12.817384 74.744 -127.2192
13.183595 74.801 -128.8199
13.549806 74.866 -130.3567
13.916017 74.930 -131.8774
14.282228 74.981 -133.3514
14.648439 75.019 -134.7113
15.014650 75.053 -135.9317
15.380861 75.090 -137.0574
15.747072 75.127 -138.1561
16.113283 75.162 -139.2528
16.479493 75.192 -140.3183
16.845704 75.212 -141.3139
17.211915 75.229 -142.2412
17.578126 75.246 -143.1430
17.944337 75.263 -144.0621
18.310548 75.273 -145.0057
18.676759 75.276 -145.9499
19.042970 75.273 -146.8726
19.409181 75.269 -147.7731
19.775392 75.265 -148.6616
20.141603 75.260 -149.5359
20.507814 75.257 -150.3778
20.874025 75.258 -151.1749
21.240236 75.265 -151.9422
21.606447 75.280 -152.7152
21.972658 75.297 -153.5172
22.338869 75.309 -154.3361
22.705080 75.314 -155.1312
23.071291 75.314 -155.8684
23.437502 75.314 -156.5464
23.803713 75.317 -157.1940
24.169924 75.320 -157.8402
24.536135 75.319 -158.4884
24.902346 75.310 -159.1155
25.268557 75.297 -159.6945
25.634768 75.283 -160.2184
26.000979 75.272 -160.7066
26.367190 75.267 -161.1917
26.733401 75.264 -161.7005
27.099612 75.262 -162.2419
27.465823 75.255 -162.8069
27.832033 75.245 -163.3768
28.198244 75.231 -163.9337
28.564455 75.216 -164.4687
28.930666 75.203 -164.9843
29.296877 75.191 -165.4902
29.663088 75.181 -165.9940
30.029299 75.171 -166.4941
30.395510 75.160 -166.9802
30.761721 75.149 -167.4429
31.127932 75.139 -167.8823
31.494143 75.132 -168.3086
31.860354 75.126 -168.7337
32.226565 75.119 -169.1616
32.592776 75.110 -169.5862
32.958987 75.099 -169.9980
33.325198 75.086 -170.3923
33.691409 75.073 -170.7718
34.057620 75.060 -171.1433
34.423831 75.048 -171.5124
34.790042 75.034 -171.8819
35.156253 75.020 -172.2526
35.522464 75.006 -172.6242
35.888675 74.990 -172.9945
36.254886 74.973 -173.3591
36.621097 74.956 -173.7145
36.987308 74.940 -174.0620
37.353519 74.925 -174.4071
37.719730 74.911 -174.7553
38.085941 74.897 -175.1052
38.452152 74.882 -175.4486
38.818363 74.867 -175.7774
39.184573 74.854 -176.0922
39.550784 74.843 -176.4032
39.916995 74.834 -176.7223
40.283206 74.824 -177.0529
40.649417 74.812 -177.3863
41.015628 74.798 -177.7088
41.381839 74.782 -178.0124
41.748050 74.767 -178.2996
42.114261 74.753 -178.5798
42.480472 74.739 -178.8606
42.846683 74.725 -179.1425
43.212894 74.709 -179.4211
43.579105 74.693 -179.6921
43.945316 74.677 -179.9554
44.311527 74.662 179.7859
44.677738 74.647 179.5280
45.043949 74.634 179.2681
45.410160 74.620 179.0038
45.776371 74.607 178.7336
46.142582 74.592 178.4586
46.508793 74.576 178.1843
46.875004 74.558 177.9189
47.241215 74.540 177.6696
47.607426 74.522 177.4370
47.973637 74.507 177.2144
48.339848 74.494 176.9916
48.706059 74.482 176.7610
49.072270 74.469 176.5218
49.438481 74.456 176.2788
49.804692 74.441 176.0387
50.170902 74.426 175.8058
50.537113 74.411 175.5808
50.903324 74.396 175.3613
51.269535 74.381 175.1447
51.635746 74.367 174.9292
52.001957 74.353 174.7151
52.368168 74.338 174.5040
52.734379 74.323 174.2970
53.100590 74.309 174.0942
53.466801 74.295 173.8936
53.833012 74.282 173.6919
54.199223 74.269 173.4868
54.565434 74.255 173.2789
54.931645 74.240 173.0715
55.297856 74.224 172.8692
55.664067 74.208 172.6743
56.030278 74.192 172.4855
56.396489 74.176 172.2986
56.762700 74.161 172.1106
57.128911 74.144 171.9223
57.495122 74.127 171.7387
57.861333 74.109 171.5653
58.227544 74.092 171.4033
58.593755 74.077 171.2473
58.959966 74.063 171.0876
59.326177 74.051 170.9165
59.692388 74.038 170.7331
60.058599 74.023 170.5443
60.424810 74.007 170.3600
60.791021 73.990 170.1870
61.157232 73.974 170.0242
61.523442 73.959 169.8652
61.889653 73.945 169.7030
62.255864 73.932 169.5349
62.622075 73.918 169.3636
62.988286 73.902 169.1942
63.354497 73.886 169.0304
63.720708 73.870 168.8724
64.086919 73.854 168.7185
64.453130 73.838 168.5666
64.819341 73.822 168.4156
65.185552 73.806 168.2654
65.551763 73.790 168.1161
65.917974 73.774 167.9683
66.284185 73.757 167.8226
66.650396 73.741 167.6802
67.016607 73.724 167.5414
67.382818 73.708 167.4048
67.749029 73.692 167.2681
68.115240 73.676 167.1295
68.481451 73.660 166.9896
68.847662 73.643 166.8511
69.213873 73.626 166.7172
69.580084 73.609 166.5891
69.946295 73.593 166.4652
70.312506 73.578 166.3425
70.678717 73.563 166.2185
71.044928 73.548 166.0922
71.411139 73.533 165.9640
71.777350 73.517 165.8347
72.143561 73.502 165.7050
72.509771 73.485 165.5761
72.875982 73.469 165.4501
73.242193 73.451 165.3296
73.608404 73.434 165.2157
73.974615 73.418 165.1064
74.340826 73.404 164.9966
74.707037 73.390 164.8799
75.073248 73.376 164.7525
75.439459 73.361 164.6155
75.805670 73.345 164.4753
76.171881 73.326 164.3408
76.538092 73.306 164.2198
76.904303 73.287 164.1152
77.270514 73.268 164.0240
77.636725 73.252 163.9395
78.002936 73.238 163.8538
78.369147 73.225 163.7618
78.735358 73.212 163.6620
79.101569 73.199 163.5565
79.467780 73.185 163.4490
79.833991 73.171 163.3428
80.200202 73.156 163.2402
80.566413 73.140 163.1422
80.932624 73.125 163.0488
81.298835 73.110 162.9586
81.665046 73.095 162.8695
82.031257 73.081 162.7788
82.397468 73.067 162.6841
82.763679 73.053 162.5844
83.129890 73.038 162.4810
83.496101 73.021 162.3770
83.862311 73.004 162.2761
84.228522 72.986 162.1813
84.594733 72.968 162.0936
84.960944 72.951 162.0117
85.327155 72.935 161.9327
85.693366 72.919 161.8536
86.059577 72.904 161.7719
86.425788 72.890 161.6868
86.791999 72.876 161.5987
87.158210 72.861 161.5093
87.524421 72.847 161.4203
87.890632 72.832 161.3335
88.256843 72.817 161.2495
88.623054 72.802 161.1679
88.989265 72.788 161.0873
89.355476 72.775 161.0059
89.721687 72.761 160.9225
90.087898 72.747 160.8372
90.454109 72.733 160.7516
90.820320 72.718 160.6674
91.186531 72.703 160.5860
91.552742 72.688 160.5073
91.918953 72.673 160.4307
92.285164 72.658 160.3556
92.651375 72.642 160.2821
93.017586 72.627 160.2111
93.383797 72.612 160.1428
93.750008 72.597 160.0766
94.116219 72.582 160.0109
94.482430 72.568 159.9440
94.848641 72.554 159.8751
95.214851 72.540 159.8052
95.581062 72.525 159.7361
95.947273 72.510 159.6689
96.313484 72.495 159.6039
96.679695 72.481 159.5401
97.045906 72.466 159.4765
97.412117 72.452 159.4127
97.778328 72.438 159.3491
98.144539 72.423 159.2865
98.510750 72.409 159.2250
98.876961 72.395 159.1640
99.243172 72.381 159.1023
99.609383 72.368 159.0392
99.975594 72.354 158.9746
100.341805 72.340 158.9097
100.708016 72.325 158.8457
101.074227 72.311 158.7836
101.440438 72.297 158.7237
101.806649 72.282 158.6652
102.172860 72.268 158.6075
102.539071 72.254 158.5495
102.905282 72.240 158.4911
103.271493 72.226 158.4324
103.637704 72.212 158.3742
104.003915 72.197 158.3176
104.370126 72.183 158.2631
104.736337 72.168 158.2109
105.102548 72.154 158.1603
105.468759 72.139 158.1106
105.834970 72.125 158.0609
106.201180 72.111 158.0110
106.567391 72.097 157.9608
106.933602 72.083 157.9106
107.299813 72.069 157.8605
107.666024 72.055 157.8103
108.032235 72.041 157.7601
108.398446 72.027 157.7104
108.764657 72.013 157.6620
109.130868 71.998 157.6157
109.497079 71.984 157.5719
109.863290 71.970 157.5300
110.229501 71.957 157.4890
110.595712 71.943 157.4480
110.961923 71.930 157.4067
111.328134 71.918 157.3651
111.694345 71.905 157.3234
112.060556 71.892 157.2812
112.426767 71.880 157.2383
112.792978 71.867 157.1943
113.159189 71.854 157.1496
113.525400 71.841 157.1054
113.891611 71.827 157.0631
114.257822 71.813 157.0237
114.624033 71.799 156.9871
114.990244 71.786 156.9522
115.356455 71.772 156.9178
115.722666 71.759 156.8832
116.088877 71.746 156.8484
116.455088 71.733 156.8135
116.821299 71.720 156.7785
117.187510 71.707 156.7424
117.553720 71.694 156.7039
117.919931 71.681 156.6624
118.286142 71.668 156.6187
118.652353 71.654 156.5750
119.018564 71.640 156.5336
119.384775 71.626 156.4963
119.750986 71.612 156.4630
120.117197 71.598 156.4324
120.483408 71.585 156.4030
120.849619 71.572 156.3739
121.215830 71.559 156.3448
121.582041 71.547 156.3159
121.948252 71.535 156.2871
122.314463 71.523 156.2577
122.680674 71.512 156.2268
123.046885 71.500 156.1941
123.413096 71.488 156.1601
123.779307 71.477 156.1260
124.145518 71.464 156.0927
124.511729 71.452 156.0606
124.877940 71.440 156.0292
125.244151 71.429 155.9977
125.610362 71.417 155.9660
125.976573 71.405 155.9346
126.342784 71.394 155.9041
126.708995 71.382 155.8753
127.075206 71.370 155.8480
127.441417 71.359 155.8218
127.807628 71.348 155.7958
128.173839 71.336 155.7700
128.540049 71.325 155.7441
128.906260 71.314 155.7184
129.272471 71.304 155.6930
129.638682 71.293 155.6678
130.004893 71.282 155.6429
130.371104 71.272 155.6182
130.737315 71.261 155.5945
131.103526 71.250 155.5724
131.469737 71.239 155.5522
131.835948 71.229 155.5338
132.202159 71.218 155.5169
132.568370 71.208 155.5007
132.934581 71.198 155.4846
133.300792 71.188 155.4678
133.667003 71.179 155.4501
134.033214 71.169 155.4313
134.399425 71.158 155.4115
134.765636 71.148 155.3915
135.131847 71.137 155.3721
135.498058 71.125 155.3542
135.864269 71.114 155.3379
136.230480 71.103 155.3232
136.596691 71.091 155.3092
136.962902 71.080 155.2951
137.329113 71.069 155.2801
137.695324 71.058 155.2639
138.061535 71.047 155.2465
138.427746 71.036 155.2283
138.793957 71.025 155.2100
139.160168 71.014 155.1923
139.526379 71.003 155.1757
139.892589 70.992 155.1606
140.258800 70.981 155.1468
140.625011 70.971 155.1339
140.991222 70.960 155.1211
141.357433 70.951 155.1077
141.723644 70.941 155.0932
142.089855 70.932 155.0776
142.456066 70.922 155.0615
142.822277 70.912 155.0453
143.188488 70.903 155.0301
143.554699 70.893 155.0160
143.920910 70.883 155.0033
144.287121 70.873 154.9919
144.653332 70.863 154.9814
145.019543 70.853 154.9716
145.385754 70.843 154.9623
145.751965 70.833 154.9531
146.118176 70.823 154.9440
146.484387 70.813 154.9347
146.850598 70.804 154.9250
147.216809 70.794 154.9149
147.583020 70.784 154.9040
147.949231 70.774 154.8922
148.315442 70.765 154.8792
148.681653 70.755 154.8653
149.047864 70.745 154.8505
149.414075 70.735 154.8355
149.780286 70.725 154.8208
