* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 27, 2023 9:18:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: GT12X Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 57.220 161.9531
0.732422 55.574 144.7890
1.098633 52.485 130.3460
1.464844 47.148 125.6534
1.831055 41.179 167.2732
2.197266 45.918 -156.3320
2.563477 49.341 -160.1500
2.929688 50.812 -170.2378
3.295899 51.305 -179.5240
3.662110 51.511 174.2870
4.028321 52.017 170.8077
4.394532 53.041 167.4768
4.760743 54.344 162.4694
5.126954 55.608 156.1367
5.493164 56.690 149.7551
5.859375 57.605 144.3562
6.225586 58.446 140.2976
6.591797 59.294 137.2686
6.958008 60.166 134.6611
7.324219 61.015 132.0533
7.690430 61.788 129.3977
8.056641 62.464 126.8715
8.422852 63.056 124.6385
8.789063 63.596 122.7141
9.155274 64.106 120.9799
9.521485 64.591 119.2900
9.887696 65.043 117.5659
10.253907 65.386 115.8116
10.620118 65.663 114.0679
10.986329 65.915 112.3636
11.352540 66.150 110.6987
11.718751 66.374 109.0583
12.084962 66.589 107.4318
12.451173 66.798 105.8188
12.817384 67.048 104.2250
13.183595 67.299 102.6564
13.549806 67.542 101.1199
13.916017 67.777 99.6256
14.282228 68.005 98.1850
14.648439 68.225 96.8045
15.014650 68.439 95.4819
15.380861 68.647 94.2083
15.747072 68.847 92.9765
16.113283 69.042 91.7854
16.479493 69.237 90.6390
16.845704 69.423 89.5389
17.211915 69.600 88.4794
17.578126 69.770 87.4486
17.944337 69.932 86.4349
18.310548 70.086 85.4328
18.676759 70.231 84.4435
19.042970 70.368 83.4703
19.409181 70.499 82.5135
19.775392 70.625 81.5688
20.141603 70.748 80.6305
20.507814 70.868 79.6948
20.874025 70.984 78.7628
21.240236 71.096 77.8387
21.606447 71.204 76.9278
21.972658 71.308 76.0335
22.338869 71.410 75.1565
22.705080 71.510 74.2958
23.071291 71.607 73.4495
23.437502 71.701 72.6172
23.803713 71.792 71.7994
24.169924 71.880 70.9981
24.536135 71.964 70.2152
24.902346 72.044 69.4509
25.268557 72.121 68.7034
25.634768 72.196 67.9692
26.000979 72.267 67.2455
26.367190 72.334 66.5309
26.733401 72.398 65.8263
27.099612 72.458 65.1328
27.465823 72.515 64.4506
27.832033 72.569 63.7773
28.198244 72.622 63.1094
28.564455 72.673 62.4435
28.930666 72.721 61.7794
29.296877 72.766 61.1193
29.663088 72.810 60.4668
30.029299 72.852 59.8244
30.395510 72.892 59.1916
30.761721 72.932 58.5664
31.127932 72.971 57.9462
31.494143 73.009 57.3307
31.860354 73.044 56.7214
32.226565 73.078 56.1213
32.592776 73.110 55.5319
32.958987 73.141 54.9534
33.325198 73.171 54.3843
33.691409 73.199 53.8236
34.057620 73.226 53.2714
34.423831 73.251 52.7286
34.790042 73.275 52.1954
35.156253 73.298 51.6704
35.522464 73.321 51.1509
35.888675 73.342 50.6341
36.254886 73.362 50.1189
36.621097 73.380 49.6067
36.987308 73.397 49.0997
37.353519 73.413 48.5998
37.719730 73.428 48.1072
38.085941 73.442 47.6204
38.452152 73.457 47.1372
38.818363 73.470 46.6565
39.184573 73.483 46.1784
39.550784 73.495 45.7045
39.916995 73.506 45.2365
40.283206 73.517 44.7759
40.649417 73.528 44.3225
41.015628 73.539 43.8752
41.381839 73.550 43.4324
41.748050 73.561 42.9929
42.114261 73.570 42.5563
42.480472 73.579 42.1236
42.846683 73.588 41.6959
43.212894 73.595 41.2743
43.579105 73.602 40.8590
43.945316 73.609 40.4494
44.311527 73.615 40.0442
44.677738 73.621 39.6427
45.043949 73.627 39.2446
45.410160 73.632 38.8505
45.776371 73.637 38.4612
46.142582 73.642 38.0768
46.508793 73.646 37.6967
46.875004 73.651 37.3197
47.241215 73.655 36.9446
47.607426 73.659 36.5711
47.973637 73.663 36.2001
48.339848 73.665 35.8334
48.706059 73.668 35.4725
49.072270 73.670 35.1177
49.438481 73.672 34.7681
49.804692 73.674 34.4216
50.170902 73.677 34.0764
50.537113 73.679 33.7319
50.903324 73.681 33.3890
51.269535 73.682 33.0495
51.635746 73.683 32.7149
52.001957 73.684 32.3857
52.368168 73.685 32.0615
52.734379 73.686 31.7408
53.100590 73.687 31.4225
53.466801 73.688 31.1057
53.833012 73.689 30.7903
54.199223 73.689 30.4765
54.565434 73.690 30.1652
54.931645 73.690 29.8570
55.297856 73.689 29.5527
55.664067 73.689 29.2523
56.030278 73.689 28.9559
56.396489 73.688 28.6630
56.762700 73.688 28.3729
57.128911 73.687 28.0852
57.495122 73.687 27.7993
57.861333 73.686 27.5150
58.227544 73.685 27.2324
58.593755 73.684 26.9515
58.959966 73.682 26.6728
59.326177 73.681 26.3968
59.692388 73.679 26.1238
60.058599 73.677 25.8540
60.424810 73.675 25.5869
60.791021 73.673 25.3218
61.157232 73.671 25.0579
61.523442 73.669 24.7950
61.889653 73.667 24.5335
62.255864 73.665 24.2744
62.622075 73.663 24.0185
62.988286 73.660 23.7663
63.354497 73.657 23.5175
63.720708 73.654 23.2714
64.086919 73.651 23.0269
64.453130 73.649 22.7835
64.819341 73.646 22.5410
65.185552 73.643 22.2996
65.551763 73.639 22.0598
65.917974 73.636 21.8221
66.284185 73.632 21.5870
66.650396 73.628 21.3550
67.016607 73.624 21.1260
67.382818 73.620 20.8996
67.749029 73.617 20.6749
68.115240 73.613 20.4511
68.481451 73.609 20.2278
68.847662 73.605 20.0052
69.213873 73.601 19.7841
69.580084 73.597 19.5655
69.946295 73.593 19.3495
70.312506 73.588 19.1357
70.678717 73.584 18.9232
71.044928 73.581 18.7115
71.411139 73.577 18.5005
71.777350 73.572 18.2907
72.143561 73.568 18.0828
72.509771 73.564 17.8772
72.875982 73.559 17.6740
73.242193 73.555 17.4729
73.608404 73.551 17.2734
73.974615 73.547 17.0752
74.340826 73.543 16.8783
74.707037 73.538 16.6826
75.073248 73.534 16.4882
75.439459 73.529 16.2952
75.805670 73.525 16.1037
76.171881 73.520 15.9138
76.538092 73.516 15.7256
76.904303 73.511 15.5391
77.270514 73.506 15.3542
77.636725 73.501 15.1706
78.002936 73.497 14.9881
78.369147 73.492 14.8064
78.735358 73.487 14.6256
79.101569 73.482 14.4458
79.467780 73.478 14.2674
79.833991 73.473 14.0905
80.200202 73.468 13.9155
80.566413 73.463 13.7423
80.932624 73.458 13.5705
81.298835 73.453 13.3997
81.665046 73.449 13.2295
82.031257 73.444 13.0598
82.397468 73.439 12.8909
82.763679 73.434 12.7232
83.129890 73.429 12.5573
83.496101 73.424 12.3935
83.862311 73.419 12.2318
84.228522 73.414 12.0718
84.594733 73.410 11.9130
84.960944 73.405 11.7549
85.327155 73.400 11.5971
85.693366 73.396 11.4395
86.059577 73.391 11.2824
86.425788 73.386 11.1265
86.791999 73.381 10.9725
87.158210 73.375 10.8205
87.524421 73.370 10.6706
87.890632 73.365 10.5222
88.256843 73.360 10.3747
88.623054 73.355 10.2275
88.989265 73.350 10.0807
89.355476 73.345 9.9345
89.721687 73.340 9.7895
90.087898 73.335 9.6458
90.454109 73.329 9.5034
90.820320 73.324 9.3619
91.186531 73.319 9.2207
91.552742 73.314 9.0796
91.918953 73.309 8.9385
92.285164 73.303 8.7978
92.651375 73.298 8.6579
93.017586 73.292 8.5192
93.383797 73.287 8.3819
93.750008 73.281 8.2462
94.116219 73.275 8.1119
94.482430 73.270 7.9790
94.848641 73.264 7.8473
95.214851 73.258 7.7167
95.581062 73.253 7.5872
95.947273 73.247 7.4586
96.313484 73.242 7.3307
96.679695 73.237 7.2034
97.045906 73.231 7.0764
97.412117 73.226 6.9498
97.778328 73.220 6.8239
98.144539 73.215 6.6990
98.510750 73.209 6.5755
98.876961 73.203 6.4533
99.243172 73.197 6.3322
99.609383 73.192 6.2117
99.975594 73.186 6.0916
100.341805 73.181 5.9720
100.708016 73.175 5.8533
101.074227 73.169 5.7360
101.440438 73.163 5.6201
101.806649 73.157 5.5053
102.172860 73.152 5.3910
102.539071 73.146 5.2770
102.905282 73.141 5.1631
103.271493 73.135 5.0498
103.637704 73.130 4.9374
104.003915 73.124 4.8261
104.370126 73.119 4.7156
104.736337 73.113 4.6055
105.102548 73.108 4.4957
105.468759 73.102 4.3859
105.834970 73.097 4.2764
106.201180 73.091 4.1672
106.567391 73.086 4.0586
106.933602 73.080 3.9507
107.299813 73.074 3.8436
107.666024 73.068 3.7374
108.032235 73.062 3.6323
108.398446 73.056 3.5286
108.764657 73.050 3.4263
109.130868 73.044 3.3254
109.497079 73.038 3.2258
109.863290 73.033 3.1270
110.229501 73.027 3.0288
110.595712 73.021 2.9310
110.961923 73.015 2.8334
111.328134 73.010 2.7361
111.694345 73.004 2.6391
112.060556 72.998 2.5425
112.426767 72.992 2.4462
112.792978 72.987 2.3502
113.159189 72.981 2.2545
113.525400 72.975 2.1593
113.891611 72.969 2.0648
114.257822 72.963 1.9713
114.624033 72.956 1.8791
114.990244 72.950 1.7881
115.356455 72.944 1.6983
115.722666 72.939 1.6092
116.088877 72.933 1.5202
116.455088 72.927 1.4310
116.821299 72.922 1.3413
117.187510 72.916 1.2513
117.553720 72.911 1.1613
117.919931 72.905 1.0718
118.286142 72.899 0.9830
118.652353 72.893 0.8951
119.018564 72.887 0.8078
119.384775 72.881 0.7212
119.750986 72.875 0.6354
120.117197 72.869 0.5504
120.483408 72.863 0.4667
120.849619 72.857 0.3845
121.215830 72.851 0.3036
121.582041 72.845 0.2238
121.948252 72.839 0.1446
122.314463 72.833 0.0658
122.680674 72.828 -0.0128
123.046885 72.822 -0.0915
123.413096 72.816 -0.1701
123.779307 72.811 -0.2489
124.145518 72.805 -0.3277
124.511729 72.800 -0.4064
124.877940 72.795 -0.4850
125.244151 72.790 -0.5632
125.610362 72.785 -0.6411
125.976573 72.780 -0.7186
126.342784 72.776 -0.7960
126.708995 72.771 -0.8731
127.075206 72.767 -0.9502
127.441417 72.762 -1.0268
127.807628 72.758 -1.1029
128.173839 72.753 -1.1782
128.540049 72.749 -1.2524
128.906260 72.744 -1.3258
129.272471 72.740 -1.3983
129.638682 72.735 -1.4701
130.004893 72.731 -1.5412
130.371104 72.726 -1.6118
130.737315 72.722 -1.6818
131.103526 72.718 -1.7513
131.469737 72.713 -1.8206
131.835948 72.709 -1.8898
132.202159 72.705 -1.9590
132.568370 72.700 -2.0283
132.934581 72.696 -2.0976
133.300792 72.691 -2.1665
133.667003 72.687 -2.2350
134.033214 72.682 -2.3027
134.399425 72.677 -2.3697
134.765636 72.672 -2.4359
135.131847 72.668 -2.5015
135.498058 72.663 -2.5666
135.864269 72.658 -2.6312
136.230480 72.653 -2.6954
136.596691 72.649 -2.7593
136.962902 72.644 -2.8231
137.329113 72.640 -2.8867
137.695324 72.635 -2.9501
138.061535 72.631 -3.0132
138.427746 72.626 -3.0761
138.793957 72.622 -3.1386
139.160168 72.617 -3.2010
139.526379 72.613 -3.2632
139.892589 72.608 -3.3253
140.258800 72.604 -3.3871
140.625011 72.599 -3.4484
140.991222 72.595 -3.5091
141.357433 72.590 -3.5691
141.723644 72.586 -3.6284
142.089855 72.581 -3.6870
142.456066 72.577 -3.7450
142.822277 72.572 -3.8026
143.188488 72.568 -3.8600
143.554699 72.563 -3.9172
143.920910 72.559 -3.9744
144.287121 72.555 -4.0315
144.653332 72.550 -4.0884
145.019543 72.546 -4.1451
145.385754 72.541 -4.2013
145.751965 72.537 -4.2571
146.118176 72.532 -4.3124
146.484387 72.528 -4.3672
146.850598 72.523 -4.4218
147.216809 72.519 -4.4760
147.583020 72.514 -4.5301
147.949231 72.510 -4.5839
148.315442 72.505 -4.6374
148.681653 72.501 -4.6906
149.047864 72.496 -4.7434
149.414075 72.492 -4.7958
149.780286 72.487 -4.8478
150.146497 72.483 -4.8994
150.512708 72.478 -4.9505
150.878918 72.474 -5.0011
