* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 27, 2023 9:17:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: GT12X Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.112 -23.5420
0.732422 60.179 -47.5393
1.098633 56.531 -73.0266
1.464844 49.983 -104.4753
1.831055 38.673 168.9336
2.197266 44.031 72.6955
2.563477 44.009 38.2522
2.929688 33.831 -16.5548
3.295899 43.833 -162.5049
3.662110 50.667 172.7561
4.028321 53.574 156.7882
4.394532 54.666 146.8331
4.760743 54.944 144.1163
5.126954 55.457 147.6217
5.493164 56.717 151.2134
5.859375 58.188 150.5464
6.225586 59.318 146.7021
6.591797 60.000 142.1922
6.958008 60.394 138.7450
7.324219 60.756 136.7463
7.690430 61.258 135.3171
8.056641 61.880 133.3400
8.422852 62.499 130.5098
8.789063 63.028 127.2941
9.155274 63.473 124.2961
9.521485 63.893 121.7867
9.887696 64.332 119.6396
10.253907 64.723 117.5855
10.620118 65.079 115.5027
10.986329 65.406 113.4645
11.352540 65.705 111.5936
11.718751 65.986 109.9199
12.084962 66.257 108.3763
12.451173 66.516 106.8860
12.817384 66.799 105.4385
13.183595 67.065 104.0688
13.549806 67.313 102.7934
13.916017 67.550 101.5756
14.282228 67.777 100.3534
14.648439 67.989 99.0986
15.014650 68.183 97.8312
15.380861 68.361 96.5903
15.747072 68.532 95.3881
16.113283 68.704 94.2012
16.479493 68.884 92.9993
16.845704 69.059 91.7744
17.211915 69.226 90.5504
17.578126 69.386 89.3566
17.944337 69.543 88.2046
18.310548 69.698 87.0850
18.676759 69.852 85.9859
19.042970 70.002 84.9077
19.409181 70.146 83.8599
19.775392 70.286 82.8528
20.141603 70.422 81.8834
20.507814 70.555 80.9445
20.874025 70.683 80.0304
21.240236 70.804 79.1415
21.606447 70.920 78.2775
21.972658 71.030 77.4328
22.338869 71.136 76.5988
22.705080 71.235 75.7700
23.071291 71.328 74.9479
23.437502 71.415 74.1388
23.803713 71.497 73.3444
24.169924 71.577 72.5579
24.536135 71.655 71.7720
24.902346 71.730 70.9827
25.268557 71.802 70.1953
25.634768 71.870 69.4177
26.000979 71.937 68.6543
26.367190 72.003 67.9030
26.733401 72.068 67.1597
27.099612 72.131 66.4223
27.465823 72.192 65.6943
27.832033 72.251 64.9801
28.198244 72.308 64.2813
28.564455 72.363 63.5972
28.930666 72.416 62.9268
29.296877 72.466 62.2702
29.663088 72.514 61.6276
30.029299 72.560 60.9978
30.395510 72.604 60.3784
30.761721 72.646 59.7655
31.127932 72.685 59.1589
31.494143 72.721 58.5601
31.860354 72.755 57.9710
32.226565 72.788 57.3909
32.592776 72.819 56.8165
32.958987 72.849 56.2451
33.325198 72.877 55.6747
33.691409 72.904 55.1072
34.057620 72.930 54.5441
34.423831 72.955 53.9873
34.790042 72.978 53.4379
35.156253 73.001 52.8961
35.522464 73.023 52.3617
35.888675 73.045 51.8344
36.254886 73.066 51.3141
36.621097 73.086 50.8009
36.987308 73.105 50.2961
37.353519 73.123 49.7993
37.719730 73.141 49.3110
38.085941 73.158 48.8299
38.452152 73.175 48.3537
38.818363 73.191 47.8819
39.184573 73.205 47.4149
39.550784 73.218 46.9540
39.916995 73.231 46.5005
40.283206 73.244 46.0533
40.649417 73.257 45.6102
41.015628 73.269 45.1696
41.381839 73.280 44.7310
41.748050 73.291 44.2967
42.114261 73.301 43.8675
42.480472 73.310 43.4442
42.846683 73.319 43.0264
43.212894 73.327 42.6139
43.579105 73.335 42.2057
43.945316 73.343 41.8017
44.311527 73.351 41.4018
44.677738 73.358 41.0056
45.043949 73.365 40.6135
45.410160 73.371 40.2260
45.776371 73.377 39.8435
46.142582 73.382 39.4662
46.508793 73.387 39.0931
46.875004 73.392 38.7234
47.241215 73.397 38.3568
47.607426 73.401 37.9935
47.973637 73.405 37.6333
48.339848 73.409 37.2769
48.706059 73.413 36.9236
49.072270 73.416 36.5735
49.438481 73.419 36.2268
49.804692 73.422 35.8832
50.170902 73.424 35.5431
50.537113 73.427 35.2064
50.903324 73.430 34.8732
51.269535 73.432 34.5435
51.635746 73.434 34.2180
52.001957 73.436 33.8964
52.368168 73.438 33.5785
52.734379 73.440 33.2635
53.100590 73.442 32.9511
53.466801 73.443 32.6419
53.833012 73.444 32.3358
54.199223 73.445 32.0327
54.565434 73.446 31.7324
54.931645 73.446 31.4339
55.297856 73.447 31.1373
55.664067 73.447 30.8433
56.030278 73.447 30.5521
56.396489 73.447 30.2642
56.762700 73.446 29.9795
57.128911 73.446 29.6970
57.495122 73.446 29.4163
57.861333 73.446 29.1368
58.227544 73.446 28.8591
58.593755 73.446 28.5839
58.959966 73.445 28.3120
59.326177 73.444 28.0440
59.692388 73.443 27.7800
60.058599 73.443 27.5190
60.424810 73.442 27.2601
60.791021 73.442 27.0021
61.157232 73.442 26.7451
61.523442 73.441 26.4894
61.889653 73.439 26.2363
62.255864 73.438 25.9863
62.622075 73.436 25.7398
62.988286 73.434 25.4962
63.354497 73.432 25.2549
63.720708 73.429 25.0153
64.086919 73.427 24.7766
64.453130 73.424 24.5386
64.819341 73.422 24.3014
65.185552 73.419 24.0654
65.551763 73.415 23.8312
65.917974 73.412 23.5996
66.284185 73.409 23.3712
66.650396 73.406 23.1457
67.016607 73.403 22.9222
67.382818 73.400 22.7001
67.749029 73.397 22.4787
68.115240 73.394 22.2580
68.481451 73.391 22.0385
68.847662 73.388 21.8208
69.213873 73.385 21.6053
69.580084 73.382 21.3926
69.946295 73.378 21.1821
70.312506 73.375 20.9735
70.678717 73.371 20.7664
71.044928 73.368 20.5609
71.411139 73.364 20.3574
71.777350 73.360 20.1563
72.143561 73.356 19.9575
72.509771 73.353 19.7607
72.875982 73.349 19.5650
73.242193 73.346 19.3695
73.608404 73.342 19.1744
73.974615 73.339 18.9800
74.340826 73.335 18.7871
74.707037 73.331 18.5963
75.073248 73.327 18.4074
75.439459 73.324 18.2197
75.805670 73.320 18.0327
76.171881 73.316 17.8457
76.538092 73.313 17.6592
76.904303 73.309 17.4739
77.270514 73.305 17.2905
77.636725 73.301 17.1096
78.002936 73.296 16.9311
78.369147 73.292 16.7544
78.735358 73.288 16.5786
79.101569 73.284 16.4033
79.467780 73.280 16.2286
79.833991 73.276 16.0549
80.200202 73.272 15.8831
80.566413 73.267 15.7137
80.932624 73.263 15.5464
81.298835 73.259 15.3812
81.665046 73.255 15.2170
82.031257 73.251 15.0534
82.397468 73.247 14.8902
82.763679 73.243 14.7276
83.129890 73.239 14.5660
83.496101 73.235 14.4056
83.862311 73.231 14.2461
84.228522 73.227 14.0872
84.594733 73.223 13.9289
84.960944 73.219 13.7711
85.327155 73.215 13.6144
85.693366 73.210 13.4596
86.059577 73.206 13.3067
86.425788 73.202 13.1553
86.791999 73.197 13.0047
87.158210 73.193 12.8545
87.524421 73.189 12.7047
87.890632 73.184 12.5556
88.256843 73.180 12.4078
88.623054 73.176 12.2612
88.989265 73.171 12.1153
89.355476 73.167 11.9699
89.721687 73.163 11.8248
90.087898 73.158 11.6805
90.454109 73.153 11.5375
90.820320 73.149 11.3964
91.186531 73.144 11.2571
91.552742 73.139 11.1194
91.918953 73.135 10.9828
92.285164 73.131 10.8470
92.651375 73.126 10.7117
93.017586 73.122 10.5770
93.383797 73.117 10.4429
93.750008 73.113 10.3100
94.116219 73.108 10.1780
94.482430 73.104 10.0474
94.848641 73.099 9.9176
95.214851 73.095 9.7883
95.581062 73.091 9.6591
95.947273 73.086 9.5300
96.313484 73.082 9.4012
96.679695 73.077 9.2732
97.045906 73.073 9.1465
97.412117 73.068 9.0212
97.778328 73.063 8.8967
98.144539 73.059 8.7724
98.510750 73.055 8.6479
98.876961 73.050 8.5233
99.243172 73.045 8.3990
99.609383 73.041 8.2756
99.975594 73.036 8.1533
100.341805 73.031 8.0321
100.708016 73.026 7.9119
101.074227 73.021 7.7926
101.440438 73.016 7.6743
101.806649 73.011 7.5571
102.172860 73.006 7.4412
102.539071 73.001 7.3264
102.905282 72.996 7.2126
103.271493 72.991 7.0993
103.637704 72.986 6.9867
104.003915 72.982 6.8748
104.370126 72.977 6.7637
104.736337 72.972 6.6533
105.102548 72.967 6.5436
105.468759 72.962 6.4345
105.834970 72.957 6.3257
106.201180 72.953 6.2172
106.567391 72.948 6.1091
106.933602 72.943 6.0016
107.299813 72.938 5.8948
107.666024 72.933 5.7889
108.032235 72.929 5.6835
108.398446 72.924 5.5786
108.764657 72.919 5.4742
109.130868 72.914 5.3701
109.497079 72.909 5.2667
109.863290 72.904 5.1638
110.229501 72.899 5.0616
110.595712 72.894 4.9605
110.961923 72.889 4.8603
111.328134 72.884 4.7612
111.694345 72.879 4.6635
112.060556 72.874 4.5666
112.426767 72.869 4.4707
112.792978 72.865 4.3753
113.159189 72.860 4.2800
113.525400 72.855 4.1846
113.891611 72.850 4.0889
114.257822 72.846 3.9932
114.624033 72.841 3.8978
114.990244 72.836 3.8032
115.356455 72.831 3.7095
115.722666 72.825 3.6169
116.088877 72.820 3.5252
116.455088 72.815 3.4342
116.821299 72.810 3.3436
117.187510 72.805 3.2535
117.553720 72.800 3.1638
117.919931 72.795 3.0745
118.286142 72.789 2.9860
118.652353 72.784 2.8981
119.018564 72.779 2.8107
119.384775 72.774 2.7238
119.750986 72.769 2.6369
120.117197 72.764 2.5500
120.483408 72.759 2.4630
120.849619 72.754 2.3761
121.215830 72.749 2.2893
121.582041 72.744 2.2029
121.948252 72.739 2.1168
122.314463 72.733 2.0312
122.680674 72.728 1.9462
123.046885 72.723 1.8619
123.413096 72.718 1.7784
123.779307 72.713 1.6960
124.145518 72.707 1.6145
124.511729 72.703 1.5340
124.877940 72.698 1.4541
125.244151 72.694 1.3746
125.610362 72.690 1.2952
125.976573 72.686 1.2159
126.342784 72.682 1.1370
126.708995 72.678 1.0586
127.075206 72.674 0.9809
127.441417 72.671 0.9040
127.807628 72.667 0.8278
128.173839 72.663 0.7519
128.540049 72.660 0.6763
128.906260 72.656 0.6006
129.272471 72.653 0.5248
129.638682 72.649 0.4491
130.004893 72.645 0.3735
130.371104 72.642 0.2983
130.737315 72.638 0.2235
131.103526 72.634 0.1493
131.469737 72.630 0.0758
131.835948 72.626 0.0031
132.202159 72.622 -0.0690
132.568370 72.618 -0.1404
132.934581 72.614 -0.2115
133.300792 72.611 -0.2822
133.667003 72.607 -0.3526
134.033214 72.603 -0.4227
134.399425 72.599 -0.4922
134.765636 72.595 -0.5612
135.131847 72.591 -0.6299
135.498058 72.587 -0.6982
135.864269 72.584 -0.7664
136.230480 72.580 -0.8345
136.596691 72.576 -0.9025
136.962902 72.572 -0.9703
137.329113 72.568 -1.0378
137.695324 72.564 -1.1046
138.061535 72.561 -1.1708
138.427746 72.557 -1.2362
138.793957 72.553 -1.3010
139.160168 72.549 -1.3651
139.526379 72.545 -1.4288
139.892589 72.541 -1.4924
140.258800 72.538 -1.5559
140.625011 72.534 -1.6194
140.991222 72.530 -1.6831
141.357433 72.526 -1.7466
141.723644 72.523 -1.8100
142.089855 72.519 -1.8730
142.456066 72.515 -1.9358
142.822277 72.511 -1.9982
143.188488 72.507 -2.0602
143.554699 72.503 -2.1219
143.920910 72.499 -2.1831
144.287121 72.495 -2.2438
144.653332 72.490 -2.3041
145.019543 72.486 -2.3640
145.385754 72.482 -2.4236
145.751965 72.478 -2.4830
146.118176 72.474 -2.5421
146.484387 72.470 -2.6009
146.850598 72.466 -2.6593
147.216809 72.462 -2.7173
147.583020 72.458 -2.7750
147.949231 72.454 -2.8327
148.315442 72.451 -2.8904
148.681653 72.447 -2.9482
149.047864 72.443 -3.0060
149.414075 72.439 -3.0637
149.780286 72.434 -3.1209
150.146497 72.430 -3.1778
150.512708 72.426 -3.2341
150.878918 72.422 -3.2899
151.245129 72.417 -3.3450
151.611340 72.413 -3.3997
