* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 27, 2023 9:12:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ST8B Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.477 162.2791
0.732422 57.870 145.4459
1.098633 54.871 131.3190
1.464844 49.752 126.5801
1.831055 43.867 164.2109
2.197266 48.101 -157.7284
2.563477 51.623 -160.2415
2.929688 53.242 -169.9370
3.295899 53.897 -179.3173
3.662110 54.250 173.9514
4.028321 54.834 169.7142
4.394532 55.872 165.8908
4.760743 57.183 160.8022
5.126954 58.487 154.5549
5.493164 59.638 148.1716
5.859375 60.627 142.5605
6.225586 61.525 138.0897
6.591797 62.402 134.5654
6.958008 63.279 131.5074
7.324219 64.128 128.5322
7.690430 64.906 125.5439
8.056641 65.593 122.6532
8.422852 66.196 119.9927
8.789063 66.741 117.5920
9.155274 67.248 115.3672
9.521485 67.725 113.1971
9.887696 68.166 111.0059
10.253907 68.497 108.7887
10.620118 68.760 106.5819
10.986329 68.995 104.4182
11.352540 69.212 102.3039
11.718751 69.415 100.2258
12.084962 69.607 98.1710
12.451173 69.790 96.1395
12.817384 70.011 94.1425
13.183595 70.229 92.1932
13.549806 70.438 90.3019
13.916017 70.638 88.4742
14.282228 70.828 86.7144
14.648439 71.010 85.0245
15.014650 71.183 83.4036
15.380861 71.348 81.8468
15.747072 71.504 80.3476
16.113283 71.655 78.9006
16.479493 71.805 77.5031
16.845704 71.945 76.1537
17.211915 72.076 74.8496
17.578126 72.197 73.5855
17.944337 72.309 72.3543
18.310548 72.414 71.1498
18.676759 72.511 69.9681
19.042970 72.602 68.8072
19.409181 72.687 67.6658
19.775392 72.768 66.5430
20.141603 72.845 65.4374
20.507814 72.921 64.3482
20.874025 72.994 63.2754
21.240236 73.064 62.2205
21.606447 73.131 61.1861
21.972658 73.195 60.1757
22.338869 73.257 59.1920
22.705080 73.318 58.2362
23.071291 73.376 57.3075
23.437502 73.433 56.4036
23.803713 73.488 55.5224
24.169924 73.541 54.6633
24.536135 73.590 53.8271
24.902346 73.636 53.0142
25.268557 73.680 52.2240
25.634768 73.721 51.4538
26.000979 73.760 50.7003
26.367190 73.796 49.9607
26.733401 73.829 49.2338
27.099612 73.860 48.5192
27.465823 73.889 47.8165
27.832033 73.916 47.1252
28.198244 73.941 46.4438
28.564455 73.965 45.7715
28.930666 73.989 45.1073
29.296877 74.011 44.4509
29.663088 74.033 43.8021
30.029299 74.053 43.1614
30.395510 74.073 42.5301
30.761721 74.092 41.9102
31.127932 74.110 41.3035
31.494143 74.128 40.7107
31.860354 74.145 40.1311
32.226565 74.161 39.5631
32.592776 74.178 39.0054
32.958987 74.193 38.4573
33.325198 74.207 37.9193
33.691409 74.220 37.3921
34.057620 74.232 36.8758
34.423831 74.244 36.3696
34.790042 74.254 35.8722
35.156253 74.264 35.3819
35.522464 74.273 34.8977
35.888675 74.281 34.4185
36.254886 74.288 33.9444
36.621097 74.294 33.4756
36.987308 74.300 33.0131
37.353519 74.305 32.5577
37.719730 74.309 32.1097
38.085941 74.313 31.6684
38.452152 74.318 31.2325
38.818363 74.322 30.8010
39.184573 74.326 30.3733
39.550784 74.330 29.9501
39.916995 74.333 29.5325
40.283206 74.337 29.1214
40.649417 74.341 28.7171
41.015628 74.345 28.3186
41.381839 74.348 27.9252
41.748050 74.351 27.5364
42.114261 74.354 27.1527
42.480472 74.356 26.7749
42.846683 74.357 26.4037
43.212894 74.358 26.0389
43.579105 74.359 25.6797
43.945316 74.360 25.3251
44.311527 74.361 24.9743
44.677738 74.362 24.6269
45.043949 74.362 24.2830
45.410160 74.363 23.9427
45.776371 74.363 23.6057
46.142582 74.363 23.2717
46.508793 74.362 22.9408
46.875004 74.362 22.6133
47.241215 74.361 22.2899
47.607426 74.360 21.9710
47.973637 74.359 21.6567
48.339848 74.357 21.3464
48.706059 74.356 21.0393
49.072270 74.355 20.7348
49.438481 74.353 20.4329
49.804692 74.351 20.1339
50.170902 74.349 19.8386
50.537113 74.347 19.5471
50.903324 74.345 19.2590
51.269535 74.343 18.9735
51.635746 74.341 18.6899
52.001957 74.338 18.4079
52.368168 74.336 18.1283
52.734379 74.333 17.8521
53.100590 74.329 17.5801
53.466801 74.326 17.3121
53.833012 74.323 17.0474
54.199223 74.320 16.7848
54.565434 74.317 16.5238
54.931645 74.314 16.2642
55.297856 74.311 16.0065
55.664067 74.308 15.7513
56.030278 74.305 15.4988
56.396489 74.301 15.2488
56.762700 74.297 15.0012
57.128911 74.294 14.7558
57.495122 74.290 14.5128
57.861333 74.286 14.2722
58.227544 74.282 14.0340
58.593755 74.278 13.7978
58.959966 74.273 13.5637
59.326177 74.269 13.3316
59.692388 74.264 13.1016
60.058599 74.260 12.8741
60.424810 74.255 12.6489
60.791021 74.250 12.4257
61.157232 74.246 12.2042
61.523442 74.241 11.9841
61.889653 74.236 11.7655
62.255864 74.232 11.5489
62.622075 74.226 11.3349
62.988286 74.221 11.1238
63.354497 74.215 10.9156
63.720708 74.209 10.7098
64.086919 74.204 10.5055
64.453130 74.198 10.3020
64.819341 74.192 10.0991
65.185552 74.186 9.8971
65.551763 74.180 9.6967
65.917974 74.173 9.4987
66.284185 74.167 9.3034
66.650396 74.160 9.1105
67.016607 74.154 8.9191
67.382818 74.147 8.7286
67.749029 74.141 8.5383
68.115240 74.134 8.3483
68.481451 74.128 8.1591
68.847662 74.121 7.9715
69.213873 74.114 7.7859
69.580084 74.107 7.6027
69.946295 74.100 7.4218
70.312506 74.093 7.2429
70.678717 74.086 7.0656
71.044928 74.080 6.8894
71.411139 74.073 6.7139
71.777350 74.067 6.5390
72.143561 74.060 6.3647
72.509771 74.054 6.1914
72.875982 74.047 6.0196
73.242193 74.040 5.8497
73.608404 74.033 5.6816
73.974615 74.026 5.5151
74.340826 74.020 5.3498
74.707037 74.013 5.1853
75.073248 74.006 5.0213
75.439459 73.999 4.8581
75.805670 73.992 4.6958
76.171881 73.984 4.5348
76.538092 73.977 4.3751
76.904303 73.970 4.2167
77.270514 73.962 4.0594
77.636725 73.955 3.9033
78.002936 73.947 3.7488
78.369147 73.939 3.5962
78.735358 73.932 3.4453
79.101569 73.925 3.2957
79.467780 73.918 3.1467
79.833991 73.911 2.9974
80.200202 73.904 2.8477
80.566413 73.897 2.6982
80.932624 73.890 2.5498
81.298835 73.882 2.4037
81.665046 73.875 2.2603
82.031257 73.867 2.1194
82.397468 73.860 1.9800
82.763679 73.853 1.8411
83.129890 73.847 1.7020
83.496101 73.840 1.5622
83.862311 73.833 1.4224
84.228522 73.826 1.2832
84.594733 73.819 1.1456
84.960944 73.811 1.0102
85.327155 73.804 0.8769
85.693366 73.796 0.7453
86.059577 73.789 0.6146
86.425788 73.782 0.4839
86.791999 73.775 0.3528
87.158210 73.768 0.2214
87.524421 73.761 0.0905
87.890632 73.754 -0.0391
88.256843 73.746 -0.1668
88.623054 73.738 -0.2924
88.989265 73.731 -0.4164
89.355476 73.724 -0.5396
89.721687 73.716 -0.6626
90.087898 73.709 -0.7857
90.454109 73.702 -0.9086
90.820320 73.694 -1.0309
91.186531 73.686 -1.1521
91.552742 73.679 -1.2717
91.918953 73.671 -1.3900
92.285164 73.664 -1.5074
92.651375 73.656 -1.6244
93.017586 73.649 -1.7414
93.383797 73.642 -1.8584
93.750008 73.634 -1.9753
94.116219 73.627 -2.0914
94.482430 73.619 -2.2063
94.848641 73.612 -2.3200
95.214851 73.604 -2.4327
95.581062 73.597 -2.5450
95.947273 73.589 -2.6574
96.313484 73.582 -2.7696
96.679695 73.574 -2.8813
97.045906 73.566 -2.9918
97.412117 73.559 -3.1007
97.778328 73.551 -3.2080
98.144539 73.543 -3.3140
98.510750 73.536 -3.4194
98.876961 73.529 -3.5247
99.243172 73.521 -3.6301
99.609383 73.514 -3.7353
99.975594 73.507 -3.8399
100.341805 73.499 -3.9434
100.708016 73.492 -4.0458
101.074227 73.485 -4.1474
101.440438 73.477 -4.2487
101.806649 73.470 -4.3502
102.172860 73.463 -4.4520
102.539071 73.456 -4.5539
102.905282 73.448 -4.6550
103.271493 73.441 -4.7545
103.637704 73.433 -4.8519
104.003915 73.425 -4.9473
104.370126 73.417 -5.0413
104.736337 73.410 -5.1345
105.102548 73.402 -5.2275
105.468759 73.395 -5.3205
105.834970 73.388 -5.4135
106.201180 73.380 -5.5063
106.567391 73.373 -5.5991
106.933602 73.366 -5.6919
107.299813 73.358 -5.7850
107.666024 73.351 -5.8781
108.032235 73.344 -5.9710
108.398446 73.336 -6.0631
108.764657 73.328 -6.1541
109.130868 73.320 -6.2435
109.497079 73.313 -6.3314
109.863290 73.305 -6.4180
110.229501 73.298 -6.5036
110.595712 73.290 -6.5887
110.961923 73.283 -6.6735
111.328134 73.276 -6.7582
111.694345 73.269 -6.8431
112.060556 73.262 -6.9279
112.426767 73.254 -7.0127
112.792978 73.247 -7.0974
113.159189 73.240 -7.1819
113.525400 73.233 -7.2662
113.891611 73.225 -7.3501
114.257822 73.217 -7.4334
114.624033 73.210 -7.5158
114.990244 73.202 -7.5972
115.356455 73.195 -7.6775
115.722666 73.187 -7.7569
116.088877 73.179 -7.8357
116.455088 73.172 -7.9144
116.821299 73.165 -7.9932
117.187510 73.158 -8.0721
117.553720 73.150 -8.1509
117.919931 73.143 -8.2292
118.286142 73.136 -8.3068
118.652353 73.128 -8.3837
119.018564 73.121 -8.4599
119.384775 73.114 -8.5358
119.750986 73.107 -8.6113
120.117197 73.099 -8.6866
120.483408 73.092 -8.7613
120.849619 73.085 -8.8354
121.215830 73.077 -8.9087
121.582041 73.070 -8.9812
121.948252 73.063 -9.0531
122.314463 73.056 -9.1248
122.680674 73.049 -9.1965
123.046885 73.041 -9.2684
123.413096 73.034 -9.3402
123.779307 73.027 -9.4116
124.145518 73.020 -9.4824
124.511729 73.013 -9.5525
124.877940 73.006 -9.6221
125.244151 72.999 -9.6915
125.610362 72.993 -9.7610
125.976573 72.987 -9.8307
126.342784 72.981 -9.9003
126.708995 72.975 -9.9694
127.075206 72.969 -10.0375
127.441417 72.963 -10.1044
127.807628 72.957 -10.1703
128.173839 72.951 -10.2355
128.540049 72.946 -10.3006
128.906260 72.940 -10.3660
129.272471 72.935 -10.4316
129.638682 72.929 -10.4974
130.004893 72.924 -10.5631
130.371104 72.918 -10.6283
130.737315 72.913 -10.6929
131.103526 72.907 -10.7568
131.469737 72.901 -10.8201
131.835948 72.895 -10.8829
132.202159 72.890 -10.9453
132.568370 72.884 -11.0072
132.934581 72.878 -11.0685
133.300792 72.872 -11.1291
133.667003 72.866 -11.1890
134.033214 72.860 -11.2483
134.399425 72.855 -11.3073
134.765636 72.849 -11.3663
135.131847 72.843 -11.4255
135.498058 72.838 -11.4852
135.864269 72.832 -11.5453
136.230480 72.826 -11.6055
136.596691 72.821 -11.6656
136.962902 72.815 -11.7253
137.329113 72.809 -11.7842
137.695324 72.803 -11.8423
138.061535 72.797 -11.8994
138.427746 72.791 -11.9558
138.793957 72.785 -12.0116
139.160168 72.780 -12.0672
139.526379 72.774 -12.1231
139.892589 72.769 -12.1792
140.258800 72.763 -12.2356
140.625011 72.758 -12.2918
140.991222 72.752 -12.3474
141.357433 72.747 -12.4022
141.723644 72.741 -12.4560
142.089855 72.736 -12.5091
142.456066 72.730 -12.5617
142.822277 72.725 -12.6141
143.188488 72.719 -12.6668
143.554699 72.714 -12.7196
143.920910 72.709 -12.7727
144.287121 72.703 -12.8258
144.653332 72.698 -12.8785
145.019543 72.692 -12.9308
145.385754 72.686 -12.9824
145.751965 72.680 -13.0334
146.118176 72.675 -13.0839
146.484387 72.669 -13.1341
146.850598 72.663 -13.1841
147.216809 72.658 -13.2340
147.583020 72.652 -13.2838
147.949231 72.647 -13.3334
148.315442 72.641 -13.3829
148.681653 72.635 -13.4322
