* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 7:05:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aphex Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.348 162.6699
0.732422 61.684 145.1229
1.098633 58.608 126.6273
1.464844 53.394 103.6864
1.831055 45.139 50.7828
2.197266 47.305 -32.8642
2.563477 51.221 -51.2402
2.929688 53.469 -50.1528
3.295899 55.847 -44.1312
3.662110 58.383 -41.3441
4.028321 60.530 -42.5902
4.394532 62.116 -45.7300
4.760743 63.238 -49.0115
5.126954 64.083 -51.6220
5.493164 64.825 -53.6100
5.859375 65.555 -55.5381
6.225586 66.271 -57.9237
6.591797 66.927 -60.8835
6.958008 67.494 -64.1952
7.324219 67.979 -67.5505
7.690430 68.413 -70.7521
8.056641 68.830 -73.7663
8.422852 69.244 -76.6576
8.789063 69.656 -79.4879
9.155274 70.057 -82.2634
9.521485 70.442 -84.9507
9.887696 70.807 -87.5177
10.253907 71.152 -89.9533
10.620118 71.475 -92.2565
10.986329 71.772 -94.4198
11.352540 72.045 -96.4280
11.718751 72.295 -98.2768
12.084962 72.530 -99.9891
12.451173 72.752 -101.6120
12.817384 72.960 -103.1934
13.183595 73.151 -104.7599
13.549806 73.322 -106.3119
13.916017 73.475 -107.8378
14.282228 73.612 -109.3318
14.648439 73.737 -110.7987
15.014650 73.851 -112.2465
15.380861 73.957 -113.6758
15.747072 74.055 -115.0778
16.113283 74.148 -116.4429
16.479493 74.239 -117.7706
16.845704 74.331 -119.0704
17.211915 74.422 -120.3537
17.578126 74.512 -121.6225
17.944337 74.598 -122.8671
18.310548 74.679 -124.0716
18.676759 74.756 -125.2242
19.042970 74.830 -126.3228
19.409181 74.901 -127.3734
19.775392 74.969 -128.3839
20.141603 75.033 -129.3578
20.507814 75.091 -130.2945
20.874025 75.144 -131.1917
21.240236 75.193 -132.0501
21.606447 75.239 -132.8767
21.972658 75.283 -133.6837
22.338869 75.324 -134.4842
22.705080 75.362 -135.2866
23.071291 75.395 -136.0894
23.437502 75.423 -136.8834
23.803713 75.448 -137.6579
24.169924 75.471 -138.4109
24.536135 75.495 -139.1519
24.902346 75.519 -139.8959
25.268557 75.543 -140.6496
25.634768 75.562 -141.4030
26.000979 75.577 -142.1326
26.367190 75.590 -142.8173
26.733401 75.605 -143.4548
27.099612 75.625 -144.0649
27.465823 75.649 -144.6754
27.832033 75.674 -145.3006
28.198244 75.695 -145.9319
28.564455 75.711 -146.5459
28.930666 75.725 -147.1252
29.296877 75.739 -147.6733
29.663088 75.756 -148.2117
30.029299 75.772 -148.7608
30.395510 75.786 -149.3227
30.761721 75.793 -149.8794
31.127932 75.797 -150.4086
31.494143 75.799 -150.9026
31.860354 75.803 -151.3740
32.226565 75.810 -151.8441
32.592776 75.818 -152.3251
32.958987 75.824 -152.8117
33.325198 75.827 -153.2891
33.691409 75.831 -153.7489
34.057620 75.836 -154.1981
34.423831 75.843 -154.6528
34.790042 75.850 -155.1229
35.156253 75.854 -155.6017
35.522464 75.854 -156.0696
35.888675 75.851 -156.5086
36.254886 75.849 -156.9152
36.621097 75.848 -157.3005
36.987308 75.850 -157.6796
37.353519 75.854 -158.0601
37.719730 75.857 -158.4397
38.085941 75.860 -158.8149
38.452152 75.864 -159.1893
38.818363 75.870 -159.5744
39.184573 75.874 -159.9799
39.550784 75.875 -160.4025
39.916995 75.869 -160.8228
40.283206 75.859 -161.2153
40.649417 75.846 -161.5634
41.015628 75.837 -161.8703
41.381839 75.832 -162.1564
41.748050 75.831 -162.4467
42.114261 75.834 -162.7565
42.480472 75.835 -163.0853
42.846683 75.834 -163.4209
43.212894 75.831 -163.7495
43.579105 75.827 -164.0642
43.945316 75.823 -164.3667
44.311527 75.819 -164.6634
44.677738 75.816 -164.9599
45.043949 75.812 -165.2569
45.410160 75.807 -165.5506
45.776371 75.802 -165.8365
46.142582 75.796 -166.1129
46.508793 75.791 -166.3825
46.875004 75.787 -166.6515
47.241215 75.784 -166.9266
47.607426 75.781 -167.2110
47.973637 75.777 -167.5025
48.339848 75.771 -167.7945
48.706059 75.763 -168.0792
49.072270 75.755 -168.3520
49.438481 75.747 -168.6136
49.804692 75.740 -168.8686
50.170902 75.734 -169.1222
50.537113 75.728 -169.3771
50.903324 75.723 -169.6322
51.269535 75.717 -169.8846
51.635746 75.710 -170.1319
52.001957 75.704 -170.3740
52.368168 75.698 -170.6126
52.734379 75.692 -170.8491
53.100590 75.686 -171.0834
53.466801 75.679 -171.3147
53.833012 75.673 -171.5424
54.199223 75.666 -171.7675
54.565434 75.660 -171.9922
54.931645 75.654 -172.2189
55.297856 75.647 -172.4484
55.664067 75.641 -172.6800
56.030278 75.633 -172.9125
56.396489 75.625 -173.1445
56.762700 75.617 -173.3746
57.128911 75.608 -173.6019
57.495122 75.599 -173.8258
57.861333 75.591 -174.0466
58.227544 75.583 -174.2665
58.593755 75.575 -174.4886
58.959966 75.567 -174.7142
59.326177 75.558 -174.9410
59.692388 75.547 -175.1622
60.058599 75.535 -175.3699
60.424810 75.522 -175.5588
60.791021 75.511 -175.7303
61.157232 75.502 -175.8922
61.523442 75.496 -176.0549
61.889653 75.490 -176.2257
62.255864 75.485 -176.4057
62.622075 75.478 -176.5898
62.988286 75.471 -176.7718
63.354497 75.463 -176.9478
63.720708 75.455 -177.1187
64.086919 75.447 -177.2884
64.453130 75.439 -177.4603
64.819341 75.431 -177.6348
65.185552 75.423 -177.8092
65.551763 75.413 -177.9804
65.917974 75.404 -178.1472
66.284185 75.395 -178.3111
66.650396 75.386 -178.4746
67.016607 75.378 -178.6390
67.382818 75.369 -178.8035
67.749029 75.360 -178.9663
68.115240 75.351 -179.1264
68.481451 75.342 -179.2846
68.847662 75.334 -179.4426
69.213873 75.325 -179.6013
69.580084 75.317 -179.7601
69.946295 75.308 -179.9175
70.312506 75.299 179.9274
70.678717 75.291 179.7739
71.044928 75.282 179.6204
71.411139 75.273 179.4669
71.777350 75.263 179.3151
72.143561 75.253 179.1672
72.509771 75.243 179.0240
72.875982 75.234 178.8832
73.242193 75.225 178.7411
73.608404 75.216 178.5952
73.974615 75.207 178.4462
74.340826 75.196 178.2980
74.707037 75.185 178.1547
75.073248 75.175 178.0174
75.439459 75.165 177.8831
75.805670 75.156 177.7468
76.171881 75.148 177.6049
76.538092 75.139 177.4576
76.904303 75.129 177.3083
77.270514 75.119 177.1609
77.636725 75.109 177.0179
78.002936 75.099 176.8788
78.369147 75.089 176.7420
78.735358 75.079 176.6066
79.101569 75.068 176.4747
79.467780 75.058 176.3494
79.833991 75.048 176.2331
80.200202 75.039 176.1238
80.566413 75.032 176.0157
80.932624 75.027 175.9008
81.298835 75.021 175.7738
81.665046 75.015 175.6358
82.031257 75.006 175.4948
82.397468 74.995 175.3618
82.763679 74.982 175.2451
83.129890 74.970 175.1452
83.496101 74.960 175.0543
83.862311 74.952 174.9608
84.228522 74.945 174.8560
84.594733 74.938 174.7385
84.960944 74.929 174.6144
85.327155 74.918 174.4922
85.693366 74.906 174.3777
86.059577 74.895 174.2704
86.425788 74.885 174.1645
86.791999 74.875 174.0534
87.158210 74.866 173.9337
87.524421 74.856 173.8074
87.890632 74.845 173.6802
88.256843 74.832 173.5585
88.623054 74.819 173.4458
88.989265 74.807 173.3419
89.355476 74.796 173.2430
89.721687 74.787 173.1443
90.087898 74.778 173.0419
90.454109 74.770 172.9344
90.820320 74.762 172.8228
91.186531 74.753 172.7101
91.552742 74.743 172.5993
91.918953 74.734 172.4926
92.285164 74.724 172.3903
92.651375 74.714 172.2911
93.017586 74.705 172.1934
93.383797 74.696 172.0959
93.750008 74.687 171.9986
94.116219 74.677 171.9021
94.482430 74.668 171.8074
94.848641 74.658 171.7145
95.214851 74.648 171.6226
95.581062 74.639 171.5305
95.947273 74.630 171.4371
96.313484 74.620 171.3423
96.679695 74.610 171.2470
97.045906 74.600 171.1523
97.412117 74.589 171.0593
97.778328 74.579 170.9683
98.144539 74.568 170.8789
98.510750 74.558 170.7905
98.876961 74.548 170.7025
99.243172 74.538 170.6147
99.609383 74.528 170.5270
99.975594 74.518 170.4395
100.341805 74.509 170.3521
100.708016 74.499 170.2647
101.074227 74.490 170.1776
101.440438 74.480 170.0905
101.806649 74.471 170.0036
102.172860 74.461 169.9169
102.539071 74.452 169.8306
102.905282 74.442 169.7450
103.271493 74.432 169.6607
103.637704 74.422 169.5781
104.003915 74.412 169.4971
104.370126 74.402 169.4175
104.736337 74.392 169.3387
105.102548 74.382 169.2609
105.468759 74.372 169.1841
105.834970 74.362 169.1086
106.201180 74.353 169.0341
106.567391 74.343 168.9597
106.933602 74.334 168.8839
107.299813 74.326 168.8052
107.666024 74.316 168.7236
108.032235 74.307 168.6400
108.398446 74.297 168.5568
108.764657 74.286 168.4763
109.130868 74.275 168.3998
109.497079 74.265 168.3275
109.863290 74.255 168.2580
110.229501 74.245 168.1894
110.595712 74.236 168.1204
110.961923 74.226 168.0502
111.328134 74.217 167.9787
111.694345 74.208 167.9066
112.060556 74.199 167.8345
112.426767 74.189 167.7630
112.792978 74.180 167.6929
113.159189 74.170 167.6249
113.525400 74.159 167.5594
113.891611 74.149 167.4966
114.257822 74.139 167.4358
114.624033 74.129 167.3758
114.990244 74.120 167.3152
115.356455 74.110 167.2535
115.722666 74.100 167.1908
116.088877 74.090 167.1280
116.455088 74.079 167.0664
116.821299 74.068 167.0068
117.187510 74.058 166.9487
117.553720 74.048 166.8911
117.919931 74.038 166.8321
118.286142 74.028 166.7708
118.652353 74.018 166.7072
119.018564 74.008 166.6420
119.384775 73.998 166.5764
119.750986 73.987 166.5115
120.117197 73.977 166.4475
120.483408 73.967 166.3842
120.849619 73.958 166.3211
121.215830 73.948 166.2581
121.582041 73.939 166.1951
121.948252 73.929 166.1324
122.314463 73.920 166.0703
122.680674 73.911 166.0088
123.046885 73.902 165.9481
123.413096 73.893 165.8884
123.779307 73.884 165.8300
124.145518 73.875 165.7732
124.511729 73.865 165.7180
124.877940 73.856 165.6642
125.244151 73.847 165.6113
125.610362 73.838 165.5589
125.976573 73.829 165.5064
126.342784 73.820 165.4540
126.708995 73.811 165.4018
127.075206 73.801 165.3497
127.441417 73.792 165.2977
127.807628 73.782 165.2454
128.173839 73.772 165.1927
128.540049 73.762 165.1395
128.906260 73.752 165.0859
129.272471 73.742 165.0326
129.638682 73.732 164.9801
130.004893 73.721 164.9288
130.371104 73.711 164.8787
130.737315 73.701 164.8298
131.103526 73.691 164.7818
131.469737 73.681 164.7342
131.835948 73.671 164.6870
132.202159 73.662 164.6400
132.568370 73.652 164.5930
132.934581 73.643 164.5461
133.300792 73.634 164.4990
133.667003 73.625 164.4520
134.033214 73.616 164.4052
134.399425 73.607 164.3591
134.765636 73.598 164.3138
135.131847 73.588 164.2695
135.498058 73.579 164.2260
135.864269 73.570 164.1829
136.230480 73.561 164.1399
136.596691 73.552 164.0964
136.962902 73.543 164.0525
137.329113 73.534 164.0079
137.695324 73.525 163.9631
138.061535 73.516 163.9186
138.427746 73.506 163.8751
138.793957 73.497 163.8328
139.160168 73.487 163.7919
139.526379 73.478 163.7516
139.892589 73.469 163.7114
140.258800 73.460 163.6705
140.625011 73.451 163.6288
140.991222 73.442 163.5865
141.357433 73.432 163.5444
141.723644 73.423 163.5030
142.089855 73.414 163.4623
142.456066 73.405 163.4222
142.822277 73.396 163.3822
143.188488 73.387 163.3420
143.554699 73.379 163.3017
143.920910 73.370 163.2615
144.287121 73.361 163.2221
144.653332 73.351 163.1837
145.019543 73.342 163.1464
145.385754 73.333 163.1102
145.751965 73.324 163.0748
146.118176 73.315 163.0399
146.484387 73.306 163.0055
146.850598 73.298 162.9713
147.216809 73.289 162.9373
147.583020 73.280 162.9034
147.949231 73.271 162.8694
148.315442 73.262 162.8352
