* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 14, 2023 7:05:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aphex Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 69.560 -23.4388
0.732422 67.640 -46.6573
1.098633 63.881 -69.0825
1.464844 56.191 -87.1550
1.831055 46.967 29.9452
2.197266 58.094 28.1409
2.563477 60.994 7.7879
2.929688 61.403 -12.4797
3.295899 60.333 -28.9484
3.662110 58.490 -36.1217
4.028321 57.707 -30.3228
4.394532 59.426 -25.6279
4.760743 61.760 -31.5048
5.126954 63.486 -42.2507
5.493164 64.503 -52.7391
5.859375 65.040 -60.1649
6.225586 65.484 -63.6264
6.591797 66.192 -64.6015
6.958008 67.179 -65.7934
7.324219 68.175 -68.4681
7.690430 68.959 -72.0556
8.056641 69.496 -75.4547
8.422852 69.881 -77.9771
8.789063 70.239 -79.6742
9.155274 70.632 -81.1159
9.521485 71.037 -82.8139
9.887696 71.400 -84.8601
10.253907 71.698 -87.0458
10.620118 71.946 -89.1664
10.986329 72.173 -91.1883
11.352540 72.394 -93.1970
11.718751 72.606 -95.2493
12.084962 72.802 -97.3036
12.451173 72.987 -99.2786
12.817384 73.172 -101.1459
13.183595 73.365 -102.9487
13.549806 73.561 -104.7386
13.916017 73.749 -106.5100
14.282228 73.924 -108.2038
14.648439 74.088 -109.7693
15.014650 74.249 -111.2130
15.380861 74.408 -112.5859
15.747072 74.559 -113.9290
16.113283 74.695 -115.2369
16.479493 74.813 -116.4738
16.845704 74.919 -117.6193
17.211915 75.019 -118.6960
17.578126 75.116 -119.7532
17.944337 75.206 -120.8287
18.310548 75.286 -121.9264
18.676759 75.354 -123.0266
19.042970 75.412 -124.1111
19.409181 75.465 -125.1765
19.775392 75.515 -126.2285
20.141603 75.562 -127.2699
20.507814 75.608 -128.2978
20.874025 75.654 -129.3096
21.240236 75.702 -130.3067
21.606447 75.749 -131.2892
21.972658 75.797 -132.2497
22.338869 75.844 -133.1761
22.705080 75.892 -134.0632
23.071291 75.942 -134.9188
23.437502 75.993 -135.7566
23.803713 76.041 -136.5808
24.169924 76.086 -137.3803
24.536135 76.126 -138.1398
24.902346 76.164 -138.8584
25.268557 76.203 -139.5566
25.634768 76.241 -140.2606
26.000979 76.272 -140.9791
26.367190 76.295 -141.6939
26.733401 76.309 -142.3744
27.099612 76.320 -143.0048
27.465823 76.332 -143.5984
27.832033 76.348 -144.1873
28.198244 76.364 -144.7962
28.564455 76.377 -145.4242
28.930666 76.386 -146.0491
29.296877 76.393 -146.6490
29.663088 76.401 -147.2202
30.029299 76.412 -147.7786
30.395510 76.426 -148.3434
30.761721 76.439 -148.9209
31.127932 76.451 -149.5001
31.494143 76.460 -150.0633
31.860354 76.467 -150.5999
32.226565 76.475 -151.1123
32.592776 76.485 -151.6104
32.958987 76.495 -152.1019
33.325198 76.504 -152.5874
33.691409 76.512 -153.0639
34.057620 76.521 -153.5309
34.423831 76.529 -153.9934
34.790042 76.537 -154.4579
35.156253 76.543 -154.9257
35.522464 76.548 -155.3909
35.888675 76.550 -155.8464
36.254886 76.553 -156.2919
36.621097 76.557 -156.7370
36.987308 76.562 -157.1939
37.353519 76.563 -157.6649
37.719730 76.560 -158.1363
38.085941 76.553 -158.5838
38.452152 76.543 -158.9881
38.818363 76.535 -159.3477
39.184573 76.532 -159.6792
39.550784 76.534 -160.0053
39.916995 76.539 -160.3408
40.283206 76.545 -160.6882
40.649417 76.551 -161.0439
41.015628 76.556 -161.4072
41.381839 76.560 -161.7805
41.748050 76.562 -162.1637
42.114261 76.559 -162.5466
42.480472 76.552 -162.9119
42.846683 76.543 -163.2474
43.212894 76.536 -163.5567
43.579105 76.532 -163.8587
43.945316 76.530 -164.1746
44.311527 76.527 -164.5115
44.677738 76.520 -164.8569
45.043949 76.510 -165.1884
45.410160 76.498 -165.4907
45.776371 76.489 -165.7664
46.142582 76.484 -166.0343
46.508793 76.483 -166.3158
46.875004 76.483 -166.6219
47.241215 76.481 -166.9489
47.607426 76.476 -167.2824
47.973637 76.467 -167.6065
48.339848 76.456 -167.9098
48.706059 76.445 -168.1880
49.072270 76.435 -168.4433
49.438481 76.429 -168.6837
49.804692 76.425 -168.9223
50.170902 76.425 -169.1735
50.537113 76.425 -169.4467
50.903324 76.423 -169.7405
51.269535 76.418 -170.0424
51.635746 76.409 -170.3358
52.001957 76.399 -170.6095
52.368168 76.389 -170.8644
52.734379 76.380 -171.1106
53.100590 76.373 -171.3583
53.466801 76.365 -171.6092
53.833012 76.357 -171.8565
54.199223 76.348 -172.0934
54.565434 76.341 -172.3214
54.931645 76.337 -172.5506
55.297856 76.333 -172.7907
55.664067 76.328 -173.0400
56.030278 76.321 -173.2850
56.396489 76.313 -173.5120
56.762700 76.308 -173.7220
57.128911 76.307 -173.9342
57.495122 76.308 -174.1729
57.861333 76.307 -174.4463
58.227544 76.300 -174.7348
58.593755 76.286 -175.0015
58.959966 76.268 -175.2173
59.326177 76.254 -175.3821
59.692388 76.246 -175.5257
60.058599 76.245 -175.6867
60.424810 76.246 -175.8866
60.791021 76.244 -176.1180
61.157232 76.237 -176.3565
61.523442 76.226 -176.5813
61.889653 76.215 -176.7897
62.255864 76.205 -176.9930
62.622075 76.193 -177.2012
62.988286 76.180 -177.4113
63.354497 76.164 -177.6094
63.720708 76.147 -177.7836
64.086919 76.132 -177.9357
64.453130 76.121 -178.0808
64.819341 76.112 -178.2365
65.185552 76.105 -178.4103
65.551763 76.096 -178.5974
65.917974 76.087 -178.7880
66.284185 76.077 -178.9773
66.650396 76.068 -179.1685
67.016607 76.059 -179.3675
67.382818 76.048 -179.5739
67.749029 76.035 -179.7784
68.115240 76.020 -179.9682
68.481451 76.005 179.8637
68.847662 75.992 179.7127
69.213873 75.982 179.5656
69.580084 75.974 179.4101
69.946295 75.966 179.2425
70.312506 75.957 179.0697
70.678717 75.946 178.9027
71.044928 75.935 178.7492
71.411139 75.924 178.6091
71.777350 75.915 178.4761
72.143561 75.907 178.3429
72.509771 75.901 178.2050
72.875982 75.895 178.0612
73.242193 75.890 177.9110
73.608404 75.885 177.7524
73.974615 75.879 177.5827
74.340826 75.872 177.4022
74.707037 75.862 177.2167
75.073248 75.849 177.0367
75.439459 75.834 176.8734
75.805670 75.820 176.7324
76.171881 75.806 176.6101
76.538092 75.796 176.4954
76.904303 75.789 176.3748
77.270514 75.783 176.2395
77.636725 75.776 176.0893
78.002936 75.768 175.9321
78.369147 75.757 175.7790
78.735358 75.746 175.6379
79.101569 75.735 175.5092
79.467780 75.725 175.3857
79.833991 75.717 175.2567
80.200202 75.710 175.1150
80.566413 75.700 174.9613
80.932624 75.689 174.8044
81.298835 75.675 174.6559
81.665046 75.660 174.5236
82.031257 75.645 174.4065
82.397468 75.633 174.2958
82.763679 75.623 174.1805
83.129890 75.613 174.0547
83.496101 75.603 173.9196
83.862311 75.592 173.7818
84.228522 75.580 173.6476
84.594733 75.568 173.5184
84.960944 75.557 173.3913
85.327155 75.546 173.2630
85.693366 75.535 173.1342
86.059577 75.524 173.0094
86.425788 75.512 172.8939
86.791999 75.501 172.7881
87.158210 75.493 172.6865
87.524421 75.486 172.5804
87.890632 75.479 172.4639
88.256843 75.472 172.3378
88.623054 75.462 172.2092
88.989265 75.451 172.0871
89.355476 75.439 171.9767
89.721687 75.428 171.8769
90.087898 75.417 171.7824
90.454109 75.407 171.6873
90.820320 75.397 171.5884
91.186531 75.387 171.4867
91.552742 75.376 171.3851
91.918953 75.364 171.2859
92.285164 75.353 171.1893
92.651375 75.342 171.0929
93.017586 75.331 170.9939
93.383797 75.321 170.8907
93.750008 75.310 170.7839
94.116219 75.299 170.6756
94.482430 75.287 170.5686
94.848641 75.275 170.4644
95.214851 75.263 170.3629
95.581062 75.252 170.2622
95.947273 75.242 170.1606
96.313484 75.231 170.0574
96.679695 75.221 169.9534
97.045906 75.210 169.8502
97.412117 75.199 169.7494
97.778328 75.188 169.6514
98.144539 75.178 169.5557
98.510750 75.168 169.4612
98.876961 75.157 169.3675
99.243172 75.147 169.2744
99.609383 75.137 169.1823
99.975594 75.127 169.0913
100.341805 75.117 169.0009
100.708016 75.107 168.9102
101.074227 75.098 168.8187
101.440438 75.088 168.7262
101.806649 75.077 168.6330
102.172860 75.067 168.5399
102.539071 75.056 168.4478
102.905282 75.045 168.3573
103.271493 75.033 168.2689
103.637704 75.022 168.1827
104.003915 75.010 168.0988
104.370126 74.999 168.0170
104.736337 74.987 167.9371
105.102548 74.976 167.8587
105.468759 74.966 167.7811
105.834970 74.955 167.7032
106.201180 74.945 167.6246
106.567391 74.935 167.5444
106.933602 74.925 167.4631
107.299813 74.915 167.3815
107.666024 74.904 167.3010
108.032235 74.893 167.2224
108.398446 74.883 167.1460
108.764657 74.872 167.0709
109.130868 74.862 166.9958
109.497079 74.852 166.9196
109.863290 74.843 166.8419
110.229501 74.833 166.7631
110.595712 74.822 166.6840
110.961923 74.812 166.6051
111.328134 74.802 166.5266
111.694345 74.791 166.4481
112.060556 74.780 166.3695
112.426767 74.769 166.2913
112.792978 74.758 166.2141
113.159189 74.747 166.1388
113.525400 74.735 166.0659
113.891611 74.724 165.9954
114.257822 74.712 165.9266
114.624033 74.701 165.8590
114.990244 74.690 165.7920
115.356455 74.679 165.7250
115.722666 74.669 165.6577
116.088877 74.658 165.5901
116.455088 74.647 165.5227
116.821299 74.636 165.4566
117.187510 74.625 165.3926
117.553720 74.614 165.3309
117.919931 74.603 165.2709
118.286142 74.593 165.2112
118.652353 74.583 165.1502
119.018564 74.573 165.0876
119.384775 74.563 165.0238
119.750986 74.553 164.9602
120.117197 74.544 164.8979
120.483408 74.534 164.8369
120.849619 74.525 164.7760
121.215830 74.516 164.7137
121.582041 74.507 164.6482
121.948252 74.498 164.5793
122.314463 74.489 164.5078
122.680674 74.480 164.4351
123.046885 74.469 164.3632
123.413096 74.459 164.2936
123.779307 74.447 164.2275
124.145518 74.436 164.1651
124.511729 74.425 164.1061
124.877940 74.414 164.0494
125.244151 74.404 163.9940
125.610362 74.393 163.9390
125.976573 74.383 163.8839
126.342784 74.372 163.8287
126.708995 74.362 163.7740
127.075206 74.351 163.7203
127.441417 74.340 163.6677
127.807628 74.330 163.6161
128.173839 74.319 163.5649
128.540049 74.309 163.5136
128.906260 74.299 163.4615
129.272471 74.289 163.4083
129.638682 74.279 163.3538
130.004893 74.269 163.2983
130.371104 74.258 163.2425
130.737315 74.248 163.1868
131.103526 74.237 163.1317
131.469737 74.227 163.0775
131.835948 74.216 163.0242
132.202159 74.205 162.9718
132.568370 74.195 162.9205
132.934581 74.184 162.8705
133.300792 74.173 162.8222
133.667003 74.163 162.7756
134.033214 74.152 162.7305
134.399425 74.142 162.6867
134.765636 74.132 162.6438
135.131847 74.122 162.6014
135.498058 74.112 162.5592
135.864269 74.103 162.5164
136.230480 74.093 162.4725
136.596691 74.084 162.4272
136.962902 74.074 162.3806
137.329113 74.064 162.3329
137.695324 74.055 162.2849
138.061535 74.044 162.2369
138.427746 74.034 162.1890
138.793957 74.024 162.1410
139.160168 74.014 162.0928
139.526379 74.004 162.0443
139.892589 73.994 161.9961
140.258800 73.983 161.9483
140.625011 73.973 161.9015
140.991222 73.963 161.8557
141.357433 73.952 161.8109
141.723644 73.942 161.7670
142.089855 73.932 161.7243
142.456066 73.922 161.6831
142.822277 73.913 161.6435
143.188488 73.903 161.6057
143.554699 73.893 161.5692
143.920910 73.884 161.5338
144.287121 73.875 161.4989
144.653332 73.866 161.4644
145.019543 73.857 161.4303
145.385754 73.848 161.3966
145.751965 73.839 161.3631
146.118176 73.829 161.3296
146.484387 73.820 161.2956
146.850598 73.811 161.2608
147.216809 73.802 161.2253
147.583020 73.792 161.1893
147.949231 73.782 161.1531
148.315442 73.772 161.1172
