* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 8:12:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MS3 f.Gold Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.571 163.2638
0.732422 58.018 146.2868
1.098633 55.186 128.3485
1.464844 50.543 106.4310
1.831055 43.516 63.4093
2.197266 43.186 -14.5082
2.563477 47.154 -39.7085
2.929688 49.702 -41.5959
3.295899 52.181 -37.3742
3.662110 54.731 -35.0817
4.028321 56.934 -36.0985
4.394532 58.628 -38.8480
4.760743 59.886 -41.8206
5.126954 60.870 -44.2668
5.493164 61.736 -46.1855
5.859375 62.568 -48.0330
6.225586 63.371 -50.2531
6.591797 64.109 -52.9635
6.958008 64.758 -55.9842
7.324219 65.322 -59.0473
7.690430 65.831 -61.9753
8.056641 66.313 -64.7390
8.422852 66.786 -67.4028
8.789063 67.250 -70.0300
9.155274 67.697 -72.6280
9.521485 68.122 -75.1602
9.887696 68.522 -77.5893
10.253907 68.830 -79.9044
10.620118 69.088 -82.1141
10.986329 69.325 -84.2245
11.352540 69.540 -86.2282
11.718751 69.735 -88.1148
12.084962 69.912 -89.8889
12.451173 70.078 -91.5756
12.817384 70.276 -93.2078
13.183595 70.467 -94.8076
13.549806 70.639 -96.3780
13.916017 70.793 -97.9113
14.282228 70.931 -99.4032
14.648439 71.058 -100.8587
15.014650 71.174 -102.2880
15.380861 71.282 -103.6966
15.747072 71.382 -105.0829
16.113283 71.481 -106.4434
16.479493 71.585 -107.7788
16.845704 71.687 -109.0945
17.211915 71.784 -110.3916
17.578126 71.877 -111.6626
17.944337 71.965 -112.8939
18.310548 72.051 -114.0788
18.676759 72.137 -115.2253
19.042970 72.223 -116.3533
19.409181 72.305 -117.4779
19.775392 72.380 -118.5938
20.141603 72.445 -119.6746
20.507814 72.503 -120.6892
20.874025 72.557 -121.6248
21.240236 72.613 -122.5007
21.606447 72.672 -123.3598
21.972658 72.732 -124.2422
22.338869 72.785 -125.1603
22.705080 72.828 -126.0911
23.071291 72.858 -126.9919
23.437502 72.881 -127.8280
23.803713 72.903 -128.5952
24.169924 72.929 -129.3219
24.536135 72.962 -130.0507
24.902346 72.997 -130.8106
25.268557 73.028 -131.6006
25.634768 73.052 -132.3940
26.000979 73.071 -133.1574
26.367190 73.087 -133.8731
26.733401 73.105 -134.5474
27.099612 73.126 -135.2031
27.465823 73.150 -135.8617
27.832033 73.173 -136.5291
28.198244 73.193 -137.1944
28.564455 73.209 -137.8403
28.930666 73.223 -138.4560
29.296877 73.238 -139.0446
29.663088 73.254 -139.6200
30.029299 73.271 -140.1972
30.395510 73.286 -140.7831
30.761721 73.299 -141.3734
31.127932 73.308 -141.9563
31.494143 73.313 -142.5203
31.860354 73.316 -143.0606
32.226565 73.320 -143.5807
32.592776 73.324 -144.0884
32.958987 73.329 -144.5892
33.325198 73.333 -145.0822
33.691409 73.337 -145.5632
34.057620 73.343 -146.0315
34.423831 73.351 -146.4963
34.790042 73.361 -146.9742
35.156253 73.371 -147.4781
35.522464 73.376 -148.0039
35.888675 73.374 -148.5268
36.254886 73.366 -149.0126
36.621097 73.355 -149.4387
36.987308 73.348 -149.8108
37.353519 73.348 -150.1613
37.719730 73.355 -150.5299
38.085941 73.363 -150.9373
38.452152 73.368 -151.3738
38.818363 73.367 -151.8089
39.184573 73.362 -152.2151
39.550784 73.357 -152.5879
39.916995 73.358 -152.9469
40.283206 73.362 -153.3196
40.649417 73.366 -153.7196
41.015628 73.367 -154.1373
41.381839 73.362 -154.5485
41.748050 73.355 -154.9319
42.114261 73.348 -155.2829
42.480472 73.343 -155.6134
42.846683 73.342 -155.9412
43.212894 73.341 -156.2770
43.579105 73.341 -156.6195
43.945316 73.339 -156.9606
44.311527 73.336 -157.2935
44.677738 73.334 -157.6182
45.043949 73.332 -157.9396
45.410160 73.331 -158.2633
45.776371 73.329 -158.5911
46.142582 73.325 -158.9198
46.508793 73.320 -159.2441
46.875004 73.314 -159.5593
47.241215 73.307 -159.8634
47.607426 73.301 -160.1572
47.973637 73.295 -160.4436
48.339848 73.289 -160.7261
48.706059 73.284 -161.0073
49.072270 73.279 -161.2878
49.438481 73.274 -161.5661
49.804692 73.270 -161.8407
50.170902 73.265 -162.1119
50.537113 73.262 -162.3821
50.903324 73.259 -162.6545
51.269535 73.255 -162.9303
51.635746 73.251 -163.2066
52.001957 73.246 -163.4784
52.368168 73.240 -163.7413
52.734379 73.234 -163.9957
53.100590 73.229 -164.2463
53.466801 73.225 -164.4991
53.833012 73.221 -164.7573
54.199223 73.216 -165.0185
54.565434 73.210 -165.2768
54.931645 73.202 -165.5264
55.297856 73.194 -165.7644
55.664067 73.187 -165.9925
56.030278 73.181 -166.2145
56.396489 73.176 -166.4352
56.762700 73.172 -166.6582
57.128911 73.169 -166.8863
57.495122 73.166 -167.1210
57.861333 73.162 -167.3618
58.227544 73.157 -167.6055
58.593755 73.151 -167.8468
58.959966 73.143 -168.0801
59.326177 73.135 -168.3027
59.692388 73.127 -168.5155
60.058599 73.119 -168.7227
60.424810 73.113 -168.9283
60.791021 73.106 -169.1340
61.157232 73.099 -169.3385
61.523442 73.092 -169.5393
61.889653 73.084 -169.7349
62.255864 73.077 -169.9265
62.622075 73.071 -170.1169
62.988286 73.064 -170.3085
63.354497 73.058 -170.5018
63.720708 73.050 -170.6947
64.086919 73.042 -170.8850
64.453130 73.035 -171.0715
64.819341 73.027 -171.2555
65.185552 73.020 -171.4401
65.551763 73.014 -171.6281
65.917974 73.007 -171.8198
66.284185 72.999 -172.0131
66.650396 72.990 -172.2042
67.016607 72.981 -172.3901
67.382818 72.973 -172.5708
67.749029 72.964 -172.7491
68.115240 72.956 -172.9282
68.481451 72.948 -173.1095
68.847662 72.939 -173.2910
69.213873 72.930 -173.4682
69.580084 72.921 -173.6381
69.946295 72.912 -173.8009
70.312506 72.904 -173.9607
70.678717 72.897 -174.1226
71.044928 72.891 -174.2887
71.411139 72.884 -174.4573
71.777350 72.877 -174.6243
72.143561 72.869 -174.7869
72.509771 72.862 -174.9461
72.875982 72.856 -175.1055
73.242193 72.850 -175.2681
73.608404 72.843 -175.4328
73.974615 72.835 -175.5951
74.340826 72.826 -175.7498
74.707037 72.817 -175.8945
75.073248 72.808 -176.0316
75.439459 72.801 -176.1661
75.805670 72.794 -176.3020
76.171881 72.788 -176.4412
76.538092 72.781 -176.5831
76.904303 72.775 -176.7275
77.270514 72.768 -176.8750
77.636725 72.760 -177.0263
78.002936 72.752 -177.1806
78.369147 72.743 -177.3347
78.735358 72.733 -177.4845
79.101569 72.722 -177.6280
79.467780 72.712 -177.7670
79.833991 72.704 -177.9058
80.200202 72.695 -178.0484
80.566413 72.687 -178.1953
80.932624 72.678 -178.3436
81.298835 72.668 -178.4888
81.665046 72.658 -178.6283
82.031257 72.649 -178.7628
82.397468 72.641 -178.8953
82.763679 72.633 -179.0289
83.129890 72.625 -179.1647
83.496101 72.617 -179.3014
83.862311 72.608 -179.4365
84.228522 72.599 -179.5676
84.594733 72.590 -179.6936
84.960944 72.581 -179.8147
85.327155 72.572 -179.9317
85.693366 72.564 179.9539
86.059577 72.557 179.8403
86.425788 72.550 179.7255
86.791999 72.544 179.6073
87.158210 72.538 179.4841
87.524421 72.531 179.3550
87.890632 72.524 179.2210
88.256843 72.516 179.0844
88.623054 72.507 178.9489
88.989265 72.497 178.8185
89.355476 72.487 178.6960
89.721687 72.477 178.5820
90.087898 72.467 178.4740
90.454109 72.459 178.3677
90.820320 72.452 178.2587
91.186531 72.445 178.1448
91.552742 72.438 178.0268
91.918953 72.430 177.9081
92.285164 72.421 177.7926
92.651375 72.412 177.6831
93.017586 72.403 177.5797
93.383797 72.395 177.4798
93.750008 72.387 177.3801
94.116219 72.380 177.2775
94.482430 72.373 177.1710
94.848641 72.365 177.0615
95.214851 72.357 176.9514
95.581062 72.348 176.8431
95.947273 72.339 176.7375
96.313484 72.330 176.6340
96.679695 72.322 176.5311
97.045906 72.313 176.4268
97.412117 72.305 176.3206
97.778328 72.297 176.2128
98.144539 72.288 176.1053
98.510750 72.279 175.9993
98.876961 72.270 175.8954
99.243172 72.261 175.7934
99.609383 72.252 175.6924
99.975594 72.244 175.5921
100.341805 72.235 175.4924
100.708016 72.227 175.3939
101.074227 72.219 175.2965
101.440438 72.210 175.2001
101.806649 72.202 175.1044
102.172860 72.194 175.0094
102.539071 72.185 174.9159
102.905282 72.177 174.8250
103.271493 72.168 174.7371
103.637704 72.160 174.6517
104.003915 72.153 174.5669
104.370126 72.146 174.4806
104.736337 72.139 174.3909
105.102548 72.132 174.2975
105.468759 72.125 174.2012
105.834970 72.117 174.1036
106.201180 72.109 174.0066
106.567391 72.100 173.9115
106.933602 72.091 173.8192
107.299813 72.082 173.7300
107.666024 72.073 173.6439
108.032235 72.064 173.5600
108.398446 72.055 173.4774
108.764657 72.047 173.3952
109.130868 72.039 173.3130
109.497079 72.030 173.2311
109.863290 72.022 173.1501
110.229501 72.013 173.0707
110.595712 72.005 172.9928
110.961923 71.996 172.9159
111.328134 71.988 172.8391
111.694345 71.979 172.7617
112.060556 71.971 172.6835
112.426767 71.963 172.6050
112.792978 71.954 172.5264
113.159189 71.945 172.4479
113.525400 71.937 172.3694
113.891611 71.928 172.2905
114.257822 71.920 172.2110
114.624033 71.912 172.1310
114.990244 71.903 172.0505
115.356455 71.895 171.9699
115.722666 71.887 171.8893
116.088877 71.878 171.8089
116.455088 71.870 171.7290
116.821299 71.862 171.6500
117.187510 71.853 171.5720
117.553720 71.845 171.4955
117.919931 71.837 171.4207
118.286142 71.828 171.3479
118.652353 71.820 171.2772
119.018564 71.812 171.2084
119.384775 71.804 171.1409
119.750986 71.796 171.0737
120.117197 71.789 171.0059
120.483408 71.781 170.9368
120.849619 71.773 170.8663
121.215830 71.764 170.7952
121.582041 71.755 170.7249
121.948252 71.746 170.6566
122.314463 71.736 170.5910
122.680674 71.727 170.5280
123.046885 71.718 170.4668
123.413096 71.709 170.4060
123.779307 71.700 170.3441
124.145518 71.693 170.2799
124.511729 71.685 170.2132
124.877940 71.677 170.1445
125.244151 71.670 170.0746
125.610362 71.663 170.0048
125.976573 71.656 169.9361
126.342784 71.648 169.8690
126.708995 71.642 169.8034
127.075206 71.635 169.7389
127.441417 71.629 169.6749
127.807628 71.622 169.6111
128.173839 71.616 169.5474
128.540049 71.610 169.4842
128.906260 71.603 169.4219
129.272471 71.596 169.3609
129.638682 71.589 169.3015
130.004893 71.582 169.2439
130.371104 71.575 169.1880
130.737315 71.567 169.1334
131.103526 71.560 169.0794
131.469737 71.553 169.0253
131.835948 71.546 168.9704
132.202159 71.538 168.9142
132.568370 71.531 168.8569
132.934581 71.523 168.7990
133.300792 71.515 168.7413
133.667003 71.507 168.6847
134.033214 71.500 168.6292
134.399425 71.492 168.5744
134.765636 71.485 168.5196
135.131847 71.479 168.4637
135.498058 71.472 168.4063
135.864269 71.466 168.3470
136.230480 71.460 168.2861
136.596691 71.454 168.2242
136.962902 71.448 168.1619
137.329113 71.442 168.1000
137.695324 71.435 168.0393
138.061535 71.429 167.9800
138.427746 71.423 167.9224
138.793957 71.416 167.8661
139.160168 71.410 167.8112
139.526379 71.404 167.7574
139.892589 71.397 167.7047
140.258800 71.391 167.6530
140.625011 71.384 167.6022
140.991222 71.377 167.5522
141.357433 71.370 167.5026
141.723644 71.363 167.4533
142.089855 71.356 167.4041
142.456066 71.349 167.3549
142.822277 71.342 167.3059
143.188488 71.334 167.2571
143.554699 71.327 167.2086
143.920910 71.319 167.1604
144.287121 71.311 167.1127
144.653332 71.304 167.0654
145.019543 71.296 167.0185
145.385754 71.288 166.9722
145.751965 71.281 166.9265
146.118176 71.274 166.8812
146.484387 71.266 166.8363
146.850598 71.259 166.7918
